"Timestamp","Country","ISO.3166.1.a2","Region","ISO.3166.2","Language","Reach","Cases","Visibility","Recovered","Fatalities","RecentCases","RecentCases14","PositiveTest14Days","PositiveTest07Days","LongCovid","StillSick","Tested","Positive","Hospital","Severe","ICU","Vaccinated","RecentVaccinated","VaccineSideEffects","RefuseVaccine","ContactsDoctors","Surveyfirst","Surveyknown","Surveyforward","Dataset","Cookie","Campaign"
"2022-07-03","Brazil","BR","","","en",2,0,1,,0,0,,,,,0,,,0,0,,2,,,,,,,,"limesurvey-28044","0js1kaigs0hmt3k61e",20220702
"2022-07-15","Brazil","BR","Ceará","BRCE","en",20,4,5,,0,0,,,,,0,,,2,1,,14,,,,,,,,"limesurvey-30930","bcoldlktlvgq0qd0e8",20220715
"2022-08-02","Brazil","BR","Rio Grande do Sul","BRRS","en",200,180,150,,25,35,,,,,60,,,100,20,,195,,,,,,,,"limesurvey-37089","o2glf9mmrasrv1t4hi",20220802
"2022-09-07","Brazil","BR","Rio de Janeiro","BRRJ","en",26,20,10,,0,0,,,,,0,,,8,2,,26,,,,,,,,"limesurvey-51350","ucs6v5ks5azzzugtvk",20220907
"2022-09-25","Brazil","BR","Rio Grande do Sul","BRRS","en",100,90,30,,5,5,,,,,5,,,15,5,,90,,,,,,,,"limesurvey-58025","gudo1eyyzgc9zm6fqi",20220925
"2022-10-20","Brazil","BR","Paraná","BRPR","en",2,0,8,,0,0,,,,,0,,,0,0,,2,,,,,,,,"limesurvey-67767","tq26yilw3g2627t0cu",20221019
"2022-11-14","Brazil","BR","Santa Catarina","BRSC","en",30,10,20,,0,0,,,,,0,,,2,2,,30,,,,,,,,"limesurvey-76755","6045rqu4mtoao9wumr",20221114
"2022-11-21","Brazil","BR","São Paulo","BRSP","en",50,40,15,,0,0,,,,,0,,,0,0,,50,,,,,,,,"limesurvey-79083","4nx08emigs1kozpqxx",20221121
"2023-01-09","Brazil","BR","Paraná","BRPR","en",2,2,2,,0,0,,,,,0,,,0,0,,2,,,,,,,,"limesurvey-97041","unnxqqof683gnf1y6i",20230109
"2023-01-09","Brazil","BR","Paraná","BRPR","en",2,2,2,,0,0,,,,,0,,,0,0,,2,,,,,,,,"limesurvey-97040","unnxqqof683gnf1y6i",20230109
"2023-01-12","Brazil","BR","Bahia","BRBA","en",10,10,3,,0,1,,,,,2,,,4,1,,6,,,,,,,,"limesurvey-97450","yr2yw1q1fe76sp1b6n",
"2023-01-12","Brazil","BR","Bahia","BRBA","en",10,10,3,,0,1,,,,,2,,,4,1,,6,,,,,,,,"limesurvey-97448","yr2yw1q1fe76sp1b6n",
"2023-01-12","Brazil","BR","Paraná","BRPR","en",100,80,12,,2,67,,,,,0,,,7,2,,92,,,,,,,,"limesurvey-98178","uzwgzyyjuatnmdl7nj",20230112
"2023-02-02","Brazil","BR","Rio Grande do Sul","BRRS","en",3,1,3,,0,0,,,,,0,,,0,0,,3,,,,,,,,"limesurvey-104303","wcj0sy0lqtax51761t",
"2023-10-23","Brazil","BR","Minas Gerais","BRMG","en",5,0,6,,0,0,,,,,0,,,0,0,,25,,,,,,,,"limesurvey-126680","a7n5vv29pfcq7xiypj",20231023
"2023-11-13","Brazil","BR","Bahia","BRBA","en",80,12,80,,0,0,,,,,0,,,0,0,,72,,,,,,,,"limesurvey-128493","k5lcohkzm66duejar2",20231113
"2023-11-20","Brazil","BR","Minas Gerais","BRMG","en",10,5,5,,0,0,,,,,0,,,1,0,,15,,,,,,,,"limesurvey-128776","a7n5vv29pfcq7xiypj",20231120
"2023-11-20","Brazil","BR","Minas Gerais","BRMG","en",10,5,5,,0,0,,,,,0,,,1,0,,15,,,,,,,,"limesurvey-128777","a7n5vv29pfcq7xiypj",20231120
"2023-12-18","Brazil","BR","Bahia","BRBA","en",100,5,100,,0,0,,,,,0,,,0,0,,94,,,,,,,,"limesurvey-131042","9c9rydd8jdihql3v55",20231218
