"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"11","ES","ESAR","ESZ",964693,0,0,0,0,2,1319291,0.04,0.04,0,0,50,0.00372037726742685,0.00372037726742685,0,0,52,52,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"12","ES","ESAS","ESO",1022800,NA,NA,NA,NA,0,1022800,0,0,0,0,50,0,0,0,0,0,0,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"13","ES","ESCB","ESS",581078,NA,NA,NA,NA,0,581078,0.0133333333333333,0.0133333333333333,0,0,150,0,0,0,0,0,0,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"14","ES","ESCE","ESCE",84777,0,0,0,0,100,84777,0,0,0,0,100,0,0,0,0,100,100,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"15","ES","ESCL","ESAV",157640,NA,NA,NA,NA,0,2399548,0,0,0,0,30,0.0498703707992356,0.0498703707992356,0.00398308869870208,0.00398308869870208,296,291,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"16","ES","ESCL","ESLE",460001,NA,NA,NA,NA,0,2399548,0,0,0,0,30,0.0498703707992356,0.0498703707992356,0.00398308869870208,0.00398308869870208,296,291,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"17","ES","ESCL","ESP",160980,0,0,0,0,1,2399548,0,0,0,0,30,0.0498703707992356,0.0498703707992356,0.00398308869870208,0.00398308869870208,296,291,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"18","ES","ESCL","ESSG",153129,0.05,0.05,0,0,20,2399548,0,0,0,0,30,0.0498703707992356,0.0498703707992356,0.00398308869870208,0.00398308869870208,296,291,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"19","ES","ESCL","ESSA",330119,0,0,NA,NA,5,2399548,0,0,0,0,30,0.0498703707992356,0.0498703707992356,0.00398308869870208,0.00398308869870208,296,291,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"20","ES","ESCL","ESZA",172539,0.015,0.015,0.015,0.015,200,2399548,0,0,0,0,30,0.0498703707992356,0.0498703707992356,0.00398308869870208,0.00398308869870208,296,291,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"21","ES","ESCL","ESVA",519546,0.1,0.1,0,0,20,2399548,0,0,0,0,30,0.0498703707992356,0.0498703707992356,0.00398308869870208,0.00398308869870208,296,291,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"22","ES","ESCL","ESBU",356958,NA,NA,NA,NA,0,2399548,0,0,0,0,30,0.0498703707992356,0.0498703707992356,0.00398308869870208,0.00398308869870208,296,291,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"23","ES","ESCL","ESSO",88636,0.1,0.1,0.02,0.02,50,2399548,0,0,0,0,30,0.0498703707992356,0.0498703707992356,0.00398308869870208,0.00398308869870208,296,291,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"24","ES","ESCM","ESCU",196329,NA,NA,NA,NA,0,2032863,0.03,0.03,0,0,100,0.130509416624852,0.130509416624852,0,0,110,110,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"25","ES","ESCM","ESTO",694844,0.08,0.08,0,0,50,2032863,0.03,0.03,0,0,100,0.130509416624852,0.130509416624852,0,0,110,110,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"26","ES","ESCM","ESCR",495761,NA,NA,NA,NA,0,2032863,0.03,0.03,0,0,100,0.130509416624852,0.130509416624852,0,0,110,110,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"27","ES","ESCM","ESGU",257762,0.266666666666667,0.266666666666667,0,0,60,2032863,0.03,0.03,0,0,100,0.130509416624852,0.130509416624852,0,0,110,110,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"28","ES","ESCM","ESAB",388167,NA,NA,NA,NA,0,2032863,0.03,0.03,0,0,100,0.130509416624852,0.130509416624852,0,0,110,110,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"29","ES","ESCN","ESTF",1032983,0,0,NA,NA,40,2153389,0,0,NA,NA,20,0,0,0,0,0,0,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"30","ES","ESCN","ESGC",1120406,0.0714285714285714,0.0714285714285714,0,0,70,2153389,0,0,NA,NA,20,0,0,0,0,0,0,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"31","ES","ESCT","ESB",5664579,0,0,0,0,25,7675217,0,0,0,0,50,0,0,0,0,25,25,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"32","ES","ESCT","ESL",434930,NA,NA,NA,NA,0,7675217,0,0,0,0,50,0,0,0,0,25,25,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"33","ES","ESCT","EST",804664,NA,NA,NA,NA,0,7675217,0,0,0,0,50,0,0,0,0,25,25,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"34","ES","ESCT","ESGI",771044,NA,NA,NA,NA,0,7675217,0,0,0,0,50,0,0,0,0,25,25,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"35","ES","ESEX","ESCC",394151,NA,NA,NA,NA,0,1067710,0.166666666666667,0.166666666666667,0,0,30,0,0,0,0,0,0,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"36","ES","ESEX","ESBA",673559,NA,NA,NA,NA,0,1067710,0.166666666666667,0.166666666666667,0,0,30,0,0,0,0,0,0,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
"37","ES","ESGA","ESLU",329587,NA,NA,NA,NA,0,2699499,0,0,0,0,15,0.0122824532443961,0.0122824532443961,0,0,125,125,2.08164798014504,2.08164798014504,0.0919907440772751,0.0919907440772751,47026208,0.147058823529412,0.0208333333333333,0,0,68,2.08164798014504,2.08164798014504,1249,0.0919907440772751,0.0919907440772751,1249,1.98176030918843,1.97524297180548,0.0872410321583269,0.0872410321583269
