"CountryName","RegionName","SumCases","SumCost","AvgCases","AvgCost","PrescriptionIndex"
"Afghanistan","",6197289.76433555,1530,68858.7751592838,17,5
"Albania","",270943.471892181,1530,3010.48302102423,17,5
"Algeria","",7506527.10218913,1530,83405.8566909903,17,5
"Andorra","",1043.23466135585,1530,11.5914962372872,17,5
"Angola","",5696449.61424077,1530,63293.8846026753,17,5
"Argentina","",3103910.49465398,1530,34487.8943850442,17,5
"Aruba","",3733.6642415761,1530,41.4851582397345,17,5
"Australia","",3237103.40715116,1530,35967.8156350129,17,5
"Austria","",620125.655455309,1530,6890.28506061454,17,5
"Azerbaijan","",1271255.94873012,1530,14125.0660970013,17,5
"Bahamas","",49116.8131953906,1530,545.742368837674,17,5
"Bahrain","",80456.440893483,1530,893.960454372033,17,5
"Bangladesh","",27479293.0353482,1530,305325.478170536,17,5
"Barbados","",19923.9202630524,1530,221.376891811693,17,5
"Belarus","",921167.902581051,1530,10235.1989175672,17,5
"Belgium","",544403.382637376,1530,6048.92647374862,17,5
"Belize","",39602.0096407159,1530,440.022329341288,17,5
"Benin","",2015989.93773279,1530,22399.888197031,17,5
"Bermuda","",8644.97131944714,1530,96.055236882746,17,5
"Bhutan","",131938.498598455,1530,1465.98331776061,17,5
"Bolivia","",1223166.65220051,1530,13590.7405800057,17,5
"Bosnia and Herzegovina","",293684.542471641,1530,3263.16158301824,17,5
"Botswana","",276649.068862015,1530,3073.87854291127,17,5
"Brazil","",15029594.653823,1530,166995.496153589,17,5
"Brunei","",64951.2445590669,1530,721.680495100743,17,5
"Bulgaria","",699582.235114445,1530,7773.13594571605,17,5
"Burkina Faso","",3622908.00563146,1530,40254.5333959051,17,5
"Burundi","",1956471.143533,1530,21738.5682614778,17,5
"Cambodia","",2368486.89229962,1530,26316.5210255513,17,5
"Cameroon","",0,0,0,0,5
"Canada","",3835220.32401212,1530,42613.5591556902,17,5
"Cape Verde","",50982.9209069223,1530,566.476898965804,17,5
"Central African Republic","",641668.911703712,1530,7129.65457448569,17,5
"Chad","",2928846.55176629,1530,32542.7394640699,17,5
"Chile","",1611224.59745137,1530,17902.4955272374,17,5
"China","",78150549.5845146,1530,868339.43982794,17,5
"Colombia","",3628477.89261342,1530,40316.421029038,17,5
"Comoros","",108710.747365423,1530,1207.89719294914,17,5
"Congo","",614750.296139724,1530,6830.55884599693,17,5
"Costa Rica","",392613.659343819,1530,4362.3739927091,17,5
"Cote d'Ivoire","",4333493.37286473,1530,48149.9263651636,17,5
"Croatia","",212313.257300308,1530,2359.03619222565,17,5
"Cuba","",1797089.62430902,1530,19967.6624923225,17,5
"Cyprus","",95160.5072839861,1530,1057.33896982207,17,5
"Czech Republic","",198540.70851745,1530,2206.00787241611,17,5
"Democratic Republic of Congo","",15675844.7007684,1530,174176.05223076,17,5
"Denmark","",485643.439411945,1530,5396.03821568828,17,5
"Djibouti","",163232.1929127,1530,1813.69103236334,17,5
"Dominica","",11027.9669752838,1530,122.532966392042,17,5
"Dominican Republic","",1245080.607195,1530,13834.2289688334,17,5
