"CountryName","RegionName","SumCases","SumCost","AvgCases","AvgCost","PrescriptionIndex"
"Afghanistan","",5251722.79559203,2982.6,58352.4755065781,33.14,4
"Albania","",214975.481450284,3231,2388.61646055871,35.9,4
"Algeria","",5247115.18692425,2945.7,58301.2798547139,32.73,4
"Andorra","",873.680563064228,3108.6,9.70756181182476,34.54,4
"Angola","",3998982.36109751,3085.2,44433.1373455279,34.28,4
"Argentina","",2291480.0821147,3027.6,25460.8898012745,33.64,4
"Aruba","",2807.91809674765,3034.8,31.1990899638628,33.72,4
"Australia","",1859433.71880095,2924.1,20660.3746533439,32.49,4
"Austria","",432687.644091067,3039.3,4807.64048990075,33.77,4
"Azerbaijan","",872152.234354616,3006,9690.58038171795,33.4,4
"Bahamas","",31298.4829828328,3026.7,347.760922031475,33.63,4
"Bahrain","",53601.1141548739,3113.1,595.567935054155,34.59,4
"Bangladesh","",18535110.7931618,2959.2,205945.675479576,32.88,4
"Barbados","",12965.7219724056,3030.3,144.063577471173,33.67,4
"Belarus","",759743.977482999,3028.5,8441.59974981109,33.65,4
"Belgium","",370923.927583697,3080.7,4121.37697315219,34.23,4
"Belize","",28728.0016839983,3006,319.200018711092,33.4,4
"Benin","",1400427.98221927,2993.4,15560.3109135474,33.26,4
"Bermuda","",6819.49161856508,3175.2,75.7721290951675,35.28,4
"Bhutan","",95043.6184279968,3043.8,1056.04020475552,33.82,4
"Bolivia","",1012455.00086024,3204,11249.5000095582,35.6,4
"Bosnia and Herzegovina","",213981.96716809,2914.2,2377.57741297878,32.38,4
"Botswana","",230779.400711115,3123,2564.21556345683,34.7,4
"Brazil","",10840954.0674841,3229.2,120455.045194267,35.88,4
"Brunei","",40995.8924385103,3096,455.509915983448,34.4,4
"Bulgaria","",507494.72276777,2658.6,5638.83025297523,29.54,4
"Burkina Faso","",2840242.69934676,3213.9,31558.252214964,35.71,4
"Burundi","",1679502.40262469,3141.9,18661.137806941,34.91,4
"Cambodia","",1555883.13364791,2828.7,17287.5903738656,31.43,4
"Cameroon","",0,3114.9,0,34.61,4
"Canada","",2962125.64210123,3144.6,32912.5071344582,34.94,4
"Cape Verde","",40201.7172987765,2666.7,446.685747764183,29.63,4
"Central African Republic","",406550.442058684,3091.5,4517.22713398538,34.35,4
"Chad","",2155691.63744582,3134.7,23952.1293049535,34.83,4
"Chile","",1155577.24889492,2923.2,12839.7472099436,32.48,4
"China","",35302025.3470391,2996.1,392244.726078212,33.29,4
"Colombia","",2676366.18978405,2980.8,29737.4021087117,33.12,4
"Comoros","",90113.9787727361,2915.1,1001.26643080818,32.39,4
"Congo","",355943.521202464,2903.4,3954.92801336071,32.26,4
"Costa Rica","",306356.245719737,2929.5,3403.95828577486,32.55,4
"Cote d'Ivoire","",3604080.68232462,2865.6,40045.340914718,31.84,4
"Croatia","",146811.960626294,3119.4,1631.24400695882,34.66,4
"Cuba","",1423734.32103981,2910.6,15819.2702337757,32.34,4
"Cyprus","",73717.7383837073,3089.7,819.085982041193,34.33,4
"Czech Republic","",150541.057727735,3006.9,1672.67841919706,33.41,4
"Democratic Republic of Congo","",10947994.3670705,3302.1,121644.381856339,36.69,4
"Denmark","",352658.323873581,3148.2,3918.42582081757,34.98,4
"Djibouti","",115095.909976613,3194.1,1278.84344418459,35.49,4
"Dominica","",9150.10032921189,3064.5,101.667781435688,34.05,4
"Dominican Republic","",975273.216687816,2959.2,10836.3690743091,32.88,4
"Ecuador","",1839579.15044587,3442.5,20439.7683382874,38.25,4
"Egypt","",13029824.4450517,2941.2,144775.827167241,32.68,4
"El Salvador","",731127.686179018,3244.5,8123.64095754464,36.05,4
"Eritrea","",640968.674126728,3081.6,7121.87415696364,34.24,4
"Estonia","",75436.8961064584,3121.2,838.187734516204,34.68,4
"Eswatini","",105413.616464144,3151.8,1171.26240515716,35.02,4
"Ethiopia","",13644617.2486956,3304.8,151606.85831884,36.72,4
