"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","countrycode","population","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active","p_infected","p_daily","p_active"
2020-01-16,"Taiwan","TWN","TW",0,0,0,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-17,"Taiwan","TWN","TW",0,0,0,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-18,"Taiwan","TWN","TW",0,0,0,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-19,"Taiwan","TWN","TW",0,0,0,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-20,"Taiwan","TWN","TW",0,0,0,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-21,"Taiwan","TWN","TW",0,0,0,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-22,"Taiwan","TWN","TW",0,0,1,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-23,"Taiwan","TWN","TW",0,0,1,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-24,"Taiwan","TWN","TW",2,0,3,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-25,"Taiwan","TWN","TW",0,0,3,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-26,"Taiwan","TWN","TW",1,0,4,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-27,"Taiwan","TWN","TW",1,0,5,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-28,"Taiwan","TWN","TW",3,0,8,0,"TW",23568378,0,0,0,0,0,0,0,0,0
2020-01-29,"Taiwan","TWN","TW",0,0,8,0,"TW",23568378,0.5,2.35714285714286,5,1.00012943493305e-07,2.12148668016102e-08,2.12148668016102e-07,1.00012943493305e-07,2.12148668016102e-08,2.12148668016102e-07
2020-01-30,"Taiwan","TWN","TW",1,0,9,0,"TW",23568378,0.571428571428571,3,5.71428571428571,1.27289200809661e-07,2.42455620589831e-08,2.42455620589831e-07,1.27289200809661e-07,2.42455620589831e-08,2.42455620589831e-07
2020-01-31,"Taiwan","TWN","TW",1,0,10,0,"TW",23568378,0.642857142857143,3.71428571428571,6.42857142857143,1.5759615338339e-07,2.7276257316356e-08,2.7276257316356e-07,1.5759615338339e-07,2.7276257316356e-08,2.7276257316356e-07
2020-02-01,"Taiwan","TWN","TW",0,0,10,0,"TW",23568378,0.642857142857143,4.42857142857143,6.42857142857143,1.87903105957119e-07,2.7276257316356e-08,2.7276257316356e-07,1.87903105957119e-07,2.7276257316356e-08,2.7276257316356e-07
2020-02-02,"Taiwan","TWN","TW",0,0,10,0,"TW",23568378,0.642857142857143,5.14285714285714,6.42857142857143,2.18210058530848e-07,2.7276257316356e-08,2.7276257316356e-07,2.18210058530848e-07,2.7276257316356e-08,2.7276257316356e-07
2020-02-03,"Taiwan","TWN","TW",0,0,10,0,"TW",23568378,0.642857142857143,5.85714285714286,6.42857142857143,2.48517011104577e-07,2.7276257316356e-08,2.7276257316356e-07,2.48517011104577e-07,2.7276257316356e-08,2.7276257316356e-07
2020-02-04,"Taiwan","TWN","TW",1,0,11,0,"TW",23568378,0.714285714285714,6.64285714285714,7.14285714285714,2.81854658935678e-07,3.03069525737288e-08,3.03069525737288e-07,2.81854658935678e-07,3.03069525737288e-08,3.03069525737288e-07
2020-02-05,"Taiwan","TWN","TW",0,0,11,0,"TW",23568378,0.714285714285714,7.35714285714286,7.14285714285714,3.12161611509407e-07,3.03069525737288e-08,3.03069525737288e-07,3.12161611509407e-07,3.03069525737288e-08,3.03069525737288e-07
2020-02-06,"Taiwan","TWN","TW",5,0,16,0,"TW",23568378,1.07142857142857,8.42857142857143,10.7142857142857,3.5762204037e-07,4.54604288605933e-08,4.54604288605933e-07,3.5762204037e-07,4.54604288605933e-08,4.54604288605933e-07
2020-02-07,"Taiwan","TWN","TW",0,0,16,0,"TW",23568378,0.928571428571429,9.35714285714286,9.28571428571429,3.97021078715848e-07,3.93990383458475e-08,3.93990383458475e-07,3.97021078715848e-07,3.93990383458475e-08,3.93990383458475e-07
2020-02-08,"Taiwan","TWN","TW",1,0,17,0,"TW",23568378,1,10.3571428571429,10,4.39450812319068e-07,4.24297336032204e-08,4.24297336032204e-07,4.39450812319068e-07,4.24297336032204e-08,4.24297336032204e-07
2020-02-09,"Taiwan","TWN","TW",1,0,18,0,"TW",23568378,1,11.3571428571429,10,4.81880545922289e-07,4.24297336032204e-08,4.24297336032204e-07,4.81880545922289e-07,4.24297336032204e-08,4.24297336032204e-07
2020-02-10,"Taiwan","TWN","TW",0,0,18,0,"TW",23568378,0.928571428571429,12.2857142857143,9.28571428571429,5.21279584268136e-07,3.93990383458475e-08,3.93990383458475e-07,5.21279584268136e-07,3.93990383458475e-08,3.93990383458475e-07
2020-02-11,"Taiwan","TWN","TW",0,0,18,0,"TW",23568378,0.714285714285714,13,7.14285714285714,5.51586536841865e-07,3.03069525737288e-08,3.03069525737288e-07,5.51586536841865e-07,3.03069525737288e-08,3.03069525737288e-07
2020-02-12,"Taiwan","TWN","TW",0,0,18,0,"TW",23568378,0.714285714285714,13.7142857142857,7.14285714285714,5.81893489415594e-07,3.03069525737288e-08,3.03069525737288e-07,5.81893489415594e-07,3.03069525737288e-08,3.03069525737288e-07
2020-02-13,"Taiwan","TWN","TW",0,0,18,0,"TW",23568378,0.642857142857143,14.3571428571429,6.42857142857143,6.0916974673195e-07,2.7276257316356e-08,2.7276257316356e-07,6.0916974673195e-07,2.7276257316356e-08,2.7276257316356e-07
2020-02-14,"Taiwan","TWN","TW",0,0,18,0,"TW",23568378,0.571428571428571,14.9285714285714,5.71428571428571,6.33415308790933e-07,2.42455620589831e-08,2.42455620589831e-07,6.33415308790933e-07,2.42455620589831e-08,2.42455620589831e-07
2020-02-15,"Taiwan","TWN","TW",0,0,18,0,"TW",23568378,0.571428571428571,15.5,5.71428571428571,6.57660870849916e-07,2.42455620589831e-08,2.42455620589831e-07,6.57660870849916e-07,2.42455620589831e-08,2.42455620589831e-07
2020-02-16,"Taiwan","TWN","TW",2,1,20,1,"TW",23568378,0.714285714285714,16.2142857142857,7.14285714285714,6.87967823423645e-07,3.03069525737288e-08,3.03069525737288e-07,6.87967823423645e-07,3.03069525737288e-08,3.03069525737288e-07
2020-02-17,"Taiwan","TWN","TW",2,0,22,1,"TW",23568378,0.857142857142857,17.0714285714286,8.57142857142857,7.2433616651212e-07,3.63683430884746e-08,3.63683430884746e-07,7.2433616651212e-07,3.63683430884746e-08,3.63683430884746e-07
2020-02-18,"Taiwan","TWN","TW",0,0,22,1,"TW",23568378,0.785714285714286,17.8571428571429,7.85714285714286,7.57673814343221e-07,3.33376478311017e-08,3.33376478311017e-07,7.57673814343221e-07,3.33376478311017e-08,3.33376478311017e-07
2020-02-19,"Taiwan","TWN","TW",1,0,23,1,"TW",23568378,0.857142857142857,18.7142857142857,8.57142857142857,7.94042157431696e-07,3.63683430884746e-08,3.63683430884746e-07,7.94042157431696e-07,3.63683430884746e-08,3.63683430884746e-07
2020-02-20,"Taiwan","TWN","TW",1,0,24,1,"TW",23568378,0.571428571428571,19.2857142857143,5.71428571428571,8.18287719490679e-07,2.42455620589831e-08,2.42455620589831e-07,8.18287719490679e-07,2.42455620589831e-08,2.42455620589831e-07
2020-02-21,"Taiwan","TWN","TW",2,0,26,1,"TW",23568378,0.714285714285714,20,7.14285714285714,8.48594672064408e-07,3.03069525737288e-08,3.03069525737288e-07,8.48594672064408e-07,3.03069525737288e-08,3.03069525737288e-07
2020-02-22,"Taiwan","TWN","TW",0,0,26,1,"TW",23568378,0.642857142857143,20.6428571428571,6.42857142857143,8.75870929380764e-07,2.7276257316356e-08,2.7276257316356e-07,8.75870929380764e-07,2.7276257316356e-08,2.7276257316356e-07
2020-02-23,"Taiwan","TWN","TW",2,0,28,1,"TW",23568378,0.714285714285714,21.3571428571429,7.14285714285714,9.06177881954492e-07,3.03069525737288e-08,3.03069525737288e-07,9.06177881954492e-07,3.03069525737288e-08,3.03069525737288e-07
2020-02-24,"Taiwan","TWN","TW",2,0,30,1,"TW",23568378,0.857142857142857,22.2142857142857,8.57142857142857,9.42546225042967e-07,3.63683430884746e-08,3.63683430884746e-07,9.42546225042967e-07,3.63683430884746e-08,3.63683430884746e-07
2020-02-25,"Taiwan","TWN","TW",1,0,31,1,"TW",23568378,0.928571428571429,23.1428571428571,9.28571428571429,9.81945263388815e-07,3.93990383458475e-08,3.93990383458475e-07,9.81945263388815e-07,3.93990383458475e-08,3.93990383458475e-07
2020-02-26,"Taiwan","TWN","TW",1,0,32,1,"TW",23568378,1,24.1428571428571,10,1.02437499699203e-06,4.24297336032204e-08,4.24297336032204e-07,1.02437499699203e-06,4.24297336032204e-08,4.24297336032204e-07
