"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"46","2020/02/15","US",329064917,0,0,13,0,3,3,3.95058826644835e-08,0,9.11674215334235e-09,9.11674215334235e-09
"47","2020/02/16","US",329064917,0,0,13,0,3,2,3.95058826644835e-08,0,9.11674215334235e-09,6.07782810222823e-09
"48","2020/02/17","US",329064917,0,0,13,0,3,2,3.95058826644835e-08,0,9.11674215334235e-09,6.07782810222823e-09
"49","2020/02/18","US",329064917,0,0,13,0,2,2,3.95058826644835e-08,0,6.07782810222823e-09,6.07782810222823e-09
"50","2020/02/19","US",329064917,0,0,13,0,2,2,3.95058826644835e-08,0,6.07782810222823e-09,6.07782810222823e-09
"51","2020/02/20","US",329064917,0,0,13,0,2,2,3.95058826644835e-08,0,6.07782810222823e-09,6.07782810222823e-09
"52","2020/02/21","US",329064917,2,0,15,0,4,3,4.55837107667117e-08,6.07782810222823e-09,1.21556562044565e-08,9.11674215334235e-09
"53","2020/02/22","US",329064917,0,0,15,0,4,3,4.55837107667117e-08,0,1.21556562044565e-08,9.11674215334235e-09
"54","2020/02/23","US",329064917,0,0,15,0,3,2,4.55837107667117e-08,0,9.11674215334235e-09,6.07782810222823e-09
"55","2020/02/24","US",329064917,0,0,15,0,3,2,4.55837107667117e-08,0,9.11674215334235e-09,6.07782810222823e-09
"56","2020/02/25","US",329064917,0,0,15,0,2,2,4.55837107667117e-08,0,6.07782810222823e-09,6.07782810222823e-09
"57","2020/02/26","US",329064917,0,0,15,0,2,2,4.55837107667117e-08,0,6.07782810222823e-09,6.07782810222823e-09
"58","2020/02/27","US",329064917,1,0,16,0,3,3,4.86226248178258e-08,3.03891405111411e-09,9.11674215334235e-09,9.11674215334235e-09
"59","2020/02/28","US",329064917,0,0,16,0,3,3,4.86226248178258e-08,0,9.11674215334235e-09,9.11674215334235e-09
"60","2020/02/29","US",329064917,8,1,24,1,11,11,7.29339372267388e-08,2.43113124089129e-08,3.34280545622553e-08,3.34280545622553e-08
"61","2020/03/01","US",329064917,7,0,31,1,18,18,9.42063355845376e-08,2.12723983577988e-08,5.47004529200541e-08,5.47004529200541e-08
