"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","countrycode","population","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active","p_infected","p_daily","p_active"
2020-01-22,"Macao","MAC","MO",0,0,1,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-01-23,"Macao","MAC","MO",1,0,2,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-01-24,"Macao","MAC","MO",0,0,2,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-01-25,"Macao","MAC","MO",0,0,2,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-01-26,"Macao","MAC","MO",3,0,5,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-01-27,"Macao","MAC","MO",1,0,6,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-01-28,"Macao","MAC","MO",1,0,7,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-01-29,"Macao","MAC","MO",0,0,7,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-01-30,"Macao","MAC","MO",0,0,7,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-01-31,"Macao","MAC","MO",0,0,7,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-02-01,"Macao","MAC","MO",0,0,7,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-02-02,"Macao","MAC","MO",1,0,8,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-02-03,"Macao","MAC","MO",0,0,8,0,"MO",683100,0,0,0,0,0,0,0,0,0
2020-02-04,"Macao","MAC","MO",2,0,10,0,"MO",683100,0.642857142857143,5.64285714285714,6.42857142857143,8.26066043457348e-06,9.41087897609637e-07,9.41087897609637e-06,8.26066043457348e-06,9.41087897609637e-07,9.41087897609637e-06
2020-02-05,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.642857142857143,6.28571428571429,6.42857142857143,9.20174833218311e-06,9.41087897609637e-07,9.41087897609637e-06,9.20174833218311e-06,9.41087897609637e-07,9.41087897609637e-06
2020-02-06,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.571428571428571,6.85714285714286,5.71428571428571,1.00382709078361e-05,8.3652257565301e-07,8.36522575653011e-06,1.00382709078361e-05,8.3652257565301e-07,8.36522575653011e-06
2020-02-07,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.571428571428571,7.42857142857143,5.71428571428571,1.08747934834891e-05,8.3652257565301e-07,8.36522575653011e-06,1.08747934834891e-05,8.3652257565301e-07,8.36522575653011e-06
2020-02-08,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.571428571428571,8,5.71428571428571,1.17113160591421e-05,8.3652257565301e-07,8.36522575653011e-06,1.17113160591421e-05,8.3652257565301e-07,8.36522575653011e-06
2020-02-09,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.357142857142857,8.35714285714286,3.57142857142857,1.22341426689253e-05,5.22826609783132e-07,5.22826609783132e-06,1.22341426689253e-05,5.22826609783132e-07,5.22826609783132e-06
2020-02-10,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.285714285714286,8.64285714285714,2.85714285714286,1.26524039567518e-05,4.18261287826505e-07,4.18261287826505e-06,1.26524039567518e-05,4.18261287826505e-07,4.18261287826505e-06
2020-02-11,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.214285714285714,8.85714285714286,2.14285714285714,1.29660999226217e-05,3.13695965869879e-07,3.13695965869879e-06,1.29660999226217e-05,3.13695965869879e-07,3.13695965869879e-06
2020-02-12,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.214285714285714,9.07142857142857,2.14285714285714,1.32797958884915e-05,3.13695965869879e-07,3.13695965869879e-06,1.32797958884915e-05,3.13695965869879e-07,3.13695965869879e-06
2020-02-13,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.214285714285714,9.28571428571429,2.14285714285714,1.35934918543614e-05,3.13695965869879e-07,3.13695965869879e-06,1.35934918543614e-05,3.13695965869879e-07,3.13695965869879e-06
2020-02-14,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.214285714285714,9.5,2.14285714285714,1.39071878202313e-05,3.13695965869879e-07,3.13695965869879e-06,1.39071878202313e-05,3.13695965869879e-07,3.13695965869879e-06
2020-02-15,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.214285714285714,9.71428571428571,2.14285714285714,1.42208837861012e-05,3.13695965869879e-07,3.13695965869879e-06,1.42208837861012e-05,3.13695965869879e-07,3.13695965869879e-06
2020-02-16,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.142857142857143,9.85714285714286,1.42857142857143,1.44300144300144e-05,2.09130643913253e-07,2.09130643913253e-06,1.44300144300144e-05,2.09130643913253e-07,2.09130643913253e-06
2020-02-17,"Macao","MAC","MO",0,0,10,0,"MO",683100,0.142857142857143,10,1.42857142857143,1.46391450739277e-05,2.09130643913253e-07,2.09130643913253e-06,1.46391450739277e-05,2.09130643913253e-07,2.09130643913253e-06
