"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active","p_cases_active_smooth","p_cases_active_smooth_slope","p_cases_active_smooth_slope2"
<<<<<<< HEAD
2020-03-15,"RK",2,0,1873000,0,0,0,2,0,0,1.06780565936999e-06,0,0,0,1.04248000734254e-05,0,0
2020-03-16,"RK",2,0,1873000,0,0,0,2,0,0,1.06780565936999e-06,0,0,0,1.34937634900761e-05,0,0
2020-03-17,"RK",2,0,1873000,0,0,0,2,0,0,1.06780565936999e-06,0,0,0,1.72733307350315e-05,0,0
2020-03-18,"RK",2,0,1873000,0,0,0,2,0,0,1.06780565936999e-06,0,0,0,2.18168200403895e-05,0,0
2020-03-19,"RK",2,0,1873000,0,0,0,2,0,0,1.06780565936999e-06,0,0,0,2.71336452939736e-05,0,0
2020-03-20,"RK",2,0,1873000,0,0,0,2,0,0,1.06780565936999e-06,0,0,0,3.31035240019227e-05,0,0
2020-03-21,"RK",2,0,1873000,0,0,0,2,0,0,1.06780565936999e-06,0,0,0,3.94916861109389e-05,4.84448100625226e-06,8.07413501042043e-07
2020-03-26,"RK",71,1,1873000,69,1,69,71,69,690,3.79071009076348e-05,3.68392952482648e-05,3.68392952482648e-05,0.000368392952482648,6.39186878706854e-05,8.40415406343487e-06,1.40069234390581e-06
2020-03-27,"RK",86,1,1873000,15,0,15,86,84,150,4.59156433529098e-05,8.00854244527496e-06,4.48478376935398e-05,8.00854244527496e-05,6.53160673016753e-05,8.00712276110729e-06,1.33452046018455e-06
2020-03-28,"RK",91,1,1873000,5,0,5,91,89,50,4.85851575013348e-05,2.66951414842499e-06,4.75173518419648e-05,2.66951414842499e-05,6.57133649487763e-05,7.31609081806447e-06,1.21934846967741e-06
2020-03-29,"RK",94,1,1873000,3,0,3,94,92,30,5.01868659903897e-05,1.60170848905499e-06,4.91190603310198e-05,1.60170848905499e-05,6.55202499917385e-05,6.39776744962748e-06,1.06629457493791e-06
2020-03-30,"RK",94,1,1873000,0,0,0,94,92,0,5.01868659903897e-05,0,4.91190603310198e-05,0,6.51928134147997e-05,5.34821490214618e-06,8.91369150357696e-07
2020-03-31,"RK",112,1,1873000,18,0,18,112,110,180,5.97971169247197e-05,9.61025093432995e-06,5.87293112653497e-05,9.61025093432995e-05,6.51711802036182e-05,4.27991568211321e-06,-9.40942206898417e-08
2020-04-01,"RK",125,1,1873000,13,0,13,125,123,130,6.67378537106247e-05,6.94073678590497e-06,6.56700480512547e-05,6.94073678590497e-05,6.58351816319369e-05,3.19415626875251e-07,-1.34745640609327e-06
2020-04-02,"RK",125,1,1873000,0,0,0,125,123,0,6.67378537106247e-05,0,6.56700480512547e-05,0,6.74771610869112e-05,3.60182297539327e-07,-1.27449007726133e-06
2020-04-03,"RK",126,1,1873000,1,0,1,126,124,10,6.72717565403097e-05,5.33902829684997e-07,6.62039508809397e-05,5.33902829684997e-06,7.02849977652825e-05,7.61938802751028e-07,-1.09235866921891e-06
2020-04-04,"RK",135,1,1873000,9,0,9,135,133,90,7.20768820074746e-05,4.80512546716498e-06,7.10090763481046e-05,4.80512546716498e-05,7.43304124105184e-05,1.46836040312998e-06,-8.21567841082918e-07
2020-04-05,"RK",145,1,1873000,10,0,10,145,143,100,7.74159103043246e-05,5.33902829684997e-06,7.63481046449546e-05,5.33902829684997e-05,7.95610580215954e-05,2.39470743446594e-06,-4.92251244613374e-07
2020-04-06,"RK",145,1,1873000,0,0,0,145,143,0,7.74159103043246e-05,0,7.63481046449546e-05,0,8.57976649086256e-05,3.43774745083458e-06,-1.40361371879772e-07
2020-04-07,"RK",170,4,1873000,25,3,25,170,99,250,9.07634810464496e-05,1.33475707421249e-05,5.28563801388147e-05,0.000133475707421249,9.2740091179801e-05,4.48415159131069e-06,6.9412266073924e-07
