"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","icu_patients","hosp_patients","weekly_icu_admissions","weekly_hosp_admissions","countrycode","population","cases_daily","cases_infected","cases_active","p_infected","p_daily","p_active"
2020-02-23,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-02-24,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-02-25,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-02-26,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-02-27,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-02-28,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-02-29,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-01,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-02,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-03,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-04,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-05,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-06,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-07,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-08,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-09,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-10,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-11,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-12,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-13,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-14,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-15,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-16,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-17,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-18,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-19,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-20,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-21,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-22,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-23,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-24,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-25,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-26,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-27,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-28,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-29,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-30,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-03-31,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-01,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-02,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-03,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-04,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-05,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-06,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-07,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-08,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-09,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-10,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
2020-04-11,"Saint Helena","SHN","SH",0,0,0,0,NA,NA,NA,NA,"SH",5633,0,0,0,0,0,0
