"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active","p_cases_active_smooth"
2020-03-15,"XK",2,0,1873000,0,0,0,2,0,1.06780565936999e-06,0,0,1.04248000734254e-05
2020-03-16,"XK",2,0,1873000,0,0,0,2,0,1.06780565936999e-06,0,0,1.34937634900761e-05
2020-03-17,"XK",2,0,1873000,0,0,0,2,0,1.06780565936999e-06,0,0,1.72733307350315e-05
2020-03-18,"XK",2,0,1873000,0,0,0,2,0,1.06780565936999e-06,0,0,2.18168200403895e-05
2020-03-19,"XK",2,0,1873000,0,0,0,2,0,1.06780565936999e-06,0,0,2.71336452939736e-05
2020-03-20,"XK",2,0,1873000,0,0,0,2,0,1.06780565936999e-06,0,0,3.31035240019227e-05
2020-03-21,"XK",2,0,1873000,0,0,0,2,0,1.06780565936999e-06,0,0,3.94916861109389e-05
2020-03-26,"XK",71,1,1873000,69,1,69,71,690,3.79071009076348e-05,3.68392952482648e-05,0.000368392952482648,6.39186878706854e-05
2020-03-27,"XK",86,1,1873000,15,0,15,86,150,4.59156433529098e-05,8.00854244527496e-06,8.00854244527496e-05,6.53160673016753e-05
2020-03-28,"XK",91,1,1873000,5,0,5,91,50,4.85851575013348e-05,2.66951414842499e-06,2.66951414842499e-05,6.57133649487763e-05
2020-03-29,"XK",94,1,1873000,3,0,3,94,30,5.01868659903897e-05,1.60170848905499e-06,1.60170848905499e-05,6.55202499917385e-05
2020-03-30,"XK",94,1,1873000,0,0,0,94,0,5.01868659903897e-05,0,0,6.51928134147997e-05
2020-03-31,"XK",112,1,1873000,18,0,18,112,180,5.97971169247197e-05,9.61025093432995e-06,9.61025093432995e-05,6.51711802036182e-05
2020-04-01,"XK",125,1,1873000,13,0,13,125,130,6.67378537106247e-05,6.94073678590497e-06,6.94073678590497e-05,6.58351816319369e-05
2020-04-02,"XK",125,1,1873000,0,0,0,125,0,6.67378537106247e-05,0,0,6.74771610869112e-05
2020-04-03,"XK",126,1,1873000,1,0,1,126,10,6.72717565403097e-05,5.33902829684997e-07,5.33902829684997e-06,7.02849977652825e-05
2020-04-04,"XK",135,1,1873000,9,0,9,135,90,7.20768820074746e-05,4.80512546716498e-06,4.80512546716498e-05,7.43304124105184e-05
2020-04-05,"XK",145,1,1873000,10,0,10,145,100,7.74159103043246e-05,5.33902829684997e-06,5.33902829684997e-05,7.95610580215954e-05
2020-04-06,"XK",145,1,1873000,0,0,0,145,0,7.74159103043246e-05,0,0,8.57976649086256e-05
2020-04-07,"XK",170,4,1873000,25,3,25,170,250,9.07634810464496e-05,1.33475707421249e-05,0.000133475707421249,9.2740091179801e-05
2020-04-08,"XK",184,5,1873000,14,1,14,184,140,9.82381206620395e-05,7.47463961558996e-06,7.47463961558996e-05,0.000100022015795241
