"date","country","ISO3","ISO2","cases","deaths","cum_cases","cum_deaths","countrycode","population","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active"
2021-06-15,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-16,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-17,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-18,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-19,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-20,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-21,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-22,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-23,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-24,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-25,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-26,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-27,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-28,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-29,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-06-30,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-01,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-02,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-03,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-04,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-05,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-06,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-07,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-08,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
2021-07-09,"Pitcairn","PCN","PN",0,0,0,0,"PN",50,0,0,0,0,0,0
