"Timestamp","Country","ISO.3166.1.a2","Region","ISO.3166.2","Language","Reach","Cases","Visibility","Recovered","Fatalities","RecentCases","RecentCases14","PositiveTest14Days","PositiveTest07Days","LongCovid","StillSick","Tested","Positive","Hospital","Severe","ICU","Vaccinated","RecentVaccinated","VaccineSideEffects","RefuseVaccine","ContactsDoctors","Surveyfirst","Surveyknown","Surveyforward","Dataset","Cookie","Campaign"
"2024-04-01","Pakistan","PK","Punjab","PKPB","en",150,35,8,,2000,1,,,,,3,,,15000,,,65,,,,,,,,"limesurvey-138373","hpzuopnwuze6fo047q",20240401
"2024-04-29","Pakistan","PK","Punjab","PKPB","en",35,10000,25,,7000,0,,,,,0,,,50000,,,5000,,,,,,,,"limesurvey-140445","ilybx7vgozra3db92f",20240429
"2024-05-27","Pakistan","PK","Punjab","PKPB","en",5000,2000,9,,900,1,,,,,7,,,1000,,,500,,,,,,,,"limesurvey-142384","0yhr6v130tdr873o7c",20240527
"2024-05-27","Pakistan","PK","Punjab","PKPB","en",5000,2000,9,,900,1,,,,,7,,,1000,,,500,,,,,,,,"limesurvey-142385","0yhr6v130tdr873o7c",20240527
"2024-07-15","Pakistan","PK","Khyber Pakhtunkhwa","PKKP","en",8,8,15,,57,6,,,,,0,,,500,,,5,,,,,,,,"limesurvey-146175","tg8h114278rzk838db",20240715
"2024-07-29","Pakistan","PK","Punjab","PKPB","en",500,200,25,,2000,0,,,,,2,,,10000,,,200,,,,,,,,"limesurvey-147275","fgk0gmeayei5peypn1",20240729
"2024-07-29","Pakistan","PK","Punjab","PKPB","en",500,200,25,,2000,0,,,,,2,,,10000,,,200,,,,,,,,"limesurvey-147276","fgk0gmeayei5peypn1",20240729
"2024-08-12","Pakistan","PK","Islamabad","PKIS","en",30,8,30,,0,0,,,,,0,,,0,,,25,,,,,,,,"limesurvey-148631","4sf2oeq7z5av9uohio",20240812
"2024-09-30","Pakistan","PK","Punjab","PKPB","en",1200,600,7,,8000,1,,,,,7,,,10000,,,800,,,,,,,,"limesurvey-152317","v8solhfmnsop2zvrku",20240930
"2024-09-30","Pakistan","PK","Punjab","PKPB","en",1200,600,7,,8000,1,,,,,7,,,10000,,,800,,,,,,,,"limesurvey-152318","v8solhfmnsop2zvrku",20240930
"2024-10-28","Pakistan","PK","Punjab","PKPB","en",15,700,7,,700,5,,,,,1,,,1000,,,5,,,,,,,,"limesurvey-154268","v8solhfmnsop2zvrku",20241028
"2024-10-28","Pakistan","PK","Punjab","PKPB","en",15,700,7,,700,5,,,,,1,,,1000,,,5,,,,,,,,"limesurvey-154267","v8solhfmnsop2zvrku",20241028
"2024-11-25","Pakistan","PK","Punjab","PKPB","en",1000,250,9,,300,0,,,,,2,,,400,,,700,,,,,,,,"limesurvey-156334","v8solhfmnsop2zvrku",20241125
"2024-12-23","Pakistan","PK","Punjab","PKPB","en",15,8000,7,,4000,0,,,,,3,,,15000,,,6000,,,,,,,,"limesurvey-158329","v8solhfmnsop2zvrku",20241223
