ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope
JO,JOR,Jordan,2020-04-24,2020-04-24,523,523,1,0.00764818355640535,0.00746636526338035,0.00425088530576825,5.16147017211947e-05,0.00382409177820268,0.00528968020806005,0.00187542974018004,3.43242879274556e-05,0.00332856514084507,0.000592091016972283,0.00899847197321897,0.00881357848656891,0.0068858924950638,5.98177905095906e-05,0.00564182107012357,0.00630969426532126,0.0043775589861675,4.1123380911053e-05,0.00211492767991531,0.000534628303138018,,,,,
JO,JOR,Jordan,2020-04-25,2020-04-25,323,323,1,0.00309597523219814,0.00605859948180993,0.00326794211109101,4.54013194981586e-05,0,0,0,0,0.0011107655396099,0.000435170203019092,0.00895919666459011,0.00874677321031196,0.00689952264527565,5.9905777244549e-05,0.00559758024774237,0.00629908379100306,0.00439240610794054,4.15360738003682e-05,0.00206694220633789,0.000526454679644426,,,,,
JO,JOR,Jordan,2020-04-26,2020-04-26,335,335,1,0.0238805970149254,0.0163493221108235,0.0200950698013437,0.000112669143969167,0.0208955223880597,0.0153167569995726,0.017406334245713,0.000105004739837452,0.00212756903961534,0.000589093543385269,0.00890878944810509,0.00865609661411623,0.00691181466124546,6.0021126123778e-05,0.00554559302226355,0.00627068081753502,0.00440396967135331,4.19715371435616e-05,0.00201690546105005,0.000516796839450178,,,,,
JO,JOR,Jordan,2020-04-27,2020-04-27,334,334,1,0.0029940119760479,0.00585936439299106,0.00163528788247207,3.21320825378739e-05,0.0029940119760479,0.00585936439299106,0.00163528788247207,3.21320825378739e-05,0.0050515861124192,0.000909149135317493,0.00884811336815367,0.00853969615852032,0.00692397276864878,6.01752265699569e-05,0.0054872128071068,0.00622273622225532,0.0044126653186984,4.24357753754033e-05,0.00196544750473367,0.000505565879404104,,,,,
JO,JOR,Jordan,2020-04-28,2020-04-28,377,377,1,0.00530503978779841,0.00733274694108882,0.00390547762237183,5.10756757561692e-05,0.0026525198938992,0.00519194386409944,0.00119817533142077,2.83286982836691e-05,0.00094400181248348,0.00036986720940507,0.00877890662283929,0.00839660915477846,0.00693705182893215,6.03788669970642e-05,0.00542406889309208,0.00615397394619643,0.00441885083381528,4.29335845387792e-05,0.00191321104931947,0.00049271230524507,,,,,
JO,JOR,Jordan,2020-04-29,2020-04-29,306,306,1,0.0130718954248366,0.0127262197586558,0.00752198760630507,6.98799036897044e-05,0.00326797385620915,0.00639463662829673,0.00126603070468765,2.87589200873302e-05,0.0012633943194048,0.000476245201346725,0.00870405158566558,0.00822729347133099,0.00695297353296986,6.06445983900677e-05,0.00535845730307259,0.0060641915654255,0.00442345031647007,4.34727121113874e-05,0.00186089538684309,0.000478257485203481,,,,,
JO,JOR,Jordan,2020-04-30,2020-04-30,290,290,1,0.0137931034482759,0.0134234486687855,0.00798528949536924,7.09552012534312e-05,0.00689655172413793,0.00952494191373123,0.0048599331950348,5.54417720885351e-05,0.00191146881287726,0.000607166835868841,0.00862743664963675,0.00803389633416369,0.0069742509056202,6.09858717624459e-05,0.00529287647637742,0.00595425597586479,0.00442770626515035,4.40601730316257e-05,0.00180914186537466,0.000462305264630205,-6.1839220597037e-05,1.47264017593995e-05,-5.81574322910241e-05,8.35787983047374e-06,-5.09643024234403e-05
JO,JOR,Jordan,2020-05-01,2020-05-01,292,292,1,0,0,0,0,0,0,0,0,0.000974706369706126,0.000426967815381486,0.00855367853111575,0.00782042214058489,0.00700351201473071,6.14130044164809e-05,0.00522989575410532,0.00582635169456819,0.0044332545583178,4.47020762493665e-05,0.00175848554542478,0.000445056603645022,-6.75863555790598e-05,1.73315615758425e-05,-6.1280748939508e-05,6.80807506287613e-06,-5.14094434855182e-05
JO,JOR,Jordan,2020-05-02,2020-05-02,208,208,1,0.0144230769230769,0.0162028214584009,0.0163568441467914,0.000105245286064222,0.0144230769230769,0.0162028214584009,0.0163568441467914,0.000105245286064222,0.00181285734207224,0.00069619521274739,0.00848831145570755,0.0075929067358043,0.0070441228169156,6.19358805417611e-05,0.00517227896883503,0.00568417530535137,0.0044423495515924,4.54044068081131e-05,0.00170926017363636,0.00042680921547704,-7.00796653995891e-05,2.20513592783566e-05,-6.22190089047533e-05,6.39664670651511e-06,-5.12742145689482e-05
JO,JOR,Jordan,2020-05-03,2020-05-03,790,790,1,0.00379746835443038,0.00428899408820723,0.00557168530328673,5.92277927698889e-05,0.00126582278481013,0.00247939633949216,0.0043556560988816,5.23991720389912e-05,0.000633621782106521,0.000209848821537331,0.00843714068166124,0.00735904568314256,0.00709963923666187,6.25606594857409e-05,0.00512259653118118,0.00553270681963085,0.00445756449958831,4.61705025755829e-05,0.00166159731200406,0.000407949803199329,-6.84954477487389e-05,2.9277744668848e-05,-6.07693793209372e-05,7.483196814985e-06,-5.06416987882678e-05
