ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope
HN,HND,Honduras,2020-04-23,2020-04-23,492,492,1,0.00813008130081301,0.00793487963958547,0.00554937565102159,5.99600473322631e-05,0.00203252032520325,0.00397961613431327,0.00331486203545011,4.63938071144535e-05,0.00146893631729024,0.000402853147598188,0.00679068082552812,0.00695883744579144,0.00478623262178915,5.15307671254324e-05,0.00240644072653981,0.00364505608254985,0.00206840131824312,3.00161076575888e-05,0.00226562457572726,0.000494283786097642,,,,,
HN,HND,Honduras,2020-04-24,2020-04-24,460,460,1,0.00652173913043478,0.00735580268262078,0.0025908243305819,4.02518974423122e-05,0.00217391304347826,0.00425615745613207,0.00095380075422188,2.4442876370705e-05,0.0019501625135428,0.000481088232930138,0.00692974122492607,0.00699582303168478,0.00498650124202523,5.24455153631032e-05,0.00250342170385612,0.00371584728246591,0.00217625402953527,3.09532770486699e-05,0.00232177904085118,0.000497106715252806,,,,,
HN,HND,Honduras,2020-04-25,2020-04-25,494,494,1,0.00404858299595142,0.00559957694619624,0.00373091460609566,4.83506548986996e-05,0,0,0,0,0.00182576943140323,0.00045042960222539,0.00708162964500157,0.00703111252022523,0.0052086533114079,5.34865523557104e-05,0.00260899745088018,0.00379089563529905,0.00230045831768935,3.20527423374741e-05,0.00238165415829505,0.000499426731427916,,,,,
HN,HND,Honduras,2020-04-26,2020-04-26,482,482,1,0.0020746887966805,0.00406209496108308,0.000978060161190033,2.52017196226547e-05,0.0020746887966805,0.00406209496108308,0.000978060161190033,2.52017196226547e-05,0.00214201877934272,0.000490844922283237,0.00724277967898734,0.00706087960637629,0.00544964380800339,5.4643521387136e-05,0.00272268237755758,0.00386804049369758,0.00244017350826839,3.33059640882854e-05,0.00244455274896191,0.000501041104881037,,,,,
HN,HND,Honduras,2020-04-27,2020-04-27,429,429,1,0.00233100233100233,0.00456335270740631,0.00279709169893698,4.20160149402223e-05,0,0,0,0,0.00300161625490649,0.00061578597114667,0.00740876181981022,0.00708086973989276,0.00570487919410583,5.58987776698928e-05,0.00284374316275998,0.00394473671207661,0.00259350445372827,3.46954490994742e-05,0.00250923281662411,0.000501720391785747,,,,,
HN,HND,Honduras,2020-04-28,2020-04-28,542,542,1,0.011070110701107,0.00880860592660157,0.00455779670431579,5.32803043558448e-05,0.00553505535055351,0.00624603151483007,0.00250725268352867,3.95580725873931e-05,0.00214272648880295,0.000463278469261292,0.00757433535164514,0.00708666608971373,0.0059677933638937,5.72249528536954e-05,0.00297116674940352,0.00401819806058819,0.00275734139569675,3.61927363483638e-05,0.00257394069698631,0.000501226996377164,,,,,
HN,HND,Honduras,2020-04-29,2020-04-29,512,512,1,0.01171875,0.00932167663073317,0.00758764702397032,6.94727943814343e-05,0.005859375,0.00661093166588179,0.00457122008408773,5.4005288360634e-05,0.00221648616800404,0.000488222435375558,0.00773353546553105,0.00707407410931757,0.00623114459415456,5.8589811879952e-05,0.0031029925833317,0.00408528447618103,0.00292724238593482,3.77575120595457e-05,0.00263651627934662,0.000499344089563647,0.000157142440000488,0.000240818662060902,0.000116091976131982,0.000143140177948615,6.18152839365596e-05
HN,HND,Honduras,2020-04-30,2020-04-30,467,467,1,0.00428265524625268,0.00592262512207371,0.00179874572361062,3.37885631754132e-05,0.00214132762312634,0.00419242911659858,0.00125838826535351,2.8268950388963e-05,0.00222547405645997,0.000509947424506984,0.00788055229306424,0.0070398277959607,0.00648627940647354,5.99530449467207e-05,0.00323693537197481,0.00414311231978534,0.00309787682492304,3.9341106221876e-05,0.00269441203601876,0.000495900028642367,0.000158468511356362,0.000249963027408053,0.000122252278019782,0.000153603799231294,6.21054991945963e-05
HN,HND,Honduras,2020-05-01,2020-05-01,361,361,1,0.0166204986149585,0.0131879438649227,0.0161750458940754,0.000100006002020253,0.00277008310249308,0.00542173814525057,0.00692633457450007,6.57486520642686e-05,0.00180470006669544,0.000521053082973304,0.00801006875081378,0.00698211603577923,0.00672542161709915,6.12756105251602e-05,0.00336998000082404,0.00418914689396259,0.0032630384149309,4.08865641473553e-05,0.00274497060096564,0.000490805673843342,0.000154739850968702,0.000252794717615208,0.000126830424990644,0.000160430016206926,6.05527404450989e-05
HN,HND,Honduras,2020-05-02,2020-05-02,340,340,1,0.0117647058823529,0.011461180436903,0.0134951826508273,9.2207790262372e-05,0.00294117647058824,0.00575611635912399,0.00163613869198136,3.2298556220365e-05,0.00442776418993,0.000845034253294721,0.00811734598310027,0.00690084389728635,0.00694135685932488,6.25179662414671e-05,0.00349847683272158,0.00422147700681812,0.00341636483441182,4.23347437991089e-05,0.00278567519855681,0.000484080968961443,0.000145761050685488,0.000248618841886915,0.000129299075860666,0.000162698554357238,5.68537415991498e-05
