"RegionName","RegionCode"
"Acre","BR_AC"
"Alagoas","BR_AL"
"Amazonas","BR_AM"
"Amapa","BR_AP"
"Bahia","BR_BA"
"Ceara","BR_CE"
"Distrito Federal","BR_DF"
"Espirito Santo","BR_ES"
"Goias","BR_GO"
"Maranhao","BR_MA"
"Minas Gerais","BR_MG"
"Mato Grosso do Sul","BR_MS"
"Mato Grosso","BR_MT"
"Para","BR_PA"
"Paraiba","BR_PB"
"Pernambuco","BR_PE"
"Piaui","BR_PI"
"Parana","BR_PR"
"Rio de Janeiro","BR_RJ"
"Rio Grande do Norte","BR_RN"
"Rondonia","BR_RO"
"Roraima","BR_RR"
"Rio Grande do Sul","BR_RS"
"Santa Catarina","BR_SC"
"Sergipe","BR_SE"
"Sao Paulo","BR_SP"
"Tocantins","BR_TO"
"Alberta","CAN_AB"
"British Columbia","CAN_BC"
"Manitoba","CAN_MB"
"New Brunswick","CAN_NB"
"Newfoundland and Labrador","CAN_NL"
"Nova Scotia","CAN_NS"
"Northwest Territories","CAN_NT"
"Nunavut","CAN_NU"
"Ontario","CAN_ON"
"Prince Edward Island","CAN_PE"
"Quebec","CAN_QC"
"Saskatchewan","CAN_SK"
"Yukon","CAN_YT"
"Anhui","CHN_AH"
"Beijing","CHN_BJ"
"Chongqing","CHN_CQ"
"Fujian","CHN_FJ"
"Guangdong","CHN_GD"
"Gansu","CHN_GS"
"Guangxi","CHN_GX"
"Guizhou","CHN_GZ"
"Henan","CHN_HA"
"Hubei","CHN_HB"
"Hebei","CHN_HE"
"Hainan","CHN_HI"
"Heilongjiang","CHN_HL"
"Hunan","CHN_HN"
"Jilin","CHN_JL"
"Jiangsu","CHN_JS"
"Jiangxi","CHN_JX"
"Liaoning","CHN_LN"
"Inner Mongolia","CHN_NM"
"Ningxia","CHN_NX"
"Qinghai","CHN_QH"
"Sichuan","CHN_SC"
"Shandong","CHN_SD"
"Shanghai","CHN_SH"
"Shaanxi","CHN_SN"
"Shanxi","CHN_SX"
"Tianjin","CHN_TJ"
"Xinjiang","CHN_XJ"
"Tibet","CHN_XZ"
"Yunnan","CHN_YN"
"Zhejiang","CHN_ZJ"
"England","UK_ENG"
"Northern Ireland","UK_NIR"
"Scotland","UK_SCO"
"Wales","UK_WAL"
"Alaska","US_AK"
"Alabama","US_AL"
"Arkansas","US_AR"
"Arizona","US_AZ"
"California","US_CA"
"Colorado","US_CO"
"Connecticut","US_CT"
"Washington DC","US_DC"
"Delaware","US_DE"
"Florida","US_FL"
"Georgia","US_GA"
"Hawaii","US_HI"
"Iowa","US_IA"
"Idaho","US_ID"
"Illinois","US_IL"
"Indiana","US_IN"
"Kansas","US_KS"
"Kentucky","US_KY"
"Louisiana","US_LA"
"Massachusetts","US_MA"
"Maryland","US_MD"
"Maine","US_ME"
"Michigan","US_MI"
"Minnesota","US_MN"
"Missouri","US_MO"
"Mississippi","US_MS"
"Montana","US_MT"
"North Carolina","US_NC"
"North Dakota","US_ND"
"Nebraska","US_NE"
"New Hampshire","US_NH"
"New Jersey","US_NJ"
"New Mexico","US_NM"
"Nevada","US_NV"
"New York","US_NY"
"Ohio","US_OH"
"Oklahoma","US_OK"
"Oregon","US_OR"
"Pennsylvania","US_PA"
"Rhode Island","US_RI"
"South Carolina","US_SC"
"South Dakota","US_SD"
"Tennessee","US_TN"
"Texas","US_TX"
"Utah","US_UT"
"Virginia","US_VA"
"Vermont","US_VT"
"Washington","US_WA"
"Wisconsin","US_WI"
"West Virginia","US_WV"
"Wyoming","US_WY"
