region,Texto
ESCE,Ceuta
ESML,Melilla
ESC,La Coruña
ESVI,Álava
ESAB,Albacete
ESA,Alicante
ESAL,Almería
ESO,Asturias
ESAV,Ávila
ESBA,Badajoz
ESPM,Islas Baleares
ESB,Barcelona
ESBI,Vizcaya
ESBU,Burgos
ESCC,Cáceres
ESCA,Cádiz
ESS,Cantabria
ESCS,Castellón
ESCR,Ciudad Real
ESCO,Córdoba
ESCU,Cuenca
ESSS,Guipúzcoa
ESGI,Gerona
ESGR,Granada
ESGU,Guadalajara
ESH,Huelva
ESHU,Huesca
ESJ,Jaén
ESLO,La Rioja
ESGC,Las Palmas
ESLE,León
ESL,Lleida
ESLU,Lugo
ESM,Madrid
ESMA,Málaga
ESMU,Murcia
ESNA,Navarra
ESOR,Orense
ESP,Palencia
ESPO,Pontevedra
ESSA,Salamanca
ESTF,Santa Cruz de Tenerife
ESSG,Segovia
ESSE,Sevilla
ESSO,Soria
EST,Tarragona
ESTE,Teruel
ESTO,Toledo
ESV,Valencia
ESVA,Valladolid
ESZA,Zamora
ESZ,Zaragoza
