"","Country","Reach_Mean","Reach_Var","Count"
"1","AD","19","0","4"
"2","AE","26.6666666666667","433.333333333333","3"
"3","AI","1",NA,"1"
"4","AL","33","578","2"
"5","AO","525","451250","2"
"6","AQ","3761.921875","1666145.31125992","64"
"7","AR","76.7719298245614","3208.60776942356","57"
"8","AT","50.95","3733.41842105263","20"
"9","AU","56.2619047619048","2903.51509872242","42"
"10","BA","53252.5","1259895025","4"
"11","BB","100",NA,"1"
"12","BD","20",NA,"1"
"13","BE","30.4545454545455","1077.00568181818","33"
"14","BG","50.5","3267","4"
"15","BH","70",NA,"1"
"16","BN","9",NA,"1"
"17","BR","82.0980392156863","8247.03122123447","3111"
"18","BS","2020","0","5"
"19","BY","123","0","4"
"20","CA","20.2347826086957","266.690007627765","115"
"21","CH","15.2459016393443","56.2885245901639","61"
"22","CL","66.4790419161677","3139.32335329341","167"
"23","CM","50",NA,"1"
"24","CN","38","1557.5","5"
"25","CO","27.875","986.383333333333","16"
"26","CR","200",NA,"1"
"27","CU","15",NA,"1"
"28","CY","18.3250641573995","287.687051044682","1169"
"29","CZ","7","136.75","9"
"30","DE","33.984126984127","805.872426424151","378"
"31","DK","20.6666666666667","128.666666666667","6"
"32","DO","2",NA,"1"
"33","DZ","458","244820","5"
"34","EC","64.1893203883495","3383.22441121584","412"
"35","EG","41.5","1715.66666666667","4"
"36","ES","68.9977906976744","2753.3756201911","8600"
"37","ET","250",NA,"1"
"38","FI","31.6417910447761","160.778833107191","67"
"39","FR","52.8576","2374.10308717949","625"
"40","GA","15",NA,"1"
"41","GB","28.2949709864603","783.21300469422","1034"
"42","GF","1",NA,"1"
"43","GG","26.6666666666667","33.3333333333333","3"
"44","GH","60",NA,"1"
"45","GL","77",NA,"1"
"46","GR","48.8983050847458","2280.15948756702","472"
"47","GT","125","2500","4"
"48","HK","51","4802","2"
"49","HR","123.857142857143","9210.80952380952","7"
"50","HU","23.5555555555556","418.768253968254","36"
"51","ID","71.5652173913043","2972.25691699605","23"
"52","IE","48.4166666666667","1520.6884057971","24"
"53","IL","6.23076923076923","4.69230769230769","13"
"54","IN","47.5725190839695","2265.23123899002","131"
"55","IR","108.285714285714","5766.90476190476","7"
"56","IT","48.1964549483013","2224.00720634893","677"
"57","JO","2",NA,"1"
"58","JP","30.3768115942029","1013.56500581826","138"
"59","KE","800","980000","2"
"60","KH","10000",NA,"1"
"61","KR","9","10.3333333333333","7"
"62","KW","20",NA,"1"
"63","KY","3","0","3"
"64","KZ","125","11250","2"
"65","LB","27.75","473.583333333333","4"
"66","LK","26","1152","2"
"67","LY","50",NA,"1"
"68","MA","5.33333333333333","8.33333333333333","3"
"69","MK","110","3200","2"
"70","MT","3.83333333333333","10.1666666666667","6"
"71","MX","53.1176470588235","1636.5311942959","34"
"72","MY","60","6175","3"
"73","NG","24.875","738.696428571429","8"
"74","NI","24.3333333333333","604.333333333333","3"
"75","NL","38.9710144927536","1409.0873827792","69"
"76","NO","27.4285714285714","534.285714285714","7"
"77","NP","80","1800","2"
"78","NZ","84.2857142857143","2261.90476190476","7"
"79","PA","13.5","264.5","2"
"80","PE","50.75","2168.91666666667","4"
"81","PH","105.25","18650.25","4"
"82","PK","10557.25","48601812.25","4"
"83","PL","51.8717948717949","2167.79892037787","39"
"84","PR","50",NA,"1"
"85","PT","71.0991549295775","2681.94168474205","1775"
"86","RO","30.5675675675676","823.918918918919","37"
"87","RS","23.2857142857143","202.238095238095","7"
"88","RU","19.0697674418605","127.736251709986","86"
"89","RW","1",NA,"1"
"90","SA","30",NA,"1"
"91","SD","89725",NA,"1"
"92","SE","31.6470588235294","468.114081996435","34"
"93","SG","25.3333333333333","218.666666666667","6"
"94","SI","150",NA,"1"
"95","SK","3",NA,"1"
"96","SV","20",NA,"1"
"97","SY","10000","0","2"
"98","TH","10","0","3"
"99","TN","23.3333333333333","33.3333333333333","3"
"100","TR","121.466666666667","8804.40952380952","15"
"101","TW","172.5","55444.5","2"
"102","Tw","172.5","55444.5","2"
"103","TZ","20000",NA,"1"
"104","UA","87.8875185002467","7225.90836832086","2027"
"105","UG","286.666666666667","56386.6666666667","6"
"106","US","32.6830065359477","975.841608399085","918"
"107","VA","99999",NA,"1"
"108","VE","77.0454545454545","915.854978354978","22"
"109","ZA","64.5185185185185","2819.49002849003","27"
