"","Country","Region","Reach_Mean","Reach_Var","Count"
"1","AD","AD","19",NA,"1"
"2","AE","AE","50",NA,"1"
"3","AE","AEDU","15","50","2"
"4","AI","AI","1",NA,"1"
"5","AL","AL11","16",NA,"1"
"6","AL","AL02","50",NA,"1"
"7","AO","AOCCU","50",NA,"1"
"8","AO","AOLUA","1000",NA,"1"
"9","AQ","AQ","3376.32142857143","2877787.92989418","28"
"10","AR","ARB","115","8450","2"
"11","AR","ARC","15",NA,"1"
"12","AR","ARX","150","5000","2"
"13","AT","AT9","55","5141.66666666667","7"
"14","AT","AT3","7.33333333333333","120.333333333333","3"
"15","AT","AT7","5.5","0.5","2"
"16","AT","AT6","100",NA,"1"
"17","AT","AT","110","3200","2"
"18","AT","AT4","150",NA,"1"
"19","AU","AUWA","80","10800","3"
"20","AU","AUVIC","35.5714285714286","1013.95238095238","7"
"21","AU","AUACT","50",NA,"1"
"22","AU","AUNSW","32.5","425","4"
"23","AU","AUQLD","100","0","4"
"24","BA","BASRP","10",NA,"1"
"25","BA","BA09","71000",NA,"1"
"26","BB","BB","100",NA,"1"
"27","BD","BDB","20",NA,"1"
"28","BE","BEVBR","17.5","312.5","2"
"29","BE","BEVLG","30",NA,"1"
"30","BE","BE","60","800","2"
"31","BE","BEVAN","20",NA,"1"
"32","BE","BEBRU","23.3333333333333","1012.33333333333","3"
"33","BE","BEVOV","8",NA,"1"
"34","BG","BG","100",NA,"1"
"35","BG","BG02","100",NA,"1"
"36","BG","BG23","1",NA,"1"
"37","BH","BH","70",NA,"1"
"38","BN","BN","9",NA,"1"
"39","BR","BR","108.038461538462","15032.4384615385","26"
"40","BR","BRSP","78.8831360946746","7342.39076703923","676"
"41","BR","BRPE","119.088235294118","13585.6586452763","34"
"42","BR","BRPR","70.695945945946","7627.34229637801","148"
"43","BR","BRMS","50.2666666666667","4413.06666666667","15"
"44","BR","BRMG","74.76","6649.79436241611","150"
"45","BR","BRGO","67.2692307692308","6994.04461538462","26"
"46","BR","BRDF","76.9375","8636.61303191489","48"
"47","BR","BRRJ","84.9797297297297","7278.86353189925","148"
"48","BR","BRRS","83.2246376811594","8205.94187030572","138"
"49","BR","BRTO","54.875","4514.98214285714","8"
"50","BR","BRPA","63.4642857142857","6002.03571428571","28"
"51","BR","BRBA","90.2131147540984","10898.0371584699","61"
"52","BR","BRCE","63.42","5556.77918367347","50"
"53","BR","BRPB","89.6190476190476","9713.74761904762","21"
"54","BR","BRSE","82.375","6832.83928571429","8"
"55","BR","BRPI","31.75","1851.35714285714","8"
"56","BR","BRSC","92.4712643678161","10992.8567228014","87"
"57","BR","BRMA","12.3","104.233333333333","10"
"58","BR","BRAM","40.3571428571429","2964.24725274725","14"
"59","BR","BRMT","81.7142857142857","7055.57142857143","7"
"60","BR","BRES","80.1818181818182","4909.16363636364","11"
"61","BR","BRRN","128.636363636364","14515.6545454545","11"
"62","BR","BRAL","33.1111111111111","4007.11111111111","9"
"63","BR","BRAC","350",NA,"1"
"64","BR","BRRR","112.5","15312.5","2"
"65","BR","BRRO","40","200","2"
"66","BS","BS","2020",NA,"1"
"67","BY","BY","123",NA,"1"
"68","CA","CAAB","16.25","158.916666666667","4"
"69","CA","CABC","21.8095238095238","301.261904761905","21"
"70","CA","CAON","19.6","346.884210526316","20"
"71","CA","CAQC","21.9090909090909","457.290909090909","11"
"72","CA","CAMB","15",NA,"1"
"73","CH","CHZH","11.5","28.9444444444444","10"
"74","CH","CHGE","19","18.5","5"
"75","CH","CHVD","15.8","126.2","5"
"76","CH","CHAG","1",NA,"1"
"77","CH","CHFR","30",NA,"1"
"78","CH","CH","13.5","264.5","2"
"79","CH","CHBS","30",NA,"1"
"80","CH","CHLU","8",NA,"1"
"81","CL","CLLR","5","0","2"
"82","CL","CLBI","46.4285714285714","4789.28571428571","7"
"83","CL","CLRM","95.4666666666667","4401.75454545455","45"
"84","CL","CLCO","10","0","2"
"85","CL","CLMA","20",NA,"1"
"86","CL","CLVS","52.5","4512.5","2"
"87","CL","CL","50",NA,"1"
"88","CL","CLAT","25",NA,"1"
"89","CL","CLTA","70",NA,"1"
"90","CM","CMCE","50",NA,"1"
"91","CN","CN","65","2450","2"
"92","CN","CNNM","50",NA,"1"
"93","CN","CNHE","5",NA,"1"
"94","CO","CONAR","50","0","2"
"95","CO","CORIS","3",NA,"1"
"96","CO","CODC","15","50","2"
"97","CO","COCUN","8","37","3"
"98","CO","COVAC","15",NA,"1"
"99","CO","COANT","10",NA,"1"
"100","CO","COMET","100",NA,"1"
"101","CO","COATL","12",NA,"1"
"102","CR","CRC","200",NA,"1"
"103","CU","CU02","15",NA,"1"
"104","CY","CY01","24.75","438.785714285714","8"
"105","CY","CY04","20",NA,"1"
"106","CY","CY","40","300","3"
"107","CY","CY03","30",NA,"1"
"108","CY","CY02","40","200","2"
"109","CY","CY05","80",NA,"1"
"110","CZ","CZ","1",NA,"1"
"111","DE","DEHE","29.3529411764706","629.242647058824","17"
"112","DE","DEBE","23.4","483.166666666667","25"
"113","DE","DE","15.5","213.666666666667","4"
"114","DE","DEBY","34.0454545454545","509.664502164502","22"
"115","DE","DEHH","28.7142857142857","251.571428571429","7"
"116","DE","DERP","24","142.5","5"
"117","DE","DENW","19.3333333333333","578.380952380952","15"
"118","DE","DEBW","20.7916666666667","293.824275362319","24"
"119","DE","DESL","30",NA,"1"
"120","DE","DEBB","10",NA,"1"
"121","DE","DENI","25.875","1121.26785714286","8"
"122","DE","DEST","20","0","2"
"123","DE","DESN","42.4","1346.3","5"
"124","DE","DESH","16.5","364.5","2"
"125","DE","DEMV","65","2450","2"
"126","DE","DEHB","20",NA,"1"
"127","DK","DK","10",NA,"1"
"128","DK","DK81","40",NA,"1"
"129","DK","DK84","22.5","12.5","2"
"130","DK","DK85","20",NA,"1"
"131","DK","DK83","9",NA,"1"
"132","DO","DO01","2",NA,"1"
"133","DZ","DZ16","96.6666666666667","33.3333333333333","3"
"134","DZ","DZ09","1000",NA,"1"
"135","EC","ECP","52.9705882352941","3364.75668449198","34"
"136","EC","ECA","54.5","4140.5","2"
"137","EC","ECT","55.9591836734694","3069.58594571849","98"
