"ISO2","ISO_3","country_agg","age","date","count","cli","cli_weight","cliWHO","cliWHO_weight","cli_local","count_local","weight","count_7days","cli_7days","cli_weight_7days","cliWHO_7days","cliWHO_weight_7days","cli_local_7days","count_local_7days","weight_7days","p_cli","p_cli_weight","p_cliWHO","p_cliWHO_weight","p_cli_local","p_cli_7days","p_cliWHO_7days","p_cli_local_7days","p_cli_smooth","p_cli_weight_smooth","p_cliWHO_smooth","p_cliWHO_weight_smooth","p_cli_local_smooth","slope_cli_smooth_7days","slope_cliWHO_smooth_7days","slope_cli_weight_smooth_7days","slope_cliWHO_weight_smooth_7days","slope_cli_local_smooth_7days"
"IN","IND","India",1,2020-12-21,493,1,151082.674585408,0,0,108,492,39807973.25921,NA,NA,NA,NA,NA,NA,NA,NA,0.00202839756592292,0.00379528677839567,0,0,0.00309172105805565,NA,NA,NA,0.00465954485681038,0.00746486901994575,0.000688661187555,0.00116601218244871,0.00241448616347527,NA,NA,NA,NA,NA
"IN","IND","India",2,2020-12-21,950,4,292947.249068419,0,0,208,948,71786367.3551038,NA,NA,NA,NA,NA,NA,NA,NA,0.00421052631578947,0.00408082007575761,0,0,0.00309027158732989,NA,NA,NA,0.00525058561342022,0.00489745155381862,0.00192286937510595,0.00186720821860965,0.00230860201745951,NA,NA,NA,NA,NA
"IN","IND","India",3,2020-12-21,511,0,0,0,0,152,509,33610125.5494647,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00420598245662581,NA,NA,NA,0.00139536953265686,0.00133812552665665,0.000245593012684514,0.000168536884645492,0.00289398762071887,NA,NA,NA,NA,NA
"IN","IND","India",4,2020-12-21,179,0,0,0,0,41,179,20972450.8994761,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00322606027224801,NA,NA,NA,0.00207870319256771,0.00234056380331991,0.000816499532022539,0.000524560166553585,0.00316285659351413,NA,NA,NA,NA,NA
"IN","IND","India",1,2020-12-22,574,3,386860.043241347,0,0,114,574,43729205.6743404,NA,NA,NA,NA,NA,NA,NA,NA,0.00522648083623693,0.00884672011017914,0,0,0.00279727143347892,NA,NA,NA,0.0046879663222798,0.00746776447703799,0.000715321951169296,0.00120950882463148,0.00240556130590647,NA,NA,NA,NA,NA
"IN","IND","India",2,2020-12-22,1108,3,83042.1698758768,1,11064.5259331624,172,1108,80594010.6540579,NA,NA,NA,NA,NA,NA,NA,NA,0.00270758122743682,0.00103037644115178,0.000902527075812274,0.000137287198432844,0.00218640362027762,NA,NA,NA,0.00521725603124901,0.00486048589409724,0.00191268318934584,0.00186000995906825,0.00230614643544505,NA,NA,NA,NA,NA
"IN","IND","India",3,2020-12-22,499,1,26343.0477687645,0,0,124,499,33225327.2080084,NA,NA,NA,NA,NA,NA,NA,NA,0.00200400801603206,0.000792860446605774,0,0,0.00349995766180248,NA,NA,NA,0.00139695315921507,0.00133963131095651,0.000249488982001287,0.000169622549385075,0.00287245493311221,NA,NA,NA,NA,NA
"IN","IND","India",4,2020-12-22,210,1,79369.5376768172,1,79369.5376768172,58,210,23505224.4913824,NA,NA,NA,NA,NA,NA,NA,NA,0.00476190476190476,0.00337667643659034,0.00476190476190476,0.00337667643659034,0.00389000670690812,NA,NA,NA,0.00203462995235429,0.00229747950529115,0.000793543576300614,0.000509144824141568,0.0031489792851048,NA,NA,NA,NA,NA
"IN","IND","India",5,2020-12-22,121,0,0,0,0,15,121,14480758.3266047,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00174601326970085,NA,NA,NA,0.00122363214958726,0.00154903803322735,0.000256429762997873,0.000270167080842824,0.00274726723374126,NA,NA,NA,NA,NA
"IN","IND","India",1,2020-12-23,516,1,61722.8330612813,0,0,62,516,38983020.2605971,NA,NA,NA,NA,NA,NA,NA,NA,0.00193798449612403,0.00158332609040221,0,0,0.0016923244895731,NA,NA,NA,0.00471663316743847,0.007463479333444,0.000741343945637636,0.00125164833665676,0.00239672085810832,NA,NA,NA,NA,NA
"IN","IND","India",2,2020-12-23,1075,2,303068.673210156,0,0,172,1074,84841255.3994128,NA,NA,NA,NA,NA,NA,NA,NA,0.00186046511627907,0.00357218515665969,0,0,0.00225561937734414,NA,NA,NA,0.00517578216588284,0.00481624949224376,0.00189837077593901,0.00184871264356188,0.00230377602972809,NA,NA,NA,NA,NA
"IN","IND","India",3,2020-12-23,479,0,0,0,0,119,478,33477930.6475024,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00350639401261123,NA,NA,NA,0.0013997555238808,0.00134274551932214,0.000253128865639097,0.000170492762245659,0.00285063217141511,NA,NA,NA,NA,NA
"IN","IND","India",4,2020-12-23,170,0,0,0,0,22,170,19793751.814995,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00182270091135046,NA,NA,NA,0.001987194788954,0.00225038234999286,0.00076952565905415,0.000493200632087331,0.00313444718713536,NA,NA,NA,NA,NA
"IN","IND","India",5,2020-12-23,107,0,0,0,0,50,107,12068312.8338096,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00658154534684744,NA,NA,NA,0.00127099400689421,0.00156485724862077,0.000287448426935432,0.000302826555253374,0.00272421053561615,NA,NA,NA,NA,NA
"IN","IND","India",6,2020-12-23,100,0,0,0,0,10,100,13688193.9430523,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00140845070422535,NA,NA,NA,0.00337471197446697,0.00300977269356402,0.00148639428091352,0.00133601756167469,0.00284547858379955,NA,NA,NA,NA,NA
"IN","IND","India",1,2020-12-24,462,2,396397.05500512,0,0,98,461,40286447.3798126,NA,NA,NA,NA,NA,NA,NA,NA,0.00432900432900433,0.00983946415696493,0,0,0.00299410344932938,NA,NA,NA,0.00474514678817883,0.00745101484061118,0.000766425788487837,0.00129189545752287,0.00238794168834796,NA,NA,NA,NA,NA
"IN","IND","India",2,2020-12-24,948,0,0,0,0,152,948,78923898.6398106,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00225827539074107,NA,NA,NA,0.00512591346428896,0.00476460609796848,0.00187983511301102,0.00183320626921828,0.00230151039665789,NA,NA,NA,NA,NA
"IN","IND","India",3,2020-12-24,478,0,0,0,0,108,477,33390653.2057021,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00318894499069891,NA,NA,NA,0.00140377683837908,0.00134658029102903,0.000256576662798415,0.000171160941679901,0.00282855212016945,NA,NA,NA,NA,NA
"IN","IND","India",4,2020-12-24,169,1,67225.0895053964,0,0,59,169,22105978.0004323,NA,NA,NA,NA,NA,NA,NA,NA,0.00591715976331361,0.003041036660042,0,0,0.00491707642303525,NA,NA,NA,0.0019364924000959,0.00219922586109911,0.000744428244260142,0.000476745713717996,0.00311933826370763,NA,NA,NA,NA,NA
"IN","IND","India",5,2020-12-24,100,0,0,0,0,7,100,13467473.6408579,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.000985915492957746,NA,NA,NA,0.00132348068099229,0.0015827590358504,0.000321490243428965,0.000338539431918883,0.0027011794738084,NA,NA,NA,NA,NA
