"ISO2","ISO_3","country_agg","region_agg","date","first_date","count","cli","cli_weight","cliWHO","cliWHO_weight","cli_local","count_local","weight","count_7days","cli_7days","cliWHO_7days","cli_local_7days","count_local_7days","p_cli","slope_cli_7days","p_cliWHO","slope_cliWHO_7days","p_cli_local","slope_cli_local_7days","p_cli_7days","p_cliWHO_7days","p_cli_local_7days","p_cli_smooth","p_cliWHO_smooth","p_cli_local_smooth","slope_cli_smooth_7days","slope_cliWHO_smooth_7days","slope_cli_local_smooth_7days"
"IN","IND","India","Daman and Diu",2021-05-18,"2021-03-11",100,3,640387.830638206,1,97770.827584429,35,92,11894498.0765371,700,21,7,237,641,0.03,0,0.01,4.91747883310732e-19,0.00535823637477036,5.9662802423716e-05,0.03,0.01,0.00520753224495177,0.03,0.01,0.00484677196573355,-5.75649561632412e-19,8.48613312676151e-19,3.56371828599374e-05
"IN","IND","India","Ladakh",2021-05-18,"2021-04-04",100,2,51628.3984951621,0,0,20,90,5634638.365601,700,14,0,140,630,0.02,9.83495766621464e-19,0,0,0.00312989045383412,2.42913904659707e-06,0.02,0,0.00312989045383412,0.0210138252852613,0.00103465231884011,0.00313277159736815,-0.000238109918495554,-0.000251850887375894,-6.07524053111063e-06
"IN","IND","India","Dadra and Nagar Haveli",2021-05-18,"2021-04-15",100,0,0,0,0,45,97,6393836.28691863,700,0,0,323,682,0,0,0,0,0.00653404965877741,-7.29709627425816e-05,0,0,0.00667052166370658,0.00132448810634802,0,0.00677187691057838,-0.00027951297625013,0,-7.37478633586047e-07
"IN","IND","India","Andaman and Nicobar",2021-05-18,"2021-04-30",100,1,80991.7807051246,0,0,25,92,6663114.75248163,700,5,1,162,653,0.01,0.00107142857142857,0,-0.00107142857142857,0.00382731169626454,0.000136407004989362,0.00714285714285714,0.00142857142857143,0.00349416560619459,0.010252986669094,0.00646188711678415,0.00298972642416788,-0.000462281644316161,-0.000734533049680427,4.74924893858172e-05
"IN","IND","India","Puducherry",2021-05-18,"2021-05-10",100,1,14002.800825417,0,0,86,98,4968585.08693727,700,7,0,600,690,0.01,4.91747883310732e-19,0,0,0.0123598735268755,-8.81396397349198e-06,0.01,0,0.0122473974280465,0.0119990715432449,0.000767653211736285,0.0112754916859868,-0.000460339887760609,-0.000207179727098009,0.000112034245637676
"IN","IND","India","Meghalaya",2021-05-18,"2021-05-13",100,0,0,0,0,49,95,11438441.6704601,700,10,0,201,651,0,-0.00464285714285714,0,0,0.0072646404744255,0.000983899756898717,0.0142857142857143,0,0.00434867268124878,0.0167673290029354,0.0013617500194642,0.00403622904806858,-0.000241415323542025,-0.000176897568463712,5.82402520154631e-05
"IN","IND","India","Arunachal Pradesh",2021-05-18,"2021-05-13",100,2,44856.8925927647,1,30851.0516455734,17,91,5567921.7370434,700,14,7,152,647,0.02,9.83495766621464e-19,0.01,4.91747883310732e-19,0.00263117164525615,-0.000357399884823896,0.02,0.01,0.0033088795524305,0.018775457271676,0.00901701284197632,0.00352607521817588,-6.24457586353941e-05,0.000221431431557573,-1.05341967842234e-05
"IN","IND","India","Sikkim",2021-05-18,"2021-05-11",100,1,62458.6640529496,0,0,29,94,2695501.06574748,700,8,0,245,662,0.01,-0.00107142857142857,0,0,0.00434522025771651,-0.000322872465803018,0.0114285714285714,0,0.00521254414705757,0.0139222560576326,0.00174782133293765,0.00536763426340702,-0.000183887862661061,-0.000296320159574272,-7.46629861465865e-06
"IN","IND","India","Mizoram",2021-05-18,"2021-05-11",100,0,0,0,0,19,90,5151023.10307926,700,0,0,142,637,0,0,0,0,0.00297339593114241,-0.000101834663552798,0,0,0.00313971742543171,0.00185593454408374,0.000516120290683553,0.00391520613887237,-0.000267956258095262,-0.000140846649313852,-3.8535586839486e-05
"IN","IND","India","Tripura",2021-05-18,"2021-05-14",100,3,111816.553927131,1,31257.0444800562,33,92,9459007.10186349,700,19,6,237,642,0.03,-0.000714285714285712,0.01,0.00107142857142857,0.0050520514390692,-0.000185717746517327,0.0271428571428571,0.00857142857142857,0.00519942082400948,0.0288271468139992,0.00795100883041617,0.00457316357923719,0.000455481727167333,0.000265851724039153,7.30508803629349e-05
