PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
9,Aruba,,2021-01-26,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-01-27,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-01-28,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-01-29,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-01-30,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-01-31,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-02-01,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-02-02,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-02-03,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-02-04,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-02-05,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-02-06,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-02-07,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-02-08,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-02-09,1,1,1,0,0,1,0,2,0,0,1,1
9,Aruba,,2021-02-10,1,1,1,0,0,1,0,1,0,0,1,1
9,Aruba,,2021-02-11,1,1,1,0,0,1,0,1,0,0,1,1
9,Aruba,,2021-02-12,1,1,1,0,0,1,0,1,0,0,1,1
9,Aruba,,2021-02-13,1,1,1,0,0,1,0,1,0,0,1,1
9,Aruba,,2021-02-14,1,1,1,0,0,1,0,1,0,0,1,1
9,Aruba,,2021-02-15,1,1,1,0,0,1,0,1,0,0,1,1
9,Aruba,,2021-02-16,1,1,1,0,0,1,0,1,0,0,1,1
