"date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"2020/03/22",0.00256294609225047,0.0017843419983171,0,0,0,0,0,0.0151901648741254,0.0134058228758083,0.0169745068724425
"2020/03/23",0.0166659340220518,0.0135186522183727,0,0,0,0,0,0.0152047973549642,0.00168614513659157,0.0287234495733369
"2020/03/24",0.0190931305367513,0.0128056573219523,0,0,0,0,0,0.0152194847798752,0.00241382745792292,0.0280251421018275
"2020/03/25",0.0231298167834056,0.0111561443856442,0,0,0,0,0,0.015234241319826,0.00407809693418182,0.0263903857054701
"2020/03/26",0.0220902493806186,0.0107176636237812,0,0,0,0,0,0.0152490812009802,0.004531417577199,0.0259667448247613
"2020/03/27",0.0215056308907034,0.0106779611085495,0,0,0,0,0,0.0152640187054042,0.00458605759685474,0.0259419798139537
"2020/03/28",0.0215056308907034,0.0106779611085495,0,0,0,0,0,0.0152790681719075,0.00460110706335801,0.0259570292804569
"2020/03/29",0.0186702788193162,0.00983181480214719,0,0,0,0,0,0.0152942439970168,0.00546242919486963,0.025126058799164
"2020/03/30",0.0172116383389928,0.00895479337187352,0,0,0,0,0,0.0153095606360863,0.00635476726421278,0.0242643540079598
"2020/03/31",0.0172307475848209,0.00886525277337183,0,0,0,0,0,0.0153250326045431,0.00645977983117129,0.0241902853779149
"2020/04/01",0.0173629590619846,0.00894317136479402,0,0,0,0,0,0.0153406744792711,0.00639750311447706,0.0242838458440651
"2020/04/02",0.0148065986001056,0.00825326083024334,0,0,0,0,0,0.015356500900132,0.00710324006988866,0.0236097617303753
"2020/04/03",0.0157299646823743,0.00806294957035465,0,0,0,0,0,0.0153725265716268,0.00730957700127214,0.0234354761419814
"2020/04/04",0.0155863499224314,0.00795061638188257,0,0,0,0,0,0.0153887662646971,0.00743814988281452,0.0233393826465797
"2020/04/05",0.0155675350417012,0.00780152662306201,0,0,0,0,0,0.0154052348186684,0.00760370819560635,0.0232067614417304
"2020/04/06",0.0154629445659311,0.00765831042660735,0,0,0,0,0,0.0154219471433363,0.00776363671672892,0.0230802575699436
"2020/04/07",0.0154668395309471,0.00699230573415388,0,0,0,0,0,0.0154389182211969,0.00844661248704306,0.0224312239553508
"2020/04/08",0.0154242235126213,0.00682627395086396,0,0,0,0,0,0.0154561631098231,0.00862988915895916,0.0222824370606871
"2020/04/09",0.0159940335527926,0.00757903359900255,0,0,0,0,0,0.0154736969443869,0.00789466334538435,0.0230527305433894
"2020/04/10",0.0166398701875409,0.00722732239252826,0,0,0,0,0,0.0154915349403312,0.00826421254780297,0.0227188573328595
"2020/04/11",0.0146826361282937,0.00725460083664397,0,0,0,0,0,0.0155096923961911,0.00825509155954709,0.022764293232835
"2020/04/12",0.0150185022110811,0.00724046678957103,0,0,0,0,0,0.0155281846965662,0.00828771790699522,0.0227686514861373
"2020/04/13",0.0152267548697321,0.00717664036164114,0,0,0,0,0,0.0155470273152476,0.00837038695360646,0.0227236676768887
"2020/04/14",0.0149550721025318,0.00710259268992628,0,0,0,0,0,0.0155662358184979,0.00846364312857162,0.0226688285084242
"2020/04/15",0.0157199686056486,0.0070289987065956,0,0,0,0,0,0.0155858258684897,0.00855682716189407,0.0226148245750853
"2020/04/16",0.0168127586034905,0.00701330588620598,0,0,0,0,0,0.015605813226902,0.00859250734069602,0.022619119113108
"2020/04/17",0.0163917022595967,0.00693612716623476,0,0,0,0,0,0.0156262137586779,0.00869008659244314,0.0225623409249127
"2020/04/18",0.0166637279741407,0.0067475957378448,0,0,0,0,0,0.0156470434359446,0.00889944769809985,0.0223946391737894
"2020/04/19",0.0166045509864477,0.00670418459704874,0,0,0,0,0,0.0156683183420995,0.00896413374505076,0.0223725029391482
"2020/04/20",0.0159935461172858,0.00667433476470004,0,0,0,0,0,0.0156900546760626,0.0090157199113626,0.0223643894407627
"2020/04/21",0.0160170137948445,0.00665445849249113,0,0,0,0,0,0.0157122687567004,0.00905781026420931,0.0223667272491916
"2020/04/22",0.0158634244033837,0.00592359562421447,0,0,0,0,0,0.0157349795441618,0.00981138391994731,0.0216585751683763
"2020/04/23",0.0156286333072729,0.00577126030494848,0,0,0,0,0,0.0157582825836566,0.00998702227870809,0.021529542888605
"2020/04/24",0.0156623154189522,0.00573371526061368,0,0,0,0,0,0.0157823625423626,0.0100486472817489,0.0215160778029763
"2020/04/25",0.0156503463671653,0.00570206405527677,0,0,0,0,0,0.0158074102361642,0.0101053461808874,0.0215094742914409
