"date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"2020/04/13",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/14",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/15",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/16",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/17",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/18",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/19",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/20",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/21",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/22",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/23",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/24",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/25",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/26",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/27",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/28",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/29",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/30",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/05/01",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/05/02",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/05/03",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/05/04",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/05/05",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/05/06",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/05/07",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/05/08",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/05/09",0,0,0,0,0,0,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"2020/05/10",0,0,0,0,0,0,0,2.65920283431266e-16,2.65920283431266e-16,2.65920283431266e-16
"2020/05/11",0,0,0,0,0,0,0,4.9331372230308e-16,4.9331372230308e-16,4.9331372230308e-16
"2020/05/12",0,0,0,0,0,0,0,9.1515557020465e-16,9.1515557020465e-16,9.1515557020465e-16
"2020/05/13",0,0,0,0,0,0,0,1.69772232113593e-15,1.69772232113593e-15,1.69772232113593e-15
"2020/05/14",0,0,0,0,0,0,0,3.14947662837109e-15,3.14947662837109e-15,3.14947662837109e-15
"2020/05/15",0,0,0,0,0,0,0,5.8426533651386e-15,5.8426533651386e-15,5.8426533651386e-15
"2020/05/16",0,0,0,0,0,0,0,1.08388162139882e-14,1.08388162139882e-14,1.08388162139882e-14
"2020/05/17",0,0,0,0,0,0,0,2.01072919406074e-14,2.01072919406074e-14,2.01072919406074e-14
"2020/05/18",0,0,0,0,0,0,0,3.7301415689938e-14,3.7301415689938e-14,3.7301415689938e-14
"2020/05/19",0.000545889008302344,0,0,0.000545889008302344,0,0,0,6.91985582436175e-14,6.91985582436175e-14,6.91985582436175e-14
"2020/05/20",0.000545889008302344,0,0,0.000545889008302344,0,0,0,1.28715689916806e-13,1.28715689916806e-13,1.28715689916806e-13
"2020/05/21",0.000545889008302344,0,0,0.000545889008302344,0,0,0,2.40613395053333e-13,2.40613395053333e-13,2.40613395053333e-13
"2020/05/22",0.000545889008302344,0,0,0.000545889008302344,0,0,0,4.51756751335968e-13,4.51756751335968e-13,4.51756751335968e-13
"2020/05/23",0.000545889008302344,0,0,0.000545889008302344,0,0,0,8.51390323284795e-13,8.51390323284795e-13,8.51390323284795e-13
"2020/05/24",0.000545889008302344,0,0,0.000545889008302344,0,0,0,1.6096618254643e-12,1.6096618254643e-12,1.6096618254643e-12
"2020/05/25",0.000545889008302344,0,0,0.000545889008302344,0,0,0,3.0511610024864e-12,3.0511610024864e-12,3.0511610024864e-12
"2020/05/26",0.000545889008302344,0,0,0.000545889008302344,0,0,0,5.79512516118447e-12,5.79512516118447e-12,5.79512516118447e-12
"2020/05/27",0.000545889008302344,0,0,0.000545889008302344,0,0,0,1.10222536050075e-11,1.10222536050075e-11,1.10222536050075e-11
"2020/05/28",0.000545889008302344,0,0,0.000545889008302344,0,0,0,2.09812100337527e-11,2.09812100337527e-11,2.09812100337527e-11
"2020/05/29",0.000545889008302344,0,0,0.000545889008302344,0,0,0,3.99471578302688e-11,3.99471578302688e-11,3.99471578302688e-11
"2020/05/30",0.000787339915820688,0.0397590219494599,0,0.000787339915820688,0,0,0,7.60289741711378e-11,-0.0397590218734309,0.0397590220254889
"2020/05/31",0.000787339915820688,0.0397590219494599,0,0.000787339915820688,0,0,0,1.44561596666194e-10,-0.0397590218048983,0.0397590220940215
"2020/06/01",0.000787339915820688,0.0397590219494599,0,0.000787339915820688,0,0,0,2.74441618070661e-10,-0.0397590216750183,0.0397590222239015
"2020/06/02",0.000787339915820688,0.0397590219494599,0,0.000787339915820688,0,0,0,5.19891724531418e-10,-0.0397590214295682,0.0397590224693516
"2020/06/03",0.000787339915820688,0.03478404809656,0,0.000787339915820688,0,0,0,9.82164890626803e-10,-0.0347840471143952,0.0347840490787249
"2020/06/04",0.000787339915820688,0.03478404809656,0,0.000787339915820688,0,0,0,1.8492990341943e-09,-0.034784046247261,0.0347840499458591
"2020/06/05",0.00191943465986423,0.0329055298502093,0,0.000787339915820688,0,0,0,3.46835694205732e-09,-0.0329055263818523,0.0329055333185662
"2020/06/06",0.00191943465986423,0.031301050700413,0,0.000787339915820688,0,0,0,6.47555511356858e-09,-0.0313010442248579,0.0313010571759681
"2020/06/07",0.00153128789047788,0.0300652823536371,0,0.000787339915820688,0,0,0,1.202844442298e-08,-0.0300652703251926,0.0300652943820815
"2020/06/08",0.00153128789047788,0.0300652823536371,0,0.000787339915820688,0,0,0,2.22158963625553e-08,-0.0300652601377407,0.0300653045695334
"2020/06/09",0.00270838615698325,0.031072056672313,0,0.00241907305572768,0,0,0,4.07739510966261e-08,-0.0310720158983619,0.0310720974462641
"2020/06/10",0.00680982616381664,0.029867372524596,0,0.0036495050577777,0,0,0,7.43205655510095e-08,-0.0298672982040305,0.0298674468451616
"2020/06/11",0.00680982616381664,0.029867372524596,0,0.0036495050577777,0,0,0,1.34457531620604e-07,-0.0298672380670644,0.0298675069821276
"2020/06/12",0.00680982616381664,0.0293152578644056,0,0.0036495050577777,0,0,0,2.41298072032693e-07,-0.0293150165663335,0.0293154991624776
"2020/06/13",0.00680982616381664,0.0293152578644056,0,0.0036495050577777,0,0,0,4.29296974819853e-07,-0.0293148285674308,0.0293156871613804
"2020/06/14",0.0114685009939508,0.028792648219591,0,0.00597884247284479,0,0,0,7.56727874608936e-07,-0.0287918914917164,0.0287934049474656
