ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AR,ARG,Argentina,-99,2020-12-21,2020-12-21,612,2,18289.6275104413,0,0,150,461,7014866.126739158,0,18,8,586,15,53,544,17,14,581,17,88,507,18,89,505,15,89,508,16,58,538,21,21,570,19,26,567,16,18,578,16,33,563,16,95,501,18,25,569,13,92,507,605,0,5,2,561,3,26,22,599,2,6,5,527,6,28,51,527,3,37,45,526,4,34,48,556,3,17,36,594,2,10,6,589,2,13,8,595,3,9,5,580,4,15,13,519,9,33,51,588,1,19,4,523,7,37,45,146,5,79,382,547,0,15,50,182,11,113,306,499,4,26,83,586,7,19,0,586,0,7,19,0,605,0,5,1,1,230,11,26,345,612,0,0,0,0,0,209,3,134,143,66,57,502,12,44,31,23,502,18,57,24,11,502,13,52,31,14,502,11,44,27,28,502,12,13,22,63,0,591,13,3,5,591,10,7,4,591,8,9,4,591,11,5,5,591,12,3,6,591,12,3,6,612,0,0,0,612,0,0,0,612,0,0,0,612,0,0,0,612,0,0,0,612,0,0,0,612,0,0,0,612,0,0,0,612,0,0,0,612,0,0,0,612,0,0,0,612,0,0,0,303,22,89,198,303,7,236,66,303,22,72,215,303,22,136,151,303,19,48,242,303,19,61,229,330,0,145,137,467,1,93,36,9,6,356,2,1,15,100,138,356,5,248,3,377,7,47,181,377,0,187,30,2,2,0,14,377,0,72,72,52,39,393,5,69,94,42,9,612,612,531,5,71,5,386,6,215,5,546,5,50,11,480,8,90,34,566,2,35,9,554,4,53,1,422,1,4,7,20,47,111,422,1,3,8,28,43,107,453,1,49,74,12,23,453,0,15,46,39,59,453,0,42,64,29,24,525,15,65,7,525,36,22,29,525,23,44,20,487,0,43,82,530,0,30,52,598,1,2,0,3,1,0,3,4,562,0,3,6,4,3,1,1,5,1,0,4,0,2,0,2,18,612,0,0,0,0,0,612,0,0,0,0,0,0,0,0,612,0,0,0,0,612,0,0,0,0,0,0,2.8903225806451616,2.529225901634686,2.5434782608695654,2.1156193917214927,0,0,0,0
AR,ARG,Argentina,1,2020-12-21,2020-12-21,175,0,0,0,0,81,175,2726900.770378023,167,0,2,173,0,11,164,0,3,172,0,33,142,0,29,146,0,20,155,0,14,161,0,1,174,0,8,167,0,3,172,0,16,159,0,31,144,0,8,167,0,32,143,173,0,1,1,164,0,5,6,172,0,1,2,142,0,13,20,146,0,8,21,155,0,5,15,161,0,10,4,174,0,1,0,167,0,6,2,172,0,1,2,159,0,7,9,144,0,8,23,167,0,3,5,143,0,9,23,0,0,29,146,146,0,6,23,0,1,27,147,148,0,2,25,173,2,0,0,173,0,1,1,0,174,0,0,1,0,3,1,19,152,175,0,0,0,0,0,0,1,46,71,36,21,107,0,23,33,12,107,0,27,26,15,107,2,31,18,17,107,1,26,21,20,107,1,6,17,44,0,156,4,5,10,156,5,4,10,156,2,11,6,156,6,3,10,156,5,3,11,156,6,2,11,175,0,0,0,175,0,0,0,175,0,0,0,175,0,0,0,175,0,0,0,175,0,0,0,175,0,0,0,175,0,0,0,175,0,0,0,175,0,0,0,175,0,0,0,175,0,0,0,0,1,46,128,0,1,128,46,0,2,50,123,0,1,123,51,0,1,43,131,0,1,47,127,0,0,116,59,59,0,82,22,9,3,0,0,4,24,69,78,0,1,174,0,0,0,13,162,0,0,121,31,7,3,3,10,0,0,24,45,81,25,0,0,29,86,49,11,175,175,129,1,40,5,47,1,121,6,125,2,45,3,52,1,60,62,132,0,22,21,128,1,46,0,0,0,6,11,39,43,76,0,0,10,20,26,58,61,0,3,59,75,20,18,0,0,28,49,49,49,0,0,68,60,35,12,47,3,110,15,47,24,17,87,47,22,45,61,0,0,68,107,68,0,42,65,133,0,9,0,8,10,2,2,11,65,0,6,14,5,7,1,0,2,5,0,10,7,3,6,1,43,0,0,55,120,0,0,0,0,175,0,0,0,0,0,0,7,1,114,40,13,7,1,20,74,56,12,5,2.4827586206896552,1.9580606742001736,3.1666666666666665,2.2968156910907283,9.846153846153847,6.162479037134701,3.325153374233129,1.5310910963972522
AR,ARG,Argentina,2,2020-12-21,2020-12-21,374,2,17868.1221646473,1,12526.7124075506,172,374,4159463.1899622567,363,1,2,371,1,26,347,1,6,367,1,62,311,2,73,299,1,40,333,0,28,346,1,8,365,1,15,358,0,2,372,1,28,345,1,61,312,2,12,360,1,64,309,372,1,0,1,348,1,9,16,368,0,5,1,312,2,15,45,301,2,23,48,334,1,18,21,346,1,9,18,366,0,5,3,359,1,8,6,372,0,2,0,346,0,7,21,313,0,12,49,362,2,5,5,310,2,19,43,0,0,62,312,312,1,14,47,0,0,104,270,270,0,26,78,348,6,18,2,348,0,9,17,0,365,0,3,5,1,26,1,21,326,374,0,0,0,0,0,0,0,120,148,65,41,250,0,49,55,20,250,3,65,43,13,250,2,58,46,18,250,1,39,43,41,250,1,14,33,76,0,353,6,5,10,353,8,6,7,353,5,13,3,353,8,2,11,353,9,2,10,353,8,4,9,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,0,8,127,239,0,3,275,96,0,8,137,229,0,5,242,127,0,7,76,291,0,7,78,289,0,0,252,122,122,0,164,46,19,23,0,2,5,41,146,180,0,1,368,5,0,1,66,307,0,0,286,61,8,8,3,8,0,0,52,106,144,72,0,0,57,198,101,18,374,374,247,1,118,8,99,2,270,3,237,2,120,15,132,1,132,109,298,1,51,24,296,0,77,1,0,1,3,20,57,92,201,0,0,6,33,53,93,189,0,2,140,157,43,32,0,2,53,82,107,130,0,0,131,116,68,59,127,2,201,44,127,43,38,166,127,39,77,131,0,0,221,153,221,0,52,101,322,0,8,2,7,8,2,4,21,101,0,9,26,9,28,5,7,27,14,1,16,24,11,1,4,91,0,3,130,238,0,3,0,0,0,374,0,0,0,0,0,8,1,289,64,12,8,1,142,136,61,18,8,2.9615384615384612,2.395588451487291,3.0566037735849054,2.169855492703663,10.44954128440367,6.730326346747222,2.701949860724234,1.3853872611659235
AR,ARG,Argentina,3,2020-12-21,2020-12-21,332,0,0,0,0,165,330,3261447.3556438377,322,1,1,330,1,14,317,1,3,328,1,30,301,2,50,280,0,27,305,1,22,309,1,6,325,1,7,324,1,6,325,1,17,314,0,51,281,1,4,327,1,44,287,331,0,1,0,318,0,4,10,329,0,2,1,302,0,12,18,282,0,12,38,305,0,7,20,310,0,8,14,326,0,4,2,325,0,4,3,326,0,3,3,315,0,11,6,281,0,25,26,328,0,2,2,288,0,17,27,0,2,56,274,276,0,9,47,0,3,78,251,254,1,17,60,315,1,14,2,315,0,2,15,0,330,0,1,1,0,21,3,18,290,332,0,0,0,0,0,0,0,110,130,60,32,225,1,46,38,22,225,3,67,26,11,225,3,58,27,19,225,2,43,31,31,225,4,12,16,75,0,314,6,4,8,314,8,1,9,314,4,5,9,314,9,3,6,314,9,0,9,314,8,1,9,332,0,0,0,332,0,0,0,332,0,0,0,332,0,0,0,332,0,0,0,332,0,0,0,332,0,0,0,332,0,0,0,332,0,0,0,332,0,0,0,332,0,0,0,332,0,0,0,0,5,126,201,0,3,257,72,0,7,74,251,0,5,174,153,0,6,51,275,0,5,48,279,0,0,179,153,153,0,103,46,18,12,0,1,2,17,116,196,0,1,331,0,0,4,67,261,0,0,279,35,2,3,3,10,0,0,56,91,118,67,0,5,83,187,49,8,332,332,206,0,120,6,75,1,250,6,258,2,68,4,158,0,114,60,281,0,36,15,284,1,45,2,0,1,4,15,41,81,190,0,1,2,14,51,58,206,0,4,142,130,36,20,0,1,57,82,83,109,0,1,124,113,51,43,95,11,185,41,95,50,62,125,95,43,88,106,0,1,207,124,208,1,53,70,279,1,7,4,10,7,0,3,21,72,0,9,14,11,28,3,6,42,13,2,15,9,19,7,6,76,0,0,106,220,3,3,0,0,0,0,332,0,0,0,0,8,2,265,51,6,8,2,70,144,94,11,3,2.672,2.105200932866489,3.18,2.9185542968520335,10.907894736842104,6.509049565513298,3.257861635220126,1.4911466867356202
AR,ARG,Argentina,4,2020-12-21,2020-12-21,348,2,19246.018661978407,1,10721.0012901051,170,348,3510349.0364906634,338,4,3,341,4,19,325,4,6,338,5,35,308,4,38,306,4,29,315,3,21,324,4,6,338,3,6,339,4,3,341,5,9,334,5,53,290,4,7,337,4,42,302,345,1,2,0,329,1,10,8,342,1,2,3,313,2,22,11,310,1,8,29,319,1,17,11,327,1,13,7,342,0,4,2,342,0,5,1,345,0,3,0,339,1,3,5,295,1,24,28,341,2,5,0,306,2,23,17,0,0,55,293,293,0,13,42,0,1,85,262,263,1,17,67,331,3,13,1,331,0,5,12,0,343,0,1,4,0,19,5,18,306,348,0,0,0,0,0,0,1,144,98,51,54,221,10,48,42,27,221,15,66,28,18,221,12,63,28,24,221,14,50,28,35,221,17,16,19,75,0,330,12,1,5,330,9,4,5,330,7,7,4,330,9,4,5,330,11,1,6,330,11,1,6,348,0,0,0,348,0,0,0,348,0,0,0,348,0,0,0,348,0,0,0,348,0,0,0,348,0,0,0,348,0,0,0,348,0,0,0,348,0,0,0,348,0,0,0,348,0,0,0,0,10,128,210,0,7,257,84,0,14,86,248,0,9,174,165,0,13,48,287,0,9,65,274,0,0,183,165,165,0,108,40,18,17,0,1,2,21,105,219,0,2,345,1,0,1,64,283,0,0,306,25,1,1,1,14,0,1,78,80,101,88,0,4,97,180,50,17,348,348,220,3,118,7,91,2,249,6,262,0,79,7,174,1,124,49,300,0,38,10,283,0,61,4,0,2,3,10,44,78,211,0,0,6,6,45,70,221,0,4,144,132,37,31,0,0,50,84,79,135,0,0,112,116,62,58,120,14,174,40,120,58,62,108,120,46,96,86,0,3,198,147,201,0,52,95,296,7,5,0,4,4,3,4,25,98,2,4,13,11,35,3,7,26,11,1,9,19,23,3,12,71,0,4,137,205,1,1,0,0,0,0,0,348,0,0,0,7,3,285,44,9,7,1,57,146,108,20,9,2.8672566371681416,2.324191198716698,3.3958333333333335,2.54942282440333,12.114906832298137,6.412300399134325,3.0090361445783134,1.3915724891816907
AR,ARG,Argentina,5,2020-12-21,2020-12-21,293,0,0,0,0,93,292,2107508.28492558,282,3,0,290,3,12,278,3,3,287,2,21,270,2,29,262,3,20,270,2,20,271,2,3,288,2,2,289,2,1,290,3,11,279,2,27,264,3,3,287,2,27,264,293,0,0,0,281,0,4,8,290,0,2,1,272,1,8,12,264,1,9,19,273,1,8,11,273,1,5,14,290,0,2,1,291,0,0,2,292,0,0,1,282,2,7,2,266,2,11,14,290,0,2,1,266,2,12,13,0,1,38,254,255,0,3,35,0,3,61,229,232,2,16,43,277,1,15,0,277,0,5,11,0,288,0,1,4,0,21,5,10,257,293,0,0,0,0,0,0,1,114,103,46,29,184,10,38,34,27,184,12,63,20,14,184,11,55,22,21,184,9,49,21,30,184,13,15,17,64,0,283,4,2,4,283,4,2,4,283,2,4,4,283,2,4,4,283,4,0,6,283,4,0,6,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,293,0,0,0,0,9,89,195,0,4,206,83,0,7,69,217,0,5,135,153,0,10,31,252,0,8,37,248,0,0,154,139,139,1,102,29,11,11,0,4,0,20,84,185,0,2,291,0,0,4,48,241,0,0,257,18,0,3,1,14,0,0,65,85,85,58,0,4,106,130,43,10,293,293,204,2,84,3,87,2,203,1,224,0,67,2,158,3,96,36,262,1,26,4,256,2,34,1,0,1,1,3,30,60,198,0,0,1,5,29,56,202,0,2,103,123,30,35,0,1,17,56,80,139,0,0,67,93,61,72,133,16,111,33,133,58,48,54,133,43,68,49,0,3,142,148,145,0,57,91,236,5,7,2,3,3,4,3,30,94,0,9,8,9,34,1,4,17,11,2,7,14,17,2,12,52,0,3,118,170,0,2,0,0,0,0,0,0,293,0,0,8,7,230,39,9,8,4,77,104,75,21,4,3,2.4824968676061645,2.896551724137931,1.8582793036686787,12.75,5.818171843071122,2.5255474452554743,1.3672265018147183
AR,ARG,Argentina,6,2020-12-21,2020-12-21,163,0,0,0,0,50,162,1753949.615240107,153,1,0,162,1,8,154,2,2,159,2,10,151,2,19,142,0,24,139,0,6,157,1,3,159,0,2,161,1,0,162,1,8,154,2,14,147,2,1,160,2,10,151,163,0,0,0,155,0,1,7,161,0,1,1,153,0,4,6,144,1,4,14,139,0,5,19,157,0,2,4,160,0,2,1,161,0,1,1,163,0,0,0,155,0,4,4,149,0,4,10,162,0,1,0,153,0,3,7,0,1,19,143,144,0,3,16,0,0,17,146,146,0,3,14,160,0,3,0,160,0,0,3,0,163,0,0,0,0,3,4,9,147,163,0,0,0,0,0,0,1,68,51,20,23,103,16,17,13,14,103,13,31,10,6,103,10,33,7,10,103,16,25,8,11,103,19,7,4,30,0,154,3,3,3,154,3,4,2,154,2,4,3,154,7,1,1,154,4,2,3,154,4,1,4,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,163,0,0,0,0,8,34,121,0,0,125,38,0,6,35,122,0,6,67,90,0,9,12,142,0,5,18,140,0,1,79,83,84,0,61,9,6,3,0,0,0,7,63,93,0,2,159,2,0,4,29,130,0,0,142,7,2,0,0,12,0,0,40,50,54,19,0,3,53,84,13,10,163,163,129,2,31,1,38,2,123,0,128,1,33,1,96,2,51,14,151,2,8,2,145,2,16,0,0,4,1,4,13,31,110,0,0,0,4,15,36,108,0,2,53,74,18,16,0,0,3,24,41,95,0,0,24,51,42,46,88,8,51,16,88,31,15,29,88,25,23,27,0,0,54,109,54,0,30,79,133,0,5,1,0,1,2,1,20,79,0,1,5,3,8,2,1,11,3,0,8,10,2,0,2,28,0,2,61,100,0,0,0,0,0,0,0,0,0,163,0,5,7,125,22,4,5,5,58,64,24,6,1,2.9019607843137254,2.06160036826524,3.214285714285714,2.0821058655036815,12.716216216216216,6.033963443482755,1.9729729729729732,1.1543820442238677
AR,ARG,Argentina,-99,2020-12-22,2020-12-22,614,4,55953.493212511996,1,17030.5201089307,138,465,7691293.89698568,0,19,10,585,20,60,534,19,27,568,19,109,486,20,110,484,19,95,500,19,53,542,17,23,574,22,20,572,18,10,586,20,47,547,19,119,476,21,19,574,16,108,490,604,0,6,4,554,1,34,25,587,2,14,11,505,5,51,53,504,1,46,63,519,2,44,49,561,1,30,22,591,2,10,11,594,2,12,6,604,0,8,2,567,0,22,25,495,3,54,62,595,2,11,6,506,7,58,43,147,2,63,402,562,0,9,43,168,7,103,336,514,1,25,74,589,6,19,0,589,0,8,17,0,606,0,5,3,0,211,10,24,369,614,0,0,0,0,0,190,4,145,126,86,63,254,39,132,109,80,254,40,176,91,53,254,37,178,82,63,254,37,144,82,97,254,45,41,76,198,0,594,8,5,7,594,11,4,5,594,6,8,6,594,10,2,8,594,9,3,8,594,11,0,9,614,0,0,0,614,0,0,0,614,0,0,0,614,0,0,0,614,0,0,0,614,0,0,0,614,0,0,0,614,0,0,0,614,0,0,0,614,0,0,0,614,0,0,0,614,0,0,0,285,21,108,200,285,7,248,74,285,18,88,223,285,14,168,147,285,17,45,267,285,14,71,244,317,0,154,143,460,0,99,32,12,11,345,3,5,27,89,145,345,3,265,1,368,2,53,191,368,0,195,30,5,1,0,15,368,2,70,63,70,41,381,4,68,102,41,18,614,614,508,3,99,4,375,6,229,4,533,3,73,5,452,3,99,60,573,1,34,6,546,2,64,2,401,1,3,6,31,50,122,401,1,3,11,23,50,125,442,4,65,73,15,15,442,0,22,48,52,50,442,0,55,67,23,27,504,14,82,14,504,43,21,46,504,34,39,37,484,1,48,81,533,0,40,41,595,4,4,1,1,0,0,0,9,554,2,0,2,3,6,1,0,4,4,0,9,3,3,2,3,18,614,0,0,0,0,0,614,0,0,0,0,0,0,0,0,614,0,0,0,0,614,0,0,0,0,0,0,2.773863636363636,2.1565048080199096,2.923076923076923,2.107438147742112,0,0,0,0
AR,ARG,Argentina,1,2020-12-22,2020-12-22,159,0,0,0,0,59,159,2722109.1234528134,153,0,1,158,0,11,148,0,2,157,0,32,127,0,26,133,0,18,141,0,18,141,0,7,152,0,7,152,0,2,157,0,19,140,0,43,116,0,3,156,0,33,126,158,0,1,0,148,1,3,7,157,0,2,0,127,1,5,26,133,0,9,17,141,1,4,13,141,0,6,12,152,0,7,0,152,0,3,4,157,0,2,0,140,0,5,14,116,0,10,33,156,0,1,2,126,1,13,19,0,0,20,139,139,0,3,17,0,2,23,134,136,1,9,13,150,0,8,1,150,0,3,6,0,156,0,3,0,0,12,0,17,130,159,0,0,0,0,0,0,0,38,58,41,22,0,2,55,64,38,0,4,74,55,26,0,2,71,46,40,0,3,50,59,47,0,4,12,48,95,0,142,8,5,4,142,9,2,6,142,8,7,2,142,9,3,5,142,9,4,4,142,11,2,4,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,0,1,41,117,0,2,127,30,0,3,48,108,0,3,96,60,0,3,24,132,0,2,54,103,0,0,105,54,54,0,74,14,9,8,0,1,1,25,72,60,0,2,157,0,0,0,20,139,0,0,129,26,1,1,1,1,0,0,31,48,55,25,0,1,29,83,36,10,159,159,118,0,41,0,32,1,126,0,111,0,45,3,63,1,53,42,135,0,12,12,105,1,53,0,0,0,3,10,22,43,81,0,0,5,14,29,43,68,0,1,67,61,19,11,0,0,29,43,27,60,0,0,62,50,27,20,47,4,94,14,47,22,12,78,47,16,37,59,0,0,64,95,64,0,29,66,130,0,10,0,2,6,1,1,9,66,0,3,7,7,5,1,2,1,6,0,8,3,0,2,0,48,0,1,50,106,0,2,0,0,159,0,0,0,0,0,0,4,3,110,36,6,4,1,29,53,45,19,8,2.545454545454545,2.0673103794076706,3.0526315789473686,2.172394587917682,10.99212598425197,6.310102837931553,3.1369863013698636,1.663524040792261
AR,ARG,Argentina,2,2020-12-22,2020-12-22,359,0,0,0,0,141,359,3738944.4056046037,344,2,1,356,2,16,341,2,3,354,2,52,305,2,64,293,1,36,322,2,26,331,2,7,350,2,9,348,2,2,355,2,24,333,2,66,291,2,7,350,2,62,295,358,0,1,0,343,1,5,10,356,0,3,0,307,1,11,40,295,0,22,42,323,2,16,18,333,1,10,15,352,0,4,3,350,1,5,3,357,0,2,0,335,0,14,10,293,1,30,35,352,0,3,4,297,0,29,33,0,0,63,296,296,1,13,49,0,1,89,269,270,0,17,72,342,2,15,0,342,0,2,15,0,357,0,2,0,0,18,0,19,322,359,0,0,0,0,0,0,0,95,147,74,43,0,7,138,153,61,0,12,197,107,43,0,10,177,91,81,0,13,135,101,110,0,12,43,99,205,0,340,8,4,7,340,7,3,9,340,5,9,5,340,8,7,4,340,10,2,7,340,6,6,7,359,0,0,0,359,0,0,0,359,0,0,0,359,0,0,0,359,0,0,0,359,0,0,0,359,0,0,0,359,0,0,0,359,0,0,0,359,0,0,0,359,0,0,0,359,0,0,0,0,2,128,229,0,3,283,73,0,3,107,249,0,4,215,140,0,5,60,294,0,4,86,269,0,0,222,137,137,0,156,40,12,14,0,1,7,28,126,197,0,2,356,1,0,0,67,292,0,1,275,59,4,5,2,13,0,1,62,94,143,59,0,0,72,179,87,21,359,359,231,0,123,5,76,5,275,3,252,3,96,8,144,3,129,83,299,1,43,16,273,2,82,2,0,0,7,9,51,93,199,0,1,11,16,56,86,189,0,2,161,138,33,25,0,0,68,75,125,91,0,0,148,107,67,37,104,6,207,42,104,46,56,153,104,40,81,134,0,1,208,150,209,0,73,77,286,1,6,2,11,10,4,8,31,78,2,8,27,12,21,3,10,25,11,1,18,11,15,7,5,105,0,3,118,233,1,4,0,0,0,359,0,0,0,0,0,9,1,272,66,11,9,0,112,138,75,20,5,2.7076023391812867,2.206114653517601,2.5,1.6977493752543307,10.807817589576548,6.938492904342496,2.9164179104477608,1.5081214287946554
