ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
NZ,NZL,New Zealand,-99,2020-12-22,2020-12-21,100,1,5960.848763216552,0,0,7,81,669603.584887453,0,1,2,97,1,18,81,0,6,94,1,23,76,1,17,82,0,19,81,1,8,91,1,2,97,1,6,93,1,2,97,1,5,94,0,25,75,1,1,98,2,11,87,98,0,1,1,82,4,5,9,94,3,2,1,77,3,6,14,83,3,6,8,81,2,5,12,92,0,2,6,98,0,1,1,94,0,3,3,98,1,0,1,95,1,0,4,75,4,5,16,99,0,0,1,89,0,6,5,19,0,3,78,97,3,0,20,3,20,57,80,0,2,18,98,0,2,0,98,0,2,0,100,0,0,27,2,2,69,100,0,0,0,0,0,25,0,30,23,16,6,35,4,24,31,6,35,5,28,28,4,35,5,29,26,5,35,6,31,22,6,35,6,18,25,16,0,98,0,2,0,98,0,1,1,98,1,0,1,98,1,1,0,98,0,2,0,98,0,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,39,2,28,31,39,2,53,6,39,1,42,18,39,1,39,21,39,2,26,33,39,1,11,49,45,0,33,22,67,0,9,6,5,13,50,1,0,3,11,35,50,1,48,1,58,0,8,34,58,0,2,6,1,1,30,2,58,0,10,7,12,13,61,0,3,10,11,15,100,100,73,0,4,23,48,1,8,43,58,1,3,38,62,1,4,33,74,1,4,21,89,0,5,6,66,0,0,0,1,3,30,66,1,0,1,1,7,24,68,1,4,5,12,10,68,0,1,2,8,21,68,0,1,12,6,13,89,2,7,2,89,3,4,4,89,2,4,5,72,1,13,14,86,1,7,6,97,0,1,0,0,0,0,0,2,86,0,2,0,2,2,0,0,1,0,0,0,0,0,0,1,6,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,6.53125,9.325595630894991,3,1.4142135623730951,0,0,0,0
NZ,NZL,New Zealand,2,2020-12-22,2020-12-21,100,2,17728.133897535306,1,11605.008960461599,8,100,753947.7836037365,97,0,2,98,0,11,89,0,1,99,0,26,74,0,21,79,0,18,82,0,9,91,0,4,96,0,9,91,0,0,100,0,6,94,0,30,70,0,2,98,0,19,81,98,0,0,2,89,0,5,6,99,0,0,1,74,0,6,20,79,0,4,17,82,0,4,14,91,0,3,6,96,0,2,2,91,0,0,9,100,0,0,0,94,0,3,3,70,0,6,24,98,0,1,1,81,0,7,12,0,0,5,95,95,4,1,0,0,44,56,56,0,3,41,97,0,3,0,97,0,3,0,100,0,0,3,0,0,97,100,0,0,0,0,0,0,0,41,32,21,6,24,1,18,54,3,24,0,28,47,1,24,1,30,40,5,24,0,36,36,4,24,0,9,51,16,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,51,48,0,0,79,21,0,1,67,32,0,1,77,22,0,0,35,65,0,0,16,84,0,0,77,23,23,0,28,18,16,15,0,0,0,6,31,63,0,0,99,1,0,0,21,79,0,0,1,3,6,15,75,0,0,0,10,7,31,52,0,0,4,17,30,49,100,100,49,0,7,44,21,0,4,75,33,0,1,66,23,0,3,74,65,0,2,33,84,0,9,7,0,0,1,1,6,23,69,0,0,1,4,10,14,71,0,1,12,27,26,34,0,1,0,6,21,72,0,0,4,20,33,43,76,0,17,7,76,1,1,22,76,0,5,19,0,0,79,21,79,0,8,13,92,0,2,1,1,0,0,1,3,13,0,3,9,2,11,2,4,13,2,0,4,8,5,3,4,17,0,2,24,72,0,2,0,0,0,100,0,0,0,0,0,2,2,51,33,12,2,0,17,27,33,16,5,4.839285714285714,6.449176933290255,1.5,1.7320508075688772,13.873563218390805,5.637921020634331,3.2736842105263153,1.5398404536251087
NZ,NZL,New Zealand,4,2020-12-22,2020-12-21,100,0,0,0,0,8,100,621474.4506924174,94,0,1,99,0,10,90,0,2,98,0,30,70,0,15,85,0,14,86,0,4,96,0,2,98,1,3,96,0,1,99,0,4,96,0,14,86,0,1,99,0,12,88,99,0,1,0,90,0,7,3,98,0,1,1,70,0,7,23,85,0,7,8,86,0,3,11,96,0,2,2,98,0,2,0,97,0,1,2,99,0,0,1,96,0,2,2,86,0,5,9,99,0,0,1,88,0,7,5,0,0,5,95,95,4,1,0,0,35,65,65,0,2,33,98,0,2,0,98,0,2,0,100,0,0,2,0,3,95,100,0,0,0,0,0,0,0,35,34,20,11,6,0,22,60,12,6,0,44,42,8,6,1,38,43,12,6,0,37,43,14,6,1,10,50,33,0,97,0,1,2,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,49,51,0,0,88,12,0,1,69,30,0,0,74,26,0,0,37,63,0,0,12,88,0,0,79,21,21,0,31,16,15,17,0,0,0,6,29,65,0,1,99,0,0,3,28,69,0,0,1,6,4,9,76,4,0,0,14,9,35,42,0,0,6,18,29,47,100,100,51,1,3,45,12,2,6,80,31,2,4,63,26,2,2,70,63,2,0,35,88,0,5,7,0,0,0,2,5,8,85,0,0,1,1,11,15,72,0,0,11,23,31,35,0,0,1,7,10,82,0,0,5,19,31,45,76,2,13,9,76,4,1,19,76,4,5,15,0,0,72,28,72,0,7,21,93,0,2,1,0,0,1,1,2,21,0,2,5,6,12,2,1,5,6,0,1,15,3,1,5,15,0,0,34,65,1,0,0,0,0,0,0,100,0,0,0,3,1,45,32,19,3,1,20,10,45,17,4,5.255813953488372,5.623475553240709,1.6,0.5477225575051661,12.846153846153847,5.6645546592101566,3.117021276595745,1.4207099768257125
NZ,NZL,New Zealand,5,2020-12-22,2020-12-21,100,0,0,0,0,12,100,570011.6602044824,97,1,2,97,0,10,90,0,1,99,1,17,82,1,12,87,1,14,85,1,2,97,0,1,99,0,3,97,1,2,97,1,5,94,1,7,92,1,0,99,1,4,95,98,0,2,0,90,0,4,6,99,0,1,0,83,0,2,15,88,0,2,10,86,0,4,10,98,0,2,0,99,0,0,1,97,0,2,1,98,0,1,1,95,0,2,3,93,0,0,7,100,0,0,0,96,0,1,3,0,0,6,94,94,5,1,0,2,30,68,70,0,4,26,96,0,4,0,96,0,4,0,100,0,0,6,0,1,93,100,0,0,0,0,0,0,0,49,27,19,5,1,1,33,57,8,1,2,50,44,3,1,4,46,39,10,1,3,53,37,6,1,3,11,58,27,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,55,45,0,0,73,27,0,1,62,37,0,0,68,32,0,1,32,67,0,1,17,82,0,0,69,31,31,0,26,13,13,17,0,1,2,6,32,59,0,1,99,0,0,1,26,73,0,0,3,5,4,8,74,6,0,0,20,15,26,39,0,0,3,27,22,48,100,100,45,1,6,48,27,1,11,61,38,1,6,55,32,1,7,60,68,2,5,25,83,1,9,7,0,0,4,2,4,8,82,0,0,0,1,1,10,88,0,1,14,25,30,30,0,0,1,2,15,82,0,0,3,10,34,53,87,0,11,2,87,3,3,7,87,2,8,3,0,0,68,32,68,0,9,23,91,0,1,1,0,0,0,0,7,23,0,4,5,4,5,1,4,13,6,0,2,7,5,1,4,16,0,0,46,54,0,0,0,0,0,0,0,0,100,0,0,3,2,47,23,25,3,1,16,27,33,12,8,7.114285714285713,9.138707041291706,2,2,12.893617021276595,5.0192491515463304,2.4408602150537635,1.263727798079588
NZ,NZL,New Zealand,6,2020-12-22,2020-12-21,100,0,0,0,0,4,99,542188.4846833296,96,0,0,100,0,6,94,0,2,98,0,13,87,0,12,88,0,10,90,0,2,98,0,2,98,1,3,96,0,0,100,0,3,97,0,6,94,0,0,100,0,5,95,100,0,0,0,94,0,0,6,98,0,0,2,87,1,2,10,88,0,2,10,90,1,1,8,98,0,1,1,98,0,1,1,97,1,2,0,100,0,0,0,97,0,2,1,94,1,1,4,100,0,0,0,95,0,1,4,0,1,1,98,99,1,0,0,2,18,80,82,1,0,17,100,0,0,0,100,0,0,0,100,0,0,3,1,1,95,100,0,0,0,0,0,0,1,53,26,8,12,6,2,35,44,13,6,3,58,26,7,6,3,47,33,11,6,2,54,29,9,6,4,21,43,26,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,30,68,0,0,83,17,0,1,63,36,0,1,67,32,0,3,26,71,0,2,11,87,0,0,77,23,23,0,39,14,14,10,0,3,1,5,36,55,0,2,98,0,0,0,22,78,0,1,2,2,11,3,80,1,0,0,10,18,38,34,0,1,5,19,26,49,100,100,70,0,4,26,17,1,10,72,37,1,6,56,33,2,8,57,74,0,4,22,89,0,7,4,0,1,0,0,1,8,90,0,0,0,0,5,6,89,0,0,6,20,43,31,0,0,2,2,9,87,0,0,3,8,20,69,89,2,6,3,89,3,3,5,89,1,7,3,0,0,36,64,36,0,10,54,90,0,1,0,2,1,1,0,5,54,0,3,3,3,6,0,1,10,1,0,3,1,2,0,4,9,0,1,39,57,1,2,0,0,0,0,0,0,0,100,0,2,3,41,34,20,2,3,26,21,29,15,4,7.071428571428571,8.827266559962656,4,0,13.877777777777778,5.085400512941799,2.3263157894736843,1.4398737035569644
NZ,NZL,New Zealand,-99,2020-12-23,2020-12-22,100,2,20709.28152436829,1,11058.175214633999,6,78,699450.2098551538,0,2,5,93,1,16,83,2,3,95,2,19,79,3,16,81,2,23,75,2,6,92,1,2,97,1,5,94,1,2,97,2,6,92,1,18,81,3,3,94,3,10,87,95,0,3,2,84,1,6,9,97,1,1,1,81,2,4,13,84,1,6,9,77,1,9,13,94,0,2,4,98,0,1,1,95,0,0,5,98,0,2,0,94,0,2,4,82,2,5,11,97,0,1,2,90,0,4,6,22,0,3,75,99,1,0,26,3,15,56,85,1,1,13,99,0,1,0,99,0,1,0,100,0,0,32,1,1,66,100,0,0,0,0,0,34,0,24,24,9,9,45,2,20,25,8,45,3,26,21,5,45,1,21,23,10,45,2,22,21,10,45,2,11,19,23,0,99,0,1,0,99,0,1,0,99,0,1,0,99,0,1,0,99,0,1,0,99,0,1,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,51,1,22,26,51,2,39,8,51,2,33,14,51,2,30,17,51,2,22,25,51,2,8,39,57,0,25,18,75,0,8,7,2,8,62,2,1,3,9,23,62,2,35,1,68,1,6,25,68,1,1,2,1,1,26,0,68,1,9,6,6,10,73,3,1,3,6,14,100,100,78,1,1,20,62,2,6,30,68,2,3,27,71,1,2,26,79,1,2,18,92,0,5,3,78,0,1,0,1,0,20,78,0,0,1,0,3,18,80,1,2,2,8,7,80,0,0,1,2,17,80,0,1,2,4,13,97,0,1,2,97,0,0,3,97,0,1,2,85,0,4,11,89,0,6,5,99,0,1,0,0,0,0,0,0,95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,5.839285714285714,6.77830631558773,4,0,0,0,0,0
NZ,NZL,New Zealand,2,2020-12-23,2020-12-22,100,2,17728.133897535306,1,11605.008960461599,19,100,669410.2477172312,97,0,2,98,0,10,90,0,1,99,0,28,72,0,26,74,0,19,81,0,8,92,0,3,97,0,7,93,0,1,99,0,6,94,0,27,73,0,1,99,0,13,87,98,0,0,2,90,0,4,6,99,0,0,1,72,0,12,16,74,0,5,21,81,0,6,13,92,0,4,4,97,0,1,2,93,0,0,7,99,0,1,0,94,0,2,4,73,0,3,24,99,0,0,1,87,0,8,5,0,0,10,90,90,10,0,0,0,39,61,61,0,2,37,98,0,2,0,98,0,2,0,100,0,0,2,0,2,96,100,0,0,0,0,0,0,0,40,34,20,6,0,2,19,73,6,0,1,44,50,5,0,1,39,50,10,0,0,47,45,8,0,1,9,62,28,0,98,1,0,1,98,1,0,1,98,1,0,1,98,1,0,1,98,0,1,1,98,1,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,61,39,0,0,84,16,0,0,77,23,0,1,77,22,0,0,39,61,0,0,20,80,0,0,78,22,22,0,29,23,10,16,0,0,1,8,24,67,0,0,100,0,0,0,25,75,0,0,2,1,9,13,74,1,0,0,8,10,39,43,0,0,5,19,34,42,100,100,39,2,5,54,16,2,2,80,23,2,2,73,23,2,4,71,61,2,2,35,80,1,8,11,0,0,0,2,12,21,65,0,0,0,3,12,20,65,0,0,17,24,34,25,0,0,2,5,25,68,0,0,6,21,35,38,73,1,17,9,73,1,1,25,73,0,7,20,0,0,83,17,83,0,7,10,93,0,2,0,1,0,1,0,3,10,0,5,6,8,7,4,6,8,2,0,1,13,3,2,5,20,0,1,33,64,1,1,0,0,0,100,0,0,0,0,0,2,0,48,34,16,2,1,18,29,29,18,3,5,6.196773353931867,1.9,1.1005049346146119,13.023255813953488,5.615056951544076,3.1789473684210527,1.4438346354923255
NZ,NZL,New Zealand,3,2020-12-23,2020-12-21,100,0,0,0,0,12,100,661132.083815954,99,0,1,99,0,4,96,0,1,99,0,25,75,0,17,83,0,13,87,0,2,98,0,0,100,0,5,95,0,1,99,0,2,98,0,19,81,0,1,99,0,12,88,99,0,0,1,96,0,2,2,99,0,1,0,75,0,5,20,83,0,3,14,87,0,4,9,98,0,1,1,100,0,0,0,95,0,1,4,99,0,1,0,98,0,1,1,81,0,4,15,99,0,0,1,88,0,3,9,0,0,6,94,94,6,0,0,0,30,70,70,0,2,28,98,0,2,0,98,0,2,0,100,0,0,2,0,1,97,100,0,0,0,0,0,0,0,40,34,17,9,0,1,24,63,12,0,0,53,39,8,0,0,47,43,10,0,1,48,40,11,0,0,13,58,29,0,99,1,0,0,99,1,0,0,99,1,0,0,99,0,1,0,99,1,0,0,99,1,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,51,49,0,0,87,13,0,0,74,26,0,2,79,19,0,0,40,60,0,0,16,84,0,0,79,21,21,0,27,16,10,26,0,0,1,6,22,71,0,0,100,0,0,1,21,78,0,0,3,0,6,11,73,7,0,0,9,12,26,53,0,0,4,16,29,51,100,100,49,2,1,48,13,3,5,79,26,3,2,69,21,2,2,75,60,3,3,34,84,0,8,8,0,0,2,1,2,12,83,0,0,2,2,5,20,71,0,0,11,21,29,39,0,0,5,10,10,75,0,0,7,13,30,50,80,1,16,3,80,1,3,16,80,1,6,13,0,0,80,20,80,0,7,13,93,0,0,0,1,0,1,0,5,13,0,4,6,3,14,0,5,15,6,0,1,5,7,0,4,17,0,0,32,67,0,1,0,0,0,0,100,0,0,0,0,1,1,57,27,14,1,0,10,26,44,13,6,5.883883720930233,8.896677122358133,2,0.8944271909999157,13.978494623655912,5.045399313329822,3.474226804123712,1.2673198713653109
NZ,NZL,New Zealand,4,2020-12-23,2020-12-22,100,0,0,0,0,1,100,590309.5461681503,98,0,1,99,0,5,95,0,2,98,0,24,76,0,12,88,0,13,87,0,4,96,0,3,97,0,3,97,0,1,99,0,5,95,0,14,86,0,1,99,0,12,88,99,0,1,0,95,0,2,3,98,0,0,2,76,1,5,18,88,1,2,9,87,1,2,10,96,0,2,2,97,0,1,2,97,0,2,1,99,0,1,0,95,0,2,3,86,1,3,10,99,0,0,1,88,1,3,8,0,0,1,99,99,1,0,0,0,30,70,70,0,2,28,98,0,2,0,98,0,2,0,100,0,0,2,1,1,96,100,0,0,0,0,0,0,0,39,37,17,7,0,0,24,68,8,0,1,51,42,6,0,0,40,50,10,0,1,40,49,10,0,0,13,57,30,0,99,1,0,0,99,0,1,0,99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,44,56,0,0,91,9,0,0,77,23,0,0,78,22,0,0,33,67,0,1,14,85,0,0,82,18,18,0,27,13,18,24,0,0,0,4,24,72,0,1,99,0,0,1,20,79,0,0,4,2,6,11,77,0,0,0,13,14,25,48,0,0,5,16,19,60,100,100,56,0,2,42,9,0,7,84,23,0,4,73,22,0,2,76,67,0,0,33,86,0,7,7,0,0,1,2,6,3,88,0,0,3,1,4,12,80,0,0,6,21,41,32,0,0,0,0,14,86,0,0,3,12,26,59,85,1,7,7,85,3,0,12,85,2,2,11,0,0,78,22,78,0,10,12,90,1,1,1,1,0,0,0,6,12,0,2,3,5,15,3,6,9,6,0,2,9,5,0,6,17,0,0,27,71,2,0,0,0,0,0,0,100,0,0,0,1,3,47,31,18,1,2,13,15,38,25,6,4.7272727272727275,6.22957550669847,1,0,13.229166666666666,5.0251560157328585,3.15625,1.3941843493598687
NZ,NZL,New Zealand,5,2020-12-23,2020-12-22,100,0,0,0,0,10,100,565372.9643519715,98,0,2,98,0,10,90,0,2,98,0,16,84,0,4,96,0,9,91,0,5,95,0,1,99,0,2,98,0,2,98,0,3,97,0,9,91,0,0,100,0,6,94,98,0,1,1,90,1,3,6,98,1,0,1,84,1,3,12,96,1,1,2,91,1,2,6,95,0,4,1,99,0,0,1,98,0,1,1,98,1,1,0,97,1,1,1,91,0,1,8,100,0,0,0,94,1,1,4,0,0,5,95,95,4,1,0,0,30,70,70,1,2,27,98,0,2,0,98,0,2,0,100,0,0,3,0,2,95,100,0,0,0,0,0,0,0,51,29,17,3,0,1,30,62,7,0,1,61,34,4,0,1,56,36,7,0,3,58,36,3,0,3,17,56,24,0,98,0,0,2,98,0,1,1,98,0,1,1,98,0,0,2,98,0,0,2,98,0,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,50,50,0,0,87,13,0,0,68,32,0,0,79,21,0,0,37,63,0,0,11,89,0,1,79,20,21,0,31,13,14,21,0,0,1,3,30,66,0,0,100,0,0,1,23,76,0,0,4,3,8,10,71,4,0,0,12,11,24,53,0,0,4,12,40,44,100,100,50,0,7,43,13,1,10,76,32,1,5,62,21,1,10,68,63,1,4,32,89,0,7,4,0,0,2,0,9,11,78,0,0,0,1,3,14,82,0,1,11,20,41,27,0,0,1,1,14,84,0,0,4,15,29,52,81,0,12,7,81,5,3,11,81,5,5,9,0,1,72,27,73,0,13,14,87,0,2,4,0,1,1,1,4,15,0,4,8,4,15,1,5,13,3,0,0,11,2,2,3,14,0,1,44,54,0,1,0,0,0,0,0,0,100,0,0,2,4,48,25,21,2,2,12,22,41,13,8,6.9,9.603699000008206,2.25,2.5,13.54736842105263,4.943873107088425,2.6875,1.2507892245340644
