ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
DK,DNK,Denmark,-99,2020-12-21,2020-12-21,185,1,2361.56719517725,0,0,36,157,531985.0164774443,0,3,2,180,3,21,161,3,11,171,3,13,169,1,42,142,3,17,165,4,15,166,2,3,180,4,5,176,4,1,180,3,2,180,2,30,153,5,1,179,6,14,165,183,0,1,1,165,2,3,15,175,0,5,5,172,2,5,6,145,2,11,27,169,1,5,10,170,2,3,10,183,1,1,0,180,0,3,2,184,0,1,0,183,2,0,0,156,2,6,21,184,0,0,1,171,2,5,7,27,1,20,137,168,0,8,9,33,6,105,41,81,3,33,68,152,0,2,30,1,152,0,0,33,185,0,0,0,77,4,24,80,185,0,0,0,0,0,42,0,75,45,15,8,175,0,2,8,0,175,0,5,5,0,175,0,5,4,1,175,0,6,4,0,175,0,2,8,0,0,165,7,6,7,165,9,2,9,165,11,0,9,165,6,10,4,165,11,2,7,165,10,2,8,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,75,1,23,86,75,1,73,36,75,1,4,105,75,1,60,49,75,0,1,109,75,2,8,100,83,1,52,49,133,0,39,10,2,1,89,0,1,9,16,70,89,2,94,0,105,0,11,69,105,0,18,21,25,13,1,2,105,0,18,25,25,12,106,3,19,30,20,7,109,0,28,46,2,124,2,20,38,1,162,1,11,11,113,0,72,0,182,0,3,0,127,1,24,33,184,0,1,0,177,0,8,0,134,0,0,0,1,12,38,134,0,0,0,6,8,37,139,1,9,13,19,4,139,0,0,2,6,38,139,0,3,3,8,32,181,2,1,1,181,1,1,2,181,1,1,2,148,1,7,29,156,0,15,14,184,0,0,0,0,0,0,0,1,180,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,185,0,0,0,0,0,185,0,0,0,0,0,0,0,0,185,0,0,0,0,185,0,0,0,0,0,0,5.725806451612903,7.313067923500245,2.066666666666667,1.0327955589886444,0,0,0,0
DK,DNK,Denmark,2,2020-12-21,2020-12-21,112,1,11101.247301810201,1,11101.247301810201,33,112,487883.64652818284,110,0,1,111,0,18,94,0,4,108,0,19,93,0,34,78,0,16,96,0,13,99,0,2,110,0,8,104,1,3,108,0,4,108,0,37,75,0,3,109,0,13,99,111,0,1,0,94,1,9,8,108,0,1,3,93,1,6,12,78,0,5,29,96,0,7,9,99,0,6,7,110,0,0,2,104,0,5,3,109,0,2,1,108,0,2,2,75,0,8,29,109,0,2,1,99,0,3,10,0,0,18,94,94,0,8,10,0,0,95,17,17,1,56,38,56,0,4,49,3,56,0,2,54,110,0,2,0,57,0,9,46,112,0,0,0,0,0,0,0,56,31,18,7,92,0,6,14,0,92,0,9,11,0,92,0,9,9,2,92,0,12,6,2,92,0,2,12,6,0,103,0,6,3,103,1,0,8,103,1,0,8,103,1,0,8,103,1,0,8,103,1,0,8,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,0,0,19,93,0,0,69,43,0,0,6,106,0,0,60,52,0,0,4,108,0,0,13,99,0,0,65,47,47,1,47,13,2,2,0,0,0,5,36,71,0,0,112,0,0,1,23,88,0,0,22,48,31,8,0,3,0,0,13,33,51,15,0,0,18,68,25,1,0,0,10,102,0,0,0,18,94,0,93,0,13,6,43,0,69,0,106,0,5,1,52,0,17,43,108,0,4,0,99,0,13,0,0,2,0,1,8,23,78,0,0,1,4,12,29,66,0,1,16,53,36,6,0,0,0,3,13,96,0,0,6,4,24,78,102,0,10,0,102,2,2,6,102,2,1,7,0,0,47,65,47,0,17,48,95,0,3,2,2,1,0,0,9,48,0,0,8,1,7,0,1,9,4,0,6,9,2,2,2,13,0,0,29,81,1,1,0,0,0,112,0,0,0,0,0,2,1,62,27,20,2,0,60,24,23,2,1,4.9391891891891895,5.788482129278574,1.8333333333333335,1.2947859237091257,10.481308411214954,6.321170342454379,2.3333333333333335,1.1840055569457875
DK,DNK,Denmark,3,2020-12-21,2020-12-21,126,0,0,0,0,51,126,451128.5903010819,125,0,0,126,0,19,107,0,3,123,0,20,106,0,23,103,0,15,111,0,13,113,0,2,124,0,7,119,0,1,125,0,3,123,0,28,98,0,2,124,0,15,111,126,0,0,0,107,0,7,12,123,0,1,2,106,0,4,16,103,0,9,14,111,0,2,13,113,0,5,8,124,0,2,0,119,0,4,3,125,0,1,0,123,0,1,2,98,0,3,25,124,0,0,2,111,0,6,9,0,0,21,105,105,0,5,16,0,1,107,18,19,0,50,57,76,0,1,46,3,76,0,0,50,126,0,0,0,51,2,13,60,126,0,0,0,0,0,0,0,56,53,14,3,103,0,7,14,2,103,0,9,14,0,103,0,8,13,2,103,0,12,10,1,103,0,3,14,6,0,113,1,8,4,113,3,0,10,113,3,0,10,113,3,1,9,113,3,1,9,113,2,1,10,126,0,0,0,126,0,0,0,126,0,0,0,126,0,0,0,126,0,0,0,126,0,0,0,126,0,0,0,126,0,0,0,126,0,0,0,126,0,0,0,126,0,0,0,126,0,0,0,0,0,36,90,0,0,94,32,0,0,4,122,0,0,67,59,0,0,3,123,0,0,4,122,0,0,71,55,55,0,57,5,4,5,0,1,0,5,28,92,0,1,125,0,0,2,30,94,0,0,21,49,37,15,4,0,0,0,15,27,54,30,0,0,17,63,41,5,0,0,14,110,2,0,0,15,106,5,90,0,23,13,32,0,93,1,122,0,3,1,59,0,20,47,123,0,2,1,122,0,3,1,0,1,1,1,7,20,96,0,0,0,4,10,33,79,0,2,21,57,39,7,0,0,1,1,11,113,0,0,7,10,31,78,109,0,14,3,109,4,1,12,109,4,3,10,0,0,67,59,67,0,9,50,117,0,1,0,0,2,1,0,5,50,0,1,5,4,9,1,6,12,2,0,4,7,3,1,3,18,0,2,45,79,0,0,0,0,0,0,126,0,0,0,0,0,4,52,35,35,0,0,21,35,48,17,5,5.081967213114754,5.106515713501765,2.5789473684210527,1.304513083861144,9.259504132231404,6.335686999218484,2.9918032786885247,1.307928155578299
DK,DNK,Denmark,4,2020-12-21,2020-12-21,226,2,4475.22424877478,1,1477.00217911439,87,225,542993.9409380893,223,0,5,221,0,33,193,0,2,224,0,21,205,0,43,183,0,24,202,0,14,212,0,5,221,0,9,217,0,5,221,0,5,221,0,43,183,0,9,217,0,25,201,221,0,5,0,193,1,12,20,224,0,0,2,205,3,6,12,183,4,16,23,202,3,3,18,212,2,5,7,221,1,1,3,217,1,4,4,221,1,3,1,221,1,4,0,183,4,8,31,217,3,4,2,201,3,9,13,0,1,40,185,186,0,14,26,0,2,182,42,44,3,83,96,143,0,5,72,6,143,0,3,80,223,0,3,0,88,1,12,125,226,0,0,0,0,0,0,0,126,75,18,7,192,0,5,26,3,192,0,9,22,3,192,1,11,19,3,192,1,18,14,1,192,1,7,20,6,0,214,1,6,5,214,3,1,8,214,3,0,9,214,3,1,8,214,3,2,7,214,3,1,8,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,226,0,0,0,0,0,65,161,0,0,161,65,0,0,5,221,0,0,120,106,0,0,4,222,0,0,14,212,0,0,109,117,117,0,81,21,6,1,0,0,0,4,56,166,0,1,225,0,0,0,43,183,0,0,26,68,90,35,5,2,0,0,30,56,90,50,0,0,33,125,59,9,0,0,44,181,1,0,3,27,196,0,161,0,26,39,65,0,161,0,221,0,5,0,106,1,39,80,222,0,3,1,212,0,14,0,0,1,0,0,3,37,185,0,0,0,4,9,42,171,0,0,42,103,67,14,0,0,1,0,21,204,0,0,4,11,59,152,211,0,14,1,211,4,2,9,211,3,5,7,0,0,114,112,114,1,13,98,213,0,2,2,2,3,0,1,3,99,0,3,16,7,15,4,3,19,11,0,2,7,7,1,8,24,0,2,86,138,0,0,0,0,0,0,0,226,0,0,0,1,5,88,71,61,1,2,58,62,64,31,8,5.625,7.178970772974584,2.210526315789474,1.2977713690461004,9.30365296803653,6.167968855759721,2.6363636363636362,1.3496305784232316
DK,DNK,Denmark,5,2020-12-21,2020-12-21,246,0,0,0,0,67,245,444757.06168653094,243,1,0,245,1,35,210,2,5,239,1,16,229,2,42,202,1,18,227,0,15,231,2,4,240,2,8,236,2,2,242,2,9,235,2,33,211,2,2,242,2,17,227,246,0,0,0,211,0,11,24,241,0,0,5,230,0,7,9,204,0,8,34,228,0,2,16,231,0,6,9,242,0,0,4,238,0,4,4,244,0,2,0,237,0,8,1,213,0,14,19,244,0,2,0,229,0,7,10,0,1,29,216,217,0,6,23,0,0,188,58,58,3,80,105,166,0,2,71,7,166,0,1,79,245,0,1,0,83,2,22,139,246,0,0,0,0,0,0,0,149,72,17,8,203,1,13,25,4,203,4,16,20,3,203,4,18,19,2,203,2,26,14,1,203,3,9,24,7,0,224,1,9,12,224,6,2,14,224,6,1,15,224,5,6,11,224,5,2,15,224,6,0,16,246,0,0,0,246,0,0,0,246,0,0,0,246,0,0,0,246,0,0,0,246,0,0,0,246,0,0,0,246,0,0,0,246,0,0,0,246,0,0,0,246,0,0,0,246,0,0,0,0,0,71,175,0,0,156,90,0,0,11,235,0,0,123,123,0,0,7,239,0,1,16,229,0,0,113,133,133,0,86,23,4,0,0,0,0,7,50,189,0,1,244,1,0,1,38,207,0,0,41,69,94,36,6,0,0,0,29,69,103,45,0,3,38,118,80,7,0,0,81,165,0,0,1,62,180,3,175,0,47,24,90,0,152,4,235,0,10,1,123,0,45,78,239,0,5,2,230,0,16,0,0,1,0,3,15,30,197,0,0,1,4,16,43,182,0,2,46,113,65,20,0,1,1,4,18,222,0,0,4,9,46,187,233,1,10,2,233,4,1,8,233,5,0,8,0,3,97,146,100,0,23,123,223,0,2,1,3,0,0,2,15,126,1,2,10,8,12,1,4,21,7,0,2,7,9,0,6,30,0,2,105,139,0,0,0,0,0,0,0,0,246,0,0,3,6,103,72,62,3,3,120,65,41,8,6,6.707865168539326,7.878627948142384,2.4615384615384617,1.5028178660308569,7.972340425531915,5.852193033591648,1.8425531914893618,0.9678031959054114
DK,DNK,Denmark,6,2020-12-21,2020-12-21,238,2,4822.34953582131,0,0,57,237,542905.4609491819,233,5,3,230,5,22,211,5,7,226,4,9,225,5,31,202,5,19,214,4,16,218,4,4,230,4,5,229,5,2,231,5,1,232,4,25,209,5,7,226,4,9,225,235,0,3,0,216,0,5,17,231,1,2,4,229,0,5,4,207,0,7,24,219,0,4,15,222,0,5,11,234,0,2,2,233,1,3,1,236,0,0,2,237,0,0,1,213,1,6,18,231,0,6,1,229,1,6,2,0,1,29,208,209,0,4,25,0,8,144,86,94,1,52,91,186,0,2,45,5,186,0,2,50,236,0,2,0,61,4,14,159,238,0,0,0,0,0,0,2,173,51,10,2,207,1,7,20,3,207,3,14,13,1,207,3,11,17,0,207,3,14,14,0,207,3,6,19,3,0,224,2,8,4,224,7,2,5,224,7,2,5,224,7,0,7,224,7,1,6,224,5,4,5,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,0,4,22,212,0,1,166,71,0,2,7,229,0,1,121,116,0,2,5,231,0,2,16,220,0,0,113,125,125,0,92,17,4,0,0,3,0,4,54,177,0,4,234,0,0,2,37,199,0,0,35,65,86,42,4,6,0,0,52,67,103,16,0,2,48,130,52,6,0,0,184,52,2,0,1,124,107,6,216,0,13,9,72,0,164,2,231,1,6,0,117,1,39,81,233,1,2,2,222,2,12,2,0,2,0,0,8,37,191,0,1,1,1,8,45,182,0,3,52,109,63,11,0,0,1,0,31,206,0,0,1,5,39,193,232,0,4,2,232,2,0,4,232,2,1,3,0,2,35,201,37,1,17,183,221,0,2,0,0,1,0,0,14,186,0,1,7,4,3,1,1,5,0,0,2,5,6,1,2,14,0,4,100,133,0,1,0,0,0,0,0,0,0,238,0,4,12,102,64,56,4,5,144,54,21,4,6,7.109589041095891,8.299199499275042,2.076923076923077,1.4946056850708664,6.9493392070484585,5.2267891465659435,1.6108597285067874,0.7935362071466262
DK,DNK,Denmark,-99,2020-12-22,2020-12-22,213,0,0,0,0,53,183,696942.0932608979,0,1,3,209,3,38,172,1,13,199,1,31,181,2,46,165,4,30,179,4,12,197,4,4,205,4,11,198,2,5,206,2,9,202,2,39,172,4,9,200,4,25,184,210,0,1,2,175,2,10,26,200,0,4,9,182,1,11,19,167,2,14,30,183,2,8,20,201,0,5,7,209,0,0,4,202,0,3,8,208,1,2,2,204,0,6,3,174,0,11,28,204,0,4,5,188,1,12,12,29,1,32,151,186,0,11,16,37,10,126,40,88,3,59,63,154,0,1,54,4,154,0,3,56,210,0,3,0,110,2,19,82,213,0,0,0,0,0,58,3,89,46,13,4,95,4,36,68,10,95,6,55,48,9,95,6,55,47,10,95,6,66,36,10,95,8,22,65,23,0,201,2,5,5,201,2,3,7,201,3,0,9,201,3,0,9,201,3,0,9,201,3,1,8,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,213,0,0,0,109,1,34,69,109,1,78,25,109,1,5,98,109,1,54,49,109,1,3,100,109,0,11,93,119,3,39,52,174,0,30,8,0,1,124,1,0,6,15,67,124,0,88,1,133,0,14,66,133,0,15,30,19,14,2,0,133,0,17,23,24,16,140,2,15,37,16,3,147,0,20,44,2,164,0,18,29,2,180,1,24,8,138,4,68,3,208,0,4,1,161,3,17,32,211,0,2,0,203,0,10,0,167,2,0,0,2,9,33,167,1,0,0,2,15,28,175,1,5,18,10,4,175,1,0,1,5,31,175,1,0,2,9,26,211,1,1,0,211,1,1,0,211,0,2,0,183,0,5,25,188,1,14,10,211,0,1,1,0,0,0,0,0,210,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,213,0,0,0,0,0,213,0,0,0,0,0,0,0,0,213,0,0,0,0,213,0,0,0,0,0,0,7.342105263157895,8.530029513944951,2,0.894427190999916,0,0,0,0
DK,DNK,Denmark,1,2020-12-22,2020-12-21,100,0,0,0,0,60,100,456183.39159086737,98,0,0,100,0,9,91,0,1,99,0,26,74,0,24,76,0,10,90,0,10,90,0,0,100,0,10,90,0,4,96,0,2,98,0,21,79,0,2,98,0,23,77,100,0,0,0,91,1,2,6,99,0,0,1,74,0,7,19,76,0,3,21,90,0,1,9,90,0,1,9,100,0,0,0,90,0,1,9,96,0,3,1,98,0,0,2,79,0,4,17,98,0,0,2,77,1,10,12,0,0,20,80,80,0,2,18,0,0,87,13,13,0,49,38,51,0,2,43,4,51,0,3,46,97,0,3,0,49,0,14,37,100,0,0,0,0,0,0,0,48,31,15,6,23,0,33,38,6,23,0,48,23,6,23,0,50,22,5,23,0,52,20,5,23,0,21,40,16,0,86,0,8,6,86,1,1,12,86,1,1,12,86,1,3,10,86,1,3,10,86,1,1,12,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,13,87,0,0,67,33,0,0,10,90,0,1,53,46,0,0,1,99,0,0,21,79,0,0,51,49,49,0,46,4,1,0,0,1,0,6,35,58,0,0,100,0,0,2,14,84,0,0,21,48,27,2,1,1,0,0,15,26,44,15,0,1,18,54,24,3,0,0,5,91,4,0,0,7,85,8,87,0,10,3,33,0,67,0,90,0,10,0,47,0,10,43,99,0,1,0,79,0,21,0,0,3,1,2,8,31,55,0,0,2,9,12,36,41,0,1,20,51,26,2,0,0,2,5,16,77,0,0,7,13,25,55,80,0,14,6,80,0,3,17,80,0,2,18,0,0,22,78,22,0,31,47,69,1,6,0,1,4,2,0,17,47,0,0,15,2,3,2,1,3,3,0,1,1,2,2,1,17,0,1,36,62,0,1,0,0,100,0,0,0,0,0,0,1,4,56,30,9,1,0,37,21,28,8,5,5.60655737704918,6.455691774252624,3.1052631578947367,1.5949481650269413,9.510526315789473,5.605363572853645,2.526315789473684,1.2190169152401689
DK,DNK,Denmark,2,2020-12-22,2020-12-22,119,0,0,0,0,24,119,441835.2777977611,118,0,0,119,0,13,106,0,3,116,0,22,97,0,36,83,0,17,102,0,9,110,0,2,117,0,7,112,0,4,115,0,2,117,0,35,84,0,2,117,0,13,106,119,0,0,0,106,0,3,10,116,0,2,1,97,0,4,18,83,0,7,29,102,0,4,13,110,0,2,7,117,0,1,1,112,0,3,4,115,0,3,1,117,0,1,1,84,0,8,27,117,0,1,1,106,0,2,11,0,0,10,109,109,0,2,8,0,3,92,24,27,0,50,42,69,0,4,42,4,69,0,1,49,118,1,0,0,53,1,17,48,119,0,0,0,0,0,0,1,46,51,13,8,0,1,37,65,16,0,1,62,44,12,0,1,62,47,9,0,1,64,44,10,0,1,19,73,26,0,102,2,8,7,102,3,0,14,102,3,0,14,102,1,3,13,102,3,3,11,102,3,0,14,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,119,0,0,0,0,0,23,96,0,0,72,47,0,0,8,111,0,0,62,57,0,0,0,119,0,0,9,110,0,0,62,57,57,0,51,9,1,1,0,0,0,6,28,85,0,0,119,0,0,1,21,97,0,0,24,51,27,12,2,3,0,0,20,21,56,22,0,0,20,73,23,3,0,0,11,108,0,0,0,16,100,3,96,0,14,9,47,0,71,1,111,0,7,1,57,0,13,49,119,0,0,0,110,0,8,1,0,1,0,2,4,18,94,0,0,0,1,14,23,81,0,2,18,63,31,5,0,0,0,5,8,106,0,0,7,9,20,83,103,0,13,3,103,4,1,11,103,3,3,10,0,1,50,68,51,1,18,49,101,0,2,0,5,3,1,2,5,51,0,0,7,3,7,1,5,6,1,0,2,9,5,4,0,18,0,1,34,84,0,0,0,0,0,119,0,0,0,0,0,0,2,66,26,25,0,0,53,32,19,12,3,6.625,9.077813070384577,2.4,1.2649110640673518,8.903508771929825,6.506251994289547,2.7217391304347824,1.3081916411392505
DK,DNK,Denmark,3,2020-12-22,2020-12-22,149,0,0,0,0,59,149,525823.54201639,147,1,1,147,1,20,128,1,1,147,1,19,129,1,30,118,1,19,129,0,16,133,1,3,145,1,7,141,1,3,145,1,1,147,1,39,109,1,4,144,1,18,130,148,0,1,0,129,0,7,13,148,0,0,1,130,0,2,17,119,0,10,20,130,0,6,13,133,0,8,8,146,0,2,1,142,0,3,4,146,0,3,0,148,0,0,1,110,0,7,32,145,0,2,2,131,0,4,14,0,0,25,124,124,0,9,16,0,0,122,27,27,2,74,46,75,0,4,65,5,75,0,7,67,142,2,5,0,76,0,12,61,149,0,0,0,0,0,0,0,84,43,14,8,0,0,32,104,13,0,0,68,74,7,0,0,62,74,13,0,0,78,63,8,0,0,22,96,31,0,137,1,5,6,137,3,0,9,137,3,0,9,137,3,0,9,137,3,1,8,137,3,1,8,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,149,0,0,0,0,1,38,110,0,0,99,50,0,0,8,141,0,0,80,69,0,0,3,146,0,0,14,135,0,0,78,71,71,0,60,12,5,1,0,0,1,5,35,108,0,0,148,1,0,0,27,122,0,0,21,51,51,18,5,3,0,0,28,30,74,17,0,0,26,79,35,9,0,0,27,121,1,0,2,18,128,1,111,0,25,13,50,0,96,3,141,0,7,1,69,0,27,53,146,0,1,2,135,0,13,1,0,1,1,4,5,15,123,0,0,1,3,12,28,105,0,1,20,70,41,17,0,0,0,4,13,132,0,0,4,8,42,95,137,0,8,4,137,2,0,10,137,2,0,10,0,0,75,74,75,0,21,53,128,1,4,0,3,2,2,1,8,53,0,1,6,8,11,0,2,9,7,1,1,16,5,2,7,20,0,1,60,88,0,0,0,0,0,0,149,0,0,0,0,1,1,73,38,36,1,0,36,40,46,19,7,6.2375,8.83354330615819,2.4782608695652173,1.5036188231122247,9.568965517241379,6.686070898614722,2.808219178082192,1.5236755401428692
