ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
NGA,Nigeria,-99,2021-01-01,2021-01-01,250,12,1177383.051871767,0,0,26,205,17178921.045332868,0,13,30,207,15,40,195,13,8,229,12,30,208,13,37,200,14,33,203,16,23,211,15,17,218,15,16,219,14,20,216,16,18,216,8,52,190,14,11,225,13,43,194,220,3,12,15,210,2,18,20,242,0,4,4,220,1,16,13,213,0,10,27,217,5,13,15,227,0,9,14,233,0,9,8,234,0,3,13,230,0,12,8,232,1,8,9,198,3,25,24,239,2,5,4,207,4,26,13,45,0,20,185,232,0,13,5,51,3,32,164,219,0,7,24,243,2,5,0,243,1,6,0,249,0,1,0,65,3,33,149,250,0,74,2,52,56,25,41,86,16,67,19,62,86,23,56,29,56,86,19,85,22,38,86,21,66,24,53,86,24,28,14,98,0,221,5,18,6,221,9,11,9,221,12,10,7,221,11,2,16,221,11,11,7,221,10,6,13,109,13,17,111,109,13,15,113,109,18,18,105,109,17,23,101,109,16,35,90,109,16,45,80,109,19,25,97,193,6,11,40,193,8,24,25,193,5,19,33,193,6,17,34,193,4,19,34,136,3,50,61,136,4,73,37,136,6,60,48,136,5,60,49,136,4,60,50,136,4,51,59,142,2,53,53,197,0,24,16,5,8,151,0,6,21,40,32,151,4,89,6,164,2,15,69,164,0,35,22,13,7,6,3,164,1,28,21,22,14,166,2,19,32,28,3,178,2,3,61,6,196,1,2,45,6,200,2,43,5,179,2,52,17,192,1,43,14,192,1,40,17,191,1,44,14,201,0,34,15,207,0,1,1,5,3,33,207,1,1,2,3,9,27,226,1,5,2,5,11,226,0,3,7,5,9,226,0,8,5,5,6,238,3,8,1,238,4,2,6,238,2,5,5,228,0,11,11,239,0,8,3,246,0,2,0,0,0,0,0,2,236,1,1,1,0,2,0,2,2,1,0,0,1,1,0,1,1,250,0,0,0,0,0,250,0,0,0,0,0,0,0,0,250,0,0,0,0,250,0,0,0,0,0,0,2.702127659574468,1.9990846681442778,1.3214285714285714,0.8684013352827592,0,0,0,0
NGA,Nigeria,-99,2021-01-02,2021-01-01,100,8,570768.6287223236,1,5556.1344091221,12,81,6295647.81272999,0,6,17,77,9,14,77,6,3,91,7,14,79,7,14,79,5,19,76,9,8,83,9,11,80,7,7,86,6,10,84,9,8,83,6,20,74,7,3,90,6,13,81,83,1,6,10,86,0,6,8,97,0,1,2,86,0,6,8,86,0,4,10,81,2,7,10,92,0,4,4,89,0,5,6,93,0,1,6,90,0,5,5,92,0,4,4,80,1,6,13,97,1,2,0,87,2,8,3,19,0,8,73,92,0,4,4,22,3,10,65,90,0,3,7,97,1,2,0,97,1,2,0,99,0,1,0,30,3,9,58,100,0,31,1,25,16,8,19,34,9,31,3,23,34,12,24,8,22,34,8,36,7,15,34,10,26,12,18,34,8,10,1,47,0,92,5,2,1,92,3,4,1,92,4,3,1,92,5,0,3,92,4,3,1,92,4,1,3,46,8,4,42,46,9,3,42,46,10,4,40,46,11,2,41,46,10,12,32,46,11,12,31,46,11,6,37,82,1,0,17,82,1,7,10,82,0,4,14,82,1,5,12,82,1,4,13,43,3,20,34,43,3,39,15,43,4,26,27,43,5,32,20,43,5,24,28,43,5,23,29,48,1,26,25,74,0,9,11,5,1,53,0,3,15,17,12,53,2,43,2,58,0,4,38,58,0,16,11,6,2,5,2,58,0,13,15,9,5,58,0,9,14,17,2,65,1,1,30,3,72,0,2,24,2,81,1,15,3,62,0,26,12,74,0,19,7,69,0,19,12,77,0,15,8,77,0,16,7,79,0,0,1,1,0,19,79,0,0,1,1,3,16,85,1,2,0,3,9,85,0,3,3,3,6,85,0,7,3,2,3,93,2,4,1,93,2,2,3,93,2,2,3,90,0,7,3,97,0,2,1,99,0,0,0,0,0,0,0,1,92,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.488372093023256,1.7095264315461867,1.3571428571428572,1.1801936887041646,0,0,0,0
NGA,Nigeria,-99,2021-01-03,2021-01-03,238,14,960789.0284465831,4,277635.3871821564,44,184,15540000.889707943,0,17,31,190,13,36,189,21,8,209,17,43,178,22,37,179,20,46,172,19,25,194,19,17,202,24,10,204,20,22,196,20,23,195,18,52,168,23,16,199,19,39,180,207,5,9,17,202,4,18,14,230,2,2,4,195,4,12,27,201,5,10,22,192,3,10,33,213,5,8,12,221,1,6,10,228,0,5,5,216,2,11,9,215,1,7,15,186,6,19,27,222,2,7,7,199,5,17,17,54,0,25,159,215,1,12,10,59,6,31,142,207,1,8,22,230,0,8,0,230,3,5,0,235,1,2,0,74,7,34,123,238,0,75,3,55,46,31,28,97,12,62,18,49,97,22,46,24,49,97,20,65,18,38,97,22,53,23,43,97,25,20,8,88,0,210,8,12,8,210,7,13,8,210,8,13,7,210,9,4,15,210,10,10,8,210,8,6,14,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,106,7,43,82,106,6,80,46,106,6,57,69,106,6,66,60,106,7,62,63,106,8,47,77,119,3,63,53,175,2,37,9,7,8,129,1,9,23,37,39,129,5,99,5,147,2,15,74,147,1,34,27,15,4,7,3,147,1,25,24,31,10,157,5,20,33,15,8,165,0,3,63,7,184,5,1,39,9,199,5,22,12,162,8,56,12,185,7,30,16,177,5,31,25,179,4,41,14,195,4,30,9,193,1,2,0,5,7,30,193,3,2,3,4,6,27,203,2,5,3,10,15,203,1,3,2,7,22,203,1,8,6,6,14,227,0,9,2,227,0,2,9,227,1,4,6,210,4,12,12,226,0,10,2,237,0,0,0,0,0,0,0,1,227,0,2,2,1,0,0,1,0,1,0,0,0,2,0,1,1,238,0,0,0,0,0,238,0,0,0,0,0,0,0,0,238,0,0,0,0,238,0,0,0,0,0,0,2.7375,1.8741664813991312,2,1.4552137502179978,0,0,0,0
NGA,Nigeria,2,2021-01-03,2021-01-03,112,4,420260.41833105846,3,260113.02002522151,23,111,7224473.825877201,110,0,13,99,1,14,97,0,4,108,0,14,98,0,22,90,0,16,96,0,4,108,0,5,107,1,7,104,0,7,105,0,10,102,0,24,88,2,3,107,0,24,88,99,1,6,6,98,1,4,9,108,0,1,3,98,0,7,7,90,2,5,15,96,1,3,12,108,1,0,3,107,0,4,1,105,0,3,4,105,1,5,1,102,0,5,5,88,2,8,14,109,0,0,3,88,1,9,14,0,1,12,99,100,0,7,5,0,1,25,86,87,0,10,15,102,1,9,0,102,2,8,0,110,2,0,0,11,1,25,75,112,0,0,0,44,28,18,22,0,4,54,15,39,0,10,43,18,41,0,6,68,13,25,0,9,50,13,40,0,9,14,5,84,0,87,6,11,8,87,5,11,9,87,5,12,8,87,7,2,16,87,3,13,9,87,6,8,11,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,0,0,50,62,0,1,69,42,0,2,53,57,0,2,60,50,0,3,56,53,0,0,49,63,0,1,61,50,51,0,29,18,4,10,0,3,8,25,46,30,0,1,105,6,0,4,14,94,0,0,32,29,24,12,11,4,0,0,32,30,36,14,0,0,32,41,33,6,0,1,8,95,8,0,3,3,92,14,62,0,39,11,43,1,46,22,59,1,32,20,52,1,31,28,56,1,36,19,63,1,28,20,0,3,2,8,15,10,74,0,1,4,10,18,17,62,0,5,26,12,38,31,0,1,39,17,23,32,0,0,59,22,14,17,31,3,71,7,31,13,32,36,31,15,40,26,0,0,69,43,69,0,28,15,84,0,16,1,2,2,0,0,7,15,0,5,19,6,13,0,3,7,5,1,6,7,1,0,9,15,0,0,89,20,2,1,0,0,0,112,0,0,0,0,0,1,2,45,51,13,1,0,40,35,17,9,10,2.5714285714285716,1.7200364372948962,2.1,1.449137674618944,12.423423423423424,6.3811505795649985,2.7452830188679247,1.851955572616954
NGA,Nigeria,3,2021-01-03,2021-01-01,100,2,74668.24286165269,1,46085.274570785994,28,100,4879990.000746191,94,2,3,95,0,11,89,2,5,93,2,17,81,2,13,85,2,20,78,1,7,92,0,8,92,2,3,95,2,4,94,2,3,95,2,15,83,2,1,97,2,13,85,97,0,1,2,89,0,2,9,95,0,3,2,83,1,2,14,87,0,6,7,80,1,7,12,93,0,4,3,92,1,7,0,97,0,2,1,96,0,3,1,97,0,1,2,85,1,5,9,99,0,0,1,87,0,6,7,0,0,13,87,87,0,7,6,0,1,11,88,89,0,3,8,97,0,3,0,97,1,2,0,99,0,1,0,4,3,17,76,100,0,0,1,29,36,13,21,0,5,44,16,35,0,9,39,18,34,0,6,51,12,31,0,5,40,15,40,0,8,6,12,74,0,83,4,5,8,83,2,6,9,83,2,6,9,83,4,2,11,83,3,5,9,83,4,4,9,94,0,0,6,94,0,0,6,94,0,1,5,94,0,1,5,94,0,2,4,94,0,1,5,94,0,1,5,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,0,1,39,60,0,2,61,37,0,2,40,58,0,1,53,46,0,2,41,57,0,2,40,58,0,0,53,47,47,0,24,11,7,11,0,1,4,19,32,44,0,2,90,8,0,0,18,82,0,0,37,23,23,10,6,1,0,0,29,27,32,12,0,1,20,49,25,5,0,0,1,90,9,0,1,4,88,7,61,2,29,8,39,2,48,11,60,2,25,13,47,2,29,22,59,2,24,15,60,1,31,8,0,3,2,3,11,10,71,0,2,3,5,11,17,62,0,1,29,16,25,29,0,1,21,28,26,24,0,2,44,27,16,11,29,8,56,7,29,26,19,26,29,26,27,18,0,0,59,41,59,0,28,13,72,3,11,4,4,2,0,0,4,13,0,5,9,0,13,1,4,7,4,3,7,10,6,0,3,15,0,0,78,19,1,2,0,0,0,0,100,0,0,0,0,5,1,58,27,9,5,0,23,36,19,7,10,2.5,1.7983443922651436,2.1666666666666665,1.7494587907710375,12.887755102040819,5.992921345110833,2.946236559139785,1.8079870586652649
NGA,Nigeria,-99,2021-01-04,2021-01-03,100,6,459177.2139854057,2,177014.5911692212,13,81,6208705.167282071,0,4,12,84,2,18,80,4,2,94,6,23,71,8,16,76,7,16,77,8,11,81,5,9,86,7,4,89,6,12,82,6,5,89,6,20,74,5,10,85,6,12,82,88,3,2,7,82,2,7,9,98,0,1,1,77,2,7,14,84,0,4,12,84,1,4,11,89,0,4,7,91,0,5,4,96,0,2,2,88,1,8,3,95,0,2,3,80,1,5,14,90,0,5,5,88,1,4,7,19,0,8,73,94,0,4,2,22,4,9,65,92,1,2,5,98,0,2,0,98,1,1,0,99,1,0,0,31,3,14,52,100,0,31,2,22,16,18,11,41,7,26,7,19,41,9,20,12,18,41,8,32,6,13,41,7,25,12,15,41,11,10,4,34,0,89,4,7,0,89,2,8,1,89,3,6,2,89,4,0,7,89,3,7,1,89,2,5,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,46,4,15,35,46,5,26,23,46,4,21,29,46,4,23,27,46,4,22,28,46,4,17,33,50,1,24,25,76,1,15,3,5,0,52,1,1,12,18,16,52,1,45,2,61,2,3,34,61,1,10,13,8,2,2,3,61,0,13,10,14,2,65,1,9,17,6,2,67,0,2,28,3,75,2,1,17,5,86,0,10,4,76,3,18,3,80,2,11,7,79,1,9,11,79,1,14,6,84,1,13,2,81,0,1,0,1,3,14,81,0,0,2,2,4,11,86,1,1,4,1,7,86,0,3,0,2,9,86,0,5,2,2,5,95,0,4,1,95,0,2,3,95,0,3,2,89,1,3,7,93,0,6,1,99,0,0,0,0,0,0,0,1,98,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.914285714285714,1.8688062967546732,1.8333333333333333,0.752772652709081,0,0,0,0
NGA,Nigeria,2,2021-01-04,2021-01-03,100,4,420260.41833105846,3,260113.02002522151,13,99,6727662.64266997,97,0,12,88,1,11,88,0,4,96,0,10,90,0,18,82,0,14,86,0,3,97,0,5,95,1,7,92,0,4,96,0,8,92,0,19,81,2,3,95,0,20,80,88,1,6,5,89,0,3,8,96,0,1,3,90,0,6,4,82,0,4,14,86,0,2,12,97,1,0,2,95,0,3,2,93,0,3,4,96,0,3,1,92,0,4,4,81,1,7,11,97,0,0,3,80,1,8,11,0,1,7,92,93,0,4,3,0,1,21,78,79,0,7,14,93,0,7,0,93,1,6,0,99,1,0,0,8,1,21,70,100,0,0,0,37,26,16,21,0,3,46,17,34,0,9,36,20,35,0,5,59,11,25,0,8,40,15,37,0,8,13,5,74,0,79,6,8,7,79,4,9,8,79,4,10,7,79,6,2,13,79,3,10,8,79,5,6,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,43,57,0,1,61,38,0,2,50,48,0,2,57,41,0,3,50,47,0,0,42,58,0,1,53,46,47,0,24,16,4,9,0,3,7,23,41,26,0,1,93,6,0,4,14,82,0,0,25,30,21,10,11,3,0,0,28,27,32,13,0,0,26,37,30,7,0,1,8,85,6,0,3,4,82,11,57,0,33,10,39,1,38,22,50,1,29,20,43,1,29,27,50,1,32,17,58,1,26,15,0,3,1,6,13,7,70,0,1,3,6,17,15,58,0,5,21,12,36,26,0,1,31,18,21,29,0,0,51,20,15,14,29,3,60,8,29,12,25,34,29,14,35,22,0,0,62,38,62,0,26,12,74,0,13,1,2,2,0,0,8,12,0,5,16,5,13,0,3,8,5,1,6,6,2,0,8,10,0,0,80,18,1,1,0,0,0,100,0,0,0,0,0,2,2,38,46,12,2,0,33,31,16,9,9,2.490566037735849,1.671280502965799,2,1.2649110640673518,12.444444444444445,6.260048611375158,2.74468085106383,1.8718984108357994
NGA,Nigeria,3,2021-01-04,2021-01-01,100,2,74668.24286165269,1,46085.274570785994,28,100,4988750.74867102,94,2,3,95,0,11,89,2,5,93,2,17,81,2,14,84,2,19,79,1,7,92,0,8,92,2,4,94,2,4,94,2,3,95,2,16,82,2,1,97,2,13,85,97,0,1,2,89,0,2,9,95,0,3,2,83,1,2,14,86,0,6,8,81,1,7,11,93,0,4,3,92,1,7,0,96,0,2,2,96,0,3,1,97,0,1,2,84,1,5,10,99,0,0,1,87,0,6,7,0,0,13,87,87,0,7,6,0,1,11,88,89,0,3,8,97,0,3,0,97,1,2,0,99,0,1,0,4,3,17,76,100,0,0,1,28,36,13,22,0,5,43,16,36,0,9,39,18,34,0,6,51,12,31,0,5,39,16,40,0,8,6,12,74,0,83,4,5,8,83,2,6,9,83,2,6,9,83,4,2,11,83,3,5,9,83,4,4,9,95,0,0,5,95,0,0,5,95,0,1,4,95,0,1,4,95,0,2,3,95,0,1,4,95,0,1,4,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,0,1,39,60,0,2,61,37,0,2,40,58,0,1,54,45,0,2,42,56,0,2,40,58,0,0,54,46,46,0,25,11,7,11,0,1,4,18,33,44,0,2,90,8,0,0,18,82,0,0,37,23,23,10,6,1,0,0,28,27,33,12,0,1,19,49,26,5,0,0,1,90,9,0,1,4,88,7,61,2,29,8,39,2,48,11,60,2,25,13,46,2,29,23,58,2,25,15,60,1,31,8,0,3,2,3,11,10,71,0,2,3,5,11,16,63,0,1,29,17,25,28,0,1,22,27,26,24,0,2,44,27,16,11,29,7,57,7,29,25,19,27,29,25,28,18,0,0,59,41,59,0,28,13,72,3,11,4,4,2,0,0,4,13,0,5,9,0,12,1,4,8,4,3,7,10,6,0,3,15,0,0,77,20,1,2,0,0,0,0,100,0,0,0,0,5,1,59,27,8,5,0,23,35,19,8,10,2.489795918367347,1.7809460147581657,2.1666666666666665,1.7494587907710375,12.887755102040819,5.992921345110833,2.924731182795699,1.7707561584261173
NGA,Nigeria,-99,2021-01-13,2021-01-13,300,14,827289.8365183282,4,106343.33233378422,45,255,18118928.32008905,0,10,36,254,9,47,244,13,9,278,15,49,236,14,42,244,14,49,237,11,22,267,13,17,270,12,13,275,15,18,267,15,23,262,11,56,233,15,9,276,14,46,240,264,2,18,16,253,4,23,20,291,0,5,4,251,2,22,25,258,1,15,26,251,5,22,22,278,5,7,10,283,1,8,8,287,2,4,7,282,1,13,4,277,1,12,10,244,5,27,24,291,2,5,2,254,2,17,27,43,2,32,223,271,0,10,19,51,5,35,209,267,0,13,20,287,1,10,2,287,6,7,0,295,2,2,1,77,11,41,171,300,0,75,5,73,59,44,44,114,12,84,27,63,114,28,84,21,53,114,25,99,20,42,114,26,82,25,53,114,30,28,12,116,0,262,9,18,11,262,10,15,13,262,11,17,10,262,12,8,18,262,12,17,9,262,13,10,15,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,130,7,93,70,130,8,91,71,130,13,66,91,130,10,78,82,130,10,50,110,130,8,69,93,152,1,65,82,235,1,38,16,5,5,161,4,5,25,58,47,161,5,126,8,177,4,24,95,177,1,47,38,18,6,9,4,177,4,39,45,24,11,183,3,41,45,18,10,197,3,6,76,18,231,3,6,54,6,216,3,69,12,219,2,67,12,240,3,46,11,232,5,44,19,256,6,30,8,241,2,50,7,245,2,1,1,8,7,36,245,1,2,0,8,9,35,267,2,8,6,6,11,267,1,5,10,8,9,267,2,10,6,8,7,290,1,6,3,290,2,5,3,290,2,5,3,275,0,10,15,285,0,10,5,296,0,2,1,0,0,0,0,1,289,0,1,2,0,1,0,1,0,0,0,0,1,2,0,1,2,300,0,0,0,0,0,300,0,0,0,0,0,0,0,0,300,0,0,0,0,300,0,0,0,0,0,0,2.567796610169491,1.8923092822838108,1.5,1.0578504710249077,0,0,0,0
NGA,Nigeria,2,2021-01-13,2021-01-13,132,4,289789.2104671374,0,0,26,132,8644199.843105415,129,3,11,118,1,25,106,2,6,124,3,17,112,3,25,104,3,17,112,3,6,123,2,9,121,4,7,121,2,10,120,3,8,121,3,29,100,3,4,125,3,22,107,121,1,5,5,107,0,6,19,126,0,1,5,115,0,4,13,107,1,10,14,115,0,9,8,126,0,2,4,123,0,5,4,125,0,5,2,122,0,5,5,124,0,2,6,103,0,7,22,128,0,1,3,110,1,13,8,0,0,17,115,115,0,10,7,0,3,15,114,117,0,4,11,128,0,4,0,128,1,3,0,131,1,0,0,7,4,23,98,132,0,0,0,50,40,23,19,0,2,61,23,46,0,6,58,24,44,0,4,74,23,31,0,4,58,29,41,0,7,18,15,92,0,109,5,11,7,109,11,7,5,109,7,12,4,109,12,0,11,109,9,9,5,109,11,5,7,132,0,0,0,132,0,0,0,132,0,0,0,132,0,0,0,132,0,0,0,132,0,0,0,132,0,0,0,132,0,0,0,132,0,0,0,132,0,0,0,132,0,0,0,132,0,0,0,0,1,64,67,0,2,75,55,0,2,61,69,0,1,67,64,0,1,53,78,0,1,70,61,0,1,64,67,68,0,32,15,5,12,0,0,14,19,50,49,0,0,123,9,0,0,22,110,0,0,49,34,22,12,8,7,0,1,44,30,33,24,0,0,28,58,33,13,0,1,3,114,14,0,2,7,110,13,68,2,55,7,57,3,56,16,71,3,46,12,65,2,36,29,79,0,39,14,62,2,57,11,0,0,3,10,18,14,87,0,1,3,8,21,19,80,0,4,39,24,27,38,0,2,48,31,23,28,0,1,72,26,18,15,34,3,84,11,34,27,27,44,34,23,43,32,0,0,84,48,84,0,30,18,102,0,20,0,1,1,0,1,7,18,0,10,18,4,12,2,10,4,8,0,13,9,3,0,5,16,0,0,94,38,0,0,0,0,0,132,0,0,0,0,0,2,2,63,51,14,2,1,50,37,24,8,10,2.3466666666666667,1.7123820403905934,1.6,1.0555973258234952,12.02488188976378,6.588293473930686,2.6639344262295084,1.6343960682959433
