ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AU,AUS,Australia,-99,2020-12-21,2020-12-21,250,1,10148.1644455724,1,10148.1644455724,16,213,2668852.240276111,0,0,5,245,0,25,225,0,9,241,0,53,197,0,29,221,0,44,206,0,12,238,0,3,247,0,16,234,0,1,249,0,9,241,0,39,211,0,4,246,1,27,222,245,0,1,4,225,2,10,13,242,1,3,4,197,1,13,39,222,1,7,20,206,1,15,28,238,1,6,5,249,0,0,1,234,1,10,5,249,0,1,0,242,1,4,3,213,1,11,25,246,0,4,0,223,0,9,18,37,0,12,201,243,0,4,3,46,6,75,123,176,2,6,66,244,0,5,1,244,0,6,0,250,0,0,0,64,5,9,172,250,0,0,0,0,0,62,2,65,65,38,18,184,1,25,34,6,184,5,25,33,3,184,6,25,28,7,184,7,21,33,5,184,7,13,30,16,0,243,2,0,5,243,1,3,3,243,2,1,4,243,1,2,4,243,1,2,4,243,1,2,4,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,106,3,63,78,106,1,91,52,106,1,89,54,106,1,81,62,106,2,39,103,106,3,23,118,128,2,56,64,194,0,33,7,7,9,137,2,1,10,32,68,137,1,111,1,152,6,19,73,152,0,11,7,19,12,42,7,152,1,25,24,32,16,159,1,20,35,21,14,250,250,192,0,22,36,167,1,36,46,168,1,25,56,176,2,21,51,216,0,14,20,228,0,11,11,174,1,2,1,18,9,45,174,2,1,5,15,12,41,193,3,12,22,13,7,193,1,2,5,16,33,193,0,4,14,19,20,235,2,9,4,235,3,4,8,235,2,5,8,199,2,19,30,220,0,12,18,248,0,0,0,0,0,0,1,1,237,0,0,0,0,1,1,0,3,1,0,1,0,0,0,0,6,250,0,0,0,0,0,250,0,0,0,0,0,0,0,0,250,0,0,0,0,250,0,0,0,0,0,0,5.932394366197183,8.541257429139163,1.5,1.0488088481701516,0,0,0,0
AU,AUS,Australia,1,2020-12-21,2020-12-21,127,0,0,0,0,5,127,1172946.8275514073,125,0,0,127,0,15,112,0,1,126,0,33,94,0,25,102,0,22,105,0,14,113,0,4,123,0,12,115,0,1,126,0,7,120,0,27,100,0,4,123,0,19,108,127,0,0,0,112,0,7,8,126,1,0,0,94,1,3,29,102,1,6,18,105,0,4,18,113,1,7,6,123,0,1,3,115,0,4,8,126,0,1,0,120,0,3,4,100,0,2,25,123,0,2,2,108,0,4,15,0,0,4,123,123,0,4,0,0,1,43,83,84,0,6,37,121,0,5,1,121,0,5,1,127,0,0,0,7,0,9,111,127,0,0,0,0,0,0,0,42,59,20,6,77,0,22,25,3,77,0,23,21,6,77,0,29,15,6,77,0,24,21,5,77,0,9,23,18,0,118,1,2,6,118,1,0,8,118,1,0,8,118,0,5,4,118,1,2,6,118,1,1,7,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,0,1,71,55,0,1,93,33,0,1,95,31,0,1,88,38,0,1,42,84,0,3,29,95,0,0,86,41,41,0,42,16,9,19,0,0,1,12,41,73,0,0,126,1,0,3,17,107,0,0,10,15,12,15,71,4,0,0,11,23,53,40,0,0,16,33,53,25,127,127,56,2,16,53,34,3,22,68,32,3,21,71,39,3,9,76,85,3,6,33,98,0,10,19,0,0,3,10,22,23,69,0,0,5,5,18,40,59,0,1,14,30,37,45,0,0,5,10,19,93,0,0,9,34,26,58,84,1,28,14,84,3,3,37,84,1,14,28,0,0,95,32,95,0,9,23,118,0,2,0,0,1,0,1,5,23,1,5,12,4,9,1,3,12,2,3,3,4,4,1,2,38,0,5,37,84,0,1,0,0,127,0,0,0,0,0,0,2,1,52,47,25,2,0,24,26,38,28,9,3.950657894736842,6.655200940723241,1.25,0.5,12.905737704918034,3.087117973965064,3.144,1.4630061848038078
AU,AUS,Australia,2,2020-12-21,2020-12-21,266,0,0,0,0,19,266,2372229.546007377,260,0,1,265,0,24,242,0,3,263,0,55,211,0,41,225,0,36,230,0,21,245,0,4,262,0,16,250,0,0,266,0,12,254,0,44,222,0,1,265,0,37,229,265,0,1,0,242,0,7,17,263,0,2,1,211,1,9,45,225,1,10,30,230,1,12,23,245,1,12,8,262,0,3,1,250,0,9,7,266,0,0,0,254,0,4,8,222,1,9,34,265,0,1,0,229,1,13,23,0,0,10,256,256,0,5,5,0,1,101,164,165,0,12,89,254,0,11,1,254,0,12,0,266,0,0,0,13,2,6,245,266,0,0,0,0,0,0,0,111,104,35,16,153,0,30,75,8,153,1,57,53,2,153,0,56,47,10,153,0,50,52,11,153,0,12,68,33,0,260,0,0,6,260,0,0,6,260,0,0,6,260,0,2,4,260,0,0,6,260,0,1,5,266,0,0,0,266,0,0,0,266,0,0,0,266,0,0,0,266,0,0,0,266,0,0,0,266,0,0,0,266,0,0,0,266,0,0,0,266,0,0,0,266,0,0,0,266,0,0,0,0,0,122,144,0,0,200,66,0,1,178,87,0,0,181,85,0,1,68,197,0,1,46,219,0,0,172,94,94,0,90,33,25,24,0,0,2,16,91,157,0,1,265,0,0,5,51,210,0,0,28,27,30,32,139,10,0,0,37,47,105,77,0,0,34,92,91,49,266,266,144,1,34,87,66,2,62,136,88,2,51,125,85,2,27,152,198,0,11,57,220,2,26,18,0,0,1,6,41,63,155,0,0,4,13,33,43,173,0,2,33,91,100,40,0,2,8,14,61,181,0,1,24,52,73,116,190,2,54,20,190,4,14,58,190,2,22,52,0,2,202,62,204,0,37,25,229,0,6,0,1,2,0,4,24,27,0,7,20,12,18,3,3,38,6,6,9,27,15,11,6,58,0,2,95,165,1,3,0,0,0,266,0,0,0,0,0,3,4,138,89,32,3,1,67,73,77,34,11,4.818897637795276,7.370487398363749,1.9,1.1972189997378648,14.00968992248062,4.649683381210075,2.996153846153846,1.4182976279921509
AU,AUS,Australia,3,2020-12-21,2020-12-21,215,0,0,0,0,11,215,2063984.9922030703,210,0,1,214,0,15,200,0,2,213,0,35,180,0,27,188,0,31,184,0,14,201,0,3,212,0,5,210,0,1,214,0,6,209,0,36,179,0,2,213,0,21,194,214,0,1,0,200,0,9,6,213,0,0,2,180,1,8,26,188,1,8,18,184,1,3,27,201,1,8,5,212,1,1,1,210,0,5,0,214,1,0,0,209,1,3,2,179,1,10,25,213,0,2,0,194,1,6,14,0,0,9,206,206,0,8,1,0,3,88,124,127,0,10,78,205,0,8,2,205,0,10,0,215,0,0,0,13,0,4,198,215,0,0,0,0,0,0,0,89,67,35,24,128,1,23,53,10,128,1,41,38,7,128,2,38,36,11,128,1,36,40,10,128,2,9,48,28,0,211,2,0,2,211,2,0,2,211,2,0,2,211,1,3,0,211,2,0,2,211,2,0,2,215,0,0,0,215,0,0,0,215,0,0,0,215,0,0,0,215,0,0,0,215,0,0,0,215,0,0,0,215,0,0,0,215,0,0,0,215,0,0,0,215,0,0,0,215,0,0,0,0,1,93,121,0,0,157,58,0,0,136,79,0,1,132,82,0,1,50,164,0,0,29,186,0,0,123,92,92,0,66,27,14,16,0,0,0,17,71,127,0,0,213,2,0,2,53,160,0,0,22,40,28,22,96,7,0,1,33,45,78,58,0,1,28,78,62,46,215,215,122,1,29,63,58,1,67,89,79,1,44,91,83,1,23,108,165,0,6,44,186,0,12,17,0,0,1,3,22,39,150,0,0,2,8,17,42,146,0,1,23,80,69,42,0,0,4,12,43,156,0,0,15,36,62,102,164,1,33,17,164,3,9,39,164,3,18,30,0,0,168,47,168,0,21,26,194,0,4,1,4,1,0,1,10,26,0,3,7,11,31,1,12,32,4,2,7,23,7,1,9,39,0,5,84,122,2,2,0,0,0,0,215,0,0,0,0,5,4,119,63,24,5,1,35,51,60,45,18,3.5113636363636362,5.6993532970135945,1.1111111111111112,0.6009252125773316,14.558962264150946,4.288203244910309,3.351219512195122,1.5572603443257538
AU,AUS,Australia,4,2020-12-21,2020-12-21,242,0,0,0,0,17,242,2477707.2042522687,235,0,1,241,0,16,226,0,1,241,0,38,204,0,26,216,1,30,211,1,14,227,0,0,242,1,8,233,0,3,239,0,9,233,1,38,203,0,0,242,0,19,223,241,0,1,0,226,0,6,10,241,0,0,1,204,0,6,32,216,1,11,14,212,0,5,25,228,0,7,7,242,0,0,0,234,0,2,6,239,0,1,2,233,0,6,3,204,0,14,24,242,0,0,0,223,0,7,12,0,0,12,230,230,0,8,4,0,1,96,145,146,0,16,80,226,0,15,1,226,0,16,0,242,0,0,0,17,3,9,213,242,0,0,0,0,0,0,0,97,80,42,23,127,1,23,77,14,127,3,54,51,7,127,2,48,52,13,127,2,54,49,10,127,3,15,65,32,0,233,0,2,7,233,0,2,7,233,1,1,7,233,2,3,4,233,1,1,7,233,1,2,6,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,0,0,94,148,0,0,185,57,0,0,158,84,0,0,149,93,0,0,42,200,0,0,28,214,0,1,141,100,101,0,73,29,19,20,0,2,1,12,64,163,0,1,241,0,0,4,51,187,0,0,30,31,26,24,128,3,0,0,37,49,89,67,0,1,35,82,82,42,242,242,148,1,33,60,57,1,63,121,84,1,45,112,93,1,22,126,200,0,7,35,214,0,13,15,0,0,1,7,18,35,181,0,0,7,9,24,44,158,0,1,33,87,82,39,0,0,3,9,44,186,0,0,19,40,64,119,183,2,40,17,183,2,14,43,183,3,25,31,0,1,186,55,187,0,21,34,221,0,0,1,6,2,0,0,12,35,0,4,14,6,28,1,12,34,12,4,4,24,11,5,11,37,0,2,88,150,2,0,0,0,0,0,0,242,0,0,0,6,5,123,75,33,6,4,36,44,76,60,16,5.910112359550562,7.928143840771251,1.4545454545454546,0.9341987329938275,13.982905982905983,3.8266804628180555,3.1790393013100435,1.5356286052821866
AU,AUS,Australia,5,2020-12-21,2020-12-21,218,1,9822.70952424731,1,9822.70952424731,14,218,1818867.214854758,215,1,2,215,1,12,205,1,2,215,1,26,191,1,14,203,1,23,194,1,6,211,1,2,215,1,4,213,1,0,217,1,3,214,1,23,194,1,0,217,0,9,209,216,0,0,2,206,1,1,10,216,0,1,1,192,1,4,21,204,1,4,9,195,1,4,18,212,0,3,3,216,0,2,0,214,0,2,2,218,0,0,0,215,0,3,0,195,1,8,14,218,0,0,0,209,1,0,8,0,0,11,207,207,0,7,4,0,2,71,145,147,0,10,61,208,0,8,2,208,0,10,0,218,0,0,0,12,1,1,204,218,0,0,0,0,0,0,0,93,77,31,17,110,2,31,68,7,110,3,50,53,2,110,3,47,50,8,110,2,47,50,9,110,3,15,47,43,0,217,0,0,1,217,0,0,1,217,0,0,1,217,0,1,0,217,0,0,1,217,0,0,1,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,218,0,0,0,0,1,73,144,0,0,157,61,0,2,134,82,0,2,138,78,0,1,59,158,0,2,15,201,0,0,134,84,84,0,76,25,16,17,0,0,2,6,60,150,0,1,216,1,0,1,73,144,0,0,23,27,27,21,111,9,0,1,38,44,75,60,0,1,38,52,80,47,218,218,145,0,21,52,61,1,69,87,84,2,42,90,80,1,33,104,159,1,21,37,203,0,8,7,0,3,1,2,15,28,169,0,0,1,7,20,38,152,0,2,27,73,64,52,0,0,0,7,29,182,0,0,8,38,49,123,172,4,31,11,172,9,6,31,172,7,13,26,0,1,137,80,138,1,25,54,193,0,1,2,4,2,2,1,13,56,0,2,8,13,22,1,7,34,6,3,6,18,8,4,4,26,0,2,84,132,0,0,0,0,0,0,0,0,218,0,0,2,5,101,73,37,2,1,53,58,51,46,7,6.366666666666666,7.595642521257465,1.375,0.7440238091428449,13.464454976303317,4.18528226977884,2.3933649289099526,1.1839214720187394
AU,AUS,Australia,6,2020-12-21,2020-12-21,150,1,6435.785331709,1,6435.785331709,3,149,1775744.726306598,147,0,1,149,0,13,137,0,3,147,0,19,131,0,15,135,0,21,129,0,2,148,0,3,147,0,2,148,0,0,150,0,4,146,0,12,138,0,1,149,0,6,144,149,0,1,0,137,1,3,9,147,0,1,2,131,1,3,15,135,1,2,12,129,0,7,14,148,0,2,0,147,0,2,1,148,0,1,1,150,0,0,0,146,0,0,4,138,0,2,10,149,0,1,0,144,0,0,6,0,1,3,146,147,0,2,1,0,1,49,100,101,0,10,39,140,0,9,1,140,0,10,0,150,0,0,0,11,4,2,133,150,0,0,0,0,0,0,0,82,41,22,5,71,8,24,39,8,71,8,40,28,3,71,10,33,24,12,71,9,41,25,4,71,12,11,34,22,0,148,0,0,2,148,0,0,2,148,0,0,2,148,0,1,1,148,0,0,2,148,0,1,1,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,150,0,0,0,0,0,24,126,0,0,112,38,0,1,85,64,0,0,72,78,0,0,28,122,0,0,13,137,0,0,81,69,69,0,47,19,8,7,0,1,0,9,51,89,0,0,150,0,0,0,33,117,0,0,21,16,16,18,75,4,0,0,35,43,52,20,0,2,19,49,44,36,150,150,126,0,5,19,38,2,45,65,65,2,27,56,78,1,20,51,122,0,7,21,137,0,4,9,0,1,2,1,8,11,127,0,0,1,1,11,19,118,0,1,22,37,55,35,0,0,1,1,13,135,0,0,1,11,33,105,138,1,8,3,138,6,1,5,138,4,6,2,0,1,23,126,24,0,18,108,132,0,2,0,1,2,0,0,13,109,0,4,2,0,4,0,1,7,2,3,1,3,0,1,2,11,0,1,69,79,0,1,0,0,0,0,0,0,0,150,0,3,4,72,36,35,3,2,37,41,43,17,7,5.326530612244898,7.414478390009533,1,0,13.167832167832168,3.7790862856956036,2.223021582733813,1.2041183284072094
AU,AUS,Australia,-99,2020-12-22,2020-12-22,279,3,146140.69252823648,2,12149.636705072491,8,236,3273911.5359791913,0,2,5,272,1,33,245,2,10,267,3,62,214,2,44,233,1,58,220,1,21,257,2,12,265,3,18,258,2,6,271,3,17,259,3,42,234,2,1,276,2,39,238,274,1,3,1,246,2,9,22,269,0,5,5,217,2,15,45,235,2,11,31,221,2,19,37,258,1,10,10,267,2,5,5,261,0,4,14,273,1,3,2,262,0,6,11,237,1,8,33,278,1,0,0,240,2,15,22,40,3,7,229,274,0,4,1,50,9,83,137,201,1,12,65,267,0,11,1,267,3,9,0,276,2,1,0,82,5,10,182,279,0,0,0,0,0,76,1,69,83,31,19,110,6,52,94,17,110,9,81,67,12,110,8,75,61,25,110,6,72,74,17,110,8,33,75,53,0,272,2,2,3,272,4,0,3,272,4,0,3,272,3,3,1,272,3,1,3,272,4,1,2,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,138,4,60,77,138,2,105,34,138,2,91,48,138,2,82,57,138,1,36,104,138,2,29,110,161,2,59,57,220,0,34,10,5,10,171,1,1,10,29,67,171,2,105,1,193,1,20,65,193,1,16,12,9,5,36,7,193,1,23,13,29,20,201,0,12,23,27,16,279,279,228,1,15,35,183,1,40,55,195,0,32,52,205,1,22,51,248,0,4,27,252,1,14,12,213,0,2,2,8,7,47,213,0,1,0,8,14,43,234,0,7,10,17,11,234,0,2,3,4,36,234,0,2,11,7,25,268,0,7,4,268,0,4,7,268,1,4,6,242,0,16,21,258,0,12,9,276,0,0,0,0,0,0,1,2,269,0,1,0,1,0,1,1,0,1,0,1,2,0,2,0,0,279,0,0,0,0,0,279,0,0,0,0,0,0,0,0,279,0,0,0,0,279,0,0,0,0,0,0,4.509433962264151,7.215387371073372,1,0.7071067811865476,0,0,0,0
AU,AUS,Australia,1,2020-12-22,2020-12-22,142,1,9749.69192583804,1,9749.69192583804,12,142,1324629.9980224622,140,0,1,141,0,11,131,0,3,139,0,32,110,0,24,118,0,19,123,0,9,133,0,2,140,0,7,135,0,0,142,0,6,136,0,31,111,0,0,142,0,20,122,141,0,1,0,131,0,5,6,139,0,1,2,110,0,3,29,118,0,6,18,123,0,3,16,133,0,4,5,140,0,2,0,135,0,1,6,142,0,0,0,136,0,1,5,111,0,2,29,142,0,0,0,122,0,3,17,0,0,9,133,133,0,6,3,0,0,59,83,83,0,4,55,138,0,4,0,138,0,4,0,142,0,0,0,4,0,6,132,142,0,0,0,0,0,0,0,65,48,22,7,0,0,58,78,6,0,0,83,53,6,0,0,82,52,8,0,0,69,57,16,0,0,27,71,44,0,136,1,2,3,136,2,0,4,136,2,0,4,136,1,2,3,136,2,0,4,136,2,0,4,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,0,0,76,66,0,0,108,34,0,0,101,41,0,0,105,37,0,0,53,89,0,0,36,106,0,0,95,47,47,0,53,18,6,18,0,1,5,18,45,73,0,0,142,0,0,1,22,119,0,0,9,16,25,16,71,5,0,0,12,23,69,38,0,0,13,37,61,31,142,142,66,0,23,53,34,0,37,71,41,0,28,73,37,0,12,93,89,0,10,43,106,0,18,18,0,0,4,10,23,29,76,0,0,9,12,27,28,66,0,2,18,38,41,43,0,0,4,11,31,96,0,0,10,27,40,65,105,1,22,14,105,2,4,31,105,4,11,22,0,0,99,43,99,0,21,22,121,0,6,2,1,2,2,1,7,22,0,2,12,2,10,2,4,11,2,1,4,9,5,7,3,46,0,1,50,90,1,0,0,0,142,0,0,0,0,0,0,1,5,65,57,14,1,0,18,43,38,34,8,5.75,7.484726231503954,1.3333333333333333,0.5,12.68796992481203,4.126136897396684,3.409090909090909,1.4031292479058863
AU,AUS,Australia,2,2020-12-22,2020-12-22,256,0,0,0,0,38,255,2501776.644694424,249,0,0,256,0,15,241,0,7,249,0,57,199,0,39,217,0,36,220,0,8,248,0,7,249,0,15,241,0,2,254,0,7,249,0,51,205,0,4,252,0,30,226,256,0,0,0,241,1,5,9,249,1,1,5,199,0,3,54,217,1,10,28,220,1,9,26,248,0,5,3,249,0,1,6,241,0,5,10,254,0,2,0,249,0,4,3,205,1,7,43,252,0,1,3,226,1,7,22,0,1,18,237,238,0,13,5,0,0,116,140,140,0,14,102,242,0,14,0,242,0,14,0,256,0,0,0,14,2,11,229,256,0,0,0,0,0,0,0,115,82,45,14,0,1,75,165,15,0,1,148,95,12,0,2,133,97,24,0,1,135,94,26,0,1,43,134,78,0,245,2,1,8,245,2,1,8,245,2,0,9,245,0,5,6,245,1,1,9,245,2,0,9,256,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,0,111,145,0,1,193,62,0,0,172,84,0,0,163,93,0,1,59,196,0,0,34,222,0,0,159,97,97,0,90,36,19,14,0,1,3,23,92,137,0,0,256,0,0,1,60,195,0,0,22,31,33,32,134,4,0,0,39,51,104,62,0,1,41,70,94,50,256,256,145,1,39,71,63,1,67,125,84,1,51,120,93,0,18,145,197,0,11,48,222,0,19,15,0,0,3,12,24,59,158,0,0,3,13,28,62,150,0,3,38,79,85,51,0,0,5,18,46,187,0,0,21,46,73,116,189,0,52,15,189,1,13,53,189,1,25,41,0,2,184,70,186,0,37,33,219,1,6,2,7,1,1,3,16,35,1,4,12,12,29,2,15,27,5,2,9,25,15,5,10,48,0,3,95,156,0,2,0,0,0,256,0,0,0,0,0,2,3,147,77,27,2,1,68,80,68,32,5,3.943548387096774,5.754181822361379,2.111111111111111,1.450715397105405,13.867886178861788,4.7127513956927665,2.912,1.2988471873412426
