ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
PRT,Portugal,-99,2021-01-01,2021-01-01,507,0,0,0,0,58,436,2942611.275491592,0,7,1,499,7,46,454,7,18,482,9,46,452,6,68,433,9,38,460,7,21,479,6,14,487,6,15,486,5,8,494,6,17,484,7,64,436,8,20,479,10,60,437,506,0,0,1,461,2,12,32,489,0,7,11,461,2,16,28,439,1,15,52,469,0,8,30,486,1,6,14,493,1,2,11,492,0,5,10,499,0,5,3,490,1,6,10,443,0,17,47,487,0,7,13,447,2,18,40,65,6,34,402,478,0,11,18,80,12,155,260,352,6,40,109,467,8,30,2,467,7,33,0,500,0,7,0,142,11,22,332,507,0,0,0,0,0,104,0,225,117,50,11,139,25,171,146,26,139,32,234,90,12,139,43,218,95,12,139,45,207,98,18,139,51,112,124,81,0,488,8,3,8,488,9,3,7,488,7,3,9,488,8,1,10,488,9,1,9,488,8,3,8,175,21,4,307,175,23,3,306,175,22,16,294,175,16,29,287,175,19,35,278,175,23,36,273,175,21,11,300,435,9,8,55,435,8,8,56,435,9,4,59,435,9,17,46,435,9,18,45,194,12,61,240,194,9,217,87,194,12,126,175,194,9,149,155,194,12,10,291,194,13,24,276,204,2,133,168,374,1,86,29,13,4,211,1,0,10,93,192,211,2,291,3,226,3,42,236,226,0,239,26,1,3,1,11,226,1,64,58,95,63,236,10,103,126,28,4,250,4,66,182,5,273,7,58,167,2,446,0,59,2,292,2,211,2,382,3,119,3,361,1,106,39,498,1,6,2,483,1,22,1,282,5,2,6,28,53,131,282,3,3,5,33,51,130,291,5,104,77,23,7,291,1,26,30,57,102,291,0,35,57,54,70,420,11,54,22,420,32,16,39,420,30,27,30,305,2,70,130,377,1,67,62,470,4,7,1,3,0,3,2,17,403,0,3,8,3,18,3,3,8,3,0,0,5,10,5,2,33,507,0,0,0,0,0,507,0,0,0,0,0,0,0,0,507,0,0,0,0,507,0,0,0,0,0,0,2.65,2.2177663075621794,2.0434782608695654,1.1069310921135729,0,0,0,0
PRT,Portugal,2,2021-01-01,2021-01-01,125,0,0,0,0,16,125,564239.9325359876,122,0,0,125,0,9,116,0,0,125,0,8,117,0,29,96,0,11,114,0,9,116,0,0,125,0,5,120,0,2,123,0,8,117,0,27,98,0,9,116,0,9,116,125,0,0,0,116,0,3,6,125,0,0,0,117,1,1,6,96,1,3,25,114,0,2,9,116,0,1,8,125,0,0,0,120,0,2,3,123,0,1,1,117,0,2,6,98,1,0,26,116,1,1,7,116,1,2,6,0,0,9,116,116,0,4,5,0,0,51,74,74,0,15,36,110,1,14,0,110,3,12,0,122,0,3,0,15,1,11,98,125,0,0,0,0,0,0,0,52,51,14,8,0,0,57,58,10,0,0,77,41,7,0,0,76,41,8,0,2,66,45,12,0,3,33,49,40,0,114,0,1,10,114,0,2,9,114,0,5,6,114,0,0,11,114,0,1,10,114,0,1,10,2,0,0,123,2,0,1,122,2,0,4,119,2,0,5,118,2,0,6,117,2,0,9,114,2,1,5,117,104,0,2,19,104,0,4,17,104,0,1,20,104,0,4,17,104,0,6,15,0,0,34,91,0,0,76,49,0,0,58,67,0,0,80,45,0,0,4,121,0,0,7,118,0,0,74,51,51,0,54,17,2,1,0,0,0,14,42,69,0,0,125,0,0,1,22,102,0,0,98,21,2,1,0,3,0,0,13,26,46,40,0,0,30,78,16,1,0,0,12,110,3,0,0,10,111,4,91,0,32,2,49,0,76,0,67,0,58,0,45,0,44,36,121,0,3,1,118,0,6,1,0,0,1,7,23,29,65,0,0,2,6,25,32,60,0,0,59,48,13,5,0,0,14,13,36,62,0,0,22,28,41,34,75,1,38,11,75,4,10,36,75,3,18,29,0,0,78,47,78,0,19,28,106,0,3,0,5,1,0,0,10,28,0,1,7,8,6,0,2,12,4,0,6,12,4,3,2,30,0,2,47,76,0,0,0,0,0,125,0,0,0,0,0,3,1,66,28,27,3,2,9,34,59,12,6,2.5074626865671643,1.8288358138971013,1.875,0.9910312089651148,10.262135922330097,3.283831946956756,3.1260504201680672,1.4988957621898993
PRT,Portugal,3,2021-01-01,2021-01-01,238,0,0,0,0,31,236,902061.1687990697,236,0,0,238,0,22,216,0,2,236,0,22,216,0,40,198,0,16,222,0,8,230,0,4,234,0,2,236,0,3,235,0,9,229,0,24,214,0,8,230,0,22,216,238,0,0,0,216,0,4,18,236,0,1,1,216,0,4,18,198,1,10,29,222,1,2,13,230,1,1,6,234,0,3,1,236,0,0,2,235,1,0,2,229,0,4,5,214,1,5,18,230,0,2,6,216,0,7,15,0,2,17,219,221,0,6,11,0,3,91,144,147,0,32,59,206,2,29,1,206,10,21,1,228,1,9,0,35,2,14,187,238,0,0,0,0,0,0,0,121,80,25,12,0,7,93,116,22,0,7,146,75,10,0,8,146,69,15,0,8,118,91,21,0,8,53,110,67,0,224,3,3,8,224,4,0,10,224,2,4,8,224,4,1,9,224,3,1,10,224,4,0,10,3,2,0,233,3,2,2,231,3,6,6,223,3,2,22,211,3,3,19,213,3,3,23,209,3,2,5,228,190,0,5,43,190,0,5,43,190,0,4,44,190,0,7,41,190,0,19,29,0,0,66,172,0,0,174,64,0,0,102,136,0,0,134,104,0,0,5,233,0,0,17,221,0,0,103,135,135,0,73,18,6,6,0,0,2,9,73,154,0,0,238,0,0,1,42,195,0,0,192,36,3,3,0,4,0,0,39,48,84,67,0,0,81,121,27,9,0,0,29,204,5,0,1,28,203,6,172,0,62,4,64,0,174,0,136,0,101,1,104,0,105,29,233,0,4,1,221,0,17,0,0,2,0,4,38,56,138,0,1,1,7,32,59,138,0,2,121,92,16,7,0,0,22,41,70,105,0,0,31,65,87,55,142,3,74,19,142,15,17,64,142,13,24,59,0,3,157,78,160,0,34,44,204,1,4,0,2,4,0,2,21,47,0,4,18,11,19,4,16,20,6,0,5,19,10,5,11,43,0,1,111,125,0,1,0,0,0,0,238,0,0,0,0,2,5,135,53,43,2,5,11,74,122,17,7,2.6559139784946235,2.2238559523646524,2.1666666666666665,1.1934162828797101,10,3.6134463907262897,3.18859649122807,1.355183149800444
PRT,Portugal,4,2021-01-01,2021-01-01,206,0,0,0,0,35,206,915912.0672783768,199,1,0,205,1,14,191,1,2,203,1,13,192,1,17,188,0,10,196,1,9,196,1,3,202,1,2,203,1,3,202,1,2,203,1,20,185,1,4,201,1,12,193,206,0,0,0,192,0,1,13,204,0,1,1,193,2,4,7,189,1,3,13,196,0,2,8,197,0,3,6,203,0,0,3,204,0,0,2,203,0,3,0,204,0,1,1,186,1,3,16,202,0,1,3,194,1,3,8,0,0,14,192,192,0,4,10,0,3,78,125,128,0,18,60,188,2,15,1,188,4,14,0,202,0,4,0,21,2,11,172,206,0,0,0,0,0,0,0,111,64,24,7,0,4,88,96,18,0,6,129,62,9,0,5,130,57,14,0,6,114,69,17,0,7,63,79,57,0,195,3,5,3,195,5,0,6,195,2,4,5,195,5,0,6,195,5,0,6,195,5,0,6,2,15,2,187,2,16,5,183,2,14,13,177,2,16,20,168,2,14,19,171,2,15,14,175,2,15,7,182,159,2,0,45,159,3,3,41,159,2,4,41,159,1,8,38,159,1,19,27,0,3,60,143,0,0,156,50,0,1,100,105,0,0,104,102,0,1,4,201,0,2,16,188,0,0,98,108,108,0,67,20,8,3,0,0,1,8,57,140,0,0,206,0,0,1,32,173,0,0,180,24,1,1,0,0,0,0,28,38,76,64,0,0,78,104,20,4,0,0,27,176,3,0,1,26,177,2,146,1,58,1,50,1,154,1,106,1,98,1,102,2,86,16,202,0,3,1,190,0,15,1,0,3,3,8,30,48,114,0,3,2,13,26,53,109,0,4,98,85,15,4,0,1,19,36,58,92,0,0,31,60,68,47,115,5,73,13,115,28,17,46,115,25,29,37,0,2,127,77,129,0,36,41,170,10,4,1,1,1,4,3,12,43,1,2,14,10,16,1,9,12,3,0,2,19,16,8,6,44,0,3,90,111,0,2,0,0,0,0,0,206,0,0,0,6,6,102,45,47,6,6,12,63,93,18,8,2.3559322033898304,1.7788286717950759,2.75,1.3568010505999362,10.1125,3.3925324949895095,2.8534031413612566,1.2853328218548876
PRT,Portugal,5,2021-01-01,2021-01-01,154,0,0,0,0,15,154,587939.4282873081,147,0,0,154,0,6,148,1,1,152,1,6,147,0,17,137,1,5,148,0,2,152,0,2,152,0,4,150,0,0,154,0,3,151,0,11,143,0,2,152,0,13,141,154,0,0,0,148,0,0,6,153,0,0,1,148,0,1,5,137,0,1,16,149,0,0,5,152,0,1,1,152,0,0,2,150,0,0,4,154,0,0,0,151,0,0,3,143,0,1,10,152,0,1,1,141,0,2,11,0,0,12,142,142,0,4,8,0,0,51,103,103,0,11,40,143,2,9,0,143,3,8,0,151,0,3,0,11,3,6,134,154,0,0,0,0,0,0,0,99,38,12,5,0,18,64,60,12,0,17,96,37,4,0,15,93,40,6,0,16,83,46,9,0,20,35,53,46,0,148,1,1,4,148,1,1,4,148,1,3,2,148,2,0,4,148,1,0,5,148,1,1,4,0,7,1,146,0,7,3,144,0,7,9,138,0,9,11,134,0,6,14,134,0,8,16,130,0,7,7,140,125,3,4,22,125,3,5,21,125,3,3,23,125,3,4,22,125,2,8,19,0,1,45,108,0,0,115,39,0,0,65,89,0,0,70,84,0,0,6,148,0,0,6,148,0,1,61,92,93,0,42,11,4,4,0,0,0,4,44,106,0,0,153,1,0,0,28,126,0,0,134,14,3,0,0,3,0,0,39,25,44,46,0,2,55,75,17,5,0,1,36,116,1,0,3,36,114,1,109,1,43,1,39,1,113,1,89,1,64,0,84,0,59,11,148,0,5,1,148,0,6,0,0,0,1,0,15,42,96,0,0,1,6,18,35,94,0,0,65,68,17,4,0,0,14,21,40,79,0,0,22,33,51,48,99,7,41,7,99,19,17,19,99,20,19,16,0,0,89,65,89,0,26,39,128,6,3,1,2,1,1,0,12,39,1,1,5,6,18,4,8,16,3,0,5,6,16,3,3,20,0,2,75,77,0,0,0,0,0,0,0,0,154,0,0,5,17,78,29,25,5,13,9,32,60,27,8,3.264705882352941,2.7447892619819876,1.2,0.6324555320336759,9.336065573770492,3.778168378088145,2.2196969696969697,1.079400412721393
PRT,Portugal,-99,2021-01-02,2021-01-01,100,0,0,0,0,15,89,630234.51667038,0,2,0,98,1,10,89,1,2,97,2,9,89,0,14,86,2,9,89,1,2,97,2,2,96,1,2,97,1,0,99,1,2,97,2,13,85,1,5,94,2,15,83,100,0,0,0,90,0,2,8,98,0,0,2,91,0,3,6,86,0,4,10,91,0,2,7,98,0,1,1,98,0,0,2,98,0,1,1,100,0,0,0,98,0,1,1,87,0,6,7,95,0,4,1,85,2,5,8,11,0,8,81,93,0,3,4,15,4,32,49,68,2,10,20,90,1,8,1,90,1,9,0,99,0,1,0,31,1,5,63,100,0,0,0,0,0,19,0,45,20,13,3,25,6,33,32,4,25,7,49,16,3,25,8,48,18,1,25,8,44,20,3,25,9,25,24,17,0,95,2,2,1,95,2,2,1,95,1,1,3,95,1,0,4,95,2,0,3,95,2,2,1,32,4,1,63,32,3,1,64,32,3,5,60,32,2,6,60,32,3,6,59,32,3,12,53,32,3,3,62,82,3,1,14,82,3,2,13,82,3,1,14,82,2,7,9,82,3,2,13,37,1,12,50,37,2,45,16,37,2,27,34,37,2,34,27,37,2,4,57,37,2,5,56,39,0,26,35,74,0,18,4,4,0,40,0,0,2,19,39,40,0,60,0,44,2,10,44,44,0,46,6,0,0,1,3,44,0,11,10,22,13,46,1,22,21,9,1,47,1,16,34,2,53,1,11,35,0,88,0,11,1,56,1,43,0,74,1,24,1,67,0,23,10,96,1,2,1,95,0,4,1,53,1,0,1,4,11,30,53,1,1,0,11,8,26,53,1,19,21,6,0,53,1,5,7,11,23,53,0,7,14,8,18,79,4,14,3,79,8,2,11,79,8,5,8,55,0,17,28,72,0,9,19,92,0,2,1,1,0,0,0,4,75,0,0,1,3,2,2,2,3,1,0,0,0,3,0,0,8,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.1578947368421053,2.2176854274154305,2.4,1.3416407864998738,0,0,0,0
PRT,Portugal,2,2021-01-02,2021-01-01,100,0,0,0,0,14,100,448233.00616932876,97,0,0,100,0,5,95,0,0,100,0,8,92,0,22,78,0,9,91,0,7,93,0,0,100,0,3,97,0,2,98,0,8,92,0,20,80,0,7,93,0,9,91,100,0,0,0,95,0,2,3,100,0,0,0,92,1,1,6,78,1,2,19,91,0,2,7,93,0,1,6,100,0,0,0,97,0,2,1,98,0,1,1,92,0,2,6,80,0,0,20,93,0,1,6,91,1,2,6,0,0,8,92,92,0,4,4,0,0,38,62,62,0,11,27,89,1,10,0,89,3,8,0,97,0,3,0,11,1,11,77,100,0,0,0,0,0,0,0,38,42,12,8,0,0,48,44,8,0,0,62,32,6,0,0,62,31,7,0,2,55,32,11,0,2,31,34,33,0,89,0,1,10,89,0,2,9,89,0,5,6,89,0,0,11,89,0,1,10,89,0,1,10,3,0,0,97,3,0,1,96,3,0,2,95,3,0,3,94,3,0,3,94,3,0,8,89,3,1,4,92,87,0,1,12,87,0,4,9,87,0,1,12,87,0,3,10,87,0,2,11,0,0,20,80,0,0,63,37,0,0,42,58,0,0,64,36,0,0,4,96,0,0,7,93,0,0,60,40,40,0,44,13,2,1,0,0,0,13,35,52,0,0,100,0,0,1,16,83,0,0,78,17,2,0,0,3,0,0,10,25,33,32,0,0,24,62,13,1,0,0,8,89,3,0,0,7,90,3,80,0,19,1,37,0,63,0,58,0,42,0,36,0,35,29,96,0,3,1,93,0,6,1,0,0,0,6,16,26,52,0,0,2,4,18,26,50,0,0,46,39,10,5,0,0,11,11,29,49,0,0,17,25,30,28,58,1,32,9,58,2,8,32,58,1,16,25,0,0,59,41,59,0,19,22,81,0,4,0,4,1,0,0,10,22,0,1,6,7,4,0,1,9,2,0,5,7,4,3,2,27,0,2,39,59,0,0,0,0,0,100,0,0,0,0,0,3,1,56,22,18,3,2,8,24,48,10,5,2.62,1.861423637752479,1.8571428571428572,1.0690449676496976,10.357142857142858,3.1837042044250383,3.148936170212766,1.5023812411406805
PRT,Portugal,3,2021-01-02,2021-01-01,100,0,0,0,0,13,99,402943.4756428838,98,0,0,100,0,8,92,0,0,100,0,9,91,0,17,83,0,7,93,0,0,100,0,1,99,0,1,99,0,1,99,0,5,95,0,9,91,0,8,92,0,9,91,100,0,0,0,92,0,1,7,100,0,0,0,91,0,2,7,83,0,5,12,93,0,1,6,100,0,0,0,99,0,1,0,99,0,0,1,99,0,0,1,95,0,1,4,91,0,2,7,92,0,2,6,91,0,2,7,0,1,9,90,91,0,4,5,0,1,45,54,55,0,16,29,84,1,15,0,84,6,10,0,94,1,5,0,17,0,7,76,100,0,0,0,0,0,0,0,47,33,15,5,0,3,38,51,8,0,2,59,35,4,0,3,57,34,6,0,2,46,41,11,0,3,20,54,23,0,93,2,1,4,93,3,0,4,93,1,3,3,93,3,1,3,93,2,1,4,93,3,0,4,4,0,0,96,4,0,0,96,4,1,2,93,4,0,6,90,4,0,6,90,4,0,11,85,4,0,0,96,85,0,0,15,85,0,0,15,85,0,1,14,85,0,2,13,85,0,3,12,0,0,29,71,0,0,66,34,0,0,37,63,0,0,55,45,0,0,3,97,0,0,6,94,0,0,42,58,58,0,33,6,1,2,0,0,1,3,28,68,0,0,100,0,0,1,18,81,0,0,79,18,1,0,0,2,0,0,12,21,31,36,0,0,35,51,11,3,0,0,12,87,1,0,1,6,92,1,71,0,26,3,34,0,66,0,63,0,36,1,45,0,41,14,97,0,3,0,94,0,6,0,0,1,0,3,18,26,52,0,0,0,6,14,25,55,0,2,49,40,7,2,0,0,8,15,36,41,0,0,10,29,38,23,61,2,27,10,61,6,3,30,61,5,9,25,0,2,70,28,72,0,15,13,85,0,2,0,1,2,0,0,10,15,0,1,9,2,8,2,8,7,5,0,2,9,4,4,3,21,0,0,46,54,0,0,0,0,0,0,100,0,0,0,0,2,2,53,26,17,2,2,4,32,52,4,4,2,1.4928400545843579,1.8000000000000003,0.44721359549995787,10,3.244225639501667,3.0638297872340425,1.374174322089551
PRT,Portugal,4,2021-01-02,2021-01-01,100,0,0,0,0,15,100,405513.6784480454,94,1,0,99,1,8,91,1,2,97,1,5,94,1,5,94,0,4,96,1,7,92,1,3,96,1,1,98,1,1,98,1,1,98,1,7,92,1,2,97,1,5,94,100,0,0,0,92,0,1,7,98,0,1,1,95,1,3,1,95,0,0,5,96,0,1,3,93,0,3,4,97,0,0,3,99,0,0,1,99,0,1,0,99,0,1,0,93,0,1,6,98,0,0,2,95,0,1,4,0,0,7,93,93,0,2,5,0,0,36,64,64,0,5,31,95,1,4,0,95,2,3,0,98,0,2,0,5,2,5,88,100,0,0,0,0,0,0,0,52,31,15,2,0,2,40,47,11,0,5,58,32,5,0,4,59,25,12,0,5,49,37,9,0,4,28,38,30,0,95,2,2,1,95,4,0,1,95,2,2,1,95,4,0,1,95,4,0,1,95,4,0,1,2,6,2,90,2,7,4,87,2,5,8,85,2,7,13,78,2,6,11,81,2,7,8,83,2,7,5,86,75,2,0,23,75,2,2,21,75,2,2,21,75,1,6,18,75,1,10,14,0,2,32,66,0,0,79,21,0,1,44,55,0,0,53,47,0,1,3,96,0,2,8,90,0,0,44,56,56,0,31,7,4,2,0,0,0,2,24,74,0,0,100,0,0,0,17,83,0,0,82,17,1,0,0,0,0,0,14,21,37,28,0,0,33,53,13,1,0,0,13,84,3,0,0,12,86,2,68,0,32,0,21,0,78,1,56,0,43,1,47,1,43,9,97,0,2,1,92,0,7,1,0,1,1,6,17,26,49,0,2,1,10,13,25,49,0,1,50,37,9,3,0,0,11,18,28,43,0,0,14,32,33,21,54,4,36,6,54,17,6,23,54,13,19,14,0,1,61,38,62,0,19,19,81,6,2,1,0,0,2,1,7,20,1,2,7,3,7,0,6,5,2,0,1,12,7,5,3,19,0,2,42,56,0,0,0,0,0,0,0,100,0,0,0,5,2,50,20,23,5,3,6,32,39,9,6,2.892857142857143,2.2663281726712454,2.6,1.8165902124584952,10.365853658536585,3.136846710784854,2.7934782608695654,1.2183401019082567
PRT,Portugal,5,2021-01-02,2021-01-01,100,0,0,0,0,11,100,361574.2248390168,93,0,0,100,0,2,98,0,0,100,0,4,96,0,11,89,0,3,97,0,2,98,0,1,99,0,2,98,0,0,100,0,2,98,0,7,93,0,2,98,0,10,90,100,0,0,0,98,0,0,2,100,0,0,0,96,0,1,3,89,0,0,11,97,0,0,3,98,0,1,1,99,0,0,1,98,0,0,2,100,0,0,0,98,0,0,2,93,0,0,7,98,0,1,1,90,0,2,8,0,0,8,92,92,0,1,7,0,0,32,68,68,0,7,25,93,0,7,0,93,2,5,0,98,0,2,0,7,3,3,87,100,0,0,0,0,0,0,0,65,24,7,4,0,10,42,42,6,0,10,62,26,2,0,9,58,30,3,0,9,57,30,4,0,13,25,32,30,0,97,1,0,2,97,1,0,2,97,1,1,1,97,2,0,1,97,1,0,2,97,1,1,1,0,4,1,95,0,4,2,94,0,4,5,91,0,5,6,89,0,4,9,87,0,5,11,84,0,4,6,90,83,1,2,14,83,1,1,15,83,1,1,15,83,1,2,14,83,1,3,13,0,1,33,66,0,0,71,29,0,0,46,54,0,0,46,54,0,0,5,95,0,0,2,98,0,0,44,56,56,0,29,9,3,3,0,0,0,3,30,67,0,0,99,1,0,0,18,82,0,0,86,10,2,0,0,2,0,0,20,16,32,32,0,2,33,50,12,3,0,0,18,81,1,0,2,16,81,1,67,0,32,1,29,0,70,1,54,0,46,0,54,0,37,9,95,0,4,1,98,0,2,0,0,0,0,0,8,26,66,0,0,1,2,10,26,61,0,0,36,53,10,1,0,0,8,17,25,50,0,0,13,22,30,35,65,6,25,4,65,15,12,8,65,16,10,9,0,0,62,38,62,0,14,24,86,4,1,0,1,1,0,0,7,24,0,1,5,2,9,4,5,12,2,0,4,3,12,2,3,12,0,1,47,52,0,0,0,0,0,0,0,0,100,0,0,5,13,51,18,13,5,9,6,16,37,22,5,2.8181818181818183,2.719179912021158,1.25,0.7071067811865476,9.792207792207792,3.8021381184859324,2.3902439024390243,1.1520898623320521
