ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BG,BGR,Bulgaria,-99,2020-12-22,2020-12-21,100,2,21462.43548949509,1,11927.138125407,23,73,1206409.4466104829,0,2,4,94,1,16,83,2,6,92,2,24,74,2,21,77,2,18,80,3,9,88,1,10,89,2,5,93,3,14,83,2,9,89,2,14,84,3,9,88,3,21,76,96,1,2,1,85,2,8,5,95,0,1,4,79,2,6,13,79,3,5,13,84,3,7,6,91,1,3,5,90,1,3,6,96,0,3,1,88,0,11,1,91,2,4,3,86,2,7,5,91,2,4,3,80,1,6,13,26,1,13,60,89,0,2,9,34,1,32,33,69,0,13,18,87,2,10,1,87,8,5,0,92,0,4,3,1,49,1,1,49,100,0,0,0,0,0,39,0,12,16,13,20,51,4,12,17,16,51,8,11,15,15,51,8,12,12,17,51,8,11,15,15,51,9,4,5,31,0,99,1,0,0,99,1,0,0,99,0,1,0,99,1,0,0,99,1,0,0,99,1,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,52,1,19,28,52,1,39,8,52,2,0,46,52,2,16,30,52,2,6,40,52,3,11,34,57,0,16,27,84,1,9,3,1,2,62,2,0,4,11,21,62,1,37,0,70,0,7,23,70,0,16,6,4,2,1,1,70,1,11,6,6,6,71,3,6,9,4,7,73,0,4,19,4,80,0,2,16,2,81,2,13,4,62,3,34,1,100,0,0,0,84,3,7,6,94,2,3,1,89,1,9,1,81,0,0,1,0,7,11,81,0,0,1,0,7,11,86,0,7,5,0,2,86,0,1,2,5,6,86,0,4,6,1,3,91,0,7,2,91,5,2,2,91,3,3,3,90,1,1,8,92,0,4,4,98,0,0,1,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,9.862068965517242,10.33621973565023,3.5000000000000004,1.2909944487358056,0,0,0,0
BG,BGR,Bulgaria,3,2020-12-22,2020-12-21,100,0,0,0,0,77,99,973503.9074695929,98,0,0,100,0,9,91,1,1,98,1,11,88,0,19,81,0,4,96,0,4,96,0,1,99,0,1,99,0,4,96,0,2,98,0,10,90,0,2,98,0,9,91,100,0,0,0,91,0,5,4,99,0,1,0,89,0,3,8,81,0,8,11,96,0,2,2,96,0,4,0,99,0,0,1,99,0,0,1,96,0,3,1,98,0,2,0,90,0,0,10,98,0,2,0,91,0,3,6,0,1,27,72,73,0,6,21,0,0,51,49,49,0,13,38,87,4,9,0,87,9,4,0,91,0,4,5,0,13,0,5,82,100,0,0,0,0,0,0,0,21,25,26,28,41,3,12,27,17,41,3,19,21,16,41,2,8,25,24,41,2,10,21,26,41,2,1,18,38,0,95,3,0,2,95,3,1,1,95,1,4,0,95,3,1,1,95,3,1,1,95,3,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,36,62,0,0,82,18,0,3,11,86,0,2,37,61,0,3,10,87,0,3,16,81,0,0,48,52,52,0,31,8,2,7,0,0,1,4,17,78,0,0,99,1,0,0,18,82,0,0,60,22,3,5,2,8,0,0,41,19,24,16,0,0,22,45,20,13,0,0,5,94,1,0,0,5,95,0,64,1,28,7,18,1,79,2,89,1,9,1,63,0,18,19,90,1,7,2,84,1,14,1,0,0,0,6,11,22,61,0,0,0,4,10,30,56,0,0,29,41,22,8,0,0,5,15,23,57,0,0,16,25,26,33,59,2,34,5,59,16,11,14,59,13,18,10,0,0,51,49,51,0,22,27,78,1,7,0,0,2,3,3,6,27,0,3,11,2,3,2,4,5,10,0,3,11,4,2,5,8,0,0,55,43,1,1,0,0,0,0,100,0,0,0,0,1,1,68,21,9,1,1,16,54,23,2,3,11.257142857142858,14.396369757160098,3.0833333333333335,1.9763089590064797,14.26923076923077,5.125268389887116,2.617021276595745,1.1081941425612007
BG,BGR,Bulgaria,4,2020-12-22,2020-12-21,100,0,0,0,0,63,100,1030665.399529287,96,1,0,99,2,7,91,2,2,96,1,21,78,1,13,86,3,5,92,2,5,93,3,2,95,3,3,94,1,2,97,3,4,93,0,6,94,3,2,95,2,16,82,100,0,0,0,93,0,2,5,98,0,1,1,79,1,7,13,87,0,4,9,95,1,4,0,95,0,0,5,98,0,2,0,97,0,2,1,98,0,2,0,96,1,2,1,94,0,1,5,98,1,1,0,84,0,7,9,0,0,26,74,74,0,9,17,0,1,33,66,67,1,10,22,90,3,7,0,90,5,5,0,95,0,3,1,1,12,0,6,82,100,0,0,0,0,0,0,0,25,28,24,23,23,7,25,22,23,23,4,28,22,23,23,7,21,15,34,23,7,23,10,37,23,10,7,11,49,0,94,3,0,3,94,3,1,2,94,1,2,3,94,2,2,2,94,3,0,3,94,3,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,37,62,0,1,86,13,0,1,4,95,0,1,38,61,0,1,7,92,0,1,20,79,0,0,45,55,55,0,23,12,5,5,0,0,2,8,24,66,0,1,99,0,0,1,12,87,0,0,65,19,9,4,1,2,0,0,41,25,20,14,0,2,17,53,15,13,0,0,5,95,0,0,2,6,91,1,63,2,32,3,14,2,81,3,96,1,3,0,62,2,20,16,93,1,5,1,80,0,20,0,0,2,0,3,11,33,51,0,2,1,1,6,32,58,0,1,33,46,15,5,0,0,3,18,30,49,0,0,16,29,31,24,55,9,31,5,55,19,18,8,55,19,14,12,0,1,46,53,47,0,23,30,77,2,7,1,1,1,1,1,9,31,1,3,4,9,8,2,4,5,8,1,6,4,2,3,1,8,0,2,45,52,0,1,0,0,0,0,0,100,0,0,0,3,3,61,23,10,3,2,20,39,28,6,2,12.175,15.684203223920262,3.1176470588235294,1.6156404667026196,13.471590909090908,5.120029383528211,2.375,1.1173912557339996
BG,BGR,Bulgaria,-99,2020-12-23,2020-12-22,100,0,0,0,0,36,85,1298436.481523598,0,2,1,97,1,10,89,1,5,94,0,24,76,1,19,80,3,9,88,2,1,97,1,5,94,2,3,95,2,8,90,0,5,95,2,13,85,3,7,90,3,15,82,99,1,0,0,90,0,2,8,95,1,3,1,76,3,9,12,81,2,3,14,91,1,2,6,99,1,0,0,95,0,2,3,97,0,1,2,92,2,4,2,95,1,1,3,87,1,6,6,93,2,2,3,85,2,6,7,14,1,15,70,86,0,2,12,20,2,34,44,67,0,10,23,90,2,7,1,90,4,6,0,96,0,2,2,0,35,3,4,58,100,0,0,0,0,0,29,0,20,16,14,21,37,5,21,20,17,37,9,17,17,20,37,10,22,14,17,37,15,14,14,20,37,16,8,5,34,0,98,1,0,1,98,0,1,1,98,1,0,1,98,1,0,1,98,1,0,1,98,0,1,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,42,5,18,35,42,3,47,8,42,5,3,50,42,4,13,41,42,5,7,46,42,6,11,41,51,0,16,33,84,1,12,2,0,1,54,1,1,3,13,28,54,1,45,0,60,2,7,31,60,1,23,7,3,1,1,4,60,2,22,8,5,3,62,3,10,12,4,9,65,1,4,25,5,67,2,4,25,2,84,0,11,5,57,1,42,0,97,0,2,1,88,1,6,5,94,1,5,0,89,0,11,0,71,2,0,1,1,8,17,71,3,0,0,1,10,15,78,1,6,10,2,3,78,1,2,5,6,8,78,1,5,9,2,5,90,1,8,1,90,5,4,1,90,4,4,2,85,1,3,11,89,0,7,4,97,1,0,0,1,0,0,0,1,94,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,7.451612903225806,8.991991658052994,3.3333333333333335,2.29128784747792,0,0,0,0
BG,BGR,Bulgaria,2,2020-12-23,2020-12-21,100,1,9682.97971775832,1,9682.97971775832,71,100,1075702.871518749,100,0,1,99,0,9,91,0,4,96,0,14,86,0,14,86,0,10,90,0,5,95,0,4,96,0,2,98,0,2,98,0,5,95,0,14,86,0,3,97,0,17,83,99,0,0,1,91,0,4,5,96,0,2,2,86,0,6,8,86,0,4,10,90,0,3,7,95,0,3,2,96,0,2,2,98,0,0,2,98,0,2,0,95,0,1,4,86,0,5,9,97,0,0,3,83,0,5,12,0,0,23,77,77,0,1,22,0,0,38,62,62,0,10,28,90,1,8,1,90,5,5,0,95,0,1,4,0,10,0,1,89,100,0,0,0,0,0,0,0,12,22,34,32,10,1,22,40,27,10,2,21,36,31,10,1,24,30,35,10,1,19,31,39,10,1,2,30,57,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,34,65,0,1,81,18,0,2,8,90,0,1,55,44,0,1,9,90,0,1,14,85,0,0,48,52,52,0,26,16,3,3,0,0,0,3,31,66,0,0,100,0,0,2,15,83,0,0,50,24,11,6,1,8,0,0,36,25,20,19,0,0,18,45,24,13,0,0,2,93,5,0,0,3,93,4,66,0,28,6,19,0,80,1,92,0,7,1,45,0,20,35,91,0,6,3,86,0,14,0,0,0,1,4,15,28,52,0,0,1,5,10,25,59,0,0,26,48,23,3,0,0,4,17,25,54,0,0,19,27,25,29,54,4,36,6,54,13,15,18,54,14,16,16,0,0,49,51,49,0,14,37,86,0,3,0,1,2,1,2,5,37,0,2,7,2,3,0,4,2,4,0,1,15,1,2,1,19,0,0,42,55,1,2,0,0,0,100,0,0,0,0,0,0,0,75,19,6,0,1,26,41,19,7,6,8.775510204081632,11.583510741067897,3.4000000000000004,2.3708759207472134,13.8125,4.789423512930016,2.276595744680851,1.051412315091365
BG,BGR,Bulgaria,3,2020-12-23,2020-12-22,100,1,6473.8643050474,1,6473.8643050474,44,99,1085258.4777649257,96,0,1,99,0,8,92,1,1,98,1,9,90,0,17,83,0,8,92,0,4,96,0,3,97,0,0,100,0,4,96,0,2,98,0,9,91,0,2,98,0,8,92,99,0,0,1,92,0,1,7,99,0,1,0,91,0,2,7,83,0,6,11,92,0,3,5,96,0,1,3,97,0,0,3,100,0,0,0,96,0,3,1,98,0,2,0,91,0,3,6,98,0,1,1,92,0,3,5,0,1,15,84,85,0,4,11,0,0,41,59,59,0,7,34,93,3,4,0,93,3,4,0,97,0,2,1,0,7,1,8,84,100,0,0,0,0,0,0,0,18,24,32,26,0,6,21,47,26,0,3,33,40,24,0,2,24,39,35,0,3,21,35,41,0,3,5,28,64,0,92,3,1,4,92,2,2,4,92,1,4,3,92,2,3,3,92,1,3,4,92,1,1,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,36,63,0,0,85,15,0,1,8,91,0,1,40,59,0,1,12,87,0,1,23,76,0,0,51,49,49,0,27,13,3,8,0,0,3,3,32,62,0,0,99,1,0,1,16,83,0,0,56,19,11,6,4,4,0,0,39,18,27,16,0,0,23,40,22,15,0,0,6,90,4,0,0,4,94,2,64,1,28,7,15,1,81,3,92,1,6,1,60,0,22,18,88,2,7,3,77,1,20,2,0,0,1,3,13,22,61,0,0,1,3,10,35,51,0,0,23,47,18,12,0,0,6,18,21,55,0,0,21,28,20,31,51,5,38,6,51,16,13,20,51,16,17,16,0,0,46,54,46,1,18,35,82,0,8,0,0,2,0,3,5,36,0,3,6,3,5,4,5,4,7,0,2,8,2,4,1,10,0,0,58,39,1,2,0,0,0,0,100,0,0,0,0,3,2,64,20,11,3,2,20,49,19,1,6,10.875,13.5116437241748,3.0714285714285716,1.8171950369175571,14.445054945054943,5.334609508488752,2.4615384615384617,1.1576575228326123
BG,BGR,Bulgaria,4,2020-12-23,2020-12-22,100,0,0,0,0,58,99,1043615.3132220444,100,1,0,99,2,11,87,3,2,95,2,17,81,2,15,83,3,3,94,2,4,94,3,1,96,3,2,95,2,1,97,3,3,94,1,8,91,3,1,96,4,14,82,100,0,0,0,89,0,6,5,98,0,2,0,83,1,3,13,85,0,3,12,97,1,1,1,96,0,1,3,99,0,1,0,98,0,1,1,99,0,1,0,97,1,2,0,92,0,0,8,99,1,0,0,86,0,6,8,0,1,23,76,77,0,5,18,0,0,29,71,71,1,8,20,92,4,4,0,92,5,3,0,95,0,2,2,1,9,1,5,85,100,0,0,0,0,0,0,1,27,21,17,34,0,7,25,25,43,0,6,33,26,35,0,9,20,26,45,0,9,24,20,47,0,11,6,17,66,0,95,1,0,4,95,1,1,3,95,0,1,4,95,0,3,2,95,1,1,3,95,1,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,44,56,0,1,86,13,0,2,11,87,0,2,43,55,0,2,12,86,0,2,22,76,0,0,51,49,49,0,26,12,7,6,0,0,1,14,22,63,0,0,99,1,0,0,13,87,0,0,59,19,8,7,3,4,0,0,41,15,27,17,0,2,16,44,20,18,0,0,3,96,1,0,0,6,94,0,56,0,35,9,14,0,81,5,89,1,6,4,57,1,16,26,88,1,6,5,78,1,17,4,0,4,2,3,13,33,45,0,2,1,3,9,26,59,0,0,26,44,19,11,0,0,2,16,34,48,0,0,12,40,27,21,48,9,39,4,48,27,16,9,48,23,18,11,0,0,46,54,46,0,20,34,80,4,6,0,1,3,0,2,4,34,1,2,7,8,6,2,1,3,10,0,8,3,2,5,2,6,0,2,47,51,0,0,0,0,0,0,0,100,0,0,0,0,4,62,23,11,0,3,21,43,30,3,0,13.078947368421053,14.61095771496538,3,1.7677669529663689,12.846590909090908,4.9702320504498285,2.1473684210526316,1.1936750070251185
BG,BGR,Bulgaria,5,2020-12-23,2020-12-21,100,0,0,0,0,27,100,822076.737971862,95,2,0,98,2,8,90,2,1,97,1,12,87,2,9,89,2,10,88,2,2,96,2,4,94,3,2,95,2,2,96,2,3,95,2,7,91,2,4,94,2,10,88,100,0,0,0,92,0,5,3,99,0,1,0,88,0,7,5,91,0,3,6,90,0,3,7,98,0,0,2,96,0,2,2,98,0,0,2,98,0,2,0,97,0,2,1,93,0,2,5,96,0,2,2,90,0,4,6,0,0,16,84,84,0,4,12,0,1,31,68,69,0,6,25,94,3,3,0,94,3,3,0,97,0,0,3,0,7,0,8,85,100,0,0,0,0,0,0,0,34,29,11,26,1,15,25,25,34,1,11,44,17,27,1,15,32,17,35,1,16,34,12,37,1,20,5,17,57,0,92,3,0,5,92,2,1,5,92,1,4,3,92,3,1,4,92,3,1,4,92,3,0,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,32,66,0,1,88,11,0,6,8,86,0,3,33,64,0,5,7,88,0,3,18,79,0,0,41,59,59,0,31,7,1,2,0,2,0,3,31,64,0,1,99,0,0,1,12,87,0,0,66,19,5,5,2,3,0,0,49,16,23,12,0,1,29,41,11,18,0,0,10,90,0,0,2,8,90,0,68,1,25,6,12,1,84,3,92,0,6,2,67,0,18,15,93,0,5,2,82,0,18,0,0,3,1,3,8,30,55,0,2,1,3,11,27,56,0,2,27,45,13,13,0,0,3,5,31,61,0,0,4,27,34,35,69,6,20,5,69,15,9,7,69,13,13,5,0,0,49,51,49,0,17,34,83,3,3,0,1,0,1,0,9,34,0,2,8,5,13,2,1,3,8,0,3,2,4,1,2,12,0,1,43,55,0,1,0,0,0,0,0,0,100,0,0,2,5,68,14,11,2,5,21,41,22,7,2,15.620689655172415,16.058851126633847,2.1,1.8529256146249728,12.940217391304348,4.442454023894844,2.1264367816091956,0.873440107252331
BG,BGR,Bulgaria,-99,2020-12-24,2020-12-23,100,2,22625.0162219667,2,22625.0162219667,30,82,1428388.4516082532,0,1,3,96,0,8,92,0,6,94,3,21,76,0,14,86,0,9,91,0,7,93,1,4,95,0,2,98,0,4,96,1,7,92,0,12,88,0,4,96,1,14,85,97,2,1,0,92,2,4,2,94,2,2,2,79,5,9,7,86,1,3,10,91,2,4,3,93,0,1,6,96,1,0,3,98,0,1,1,96,0,3,1,93,0,4,3,88,0,4,8,96,0,3,1,86,2,7,5,17,1,14,68,88,0,4,8,22,4,15,59,85,0,3,12,97,0,3,0,97,1,2,0,99,0,1,0,0,29,4,2,65,100,0,0,0,0,0,27,1,19,17,13,23,33,6,21,17,23,33,8,22,14,23,33,7,21,13,26,33,12,18,14,23,33,13,7,9,38,0,98,1,0,1,98,1,0,1,98,0,1,1,98,1,0,1,98,0,1,1,98,1,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,42,2,13,43,42,1,44,13,42,3,2,53,42,1,20,37,42,2,6,50,42,2,4,52,49,0,15,36,85,0,12,1,0,2,53,1,0,4,13,29,53,3,43,1,61,1,3,35,61,0,25,8,2,2,0,2,61,3,22,4,6,4,64,2,7,11,9,7,65,0,5,29,1,76,1,3,19,1,89,1,7,3,59,2,39,0,98,1,0,1,81,1,11,7,95,1,4,0,96,0,4,0,82,1,1,0,3,2,11,82,1,1,1,2,2,11,83,2,4,6,2,3,83,0,3,1,6,7,83,0,3,6,5,3,94,1,5,0,94,3,2,1,94,2,4,0,87,2,3,8,92,0,6,2,96,1,0,0,0,0,0,0,3,94,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,5.893939393939394,8.146852896745598,2.6,1.505545305418162,0,0,0,0
BG,BGR,Bulgaria,1,2020-12-24,2020-12-21,100,0,0,0,0,43,100,1006892.6158229242,96,0,0,100,0,11,89,0,3,97,0,17,83,0,20,80,0,8,92,0,7,93,0,4,96,0,6,94,0,5,95,0,10,90,0,16,84,0,3,97,0,15,85,100,0,0,0,89,1,4,6,97,0,0,3,83,1,1,15,80,1,3,16,92,1,1,6,93,1,3,3,96,1,1,2,94,1,1,4,95,0,4,1,90,0,2,8,84,1,3,12,97,1,1,1,85,0,6,9,0,0,16,84,84,0,7,9,0,0,28,72,72,0,10,18,90,2,8,0,90,8,2,0,92,0,2,5,1,10,0,2,88,100,0,0,0,0,0,0,0,12,19,34,35,19,2,19,31,29,19,3,20,27,31,19,3,18,24,36,19,3,17,21,40,19,3,3,12,63,0,98,0,0,2,98,0,0,2,98,0,2,0,98,0,2,0,98,0,1,1,98,0,1,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,21,78,0,0,79,21,0,0,13,87,0,0,59,41,0,1,9,90,0,0,28,72,0,0,62,38,38,0,40,15,5,2,0,0,0,11,39,50,0,0,100,0,0,1,6,93,0,0,43,21,15,15,3,3,0,0,23,29,30,18,0,0,15,32,31,22,0,0,6,82,12,0,1,9,72,18,79,0,17,4,21,0,77,2,87,0,10,3,41,0,20,39,91,0,4,5,72,0,28,0,0,0,4,7,11,38,40,0,1,6,9,21,23,40,0,1,19,46,20,14,0,0,10,10,18,62,0,0,30,22,22,26,48,0,45,7,48,6,14,32,48,5,16,31,0,0,33,67,33,0,24,43,76,0,10,2,2,6,1,0,3,43,1,1,9,2,2,1,2,1,1,0,4,4,0,4,1,24,0,0,44,50,1,5,0,0,100,0,0,0,0,0,0,4,3,57,24,12,4,2,22,42,23,2,5,7.170731707317074,9.54175675393266,2.9285714285714284,1.4917354742965407,10.72289156626506,4.941889766446485,2.5568181818181817,1.1023272616829949
