ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AUS,Australia,-99,2021-01-01,2021-01-01,342,0,0,0,0,14,296,3316937.810141707,0,1,4,337,1,39,302,1,11,330,1,59,282,1,60,281,0,50,292,1,23,318,1,5,336,2,17,323,1,12,329,1,18,323,1,50,291,1,4,337,1,26,315,338,0,1,3,303,2,9,28,331,1,4,6,283,1,13,45,282,2,17,41,292,3,14,33,319,0,9,14,337,0,1,4,325,0,6,11,330,2,6,4,324,1,6,11,292,0,8,42,338,0,3,1,316,0,12,14,45,1,7,289,337,4,1,54,2,94,192,249,1,10,82,332,1,8,1,332,0,10,0,342,0,0,0,70,8,9,255,342,0,0,0,0,0,77,2,111,87,41,24,124,8,71,114,25,124,7,113,78,20,124,11,91,91,25,124,6,95,86,31,124,13,38,87,80,0,337,3,1,1,337,3,0,2,337,3,0,2,337,1,2,2,337,3,0,2,337,2,1,2,158,9,2,173,158,8,1,175,158,9,6,169,158,10,1,173,158,10,20,154,158,10,12,162,158,11,11,162,315,0,0,27,315,0,1,26,315,0,2,25,315,0,1,26,315,0,1,26,192,1,34,115,192,0,108,42,192,1,101,48,192,0,97,53,192,0,41,109,192,0,23,127,206,0,75,61,267,0,41,18,10,6,209,1,1,10,37,84,209,1,131,1,226,0,13,103,226,0,17,13,13,8,60,5,226,0,22,39,42,13,234,3,18,35,32,20,342,342,308,0,11,23,234,0,45,63,241,0,39,62,245,0,24,73,301,1,9,31,319,0,11,12,247,0,2,1,9,10,73,247,0,2,2,10,14,67,269,0,8,25,25,15,269,0,1,2,14,56,269,0,4,17,21,31,325,1,12,4,325,2,3,12,325,1,7,9,287,0,12,43,299,0,35,8,340,1,0,0,0,0,0,0,1,333,1,1,0,0,0,0,0,2,0,0,1,2,0,0,0,2,342,0,0,0,0,0,342,0,0,0,0,0,0,0,0,342,0,0,0,0,342,0,0,0,0,0,0,5.669642857142856,7.80435128440532,2.4,1.51657508881031,0,0,0,0
AUS,Australia,1,2021-01-01,2021-01-01,129,1,5030.891521729311,0,0,7,129,1093384.1312683728,126,0,1,128,0,4,125,0,2,127,0,24,105,0,18,111,0,20,109,0,7,122,0,0,129,0,17,112,0,0,129,0,5,124,0,25,104,0,0,129,0,18,111,128,0,0,1,125,0,2,2,127,0,1,1,105,0,3,21,111,0,4,14,109,0,2,18,122,0,3,4,129,0,0,0,112,0,2,15,129,0,0,0,124,0,1,4,104,0,2,23,129,0,0,0,111,0,7,11,0,0,7,122,122,5,2,0,0,47,82,82,0,8,39,121,0,7,1,121,0,8,0,129,0,0,0,8,0,4,117,129,0,0,0,0,0,0,0,62,46,17,4,0,0,48,74,7,0,1,84,35,9,0,0,90,26,13,0,0,82,39,8,0,0,26,69,34,0,125,0,3,1,125,0,0,4,125,0,0,4,125,0,3,1,125,0,1,3,125,0,0,4,7,0,0,122,7,1,0,121,7,0,3,119,7,0,3,119,7,0,6,116,7,0,9,113,7,0,4,118,112,0,0,17,112,0,1,16,112,0,2,15,112,0,2,15,112,0,3,14,0,0,58,71,0,0,102,27,0,0,96,33,0,0,106,23,0,0,64,65,0,0,35,94,0,0,94,35,35,0,37,17,17,23,0,0,2,13,50,64,0,0,129,0,0,2,12,115,0,0,10,22,19,13,61,4,0,0,9,20,62,38,0,0,11,31,57,30,129,129,71,0,18,40,27,0,37,65,33,0,32,64,23,0,11,95,65,0,11,53,94,0,17,18,0,0,3,8,23,27,68,0,0,8,5,25,32,59,0,1,9,48,44,27,0,0,0,11,22,96,0,0,9,25,40,55,95,3,20,11,95,2,6,26,95,4,9,21,0,1,80,48,81,0,34,14,95,1,6,2,1,3,0,0,21,15,0,4,15,3,21,1,1,13,0,2,3,9,3,0,1,38,0,0,45,84,0,0,0,0,129,0,0,0,0,0,0,2,5,67,41,14,2,0,16,30,38,32,11,4.008196721311475,6.789999879282454,1,0,13.225,3.831454295278325,3.3333333333333335,1.5025654998143985
AUS,Australia,2,2021-01-01,2021-01-01,251,0,0,0,0,10,251,2096970.7101840947,248,0,1,250,0,11,240,0,2,249,0,41,210,0,32,219,0,28,223,0,13,238,0,5,246,0,14,237,0,1,250,0,7,244,0,45,206,0,3,248,0,23,228,250,0,1,0,240,0,1,10,249,0,0,2,210,1,3,37,219,1,5,26,223,1,5,22,238,1,5,7,246,0,3,2,237,1,8,5,250,0,1,0,244,1,3,3,206,1,9,35,248,0,1,2,228,0,6,17,0,0,8,243,243,5,3,0,1,112,138,139,0,20,92,231,0,19,1,231,0,20,0,251,0,0,0,21,0,4,226,251,0,0,0,0,0,0,0,110,80,40,21,0,2,68,161,20,0,4,128,102,17,0,2,130,88,31,0,1,117,109,24,0,3,32,135,81,0,247,2,0,2,247,2,0,2,247,2,0,2,247,1,2,1,247,2,0,2,247,2,0,2,6,2,0,243,6,2,1,242,6,3,8,234,6,2,2,241,6,2,21,222,6,2,16,227,6,2,8,235,218,0,0,33,218,0,2,31,218,0,4,29,218,0,2,31,218,0,5,28,0,0,74,177,0,0,183,68,0,1,162,88,0,0,186,65,0,0,76,175,0,1,27,223,0,0,179,72,72,0,101,32,28,18,0,0,3,18,81,149,0,0,250,1,0,0,42,209,0,0,32,40,27,26,117,9,0,1,27,48,111,64,0,2,27,79,93,50,251,251,177,0,27,47,68,1,72,110,89,1,59,102,65,0,26,160,175,0,13,63,224,1,13,13,0,1,4,7,33,49,157,0,1,8,7,34,55,146,0,4,39,83,75,50,0,1,2,14,40,194,0,1,14,44,69,123,193,1,42,15,193,5,6,47,193,3,18,37,0,1,154,96,155,0,55,41,196,1,7,3,4,0,0,5,35,42,1,3,10,7,25,3,13,40,3,3,9,26,9,7,5,45,0,1,85,165,0,0,0,0,0,251,0,0,0,0,0,3,2,137,89,20,3,0,81,61,60,36,10,4.531818181818182,6.70966620012483,1.125,0.8345229603962802,14.60593220338983,4.080233459588527,2.979591836734694,1.4916405853953767
AUS,Australia,3,2021-01-01,2021-01-01,223,0,0,0,0,8,223,2032509.9705958702,220,0,0,223,0,12,211,0,1,222,0,40,183,0,25,198,0,26,197,0,7,216,0,2,221,0,6,217,0,0,223,0,0,223,0,33,190,0,2,221,0,12,211,223,0,0,0,211,0,7,5,222,0,1,0,183,0,5,35,198,0,3,22,197,0,6,20,216,0,5,2,221,0,2,0,217,0,5,1,223,0,0,0,223,0,0,0,190,0,10,23,221,0,1,1,211,0,5,7,0,0,5,218,218,4,1,0,4,92,127,131,0,15,77,208,1,14,0,208,0,15,0,223,0,0,0,19,2,7,195,223,0,0,0,0,0,0,1,109,61,33,19,0,1,72,129,21,0,0,124,84,15,0,1,98,102,22,0,0,101,102,20,0,0,34,128,61,0,216,3,0,4,216,2,2,3,216,3,0,4,216,3,0,4,216,3,1,3,216,3,0,4,7,2,1,213,7,3,1,212,7,3,7,206,7,3,1,212,7,3,17,196,7,3,13,200,7,3,15,198,188,0,1,34,188,0,3,32,188,0,2,33,188,0,1,34,188,0,4,31,0,1,59,163,0,0,163,60,0,1,150,72,0,0,152,71,0,0,57,166,0,1,21,201,0,0,127,96,96,0,70,39,6,12,0,0,3,18,55,147,0,1,221,1,0,0,32,191,0,0,35,29,25,14,113,7,0,0,35,58,86,44,0,1,28,94,60,40,223,223,164,0,19,40,60,0,59,104,73,2,44,104,71,1,20,131,166,1,6,50,202,0,8,13,0,0,0,2,15,39,167,0,0,2,4,19,46,152,0,2,31,73,73,44,0,0,2,8,40,173,0,0,14,34,67,108,175,0,35,13,175,5,5,38,175,4,15,29,0,1,135,87,136,0,51,36,172,0,5,3,4,2,4,3,30,37,0,4,4,15,19,3,12,21,6,5,3,28,16,10,4,36,0,2,88,131,0,2,0,0,0,0,223,0,0,0,0,2,8,119,67,27,2,3,36,58,72,38,14,3.9746835443037973,5.993532162522136,1.6,0.5477225575051661,14.233644859813086,4.275883763362886,3.1943127962085307,1.5477067141810787
AUS,Australia,4,2021-01-01,2021-01-01,246,0,0,0,0,10,246,2244384.8835008913,244,0,1,245,0,18,228,0,0,246,1,32,213,1,22,223,0,29,217,0,8,238,0,4,242,1,3,242,0,1,245,1,3,242,0,29,217,0,1,245,0,17,229,245,0,0,1,228,0,6,12,246,0,0,0,214,0,4,28,224,0,3,19,217,0,4,25,238,0,2,6,242,0,2,2,243,0,2,1,245,0,0,1,243,0,3,0,217,0,7,22,245,0,1,0,229,0,6,11,0,0,6,240,240,6,0,0,3,92,151,154,1,13,78,233,0,13,0,233,0,13,0,246,0,0,0,17,1,5,223,246,0,0,0,0,0,0,0,116,72,40,18,0,1,56,164,25,0,3,106,117,20,0,1,103,114,28,0,3,104,114,25,0,2,33,136,75,0,241,1,1,3,241,1,2,2,241,2,0,3,241,2,2,1,241,2,1,2,241,2,0,3,8,14,1,223,8,14,0,224,8,14,5,219,8,15,2,221,8,14,22,202,8,13,18,207,8,14,13,211,210,0,1,35,210,1,0,35,210,1,0,35,210,1,0,35,210,1,4,31,0,4,58,184,0,1,192,53,0,1,161,84,0,2,171,73,0,2,60,184,0,3,24,219,0,0,152,94,94,0,83,42,16,11,0,2,0,15,72,157,0,1,244,1,0,2,32,212,0,0,30,25,30,20,137,4,0,0,41,55,104,46,0,2,27,92,78,47,246,246,188,0,15,43,54,1,65,126,85,0,49,112,75,1,23,147,186,1,14,45,222,0,10,14,0,0,2,4,16,32,192,0,0,4,3,27,29,183,0,0,33,86,77,50,0,1,4,9,35,197,0,0,16,49,62,119,181,4,46,15,181,6,13,46,181,7,19,39,0,0,134,112,134,0,64,48,182,2,8,5,7,2,0,0,40,48,2,5,9,12,26,3,8,23,9,4,6,20,15,5,10,41,0,5,95,142,0,4,0,0,0,0,0,246,0,0,0,0,3,140,66,37,0,1,36,60,84,53,12,5.382022471910112,7.302716832511919,1.6666666666666667,1.0327955589886444,13.801255230125523,4.008294773242822,3.245833333333333,1.5422852051791087
AUS,Australia,5,2021-01-01,2021-01-01,265,1,3957.747541197429,1,3957.747541197429,18,265,2038525.7041945579,261,0,1,264,0,16,249,0,0,265,0,25,240,0,12,253,0,19,246,0,4,261,0,2,263,0,7,258,0,1,264,0,7,258,0,23,242,0,0,265,0,9,256,264,1,0,0,249,1,3,12,265,0,0,0,240,1,8,16,253,1,2,9,246,1,6,12,261,0,2,2,263,0,0,2,258,1,3,3,264,0,0,1,258,0,4,3,242,0,4,19,265,0,0,0,256,0,3,6,0,0,9,256,256,7,2,0,3,82,180,183,0,4,78,261,0,3,1,261,0,4,0,265,0,0,0,7,1,4,253,265,0,0,0,0,0,0,0,127,91,30,17,0,6,77,153,29,0,11,137,97,20,0,10,116,115,24,0,8,124,112,21,0,14,43,142,66,0,261,1,0,3,261,0,1,3,261,1,1,2,261,1,0,3,261,1,0,3,261,1,1,2,15,17,1,232,15,17,3,230,15,16,4,230,15,16,3,231,15,18,25,207,15,16,18,216,15,16,19,215,222,1,1,41,222,1,2,40,222,2,1,40,222,1,1,41,222,0,2,41,0,1,67,197,0,1,190,74,0,1,159,105,0,0,162,103,0,1,48,216,0,1,18,246,0,0,152,113,113,0,83,33,17,19,0,0,4,10,72,179,0,1,264,0,0,4,35,226,0,0,43,34,33,18,131,6,0,0,57,67,94,47,0,2,38,97,74,54,265,265,198,1,13,53,75,1,72,117,106,1,49,109,103,1,33,128,217,0,10,38,247,0,7,11,0,1,3,1,12,20,228,0,0,2,4,16,38,205,0,5,26,89,94,51,0,0,3,8,26,228,0,0,11,39,64,151,215,4,35,11,215,8,10,32,215,6,18,26,0,1,118,146,119,1,83,62,182,6,14,5,4,3,3,2,46,64,0,8,8,12,22,3,6,36,11,1,6,7,18,6,12,45,0,3,101,158,0,3,0,0,0,0,0,0,265,0,0,3,9,127,79,47,3,3,57,66,85,40,11,4.296875,6.701527159524258,2.125,1.6420805617960927,13.672549019607843,3.713090189115917,2.4235294117647057,1.2954475460642871
AUS,Australia,6,2021-01-01,2021-01-01,160,0,0,0,0,1,160,1650302.6318694393,157,1,0,159,0,10,150,0,1,159,0,12,148,0,14,146,0,18,142,0,2,158,0,4,156,1,0,159,0,1,159,1,4,155,0,10,150,0,0,160,0,7,153,160,0,0,0,150,0,3,7,159,0,0,1,148,1,3,8,146,1,3,10,142,1,2,15,158,0,1,1,156,1,2,1,160,0,0,0,159,0,1,0,156,0,2,2,150,0,4,6,160,0,0,0,153,0,2,5,0,0,1,159,159,1,0,0,2,49,109,111,1,8,40,152,0,8,0,152,0,8,0,160,0,0,0,11,6,0,143,160,0,0,0,0,0,0,0,90,44,18,8,0,6,47,91,16,0,9,83,60,8,0,6,79,55,20,0,8,75,61,16,0,11,25,74,50,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,160,0,0,0,6,15,1,138,6,15,1,138,6,14,1,139,6,14,3,137,6,14,15,125,6,14,12,128,6,12,15,127,134,2,1,23,134,1,1,24,134,1,0,25,134,1,1,24,134,2,0,24,0,0,33,127,0,0,111,49,0,0,95,65,0,0,98,62,0,0,35,125,0,0,17,143,0,0,88,72,72,0,56,19,5,8,0,0,2,7,48,103,0,0,159,1,0,0,28,132,0,0,24,25,15,9,81,6,0,0,42,42,48,28,0,1,18,51,53,37,160,160,127,0,11,22,49,0,51,60,65,0,36,59,62,0,20,78,125,0,12,23,143,0,8,9,0,1,0,1,10,12,136,0,0,1,4,10,19,126,0,0,18,47,54,41,0,1,1,4,14,140,0,0,5,18,34,103,137,3,14,6,137,5,5,13,137,3,8,12,0,2,37,121,39,1,28,92,132,0,2,1,0,1,1,1,22,95,0,2,4,6,7,3,0,12,6,2,1,7,0,1,5,9,0,0,73,86,0,1,0,0,0,0,0,0,0,160,0,3,3,65,52,37,3,2,41,55,37,18,4,6.825,8.670277847261756,1,0,13.03896103896104,3.3526559891343837,2.220779220779221,1.284633938585895
AUS,Australia,-99,2021-01-02,2021-01-01,100,0,0,0,0,6,87,943481.9452385259,0,0,0,100,0,14,86,0,3,97,0,24,76,0,17,83,0,16,84,0,6,94,0,1,99,1,4,95,0,3,97,0,7,93,0,18,82,0,2,98,0,13,87,100,0,0,0,86,0,5,9,97,0,3,0,76,0,2,22,83,0,5,12,84,0,4,12,94,1,2,3,99,0,0,1,96,0,1,3,97,0,1,2,93,0,2,5,82,0,6,12,98,0,1,1,87,0,8,5,13,0,4,83,97,1,2,17,2,20,61,80,1,1,18,99,1,0,0,99,0,1,0,100,0,0,0,21,1,2,76,100,0,0,0,0,0,21,0,34,25,15,5,34,2,27,29,8,34,2,41,16,7,34,2,31,27,6,34,1,32,24,9,34,2,18,27,19,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,52,2,1,45,52,3,0,45,52,2,3,43,52,2,0,46,52,2,5,41,52,3,7,38,52,3,4,41,93,0,0,7,93,0,0,7,93,0,0,7,93,0,0,7,93,0,0,7,57,0,11,32,57,0,31,12,57,1,25,17,57,0,26,17,57,0,9,34,57,0,6,37,61,1,20,18,80,0,11,5,1,3,64,0,0,2,9,25,64,1,35,0,68,0,1,31,68,0,3,5,2,0,18,4,68,0,8,10,10,4,68,0,5,11,11,5,100,100,91,0,2,7,71,0,13,16,77,0,9,14,76,0,4,20,91,0,3,6,94,0,2,4,68,0,1,0,3,2,26,68,0,1,2,4,4,21,73,0,3,11,4,9,73,0,0,2,3,22,73,0,0,4,9,14,96,0,2,2,96,0,0,4,96,0,0,4,76,1,4,19,81,1,12,6,99,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,5.714285714285714,7.505180283806443,1.6666666666666667,0.5773502691896257,0,0,0,0
AUS,Australia,1,2021-01-02,2021-01-01,100,0,0,0,0,4,100,849798.9413517776,96,0,0,100,0,2,98,0,0,100,0,20,80,0,14,86,0,18,82,0,6,94,0,0,100,0,15,85,0,0,100,0,4,96,0,20,80,0,0,100,0,12,88,100,0,0,0,98,0,0,2,100,0,0,0,80,0,1,19,86,0,3,11,82,0,2,16,94,0,2,4,100,0,0,0,85,0,0,15,100,0,0,0,96,0,1,3,80,0,1,19,100,0,0,0,88,0,4,8,0,0,4,96,96,3,1,0,0,37,63,63,0,7,30,93,0,6,1,93,0,7,0,100,0,0,0,7,0,3,90,100,0,0,0,0,0,0,0,51,33,12,4,0,0,32,62,6,0,1,65,26,8,0,0,69,20,11,0,0,64,29,7,0,0,18,54,28,0,97,0,3,0,97,0,0,3,97,0,0,3,97,0,2,1,97,0,1,2,97,0,0,3,7,0,0,93,7,1,0,92,7,0,1,92,7,0,0,93,7,0,5,88,7,0,5,88,7,0,3,90,90,0,0,10,90,0,1,9,90,0,0,10,90,0,1,9,90,0,2,8,0,0,45,55,0,0,78,22,0,0,73,27,0,0,82,18,0,0,49,51,0,0,24,76,0,0,74,26,26,0,30,14,11,19,0,0,2,9,40,49,0,0,100,0,0,1,10,89,0,0,8,16,12,12,49,3,0,0,6,16,46,32,0,0,9,24,41,26,100,100,55,0,13,32,22,0,26,52,27,0,24,49,18,0,9,73,51,0,9,40,76,0,12,12,0,0,2,8,16,22,52,0,0,7,5,18,25,45,0,1,6,33,37,23,0,0,0,8,14,78,0,0,8,22,25,45,70,3,18,9,70,2,6,22,70,4,9,17,0,1,65,34,66,0,25,9,75,1,4,1,0,3,0,0,16,10,0,4,11,3,17,1,1,8,0,2,3,6,3,0,1,30,0,0,37,63,0,0,0,0,100,0,0,0,0,0,0,3,4,53,31,9,3,0,11,21,32,24,9,3.5777777777777775,5.524692047727386,1,0,13.516129032258064,3.4660242329172632,3.2637362637362637,1.5480106576948998
AUS,Australia,2,2021-01-02,2021-01-01,100,0,0,0,0,2,100,884288.5669800531,97,0,0,100,0,6,94,0,1,99,0,18,82,0,13,87,0,14,86,0,5,95,0,3,97,0,5,95,0,1,99,0,1,99,0,17,83,0,1,99,0,11,89,100,0,0,0,94,0,1,5,99,0,0,1,82,0,0,18,87,0,2,11,86,0,3,11,95,0,1,4,97,0,2,1,95,0,4,1,99,0,1,0,99,0,1,0,83,0,3,14,99,0,0,1,89,0,2,9,0,0,2,98,98,2,0,0,1,41,58,59,0,8,33,92,0,8,0,92,0,8,0,100,0,0,0,9,0,3,88,100,0,0,0,0,0,0,0,49,32,10,9,0,1,24,70,5,0,1,43,53,3,0,1,47,42,10,0,0,44,50,6,0,1,12,58,29,0,97,2,0,1,97,2,0,1,97,2,0,1,97,1,1,1,97,2,0,1,97,2,0,1,9,0,0,91,9,0,0,91,9,0,1,90,9,0,1,90,9,0,6,85,9,0,6,85,9,0,2,89,92,0,0,8,92,0,0,8,92,0,0,8,92,0,1,7,92,0,1,7,0,0,24,76,0,0,78,22,0,1,73,26,0,0,72,28,0,0,32,68,0,0,9,91,0,0,72,28,28,0,45,11,10,6,0,0,2,9,38,51,0,0,100,0,0,0,18,82,0,0,16,15,10,11,46,2,0,1,9,22,42,26,0,1,9,34,41,15,100,100,76,0,8,16,22,0,32,46,27,0,28,45,28,0,7,65,68,0,2,30,91,0,3,6,0,0,0,3,14,23,60,0,0,1,3,11,21,64,0,0,19,33,32,16,0,0,2,8,17,73,0,0,6,17,29,48,77,1,16,6,77,3,2,18,77,1,11,11,0,0,62,38,62,0,22,16,78,1,3,1,1,0,0,1,15,16,1,2,3,3,8,3,6,15,2,1,5,12,3,2,2,16,0,0,42,58,0,0,0,0,0,100,0,0,0,0,0,3,0,52,38,7,3,0,38,27,19,8,5,4.933333333333334,7.7295183902656275,1,0,13.973958333333334,4.453484615365618,2.979381443298969,1.5477092039749356
