ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BO,BOL,Bolivia,-99,2020-12-21,2020-12-21,159,7,96120.27608813436,5,44848.55419446593,32,105,1749276.302870537,0,7,12,140,8,24,127,12,12,135,8,39,112,9,35,115,8,39,112,9,28,122,12,16,131,8,27,124,9,11,139,11,28,120,8,52,99,9,17,133,8,50,101,148,2,6,3,140,1,9,9,148,1,5,5,122,0,21,16,127,2,19,11,123,1,22,13,132,3,9,15,146,0,8,5,134,1,10,14,150,2,5,2,133,2,18,6,109,3,32,15,143,1,12,3,113,2,31,13,53,1,18,87,141,1,7,10,56,1,31,71,129,0,9,21,150,4,4,1,150,0,6,3,0,153,0,1,4,1,69,6,24,60,159,0,0,0,0,68,0,37,28,12,14,132,4,9,6,8,132,5,12,6,4,132,6,13,2,6,132,8,7,5,7,132,9,4,4,10,139,8,8,4,139,10,2,8,139,4,8,8,139,8,8,4,139,10,1,9,139,8,6,6,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,159,0,0,0,98,5,34,22,98,3,49,9,98,7,26,28,98,6,27,28,98,7,14,40,98,4,36,21,104,0,31,24,128,0,18,8,3,2,107,0,0,13,19,20,107,0,51,1,112,2,7,38,112,0,35,5,2,2,0,3,112,1,16,15,6,9,117,1,9,19,9,4,159,159,127,1,30,1,112,1,42,4,135,1,19,4,133,0,13,13,147,0,9,3,125,1,32,1,123,0,1,4,1,9,21,123,0,1,2,3,17,13,129,0,15,11,2,2,129,1,3,12,7,7,129,2,8,11,6,3,141,2,13,3,141,3,9,6,141,3,9,6,136,0,10,13,146,0,9,4,152,1,1,0,0,1,1,1,2,145,0,1,3,1,0,1,0,2,1,0,0,0,0,0,0,5,159,0,0,0,0,0,159,0,0,0,0,0,0,0,0,159,0,0,0,0,159,0,0,0,0,0,0,3.3833333333333333,2.0260311596535248,2.076923076923077,1.2557559782549619,0,0,0,0
BO,BOL,Bolivia,2,2020-12-21,2020-12-21,112,5,57623.314721009185,2,25911.3413263752,61,112,1044123.9914550723,110,2,10,100,1,18,93,2,8,102,2,24,86,1,39,72,2,27,83,0,26,86,2,13,97,2,19,91,2,6,104,1,24,87,2,39,71,1,11,100,1,39,72,102,0,7,3,94,1,13,4,104,1,4,3,88,4,13,7,73,4,19,16,85,1,16,10,86,1,20,5,99,1,7,5,93,1,13,5,106,1,3,2,88,1,17,6,73,1,26,12,101,1,7,3,73,2,24,13,0,0,26,86,86,0,20,6,0,1,37,74,75,0,15,22,97,3,10,2,97,0,12,3,0,100,0,9,3,0,16,1,22,73,112,0,0,0,0,0,0,40,50,17,5,72,1,19,15,5,72,0,18,13,9,72,1,16,12,11,72,1,12,20,7,72,0,4,11,25,90,2,11,9,90,3,5,14,90,1,18,3,90,3,7,12,90,3,3,16,90,3,7,12,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,112,0,0,0,0,2,63,47,0,1,85,26,0,2,59,51,0,2,76,34,0,2,48,62,0,0,60,52,0,0,79,33,33,0,44,17,6,12,0,1,2,15,45,49,0,2,110,0,0,2,32,78,0,0,75,27,2,5,1,2,0,0,13,36,36,27,0,0,13,76,19,4,112,112,49,0,60,3,27,1,81,3,53,1,47,11,36,1,53,22,64,0,41,7,52,0,59,1,0,0,0,7,24,39,42,0,0,2,12,19,33,46,0,0,63,37,9,3,0,0,29,38,31,14,0,0,57,37,16,2,18,2,87,5,18,8,64,22,18,11,62,21,0,0,67,45,67,0,26,19,86,1,3,1,8,3,3,0,7,19,2,2,7,9,6,1,3,9,4,0,3,3,5,0,5,34,0,1,53,57,0,1,0,0,0,112,0,0,0,0,0,2,1,95,9,5,2,0,29,21,27,20,13,2.986666666666667,1.7202555854521384,2.4166666666666665,2.0624313778658907,10.509615384615385,6.997912576844546,2.8981481481481484,1.7558437267593827
BO,BOL,Bolivia,3,2020-12-21,2020-12-21,103,2,10747.191610100188,1,7797.5247088588085,58,103,838966.1827596724,98,5,3,95,4,12,87,3,6,94,3,20,80,3,18,82,4,13,86,4,17,82,5,6,92,4,4,95,4,4,95,5,18,80,3,28,72,4,4,95,2,33,68,100,0,3,0,91,0,9,3,97,0,5,1,83,1,14,5,85,0,9,9,90,1,8,4,86,0,12,5,97,0,3,3,99,0,4,0,99,0,4,0,85,0,10,8,75,2,17,9,99,0,4,0,70,1,17,15,0,0,25,78,78,0,10,15,0,1,49,53,54,0,13,36,90,5,7,1,90,0,5,8,0,98,0,4,1,0,14,1,22,66,103,0,0,0,0,0,0,43,35,13,12,69,3,19,7,5,69,1,22,7,4,69,2,15,10,7,69,3,14,12,5,69,4,2,5,23,81,7,6,9,81,9,5,8,81,6,8,8,81,7,5,10,81,8,4,10,81,9,2,11,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,0,5,55,43,0,1,84,18,0,5,49,49,0,6,54,43,0,6,28,69,0,6,39,58,0,1,69,33,34,0,47,9,8,5,0,0,0,6,47,50,0,2,100,1,0,0,24,79,0,0,82,18,2,0,0,1,0,0,19,32,26,26,0,2,25,55,17,4,103,103,48,3,52,0,19,2,82,0,54,2,44,3,49,3,31,20,75,3,23,2,64,1,38,0,0,0,2,1,18,28,54,0,0,3,4,14,28,54,0,0,44,40,15,4,0,1,18,34,30,20,0,0,33,39,22,9,31,6,57,9,31,15,42,15,31,20,31,21,0,0,62,41,62,0,21,20,82,1,4,2,3,1,1,0,9,20,0,2,8,5,5,1,2,7,4,0,6,11,10,0,7,15,0,2,59,42,0,0,0,0,0,0,103,0,0,0,0,3,0,92,3,5,3,0,18,36,28,10,8,2.642857142857143,1.5424722944742895,2.4347826086956523,1.3759653456432204,12.810526315789474,6.264208932485571,3.163265306122449,1.510744184414651
BO,BOL,Bolivia,-99,2020-12-22,2020-12-22,188,7,59142.27969420708,5,27960.00446215688,42,140,2248838.082885405,0,13,14,161,9,29,150,9,23,156,8,41,139,11,30,147,10,49,129,11,33,144,13,21,154,8,21,159,9,10,169,9,31,148,10,54,124,10,18,160,9,57,122,174,1,10,3,159,3,19,7,165,2,14,7,147,2,25,14,158,3,19,8,139,3,33,13,155,3,22,8,167,3,15,3,167,2,16,3,178,1,9,0,157,2,18,11,134,3,34,17,170,2,9,7,131,3,40,14,46,2,26,114,164,1,9,14,52,5,39,92,149,1,11,27,177,4,7,0,177,0,8,3,0,180,0,6,2,0,72,5,22,89,188,0,0,0,0,65,1,39,43,23,17,83,6,49,32,18,83,14,48,25,18,83,11,52,18,24,83,12,43,29,21,83,11,19,26,49,168,9,8,3,168,10,7,3,168,6,11,3,168,7,10,3,168,11,5,4,168,11,6,3,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,188,0,0,0,95,6,45,42,95,2,67,24,95,7,41,45,95,6,51,36,95,4,33,56,95,4,52,37,104,0,45,39,143,1,27,7,2,8,109,0,3,13,27,36,109,2,75,2,121,0,14,53,121,0,45,13,3,1,1,4,121,0,15,18,21,13,123,0,15,25,24,1,188,188,146,2,37,3,125,4,56,3,150,3,30,5,139,4,30,15,156,3,25,4,137,5,43,3,133,1,0,1,6,13,34,133,1,3,4,9,15,23,148,0,16,16,3,5,148,0,9,9,14,8,148,0,15,12,6,7,165,3,18,2,165,8,12,3,165,8,11,4,158,1,12,17,171,0,8,9,184,0,0,0,1,0,0,0,3,173,0,3,0,1,3,0,0,3,0,0,0,0,1,0,0,4,188,0,0,0,0,0,188,0,0,0,0,0,0,0,0,188,0,0,0,0,188,0,0,0,0,0,0,2.780821917808219,1.742018109218808,2,0.966091783079296,0,0,0,0
BO,BOL,Bolivia,1,2020-12-22,2020-12-21,100,7,55861.503536678734,4,36891.87979153109,49,100,879012.5932901285,98,3,9,88,3,23,74,3,6,91,2,23,75,3,37,60,3,16,81,2,25,73,2,12,86,4,13,83,3,5,92,2,29,69,3,43,54,3,11,86,3,37,60,91,0,4,5,77,0,13,10,94,0,5,1,77,0,13,10,63,0,21,16,84,0,9,7,75,0,14,11,88,0,10,2,87,1,9,3,95,0,4,1,71,0,12,17,57,0,23,20,89,0,5,6,63,2,19,16,0,0,27,73,73,0,16,11,0,0,21,79,79,0,8,13,92,2,6,0,92,0,7,1,0,93,0,4,3,0,8,2,20,70,100,0,0,0,0,0,0,28,46,17,9,0,4,36,44,16,0,7,47,28,18,0,6,45,26,23,0,5,36,32,27,0,5,11,25,59,80,9,5,6,80,9,6,5,80,5,11,4,80,8,6,6,80,11,1,8,80,9,5,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,51,48,0,0,79,21,0,1,55,44,0,1,56,43,0,2,34,64,0,0,76,24,0,0,68,32,32,0,46,13,3,6,0,0,2,23,45,30,0,0,99,1,0,0,18,82,0,0,64,24,5,3,1,3,0,0,22,29,31,18,0,0,19,47,30,4,100,100,49,1,46,4,21,1,72,6,45,1,50,4,44,1,39,16,66,1,26,7,24,1,72,3,0,0,1,5,19,28,47,0,0,0,16,23,27,34,0,0,50,24,13,13,0,0,28,24,29,19,0,1,42,37,15,5,21,3,66,10,21,15,36,28,21,16,37,26,0,1,41,58,42,0,28,30,72,0,9,0,2,6,2,3,6,31,0,1,6,5,4,1,1,3,3,0,5,1,3,1,3,32,0,1,41,56,0,2,0,0,100,0,0,0,0,0,0,2,4,81,7,6,2,2,15,20,24,14,23,3.1025641025641026,1.9312181983410706,1.8076923076923077,1.0590271297461937,9.32183908045977,6.400389255738012,2.977777777777778,1.8111873179282751
BO,BOL,Bolivia,2,2020-12-22,2020-12-22,140,6,40215.12491341151,2,11088.168669780032,74,140,1052154.9467236674,136,2,11,127,2,18,120,3,7,130,3,35,102,3,35,102,3,32,105,3,24,113,3,11,126,3,14,123,3,5,132,3,25,112,3,39,98,3,14,123,3,52,85,129,2,7,2,122,2,8,8,133,0,4,3,105,1,19,15,105,1,17,17,108,1,19,12,116,1,13,10,129,1,7,3,126,0,9,5,135,0,4,1,115,1,12,12,101,2,22,15,126,1,9,4,88,1,27,24,0,0,32,108,108,0,19,13,0,0,55,85,85,1,15,39,125,5,9,1,125,0,8,7,0,132,0,3,4,1,16,0,34,90,140,0,0,0,0,0,0,44,64,21,11,0,4,74,44,18,0,9,77,39,15,0,7,73,33,27,0,7,51,53,29,0,9,13,23,95,106,13,7,14,106,15,6,13,106,11,16,7,106,12,11,11,106,16,4,14,106,14,7,13,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,140,0,0,0,0,3,84,53,0,4,107,29,0,5,63,72,0,4,87,49,0,5,43,92,0,5,87,48,0,0,103,37,37,0,66,16,9,12,0,0,1,26,51,62,0,1,136,3,0,1,40,99,0,1,99,28,7,1,3,1,0,1,18,36,45,40,0,0,28,71,36,5,140,140,56,1,77,6,33,1,100,6,77,1,54,8,53,1,56,30,97,0,28,15,53,1,81,5,0,0,1,6,27,50,56,0,0,2,13,27,42,56,0,1,73,44,13,9,0,0,33,50,35,22,0,0,55,55,24,6,30,4,92,14,30,8,79,23,30,11,67,32,0,1,87,52,88,0,34,18,106,0,7,0,7,4,1,4,11,19,1,1,14,8,7,0,6,14,2,1,10,7,4,1,7,38,0,1,69,67,0,3,0,0,0,140,0,0,0,0,0,3,1,114,13,9,3,3,36,31,37,19,11,3.177083333333334,2.0570535477341405,2.4482758620689653,1.6601679539938061,11.5748031496063,6.51069899087888,2.9776119402985075,1.674516731587844
BO,BOL,Bolivia,3,2020-12-22,2020-12-22,122,5,19814.481239256053,4,14693.99092237142,61,122,825629.0813650718,117,2,7,113,3,10,109,3,4,115,4,19,99,3,19,100,3,22,97,2,22,98,2,12,108,3,7,112,4,3,115,3,12,107,1,28,93,3,11,108,3,33,86,115,0,6,1,112,0,5,5,118,0,3,1,103,0,10,9,103,0,11,8,100,1,15,6,100,1,9,12,110,1,6,5,115,1,5,1,119,0,2,1,110,0,8,4,94,2,12,14,111,0,7,4,89,1,18,14,0,0,26,96,96,0,11,15,0,3,58,61,64,0,15,43,107,3,12,0,107,0,8,7,0,114,0,5,3,0,18,1,28,75,122,0,0,0,0,0,1,43,45,23,10,0,8,57,35,22,0,8,67,28,19,0,5,57,30,30,0,7,53,33,29,0,8,13,16,85,94,12,10,6,94,14,5,9,94,7,16,5,94,13,6,9,94,15,2,11,94,14,6,8,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,122,0,0,0,0,2,70,50,0,3,102,17,0,7,59,56,0,5,70,47,0,4,38,80,0,2,58,62,0,0,79,43,43,1,44,18,7,9,0,0,2,16,46,58,0,2,120,0,0,0,31,91,0,0,95,18,2,5,0,2,0,0,18,27,51,26,0,0,20,75,21,6,122,122,52,2,67,1,20,2,97,3,63,2,53,4,52,2,44,24,84,2,25,11,64,1,55,2,0,1,1,3,19,33,65,0,0,1,5,21,32,63,0,0,53,53,9,7,0,0,20,40,36,26,0,0,38,58,16,10,26,10,77,9,26,17,55,24,26,18,50,28,0,0,79,43,79,0,28,15,94,2,3,1,6,3,2,1,10,15,0,3,13,10,8,4,7,9,7,1,5,6,10,0,3,21,0,1,70,51,0,0,0,0,0,0,122,0,0,0,0,4,1,104,9,4,4,0,19,30,47,14,8,2.9565217391304346,1.7272451936767068,2.36,1.57797338380595,12.487179487179487,6.2056917486752114,3.2413793103448274,1.596848470419551
BO,BOL,Bolivia,4,2020-12-22,2020-12-21,100,3,31715.211867508628,0,0,40,100,1005160.4817442573,99,1,3,96,1,7,92,1,4,95,1,8,91,1,16,83,1,10,89,1,13,86,1,5,94,1,6,93,0,4,96,1,10,89,1,20,79,1,7,92,2,18,80,97,0,2,1,93,0,4,3,96,0,4,0,92,0,6,2,84,0,7,9,90,0,6,4,87,1,7,5,95,0,4,1,94,0,1,5,96,0,4,0,90,0,5,5,80,0,12,8,93,0,7,0,82,0,9,9,0,0,17,83,83,0,6,11,0,1,46,53,54,1,12,33,88,4,8,0,88,0,7,5,0,93,0,6,1,0,14,1,19,66,100,0,0,0,0,0,1,36,35,17,11,23,5,29,22,21,23,8,40,18,11,23,8,33,15,21,23,6,33,19,19,23,7,6,4,60,81,10,5,4,81,11,4,4,81,6,12,1,81,12,2,5,81,13,2,4,81,13,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,4,48,48,0,4,75,21,0,7,40,53,0,4,46,50,0,5,23,72,0,2,47,51,0,0,53,47,47,0,26,13,3,11,0,0,1,9,38,52,0,0,98,2,0,0,21,79,0,0,79,13,3,0,0,5,0,1,28,24,33,14,0,0,28,50,18,4,100,100,52,1,47,0,25,2,73,0,60,0,39,1,54,0,37,9,77,0,19,4,53,0,47,0,0,1,0,7,18,25,49,0,0,0,4,16,23,57,0,1,33,43,12,11,0,1,9,26,37,27,0,0,24,44,21,11,32,7,49,12,32,12,35,21,32,14,30,24,0,0,59,41,59,1,17,23,83,1,4,0,1,2,0,3,6,24,0,1,6,4,18,2,3,7,2,1,3,3,2,1,2,21,0,1,50,49,0,0,0,0,0,0,0,100,0,0,0,1,2,84,7,6,1,1,8,24,41,18,7,2.4893617021276597,1.6268446443229472,2.533333333333333,1.1254628677422756,13.821052631578947,6.957284483964808,2.8526315789473684,1.5708001826730786
BO,BOL,Bolivia,-99,2020-12-23,2020-12-23,199,15,158202.47891552906,5,34926.05010531017,49,137,2191228.827794945,0,21,23,155,17,35,147,19,26,154,18,45,136,17,47,135,20,43,136,17,40,142,20,24,155,19,29,151,20,18,161,19,36,144,20,70,109,22,23,154,19,61,119,176,2,15,6,164,6,15,14,173,4,14,8,154,4,27,14,152,4,26,17,156,5,20,18,159,6,23,11,175,4,17,3,170,3,21,5,181,4,12,2,163,5,24,7,129,5,39,26,176,5,14,4,138,5,35,21,61,1,22,115,177,1,10,11,68,3,45,83,154,2,9,34,190,2,6,1,190,0,6,3,0,193,0,3,3,0,83,5,28,83,199,0,0,0,0,78,2,36,39,23,21,102,5,39,25,28,102,11,45,22,19,102,9,45,26,17,102,13,34,30,20,102,15,20,16,46,176,6,11,6,176,9,10,4,176,6,11,6,176,7,5,11,176,8,5,10,176,9,9,5,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,199,0,0,0,117,2,46,34,117,2,62,18,117,5,35,42,117,4,39,39,117,3,26,53,117,1,48,33,126,0,43,30,156,1,24,9,3,6,133,0,4,14,19,29,133,0,65,1,144,2,11,42,144,1,34,12,1,2,1,4,144,1,16,13,16,9,147,1,16,20,13,2,199,199,154,0,43,2,139,1,57,2,165,0,31,3,162,1,27,9,175,0,17,7,153,1,43,2,160,0,0,3,7,10,19,160,1,0,4,7,14,13,166,0,15,12,3,3,166,0,11,10,8,4,166,0,17,9,4,3,180,1,17,1,180,4,12,3,180,3,12,4,177,0,12,10,189,0,8,2,197,0,1,0,0,0,0,0,1,189,0,1,0,0,1,0,1,1,0,0,2,0,1,1,0,2,199,0,0,0,0,0,199,0,0,0,0,0,0,0,0,199,0,0,0,0,199,0,0,0,0,0,0,2.7590361445783134,1.7846934658283253,2.6875,1.8874586088176872,0,0,0,0
BO,BOL,Bolivia,1,2020-12-23,2020-12-22,100,3,24825.817667333762,2,21421.546092186472,25,100,874259.4950432249,97,1,8,91,0,20,80,1,6,93,1,23,76,1,34,65,1,26,73,1,27,72,1,11,88,1,15,84,1,5,94,1,24,75,1,42,57,1,7,92,1,37,62,92,0,2,6,80,0,13,7,94,0,5,1,77,0,13,10,66,0,14,20,74,1,17,8,73,0,23,4,89,1,6,4,85,0,12,3,95,0,2,3,76,1,11,12,58,2,19,21,93,0,4,3,63,1,21,15,0,0,13,87,87,1,6,6,0,0,22,78,78,0,5,17,95,1,4,0,95,0,4,1,0,96,0,3,1,0,5,4,23,68,100,0,0,0,0,0,0,33,42,19,6,0,1,42,40,17,0,3,47,35,15,0,1,56,31,12,0,3,37,46,14,0,3,11,35,51,77,6,7,10,77,7,10,6,77,7,10,6,77,6,10,7,77,10,5,8,77,8,6,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,46,53,0,1,80,19,0,1,53,46,0,0,67,33,0,1,38,61,0,1,68,31,0,0,67,33,33,0,44,12,5,6,0,0,2,28,45,25,0,3,94,3,0,0,16,84,0,0,73,17,5,2,1,2,0,0,12,38,29,21,0,1,14,55,25,5,100,100,54,1,42,3,20,1,74,5,47,1,45,7,33,1,46,20,62,1,29,8,32,1,65,2,0,0,1,8,19,28,44,0,0,4,15,18,38,25,0,1,54,23,13,9,0,0,20,37,31,12,0,2,42,35,16,5,23,3,61,13,23,10,45,22,23,10,49,18,0,1,44,55,45,0,23,32,77,0,10,0,2,7,0,2,2,33,0,1,9,6,6,4,1,2,3,0,2,1,1,0,0,31,0,1,41,57,0,1,0,0,100,0,0,0,0,0,0,2,1,82,12,3,2,2,9,17,32,19,19,2.9726027397260273,1.715716587737274,2.2,1.6193277068654823,9.864197530864198,5.695948310904324,2.8,1.7295922530186494
