ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GBR,United Kingdom,-99,2021-01-01,2021-01-01,637,7,96692.67587150578,3,37978.33272754395,120,522,9187231.561572658,0,11,14,612,6,87,544,7,30,600,8,142,487,8,217,412,9,136,492,9,67,561,9,32,596,11,43,583,9,27,601,8,44,585,9,161,467,12,43,582,6,110,521,623,3,9,2,550,5,32,50,607,2,15,13,495,8,45,89,420,9,79,129,501,10,45,81,570,7,32,28,605,1,18,13,594,5,23,15,610,1,17,9,593,5,17,22,476,10,53,98,594,2,28,13,527,6,51,53,113,2,60,462,589,0,16,32,132,11,221,273,417,7,59,154,578,5,50,4,578,0,0,59,0,637,0,0,0,218,9,25,385,637,0,0,0,0,0,171,6,277,104,51,28,232,9,163,216,17,232,19,184,182,20,232,19,164,187,35,232,16,151,194,44,232,20,70,202,113,0,616,7,5,9,616,8,4,9,616,10,2,9,616,10,1,10,616,10,2,9,616,9,2,10,284,23,4,326,284,23,3,327,284,23,19,311,284,23,8,322,284,22,48,283,284,22,53,278,284,24,21,308,563,5,4,65,563,6,2,66,563,7,2,65,563,6,3,65,563,4,7,63,332,2,62,241,332,1,187,117,332,2,26,277,332,2,87,216,332,2,4,299,332,2,28,275,356,2,59,220,578,0,49,4,3,3,379,1,2,10,100,145,379,1,253,4,423,1,18,195,423,0,133,45,17,5,2,12,423,0,100,63,40,11,435,0,86,90,20,6,451,0,76,106,4,477,4,55,95,6,575,0,50,12,456,0,177,4,612,0,22,3,553,0,29,55,633,1,1,2,609,1,25,2,489,1,4,4,15,24,100,489,0,4,7,24,36,77,507,0,37,53,28,12,507,0,4,6,23,97,507,0,7,26,34,63,613,0,20,4,613,8,0,16,613,8,1,15,532,0,21,84,553,1,70,13,631,0,0,0,0,0,0,0,6,616,0,0,1,0,1,1,0,7,2,0,1,3,0,0,0,5,637,0,0,0,0,0,637,0,0,0,0,0,0,0,0,637,0,0,0,0,637,0,0,0,0,0,0,4.379787234042553,4.451212313266173,2.5128205128205128,1.847783805874584,0,0,0,0
GBR,United Kingdom,1,2021-01-01,2021-01-01,271,0,0,0,0,110,271,3738632.872276384,266,0,0,271,0,21,250,0,5,266,0,75,196,0,109,162,0,61,210,0,37,234,0,11,260,0,18,253,1,5,265,0,25,246,0,78,193,0,16,255,0,58,213,271,0,0,0,250,1,11,9,266,1,0,4,196,2,14,59,162,2,29,78,210,1,14,46,234,1,15,21,260,0,3,8,253,1,6,11,266,0,5,0,246,0,11,14,193,2,12,64,255,0,9,7,213,2,17,39,0,0,40,231,231,0,8,32,0,0,137,134,134,0,27,110,244,4,21,2,244,0,2,25,0,269,0,2,0,27,0,18,226,271,0,0,0,0,0,0,0,153,62,35,21,0,0,113,138,20,0,0,141,112,18,0,0,137,108,26,0,0,97,136,38,0,0,33,143,95,0,253,3,4,11,253,4,5,9,253,4,2,12,253,4,3,11,253,3,6,9,253,5,3,10,1,0,0,270,1,0,0,270,1,0,13,257,1,0,9,261,1,0,20,250,1,1,25,244,1,0,20,250,217,0,1,53,217,0,3,51,217,0,0,54,217,0,3,51,217,0,18,36,0,0,49,222,0,0,150,121,0,0,26,245,0,0,102,169,0,0,7,264,0,0,27,244,0,0,89,182,182,0,73,11,4,1,0,1,5,33,113,119,0,1,270,0,0,3,13,255,0,0,154,74,11,9,4,19,0,0,90,83,80,18,0,1,82,155,26,7,0,0,45,217,9,0,0,36,220,15,222,0,40,9,121,0,145,5,245,1,19,6,169,1,32,69,264,0,1,6,244,0,24,3,0,10,6,24,60,75,96,0,0,11,38,79,66,77,0,8,71,105,65,22,0,0,8,16,67,180,0,0,24,44,97,106,203,0,56,12,203,6,2,60,203,4,10,54,0,0,113,158,113,0,87,71,184,0,22,6,26,4,2,3,24,71,0,2,18,9,14,1,8,22,4,0,8,11,8,9,2,84,0,3,74,189,3,2,0,0,271,0,0,0,0,0,0,4,13,71,130,53,4,2,39,69,95,40,22,3.648633879781421,3.543371119808368,2.8421052631578947,2.0733354220685043,13.427125506072874,4.346846468880813,3.361111111111111,1.4002545142711054
GBR,United Kingdom,2,2021-01-01,2021-01-01,511,1,17882.188835188,0,0,170,511,5634949.157428839,501,0,1,510,0,56,455,0,4,507,0,109,402,0,174,337,1,96,414,0,57,454,0,10,501,1,32,478,0,9,502,1,30,480,0,123,388,0,22,489,0,66,445,510,0,1,0,455,1,32,23,507,0,2,2,402,0,22,87,337,1,62,111,415,0,27,69,454,0,31,26,501,0,8,2,479,0,19,13,502,0,9,0,481,0,16,14,388,0,38,85,489,0,8,14,445,0,28,38,0,0,68,443,443,0,14,54,0,2,235,274,276,3,64,168,447,4,56,4,447,0,1,63,0,510,0,1,0,69,2,25,415,511,0,0,0,0,0,0,0,287,144,50,30,0,0,171,315,25,0,2,235,248,26,0,1,223,239,48,0,3,156,287,65,0,2,56,297,156,0,486,4,4,17,486,2,6,17,486,4,3,18,486,1,7,17,486,5,0,20,486,5,1,19,7,5,2,497,7,5,1,498,7,5,38,461,7,6,15,483,7,7,41,456,7,5,44,455,7,6,25,473,403,3,2,103,403,2,3,103,403,1,2,105,403,3,14,91,403,2,25,81,0,0,100,411,0,2,276,233,0,1,32,478,0,1,149,361,0,1,2,508,0,1,27,483,0,1,126,384,385,0,108,11,3,4,0,0,7,38,190,276,0,1,508,2,0,3,48,460,0,0,327,101,38,6,15,24,0,0,193,169,133,16,0,1,202,252,43,13,0,0,113,388,10,0,0,130,370,11,411,0,81,19,235,2,264,10,479,1,28,3,362,2,46,101,509,0,0,2,484,2,23,2,0,3,6,18,101,90,293,0,0,11,38,103,143,216,0,4,120,263,103,21,0,1,11,35,131,333,0,1,37,111,163,199,363,4,104,40,363,13,4,131,363,12,9,127,0,1,275,235,276,0,127,108,384,1,28,4,24,2,7,5,56,109,2,7,24,21,46,4,30,53,20,0,15,27,20,7,14,112,0,5,158,341,2,5,0,0,0,511,0,0,0,0,0,7,15,126,238,125,7,7,139,178,131,38,11,4.157094594594595,4.34251551770745,2.578125,1.4779295631561045,14.258474576271187,4.852925245981952,2.9318181818181817,1.3193495480022208
GBR,United Kingdom,3,2021-01-01,2021-01-01,454,0,0,0,0,134,454,5213991.570128221,449,0,1,453,0,43,411,0,11,443,0,100,354,0,147,307,0,77,377,0,43,411,0,11,443,1,23,430,0,2,452,0,18,436,0,111,343,0,16,438,0,59,395,453,0,1,0,411,0,23,20,443,0,7,4,354,0,28,72,307,0,50,97,377,0,27,50,411,0,27,16,443,0,8,3,431,0,12,11,452,0,2,0,436,0,8,10,343,0,27,84,438,0,11,5,395,0,19,40,0,0,54,400,400,1,13,40,0,0,189,265,265,1,60,128,394,6,49,5,394,0,3,57,0,451,0,3,0,61,5,12,376,454,0,0,0,0,0,0,0,270,131,38,15,0,1,145,295,13,0,3,211,221,19,0,2,197,221,34,0,3,152,249,50,0,1,67,269,117,0,442,4,1,7,442,4,1,7,442,5,1,6,442,4,1,7,442,3,3,6,442,3,3,6,10,7,0,437,10,7,0,437,10,8,21,415,10,7,15,422,10,3,30,411,10,6,42,396,10,7,17,420,365,3,0,86,365,3,2,84,365,2,2,85,365,3,4,82,365,3,25,61,0,0,105,349,0,2,252,200,0,1,22,431,0,1,113,340,0,1,5,448,0,1,20,433,0,1,107,346,347,0,91,5,7,4,0,2,3,31,138,280,0,1,453,0,0,4,43,407,0,1,277,93,39,7,10,27,0,1,170,148,106,29,0,1,185,208,48,12,0,0,132,314,8,0,2,122,322,8,349,1,86,18,202,1,244,7,432,1,16,5,341,1,47,65,449,0,1,4,434,0,19,1,0,1,6,21,55,77,294,0,0,10,26,71,128,219,0,1,110,219,92,32,0,0,5,25,99,325,0,0,32,100,134,188,322,3,101,28,322,13,6,113,322,12,10,110,0,1,250,203,251,2,104,97,350,1,15,12,20,2,2,2,50,100,1,2,21,11,47,3,27,53,28,0,14,33,17,9,14,74,0,5,159,285,3,2,0,0,0,0,454,0,0,0,0,5,9,111,212,117,5,2,63,135,175,58,16,4.3453815261044175,4.279686258452408,2.5384615384615383,1.7652588374506404,14.678921568627452,4.311272786034589,3.255,1.3037784584785526
GBR,United Kingdom,4,2021-01-01,2021-01-01,508,3,50451.1502370862,3,50451.1502370862,156,506,6465809.175403731,502,2,5,501,1,58,449,1,9,498,1,107,400,0,165,343,2,110,396,2,34,472,2,16,490,1,35,472,1,9,498,1,24,483,1,122,385,1,22,485,1,55,452,503,2,2,1,450,9,21,28,499,4,3,2,401,10,43,54,343,8,55,102,398,10,37,63,474,4,18,12,492,4,4,8,473,4,18,13,499,2,7,0,484,4,12,8,386,10,44,68,486,4,12,6,453,7,21,27,0,2,65,441,443,0,18,47,0,4,219,285,289,2,63,154,445,11,44,8,445,0,1,62,0,507,0,0,1,69,3,16,420,508,0,0,0,0,0,0,1,348,98,40,21,0,3,158,318,29,0,4,252,231,21,0,5,233,239,31,0,5,193,257,53,0,5,81,286,136,0,492,4,2,10,492,4,5,7,492,4,4,8,492,3,2,11,492,3,4,9,492,4,3,9,12,26,2,468,12,25,1,470,12,21,41,434,12,25,21,450,12,23,49,424,12,24,37,435,12,24,34,438,396,4,1,107,396,4,3,105,396,4,3,105,396,5,4,103,396,1,25,86,0,1,126,381,0,0,281,227,0,1,27,480,0,0,136,372,0,0,9,499,0,2,21,485,0,1,115,392,393,0,93,11,4,7,0,0,1,23,118,366,0,1,507,0,0,3,61,444,0,0,325,107,36,8,6,26,0,2,220,151,95,40,0,3,265,198,32,10,0,0,211,291,6,0,4,156,341,7,382,0,104,22,227,0,274,7,481,0,25,2,372,0,65,71,499,0,8,1,487,0,19,2,0,2,5,13,43,103,342,0,2,10,22,69,127,278,0,4,148,217,102,37,0,0,7,20,89,392,0,0,40,99,155,214,369,3,106,30,369,28,10,101,369,28,12,99,0,1,265,242,266,1,146,95,362,1,21,12,34,0,5,3,70,97,0,3,13,15,54,5,35,72,24,1,9,36,11,13,21,99,0,4,201,296,1,6,0,0,0,0,0,508,0,0,0,1,18,91,233,165,1,8,74,139,184,69,33,4.836879432624113,4.991272259487547,2.625,1.7535677916750183,14.330472103004292,4.3167857656515585,2.9020408163265308,1.3209790314772616
GBR,United Kingdom,5,2021-01-01,2021-01-01,439,4,41253.6492520271,3,35858.81893936379,110,439,5384771.3912532935,431,2,5,432,2,50,387,2,18,419,1,69,369,2,109,328,1,77,361,2,33,404,2,10,427,2,18,419,2,6,431,2,17,420,1,73,365,2,20,417,0,53,386,434,1,3,1,389,4,18,28,421,1,6,11,370,3,30,36,330,2,37,70,362,2,26,49,406,2,14,17,429,0,6,4,421,1,9,8,433,0,6,0,422,0,6,11,366,3,27,43,419,2,9,9,386,1,24,28,0,0,55,384,384,0,13,42,0,3,175,261,264,2,47,126,392,4,40,3,392,0,2,45,0,437,1,1,0,52,6,15,366,439,0,0,0,0,0,0,0,321,83,26,9,0,11,139,274,15,0,10,226,191,12,0,8,219,187,25,0,7,177,223,32,0,13,68,248,110,0,424,6,5,4,424,7,4,4,424,8,3,4,424,10,2,3,424,9,0,6,424,8,2,5,4,27,5,403,4,28,2,405,4,29,25,381,4,27,12,396,4,27,43,365,4,27,37,371,4,28,24,383,350,7,2,80,350,9,0,80,350,9,1,79,350,7,11,71,350,7,22,60,0,3,76,360,0,3,261,175,0,5,32,402,0,3,111,325,0,4,5,430,0,3,19,417,0,1,98,340,341,1,82,10,0,5,0,1,4,16,135,283,0,6,432,1,0,4,55,380,0,0,272,74,43,7,8,35,0,1,198,118,89,33,0,2,205,192,26,14,0,0,287,150,2,0,5,200,231,3,363,2,66,8,178,2,253,6,407,1,29,2,328,2,43,66,434,1,2,2,420,1,16,2,0,1,2,11,33,63,329,0,0,7,19,44,121,248,0,6,111,179,101,42,0,0,1,20,66,352,0,0,18,61,134,226,360,5,58,16,360,28,5,46,360,24,9,46,0,1,165,273,166,1,118,154,321,3,13,3,28,1,5,7,58,156,0,1,19,14,32,3,12,46,17,1,7,23,14,5,16,73,0,8,176,252,0,3,0,0,0,0,0,0,439,0,0,6,16,79,188,150,6,6,92,128,132,58,17,4.9330143540669855,4.3550712045738535,2.08,1.6640251175498326,14.401985111662531,4.638385809222932,2.383693045563549,1.1691231024273725
GBR,United Kingdom,6,2021-01-01,2021-01-01,253,1,14856.556273664199,1,14856.556273664199,59,252,5875512.272860738,245,2,2,249,1,32,220,1,7,245,1,29,223,1,61,191,1,36,216,1,12,240,2,6,245,1,5,247,1,1,251,2,10,241,2,21,230,3,10,240,2,17,234,251,0,2,0,221,1,8,23,246,1,2,4,224,1,10,18,192,2,19,40,217,2,9,25,241,0,7,5,247,1,1,4,248,0,1,4,252,0,1,0,243,0,7,3,232,0,8,13,243,0,4,6,236,2,4,11,0,1,29,223,224,0,4,25,0,5,66,182,187,1,16,49,237,1,14,1,237,0,0,16,0,253,0,0,0,22,3,8,220,253,0,0,0,0,0,0,0,210,31,6,6,0,8,92,138,15,0,11,135,95,12,0,14,126,102,11,0,12,113,115,13,0,17,43,134,59,0,245,5,2,1,245,2,6,0,245,6,2,0,245,7,0,1,245,7,0,1,245,7,1,0,5,18,3,227,5,18,2,228,5,16,11,221,5,17,9,222,5,16,27,205,5,16,23,209,5,15,20,213,205,5,2,41,205,6,1,41,205,6,0,42,205,5,6,37,205,2,13,33,0,5,25,223,0,1,123,129,0,3,17,233,0,3,62,188,0,3,3,247,0,2,16,235,0,0,42,211,211,0,40,1,1,0,0,0,2,10,79,162,0,1,252,0,0,4,17,232,0,0,158,33,28,6,3,25,0,0,136,78,32,7,0,3,134,100,10,6,0,2,202,49,0,0,2,184,66,1,228,0,14,11,130,0,121,2,236,0,16,1,191,1,30,31,250,0,3,0,237,0,16,0,0,0,2,2,18,38,193,0,1,0,9,26,50,167,0,0,66,95,59,33,0,0,3,5,30,215,0,1,2,13,55,182,238,2,11,2,238,7,1,7,238,7,2,6,0,3,30,220,33,1,50,169,203,1,7,1,10,2,1,1,27,173,0,2,4,5,11,1,4,13,5,0,2,7,3,4,3,16,0,7,108,138,0,0,0,0,0,0,0,0,0,253,0,6,15,47,95,90,6,8,84,71,50,25,9,4.918367346938775,4.019728332072337,2.25,1.7003835884370582,14.964479638009049,4.298648659308459,1.9914529914529915,0.976071890124177
GBR,United Kingdom,-99,2021-01-02,2021-01-01,100,0,0,0,0,21,82,1573917.9378643224,0,4,2,94,2,11,87,3,5,92,3,25,72,3,27,70,4,20,76,4,12,84,4,4,92,4,8,88,3,3,94,4,5,91,3,29,68,5,10,85,2,20,78,98,0,2,0,89,0,2,9,95,1,1,3,75,0,4,21,73,2,9,16,80,2,4,14,88,2,3,7,96,1,2,1,92,0,5,3,97,0,1,2,95,1,2,2,71,3,8,18,90,0,5,5,80,0,7,13,18,0,7,75,94,0,0,6,20,3,27,50,73,1,7,19,93,0,6,1,93,0,0,7,0,100,0,0,0,32,5,1,62,100,0,0,0,0,0,23,0,48,15,11,3,34,1,32,30,3,34,3,36,22,5,34,2,32,27,5,34,3,29,27,7,34,6,12,29,19,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,47,3,1,49,47,3,1,49,47,3,1,49,47,3,4,46,47,3,3,47,47,3,6,44,47,3,4,46,89,2,1,8,89,2,1,8,89,2,1,8,89,2,0,9,89,2,2,7,51,0,13,36,51,0,28,21,51,0,3,46,51,1,19,29,51,1,1,47,51,2,3,44,57,0,12,31,88,0,9,2,0,1,59,0,0,3,16,22,59,0,41,0,71,0,3,26,71,0,13,9,3,0,0,4,71,0,15,8,5,1,73,1,9,13,3,1,75,0,16,9,0,77,0,13,10,0,87,0,10,3,73,0,26,1,98,0,2,0,82,0,6,12,99,0,0,1,97,0,3,0,79,0,2,1,1,6,11,79,0,0,2,4,5,10,80,0,7,6,5,2,80,0,2,0,4,14,80,0,1,4,5,10,96,0,3,1,96,1,0,3,96,1,0,3,84,0,2,14,86,0,11,3,100,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.980392156862745,4.696765678968587,4.5,2.516611478423583,0,0,0,0
GBR,United Kingdom,1,2021-01-02,2021-01-01,100,0,0,0,0,49,100,1413735.6414983645,97,0,0,100,0,8,92,0,2,98,0,34,66,0,37,63,0,24,76,0,12,88,0,3,97,0,8,92,1,0,99,0,13,87,0,28,72,0,6,94,0,22,78,100,0,0,0,92,0,4,4,98,0,0,2,66,0,6,28,63,0,9,28,76,0,2,22,88,0,7,5,97,0,0,3,92,0,4,4,100,0,0,0,87,0,6,7,72,0,5,23,94,0,3,3,78,0,6,16,0,0,16,84,84,0,4,12,0,0,59,41,41,0,12,47,88,0,12,0,88,0,2,10,0,98,0,2,0,12,0,5,83,100,0,0,0,0,0,0,0,59,22,13,6,0,0,41,53,6,0,0,49,47,4,0,0,51,41,8,0,0,37,50,13,0,0,10,54,36,0,95,0,1,4,95,0,1,4,95,0,1,4,95,0,2,3,95,0,2,3,95,0,2,3,2,0,0,98,2,0,0,98,2,0,6,92,2,0,4,94,2,0,4,94,2,1,12,85,2,0,9,89,78,0,0,22,78,0,0,22,78,0,0,22,78,0,3,19,78,0,8,14,0,0,17,83,0,0,57,43,0,0,7,93,0,0,46,54,0,0,4,96,0,0,14,86,0,0,38,62,62,0,30,6,2,0,0,1,2,5,44,48,0,1,99,0,0,1,6,93,0,0,60,29,5,0,1,5,0,0,38,25,31,6,0,1,36,52,9,2,0,0,10,88,2,0,0,11,85,4,83,0,15,2,43,0,56,1,93,0,6,1,54,0,13,33,96,0,1,3,86,0,13,1,0,2,3,14,24,31,26,0,0,5,13,35,25,22,0,4,31,34,23,8,0,0,5,7,28,60,0,0,12,19,39,30,69,0,25,6,69,2,2,27,69,2,5,24,0,0,33,67,33,0,38,29,62,0,15,2,12,1,0,3,5,29,0,1,6,1,3,0,2,4,3,0,3,5,0,5,0,38,0,1,27,69,2,1,0,0,100,0,0,0,0,0,0,2,3,29,51,15,2,0,14,24,32,18,10,3.664179104477612,3.604908332904967,3.2,2.177810171446801,13.750000000000002,3.844862420551226,3.2526315789473683,1.3043986227673148
GBR,United Kingdom,2,2021-01-02,2021-01-01,100,0,0,0,0,24,100,1197799.7153355647,96,0,0,100,0,3,97,0,1,99,0,30,70,0,36,64,0,21,79,0,14,86,0,1,99,0,14,86,0,2,98,0,6,94,0,32,68,0,5,95,0,11,89,100,0,0,0,97,0,3,0,99,0,1,0,70,0,6,24,64,0,12,24,79,0,4,17,86,0,8,6,99,0,1,0,86,0,11,3,98,0,2,0,94,0,5,1,68,0,12,20,95,0,1,4,89,0,2,9,0,0,12,88,88,0,6,6,0,0,46,54,54,2,10,34,90,1,8,1,90,0,0,10,0,100,0,0,0,12,1,5,82,100,0,0,0,0,0,0,0,50,30,14,6,0,0,43,50,7,0,0,50,43,7,0,1,45,43,11,0,1,29,49,21,0,1,9,57,33,0,95,1,1,3,95,0,1,4,95,1,1,3,95,0,2,3,95,1,0,4,95,1,0,4,11,1,0,88,11,1,0,88,11,1,4,84,11,1,4,84,11,2,4,83,11,1,6,82,11,1,5,83,84,0,1,15,84,0,0,16,84,0,0,16,84,0,4,12,84,0,7,9,0,0,12,88,0,0,51,49,0,0,7,93,0,0,29,71,0,0,0,100,0,0,5,95,0,0,26,74,74,0,24,0,1,1,0,0,1,5,36,58,0,0,100,0,0,0,8,92,0,0,64,19,8,1,3,5,0,0,46,28,25,1,0,0,33,56,9,2,0,0,24,75,1,0,0,23,77,0,88,0,11,1,49,0,50,1,93,0,6,1,71,0,8,21,100,0,0,0,95,0,5,0,0,1,0,0,23,19,57,0,1,2,6,19,32,40,0,2,19,60,17,2,0,1,0,8,29,62,0,1,9,24,30,36,67,2,24,7,67,3,2,28,67,4,1,28,0,1,42,57,43,0,38,19,62,0,10,2,6,1,1,2,16,20,1,0,7,3,6,1,7,9,3,0,5,4,4,2,0,28,0,2,33,63,1,1,0,0,0,100,0,0,0,0,0,3,4,34,40,19,3,2,23,26,33,12,1,3.5555555555555554,3.430309765838318,2,0.9534625892455924,14.538461538461538,4.917785618000787,3.1428571428571432,1.4800257398019099
