ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
ECU,Ecuador,-99,2021-01-01,2021-01-01,221,3,60779.3116953692,1,13416.4271681792,84,180,3410297.236171677,0,11,9,201,11,35,175,12,7,202,13,42,166,9,49,163,12,41,168,11,41,169,10,13,198,13,23,185,10,7,204,12,26,183,11,59,151,13,7,201,11,61,149,212,0,6,3,186,2,17,16,214,0,2,5,179,1,22,19,172,1,25,23,180,2,24,15,180,3,21,17,208,2,6,5,198,0,15,8,214,0,5,2,195,2,15,9,162,2,36,21,214,0,6,1,160,3,30,28,40,1,40,140,186,0,14,21,48,4,66,103,156,1,17,47,204,4,12,1,204,11,5,1,211,0,7,3,0,72,5,38,106,221,0,0,0,0,61,2,57,58,18,25,81,9,66,26,39,81,17,68,35,20,81,13,72,30,25,81,16,58,38,28,81,16,20,22,82,187,10,12,12,187,12,9,13,187,7,17,10,187,13,11,10,187,14,6,14,187,14,6,14,102,15,12,92,102,14,10,95,102,14,15,90,102,14,18,87,102,14,40,65,102,11,54,54,102,11,26,82,160,7,11,43,160,8,12,41,160,7,11,43,160,6,28,27,160,7,19,35,126,6,31,58,126,6,69,20,126,6,45,44,126,6,49,40,126,6,21,68,126,5,30,60,134,1,45,41,176,1,23,13,4,4,142,1,2,13,24,39,142,3,73,3,153,0,18,50,153,0,62,0,2,1,0,3,153,0,22,21,8,17,157,3,23,26,7,5,221,221,193,2,22,4,156,2,61,2,178,1,38,4,175,2,35,9,202,2,10,7,193,2,26,0,170,0,1,2,8,13,27,170,0,0,3,8,18,22,178,0,24,13,2,4,178,0,9,12,13,9,178,0,19,12,9,3,194,1,22,4,194,3,15,9,194,2,19,6,186,0,10,25,196,0,15,10,214,0,2,0,2,1,1,1,0,205,1,2,2,0,2,0,0,1,1,0,2,1,0,0,0,4,221,0,0,0,0,0,221,0,0,0,0,0,0,0,0,221,0,0,0,0,221,0,0,0,0,0,0,2.910891089108911,2.0692946136352366,2.433333333333333,1.6120950886075684,0,0,0,0
ECU,Ecuador,2,2021-01-01,2021-01-01,129,0,0,0,0,50,129,1529963.8947205772,126,1,0,128,2,15,112,1,5,123,1,25,103,1,35,93,1,20,108,1,27,101,1,5,123,1,12,116,1,5,123,1,23,105,1,35,93,1,6,122,1,29,99,129,0,0,0,114,1,10,4,124,1,3,1,104,2,14,9,94,2,14,19,109,1,10,9,102,1,13,13,124,2,3,0,117,1,8,3,124,0,4,1,106,2,13,8,94,2,15,18,123,0,6,0,100,1,19,9,0,0,20,109,109,0,10,10,0,1,60,68,69,0,19,41,110,2,17,0,110,13,6,0,116,0,4,9,0,20,1,19,89,129,0,0,0,0,0,0,42,53,23,11,0,3,55,50,21,0,4,72,33,20,0,2,69,31,27,0,3,43,49,34,0,3,6,20,100,110,7,4,8,110,6,5,8,110,2,10,7,110,5,3,11,110,7,2,10,110,6,5,8,1,4,4,120,1,4,4,120,1,3,10,115,1,2,13,113,1,4,31,93,1,4,50,74,1,4,7,117,69,3,9,48,69,1,20,39,69,3,13,44,69,2,30,28,69,3,18,39,0,1,65,63,0,1,101,27,0,3,63,63,0,2,96,31,0,3,20,106,0,2,53,74,0,0,92,37,37,0,52,23,10,7,0,1,3,9,60,56,0,1,128,0,0,3,25,101,0,0,110,12,3,0,0,4,0,0,19,39,52,19,0,0,32,68,23,6,129,129,64,0,58,7,28,0,99,2,66,0,61,2,33,0,64,32,109,0,15,5,76,0,53,0,0,1,0,3,18,27,80,0,0,0,5,22,34,68,0,1,68,39,17,4,0,0,25,38,35,31,0,0,49,43,27,10,37,3,81,8,37,11,36,45,37,9,46,37,0,0,78,51,78,0,18,33,111,0,3,2,8,2,0,3,0,33,1,6,9,5,6,1,1,7,10,0,5,7,6,3,5,24,0,1,68,60,0,0,0,0,0,129,0,0,0,0,0,1,2,108,10,8,1,0,26,38,41,18,5,2.8488372093023258,2.0779936129690957,2.5789473684210527,1.538967528127731,11.35483870967742,6.745300741078568,3.857142857142857,1.7004201161561725
ECU,Ecuador,3,2021-01-01,2021-01-01,107,0,0,0,0,34,107,1239905.8912916952,104,2,0,105,0,10,97,1,4,102,2,18,87,1,20,86,1,8,98,0,7,100,2,4,101,1,5,101,1,1,105,0,7,100,2,23,82,1,2,104,1,21,85,107,0,0,0,97,0,4,6,103,0,1,3,89,1,6,11,87,0,9,11,99,0,4,4,100,0,4,3,103,0,2,2,102,1,3,1,106,0,1,0,100,0,5,2,84,0,14,9,105,0,1,1,86,1,10,10,0,0,16,91,91,0,5,11,0,1,60,46,47,0,16,44,91,1,15,0,91,11,5,0,96,0,6,5,0,17,2,11,77,107,0,0,0,0,0,1,41,28,22,15,0,5,47,26,29,0,10,54,26,17,0,8,49,27,23,0,7,38,36,26,0,10,7,20,70,96,7,1,3,96,7,1,3,96,3,5,3,96,6,4,1,96,7,1,3,96,7,1,3,1,8,1,97,1,8,0,98,1,6,5,95,1,8,10,88,1,8,18,80,1,8,28,70,1,8,5,93,65,6,7,29,65,5,5,32,65,6,3,33,65,4,19,19,65,4,13,25,0,3,41,63,0,2,85,20,0,3,57,47,0,4,59,44,0,2,18,87,0,0,29,78,0,2,70,35,37,0,48,9,8,5,0,0,1,10,34,62,0,0,107,0,0,2,20,85,0,0,94,6,0,1,0,6,0,0,16,38,34,19,0,0,44,45,15,3,107,107,66,1,40,0,22,2,83,0,50,2,55,0,48,2,40,17,89,2,15,1,78,1,27,1,0,0,0,5,11,28,63,0,1,0,3,16,32,55,0,1,38,48,15,5,0,1,18,21,37,30,0,0,34,36,27,10,37,4,58,8,37,11,30,29,37,9,35,26,0,0,61,46,61,0,23,23,84,2,2,1,3,2,0,0,13,23,0,2,6,5,15,0,7,6,2,0,3,3,6,2,6,21,0,1,54,52,0,0,0,0,0,0,107,0,0,0,0,1,2,84,15,5,1,1,12,29,38,17,9,2.216666666666667,1.5414242441861916,2.1333333333333333,1.3557637102737474,12.640776699029127,5.5868444370121235,3.805825242718447,1.7210248453116788
ECU,Ecuador,-99,2021-01-02,2021-01-01,100,0,0,0,0,40,83,1470147.2838538787,0,4,4,92,4,11,85,4,0,96,5,20,75,5,17,78,3,12,85,2,15,83,4,8,88,3,13,84,3,3,94,5,16,79,3,29,68,4,3,93,2,28,70,96,0,4,0,89,0,5,6,100,0,0,0,80,0,8,12,83,0,6,11,88,1,6,5,85,1,8,6,92,2,3,3,87,0,6,7,97,0,2,1,84,2,8,6,71,0,15,14,97,0,3,0,72,1,16,11,17,0,19,64,83,0,5,12,20,0,36,44,65,1,11,23,89,1,10,0,89,7,4,0,93,0,5,2,0,34,3,12,51,100,0,0,0,0,29,0,27,28,6,10,40,2,35,10,13,40,3,34,14,9,40,2,29,16,13,40,2,30,15,13,40,2,8,9,41,90,2,4,4,90,3,3,4,90,1,4,5,90,3,3,4,90,3,3,4,90,3,2,5,48,6,3,43,48,5,3,44,48,5,6,41,48,6,7,39,48,6,17,29,48,2,27,23,48,3,12,37,70,3,6,21,70,4,7,19,70,3,5,22,70,3,14,13,70,4,10,16,62,1,16,21,62,2,28,8,62,2,20,16,62,2,22,14,62,2,9,27,62,1,16,21,66,0,17,17,83,1,7,6,0,3,67,1,0,3,10,19,67,1,31,1,71,0,10,19,71,0,26,0,2,0,0,1,71,0,6,7,3,13,72,2,9,11,4,2,100,100,85,1,12,2,73,1,25,1,81,1,17,1,79,2,16,3,91,2,4,3,85,1,14,0,79,0,1,1,2,3,14,79,0,0,1,3,6,11,83,0,9,5,2,1,83,0,2,7,4,4,83,0,9,5,1,2,90,0,7,3,90,0,5,5,90,0,7,3,87,0,2,11,89,0,4,7,98,0,0,0,1,0,1,0,0,96,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.5813953488372094,1.7624733451484604,2.3333333333333335,1.4960264830861913,0,0,0,0
ECU,Ecuador,2,2021-01-02,2021-01-01,100,0,0,0,0,36,100,1218614.1400770398,97,1,0,99,2,12,86,1,5,94,1,17,82,1,27,72,1,17,82,1,24,75,1,5,94,1,11,88,1,4,95,1,17,82,1,29,70,1,5,94,1,23,76,100,0,0,0,88,1,9,2,95,1,3,1,83,2,10,5,73,2,12,13,83,1,9,7,76,1,12,11,95,2,3,0,89,1,7,3,96,0,3,1,83,2,10,5,71,1,13,15,95,0,5,0,77,1,15,7,0,0,15,85,85,0,8,7,0,1,45,54,55,0,13,32,87,2,11,0,87,7,6,0,93,0,2,5,0,14,0,15,71,100,0,0,0,0,0,0,32,46,12,10,0,3,42,37,18,0,4,57,25,14,0,2,55,22,21,0,3,33,38,26,0,3,4,16,77,85,5,4,6,85,4,4,7,85,2,8,5,85,4,3,8,85,5,2,8,85,5,3,7,1,3,4,92,1,3,3,93,1,2,9,88,1,1,8,90,1,3,25,71,1,3,35,61,1,3,6,90,57,2,6,35,57,1,13,29,57,2,10,31,57,1,21,21,57,2,11,30,0,1,50,49,0,1,78,21,0,3,46,51,0,2,75,23,0,3,16,81,0,2,42,56,0,0,72,28,28,0,40,16,10,6,0,1,3,9,45,42,0,1,99,0,0,2,20,78,0,0,85,11,2,0,0,2,0,0,15,30,42,13,0,0,24,52,19,5,100,100,50,0,44,6,22,0,76,2,54,0,45,1,25,0,49,26,84,0,12,4,58,0,42,0,0,1,0,1,16,22,60,0,0,0,3,17,28,52,0,1,50,32,14,3,0,0,20,28,29,23,0,0,38,31,22,9,31,2,61,6,31,10,27,32,31,8,34,27,0,0,63,37,63,0,13,24,87,0,1,2,5,2,0,3,0,24,1,4,7,4,5,1,0,6,6,0,4,6,4,2,4,22,0,1,54,45,0,0,0,0,0,100,0,0,0,0,0,1,1,84,9,5,1,0,21,26,34,15,3,2.8333333333333335,2.0798175462383774,2.4,1.5946338585572373,11.104166666666666,6.676713920180333,3.86734693877551,1.7623657664876038
ECU,Ecuador,3,2021-01-02,2021-01-01,100,0,0,0,0,34,100,1157447.5575712572,97,2,0,98,0,9,91,1,4,95,2,16,82,1,19,80,1,8,91,0,6,94,2,3,95,1,4,95,1,1,98,0,6,94,2,20,78,1,2,97,1,20,79,100,0,0,0,91,0,4,5,96,0,1,3,84,1,5,10,81,0,9,10,92,0,4,4,94,0,3,3,97,0,1,2,96,1,3,0,99,0,1,0,94,0,4,2,80,0,11,9,98,0,1,1,80,1,9,10,0,0,16,84,84,0,5,11,0,1,58,41,42,0,14,44,86,1,13,0,86,10,4,0,90,0,5,5,0,15,2,11,72,100,0,0,0,0,0,1,38,28,19,14,0,5,45,23,27,0,10,51,23,16,0,8,46,25,21,0,7,36,36,21,0,10,6,20,64,89,7,1,3,89,7,1,3,89,3,5,3,89,6,4,1,89,7,1,3,89,7,1,3,1,7,1,91,1,7,0,92,1,5,4,90,1,7,10,82,1,7,17,75,1,7,25,67,1,7,5,87,61,6,6,27,61,5,5,29,61,6,3,30,61,4,19,16,61,4,13,22,0,3,36,61,0,2,78,20,0,3,52,45,0,3,56,41,0,2,16,82,0,0,29,71,0,2,64,34,36,0,43,8,8,5,0,0,0,9,33,58,0,0,100,0,0,2,20,78,0,0,88,6,0,1,0,5,0,0,14,36,31,19,0,0,43,40,14,3,100,100,64,1,35,0,22,2,76,0,48,2,50,0,44,2,38,16,84,2,13,1,71,1,27,1,0,0,0,5,10,25,60,0,1,0,3,15,29,52,0,1,35,46,13,5,0,1,16,21,35,27,0,0,32,32,26,10,36,3,54,7,36,11,29,24,36,8,34,22,0,0,56,44,56,0,23,21,77,2,2,1,3,2,0,0,13,21,0,2,6,5,14,0,6,6,1,0,3,2,6,2,6,20,0,1,49,50,0,0,0,0,0,0,100,0,0,0,0,1,1,81,13,4,1,0,12,27,36,16,8,2.1454545454545455,1.3799917044595247,2.1333333333333333,1.3557637102737474,12.659793814432991,5.497890879574761,3.8247422680412377,1.7078880066617275
ECU,Ecuador,-99,2021-01-03,2021-01-03,262,5,22857.189812762677,1,4334.02380074397,54,198,2928314.524692611,0,6,14,242,6,44,212,4,14,244,6,49,207,6,59,197,4,48,210,5,54,203,9,20,233,9,20,233,4,14,244,6,29,227,5,66,191,5,21,236,7,69,186,248,1,7,6,218,4,24,16,248,2,7,5,213,4,24,21,203,6,38,15,214,2,27,19,208,5,33,16,242,2,11,7,242,1,13,6,248,1,9,4,233,1,17,11,196,7,38,21,241,2,10,9,193,4,43,22,64,0,31,167,239,0,7,16,77,7,73,105,190,3,15,54,247,3,11,1,247,5,10,0,257,0,3,2,0,103,5,36,118,262,0,0,0,0,93,3,52,56,32,26,122,14,60,35,31,122,15,70,31,24,122,14,73,30,23,122,16,57,35,32,122,23,21,22,74,231,13,6,12,231,11,7,13,231,6,15,10,231,12,9,10,231,11,5,15,231,13,7,11,262,0,0,0,262,0,0,0,262,0,0,0,262,0,0,0,262,0,0,0,262,0,0,0,262,0,0,0,262,0,0,0,262,0,0,0,262,0,0,0,262,0,0,0,262,0,0,0,133,3,40,86,133,1,82,46,133,7,44,78,133,4,63,62,133,5,28,96,133,3,41,85,147,1,68,46,194,0,43,10,7,8,159,3,3,10,47,40,159,5,98,0,172,3,16,71,172,0,71,10,1,1,0,7,172,1,25,30,20,14,179,2,37,34,8,2,262,262,223,3,36,0,186,4,70,2,222,4,36,0,203,4,39,16,235,1,18,8,223,5,33,1,196,2,0,3,4,17,40,196,2,2,1,7,15,39,209,1,26,15,6,5,209,0,11,13,18,11,209,0,18,23,5,7,225,3,31,3,225,9,17,11,225,7,20,10,221,1,12,28,234,0,19,9,254,1,1,0,0,1,0,0,5,244,1,1,3,1,3,0,0,1,0,0,1,0,0,1,1,5,262,0,0,0,0,0,262,0,0,0,0,0,0,0,0,262,0,0,0,0,262,0,0,0,0,0,0,2.835294117647059,1.9630337237450162,2.533333333333333,1.4074631010979937,0,0,0,0
ECU,Ecuador,1,2021-01-03,2021-01-03,198,5,24842.68384181243,1,4214.493089750999,90,197,1463483.529632225,186,1,9,188,1,31,166,1,10,187,1,49,148,1,56,141,1,22,175,1,37,160,1,19,178,1,17,180,1,10,187,1,34,163,1,63,134,1,11,186,2,52,144,189,2,7,0,167,2,20,9,188,1,6,3,149,2,21,26,142,2,27,27,176,1,10,11,161,0,21,16,179,1,13,5,181,1,11,5,188,0,10,0,164,1,20,13,135,2,32,29,187,0,8,3,146,2,28,22,0,1,37,160,161,0,13,24,0,1,53,144,145,0,18,35,180,0,17,1,180,12,6,0,186,0,6,5,1,19,3,42,134,198,0,0,0,0,0,1,70,72,39,16,0,5,89,73,31,0,5,92,72,29,0,2,108,53,35,0,5,62,75,56,0,5,12,41,140,156,10,8,24,156,9,13,20,156,3,27,12,156,10,12,20,156,10,7,25,156,9,10,23,198,0,0,0,198,0,0,0,198,0,0,0,198,0,0,0,198,0,0,0,198,0,0,0,198,0,0,0,198,0,0,0,198,0,0,0,198,0,0,0,198,0,0,0,198,0,0,0,0,4,53,141,0,3,139,56,0,3,86,109,0,6,127,65,0,4,42,152,0,3,80,115,0,1,129,68,69,1,92,22,9,5,0,3,5,46,81,63,0,3,192,3,0,4,28,166,0,1,156,26,4,2,2,7,0,1,29,69,89,10,0,1,48,106,33,10,198,198,145,2,47,4,59,2,135,2,112,2,80,4,71,3,85,39,156,2,33,7,118,3,77,0,0,1,4,12,29,62,90,0,1,9,22,36,64,66,0,5,105,62,16,10,0,1,45,67,51,34,0,1,96,55,37,9,47,3,136,12,47,12,59,80,47,12,73,66,0,0,77,121,77,2,26,93,172,1,6,0,6,5,1,0,7,95,0,11,10,2,3,2,1,7,3,0,7,1,2,4,1,49,0,2,82,111,0,3,0,0,198,0,0,0,0,0,0,10,4,129,30,25,10,3,20,42,80,33,10,2.6853146853146854,1.7857794306474883,2.4135135135135135,1.5416733625371999,9.590909090909092,5.886811144800337,3.748633879781421,1.8102837469138255
ECU,Ecuador,2,2021-01-03,2021-01-03,202,4,28383.10201935904,1,9291.27590143942,74,202,1584067.1559890097,195,0,6,196,0,32,170,2,11,189,2,36,164,3,56,143,1,38,163,3,37,162,2,10,190,0,27,175,2,9,191,1,31,170,0,58,144,1,9,192,0,56,146,196,0,6,0,170,1,19,12,191,0,7,4,166,0,18,18,146,0,31,25,164,0,22,16,165,0,23,14,192,0,8,2,175,0,19,8,193,0,8,1,171,0,15,16,144,0,31,27,193,0,6,3,146,1,33,22,0,0,31,171,171,0,13,18,0,1,89,112,113,0,28,61,174,4,21,3,174,18,10,0,184,0,13,5,0,29,1,51,121,202,0,0,0,0,0,0,62,81,40,19,0,4,86,77,35,0,9,109,63,21,0,6,107,59,30,0,7,76,71,48,0,8,19,34,141,151,12,11,28,151,12,12,27,151,5,30,16,151,12,15,24,151,15,10,26,151,13,15,23,202,0,0,0,202,0,0,0,202,0,0,0,202,0,0,0,202,0,0,0,202,0,0,0,202,0,0,0,202,0,0,0,202,0,0,0,202,0,0,0,202,0,0,0,202,0,0,0,0,2,75,125,0,1,132,69,0,4,91,107,0,4,113,85,0,3,37,162,0,0,71,131,0,1,121,80,81,0,75,34,5,7,0,0,3,32,100,67,0,0,202,0,0,0,34,168,0,0,166,23,3,2,1,7,0,0,35,71,79,17,0,1,55,104,35,7,202,202,127,2,68,5,70,2,127,3,111,2,87,2,89,3,71,39,165,0,27,10,131,1,68,2,0,1,7,5,34,60,95,0,0,3,11,35,60,93,0,2,97,80,15,8,0,0,47,73,48,34,0,0,88,70,29,15,44,5,135,18,44,17,79,62,44,16,89,53,0,1,111,90,112,0,54,36,148,1,12,0,7,12,3,2,17,37,1,6,14,12,14,1,2,14,8,0,16,16,9,4,5,43,0,2,100,97,1,2,0,0,0,202,0,0,0,0,0,4,2,146,24,26,4,2,37,58,61,28,12,2.661764705882353,1.862776057534259,2.5357142857142856,1.7316689200529205,11.444444444444445,6.922314621303488,3.5608465608465614,1.8021120359625207
ECU,Ecuador,3,2021-01-03,2021-01-03,185,2,21031.94233322327,2,21031.94233322327,80,185,1372622.924774055,180,0,5,180,0,26,159,0,4,181,0,27,158,0,35,150,0,27,158,0,32,153,0,9,176,0,11,174,0,5,180,0,13,172,1,32,152,0,5,180,0,43,142,180,0,4,1,159,0,14,12,181,0,3,1,158,2,16,9,150,2,12,21,158,2,13,12,153,1,15,16,176,0,4,5,174,0,8,3,180,0,4,1,172,1,5,7,153,0,17,15,180,1,1,3,142,2,25,16,0,0,32,153,153,0,12,20,0,1,99,85,86,0,23,76,162,4,18,1,162,17,6,0,168,0,8,9,0,24,2,22,137,185,0,0,0,0,0,0,69,60,31,25,0,6,82,47,50,0,9,93,45,38,0,7,98,33,47,0,10,61,53,61,0,9,14,25,137,163,10,6,6,163,10,7,5,163,4,11,7,163,10,5,7,163,11,2,9,163,10,4,8,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,185,0,0,0,0,0,58,127,0,1,127,57,0,1,70,114,0,1,94,90,0,1,23,161,0,0,44,141,0,0,100,85,85,0,58,28,10,4,0,0,2,27,65,91,0,0,183,2,0,0,27,158,0,0,169,6,1,0,0,9,0,0,41,53,58,33,0,1,81,79,19,5,185,185,127,0,57,1,58,1,125,1,115,1,69,0,91,1,70,23,162,1,19,3,141,1,41,2,0,2,2,2,18,37,124,0,0,2,2,15,55,111,0,0,86,65,22,12,0,0,36,58,52,39,0,0,67,70,34,14,48,3,117,17,48,24,69,44,48,23,73,41,0,1,110,74,111,0,39,35,146,1,12,0,12,4,0,1,9,36,0,12,14,6,13,4,6,7,6,0,11,12,8,3,6,41,0,0,102,82,0,1,0,0,0,0,185,0,0,0,0,4,2,150,13,16,4,1,22,58,76,19,5,2.6736842105263157,2.0182260235649645,2.6,1.868061875959625,12.75,6.4321773162695814,3.6022727272727266,1.6145040652235525
