ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
FRA,France,-99,2021-01-01,2021-01-01,1092,3,23231.53418587627,3,23231.53418587627,95,944,14268679.91518094,0,14,11,1067,13,100,979,13,27,1052,15,221,856,9,212,871,12,99,981,13,71,1008,13,29,1050,16,43,1033,12,15,1065,11,40,1041,10,138,944,15,55,1022,12,199,881,1081,0,6,5,992,6,35,59,1065,1,9,17,871,7,62,152,880,8,76,128,993,5,46,48,1021,3,31,37,1063,0,8,21,1049,0,13,30,1077,0,8,7,1052,0,16,24,954,6,47,85,1037,5,23,27,893,10,81,108,143,5,60,884,1042,0,25,25,177,25,410,480,686,8,143,255,949,10,133,0,949,2,139,2,1090,0,2,361,17,83,631,1092,0,0,0,0,0,229,5,213,241,226,178,321,56,151,367,197,321,52,296,272,151,321,63,217,308,183,321,64,211,311,185,321,81,86,287,317,0,1018,15,7,52,1018,13,20,41,1018,16,11,47,1018,15,22,37,1018,14,11,49,1018,15,13,46,400,60,5,627,400,62,5,625,400,58,47,587,400,62,24,606,400,62,101,529,400,63,134,495,400,64,70,558,901,13,6,172,901,15,5,171,901,15,4,172,901,12,14,165,901,12,18,161,465,18,171,438,465,8,393,226,465,13,178,436,465,11,317,299,465,13,31,583,465,17,76,534,510,6,240,336,852,1,159,51,15,14,530,8,5,35,193,321,530,6,552,4,563,5,43,481,563,0,384,97,22,7,2,17,563,2,204,155,113,55,573,17,152,266,62,22,594,4,162,327,5,641,12,137,294,8,932,4,134,22,716,4,360,12,923,5,156,8,792,6,155,139,1065,3,13,11,1024,1,61,6,668,5,8,13,60,94,244,668,2,6,14,80,93,229,710,4,136,146,67,29,710,0,24,36,59,263,710,0,56,81,91,154,963,12,78,39,963,33,17,79,963,28,34,67,742,6,96,248,844,0,99,149,1056,2,2,0,1,1,1,1,28,978,1,4,12,7,10,3,3,12,9,0,9,4,6,3,10,21,1092,0,0,0,0,0,1092,0,0,0,0,0,0,0,0,1092,0,0,0,0,1092,0,0,0,0,0,0,9.29153605015674,12.355311941336062,1.8048780487804879,1.3080426635840658,0,0,0,0
FRA,France,1,2021-01-01,2021-01-01,155,1,14045.9237324809,0,0,7,155,2321115.8376375088,146,0,2,153,0,10,145,0,3,152,0,52,103,0,46,109,0,8,147,0,9,146,0,4,151,0,6,149,0,1,154,0,6,149,0,26,129,0,8,147,0,27,128,153,0,1,1,145,0,1,9,152,0,1,2,103,0,11,41,109,0,8,38,147,0,1,7,146,0,2,7,151,0,0,4,149,0,3,3,154,0,1,0,149,0,4,2,129,0,10,16,147,0,5,3,128,0,8,19,0,0,6,149,149,1,2,3,0,0,91,64,64,1,26,64,129,2,23,1,129,1,25,0,154,0,1,27,2,17,109,155,0,0,0,0,0,0,2,27,40,48,38,0,0,32,91,32,0,0,56,69,30,0,0,53,63,39,0,0,45,72,38,0,0,9,67,79,0,138,1,1,15,138,1,3,13,138,0,3,14,138,1,10,6,138,1,1,15,138,1,5,11,3,1,1,150,3,1,1,150,3,1,7,144,3,1,2,149,3,3,13,136,3,1,26,125,3,1,9,142,121,0,0,34,121,1,2,31,121,0,1,33,121,0,1,33,121,0,3,31,0,1,37,117,0,0,75,80,0,2,47,106,0,0,115,40,0,2,24,129,0,2,33,120,0,0,100,55,55,0,57,24,13,6,0,1,2,32,64,56,0,0,154,1,0,1,13,141,0,0,113,27,7,2,0,6,0,0,27,63,48,17,0,0,31,83,35,6,0,0,12,133,10,0,0,12,130,13,118,0,35,2,80,0,73,2,108,0,46,1,40,0,24,91,131,0,12,12,122,0,32,1,0,3,1,15,40,35,61,0,0,6,22,49,28,50,0,4,53,62,30,6,0,0,14,16,24,101,0,0,22,33,45,55,100,1,32,22,100,5,5,45,100,4,15,36,0,0,70,85,70,0,33,52,122,0,3,0,6,2,1,0,21,52,0,1,24,6,5,1,2,12,8,0,4,2,8,1,3,26,0,1,71,81,1,1,0,0,155,0,0,0,0,0,0,7,1,83,38,26,7,1,42,24,49,21,11,7.8977272727272725,10.845879319982103,1.1666666666666667,0.408248290463863,3.697247706422018,1.888094214319685,2.910958904109589,1.7962460198471484
FRA,France,2,2021-01-01,2021-01-01,309,0,0,0,0,25,309,3799238.902899668,298,0,0,309,0,35,274,0,5,304,0,72,237,0,79,230,0,14,295,0,28,281,0,10,299,0,14,295,0,0,309,0,8,301,0,46,263,0,7,302,0,40,269,309,0,0,0,274,1,11,23,304,0,3,2,237,1,13,58,230,1,20,58,295,0,5,9,281,1,11,16,299,0,6,4,295,1,7,6,309,0,0,0,301,0,4,4,263,0,12,34,302,0,2,5,269,0,14,26,0,0,18,291,291,0,10,8,0,2,150,157,159,0,50,100,259,2,46,2,259,0,50,0,309,0,0,52,1,30,226,309,0,0,0,0,0,0,0,47,91,88,83,0,1,59,183,66,0,2,104,142,61,0,3,77,148,81,0,2,67,147,93,0,2,16,122,169,0,279,4,2,24,279,3,6,21,279,4,0,26,279,2,18,10,279,4,1,25,279,4,3,23,9,1,0,299,9,2,3,295,9,1,22,277,9,1,6,293,9,1,39,260,9,1,53,246,9,2,25,273,228,1,4,76,228,1,4,76,228,1,2,78,228,1,7,73,228,1,13,67,0,2,97,210,0,1,154,154,0,3,90,216,0,1,203,105,0,1,8,300,0,1,28,280,0,0,191,118,118,0,120,54,12,5,0,2,3,38,105,161,0,0,307,2,0,2,34,273,0,0,224,66,7,3,3,6,0,0,60,113,87,49,0,0,59,190,38,22,0,0,28,275,6,0,0,40,260,9,212,0,86,11,155,0,149,5,219,0,86,4,106,0,60,143,301,0,0,8,281,0,27,1,0,6,3,14,52,69,165,0,0,6,19,63,62,159,0,1,83,144,63,18,0,0,28,29,61,191,0,0,57,61,73,118,191,0,84,34,191,4,4,110,191,5,18,95,0,0,197,112,197,0,65,47,244,0,11,3,7,1,0,1,42,47,0,8,26,7,24,7,11,35,27,0,10,26,20,11,6,44,0,7,129,168,3,2,0,0,0,309,0,0,0,0,0,7,7,139,85,71,7,1,98,88,82,25,8,8.307643312101911,11.725391805827357,1.3333333333333333,1.0289915108550531,4.064655172413793,1.8702850355882723,2.8724832214765104,1.5882081918502668
FRA,France,3,2021-01-01,2021-01-01,354,0,0,0,0,20,354,3631966.1949427463,348,0,0,354,0,27,327,0,4,350,0,73,281,0,64,290,0,11,343,0,17,337,0,1,353,0,10,344,0,2,352,0,13,341,0,35,319,0,2,352,0,39,315,354,0,0,0,327,0,12,15,350,0,0,4,281,0,21,52,290,0,11,53,343,0,3,8,337,0,4,13,353,0,0,1,344,0,6,4,352,0,1,1,341,0,6,7,319,0,10,25,352,0,0,2,315,0,16,23,0,0,13,341,341,0,7,6,0,3,185,166,169,2,61,122,293,0,61,0,293,1,60,0,353,1,0,66,0,18,270,354,0,0,0,0,0,0,1,70,106,101,76,0,4,50,227,73,0,2,146,150,56,0,2,98,182,72,0,1,104,177,72,0,0,22,158,174,0,336,0,0,18,336,0,4,14,336,0,2,16,336,0,6,12,336,0,0,18,336,0,0,18,12,7,2,333,12,7,5,330,12,6,17,319,12,7,5,330,12,3,46,293,12,4,66,272,12,4,22,316,264,0,3,87,264,0,3,87,264,0,0,90,264,0,7,83,264,0,9,81,0,1,108,245,0,0,201,153,0,1,100,253,0,0,221,133,0,0,11,343,0,0,28,326,0,0,204,150,150,0,154,29,13,8,0,0,4,19,106,225,0,1,352,1,0,4,27,323,0,0,261,64,15,11,1,2,0,0,94,110,97,53,0,0,85,206,39,24,0,1,40,312,1,0,2,46,305,1,246,0,96,12,153,0,201,0,254,0,97,3,133,0,84,137,343,0,8,3,326,0,28,0,0,3,2,6,64,81,198,0,1,3,18,65,76,191,0,5,110,153,61,25,0,0,18,29,72,235,0,0,53,83,99,119,218,1,99,36,218,13,20,103,218,11,30,95,0,0,237,117,237,0,70,47,284,0,5,2,10,0,1,1,51,47,0,8,27,11,35,2,32,30,22,0,7,32,31,6,17,47,0,8,146,194,1,5,0,0,0,0,354,0,0,0,0,5,5,136,96,112,5,5,44,100,123,56,21,9.606164383561644,15.463774007851224,1.5384615384615385,0.8770580193070292,4.165354330708661,2.204070182191268,3.253687315634218,1.7202095741107535
FRA,France,4,2021-01-01,2021-01-01,473,1,27561.9521997041,1,27561.9521997041,39,473,5060635.990361493,454,1,2,470,0,27,446,1,2,470,0,70,403,1,71,401,0,20,453,2,22,449,1,9,463,1,6,466,1,3,469,1,8,464,0,50,423,1,5,467,0,67,406,471,0,1,1,446,1,8,18,471,0,1,1,403,1,28,41,402,1,25,45,453,1,9,10,451,0,12,10,464,0,5,4,467,0,4,2,470,0,2,1,465,1,3,4,423,1,13,36,468,0,3,2,406,2,27,38,0,0,19,454,454,0,11,8,0,4,207,262,266,1,63,143,410,3,60,0,410,1,62,0,472,0,1,68,4,37,364,473,0,0,0,0,0,0,1,146,125,118,83,0,10,66,296,101,0,8,196,211,58,0,12,147,236,78,0,15,143,240,75,0,17,44,206,206,0,436,7,4,26,436,6,11,20,436,9,3,25,436,5,13,19,436,10,3,24,436,9,2,26,20,22,4,427,20,24,3,426,20,22,37,394,20,22,13,418,20,23,62,368,20,20,69,364,20,21,54,378,354,2,7,110,354,2,2,115,354,2,2,115,354,1,7,111,354,3,18,98,0,1,159,313,0,0,288,185,0,2,150,321,0,2,249,222,0,2,13,458,0,2,44,427,0,1,217,255,256,0,139,55,10,13,0,0,0,29,170,274,0,1,470,2,0,4,55,414,0,0,364,84,15,3,0,7,0,3,149,148,104,69,0,4,120,271,56,22,0,3,100,366,4,0,4,93,371,5,314,0,135,24,185,0,284,4,323,1,147,2,224,1,113,135,460,0,9,4,429,0,42,2,0,3,2,16,86,98,268,0,0,5,25,95,102,246,0,2,150,200,85,36,0,0,25,51,79,318,0,0,62,103,118,190,308,6,119,40,308,32,17,116,308,25,43,97,0,2,284,187,286,0,91,96,382,2,10,4,11,6,7,1,50,98,0,12,34,18,25,3,14,50,46,0,10,24,41,11,18,69,0,2,194,272,0,5,0,0,0,0,0,473,0,0,0,13,18,161,138,143,13,10,61,122,154,81,32,8.74375,12.165652688857756,2.176470588235294,1.1850788010532811,3.6717325227963524,2.0722815814044355,2.7889908256880735,1.6007090066759697
FRA,France,5,2021-01-01,2021-01-01,397,0,0,0,0,52,396,3483608.440652608,382,0,0,397,0,23,374,0,8,389,0,39,358,0,53,344,0,17,380,0,17,380,0,2,395,0,7,390,0,1,396,0,5,392,0,36,361,0,8,389,1,41,355,397,0,0,0,374,0,5,18,389,0,4,4,358,0,16,23,344,1,19,33,380,0,6,11,380,0,8,9,395,0,2,0,390,1,2,4,396,0,0,1,392,0,4,1,361,0,13,23,389,0,4,4,356,1,19,21,0,1,20,376,377,0,6,14,0,0,189,208,208,4,77,108,320,1,75,1,320,5,72,0,392,0,5,81,6,32,278,397,0,0,0,0,0,0,0,125,124,100,48,0,28,76,210,83,0,15,192,143,47,0,22,135,174,66,0,18,143,169,67,0,28,38,143,188,0,365,7,3,22,365,5,6,21,365,7,4,21,365,6,9,17,365,6,3,23,365,7,2,23,23,21,3,350,23,22,2,350,23,22,19,333,23,22,8,344,23,23,56,295,23,23,57,294,23,21,34,319,312,0,0,85,312,1,0,84,312,0,1,84,312,0,2,83,312,1,5,79,0,3,91,303,0,4,260,133,0,5,112,280,0,2,210,185,0,2,11,384,0,4,30,363,0,1,194,202,203,0,150,27,6,11,0,2,2,17,131,245,0,0,397,0,0,1,37,359,0,0,309,62,13,3,1,9,0,1,131,116,94,55,0,3,117,219,41,17,0,0,120,273,4,0,2,111,282,2,306,0,82,9,137,0,257,3,285,2,104,6,187,0,106,104,386,1,7,3,367,1,25,4,0,0,5,12,56,70,254,0,1,2,11,55,101,227,0,2,137,152,68,38,0,1,13,36,67,280,0,1,37,67,108,184,293,4,73,27,293,31,11,62,293,26,26,52,0,1,169,227,170,0,89,138,308,3,8,0,5,2,5,1,65,139,0,4,17,12,25,4,17,36,17,0,14,16,33,2,13,48,0,8,169,216,1,3,0,0,0,0,0,0,397,0,0,12,14,138,106,127,12,6,75,117,104,56,27,12.447368421052634,15.191457837995525,2.6315789473684212,1.6059101370939324,3.6910569105691056,2.407912403657314,2.2972972972972974,1.4039214314303816
FRA,France,6,2021-01-01,2021-01-01,287,1,13105.1165567305,0,0,16,286,4241754.829716575,275,0,1,286,0,18,269,1,5,281,0,20,267,0,41,246,0,17,270,0,11,276,0,2,285,0,1,286,0,1,286,0,5,282,0,12,275,0,9,278,0,25,262,286,0,0,1,269,0,2,16,282,0,2,3,267,0,5,15,246,0,8,33,270,0,4,13,276,0,3,8,285,0,0,2,286,0,0,1,286,0,1,0,282,0,1,4,275,0,3,9,278,0,2,7,262,1,9,15,0,1,10,276,277,0,3,7,0,4,99,184,188,1,27,71,260,2,25,0,260,0,27,0,287,0,0,32,4,15,236,287,0,0,0,0,0,0,0,115,92,46,34,0,46,56,142,43,0,16,155,88,28,0,37,88,111,51,0,29,101,109,48,0,42,23,105,117,0,272,5,1,9,272,5,5,5,272,6,1,8,272,5,2,8,272,5,1,9,272,6,0,9,20,17,1,249,20,18,3,246,20,17,16,234,20,15,8,244,20,14,45,208,20,14,37,216,20,17,15,235,227,1,1,58,227,2,3,55,227,2,5,53,227,2,6,52,227,2,7,51,0,7,28,252,0,1,208,78,0,4,67,216,0,3,147,137,0,6,7,274,0,4,16,267,0,0,128,159,159,0,96,27,4,1,0,0,5,13,133,136,0,0,287,0,0,1,19,267,0,0,220,39,12,6,1,9,0,3,101,101,55,27,0,2,81,146,34,24,0,1,201,84,1,0,2,163,118,4,259,0,23,5,79,0,202,6,220,0,64,3,140,0,85,62,280,0,4,3,271,0,14,2,0,0,2,5,27,61,192,0,0,2,5,46,56,178,0,2,89,117,56,23,0,1,6,19,49,212,0,0,20,35,85,147,232,6,29,20,232,16,10,29,232,11,21,23,0,1,26,260,27,1,19,240,268,0,0,1,0,0,0,1,17,242,0,2,2,0,3,0,0,8,2,0,3,3,4,1,1,16,0,6,129,150,0,2,0,0,0,0,0,0,0,287,0,9,19,104,75,80,9,11,74,69,83,26,15,14.789473684210524,18.673557625315134,1.75,0.7071067811865476,4.095808383233533,2.8353056674937305,1.8850574712643677,1.2380998532769278
FRA,France,-99,2021-01-02,2021-01-01,100,0,0,0,0,8,81,1467030.1013567685,0,2,0,98,2,12,86,2,3,95,2,17,81,2,19,79,1,18,81,1,9,90,2,4,94,2,2,96,1,2,97,2,5,93,0,12,88,3,4,93,1,23,76,100,0,0,0,88,2,4,6,97,0,3,0,83,2,6,9,81,4,7,8,82,1,9,8,91,2,3,4,96,1,2,1,98,0,0,2,98,0,1,1,95,0,3,2,88,1,4,7,96,1,1,2,77,3,8,12,19,0,7,74,93,0,4,3,19,1,40,40,61,2,11,26,89,0,11,0,89,1,10,0,99,0,1,34,1,9,56,100,0,0,0,0,0,26,2,18,18,22,14,36,3,12,35,14,36,3,27,25,9,36,3,17,30,14,36,3,18,27,16,36,4,3,27,30,0,92,4,1,3,92,5,1,2,92,5,0,3,92,3,1,4,92,4,1,3,92,3,2,3,60,5,0,35,60,5,1,34,60,4,3,33,60,5,2,33,60,5,7,28,60,3,10,27,60,5,5,30,86,5,0,9,86,5,1,8,86,5,0,9,86,5,4,5,86,6,1,7,44,3,15,38,44,2,26,28,44,3,12,41,44,3,26,27,44,2,3,51,44,3,6,47,48,0,22,30,78,0,10,9,1,2,50,0,0,3,14,33,50,2,48,0,53,0,6,41,53,0,38,5,1,0,0,3,53,0,19,10,12,6,55,2,12,23,6,2,57,1,13,29,0,61,2,11,26,0,86,0,10,4,75,0,21,4,89,1,9,1,75,1,11,13,97,1,1,1,94,0,3,3,65,1,2,2,3,5,22,65,0,1,2,4,7,21,69,0,10,11,7,3,69,0,3,2,7,19,69,0,4,6,12,9,91,1,4,4,91,1,0,8,91,1,2,6,73,1,7,19,81,0,10,9,97,0,0,0,0,0,1,0,2,90,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,3,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,11.444444444444445,16.17532150039144,1.1428571428571428,0.3779644730092272,0,0,0,0
FRA,France,1,2021-01-02,2021-01-01,100,1,14045.9237324809,0,0,3,100,1474774.1962605598,93,0,2,98,0,6,94,0,2,98,0,32,68,0,29,71,0,4,96,0,7,93,0,3,97,0,2,98,0,1,99,0,3,97,0,14,86,0,5,95,0,20,80,98,0,1,1,94,0,0,6,98,0,1,1,68,0,6,26,71,0,6,23,96,0,1,3,93,0,2,5,97,0,0,3,98,0,2,0,99,0,1,0,97,0,2,1,86,0,6,8,95,0,3,2,80,0,7,13,0,0,3,97,97,1,1,1,0,0,62,38,38,0,18,44,82,1,16,1,82,1,17,0,99,0,1,18,1,12,69,100,0,0,0,0,0,0,2,15,25,33,25,0,0,26,57,17,0,0,34,47,19,0,0,29,46,25,0,0,24,50,26,0,0,6,43,51,0,88,1,0,11,88,1,1,10,88,0,3,9,88,1,7,4,88,1,0,11,88,1,4,7,5,0,0,95,5,0,0,95,5,0,3,92,5,0,1,94,5,1,10,84,5,0,15,80,5,0,4,91,78,0,0,22,78,1,1,20,78,0,0,22,78,0,1,21,78,0,2,20,0,1,21,78,0,0,49,51,0,2,31,67,0,0,75,25,0,2,17,81,0,2,23,75,0,0,68,32,32,0,37,17,10,4,0,1,0,23,41,35,0,0,99,1,0,1,9,90,0,0,72,16,6,2,0,4,0,0,17,39,31,13,0,0,21,54,22,3,0,0,7,85,8,0,0,7,85,8,79,0,19,2,51,0,48,1,69,0,31,0,25,0,19,56,83,0,8,9,77,0,23,0,0,3,1,8,29,22,37,0,0,4,14,34,14,34,0,3,33,44,15,5,0,0,10,14,16,60,0,0,13,24,27,36,63,1,18,18,63,2,4,31,63,1,15,21,0,0,42,58,42,0,25,33,75,0,3,0,3,1,1,0,17,33,0,1,16,3,3,1,0,7,6,0,2,2,4,0,1,21,0,1,43,54,1,1,0,0,100,0,0,0,0,0,0,6,1,54,26,13,6,1,28,17,30,10,8,7.8545454545454545,11.558896176023072,1,0,3.6153846153846154,1.6364243384234467,2.717391304347826,1.7686282444811012
FRA,France,2,2021-01-02,2021-01-01,100,0,0,0,0,5,100,1158720.2332606118,94,0,0,100,0,17,83,0,1,99,0,26,74,0,22,78,0,0,100,0,5,95,0,2,98,0,4,96,0,0,100,0,2,98,0,15,85,0,1,99,0,12,88,100,0,0,0,83,1,6,10,99,0,1,0,74,1,4,21,78,1,8,13,100,0,0,0,95,1,3,1,98,0,2,0,96,1,2,1,100,0,0,0,98,0,2,0,85,0,4,11,99,0,0,1,88,0,2,10,0,0,4,96,96,0,4,0,0,0,42,58,58,0,15,27,85,0,14,1,85,0,15,0,100,0,0,15,0,12,73,100,0,0,0,0,0,0,0,15,31,29,25,0,1,22,55,22,0,2,38,44,16,0,2,31,42,25,0,2,27,46,25,0,2,7,39,52,0,88,1,0,11,88,0,2,10,88,1,0,11,88,1,8,3,88,1,0,11,88,1,2,9,15,0,0,85,15,0,0,85,15,0,8,77,15,0,4,81,15,0,15,70,15,0,13,72,15,0,6,79,76,0,1,23,76,0,0,24,76,0,0,24,76,0,1,23,76,0,6,18,0,1,25,74,0,0,42,58,0,2,27,71,0,0,72,28,0,0,3,97,0,0,9,91,0,0,63,37,37,0,39,17,5,2,0,1,1,10,30,58,0,0,100,0,0,1,10,89,0,0,75,18,3,1,1,2,0,0,18,36,28,18,0,0,17,64,12,7,0,0,9,89,2,0,0,14,82,4,75,0,23,2,58,0,39,3,73,0,27,0,28,0,17,55,97,0,0,3,91,0,9,0,0,0,1,3,8,27,61,0,0,2,1,19,24,54,0,0,24,54,17,5,0,0,8,12,21,59,0,0,17,20,25,38,63,0,27,10,63,0,1,36,63,0,5,32,0,0,61,39,61,0,23,16,77,0,6,1,3,0,1,0,12,16,0,4,6,1,9,3,2,10,12,0,3,8,7,3,2,14,0,2,36,61,1,0,0,0,0,100,0,0,0,0,0,4,3,39,27,27,4,1,32,30,24,7,2,9.372549019607844,13.48771408996161,1.25,0.5,4.0256410256410255,1.6274780025194346,2.831578947368421,1.4993092847931562
