ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AO,AGO,Angola,-99,2020-12-24,2020-12-22,100,1,17474.0119264918,0,0,55,73,9628036.148789763,0,15,5,80,13,13,74,16,5,79,12,19,69,15,13,72,15,17,68,14,12,74,13,3,84,14,4,82,13,9,78,12,12,76,11,21,68,16,6,78,14,16,70,95,0,2,3,87,2,7,4,95,0,1,4,81,2,6,11,87,0,9,4,83,1,7,9,88,3,3,6,97,2,0,1,96,1,2,1,91,0,4,5,88,1,8,3,79,2,5,14,94,1,4,1,84,1,11,4,27,0,9,64,93,5,2,31,3,21,45,79,0,5,16,95,0,5,0,95,0,5,0,100,0,0,0,41,1,20,38,100,0,39,0,24,20,10,7,49,4,26,12,9,49,7,24,14,6,49,10,28,9,4,49,11,20,16,4,49,11,13,12,15,0,82,9,8,1,82,12,2,4,82,6,9,3,82,11,2,5,82,11,4,3,82,13,2,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,52,4,16,28,52,8,23,17,52,10,18,20,52,6,25,17,52,9,6,33,52,7,16,25,57,3,18,22,82,1,12,3,2,0,57,3,0,4,16,20,57,2,37,4,62,2,7,29,62,2,23,9,0,0,0,4,62,3,10,6,17,2,65,0,10,17,6,2,100,100,86,0,13,1,79,0,20,1,84,1,13,2,76,0,18,6,95,0,5,0,85,0,15,0,72,1,1,2,5,4,15,72,1,0,4,4,4,15,76,0,13,5,5,1,76,0,7,8,5,4,76,0,13,6,3,2,83,2,12,3,83,7,4,6,83,4,9,4,80,1,15,4,96,0,3,1,99,0,1,0,0,0,0,0,0,86,0,1,2,1,1,0,0,1,0,0,2,1,5,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.05,3.1535276821529985,10.2,11.233877335986895,0,0,0,0
AO,AGO,Angola,-99,2020-12-25,2020-12-22,100,2,54015.1282692002,0,0,63,74,9100973.886351215,0,16,5,79,15,10,75,16,5,79,16,20,64,14,14,72,16,17,67,14,14,72,16,6,78,15,4,81,16,9,75,15,13,72,14,22,64,17,9,74,16,14,70,95,2,1,2,90,2,5,3,95,0,2,3,80,4,6,10,86,2,7,5,83,3,6,8,86,3,6,5,94,3,2,1,96,2,2,0,91,1,3,5,87,3,5,5,78,3,6,13,91,3,4,2,86,3,9,2,25,1,10,64,91,7,2,28,4,18,50,82,0,4,14,96,0,4,0,96,1,3,0,99,1,0,0,37,1,21,41,100,0,34,1,21,22,14,8,47,8,25,10,10,47,10,24,11,8,47,13,25,9,6,47,14,18,13,8,47,14,15,9,15,0,81,9,9,1,81,11,4,4,81,5,10,4,81,10,2,7,81,11,5,3,81,12,4,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,52,4,16,28,52,8,20,20,52,9,15,24,52,7,19,22,52,8,7,33,52,7,13,28,58,2,14,26,86,2,10,2,0,0,58,2,1,4,19,16,58,2,36,4,60,2,6,32,60,2,27,5,0,1,1,4,60,3,14,4,18,1,63,0,17,10,5,5,100,100,86,0,13,1,82,0,16,2,87,1,10,2,81,0,13,6,94,0,4,2,89,0,11,0,69,1,3,1,4,7,15,69,2,1,3,2,8,15,72,1,16,4,3,4,72,3,7,7,4,7,72,1,14,4,4,5,84,2,10,4,84,5,4,7,84,1,11,4,77,1,15,7,93,0,4,3,98,0,1,0,0,0,0,0,1,84,0,1,1,1,5,0,0,0,0,0,1,1,3,0,0,3,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.0454545454545454,2.380021463033929,14.249999999999998,11.324751652906125,0,0,0,0
AO,AGO,Angola,-99,2020-12-26,2020-12-23,100,2,82166.06322817689,0,0,50,76,9007377.089368464,0,15,5,80,14,8,78,14,4,82,15,15,70,13,17,70,14,15,71,12,11,77,15,8,77,11,5,84,16,9,75,13,12,75,16,21,63,15,8,77,14,15,71,95,3,0,2,92,2,5,1,96,0,3,1,85,4,6,5,83,3,8,6,85,3,6,6,89,3,7,1,92,3,3,2,95,2,3,0,91,2,3,4,88,3,6,3,79,4,9,8,92,2,4,2,85,3,11,1,23,1,11,65,89,9,2,25,3,23,49,77,0,5,18,95,0,5,0,95,1,4,0,99,1,0,0,34,1,23,42,100,0,32,2,24,20,13,9,44,7,29,10,10,44,11,25,13,7,44,12,28,10,6,44,14,21,12,9,44,15,16,7,18,0,79,6,14,1,79,10,2,9,79,5,10,6,79,9,1,11,79,9,4,8,79,10,4,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,48,4,18,30,48,6,25,21,48,8,18,26,48,7,26,19,48,6,10,36,48,5,14,33,54,1,19,26,81,2,13,3,1,0,56,1,1,5,19,18,56,1,41,2,59,0,6,35,59,0,31,5,1,1,1,2,59,1,13,5,19,3,63,0,20,10,3,4,100,100,83,1,15,1,76,1,21,2,83,2,11,4,74,1,18,7,91,1,5,3,87,2,11,0,68,0,3,1,1,7,20,68,1,1,3,1,7,19,69,1,19,3,3,5,69,3,7,9,3,9,69,1,14,5,4,7,83,3,10,4,83,6,5,6,83,3,11,3,75,0,15,10,90,0,4,6,97,0,1,0,0,0,0,0,2,82,0,2,1,1,7,0,0,0,0,0,1,1,1,0,0,4,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.1153846153846154,3.102604365070391,5.875,4.703721930556695,0,0,0,0
AO,AGO,Angola,-99,2020-12-27,2020-12-24,100,4,201429.46912704734,2,119263.40589887046,55,78,9605403.938884854,0,14,8,78,11,8,81,10,8,82,12,15,73,10,19,71,10,13,77,9,13,78,13,9,78,9,7,84,13,11,76,12,12,76,12,23,65,10,10,80,11,17,72,92,4,2,2,92,3,4,1,92,2,5,1,85,3,8,4,81,5,6,8,87,2,7,4,87,4,8,1,91,3,5,1,93,3,4,0,89,4,6,1,88,4,5,3,77,3,11,9,90,3,4,3,83,3,13,1,21,1,13,65,87,11,2,23,2,23,52,78,0,8,14,92,0,8,0,92,3,5,0,97,2,1,0,35,0,20,45,100,0,30,2,27,22,12,7,42,6,34,10,8,42,10,28,14,6,42,11,32,7,8,42,14,24,13,7,42,15,16,7,20,0,80,5,13,2,80,9,2,9,80,6,8,6,80,8,0,12,80,8,4,8,80,9,4,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,46,5,19,30,46,7,25,22,46,9,16,29,46,8,23,23,46,6,13,35,46,6,17,31,52,1,22,25,78,3,14,2,1,2,55,1,1,6,18,19,55,1,43,1,57,0,6,37,57,0,34,2,2,1,2,2,57,1,14,6,15,7,62,1,22,9,2,4,100,100,82,2,15,1,76,2,20,2,85,2,11,2,77,2,17,4,88,1,8,3,84,2,14,0,66,1,2,1,3,9,18,66,2,1,2,1,11,17,69,1,19,3,2,6,69,3,6,7,5,10,69,1,12,6,4,8,84,3,11,2,84,5,4,7,84,3,9,4,74,0,11,15,85,0,8,7,92,0,2,0,0,1,0,0,5,81,0,2,0,0,8,0,0,0,0,0,1,1,1,0,0,6,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.4193548387096775,3.5381180830905676,5.2,4.442221666388715,0,0,0,0
AO,AGO,Angola,-99,2020-12-28,2020-12-24,100,4,201429.46912704734,2,119263.40589887046,55,78,9458558.27573797,0,14,7,79,11,8,81,10,8,82,12,16,72,10,19,71,10,13,77,9,13,78,13,9,78,9,7,84,13,10,77,12,12,76,12,22,66,10,10,80,11,17,72,93,4,2,1,92,3,4,1,92,2,5,1,84,3,8,5,81,5,6,8,87,2,7,4,87,4,8,1,91,3,5,1,93,3,4,0,90,4,5,1,88,4,5,3,78,3,11,8,90,3,4,3,83,3,13,1,21,1,13,65,87,11,2,23,2,25,50,76,0,9,15,91,0,9,0,91,3,6,0,97,2,1,0,36,0,21,43,100,0,30,2,28,21,12,7,42,6,35,10,7,42,10,30,12,6,42,11,32,7,8,42,14,25,12,7,42,15,18,7,18,0,79,6,13,2,79,10,2,9,79,6,9,6,79,9,0,12,79,9,4,8,79,10,4,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,46,5,21,28,46,8,25,21,46,9,18,27,46,8,23,23,46,6,13,35,46,6,15,33,52,1,21,26,79,3,12,2,1,3,55,1,1,6,17,20,55,1,43,1,57,1,6,36,57,0,33,3,2,1,2,2,57,1,15,6,13,8,63,1,21,9,2,4,100,100,80,2,17,1,76,2,20,2,83,2,13,2,77,2,18,3,88,1,8,3,86,2,12,0,67,1,2,1,3,8,18,67,2,1,2,1,10,17,69,1,19,3,2,6,69,3,7,7,5,9,69,1,12,7,3,8,83,3,12,2,83,5,5,7,83,3,9,5,74,0,11,15,85,0,8,7,92,0,2,0,0,1,0,0,5,81,0,2,0,1,8,0,0,0,0,0,0,1,1,0,0,6,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.4333333333333336,3.597732363714614,5.2,4.442221666388715,0,0,0,0
AO,AGO,Angola,-99,2020-12-30,2020-12-25,100,3,164888.35278433896,2,119263.40589887046,48,74,8871215.777779719,0,14,6,80,10,11,79,10,8,82,10,16,74,9,22,69,10,11,79,9,10,81,14,7,79,11,7,82,13,10,77,12,9,79,13,19,68,11,11,78,10,14,76,94,3,2,1,89,4,6,1,92,2,5,1,84,3,7,6,78,5,7,10,89,1,4,6,90,4,5,1,93,3,3,1,93,3,3,1,90,4,6,0,91,3,4,2,81,3,10,6,89,2,5,4,86,3,10,1,26,0,12,62,88,10,2,28,1,25,46,76,0,11,13,89,1,10,0,89,3,7,1,97,2,1,0,41,1,16,42,100,0,34,1,33,15,11,6,45,5,36,11,3,45,11,29,13,2,45,9,34,7,5,45,14,27,10,4,45,16,15,8,16,0,84,4,10,2,84,7,2,7,84,5,6,5,84,6,0,10,84,6,2,8,84,7,2,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,48,6,24,22,48,6,26,20,48,8,19,25,48,8,24,20,48,6,12,34,48,6,15,31,54,0,24,22,76,2,13,4,1,4,58,2,0,3,15,22,58,0,39,3,60,2,5,33,60,0,33,2,2,1,1,1,60,1,10,8,12,9,65,1,20,9,2,3,100,100,78,2,19,1,76,2,20,2,83,2,13,2,77,2,19,2,90,1,7,2,86,2,12,0,69,1,0,0,4,6,20,69,2,0,1,2,9,17,72,0,18,4,2,4,72,3,8,4,6,7,72,1,10,7,4,6,84,3,13,0,84,5,6,5,84,5,8,3,75,1,8,16,84,0,9,7,92,0,2,0,0,1,0,0,5,84,0,3,0,1,6,0,0,0,0,0,1,0,1,0,0,4,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.3333333333333335,3.7003118371709824,4.6,4.501851470969102,0,0,0,0
AO,AGO,Angola,-99,2020-12-31,2020-12-26,100,6,511347.2055040021,3,376859.42137553846,19,73,9374208.075282665,0,11,7,82,10,14,76,10,10,80,9,21,70,8,22,70,11,12,77,11,8,81,11,11,78,12,6,82,12,10,78,9,14,77,10,18,72,12,10,78,14,15,71,93,3,4,0,86,4,7,3,90,4,4,2,79,4,9,8,78,4,8,10,88,3,4,5,92,3,4,1,89,5,6,0,94,2,2,2,90,4,6,0,86,2,6,6,82,2,10,6,90,2,5,3,85,3,8,4,25,2,10,63,93,6,1,30,0,22,48,80,0,9,11,91,1,8,0,91,4,4,1,96,3,1,0,41,2,17,40,100,0,35,3,32,12,12,6,45,6,32,10,7,45,12,32,7,4,45,9,35,6,5,45,13,29,11,2,45,16,14,11,14,0,83,8,6,3,83,9,4,4,83,8,6,3,83,10,2,5,83,9,4,4,83,10,3,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,48,8,24,20,48,5,32,15,48,7,17,28,48,7,22,23,48,5,13,34,48,6,19,27,52,0,23,25,77,1,12,4,1,5,55,3,3,2,15,22,55,1,40,4,59,2,6,33,59,0,37,2,1,0,1,0,59,1,8,11,11,10,62,2,19,13,3,1,100,100,78,2,17,3,70,4,25,1,85,3,12,0,80,3,14,3,88,1,10,1,82,3,15,0,66,2,0,0,3,8,21,66,3,0,1,2,11,17,72,0,17,4,2,5,72,1,8,3,9,7,72,1,7,11,4,5,83,3,14,0,83,6,7,4,83,7,7,3,74,1,8,17,83,0,12,5,90,1,1,0,0,3,0,0,5,82,0,2,1,1,3,0,0,2,0,1,1,2,1,0,0,4,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.5384615384615383,3.5914428212713534,2.2857142857142856,1.1126972805283737,0,0,0,0
AO,AGO,Angola,-99,2021-01-01,2020-12-27,100,5,400846.56863213616,1,257596.01547666802,18,77,9737601.156550772,0,10,6,84,12,11,77,13,6,81,11,18,71,10,15,75,12,15,73,12,5,83,10,9,81,14,3,83,12,6,82,11,11,78,11,12,77,15,5,80,16,10,74,94,2,2,2,89,2,4,5,94,2,2,2,82,3,6,9,85,2,5,8,85,3,4,8,95,2,2,1,91,4,4,1,97,1,0,2,94,2,4,0,89,1,5,5,88,2,6,4,95,1,2,2,90,2,4,4,21,2,11,66,92,6,2,25,1,24,50,77,0,11,12,89,2,9,0,89,4,6,1,96,4,0,0,39,2,16,43,100,0,29,3,36,16,10,6,41,8,30,13,8,41,16,31,6,6,41,12,34,10,3,41,14,25,15,5,41,18,14,12,15,0,84,7,6,3,84,6,6,4,84,6,6,4,84,8,2,6,84,7,4,5,84,7,3,6,85,3,2,10,85,4,1,10,85,3,2,10,85,3,3,9,85,3,3,9,85,2,8,5,85,4,2,9,93,1,3,3,93,1,3,3,93,3,1,3,93,2,1,4,93,3,0,4,47,11,23,19,47,6,31,16,47,8,17,28,47,9,21,23,47,7,11,35,47,6,14,33,51,1,23,25,77,1,12,4,3,3,54,3,3,4,16,20,54,2,39,5,58,2,8,32,58,0,39,3,0,0,0,0,58,1,8,11,12,10,60,1,19,15,4,1,100,100,79,1,17,3,71,3,25,1,85,3,11,1,81,2,13,4,90,1,8,1,87,3,10,0,63,1,0,0,2,7,27,63,2,0,0,3,7,25,70,0,19,4,3,4,70,1,11,4,8,6,70,1,10,9,5,5,83,5,12,0,83,8,6,3,83,8,7,2,76,1,10,13,87,0,7,6,95,1,0,0,0,2,0,0,2,85,0,1,1,1,2,0,0,2,0,1,1,2,2,0,0,2,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.652173913043478,2.1236481400940463,2.1666666666666665,0.752772652709081,0,0,0,0
AO,AGO,Angola,-99,2021-01-02,2020-12-30,100,5,400846.56863213616,1,257596.01547666802,16,77,9697249.373487966,0,9,6,85,11,11,78,13,6,81,10,17,73,9,15,76,11,15,74,11,6,83,9,9,82,13,3,84,11,6,83,10,11,79,10,11,79,14,6,80,16,9,75,94,2,2,2,89,2,4,5,94,2,2,2,83,3,6,8,85,2,6,7,85,3,4,8,94,2,2,2,91,4,4,1,97,1,0,2,94,2,4,0,89,1,5,5,89,2,5,4,94,1,2,3,91,1,4,4,21,2,11,66,92,5,3,25,1,19,55,82,0,9,9,91,2,7,0,91,4,4,1,96,4,0,0,37,4,16,43,100,0,30,3,34,17,10,6,41,8,30,13,8,41,16,31,6,6,41,12,33,11,3,41,15,25,14,5,41,19,13,13,14,0,84,6,7,3,84,5,6,5,84,6,5,5,84,7,2,7,84,6,4,6,84,6,3,7,82,3,2,13,82,4,1,13,82,3,2,13,82,3,5,10,82,4,5,9,82,2,11,5,82,4,4,10,90,2,4,4,90,1,5,4,90,4,2,4,90,2,3,5,90,4,1,5,46,12,22,20,46,5,32,17,46,9,16,29,46,9,21,24,46,8,11,35,46,6,16,32,51,1,22,26,78,0,12,5,3,2,54,3,3,4,16,20,54,2,39,5,58,1,8,33,58,0,39,3,0,0,0,0,58,1,8,11,12,10,59,1,18,16,5,1,100,100,80,1,16,3,70,3,26,1,86,3,10,1,81,2,13,4,90,1,8,1,85,3,12,0,62,1,0,0,2,9,26,62,2,0,0,4,7,25,68,0,19,4,3,6,68,1,11,5,8,7,68,1,11,9,5,6,82,6,12,0,82,10,5,3,82,8,9,1,74,1,9,16,84,0,9,7,93,1,0,0,0,2,1,0,3,84,0,1,2,0,2,0,0,2,0,1,1,2,3,0,0,2,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.727272727272727,2.1421355206299597,2,0.7071067811865476,0,0,0,0
AO,AGO,Angola,-99,2021-01-03,2020-12-31,100,4,387822.68965084216,1,257596.01547666802,21,80,10463654.666714903,0,9,5,86,9,12,79,12,5,83,8,14,78,10,7,83,9,16,75,11,6,83,8,9,83,12,3,85,11,3,86,11,11,78,7,16,77,11,4,85,13,9,78,95,1,2,2,88,1,4,7,95,1,2,2,86,2,4,8,93,1,3,3,84,2,4,10,94,1,2,3,91,1,6,2,97,0,0,3,97,0,2,1,89,0,6,5,84,2,6,8,96,1,1,2,91,1,5,3,18,2,14,66,89,7,4,22,3,18,57,83,0,9,8,91,1,8,0,91,6,3,0,94,4,1,1,36,2,19,43,100,0,28,4,31,28,5,4,39,11,29,13,8,39,18,30,7,6,39,11,38,10,2,39,15,25,15,6,39,18,15,13,15,0,81,7,9,3,81,9,6,4,81,9,5,5,81,12,1,6,81,10,4,5,81,12,2,5,82,3,2,13,82,4,1,13,82,3,2,13,82,3,5,10,82,4,5,9,82,2,11,5,82,4,4,10,90,2,4,4,90,1,5,4,90,4,2,4,90,2,3,5,90,4,1,5,44,12,19,25,44,9,30,17,44,12,15,29,44,9,20,27,44,9,11,36,44,7,17,32,48,1,22,29,78,0,14,3,3,2,54,2,4,5,16,19,54,2,43,1,56,0,7,37,56,0,36,5,0,1,1,1,56,0,12,8,14,10,58,1,16,18,5,2,100,100,82,0,15,3,71,2,25,2,86,2,10,2,81,3,10,6,89,1,7,3,84,3,12,1,61,1,0,1,2,10,25,61,1,0,1,2,6,29,68,0,21,3,2,6,68,0,10,4,11,7,68,0,14,6,6,6,82,5,11,2,82,8,5,5,82,5,10,3,74,0,12,14,86,0,7,7,93,2,1,0,0,1,1,0,2,81,1,0,2,0,1,2,0,1,0,1,0,2,3,0,0,6,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.9047619047619047,3.713553041290267,1.875,0.9910312089651149,0,0,0,0
