ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
ET,ETH,Ethiopia,-99,2020-12-24,2020-12-21,100,0,0,0,0,29,81,14989498.369024394,0,10,2,88,10,12,78,10,2,88,10,12,78,10,13,77,8,8,84,11,12,77,9,4,87,10,7,83,9,7,84,9,10,81,10,12,78,11,4,85,12,12,76,98,1,1,0,88,1,5,6,98,1,1,0,88,2,7,3,87,2,6,5,92,1,5,2,88,3,7,2,96,2,2,0,93,2,2,3,93,3,3,1,90,1,5,4,88,3,4,5,96,2,1,1,88,2,4,6,18,1,17,64,85,1,4,10,22,0,24,54,77,0,9,14,91,1,8,0,91,0,1,8,0,99,1,0,0,34,1,30,35,100,30,1,29,18,13,9,53,6,22,11,8,53,8,23,6,10,53,8,29,4,6,53,11,22,8,6,53,10,10,6,21,74,6,14,6,74,12,5,9,74,10,4,12,74,11,8,7,74,11,7,8,74,12,4,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,52,9,22,17,52,11,23,14,52,11,24,13,52,11,22,15,52,12,21,15,52,9,23,16,59,1,17,23,83,0,8,5,1,3,60,1,1,5,19,14,60,5,33,2,66,2,10,22,66,1,15,9,5,2,0,2,66,0,5,9,13,7,66,0,6,15,11,2,67,0,1,31,1,78,1,1,20,0,79,5,12,4,78,4,15,3,77,4,14,5,79,3,11,7,80,3,12,5,78,5,14,3,82,3,2,1,2,0,10,82,1,1,1,2,3,10,89,1,5,3,2,0,89,1,3,0,1,6,89,1,3,2,0,5,97,1,2,0,97,0,2,1,97,2,0,1,92,1,5,2,98,0,2,0,99,0,0,0,0,0,0,1,0,95,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.5454545454545454,2.3991002101166634,1.916666666666667,1.5642792899510296,0,0,0,0
ET,ETH,Ethiopia,-99,2020-12-25,2020-12-22,100,0,0,0,0,33,82,15861433.951631995,0,13,3,84,14,12,74,13,2,85,14,12,74,14,11,75,11,10,79,15,13,72,13,4,83,13,6,81,13,7,80,13,9,78,13,12,75,15,6,79,14,14,72,97,1,1,1,88,2,6,4,98,0,2,0,88,3,7,2,89,2,6,3,90,3,5,2,87,3,7,3,96,2,2,0,94,1,1,4,93,3,3,1,91,2,3,4,88,3,5,4,94,2,2,2,86,3,7,4,17,1,19,63,84,0,4,12,22,0,26,52,75,0,8,17,92,1,7,0,92,0,1,7,0,99,1,0,0,34,1,32,33,100,34,1,33,16,8,8,47,5,26,11,11,47,11,26,3,13,47,11,29,6,7,47,13,24,8,8,47,13,11,6,23,72,8,13,7,72,13,3,12,72,11,4,13,72,8,11,9,72,12,7,9,72,12,5,11,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,51,11,20,18,51,13,23,13,51,14,23,12,51,13,19,17,51,13,18,18,51,10,20,19,56,1,18,25,82,0,10,4,1,3,57,2,2,4,19,16,57,3,38,2,64,2,11,23,64,1,15,9,7,1,1,2,64,0,9,7,14,6,64,0,5,18,11,2,65,0,1,30,4,76,2,1,21,0,81,2,12,5,78,2,17,3,78,2,15,5,82,2,10,6,83,1,12,4,81,3,13,3,82,2,0,1,5,1,9,82,1,0,1,4,4,8,88,1,4,4,2,1,88,1,2,1,2,6,88,1,4,4,0,3,94,1,5,0,94,0,4,2,94,2,0,4,92,1,4,3,97,0,3,0,98,0,1,0,0,0,0,1,0,95,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.533333333333333,2.4030631792939112,1.9285714285714284,1.542439911024374,0,0,0,0
ET,ETH,Ethiopia,2,2020-12-25,2020-12-22,100,0,0,0,0,75,100,14717586.603181537,98,10,1,89,9,8,83,11,0,89,8,4,88,9,5,86,10,6,84,9,6,85,9,2,89,8,5,87,10,4,86,9,4,87,7,11,82,10,3,87,9,12,79,99,1,0,0,92,1,4,3,100,0,0,0,96,0,3,1,95,0,3,2,94,1,3,2,94,1,1,4,98,0,2,0,95,1,3,1,96,1,2,1,96,1,1,2,89,1,2,8,97,0,1,2,88,1,5,6,0,0,25,75,75,0,18,7,0,0,39,61,61,0,10,29,90,1,9,0,90,0,5,5,0,95,2,3,0,10,0,35,55,100,0,0,48,29,11,12,0,5,45,20,30,0,13,50,10,27,0,10,63,11,16,0,12,51,19,18,0,14,14,10,62,65,8,19,8,65,18,4,13,65,19,6,10,65,17,7,11,65,17,5,13,65,18,4,13,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,10,53,37,0,7,63,30,0,7,75,18,0,10,54,36,0,10,39,51,0,9,54,37,0,0,48,52,52,1,22,9,3,13,0,1,1,18,52,28,0,2,88,10,0,2,28,70,0,0,35,32,9,6,13,5,0,0,26,18,29,27,0,1,21,41,25,12,0,1,4,83,12,0,1,5,83,11,47,2,39,12,37,4,39,20,25,3,45,27,46,3,33,18,61,1,28,10,46,3,41,10,0,2,1,6,21,17,53,0,1,4,6,14,23,52,0,2,38,28,16,16,0,0,10,26,23,41,0,0,22,25,28,25,53,3,37,7,53,10,21,16,53,12,20,15,0,2,72,26,74,0,10,16,90,0,3,0,0,3,0,0,4,18,0,1,8,16,1,7,15,3,0,2,9,6,2,3,9,0,3,96,1,0,0,0,0,100,0,0,0,0,0,2,5,63,26,4,2,2,48,29,11,3,5,2.9705882352941178,2.84429566418682,3.173913043478261,1.9920791768000379,14.112244897959183,5.629236371389435,2.5054945054945055,1.4860359377561527
ET,ETH,Ethiopia,-99,2020-12-26,2020-12-23,100,0,0,0,0,26,83,15458391.414299525,0,11,4,85,13,11,76,12,2,86,13,10,77,14,10,76,12,9,79,15,14,71,14,3,83,13,7,80,13,8,79,13,9,78,13,14,73,15,5,80,14,15,71,96,2,1,1,89,2,5,4,98,0,1,1,90,3,6,1,90,2,4,4,91,3,4,2,86,4,7,3,97,2,1,0,93,2,1,4,92,4,2,2,91,3,3,3,86,4,6,4,95,2,1,2,85,4,7,4,16,1,16,67,86,0,4,10,19,1,26,54,74,1,8,17,92,2,6,0,92,0,1,6,1,99,1,0,0,32,1,35,32,100,27,1,40,17,6,9,40,6,29,12,13,40,12,30,5,13,40,15,31,8,6,40,15,26,10,9,40,15,12,7,26,67,10,16,7,67,15,4,14,67,14,6,13,67,11,11,11,67,15,8,10,67,15,5,13,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,45,12,24,19,45,14,23,18,45,15,26,14,45,14,24,17,45,14,20,21,45,12,24,19,50,1,18,31,82,1,9,4,1,3,52,2,2,4,21,19,52,3,43,2,60,3,9,28,60,2,17,10,7,2,1,1,60,1,11,7,15,6,60,1,8,17,13,1,62,1,1,32,4,70,2,1,27,0,77,3,14,6,78,3,16,3,75,3,16,6,77,3,13,7,81,2,13,4,77,4,16,3,77,2,0,1,5,1,14,77,1,0,1,4,5,12,86,1,5,5,1,2,86,1,2,1,2,8,86,1,4,3,0,6,95,1,4,0,95,0,4,1,95,2,0,3,90,1,6,3,97,0,3,0,99,0,1,0,0,0,0,0,0,95,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.303030303030303,2.2006369601329134,1.8181818181818181,1.3280197150781925,0,0,0,0
ET,ETH,Ethiopia,2,2020-12-26,2020-12-22,100,0,0,0,0,64,100,14252602.932892093,97,9,2,89,8,8,84,10,0,90,7,5,88,8,5,87,9,10,81,9,4,87,8,3,89,8,5,87,9,4,87,8,6,86,6,10,84,9,4,87,8,12,80,98,1,0,1,92,1,4,3,100,0,0,0,95,0,4,1,95,0,4,1,90,1,6,3,96,0,1,3,97,0,3,0,95,1,2,2,96,1,3,0,94,1,2,3,90,1,3,6,96,0,1,3,88,1,6,5,0,0,23,77,77,0,15,8,0,0,39,61,61,0,10,29,90,2,8,0,90,0,4,6,0,96,1,3,0,10,0,34,56,100,0,0,48,29,10,13,0,5,43,20,32,0,11,51,9,29,0,8,65,10,17,0,11,50,19,20,0,13,14,8,65,66,8,17,9,66,15,5,14,66,16,5,13,66,14,7,13,66,14,5,15,66,16,5,13,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,8,54,38,0,6,62,32,0,6,76,18,0,8,53,39,0,8,39,53,0,7,55,38,0,0,48,52,52,1,24,8,2,13,0,1,1,17,53,28,0,2,87,11,0,2,26,72,0,0,40,30,10,4,12,4,0,0,25,18,31,26,0,1,23,39,26,11,0,1,6,83,10,0,1,4,84,11,46,1,42,11,38,3,41,18,24,2,49,25,47,2,32,19,61,0,28,11,45,2,42,11,0,3,0,7,19,16,55,0,1,4,5,16,23,51,0,2,37,35,13,13,0,0,12,25,23,40,0,0,23,28,26,23,49,3,41,7,49,12,21,18,49,14,21,16,0,2,69,29,71,0,12,17,88,0,4,0,0,4,0,0,4,19,0,4,7,17,1,8,11,2,0,2,9,6,1,3,10,0,2,97,1,0,0,0,0,100,0,0,0,0,0,3,3,68,22,4,3,2,49,29,11,2,4,3.3243243243243246,3.055541905511416,2.9523809523809526,1.716863141784763,14.395833333333332,5.622284919790018,2.4945054945054945,1.432741167394604
ET,ETH,Ethiopia,-99,2020-12-27,2020-12-23,100,1,155204.675402267,0,0,26,83,16262626.137993278,0,10,5,85,12,9,79,13,3,84,13,8,79,14,12,74,12,8,80,14,15,71,14,2,84,13,9,78,14,8,78,13,7,80,13,13,74,16,7,77,15,12,73,95,2,1,2,91,3,4,2,97,0,2,1,92,4,4,0,88,3,4,5,92,4,2,2,85,5,7,3,98,2,0,0,91,3,1,5,92,5,1,2,93,3,2,2,87,4,7,2,93,2,2,3,88,4,5,3,14,3,16,67,86,0,5,9,19,2,27,52,73,2,7,18,93,2,5,0,93,0,1,5,1,99,1,0,0,33,2,32,33,100,30,1,36,17,7,9,44,6,25,15,10,44,11,25,8,12,44,15,25,11,5,44,11,27,9,9,44,12,14,6,24,70,10,12,8,70,14,3,13,70,14,7,9,70,12,8,10,70,15,5,10,70,15,6,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,51,11,19,19,51,13,24,12,51,14,24,11,51,14,20,15,51,13,17,19,51,11,22,16,59,0,17,24,83,1,9,5,0,2,61,2,1,4,15,17,61,1,37,1,65,3,11,21,65,1,17,8,7,1,1,0,65,1,10,4,15,5,65,1,8,12,12,2,67,1,0,27,5,74,2,0,22,2,83,2,11,4,78,2,18,2,78,2,16,4,81,2,12,5,85,1,11,3,79,3,16,2,79,1,0,0,5,2,13,79,0,0,2,4,3,12,87,1,4,5,1,2,87,0,1,2,3,7,87,0,3,4,1,5,94,2,4,0,94,1,4,1,94,2,1,3,91,1,4,4,96,0,3,1,99,0,1,0,0,0,0,0,0,96,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.161290322580645,1.5726151085277962,2.111111111111111,1.2692955176439846,0,0,0,0
ET,ETH,Ethiopia,2,2020-12-27,2020-12-23,100,0,0,0,0,66,100,15011594.703336122,96,7,2,91,7,7,86,8,0,92,6,7,87,7,7,86,7,10,83,7,4,89,6,4,90,7,5,88,8,4,88,7,5,88,5,11,84,8,4,88,7,11,82,98,1,0,1,93,1,4,2,100,0,0,0,93,0,4,3,93,0,4,3,90,1,6,3,96,0,1,3,96,0,3,1,95,1,2,2,96,1,3,0,95,1,2,2,89,1,3,7,96,0,1,3,89,1,6,4,0,0,23,77,77,0,14,9,0,0,40,60,60,0,10,30,90,3,7,0,90,0,3,7,0,97,0,3,0,10,0,30,60,100,0,0,47,28,12,13,0,6,43,18,33,0,13,53,9,25,0,9,66,11,14,0,12,52,18,18,0,14,14,10,62,70,8,15,7,70,14,5,11,70,14,5,11,70,14,5,11,70,13,5,12,70,16,4,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,7,55,38,0,5,63,32,0,5,76,19,0,7,56,37,0,8,38,54,0,6,53,41,0,0,53,47,47,0,30,8,5,10,0,1,1,15,53,30,0,1,88,11,0,1,23,76,0,0,42,28,8,4,14,4,0,0,20,18,34,28,0,1,23,39,27,10,0,1,6,82,11,0,1,4,85,10,45,0,43,12,37,2,42,19,24,1,48,27,44,1,29,26,62,0,26,12,47,2,40,11,0,3,0,8,17,17,55,0,1,4,6,17,22,50,0,1,38,33,14,14,0,0,11,23,23,43,0,0,21,30,26,23,49,3,41,7,49,14,19,18,49,16,21,14,0,1,69,30,70,0,12,18,88,0,3,1,0,4,0,0,4,19,0,5,9,17,0,7,12,2,0,2,7,5,0,3,12,0,3,96,1,0,0,0,0,100,0,0,0,0,0,4,2,69,20,5,4,2,49,30,9,1,5,3.4166666666666665,3.0833655081976348,2.9545454545454546,1.6755176237089564,14.406250000000002,5.850016869071495,2.5274725274725274,1.5300011571575824
ET,ETH,Ethiopia,-99,2020-12-28,2020-12-23,100,1,155204.675402267,0,0,26,84,16309639.982134053,0,10,5,85,12,9,79,13,3,84,13,7,80,14,12,74,12,7,81,14,15,71,14,2,84,13,9,78,14,8,78,13,7,80,13,13,74,16,7,77,15,12,73,95,2,1,2,91,3,4,2,97,0,2,1,93,4,3,0,88,3,4,5,93,4,1,2,85,5,7,3,98,2,0,0,91,3,1,5,92,5,1,2,93,3,2,2,87,4,7,2,93,2,2,3,88,4,5,3,13,3,16,68,86,0,5,9,18,2,27,53,73,2,7,18,93,2,5,0,93,0,1,5,1,99,1,0,0,32,2,32,34,100,29,1,36,18,7,9,43,7,25,15,10,43,12,25,8,12,43,16,25,11,5,43,11,28,9,9,43,13,14,6,24,70,10,12,8,70,14,3,13,70,14,7,9,70,12,8,10,70,15,5,10,70,15,6,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,50,11,19,20,50,13,25,12,50,14,25,11,50,14,20,16,50,13,17,20,50,11,23,16,58,0,17,25,83,1,9,5,0,2,60,2,1,4,16,17,60,1,38,1,64,3,11,22,64,1,18,8,7,1,1,0,64,1,10,4,15,6,64,1,8,13,12,2,66,1,0,28,5,73,2,0,23,2,83,2,11,4,77,2,19,2,77,2,17,4,81,2,12,5,85,1,11,3,78,3,17,2,78,1,0,0,5,3,13,78,0,0,2,4,4,12,86,1,4,6,1,2,86,0,1,2,4,7,86,0,3,5,1,5,93,3,4,0,93,2,4,1,93,3,1,3,90,1,5,4,96,0,3,1,99,0,1,0,0,0,0,0,0,96,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.161290322580645,1.5726151085277962,2.111111111111111,1.2692955176439846,0,0,0,0
ET,ETH,Ethiopia,2,2020-12-28,2020-12-23,100,0,0,0,0,66,100,15011594.703336122,96,7,2,91,7,7,86,8,0,92,6,7,87,7,7,86,7,10,83,7,4,89,6,4,90,7,5,88,8,4,88,7,5,88,5,11,84,8,4,88,7,11,82,98,1,0,1,93,1,4,2,100,0,0,0,93,0,4,3,93,0,4,3,90,1,6,3,96,0,1,3,96,0,3,1,95,1,2,2,96,1,3,0,95,1,2,2,89,1,3,7,96,0,1,3,89,1,6,4,0,0,23,77,77,0,14,9,0,0,40,60,60,0,10,30,90,3,7,0,90,0,3,7,0,97,0,3,0,10,0,30,60,100,0,0,47,28,12,13,0,6,43,18,33,0,13,53,9,25,0,9,66,11,14,0,12,52,18,18,0,14,14,10,62,70,8,15,7,70,14,5,11,70,14,5,11,70,14,5,11,70,13,5,12,70,16,4,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,7,55,38,0,5,63,32,0,5,76,19,0,7,56,37,0,8,38,54,0,6,53,41,0,0,53,47,47,0,30,8,5,10,0,1,1,15,53,30,0,1,88,11,0,1,23,76,0,0,42,28,8,4,14,4,0,0,20,18,34,28,0,1,23,39,27,10,0,1,6,82,11,0,1,4,85,10,45,0,43,12,37,2,42,19,24,1,48,27,44,1,29,26,62,0,26,12,47,2,40,11,0,3,0,8,17,17,55,0,1,4,6,17,22,50,0,1,38,33,14,14,0,0,11,23,23,43,0,0,21,30,26,23,49,3,41,7,49,14,19,18,49,16,21,14,0,1,69,30,70,0,12,18,88,0,3,1,0,4,0,0,4,19,0,5,9,17,0,7,12,2,0,2,7,5,0,3,12,0,3,96,1,0,0,0,0,100,0,0,0,0,0,4,2,69,20,5,4,2,49,30,9,1,5,3.4166666666666665,3.0833655081976348,2.9545454545454546,1.6755176237089564,14.406250000000002,5.850016869071495,2.5274725274725274,1.5300011571575824
ET,ETH,Ethiopia,-99,2020-12-30,2020-12-25,100,2,376959.102759215,0,0,31,87,16484411.167609261,0,10,5,85,12,10,78,13,2,85,13,6,81,13,8,79,12,6,82,12,9,79,13,2,85,13,6,81,13,5,82,10,10,80,13,8,79,14,4,82,13,9,78,95,2,0,3,90,4,4,2,98,0,1,1,94,3,1,2,92,2,2,4,94,4,1,1,91,3,4,2,98,1,1,0,94,3,0,3,95,4,0,1,90,3,2,5,92,2,4,2,96,1,1,2,91,2,4,3,11,2,20,67,83,0,7,10,18,3,27,52,73,2,8,17,92,2,6,0,92,0,2,5,1,98,1,1,0,31,2,27,40,100,29,0,39,17,7,8,42,3,32,13,10,42,8,27,10,13,42,13,31,11,3,42,9,30,13,6,42,10,13,8,27,74,11,8,7,74,14,3,9,74,16,5,5,74,13,6,7,74,17,2,7,74,16,4,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,50,9,23,18,50,12,26,12,50,12,28,10,50,12,22,16,50,11,18,21,50,11,26,13,58,0,19,23,81,1,10,7,0,1,60,1,0,3,22,14,60,0,40,0,63,2,10,25,63,1,18,9,6,1,2,0,63,1,10,4,16,6,63,1,9,13,13,1,64,1,1,29,5,70,1,0,26,3,79,2,14,5,76,2,19,3,74,2,17,7,79,2,14,5,84,1,10,5,75,2,18,5,75,1,0,1,4,6,13,75,0,1,2,4,5,13,85,0,3,9,0,3,85,0,0,2,5,8,85,0,2,8,2,3,92,2,6,0,92,3,4,1,92,2,3,3,89,0,6,5,95,0,3,2,99,0,1,0,0,0,0,0,0,95,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.3846153846153846,1.8127751780499,2,1.1832159566199232,0,0,0,0
