ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
CM,CMR,Cameroon,-99,2020-12-24,2020-12-22,100,6,792576.8730749877,3,492425.933175005,14,70,12708281.21883311,0,10,9,81,9,10,81,8,5,87,7,30,63,7,21,72,8,21,71,12,2,86,10,7,83,10,4,86,8,2,90,8,7,85,10,18,72,10,4,86,8,22,70,91,1,4,4,90,1,1,8,95,0,2,3,70,3,12,15,79,3,7,11,79,2,7,12,98,0,2,0,93,2,4,1,96,0,3,1,98,0,0,2,93,2,2,3,82,1,7,10,96,1,3,0,78,3,7,12,30,0,7,63,94,0,4,2,31,3,32,34,69,2,10,19,90,1,9,0,90,2,7,1,99,0,1,48,1,16,35,100,38,1,15,11,12,23,45,7,17,10,21,45,10,18,9,18,45,9,23,5,18,45,10,20,6,19,45,12,9,4,30,84,7,3,6,84,5,7,4,84,6,7,3,84,5,3,8,84,7,4,5,84,7,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,48,3,35,14,48,4,26,22,48,4,23,25,48,5,29,18,48,3,23,26,48,5,34,13,53,1,27,19,73,0,12,6,3,6,56,0,4,12,16,12,56,2,38,4,57,1,4,38,57,0,10,8,11,7,6,1,57,2,10,12,13,6,59,1,5,21,9,5,62,0,1,32,5,67,1,2,28,2,68,2,21,9,77,2,14,7,79,2,12,7,73,2,12,13,79,0,11,10,69,2,21,8,70,1,1,6,0,7,15,70,1,0,6,4,6,13,78,0,9,6,2,5,78,0,9,7,2,4,78,0,14,5,0,3,86,1,9,4,86,4,3,7,86,3,7,4,84,0,11,5,95,3,2,98,0,1,0,0,0,0,0,1,88,0,2,0,1,3,0,2,1,0,1,0,0,0,0,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.7941176470588234,3.2453174823886375,2.4,0.5477225575051661,0,0,0,0
CM,CMR,Cameroon,-99,2020-12-25,2020-12-23,100,2,236948.271445699,1,115590.104628759,17,75,12126934.33424053,0,7,5,88,5,11,84,5,5,90,5,26,69,4,18,78,7,21,72,8,4,88,6,7,87,7,4,89,5,4,91,6,8,86,8,17,75,8,4,88,7,28,65,95,1,1,3,89,1,1,9,95,0,0,5,74,3,7,16,82,3,5,10,79,2,4,15,96,0,4,0,93,1,4,2,96,0,3,1,96,0,2,2,92,2,1,5,83,1,5,11,96,1,3,0,72,3,9,16,25,0,9,66,93,0,4,3,27,3,28,42,73,1,7,19,93,1,6,0,93,2,4,1,99,0,1,41,1,15,43,100,35,1,16,14,15,19,40,5,22,11,22,40,9,18,14,19,40,8,23,10,19,40,11,20,10,19,40,13,7,10,30,85,7,2,6,85,5,10,0,85,5,7,3,85,6,1,8,85,6,5,4,85,5,4,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,46,3,34,17,46,3,30,21,46,4,19,31,46,4,30,20,46,4,25,25,46,5,31,18,49,1,26,24,74,0,11,7,3,5,53,0,3,10,19,15,53,3,41,3,54,1,7,38,54,0,9,10,8,8,9,2,54,1,13,12,14,6,56,0,10,17,11,6,58,0,1,38,3,67,0,1,30,2,68,1,19,12,72,3,13,12,82,2,7,9,71,3,10,16,77,2,10,11,71,2,18,9,70,0,1,3,1,7,18,70,1,0,3,4,5,17,76,0,11,2,1,10,76,1,8,5,2,8,76,0,12,4,2,6,87,1,8,4,87,3,4,6,87,3,5,5,80,0,13,7,93,5,2,96,0,2,0,1,0,0,0,1,84,0,1,2,1,5,0,1,1,2,0,0,0,0,0,3,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.638888888888889,3.373449085158798,2.3333333333333335,0.5163977794943222,0,0,0,0
CM,CMR,Cameroon,-99,2020-12-26,2020-12-24,100,1,115590.104628759,1,115590.104628759,20,75,13078142.090981575,0,7,3,90,4,13,83,6,4,90,5,25,70,4,14,82,6,17,77,6,3,91,5,6,89,7,4,89,4,4,92,6,6,88,7,16,77,6,6,88,6,26,68,97,1,0,2,87,2,2,9,96,0,0,4,75,1,12,12,86,3,5,6,83,1,4,12,97,0,3,0,94,1,3,2,96,0,3,1,96,0,2,2,94,1,0,5,84,0,6,10,94,2,3,1,74,1,9,16,25,0,10,65,92,0,4,4,27,1,30,42,71,1,6,22,94,1,5,0,94,1,4,1,100,0,0,38,1,18,43,100,35,1,15,13,16,20,39,9,18,10,24,39,12,19,15,15,39,13,23,10,15,39,13,20,12,16,39,16,6,12,27,82,10,2,6,82,7,10,1,82,7,7,4,82,9,2,7,82,9,4,5,82,6,6,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,44,3,35,18,44,3,35,18,44,5,23,28,44,4,32,20,44,4,27,25,44,5,31,20,47,1,26,26,74,0,13,6,2,5,51,1,2,7,23,16,51,4,44,1,53,2,10,35,53,0,10,13,6,8,8,2,53,2,16,11,12,6,55,0,12,15,13,5,57,0,1,39,3,67,0,1,30,2,67,1,21,11,67,3,17,13,78,2,10,10,69,4,10,17,75,4,12,9,71,3,20,6,70,0,0,3,2,10,15,70,0,0,2,3,7,18,75,0,12,2,2,9,75,1,8,5,3,8,75,0,13,2,4,6,87,0,8,5,87,2,5,6,87,3,5,5,78,0,13,9,91,7,2,95,0,2,0,1,0,0,0,2,82,0,0,4,0,5,0,1,2,2,0,0,0,0,1,3,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.571428571428572,3.070597894314954,2.4285714285714284,0.9759000729485332,0,0,0,0
CM,CMR,Cameroon,-99,2020-12-27,2020-12-24,100,2,421197.23827587196,2,421197.23827587196,18,78,14276573.73599035,0,9,6,85,6,17,77,7,3,90,7,30,63,7,13,80,8,18,74,7,2,91,7,4,89,7,5,88,6,3,91,8,6,86,7,15,78,8,4,88,8,24,68,94,1,1,4,83,2,3,12,97,0,0,3,70,0,13,17,87,0,5,8,82,0,4,14,98,0,2,0,96,0,1,3,95,0,2,3,97,0,2,1,94,0,0,6,85,1,4,10,96,1,2,1,76,1,8,15,21,1,10,68,92,1,5,2,24,3,28,45,72,1,7,20,93,1,6,0,93,1,6,0,100,0,0,37,3,18,42,100,31,0,21,14,17,17,34,10,21,13,22,34,16,18,13,19,34,16,22,12,16,34,16,17,14,19,34,19,6,13,28,82,11,1,6,82,8,8,2,82,8,6,4,82,11,3,4,82,11,1,6,82,8,5,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,39,5,36,20,39,5,39,17,39,8,25,28,39,5,33,23,39,7,28,26,39,7,32,22,42,1,30,27,70,1,15,7,2,5,46,1,1,10,25,17,46,6,47,1,49,3,13,35,49,1,8,14,10,6,9,3,49,2,18,10,11,10,53,2,13,17,11,4,60,0,1,36,3,67,0,1,30,2,66,2,22,10,63,4,19,14,76,4,11,9,68,4,12,16,74,5,12,9,70,4,18,8,69,0,0,1,5,9,16,69,1,0,0,3,8,19,74,1,11,3,2,9,74,1,7,5,4,9,74,0,10,4,5,7,87,1,10,2,87,5,3,5,87,6,3,4,76,1,15,8,92,5,3,96,0,1,0,1,0,0,0,2,81,0,0,7,0,4,0,0,1,2,0,0,0,0,1,4,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.8108108108108105,2.9799127302456156,2.3333333333333335,1.0327955589886444,0,0,0,0
CM,CMR,Cameroon,-99,2020-12-28,2020-12-24,100,2,421197.23827587196,2,421197.23827587196,18,78,14243245.5865536,0,9,6,85,6,18,76,7,3,90,6,31,63,7,14,79,8,18,74,7,2,91,7,4,89,7,5,88,6,4,90,8,6,86,7,15,78,8,4,88,7,24,69,94,1,1,4,82,3,4,11,97,0,0,3,69,1,14,16,86,1,6,7,82,0,4,14,98,0,2,0,96,0,1,3,95,0,2,3,96,1,2,1,94,0,0,6,85,1,4,10,96,1,2,1,76,1,9,14,21,1,10,68,93,1,4,2,25,3,28,44,72,1,7,20,93,0,7,0,93,0,7,0,100,0,0,38,3,18,41,100,30,0,21,14,17,18,34,10,22,13,21,34,16,19,13,18,34,16,22,12,16,34,16,17,15,18,34,19,6,13,28,82,10,2,6,82,8,8,2,82,7,7,4,82,11,3,4,82,10,2,6,82,8,5,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,39,5,35,21,39,5,40,16,39,8,25,28,39,5,34,22,39,7,29,25,39,7,32,22,42,1,30,27,70,1,15,7,2,5,46,1,1,11,24,17,46,6,46,2,49,3,14,34,49,1,8,13,10,6,10,3,49,2,17,11,11,10,53,2,12,18,11,4,60,0,1,36,3,67,0,1,30,2,67,2,21,10,62,4,19,15,76,4,11,9,67,4,12,17,73,5,12,10,70,4,17,9,69,0,0,1,6,9,15,69,1,0,0,4,8,18,74,1,11,4,2,8,74,1,7,5,5,8,74,0,11,4,5,6,86,1,11,2,86,6,3,5,86,6,4,4,77,1,14,8,92,5,3,96,0,1,0,1,0,0,0,2,82,0,0,7,0,4,0,0,1,2,0,0,0,0,1,3,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.6923076923076925,2.9482719841133536,2.3333333333333335,1.0327955589886444,0,0,0,0
CM,CMR,Cameroon,-99,2020-12-30,2020-12-25,100,4,660201.6550627099,4,660201.6550627099,17,79,14898756.374726716,0,9,8,83,7,21,72,8,5,87,7,38,55,9,20,71,7,19,74,7,3,90,9,6,85,8,6,86,7,7,86,9,3,88,8,17,75,9,6,85,7,21,72,92,1,2,5,79,3,7,11,95,0,2,3,62,2,18,18,80,2,8,10,81,0,5,14,97,0,2,1,94,0,1,5,94,0,3,3,93,1,4,2,97,0,0,3,83,1,5,11,94,1,2,3,79,1,9,11,20,1,9,70,92,1,5,2,23,3,26,48,74,1,6,19,94,0,6,0,94,0,6,0,100,0,0,34,3,20,43,100,28,1,20,14,17,20,36,10,23,12,19,36,20,19,8,17,36,19,19,11,15,36,19,16,13,16,36,21,6,11,26,81,11,4,4,81,9,7,3,81,7,10,2,81,12,4,3,81,11,2,6,81,10,5,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,42,6,31,21,42,6,34,18,42,8,24,26,42,4,34,20,42,6,28,24,42,6,29,23,45,1,30,24,70,1,17,5,1,6,50,1,2,10,21,16,50,5,41,4,52,3,13,32,52,1,8,11,13,4,8,3,52,2,16,9,12,9,56,2,9,16,13,4,63,0,0,35,2,69,0,1,30,0,70,2,18,10,67,2,17,14,76,3,13,8,66,3,15,16,73,4,15,8,72,3,16,9,70,0,0,0,6,10,14,70,1,0,0,4,8,17,76,1,9,5,2,7,76,1,5,6,5,7,76,0,10,4,5,5,86,1,11,2,86,7,3,4,86,6,5,3,78,1,14,7,93,4,3,98,0,1,0,0,0,0,0,1,84,0,1,6,0,2,0,0,1,2,0,0,0,0,1,3,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.375,2.6378652985574025,2.142857142857143,1.0690449676496976,0,0,0,0
CM,CMR,Cameroon,-99,2020-12-31,2020-12-27,100,6,851581.086036022,5,755891.370549366,26,78,14857209.701002346,0,11,10,79,10,24,66,11,5,84,10,35,55,11,22,67,10,16,74,12,4,84,13,6,81,10,6,84,12,6,82,13,6,81,9,19,72,13,5,82,10,21,69,90,1,4,5,76,4,8,12,95,1,2,2,65,3,12,20,78,4,6,12,84,1,4,11,96,1,1,2,94,1,0,5,94,1,1,4,94,1,2,3,94,0,2,4,81,3,6,10,95,2,1,2,79,4,7,10,21,1,12,66,89,1,7,3,24,3,29,44,71,1,11,17,89,0,11,0,89,2,9,0,98,1,1,39,3,16,42,100,29,2,21,17,10,21,38,7,27,12,16,38,17,19,8,18,38,19,18,7,18,38,20,11,12,19,38,20,7,6,29,85,6,5,4,85,6,7,2,85,4,8,3,85,7,2,6,85,7,2,6,85,8,3,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,43,4,30,23,43,6,29,22,43,6,24,27,43,3,33,21,43,6,27,24,43,5,30,22,47,1,30,22,70,1,14,3,4,8,50,0,2,11,17,20,50,2,43,5,52,1,13,34,52,1,10,10,12,3,10,2,52,1,14,6,13,14,56,3,9,14,14,4,62,0,0,35,3,66,2,2,29,1,71,1,16,12,72,1,16,11,77,2,13,8,68,0,17,15,74,1,17,8,72,1,17,10,68,0,1,0,6,11,14,68,2,0,0,4,9,17,74,2,9,7,1,7,74,1,6,6,2,11,74,1,8,6,3,8,86,2,11,1,86,8,4,2,86,6,6,2,78,2,14,6,94,2,4,100,0,0,0,0,0,0,0,0,86,0,1,5,0,3,0,0,1,1,0,0,1,0,0,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3,2.087815690853567,2.5555555555555554,1.8104634152000358,0,0,0,0
CM,CMR,Cameroon,-99,2021-01-01,2020-12-27,100,7,841603.6000224884,6,745913.8845358323,24,79,14294892.45557929,0,10,11,79,9,23,68,12,4,84,9,34,57,10,23,67,10,13,77,13,5,82,13,7,80,10,6,84,12,9,79,14,7,79,10,19,71,15,4,81,11,19,70,89,3,4,4,77,5,8,10,96,1,2,1,66,5,12,17,77,5,7,11,87,1,4,8,95,2,1,2,93,2,1,4,94,2,1,3,91,2,2,5,93,2,2,3,81,5,6,8,96,2,0,2,81,4,7,8,20,1,11,68,91,0,6,3,23,2,26,49,74,0,10,16,90,0,10,0,90,2,8,0,98,1,1,35,3,15,47,100,28,2,19,14,11,26,36,6,23,10,25,36,16,18,8,22,36,18,17,8,21,36,20,10,13,21,36,20,6,6,32,87,7,4,2,87,6,6,1,87,4,7,2,87,7,2,4,87,7,2,4,87,7,3,3,88,6,0,6,88,5,1,6,88,5,1,6,88,6,0,6,88,5,4,3,88,5,3,4,88,4,2,6,94,3,0,3,94,0,4,2,94,2,1,3,94,3,0,3,94,3,0,3,42,4,30,24,42,6,28,24,42,5,24,29,42,2,34,22,42,5,27,26,42,4,31,23,47,1,31,21,69,0,13,4,5,9,51,0,2,11,17,19,51,1,44,4,53,1,12,34,53,1,9,10,11,5,9,2,53,1,13,5,13,15,55,2,8,12,19,4,59,0,0,38,3,63,2,2,32,1,71,0,16,13,73,0,18,9,77,0,13,10,67,0,12,21,74,0,17,9,71,0,18,11,64,1,1,0,7,10,17,64,3,0,0,4,8,21,70,2,8,9,2,9,70,1,6,7,5,11,70,1,10,4,6,9,86,3,10,1,86,7,5,2,86,4,7,3,75,2,17,6,94,3,3,99,0,0,0,0,0,0,0,1,82,0,2,4,1,2,1,0,1,2,0,1,2,0,0,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.6,1.9974342516697738,2.625,1.9226098333849675,0,0,0,0
CM,CMR,Cameroon,-99,2021-01-02,2020-12-27,100,7,841603.6000224884,6,745913.8845358323,24,79,14316148.772660453,0,10,11,79,9,22,69,12,4,84,9,33,58,10,23,67,10,14,76,13,5,82,13,7,80,10,6,84,12,9,79,14,7,79,10,19,71,15,4,81,11,19,70,89,3,4,4,78,4,8,10,96,1,2,1,67,5,11,17,77,5,7,11,86,1,4,9,95,2,1,2,93,2,1,4,94,2,1,3,91,2,2,5,93,2,2,3,81,5,6,8,96,2,0,2,81,4,7,8,20,1,11,68,91,0,6,3,23,1,26,50,74,0,10,16,90,0,10,0,90,2,8,0,98,1,1,34,3,16,47,100,29,2,19,14,11,25,37,6,22,10,25,37,15,18,8,22,37,17,17,8,21,37,19,10,13,21,37,19,6,6,32,87,7,4,2,87,6,6,1,87,4,7,2,87,7,2,4,87,7,2,4,87,7,3,3,88,6,0,6,88,5,1,6,88,5,1,6,88,6,0,6,88,5,4,3,88,5,3,4,88,4,2,6,94,3,0,3,94,0,4,2,94,2,1,3,94,3,0,3,94,3,0,3,43,4,30,23,43,6,27,24,43,5,24,28,43,2,34,21,43,5,26,26,43,4,31,22,48,1,31,20,69,0,13,4,5,9,52,0,2,10,17,19,52,1,43,4,54,1,12,33,54,1,8,10,11,5,9,2,54,1,12,5,13,15,56,2,7,12,19,4,60,0,0,38,2,64,2,2,31,1,71,0,16,13,74,0,17,9,77,0,13,10,67,0,12,21,75,0,16,9,71,0,18,11,65,1,1,0,6,10,17,65,2,0,0,4,8,21,70,2,8,9,2,9,70,1,6,7,5,11,70,1,10,4,6,9,86,3,10,1,86,7,5,2,86,4,7,3,75,2,17,6,94,3,3,99,0,0,0,0,0,0,0,1,82,0,2,4,1,2,1,0,1,2,0,1,2,0,0,2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.6,1.9974342516697738,2.625,1.9226098333849675,0,0,0,0
CM,CMR,Cameroon,-99,2021-01-03,2020-12-31,100,6,606832.9166221801,4,436560.43619223934,20,84,13430622.283573499,0,6,10,84,5,19,76,8,3,89,6,30,64,5,15,80,7,15,78,9,7,84,8,9,83,7,6,87,9,10,81,10,7,83,6,17,77,10,4,86,8,18,74,90,2,5,3,81,4,9,6,97,1,2,0,70,5,11,14,85,4,6,5,85,1,7,7,93,3,1,3,91,3,5,1,94,2,1,3,90,2,4,4,93,2,3,2,83,5,7,5,96,3,1,0,82,5,6,7,16,0,10,74,91,0,4,5,17,0,29,54,71,0,12,17,88,0,12,0,88,2,10,0,98,1,1,30,1,23,46,100,24,2,20,19,13,22,30,8,25,9,28,30,16,22,11,21,30,16,24,8,22,30,20,12,13,25,30,20,5,9,36,79,11,4,6,79,9,8,4,79,7,9,5,79,10,4,7,79,10,3,8,79,10,2,9,88,6,0,6,88,5,1,6,88,5,1,6,88,6,0,6,88,5,4,3,88,5,3,4,88,4,2,6,94,3,0,3,94,0,4,2,94,2,1,3,94,3,0,3,94,3,0,3,38,4,33,25,38,4,30,28,38,4,26,32,38,3,36,23,38,5,27,30,38,2,39,21,43,0,31,26,69,0,9,5,7,10,47,0,3,13,21,16,47,1,51,1,50,0,13,37,50,0,11,10,13,8,7,1,50,0,14,10,12,14,50,1,9,16,20,4,52,0,1,45,2,60,2,2,35,1,70,1,17,12,73,0,18,9,76,1,14,9,67,1,12,20,75,0,16,9,65,1,19,15,61,1,1,0,6,15,16,61,2,0,0,3,12,22,65,1,15,6,4,9,65,1,9,8,5,12,65,1,13,7,4,10,83,3,13,1,83,7,7,3,83,4,9,4,72,1,19,8,92,5,3,96,0,0,1,1,0,0,0,2,77,0,1,4,3,2,1,0,3,2,0,1,2,0,0,4,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.707317073170732,1.8740851426632728,2.2857142857142856,2.2886885410853175,0,0,0,0
