ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
DZ,DZA,Algeria,-99,2020-12-21,2020-12-21,200,11,339616.69340924214,6,127494.18593995784,87,135,9484790.84690584,0,16,16,168,18,27,155,14,20,166,17,47,136,16,41,143,16,44,140,14,27,159,18,21,161,17,15,168,16,22,162,11,27,162,17,43,140,21,16,163,17,64,119,188,3,6,3,177,4,11,8,181,4,9,6,160,3,22,15,165,4,12,19,164,2,17,17,178,4,12,6,183,0,14,3,190,1,5,4,182,1,10,7,177,2,8,13,164,4,19,13,187,0,11,2,141,5,35,19,62,3,40,95,164,0,15,21,71,7,33,89,167,1,9,23,191,0,4,4,1,191,0,4,4,1,196,0,2,1,1,90,5,27,78,200,0,82,1,21,28,30,38,185,3,3,4,5,185,3,3,5,4,185,3,4,3,5,185,4,3,4,4,185,4,1,2,8,0,175,5,9,11,175,8,7,10,175,6,13,6,175,8,6,11,175,8,7,10,175,9,6,10,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,113,5,49,33,113,3,57,27,113,5,25,57,113,4,29,54,113,4,11,72,113,4,16,67,119,0,31,50,169,0,10,12,5,4,123,2,4,12,31,28,123,2,71,4,127,5,12,56,127,1,39,25,4,1,1,2,127,2,35,11,11,14,133,1,19,34,9,4,133,1,10,54,2,139,1,15,42,3,152,2,41,5,143,3,53,1,175,2,19,4,171,1,18,10,189,0,10,1,185,1,14,0,142,2,3,3,11,19,20,142,2,2,7,12,13,22,145,1,32,8,7,7,145,1,9,6,15,24,145,1,13,13,11,17,176,5,14,5,176,11,6,7,176,8,9,7,150,2,18,30,170,0,12,18,191,2,0,0,0,1,0,1,5,174,1,1,1,2,2,3,0,5,2,0,1,1,3,0,0,4,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,200,0,0,0,0,0,0,8.72,9.044199855178354,2.9608695652173913,2.9724093579627198,0,0,0,0
DZ,DZA,Algeria,-99,2020-12-22,2020-12-22,196,4,98324.54952803734,2,16846.93985356685,106,144,9759307.91106179,0,14,14,168,15,17,164,17,7,172,11,46,139,14,25,157,16,26,154,13,20,163,13,19,164,18,13,165,14,15,167,18,11,167,11,32,153,18,10,168,14,51,131,182,2,7,5,179,4,7,6,189,0,6,1,150,5,24,17,171,4,9,12,170,2,10,14,176,1,6,13,177,2,14,3,183,0,4,9,181,3,7,5,185,2,3,6,164,6,15,11,186,1,6,3,145,3,31,17,51,1,40,104,163,0,14,19,63,3,34,96,163,1,12,20,184,1,7,3,1,184,1,9,1,1,187,0,6,3,0,81,0,18,97,196,0,74,0,20,24,35,43,91,14,26,30,35,91,25,30,25,25,91,24,29,22,30,91,25,26,27,27,91,28,16,15,46,0,181,10,1,4,181,10,1,4,181,5,6,4,181,8,5,2,181,8,5,2,181,8,5,2,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,196,0,0,0,105,7,46,38,105,6,60,25,105,7,30,54,105,7,38,46,105,8,11,72,105,6,23,62,109,0,37,50,159,4,19,6,1,7,115,1,1,10,27,42,115,3,76,2,119,1,13,63,119,1,32,29,10,4,1,0,119,1,38,16,12,10,121,4,23,33,12,3,122,1,11,58,4,130,1,11,53,1,151,1,43,1,138,2,54,2,167,1,27,1,159,1,25,11,185,0,9,2,174,0,21,1,135,2,3,2,11,23,20,135,0,1,7,8,22,23,143,3,19,18,10,3,143,0,9,11,6,27,143,0,10,15,9,19,174,6,10,6,174,12,3,7,174,8,7,7,149,1,19,27,169,0,8,19,188,0,2,1,1,1,0,1,2,170,0,1,3,3,8,0,1,1,1,0,1,1,0,0,3,3,196,0,0,0,0,0,196,0,0,0,0,0,0,0,0,196,0,0,0,0,196,0,0,0,0,0,0,5.444444444444445,6.572287923810027,3.275862068965517,2.7889648838149093,0,0,0,0
DZ,DZA,Algeria,3,2020-12-22,2020-12-21,100,1,68745.7358817012,1,68745.7358817012,87,100,4067436.6643192475,95,4,5,91,3,8,89,4,1,95,4,31,65,4,16,80,4,16,80,4,8,88,4,2,94,4,2,94,4,3,93,4,9,87,4,25,71,4,4,92,4,31,65,95,0,1,4,92,0,1,7,99,0,1,0,69,1,11,19,84,0,3,13,84,0,7,9,92,1,4,3,98,0,1,1,98,1,1,0,97,0,2,1,91,0,3,6,75,1,8,16,96,0,2,2,69,0,19,12,0,0,32,68,68,0,12,20,0,2,28,70,72,0,7,21,93,0,2,5,0,93,0,6,1,0,94,0,4,2,0,9,1,18,72,100,0,0,0,16,25,29,30,34,3,20,20,23,34,4,24,22,16,34,7,20,23,16,34,7,22,17,20,34,8,18,7,33,0,82,8,2,8,82,8,3,7,82,6,7,5,82,5,9,4,82,9,2,7,82,8,2,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,4,54,42,0,5,77,18,0,4,45,51,0,5,55,40,0,5,16,79,0,6,25,69,0,0,63,37,37,0,25,20,7,11,0,2,2,11,34,51,0,3,95,2,0,1,19,80,0,0,41,30,15,3,7,4,0,1,31,17,28,23,0,0,19,53,17,11,0,1,3,95,1,0,1,7,86,6,46,2,44,8,23,3,64,10,55,2,34,9,45,3,37,15,84,1,11,4,75,2,19,4,0,0,2,12,21,36,29,0,0,4,12,20,22,42,0,1,41,31,12,15,0,0,11,12,21,56,0,0,23,23,17,37,54,9,30,7,54,12,24,10,54,14,26,6,0,0,55,45,55,0,12,33,88,1,2,1,2,1,1,0,4,33,0,1,12,8,7,1,2,6,2,2,1,2,5,1,2,15,0,0,76,23,0,1,0,0,0,0,100,0,0,0,0,3,2,55,26,14,3,0,15,35,33,7,7,5.610169491525424,6.37618670267183,2.962962962962963,1.7863043388188897,11.363636363636363,5.659255095334084,3.3010752688172045,2.1558058426559534
DZ,DZA,Algeria,-99,2020-12-23,2020-12-23,220,7,589661.5586916959,6,553142.1162924691,107,165,10587559.649177903,0,16,13,191,17,25,178,15,9,196,11,62,147,11,28,181,13,36,171,15,31,174,10,29,181,14,22,184,12,20,188,15,19,186,13,55,152,17,18,185,14,65,141,207,2,9,2,195,1,13,11,211,2,5,2,158,4,34,24,192,5,13,10,184,4,15,17,189,2,17,12,191,2,16,11,198,2,11,9,200,2,14,4,201,4,13,2,165,9,19,27,202,1,13,4,155,2,35,28,53,2,55,110,171,0,24,25,61,7,49,103,171,2,17,30,203,0,5,10,2,203,0,10,5,2,210,1,4,4,1,88,3,22,107,220,0,72,1,29,26,42,50,100,16,26,27,51,100,23,31,30,36,100,27,30,24,39,100,28,25,23,44,100,28,22,14,56,0,200,9,3,8,200,10,2,8,200,5,6,9,200,6,6,8,200,8,2,10,200,9,0,11,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,220,0,0,0,113,4,59,44,113,7,74,26,113,9,44,54,113,10,38,59,113,12,11,84,113,8,23,76,120,1,41,58,179,2,25,6,2,6,124,1,3,11,34,47,124,3,93,0,128,3,9,80,128,2,39,33,10,3,1,4,128,3,49,15,10,15,132,2,26,39,15,6,136,0,12,62,10,145,4,14,50,7,161,2,51,6,147,2,65,6,177,2,36,5,182,4,22,12,210,0,5,5,197,2,17,4,152,1,1,3,24,19,20,152,1,1,6,18,17,25,161,0,25,17,11,6,161,1,8,9,17,24,161,1,11,15,17,15,195,6,14,5,195,13,4,8,195,6,14,5,165,0,13,42,178,1,12,29,212,0,1,0,1,0,1,1,4,201,1,0,2,5,1,0,0,1,1,1,1,0,1,1,0,4,220,0,0,0,0,0,220,0,0,0,0,0,0,0,0,220,0,0,0,0,220,0,0,0,0,0,0,8.26086956521739,8.76431966742066,2.32972972972973,1.8945631077822056,0,0,0,0
DZ,DZA,Algeria,2,2020-12-23,2020-12-22,100,0,0,0,0,94,98,4890981.6024793275,96,3,4,93,3,3,94,3,2,95,2,28,70,3,15,82,3,13,84,3,5,92,2,6,92,4,5,91,3,4,93,3,6,91,1,27,72,3,4,93,3,30,67,96,0,2,2,97,0,0,3,98,0,1,1,72,0,9,19,85,0,2,13,87,0,6,7,95,0,2,3,94,0,4,2,95,0,1,4,96,0,4,0,94,0,1,5,73,0,6,21,96,0,2,2,70,0,16,14,0,2,27,71,73,0,13,14,0,3,33,64,67,0,8,25,92,0,1,7,0,92,0,5,3,0,95,0,3,1,1,11,0,14,75,100,0,0,0,12,18,22,48,0,5,20,28,47,0,9,32,27,32,0,7,35,22,36,0,9,28,27,36,0,10,14,20,56,0,86,4,6,4,86,5,2,7,86,6,5,3,86,4,4,6,86,6,1,7,86,5,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,5,46,49,0,3,69,28,0,3,39,58,0,4,56,40,0,6,5,89,0,3,34,63,0,1,48,51,52,0,28,11,2,7,0,1,2,16,31,50,0,0,97,3,0,1,28,71,0,0,42,29,13,5,4,7,0,1,38,21,14,26,0,1,17,50,26,6,0,1,2,93,4,0,1,6,89,4,54,0,37,9,31,0,58,11,61,1,25,13,44,1,34,21,95,0,4,1,66,0,31,3,0,3,2,6,28,31,30,0,2,2,13,24,21,38,0,1,48,27,13,11,0,1,18,14,19,48,0,2,22,26,20,30,52,3,36,9,52,11,14,23,52,8,20,20,0,0,60,40,60,1,13,26,87,0,5,0,1,1,0,1,5,27,0,4,10,6,3,3,2,13,5,1,1,5,2,2,3,13,0,1,63,32,2,2,0,0,0,100,0,0,0,0,0,4,2,57,23,14,4,1,15,22,32,16,10,6.593220338983051,8.489585189630468,4.190476190476191,3.0102997794081507,12.464285714285714,5.928177412616471,3.3888888888888884,2.2669805907311074
DZ,DZA,Algeria,3,2020-12-23,2020-12-22,100,1,7356.4971548078,1,7356.4971548078,86,100,3824257.5471089436,95,4,4,92,3,6,91,4,2,94,5,29,66,4,16,80,5,11,84,4,8,88,3,8,89,4,2,94,4,5,91,5,7,88,5,21,74,4,3,93,4,25,71,96,0,2,2,94,0,3,3,98,0,0,2,71,4,10,15,84,2,6,8,89,0,7,4,92,2,4,2,92,2,3,3,98,0,1,1,95,2,2,1,93,1,2,4,79,0,11,10,97,0,2,1,75,1,14,10,0,0,34,66,66,0,17,17,0,2,28,70,72,0,8,20,92,0,2,5,1,92,0,5,3,0,95,0,4,1,0,10,1,15,74,100,0,0,0,13,35,19,33,0,5,26,32,37,0,3,45,28,24,0,7,34,34,25,0,8,31,29,32,0,10,21,16,53,0,85,6,3,6,85,7,2,6,85,6,6,3,85,3,7,5,85,7,3,5,85,6,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,57,41,0,2,78,20,0,3,46,51,0,3,57,40,0,2,15,83,0,2,29,69,0,0,55,45,45,0,24,17,6,8,0,2,1,17,33,47,0,2,95,3,0,0,14,86,0,0,39,37,9,6,8,1,0,1,29,18,24,28,0,1,22,44,21,12,0,1,6,90,3,0,0,12,82,6,43,2,45,10,22,3,65,10,54,0,36,10,43,1,40,16,85,0,11,4,71,0,24,5,0,1,1,9,25,32,32,0,1,3,6,24,30,36,0,1,38,34,11,16,0,0,9,16,24,51,0,0,25,22,23,30,53,7,32,8,53,12,15,20,53,12,22,13,0,0,60,40,60,0,15,25,85,0,5,0,2,1,2,0,5,25,0,1,16,7,8,1,0,7,5,2,3,5,6,0,3,11,0,1,81,15,0,3,0,0,0,0,100,0,0,0,0,4,1,58,23,14,4,1,21,35,25,4,10,4.588235294117647,4.350523971147545,3.08,1.6812693617224654,11.52808988764045,6.194003492455883,3.247311827956989,1.9541255910558688
DZ,DZA,Algeria,-99,2020-12-24,2020-12-24,235,15,1202312.742842505,13,935601.6700828824,99,174,11324764.794415064,0,18,20,197,16,38,181,19,11,205,16,70,149,18,44,173,17,42,176,18,33,184,17,15,203,16,21,198,17,18,200,19,21,195,16,50,169,17,15,203,18,58,159,215,4,7,9,197,4,16,18,224,2,6,3,165,5,29,36,191,4,21,19,193,3,21,18,202,3,16,14,220,2,9,4,214,2,11,8,217,3,9,6,214,3,13,5,185,8,17,25,220,4,7,4,177,6,27,25,60,1,49,125,195,0,17,23,71,3,39,122,196,1,11,27,224,0,5,5,1,224,1,5,5,0,230,0,1,4,0,87,2,26,120,235,0,81,1,28,35,38,52,103,19,28,35,50,103,30,30,32,40,103,34,30,29,39,103,34,25,34,39,103,42,14,22,54,0,209,11,8,7,209,12,8,6,209,10,11,5,209,14,6,6,209,14,3,9,209,12,6,8,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,235,0,0,0,111,14,57,53,111,11,81,32,111,18,44,62,111,15,50,59,111,13,23,88,111,12,29,83,119,6,43,67,192,0,26,8,3,6,123,2,5,15,44,46,123,4,106,2,132,1,21,81,132,0,41,36,14,4,3,5,132,0,55,16,15,17,138,3,23,44,22,5,143,0,16,74,2,152,2,10,68,3,179,0,50,6,158,0,72,5,192,0,37,6,186,0,33,16,213,0,17,5,206,0,24,5,158,5,2,4,18,21,27,158,2,3,7,13,31,21,168,1,31,19,11,5,168,0,7,9,21,30,168,0,16,14,17,20,207,6,13,9,207,5,15,8,207,6,14,8,176,0,29,30,205,0,7,23,230,0,0,0,0,1,0,0,4,203,0,0,5,2,2,3,1,4,0,0,0,3,1,0,3,8,235,0,0,0,0,0,235,0,0,0,0,0,0,0,0,235,0,0,0,0,235,0,0,0,0,0,0,6.185185185185185,6.740013188249543,2.75,2.757145598595013,0,0,0,0
DZ,DZA,Algeria,2,2020-12-24,2020-12-22,100,0,0,0,0,93,97,5605501.107286761,95,4,3,93,4,5,91,4,3,93,3,27,70,5,19,76,4,13,83,4,7,89,4,4,92,4,5,91,4,3,93,4,6,90,2,24,74,5,4,91,5,27,68,97,0,1,2,95,0,1,4,97,0,0,3,73,0,12,15,81,1,6,12,87,0,5,8,93,0,2,5,96,0,3,1,95,1,2,2,97,0,3,0,94,0,1,5,76,2,6,16,96,0,3,1,73,1,15,11,0,3,29,68,71,0,15,14,0,2,29,69,71,0,10,19,90,0,1,9,0,90,0,6,4,0,94,0,3,2,1,12,1,10,77,100,0,0,0,16,11,24,49,0,8,22,25,45,0,12,37,18,33,0,12,33,17,38,0,13,24,24,39,0,14,13,18,55,0,90,3,4,3,90,5,0,5,90,3,4,3,90,3,3,4,90,5,2,3,90,5,3,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,4,51,45,0,3,67,30,0,4,43,53,0,3,55,42,0,6,11,83,0,4,35,61,0,1,51,48,49,0,25,12,4,10,0,1,6,19,36,38,0,1,95,4,0,3,27,70,0,0,40,25,13,9,7,6,0,2,34,20,18,26,0,1,21,47,24,7,0,3,4,86,7,0,1,6,85,8,49,2,38,11,33,2,53,12,57,2,26,15,45,4,30,21,89,2,5,4,65,1,29,5,0,3,2,11,23,30,31,0,2,2,19,17,16,44,0,2,41,22,15,20,0,1,18,13,15,53,0,1,29,21,16,33,50,2,39,9,50,14,16,20,50,11,22,17,0,1,55,44,56,0,14,30,86,0,6,1,2,0,1,0,4,31,0,4,9,4,7,2,2,7,5,2,0,5,5,1,1,15,0,2,66,29,2,1,0,0,0,100,0,0,0,0,0,4,3,45,30,18,4,0,20,15,33,21,7,6.431034482758621,7.574453993327551,4.0476190476190474,2.9744947550162277,13.805555555555554,5.4801451861172294,3.355555555555555,2.163596211009492
DZ,DZA,Algeria,3,2020-12-24,2020-12-23,100,1,7356.4971548078,1,7356.4971548078,68,100,4458447.38542589,97,3,3,94,3,6,91,3,2,95,3,27,70,3,12,85,4,9,87,2,11,87,2,5,93,3,2,95,4,3,93,3,9,88,3,22,75,4,5,91,2,25,73,97,0,2,1,94,0,2,4,98,0,0,2,73,4,7,16,88,2,4,6,91,0,5,4,89,3,4,4,95,2,2,1,98,0,1,1,97,2,1,0,91,2,5,2,78,1,9,12,95,0,2,3,75,2,12,11,0,0,27,73,73,0,12,15,0,2,34,64,66,0,9,25,91,0,3,4,2,91,0,6,3,0,94,0,5,1,0,11,0,9,80,100,0,0,0,11,33,18,38,0,8,17,31,44,0,8,41,22,29,0,9,37,21,33,0,12,29,23,36,0,15,10,16,59,0,91,2,3,4,91,3,1,5,91,0,8,1,91,3,1,5,91,3,2,4,91,3,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,56,44,0,1,78,21,0,3,45,52,0,2,54,44,0,2,20,78,0,1,29,70,0,0,49,51,51,0,20,14,7,8,0,2,3,16,37,42,0,0,98,2,0,1,18,81,0,0,38,34,8,9,7,4,0,0,37,14,21,28,0,0,18,52,18,12,0,0,7,90,3,0,0,12,84,4,44,2,44,10,22,3,64,11,55,0,36,9,46,1,35,18,80,0,14,6,71,0,26,3,0,1,3,4,26,28,38,0,1,3,3,11,36,46,0,1,37,33,12,17,0,0,9,16,22,53,0,0,24,20,24,32,56,4,33,7,56,12,14,18,56,12,17,15,0,1,60,39,61,0,18,21,82,2,6,0,3,1,0,0,6,22,0,6,8,8,13,2,0,6,4,0,2,8,6,0,5,10,0,2,74,22,0,2,0,0,0,0,100,0,0,0,0,2,1,54,26,17,2,3,15,26,33,13,8,5.081632653061225,6.447986554905717,2.8636363636363638,1.3902878956893903,11.64367816091954,5.780836447673473,3.5604395604395602,1.8391350092958325
DZ,DZA,Algeria,4,2020-12-24,2020-12-22,100,1,94768.1260856142,0,0,76,99,3660879.8892921405,98,1,2,97,1,13,86,0,4,96,1,25,74,1,17,82,0,16,84,1,9,90,0,4,96,1,5,94,0,3,97,1,9,90,1,17,82,2,4,94,1,20,79,98,0,1,1,87,1,3,9,96,1,2,1,75,0,11,14,83,0,7,10,84,0,9,7,91,0,4,5,96,0,2,2,95,0,5,0,97,0,0,3,91,0,4,5,83,0,6,11,96,0,1,3,80,0,10,10,0,1,29,70,71,0,7,22,0,0,26,74,74,1,10,15,90,0,3,7,0,90,0,5,5,0,95,1,3,1,0,11,2,18,69,100,0,0,0,10,29,26,35,0,9,23,26,42,0,13,25,31,31,0,20,25,27,28,0,21,24,26,29,0,23,12,17,48,0,82,11,2,5,82,11,2,5,82,6,7,5,82,11,3,4,82,11,2,5,82,10,2,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,54,45,0,1,78,21,0,1,40,59,0,2,45,53,0,2,13,85,0,1,19,80,0,1,50,49,50,0,23,16,7,4,0,0,1,12,40,47,0,0,98,2,0,0,20,80,0,0,43,43,6,6,1,1,0,0,35,20,21,24,0,1,20,61,15,3,0,0,6,94,0,0,2,11,86,1,46,3,46,5,22,2,71,5,60,2,35,3,55,4,33,8,87,3,8,2,81,0,18,1,0,1,1,6,23,37,32,0,1,0,3,23,32,41,0,2,41,34,13,10,0,2,7,15,27,49,0,0,16,30,25,29,54,9,28,9,54,21,12,13,54,19,19,8,0,0,52,48,52,0,22,26,78,0,4,1,2,1,2,2,10,26,1,1,6,4,13,1,4,6,5,1,2,3,8,2,4,13,0,1,79,15,0,5,0,0,0,0,0,100,0,0,0,2,6,56,20,16,2,0,5,23,43,17,10,8.807692307692308,10.147999825211306,2.88,2.6975297341580253,11.524390243902438,7.844516225287097,4.033333333333333,2.215623786667074
