ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BY,BLR,Belarus,-99,2020-12-22,2020-12-21,100,12,229571.79356812732,9,177914.62858666992,93,70,2189003.577909273,0,7,20,73,4,34,62,7,13,80,5,43,52,6,36,58,8,27,65,9,14,77,8,18,74,9,6,85,5,24,71,8,20,72,7,30,63,8,16,76,6,40,54,81,2,12,5,67,4,13,16,88,0,12,0,60,6,22,12,65,3,16,16,74,2,16,8,87,0,8,5,83,2,13,2,95,0,3,2,77,3,15,5,82,0,16,2,70,1,21,8,85,1,11,3,63,0,29,8,28,2,36,34,70,0,13,17,34,2,34,30,69,3,13,15,87,7,5,1,87,3,10,0,97,0,0,2,1,55,1,21,23,100,43,1,6,24,13,13,72,1,5,9,13,72,2,7,9,10,72,3,10,8,7,72,3,5,4,16,72,3,1,1,23,83,7,2,8,83,7,2,8,83,4,7,6,83,5,5,7,83,6,1,10,83,7,3,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,58,2,24,16,58,2,30,10,58,5,10,27,58,2,21,19,58,4,6,32,58,3,15,24,65,0,19,16,81,0,10,2,4,3,69,0,0,5,12,14,69,0,31,0,73,0,6,21,73,0,16,7,2,1,0,1,73,0,11,2,7,7,73,0,2,14,7,4,74,0,3,23,0,79,1,3,16,1,77,1,21,1,71,3,24,2,90,0,8,2,80,1,16,3,94,0,5,1,85,2,12,1,86,0,1,0,5,2,6,86,0,1,0,5,3,5,88,0,6,5,1,0,88,0,2,4,0,6,88,0,4,4,4,0,93,2,4,1,93,4,2,1,93,2,3,2,90,0,6,4,96,3,1,100,0,0,0,0,0,0,0,0,97,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,10.133333333333333,10.223858015801703,3.7142857142857144,2.2168188275738085,0,0,0,0
BY,BLR,Belarus,3,2020-12-22,2020-12-21,100,12,228692.3598242944,9,177789.4988447718,179,100,1897645.8123899687,99,1,15,84,1,32,67,1,14,85,0,51,49,1,38,61,1,30,69,0,14,86,0,12,88,1,8,91,1,19,80,1,12,87,0,30,70,1,11,88,1,39,60,85,1,9,5,68,4,18,10,86,3,10,1,49,5,23,23,62,4,11,23,70,1,20,9,86,2,10,2,88,0,10,2,92,2,4,2,81,0,16,3,88,1,7,4,70,2,13,15,89,1,8,2,61,4,19,16,0,0,62,38,38,0,23,39,0,1,47,52,53,1,21,25,79,14,5,2,79,6,15,0,94,0,1,5,0,23,1,34,42,100,0,0,13,28,21,38,14,2,17,25,42,14,3,15,29,39,14,2,29,24,31,14,2,8,20,56,14,2,1,4,79,66,14,3,17,66,13,7,14,66,12,11,11,66,15,4,15,66,14,4,16,66,10,13,11,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,49,51,0,0,79,21,0,2,31,67,0,1,44,55,0,2,23,75,0,1,25,74,0,0,59,41,41,0,29,16,9,5,0,1,2,7,39,51,0,1,99,0,0,0,29,71,0,0,64,25,2,3,2,4,0,0,35,16,28,21,0,0,22,37,36,5,0,0,11,88,1,0,0,14,86,0,51,1,45,3,21,1,75,3,69,2,23,6,56,2,30,12,77,1,16,6,75,2,22,1,0,1,4,7,27,24,37,0,0,5,8,30,25,32,0,1,40,45,10,4,0,0,8,13,34,45,0,1,21,41,25,12,38,8,42,12,38,25,17,20,38,27,14,21,0,0,71,29,71,19,10,81,1,1,0,1,0,6,2,8,10,0,2,17,3,7,1,7,7,7,2,4,6,3,2,5,17,0,3,38,58,0,1,0,0,0,0,100,0,0,0,0,0,1,60,30,9,0,1,26,42,27,4,0,8.772151898734178,9.165080562669415,3.4375000000000004,2.7745519093850706,12.42134831460674,5.56516094495095,2.484848484848485,1.1371611301801425
BY,BLR,Belarus,-99,2020-12-23,2020-12-22,100,6,112111.4472037799,6,112111.4472037799,144,78,2351535.983683387,0,10,13,77,8,32,60,13,13,74,7,51,42,9,40,51,11,31,58,13,15,72,10,16,74,11,4,85,9,17,74,11,16,73,11,37,52,12,13,75,11,34,55,87,3,6,4,68,6,13,13,87,1,9,3,49,7,25,19,60,8,13,19,69,4,15,12,85,0,10,5,84,2,11,3,96,2,2,0,83,4,10,3,84,2,12,2,63,5,17,15,87,3,9,1,66,3,14,17,20,2,43,35,65,0,16,19,28,3,40,29,64,2,12,22,88,8,4,0,88,4,8,0,96,0,0,3,1,49,1,22,28,100,38,1,5,28,14,14,44,3,12,17,24,44,7,15,16,18,44,9,19,13,15,44,9,9,11,27,44,11,1,3,41,82,9,4,5,82,11,3,4,82,7,6,5,82,10,4,4,82,12,1,5,82,12,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,50,0,29,21,50,5,35,10,50,7,19,24,50,1,26,23,50,4,11,35,50,3,14,33,62,0,18,20,82,0,9,3,3,3,62,1,0,5,16,16,62,1,37,0,63,0,18,19,63,0,22,11,3,1,0,0,63,0,11,8,12,6,65,1,6,15,10,3,68,0,4,27,1,73,1,5,19,2,72,3,24,1,66,1,32,1,81,2,14,3,75,1,21,3,89,1,9,1,86,2,12,0,80,0,1,0,7,2,10,80,1,1,0,6,4,8,85,0,7,6,1,1,85,0,1,7,0,7,85,0,5,6,4,0,90,2,6,2,90,7,1,2,90,6,1,3,89,0,7,4,96,3,1,100,0,0,0,0,0,0,0,0,96,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,10.202181818181819,9.795734273975073,4.884615384615385,2.7903680485114943,0,0,0,0
BY,BLR,Belarus,3,2020-12-23,2020-12-22,100,12,215994.6074735104,10,170580.4432326483,182,100,1876702.4803896393,99,3,15,82,2,31,67,2,13,85,2,46,52,2,34,64,2,23,75,2,19,79,1,12,87,2,9,89,2,17,81,2,17,81,2,28,70,2,13,85,2,36,62,85,2,13,0,69,2,20,9,87,0,11,2,54,2,25,19,66,1,19,14,77,0,15,8,81,0,16,3,88,0,12,0,91,0,8,1,83,1,14,2,83,2,12,3,72,2,11,15,87,2,10,1,64,1,19,16,0,0,62,38,38,1,30,31,0,0,55,45,45,1,19,35,81,14,5,0,81,4,15,0,96,0,1,3,0,20,1,30,49,100,0,1,12,33,26,28,0,3,24,26,47,0,4,15,33,48,0,0,37,31,32,0,4,10,27,59,0,4,3,8,85,70,12,1,17,70,11,6,13,70,11,11,8,70,9,7,14,70,12,5,13,70,7,15,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,51,48,0,1,71,28,0,3,25,72,0,2,47,51,0,2,13,85,0,1,28,71,0,0,55,45,45,0,32,11,8,4,0,0,0,4,41,55,0,0,99,1,0,0,25,75,0,0,71,15,2,5,1,6,0,0,40,15,26,19,0,1,17,47,30,5,0,1,6,93,0,0,1,7,92,0,49,0,45,6,29,0,68,3,75,1,21,3,53,2,34,11,87,0,10,3,72,0,25,3,0,1,0,8,22,28,41,0,1,1,6,27,25,40,0,2,40,44,10,4,0,0,10,14,37,39,0,0,24,40,21,15,36,7,39,18,36,17,22,25,36,18,24,22,0,0,67,33,67,19,14,81,0,2,0,0,1,4,3,9,14,0,3,16,3,6,2,2,3,10,0,5,5,5,2,5,19,0,0,46,54,0,0,0,0,0,0,100,0,0,0,0,1,3,59,31,6,1,0,26,36,33,3,1,8.675324675324676,8.871067043220007,3.3529411764705883,2.3308670439282007,12.03888888888889,5.758348983973051,2.5425531914893615,1.1422002311801485
BY,BLR,Belarus,4,2020-12-23,2020-12-22,100,7,120438.3700168693,5,85312.1036390933,170,100,2066091.7936021716,97,4,9,87,2,22,76,3,15,82,2,53,45,3,33,64,2,29,69,3,13,84,2,17,81,3,10,87,3,14,83,3,17,80,2,30,68,3,16,81,2,31,67,91,0,6,3,78,2,12,8,85,1,11,3,47,5,23,25,67,3,14,16,71,4,18,7,87,2,7,4,83,2,8,7,90,2,5,3,86,0,12,2,83,1,11,5,70,3,12,15,84,1,11,4,69,4,14,13,0,0,60,40,40,0,28,32,0,0,52,48,48,2,18,32,82,11,6,1,82,6,12,0,94,0,1,5,0,20,0,34,46,100,0,0,19,23,18,40,0,3,17,31,49,0,3,19,28,50,0,4,38,22,36,0,4,14,13,69,0,5,3,3,89,66,12,10,12,66,17,8,9,66,15,8,11,66,18,6,10,66,20,4,10,66,14,11,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,4,62,34,0,4,77,19,0,7,23,70,0,3,58,39,0,6,18,76,0,4,40,56,0,1,57,42,43,0,33,6,8,10,0,0,2,11,39,48,0,0,100,0,0,0,35,65,0,0,69,24,2,0,3,2,0,1,31,9,26,33,0,2,19,46,21,12,0,0,13,86,1,0,1,17,81,1,38,0,56,6,23,1,75,1,77,1,16,6,42,3,40,15,82,0,13,5,60,0,39,1,0,1,3,9,19,29,39,0,1,2,8,22,29,38,0,0,39,46,12,3,0,0,5,18,19,58,0,0,20,41,26,13,39,9,45,7,39,28,14,19,39,25,18,18,0,1,74,25,75,16,9,84,0,0,0,1,0,8,0,7,10,0,3,9,3,15,2,8,9,15,0,4,5,1,1,3,12,0,0,33,64,0,3,0,0,0,0,0,100,0,0,0,2,3,59,24,12,2,4,17,47,22,6,2,8.415384615384616,7.3715930853096205,3.6829268292682933,2.7334870073794377,14.241758241758241,5.726334214914769,2.3010752688172045,0.9416099330466703
BY,BLR,Belarus,-99,2020-12-24,2020-12-23,100,7,154483.7736548046,7,154483.7736548046,117,78,2282774.570000461,0,8,15,77,9,28,63,10,11,79,5,52,43,6,36,58,9,27,64,9,16,75,9,18,73,9,9,82,9,16,75,11,14,75,9,33,58,10,10,80,5,33,62,85,4,9,2,72,3,14,11,89,2,5,4,48,8,25,19,64,8,18,10,73,6,14,7,84,2,7,7,82,2,9,7,91,3,4,2,84,2,11,3,86,4,6,4,67,7,13,13,90,3,6,1,67,8,13,12,21,1,46,32,57,0,15,28,25,2,40,33,60,2,12,26,88,8,4,0,88,3,9,0,97,0,1,2,0,41,1,25,33,100,30,3,10,25,15,17,39,2,15,18,26,39,7,13,18,23,39,7,18,13,23,39,7,8,13,33,39,8,1,7,45,78,11,3,8,78,12,3,7,78,11,3,8,78,9,9,4,78,12,2,8,78,13,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,47,0,25,28,47,3,40,10,47,4,20,29,47,1,30,22,47,3,15,35,47,2,16,35,55,0,26,19,74,0,11,7,4,4,58,0,0,4,17,21,58,0,42,0,61,0,15,24,61,0,24,9,1,2,1,2,61,0,10,8,11,10,64,1,7,14,12,2,65,0,4,30,1,74,0,3,23,0,77,3,18,2,62,3,33,2,80,3,16,1,71,1,23,5,86,1,10,3,85,2,13,0,82,0,1,0,3,4,10,82,1,0,0,6,3,8,87,0,4,7,1,1,87,0,0,3,1,9,87,0,3,7,3,0,93,0,6,1,93,5,0,2,93,5,0,2,93,0,5,2,98,2,0,99,0,0,0,0,0,0,0,1,96,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,9.1224,8.149602859987118,3.2903225806451615,2.673244575256777,0,0,0,0
BY,BLR,Belarus,2,2020-12-24,2020-12-21,100,3,63963.296724103,2,48266.475609524,148,100,2186953.2900566966,98,1,11,88,2,21,77,2,9,89,1,49,50,1,37,62,2,24,74,2,23,75,2,8,90,2,12,86,0,12,88,2,16,82,2,32,66,2,9,89,1,35,64,89,0,9,2,79,0,9,12,91,0,6,3,51,2,17,30,63,0,15,22,76,1,12,11,77,0,11,12,92,0,6,2,88,0,8,4,88,0,12,0,84,0,8,8,68,2,13,17,91,0,7,2,65,0,16,19,0,0,43,57,57,0,19,24,0,0,51,49,49,0,20,31,80,9,10,1,80,9,11,0,91,0,0,8,1,20,0,25,55,100,0,0,15,41,25,19,8,3,17,38,34,8,0,30,30,32,8,2,38,29,23,8,2,8,27,55,8,2,2,13,75,75,6,7,12,75,8,3,14,75,9,6,10,75,7,12,6,75,10,6,9,75,9,12,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,43,55,0,0,73,27,0,1,25,74,0,1,48,51,0,2,20,78,0,1,33,66,0,0,61,39,39,0,35,17,3,6,0,0,1,17,37,45,0,0,100,0,0,1,24,75,0,0,66,23,6,2,0,3,0,0,36,22,27,15,0,0,14,44,28,14,0,0,8,87,5,0,1,7,91,1,57,1,39,3,27,0,72,1,75,1,21,3,52,0,34,14,80,0,11,9,67,0,33,0,0,3,2,7,26,22,40,0,0,3,13,19,28,37,0,2,25,65,6,2,0,1,3,16,27,53,0,0,19,36,24,21,45,4,40,11,45,9,24,22,45,12,19,24,0,0,79,21,79,8,13,92,0,0,0,0,0,2,1,5,13,0,0,10,2,6,3,5,3,4,2,3,19,1,1,2,26,0,1,37,61,1,0,0,0,0,100,0,0,0,0,0,1,0,68,25,6,1,0,26,45,24,3,1,7.666666666666668,8.343131494664034,4,3.0678599553894816,12.402173913043478,5.324749971138191,2.4948453608247423,1.0813158586899092
BY,BLR,Belarus,3,2020-12-24,2020-12-23,100,8,145900.088664254,5,91329.9038576788,171,100,1797206.9301963327,97,3,11,86,2,26,72,3,8,89,2,43,55,2,38,60,3,14,83,2,22,76,2,9,89,2,6,92,2,15,83,3,18,79,2,29,69,2,13,85,3,33,64,89,1,10,0,74,1,16,9,92,0,7,1,57,1,24,18,62,1,19,18,86,0,10,4,78,0,14,8,91,0,9,0,94,0,5,1,85,0,14,1,82,1,10,7,71,1,11,17,87,1,11,1,67,0,20,13,0,0,55,45,45,0,31,24,0,1,52,47,48,0,14,38,86,11,3,0,86,3,11,0,97,0,0,3,0,15,0,33,52,100,0,1,16,32,30,21,0,4,23,29,44,0,6,19,33,42,0,1,40,31,28,0,7,15,30,48,0,7,5,11,77,67,13,4,16,67,13,7,13,67,12,10,11,67,11,10,12,67,13,7,13,67,12,12,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,55,44,0,1,73,26,0,4,24,72,0,2,54,44,0,2,14,84,0,1,30,69,0,0,53,47,47,0,25,10,8,10,0,0,2,4,35,59,0,0,99,1,0,0,28,72,0,0,66,19,6,3,1,5,0,0,32,13,27,28,0,0,18,51,24,7,0,1,8,91,0,0,1,6,93,0,45,0,48,7,27,0,71,2,76,1,22,1,46,1,39,14,86,0,10,4,70,0,28,2,0,1,1,4,19,25,50,0,2,0,3,20,27,48,0,1,36,52,7,4,0,0,7,14,37,42,0,0,17,44,27,12,39,8,40,13,39,22,20,19,39,26,16,19,0,0,57,43,57,19,24,81,0,1,0,1,1,3,1,12,24,0,4,10,5,9,0,5,4,11,1,2,5,1,2,3,14,0,0,36,64,0,0,0,0,0,0,100,0,0,0,0,3,3,54,30,10,3,0,14,45,32,4,2,8.797297297297296,8.543169553508381,3.4680851063829787,2.3391847690816974,11.369565217391305,5.744978488285643,2.6630434782608696,1.0718903289095143
BY,BLR,Belarus,4,2020-12-24,2020-12-22,100,9,177113.62476660972,5,97110.17484795801,194,100,2108805.513661426,97,2,11,87,1,26,73,1,15,84,0,49,51,1,33,66,1,32,67,2,13,85,1,17,82,2,12,86,2,13,85,2,16,82,1,29,70,2,17,81,1,30,69,89,1,7,3,74,4,16,6,85,3,10,2,51,5,24,20,67,2,19,12,68,5,21,6,87,2,6,5,83,4,9,4,88,2,8,2,87,1,11,1,84,1,11,4,71,4,12,13,83,1,13,3,70,3,17,10,0,0,60,40,40,0,27,33,0,0,52,48,48,2,19,31,81,13,5,1,81,8,11,0,92,0,2,5,1,21,0,30,49,100,0,0,26,19,21,34,0,2,18,34,46,0,5,24,27,44,0,7,36,24,33,0,5,19,17,59,0,7,3,6,84,70,14,10,6,70,20,6,4,70,17,7,6,70,19,5,6,70,21,5,4,70,16,10,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,55,42,0,3,81,16,0,6,27,67,0,4,55,41,0,7,14,79,0,6,35,59,0,2,54,44,46,0,31,8,9,6,0,0,1,10,36,53,0,0,100,0,0,0,30,70,0,0,70,21,3,1,2,3,0,0,30,12,26,32,0,0,20,50,17,13,0,0,12,86,2,0,3,16,80,1,45,1,49,5,19,4,73,4,73,2,20,5,45,3,38,14,86,1,9,4,65,2,30,3,0,1,2,9,18,27,43,0,1,0,7,21,28,43,0,0,42,45,8,5,0,0,4,16,24,56,0,0,18,44,23,15,38,10,42,10,38,26,17,19,38,25,20,17,0,2,77,21,79,15,6,85,1,0,0,1,1,7,1,4,8,0,4,14,4,12,1,5,14,13,0,4,5,1,1,4,10,0,0,37,61,1,1,0,0,0,0,0,100,0,0,0,2,4,53,30,11,2,3,21,36,32,5,1,8.65079365079365,8.617608998082357,3.977777777777778,2.649947588580239,13.320224719101123,5.7535795138031025,2.09375,1.0865505534779125
BY,BLR,Belarus,5,2020-12-24,2020-12-21,100,7,184328.18278574978,6,157764.8486693695,141,100,2131994.8837129613,98,5,8,87,5,19,76,6,7,87,6,33,61,4,22,74,4,19,77,6,8,86,5,7,88,6,1,93,6,8,86,6,10,84,6,18,76,7,13,80,4,25,71,92,1,7,0,81,1,10,8,93,1,4,2,67,5,12,16,78,3,11,8,81,3,8,8,92,2,4,2,93,3,2,2,99,0,0,1,92,0,8,0,90,1,7,2,82,2,8,8,87,1,9,3,75,2,12,11,0,0,50,50,50,0,18,32,0,3,43,54,57,2,15,26,85,12,3,0,85,5,10,0,95,0,2,3,0,20,2,27,51,100,0,0,21,25,17,37,13,6,19,21,41,13,10,23,18,36,13,11,26,22,28,13,13,16,20,38,13,14,5,12,56,73,13,2,12,73,13,2,12,73,13,5,9,73,11,7,9,73,11,7,9,73,9,8,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,9,46,45,0,2,78,20,0,9,30,61,0,6,53,41,0,9,17,74,0,5,39,56,0,0,51,49,49,0,31,7,6,7,0,0,1,7,40,52,0,0,99,1,0,1,18,81,0,0,64,21,3,6,2,4,0,0,34,13,24,29,0,3,28,40,23,6,0,0,17,83,0,0,1,22,77,0,54,2,41,3,22,3,74,1,70,2,26,2,47,3,32,18,83,0,15,2,61,2,31,6,0,1,0,4,26,30,39,0,0,0,7,27,25,41,0,2,41,44,6,7,0,0,4,10,26,60,0,0,18,28,30,24,54,8,28,10,54,23,11,12,54,14,25,7,0,3,53,44,56,15,29,85,3,0,0,4,0,3,0,5,32,0,3,10,4,10,3,3,2,7,0,3,5,2,0,1,15,0,3,37,60,0,0,0,0,0,0,0,0,100,0,0,1,6,51,36,6,1,6,32,38,19,3,1,9.50909090909091,9.028499582644102,3.7575757575757573,3.0314013161232776,13.06989247311828,4.413166686825187,1.7816091954022988,0.9932948150886036
