ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BGD,Bangladesh,-99,2021-01-01,2021-01-01,215,15,1481135.669278146,8,973815.2994047519,122,174,18602101.8323406,0,20,18,177,18,44,153,19,24,172,21,31,163,14,52,149,19,48,148,23,24,168,19,28,168,23,19,173,20,16,179,24,28,163,23,46,146,26,21,168,22,54,139,197,6,8,4,171,6,16,22,191,5,13,6,184,7,10,14,163,8,22,22,167,8,20,20,191,5,8,11,187,5,12,11,196,5,8,6,199,5,7,4,187,6,11,11,169,9,17,20,194,2,9,10,161,8,28,18,40,1,45,129,179,0,22,14,53,3,42,117,176,3,8,28,207,1,7,0,207,0,5,3,0,210,0,5,0,0,72,2,11,130,215,0,0,0,0,0,67,5,78,27,11,27,100,11,63,25,16,100,21,54,23,17,100,19,64,16,16,100,19,56,22,18,100,23,23,18,51,0,206,3,4,2,206,2,3,4,206,2,7,0,206,4,0,5,206,4,2,3,206,4,2,3,124,18,18,55,124,19,18,54,124,21,15,55,124,23,18,50,124,21,24,46,124,20,43,28,124,21,31,39,185,4,9,17,185,6,8,16,185,6,6,18,185,7,12,11,185,7,12,11,146,7,40,22,146,8,45,16,146,9,27,33,146,9,25,35,146,10,33,26,146,9,22,38,153,1,24,37,191,0,9,4,5,6,160,0,4,11,20,20,160,1,49,5,167,2,7,39,167,1,25,11,3,3,3,2,167,2,23,9,9,5,170,2,14,13,8,8,174,3,4,31,3,185,3,2,23,2,180,1,31,3,175,1,34,5,193,0,19,3,194,0,17,4,185,2,24,4,196,1,15,3,190,1,1,1,2,4,16,190,2,0,3,1,5,14,195,2,7,3,4,4,195,2,5,1,5,7,195,2,4,7,4,3,206,1,8,0,206,5,2,2,206,4,4,1,199,1,9,6,209,5,1,213,0,0,1,0,0,0,0,1,207,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5,215,0,0,0,0,0,215,0,0,0,0,0,0,0,0,215,0,0,0,0,215,0,0,0,0,0,0,5.415730337078652,6.756829859086093,4.85,5.824404193608675,0,0,0,0
BGD,Bangladesh,-99,2021-01-02,2021-01-01,100,5,318042.6234059602,2,141511.49263941182,57,79,8730927.893238885,0,8,9,83,9,21,70,8,11,81,7,16,77,5,25,70,9,22,69,6,14,80,9,9,82,9,10,81,11,7,82,11,12,77,9,15,76,10,13,77,10,22,68,91,2,5,2,79,2,5,14,89,0,5,6,84,2,5,9,75,3,8,14,78,3,10,9,86,3,3,8,91,1,2,6,90,1,6,3,93,1,5,1,88,0,8,4,85,1,9,5,87,1,4,8,78,1,13,8,20,1,17,62,86,0,7,7,24,3,21,52,79,1,5,15,95,0,4,1,95,1,3,1,0,97,0,3,0,0,34,1,4,61,100,0,0,0,0,0,28,2,36,15,6,13,44,4,30,10,12,44,5,31,8,12,44,7,36,6,7,44,8,29,11,8,44,7,13,8,28,0,96,2,2,0,96,1,1,2,96,1,2,1,96,2,1,1,96,2,1,1,96,2,1,1,60,7,13,20,60,7,12,21,60,8,11,21,60,8,15,17,60,8,11,21,60,7,25,8,60,7,19,14,80,2,8,10,80,3,7,10,80,3,5,12,80,4,9,7,80,4,9,7,65,4,22,9,65,3,25,7,65,4,12,19,65,4,18,13,65,4,17,14,65,4,11,20,70,0,11,19,89,0,4,2,3,2,72,0,1,5,11,11,72,1,26,1,77,1,4,18,77,0,11,6,3,1,2,0,77,1,9,3,5,5,78,0,6,9,5,2,78,2,2,16,2,86,0,1,12,1,79,1,18,2,78,1,17,4,90,0,8,2,84,0,13,3,84,1,14,1,90,0,9,1,88,0,0,1,1,2,8,88,0,0,2,0,3,7,91,0,4,0,2,3,91,0,3,0,3,3,91,0,3,2,1,3,96,1,3,0,96,3,0,1,96,3,0,1,93,0,4,3,97,1,2,99,0,0,0,0,0,0,0,1,95,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,6.7659574468085095,7.402152348435839,6.714285714285714,6.447590912226719,0,0,0,0
BGD,Bangladesh,-99,2021-01-03,2021-01-03,191,10,588076.2642928365,1,106693.17299135,104,147,14475734.188095132,0,25,17,149,22,29,140,20,19,152,23,26,142,25,34,132,24,32,135,25,16,150,22,18,151,21,21,149,24,21,146,23,26,142,21,47,123,26,19,146,28,42,121,174,3,6,8,162,6,9,14,172,3,11,5,165,2,13,11,157,1,18,15,159,4,16,12,175,3,5,8,173,4,8,6,170,5,10,6,170,2,10,9,165,2,16,8,144,3,24,20,172,1,7,11,149,2,23,17,43,1,43,104,152,1,20,18,50,2,33,106,159,1,12,19,179,5,6,1,179,1,7,3,1,184,0,4,2,1,67,6,10,108,191,0,0,0,0,0,64,3,60,35,13,16,96,6,61,14,14,96,11,52,20,12,96,11,57,15,12,96,12,48,21,14,96,13,19,19,44,0,182,3,4,2,182,3,2,4,182,3,2,4,182,2,6,1,182,3,2,4,182,2,5,2,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,191,0,0,0,106,7,49,29,106,5,52,28,106,6,37,42,106,4,46,35,106,6,34,45,106,6,30,49,113,0,37,41,154,1,18,11,1,6,119,0,5,9,28,30,119,2,64,6,127,1,14,49,127,2,31,20,7,2,0,2,127,3,22,13,13,13,131,2,13,31,8,6,136,0,7,42,6,154,1,3,29,4,143,3,40,5,141,4,43,3,156,3,28,4,146,4,28,13,158,4,23,6,162,3,20,6,162,1,2,0,6,4,16,162,1,0,1,6,8,13,173,1,4,4,2,7,173,0,1,3,7,7,173,0,5,7,2,4,181,0,8,2,181,2,3,5,181,1,5,4,177,0,9,5,186,2,3,191,0,0,0,0,0,0,0,0,185,0,0,1,0,0,0,1,2,0,0,0,0,0,1,1,191,0,0,0,0,0,191,0,0,0,0,0,0,0,0,191,0,0,0,0,191,0,0,0,0,0,0,6.985915492957747,8.632981537182156,3.4583333333333335,3.5506174192626014,0,0,0,0
BGD,Bangladesh,1,2021-01-03,2021-01-01,100,2,38122.132973199696,1,17771.6744093914,67,100,5982093.006164797,97,2,6,92,1,22,77,0,5,95,1,10,89,0,24,76,1,17,82,2,7,91,0,6,94,0,4,96,2,4,94,0,10,90,2,23,75,1,13,86,1,35,64,94,1,3,2,78,3,6,13,95,1,3,1,90,0,2,8,76,0,10,14,83,0,5,12,93,0,2,5,94,0,5,1,96,0,3,1,96,0,2,2,90,1,6,3,77,1,8,14,87,1,5,7,65,1,17,17,0,0,25,75,75,0,12,13,0,2,18,80,82,1,8,9,92,2,6,0,92,0,4,4,0,96,0,2,2,0,11,2,7,80,100,0,0,0,0,0,0,0,43,35,15,7,0,2,53,31,14,0,4,47,32,17,0,3,72,20,5,0,3,53,27,17,0,3,17,23,57,0,93,2,4,1,93,3,1,3,93,2,5,0,93,4,2,1,93,4,1,2,93,4,0,3,93,2,1,4,93,2,0,5,93,2,1,4,93,2,1,4,93,2,1,4,93,2,0,5,93,2,0,5,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,1,0,0,1,48,51,0,2,47,51,0,1,37,62,0,1,47,52,0,1,41,58,0,1,33,66,0,0,46,54,54,0,28,8,6,4,0,0,1,14,40,45,0,1,96,3,0,0,13,87,0,0,50,25,7,6,2,10,0,2,38,29,19,12,0,0,22,42,24,12,0,0,10,78,12,0,2,7,77,14,52,0,40,8,53,0,38,9,63,0,29,8,53,0,34,13,59,0,32,9,67,0,32,1,0,0,2,10,24,16,48,0,2,1,22,21,20,34,0,1,41,15,25,18,0,1,8,25,29,37,0,1,26,24,27,22,50,4,41,5,50,13,22,15,50,11,25,14,0,1,40,59,41,11,48,89,0,6,1,0,0,0,0,4,49,0,3,7,3,15,0,0,3,0,4,1,1,0,0,14,0,1,75,24,0,0,0,0,100,0,0,0,0,0,0,1,2,59,18,20,1,0,21,24,34,10,10,5.164179104477612,7.480473601368357,3.05,2.781044862334261,12.89655172413793,5.47092629111,2.5698924731182795,1.7839736390524483
BGD,Bangladesh,2,2021-01-03,2021-01-03,104,4,271261.1565548546,1,53988.967171444005,40,104,7008240.415553004,102,5,6,93,4,20,80,5,5,94,4,7,93,5,26,73,5,16,83,5,7,92,5,3,96,6,5,93,5,3,96,4,10,90,5,23,76,5,8,91,4,17,83,98,0,3,3,84,0,6,14,99,0,3,2,97,0,2,5,78,0,12,14,88,0,7,9,97,0,4,3,101,0,1,2,99,0,2,3,101,0,2,1,94,0,2,8,81,0,10,13,96,0,7,1,87,0,10,7,0,0,15,89,89,0,5,10,0,0,21,83,83,0,4,17,100,1,2,1,100,0,2,2,0,102,0,1,0,1,4,2,11,87,104,0,0,0,0,0,0,0,54,30,14,6,0,4,63,22,15,0,11,54,21,18,0,5,72,21,6,0,8,62,14,20,0,11,23,14,56,0,93,6,3,2,93,6,3,2,93,6,4,1,93,5,4,2,93,7,1,3,93,7,2,2,104,0,0,0,104,0,0,0,104,0,0,0,104,0,0,0,104,0,0,0,104,0,0,0,104,0,0,0,104,0,0,0,104,0,0,0,104,0,0,0,104,0,0,0,104,0,0,0,0,1,77,26,0,1,75,28,0,2,51,51,0,2,59,43,0,2,41,61,0,2,46,56,0,0,42,62,62,0,23,10,3,6,0,0,0,14,44,46,0,0,102,2,0,1,14,89,0,1,51,36,10,2,2,2,0,1,34,15,27,27,0,0,25,42,26,11,0,2,7,83,12,0,2,8,79,15,27,3,63,11,29,4,61,10,53,4,40,7,45,0,42,17,63,4,31,6,58,3,40,3,0,0,2,4,20,25,53,0,1,2,4,28,24,45,0,2,34,30,16,22,0,1,6,24,30,43,0,0,29,27,20,28,48,3,46,7,48,12,27,17,48,13,30,13,0,0,64,40,64,23,17,81,0,10,2,2,1,3,1,4,17,0,1,12,2,16,1,9,7,8,5,6,3,0,2,15,0,1,94,9,0,0,0,0,0,104,0,0,0,0,0,1,0,64,20,19,1,0,28,19,42,11,3,4.745762711864407,6.202316642660789,2.8461538461538463,1.908147174886057,14.826530612244898,7.198260829761591,2.731958762886598,1.655265990190636
BGD,Bangladesh,3,2021-01-03,2021-01-01,100,1,250112.07993409398,1,250112.07993409398,111,100,7958553.739045784,95,2,3,95,2,16,82,2,4,94,3,13,84,1,22,77,2,10,88,2,8,90,1,4,95,2,7,91,1,1,98,2,6,92,1,19,80,1,6,93,2,20,78,97,2,0,1,84,1,8,7,96,0,1,3,87,3,6,4,78,2,7,13,90,1,3,6,92,0,3,5,96,1,3,0,93,2,1,4,99,1,0,0,94,0,3,3,81,2,7,10,94,1,3,2,80,2,11,7,0,0,28,72,72,1,14,13,0,1,27,72,73,0,4,23,96,1,3,0,96,0,4,0,0,96,0,2,2,0,5,1,5,89,100,0,0,0,0,0,0,0,65,20,10,5,0,4,60,23,13,0,6,57,24,13,0,7,72,16,5,0,7,62,21,10,0,8,17,21,54,0,95,1,1,3,95,1,0,4,95,1,2,2,95,1,0,4,95,1,1,3,95,0,3,2,64,2,3,31,64,2,3,31,64,3,4,29,64,2,3,31,64,3,6,27,64,2,12,22,64,3,5,28,87,1,2,10,87,1,3,9,87,1,2,10,87,1,5,7,87,1,4,8,0,0,78,22,0,0,75,25,0,0,52,48,0,0,48,52,0,0,52,48,0,0,38,62,0,0,54,46,46,0,25,14,7,8,0,0,1,13,34,52,0,0,99,1,0,3,17,80,0,0,50,33,6,7,2,2,0,0,28,18,32,22,0,0,19,44,25,12,0,0,9,82,9,0,1,6,87,6,22,1,65,12,25,1,68,6,48,1,47,4,52,1,38,9,48,1,41,10,62,0,33,5,0,0,2,2,24,14,58,0,0,2,6,24,15,53,0,4,30,30,16,20,0,3,9,21,30,37,0,1,29,26,22,22,45,5,41,9,45,11,30,14,45,8,30,17,0,0,67,33,67,17,16,83,0,4,1,0,0,1,2,9,16,0,4,17,3,13,0,10,6,5,2,14,2,0,2,6,0,1,93,6,0,0,0,0,0,0,100,0,0,0,0,3,0,55,25,17,3,1,23,30,26,13,4,6.264150943396227,7.932772682884365,4.458333333333333,4.652994983754074,16.610526315789475,5.206981272807109,3.5806451612903225,1.6373532502789854
BGD,Bangladesh,-99,2021-01-04,2021-01-03,100,3,168708.092500206,1,116380.789834265,40,78,7977548.677441661,0,15,8,77,10,17,73,13,13,74,13,15,72,15,21,64,12,17,71,13,5,82,14,10,76,12,8,80,15,14,71,14,12,74,11,24,65,16,10,74,17,19,64,92,1,3,4,83,3,6,8,87,2,8,3,85,2,6,7,79,0,8,13,83,3,10,4,95,2,1,2,90,2,4,4,92,2,5,1,86,0,6,8,88,1,10,1,76,1,11,12,90,0,5,5,81,0,12,7,21,1,22,56,82,0,8,10,26,2,15,57,85,2,6,7,94,3,2,1,94,1,3,1,1,97,0,2,1,0,37,2,7,54,100,0,0,0,0,0,37,1,34,12,7,9,48,2,32,10,8,48,6,29,11,6,48,7,32,8,5,48,8,25,12,7,48,7,13,8,24,0,95,0,2,3,95,1,1,3,95,1,1,3,95,1,2,2,95,0,3,2,95,1,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,53,4,26,17,53,3,29,15,53,4,19,24,53,2,20,25,53,4,18,25,53,4,17,26,57,0,19,24,81,1,10,5,0,3,61,0,3,6,14,16,61,1,37,1,65,1,7,27,65,0,23,7,3,1,0,1,65,0,16,8,3,8,69,0,7,15,5,4,73,0,1,22,4,82,0,0,16,2,75,2,21,2,72,2,24,2,82,2,13,3,81,3,15,1,83,2,14,1,84,2,13,1,87,0,0,1,1,3,8,87,0,0,2,0,3,8,94,1,0,2,1,2,94,0,0,3,1,2,94,0,2,2,1,1,97,0,3,0,97,0,1,2,97,0,2,1,96,0,2,2,98,2,0,100,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,5.725,7.967844028439466,2.7777777777777777,2.3333333333333335,0,0,0,0
BGD,Bangladesh,1,2021-01-04,2021-01-01,100,2,38122.132973199696,1,17771.6744093914,60,100,5905174.883955635,97,2,6,92,1,20,79,0,5,95,1,9,90,0,23,77,1,16,83,2,8,90,0,5,95,0,4,96,2,3,95,0,10,90,2,20,78,1,11,88,1,32,67,94,1,3,2,80,2,6,12,95,1,3,1,91,0,2,7,77,0,10,13,84,0,5,11,92,0,2,6,95,0,4,1,96,0,3,1,97,0,2,1,90,1,6,3,80,1,7,12,89,1,5,5,68,1,16,15,0,0,22,78,78,0,10,12,0,2,18,80,82,1,8,9,92,2,6,0,92,0,4,4,0,96,0,2,2,0,11,1,8,80,100,0,0,0,0,0,0,0,42,35,15,8,0,2,52,32,14,0,4,47,31,18,0,3,74,20,3,0,3,54,26,17,0,3,18,22,57,0,92,2,4,2,92,3,2,3,92,2,6,0,92,4,2,2,92,4,2,2,92,4,0,4,97,1,0,2,97,1,0,2,97,1,0,2,97,1,0,2,97,1,0,2,97,1,0,2,97,1,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,49,50,0,2,46,52,0,2,35,63,0,1,49,50,0,1,41,58,0,1,33,66,0,0,47,53,53,0,30,7,6,4,0,0,1,16,39,44,0,1,97,2,0,0,12,88,0,0,50,27,6,5,2,10,0,2,36,28,20,14,0,0,22,43,23,12,0,0,10,79,11,0,2,7,78,13,51,0,42,7,54,0,39,7,65,0,27,8,51,0,34,15,59,0,32,9,67,0,32,1,0,0,2,9,24,15,50,0,2,1,22,22,21,32,0,1,41,15,26,17,0,1,9,24,30,36,0,2,25,23,29,21,52,4,40,4,52,13,21,14,52,11,24,13,0,1,42,57,43,11,46,89,0,5,1,0,0,0,0,5,47,0,2,7,3,18,0,0,3,0,5,1,1,0,0,13,0,1,73,26,0,0,0,0,100,0,0,0,0,0,0,1,2,57,19,21,1,0,20,23,37,10,9,5.296875,7.648383349253805,3.0555555555555554,2.8588813571708576,12.862068965517242,5.456322157237469,2.5869565217391304,1.7922432006835902
BGD,Bangladesh,2,2021-01-04,2021-01-03,100,4,271261.1565548546,1,53988.967171444005,44,100,6731779.267545832,98,5,6,89,4,19,77,5,5,90,4,5,91,5,24,71,5,16,79,5,6,89,5,2,93,6,5,89,5,3,92,4,9,87,5,22,73,5,7,88,4,16,80,94,0,3,3,81,0,5,14,95,0,3,2,95,0,2,3,76,0,10,14,84,0,7,9,94,0,4,2,98,0,1,1,95,0,2,3,97,0,2,1,91,0,2,7,78,0,9,13,93,0,6,1,84,0,9,7,0,0,16,84,84,0,5,11,0,0,21,79,79,0,4,17,96,1,2,1,96,0,2,2,0,98,0,1,0,1,4,2,10,84,100,0,0,0,0,0,0,0,51,30,13,6,0,4,63,18,15,0,11,52,21,16,0,5,68,21,6,0,8,58,15,19,0,11,21,14,54,0,90,5,4,1,90,5,3,2,90,6,2,2,90,4,3,3,90,6,2,2,90,6,3,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,73,26,0,1,72,27,0,2,49,49,0,2,55,43,0,2,39,59,0,2,45,53,0,0,40,60,60,0,21,10,3,6,0,0,0,14,42,44,0,0,98,2,0,1,16,83,0,1,49,35,10,2,1,2,0,1,33,13,26,27,0,0,24,39,28,9,0,2,7,80,11,0,2,8,77,13,27,3,60,10,28,4,60,8,51,4,38,7,45,0,40,15,61,4,30,5,55,3,40,2,0,0,2,4,19,24,51,0,1,2,4,28,22,43,0,2,31,30,15,22,0,1,5,23,27,44,0,0,26,27,19,28,47,3,43,7,47,11,26,16,47,12,30,11,0,0,62,38,62,21,17,79,0,10,1,1,1,3,1,4,17,0,1,13,2,15,1,9,7,6,5,6,3,0,2,13,0,1,91,8,0,0,0,0,0,100,0,0,0,0,0,1,0,61,19,19,1,0,28,19,38,11,3,4.836363636363636,6.387962163793756,2.9285714285714284,1.8590438284354558,15.24468085106383,7.174755880171777,2.78494623655914,1.667134109297276
BGD,Bangladesh,3,2021-01-04,2021-01-01,100,1,250112.07993409398,1,250112.07993409398,111,100,7958553.739045784,95,2,3,95,2,16,82,2,4,94,3,13,84,1,22,77,2,10,88,2,8,90,1,4,95,2,7,91,1,1,98,2,6,92,1,19,80,1,6,93,2,20,78,97,2,0,1,84,1,8,7,96,0,1,3,87,3,6,4,78,2,7,13,90,1,3,6,92,0,3,5,96,1,3,0,93,2,1,4,99,1,0,0,94,0,3,3,81,2,7,10,94,1,3,2,80,2,11,7,0,0,28,72,72,1,14,13,0,1,27,72,73,0,4,23,96,1,3,0,96,0,4,0,0,96,0,2,2,0,5,1,5,89,100,0,0,0,0,0,0,0,65,20,10,5,0,4,60,23,13,0,6,57,24,13,0,7,72,16,5,0,7,62,21,10,0,8,17,21,54,0,95,1,1,3,95,1,0,4,95,1,2,2,95,1,0,4,95,1,1,3,95,0,3,2,64,2,3,31,64,2,3,31,64,3,4,29,64,2,3,31,64,3,6,27,64,2,12,22,64,3,5,28,87,1,2,10,87,1,3,9,87,1,2,10,87,1,5,7,87,1,4,8,0,0,78,22,0,0,75,25,0,0,52,48,0,0,48,52,0,0,52,48,0,0,38,62,0,0,54,46,46,0,25,14,7,8,0,0,1,13,34,52,0,0,99,1,0,3,17,80,0,0,50,33,6,7,2,2,0,0,28,18,32,22,0,0,19,44,25,12,0,0,9,82,9,0,1,6,87,6,22,1,65,12,25,1,68,6,48,1,47,4,52,1,38,9,48,1,41,10,62,0,33,5,0,0,2,2,24,14,58,0,0,2,6,24,15,53,0,4,30,30,16,20,0,3,9,21,30,37,0,1,29,26,22,22,45,5,41,9,45,11,30,14,45,8,30,17,0,0,67,33,67,17,16,83,0,4,1,0,0,1,2,9,16,0,4,17,3,13,0,10,6,5,2,14,2,0,2,6,0,1,93,6,0,0,0,0,0,0,100,0,0,0,0,3,0,55,25,17,3,1,23,30,26,13,4,6.264150943396227,7.932772682884365,4.458333333333333,4.652994983754074,16.610526315789475,5.206981272807109,3.5806451612903225,1.6373532502789854
