ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BA,BIH,Bosnia and Herzegovina,-99,2020-12-23,2020-12-21,100,1,22626.7940739535,1,22626.7940739535,41,83,2027855.2338608964,0,4,5,91,2,6,92,4,3,93,4,17,79,4,25,71,3,14,83,4,8,88,5,5,90,3,5,92,4,4,92,2,12,86,4,11,85,4,5,91,3,14,83,95,0,2,3,94,1,3,2,97,0,1,2,83,1,6,10,75,1,10,14,86,1,5,8,92,0,5,3,95,0,4,1,95,1,0,4,96,0,3,1,88,1,5,6,89,0,4,7,95,0,4,1,86,3,6,5,17,0,20,63,84,0,4,12,22,0,24,54,76,0,3,21,97,1,2,0,97,0,3,100,0,0,0,25,4,8,63,100,26,2,15,21,10,26,58,5,6,14,17,58,7,5,14,16,58,11,7,11,13,58,11,3,11,17,58,12,2,6,22,93,3,2,2,93,5,0,2,93,4,2,1,93,5,0,2,93,5,0,2,93,3,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,49,2,17,32,49,1,36,14,49,2,22,27,49,3,27,21,49,4,13,34,49,4,5,42,61,0,17,22,83,0,9,4,3,1,62,3,1,4,14,16,62,3,33,2,68,1,3,28,68,0,15,6,1,5,3,2,68,0,13,9,4,6,70,1,5,15,5,4,72,0,1,26,1,81,1,2,16,0,85,0,10,5,66,1,30,3,81,1,13,5,76,0,14,10,88,1,5,6,96,0,3,1,85,0,2,0,3,6,4,85,0,0,0,1,5,9,87,0,5,5,2,1,87,0,1,2,5,5,87,0,2,6,3,2,94,0,5,1,94,2,2,2,94,1,3,2,91,1,4,4,96,0,3,1,100,0,0,0,0,0,0,0,0,96,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.757575757575758,2.5128457850401285,2.909090909090909,1.3751033019046572,0,0,0,0
BA,BIH,Bosnia and Herzegovina,-99,2020-12-24,2020-12-21,100,3,36858.9678879932,0,0,49,77,2041592.6318102085,0,4,7,89,3,7,90,4,3,93,5,16,79,6,18,76,5,12,83,4,9,87,6,3,91,3,3,94,4,3,93,4,10,86,4,13,83,5,5,90,5,15,80,93,0,3,4,93,0,3,4,97,0,2,1,84,1,5,10,82,0,4,14,88,1,6,5,91,1,4,4,97,0,3,0,97,0,0,3,97,0,2,1,90,1,4,5,87,0,3,10,95,0,4,1,85,2,5,8,22,1,23,54,81,0,6,13,27,0,18,55,82,0,5,13,95,1,4,0,95,1,4,99,1,0,0,33,3,6,58,100,31,0,14,19,7,29,42,6,10,19,23,42,11,6,19,22,42,15,9,14,20,42,16,3,13,26,42,18,2,6,32,94,2,2,2,94,4,0,2,94,3,2,1,94,4,0,2,94,4,0,2,94,2,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,51,2,16,31,51,1,38,10,51,2,23,24,51,3,26,20,51,3,14,32,51,4,4,41,62,0,17,21,83,0,7,5,3,2,63,2,1,3,13,18,63,2,32,3,68,1,4,27,68,0,12,10,1,6,2,1,68,0,13,4,9,6,69,0,6,13,8,4,70,0,1,28,1,80,0,1,19,0,84,0,12,4,66,1,30,3,80,1,15,4,77,0,14,9,87,1,8,4,96,0,3,1,83,0,2,0,2,8,5,83,0,0,0,2,6,9,85,0,7,4,3,1,85,0,1,3,7,4,85,0,2,6,4,3,94,0,6,0,94,2,2,2,94,1,4,1,88,0,6,6,94,0,5,1,99,0,0,0,0,0,0,0,1,94,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.56,2.1228911104120876,3,1.7320508075688772,0,0,0,0
BA,BIH,Bosnia and Herzegovina,-99,2020-12-25,2020-12-22,100,5,60342.95300805912,0,0,50,75,1979333.865737858,0,4,7,89,3,14,83,5,4,91,5,18,77,6,22,72,5,15,80,4,9,87,6,4,90,4,7,89,4,4,92,5,8,87,4,16,80,5,2,93,4,20,76,93,1,2,4,86,2,5,7,96,1,2,1,82,2,5,11,78,2,7,13,85,4,3,8,91,2,3,4,96,1,2,1,93,1,1,5,96,1,3,0,92,2,3,3,84,2,1,13,98,0,1,1,80,3,7,10,24,1,27,48,78,0,8,14,30,1,21,48,79,0,6,15,94,0,6,0,94,2,4,98,2,0,0,38,2,6,54,100,35,2,12,17,7,27,45,5,10,19,21,45,10,7,16,22,45,13,10,11,21,45,14,7,11,23,45,15,3,5,32,95,2,2,1,95,4,0,1,95,3,1,1,95,3,1,1,95,4,0,1,95,3,1,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,53,4,11,32,53,1,36,10,53,3,21,23,53,2,27,18,53,2,12,33,53,2,6,39,61,1,18,20,82,0,7,4,4,3,63,1,2,4,8,22,63,1,34,2,66,1,7,26,66,0,15,10,2,6,0,1,66,1,9,4,9,11,67,1,11,9,6,6,68,0,2,29,1,76,1,1,22,0,90,0,9,1,69,1,29,1,83,1,13,3,77,1,17,5,90,1,6,3,95,0,5,0,80,0,1,1,2,7,9,80,0,0,0,3,6,11,80,0,9,5,3,3,80,0,1,2,8,9,80,0,3,5,5,7,94,2,3,1,94,4,0,2,94,2,3,1,85,0,9,6,94,0,4,2,99,0,0,0,0,0,0,0,1,91,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,3,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,2.642857142857143,2.6135584613105234,2.769230769230769,1.739436985245808,0,0,0,0
BA,BIH,Bosnia and Herzegovina,3,2020-12-25,2020-12-21,100,0,0,0,0,81,100,1317847.9455929499,98,1,1,98,2,14,84,2,2,96,2,20,78,2,18,80,2,9,89,2,8,90,2,3,95,2,1,97,2,2,96,1,3,96,1,21,78,3,2,95,3,14,83,99,0,1,0,86,1,5,8,98,0,2,0,80,0,3,17,82,0,5,13,91,1,1,7,92,0,1,7,97,0,1,2,99,0,1,0,98,0,2,0,97,0,1,2,79,2,6,13,98,0,1,1,86,1,6,7,0,0,35,65,65,1,6,28,0,1,37,62,63,1,9,27,91,5,4,0,91,5,4,95,2,2,1,11,0,8,81,100,0,0,29,37,19,15,8,4,35,35,18,8,7,36,32,17,8,4,40,28,20,8,5,28,33,26,8,5,11,27,49,92,5,2,1,92,4,3,1,92,4,4,0,92,5,1,2,92,6,1,1,92,6,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,28,71,0,1,70,29,0,3,44,53,0,2,58,40,0,2,9,89,0,2,11,87,0,0,45,55,55,0,33,10,1,1,0,0,0,5,22,73,0,1,99,0,0,1,16,83,0,0,56,27,6,7,0,4,0,0,28,15,29,28,0,2,21,45,22,10,0,0,3,94,3,0,1,4,90,5,72,0,25,3,30,2,67,1,56,1,34,9,42,0,38,20,91,1,6,2,89,0,11,0,0,0,3,3,12,32,50,0,0,2,5,10,23,60,0,0,44,34,14,8,0,0,5,16,29,50,0,0,13,33,30,24,54,2,33,11,54,17,14,15,54,12,21,13,0,0,73,27,73,0,15,12,85,0,6,1,1,0,0,2,5,12,0,3,9,2,11,4,7,7,8,1,2,6,8,2,2,16,0,3,47,46,4,0,0,0,0,100,0,0,0,0,0,5,68,18,9,0,2,23,44,23,5,3,3.090909090909091,2.5839442092985823,2.7037037037037037,1.6598149761300969,13.716494845360824,4.021366901014793,2.5425531914893615,1.3252298937670366
BA,BIH,Bosnia and Herzegovina,-99,2020-12-26,2020-12-24,100,6,69352.44948430151,0,0,63,75,1956663.2362521817,0,3,8,89,2,18,80,4,4,92,4,22,74,5,18,77,4,19,77,5,10,85,5,5,90,3,8,89,4,7,89,4,7,89,4,16,80,5,3,92,3,21,76,92,2,3,3,82,2,6,10,96,1,3,0,78,3,6,13,82,3,7,8,81,5,5,9,90,2,4,4,95,1,1,3,92,2,1,5,93,1,3,3,93,1,4,2,84,3,1,12,97,0,1,2,79,4,8,9,24,1,33,42,75,0,7,18,32,1,19,48,81,0,6,13,94,1,5,0,94,2,4,98,1,1,0,40,1,5,54,100,35,4,11,15,9,26,43,5,14,19,19,43,11,7,20,19,43,10,9,18,20,43,13,7,17,20,43,14,3,9,31,96,1,1,2,96,2,1,1,96,1,2,1,96,1,1,2,96,2,0,2,96,2,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,48,5,9,38,48,1,34,17,48,3,21,28,48,2,31,19,48,2,15,35,48,2,8,42,56,2,22,20,78,0,11,3,4,4,59,1,2,4,7,27,59,1,38,2,62,0,9,29,62,0,13,11,3,7,1,3,62,1,9,6,12,10,63,1,11,11,7,7,64,1,2,31,2,71,2,0,26,1,92,0,8,0,72,0,27,1,83,0,13,4,73,1,20,6,88,0,9,3,93,0,7,0,76,0,0,1,3,7,13,76,0,0,0,5,7,12,76,0,10,6,5,3,76,0,3,2,8,11,76,0,5,4,6,9,93,3,2,2,93,3,1,3,93,3,2,2,82,0,9,9,91,0,3,6,99,0,0,0,0,0,0,0,1,91,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,3,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.84,3.6706039466732627,3.1428571428571432,2.3157368940873577,0,0,0,0
BA,BIH,Bosnia and Herzegovina,3,2020-12-26,2020-12-22,100,0,0,0,0,77,100,1352499.4848358708,97,1,1,98,2,17,81,2,2,96,2,16,82,2,20,78,2,10,88,2,8,90,2,3,95,2,2,96,2,2,96,1,3,96,1,22,77,3,2,95,3,12,85,99,0,1,0,83,1,7,9,98,0,2,0,84,0,4,12,80,0,6,14,90,1,2,7,92,0,2,6,97,0,1,2,98,0,1,1,98,0,2,0,97,0,1,2,78,2,6,14,98,0,1,1,88,1,7,4,0,0,31,69,69,1,7,23,0,1,33,66,67,1,7,25,93,5,2,0,93,4,3,96,1,2,1,9,0,10,81,100,0,1,30,37,19,13,0,5,33,43,19,0,8,39,37,16,0,5,43,33,19,0,7,29,37,27,0,7,9,30,54,90,6,2,2,90,3,5,2,90,6,4,0,90,6,1,3,90,7,1,2,90,7,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,1,28,71,0,1,72,27,0,2,45,53,0,2,61,37,0,2,13,85,0,2,10,88,0,0,44,56,56,0,30,11,1,2,0,0,0,4,29,67,0,1,99,0,0,2,16,82,0,0,49,32,9,8,0,2,0,0,22,20,30,28,0,2,18,47,21,12,0,0,2,96,2,0,1,1,94,4,72,0,25,3,28,1,69,2,55,0,36,9,39,0,38,23,87,0,8,5,90,0,9,1,0,1,2,5,12,31,49,0,1,1,5,9,24,60,0,0,39,41,15,5,0,1,7,13,31,48,0,1,17,33,27,22,50,1,36,13,50,18,13,19,50,17,16,17,0,1,78,21,79,0,10,11,90,0,4,0,1,0,0,1,4,12,1,3,10,3,9,4,6,7,6,1,2,5,8,3,2,18,0,3,52,43,2,0,0,0,0,100,0,0,0,0,1,3,61,24,11,1,1,24,43,23,4,4,3.3636363636363638,2.8826661807715976,3,1.6787441193290353,13.821052631578947,3.692945970903035,2.4468085106382977,1.3726751315227443
BA,BIH,Bosnia and Herzegovina,4,2020-12-26,2020-12-21,100,0,0,0,0,76,100,2014168.8429394115,98,0,2,98,0,5,95,0,1,99,0,17,83,0,7,93,0,9,91,0,4,96,0,2,98,0,4,96,0,2,98,0,3,97,0,13,87,0,2,98,0,10,90,98,0,0,2,95,0,2,3,99,0,1,0,83,0,5,12,93,0,2,5,91,0,2,7,96,0,2,2,98,0,0,2,96,0,0,4,98,0,0,2,97,0,1,2,87,0,5,8,98,0,1,1,90,0,7,3,0,0,29,71,71,0,7,22,0,0,38,62,62,0,7,31,93,3,4,0,93,2,5,98,1,0,1,7,0,15,78,100,0,0,22,37,24,17,8,6,35,31,20,8,8,33,25,26,8,6,32,33,21,8,7,17,39,29,8,8,8,18,58,85,9,2,4,85,8,3,4,85,7,4,4,85,7,5,3,85,8,2,5,85,8,2,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,23,74,0,1,65,34,0,2,45,53,0,3,54,43,0,3,16,81,0,3,10,87,0,1,44,55,56,0,24,10,4,6,0,0,0,4,24,72,0,0,100,0,0,1,16,83,0,0,43,41,6,7,3,0,0,0,30,20,15,35,0,1,13,45,23,18,0,0,6,90,4,0,2,4,92,2,77,0,22,1,35,1,64,0,55,2,36,7,46,2,39,13,84,0,14,2,90,0,10,0,0,2,0,2,7,27,62,0,1,0,2,9,29,59,0,4,32,39,18,7,0,0,8,15,20,57,0,0,18,27,29,26,55,5,37,3,55,23,9,13,55,22,12,11,0,1,65,34,66,0,21,13,79,1,5,1,1,5,1,2,5,14,0,4,6,5,10,5,3,4,5,2,8,1,7,5,3,18,0,0,56,44,0,0,0,0,0,0,100,0,0,0,1,6,54,23,16,1,5,17,45,24,4,4,3.3939393939393945,2.8277574367707214,3.7647058823529407,1.7863864281247315,13.16161616161616,3.618848251514733,2.056179775280899,1.2372949835849552
BA,BIH,Bosnia and Herzegovina,-99,2020-12-27,2020-12-24,100,3,32493.48159630831,0,0,67,79,2004016.652401818,0,4,5,91,3,16,81,4,6,90,3,25,72,3,19,78,4,19,77,4,10,86,5,7,88,3,9,88,3,6,91,5,5,90,3,16,81,6,2,92,1,18,81,95,2,2,1,84,2,5,9,94,1,2,3,75,3,9,13,81,3,6,10,81,5,5,9,90,2,5,3,93,1,3,3,91,2,2,5,94,1,2,3,95,1,4,0,84,3,3,10,98,0,1,1,82,4,9,5,21,0,36,43,72,0,9,19,32,2,19,47,81,0,7,12,93,1,6,0,93,3,4,97,1,2,0,41,0,6,53,100,34,4,11,17,12,22,46,6,15,16,17,46,8,12,17,17,46,6,13,17,18,46,9,11,18,16,46,9,6,11,28,95,2,2,1,95,4,1,0,95,3,2,0,95,2,2,1,95,4,0,1,95,4,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,49,3,7,41,49,1,32,18,49,3,21,27,49,1,32,18,49,1,15,35,49,1,9,41,55,2,24,19,76,0,13,1,4,6,59,1,2,4,6,28,59,1,39,1,62,0,10,28,62,0,13,11,4,6,1,3,62,1,9,7,9,12,63,2,8,13,5,9,66,1,3,28,2,72,2,0,25,1,94,0,6,0,72,0,27,1,82,0,14,4,71,1,20,8,87,0,9,4,92,0,8,0,76,0,0,2,5,3,14,76,0,0,0,7,5,12,76,0,8,9,2,5,76,0,3,3,5,13,76,0,6,4,5,9,92,3,3,2,92,3,3,2,92,3,2,3,82,0,8,10,90,0,2,8,100,0,0,0,0,0,0,0,0,92,0,1,0,0,0,0,1,3,0,0,0,0,0,0,1,2,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,3.5862068965517238,3.510364667455814,2.823529411764706,2.0686739145418453,0,0,0,0
BA,BIH,Bosnia and Herzegovina,2,2020-12-27,2020-12-21,100,1,9072.94148426359,0,0,87,100,1311900.0449098977,99,2,2,96,2,15,83,2,2,96,2,12,86,2,24,74,2,8,90,2,5,93,2,3,95,2,4,94,2,3,95,3,7,90,2,14,84,2,4,94,1,17,82,98,0,0,2,85,0,1,14,98,1,0,1,88,1,3,8,76,0,4,20,92,0,2,6,95,0,1,4,97,0,1,2,96,0,4,0,97,0,2,1,93,0,4,3,86,0,4,10,96,0,1,3,83,1,3,13,0,0,38,62,62,0,12,26,0,0,33,67,67,0,5,28,95,3,2,0,95,1,4,99,0,1,0,5,0,15,80,100,0,1,24,32,29,14,0,2,27,53,18,0,3,27,48,22,0,4,32,34,30,0,2,18,39,41,0,3,5,24,68,85,3,4,8,85,2,1,12,85,1,8,6,85,2,4,9,85,2,4,9,85,2,5,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,34,63,0,0,76,24,0,1,57,42,0,2,68,30,0,2,20,78,0,1,14,85,0,0,68,32,32,1,42,12,3,10,0,2,1,7,26,64,0,0,99,1,0,1,19,80,0,0,39,33,11,11,4,2,0,0,18,15,35,32,0,0,14,34,26,26,0,1,1,96,2,0,2,5,92,1,66,0,26,8,24,1,69,6,43,1,38,18,32,0,31,37,80,0,12,8,86,0,11,3,0,1,2,5,20,32,40,0,0,1,8,12,26,53,0,1,21,46,18,14,0,0,4,9,29,58,0,0,14,21,38,27,65,3,24,8,65,8,7,20,65,7,12,16,0,0,63,37,63,0,19,18,81,0,3,0,2,2,2,0,10,18,0,2,13,2,4,3,4,6,9,0,4,9,3,3,6,14,0,1,58,41,0,0,0,0,100,0,0,0,0,0,1,7,45,28,19,1,5,27,32,25,7,3,3.134615384615384,2.1875659869383717,2.4,1.4389538683690029,13.731182795698924,3.765229321921484,2.5319148936170213,1.2417653723593878
BA,BIH,Bosnia and Herzegovina,3,2020-12-27,2020-12-24,100,0,0,0,0,63,100,1241647.4136222173,97,1,0,99,1,15,84,0,2,98,1,19,80,1,23,76,2,13,85,1,7,92,2,4,94,1,4,95,1,1,98,1,3,96,1,14,85,2,2,96,2,12,86,100,0,0,0,85,1,5,9,98,0,1,1,81,0,7,12,77,0,7,16,87,1,4,8,93,0,2,5,96,0,3,1,96,0,1,3,99,0,1,0,97,0,1,2,86,1,5,8,98,0,1,1,88,2,4,6,0,0,30,70,70,1,5,24,0,0,35,65,65,1,6,28,94,4,2,0,94,2,4,98,1,1,0,7,0,10,83,100,0,1,27,30,25,17,0,4,22,51,23,0,6,39,35,20,0,4,38,36,22,0,6,23,37,34,0,6,6,31,57,90,4,2,4,90,2,3,5,90,4,3,3,90,4,2,4,90,5,0,5,90,5,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,24,74,0,1,64,35,0,2,46,52,0,2,54,44,0,2,18,80,0,2,11,87,0,0,48,52,52,0,33,11,2,2,0,0,1,6,27,66,0,0,100,0,0,1,18,81,0,0,42,31,12,11,1,3,0,0,26,23,30,21,0,3,13,44,25,15,0,0,1,96,3,0,0,1,97,2,76,0,16,8,36,1,59,4,54,0,32,14,46,0,28,26,82,0,12,6,89,0,10,1,0,1,1,3,15,29,51,0,1,0,3,12,26,58,0,0,34,47,12,7,0,1,7,13,29,50,0,1,18,31,25,25,51,2,34,13,51,16,9,24,51,15,13,21,0,1,77,22,78,0,10,12,90,0,3,0,1,1,0,1,4,13,2,4,9,4,9,3,5,7,7,1,3,3,4,5,3,18,0,1,52,45,2,0,0,0,0,100,0,0,0,0,1,4,53,30,12,1,2,27,42,19,5,4,3.4313725490196076,2.872315455939924,2.5714285714285716,1.5023790657297036,13.445652173913041,4.003745857153841,2.467391304347826,1.3214301855596344
