ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AL,ALB,Albania,-99,2020-12-24,2020-12-21,100,7,236109.2941339512,3,118026.73037199909,91,74,3183698.7865841337,0,10,9,81,9,16,75,11,9,80,6,21,73,8,17,75,7,21,72,9,15,76,10,12,78,9,8,83,10,10,80,8,12,80,9,17,74,10,11,79,8,20,72,91,1,7,1,84,3,7,6,91,1,4,4,79,3,10,8,83,3,7,7,79,5,7,9,85,2,9,4,88,3,5,4,92,1,4,3,90,1,7,2,88,2,5,5,83,2,7,8,89,5,3,3,80,2,13,5,24,2,26,48,75,0,7,18,25,4,16,55,86,1,7,6,93,2,5,0,93,0,4,3,0,96,2,2,0,41,2,9,48,100,33,4,16,22,9,16,48,7,20,15,10,48,13,16,11,12,48,10,15,15,12,48,15,10,12,15,48,13,7,8,24,92,4,2,2,92,4,3,1,92,3,4,1,92,4,2,2,92,2,4,2,92,4,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,56,6,19,19,56,3,31,10,56,3,23,18,56,2,21,21,56,2,7,35,56,4,7,33,65,1,16,18,84,1,10,4,1,0,65,1,2,4,12,16,65,2,29,4,68,1,3,28,68,1,18,7,3,0,1,2,68,1,13,5,8,5,69,2,9,13,6,1,70,1,3,25,1,82,2,2,13,1,83,2,12,3,73,2,23,2,79,1,16,4,81,2,12,5,94,1,3,2,93,1,6,0,83,0,1,0,3,3,10,83,0,0,0,4,3,10,90,0,2,2,3,3,90,0,1,1,3,5,90,0,4,3,1,2,93,1,6,0,93,2,4,1,93,2,5,0,91,1,1,7,93,0,3,4,99,0,0,0,0,0,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,5.555555555555555,8.026543267521632,4.823529411764706,2.8990363510494106,0,0,0,0
AL,ALB,Albania,-99,2020-12-25,2020-12-22,100,4,118082.5637619521,0,0,70,73,3411798.865431788,0,11,5,84,9,16,75,13,6,81,6,18,76,8,16,76,6,20,74,10,17,73,9,11,80,10,7,83,9,7,84,9,10,81,8,17,75,10,10,80,7,20,73,95,0,4,1,84,3,6,7,94,0,4,2,82,1,11,6,84,4,5,7,80,5,7,8,83,2,10,5,89,3,5,3,93,1,3,3,93,2,4,1,90,2,5,3,83,3,6,8,90,3,3,4,80,3,9,8,25,2,23,50,79,0,6,15,27,4,13,56,90,0,4,6,96,0,3,1,96,0,2,1,1,98,2,0,0,39,1,12,48,100,35,4,19,18,13,11,48,5,17,14,16,48,10,17,10,15,48,10,12,13,17,48,13,11,10,18,48,12,7,8,25,89,5,3,3,89,4,5,2,89,4,4,3,89,5,2,4,89,3,4,4,89,5,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,58,6,17,19,58,2,33,7,58,2,19,21,58,2,22,18,58,2,10,30,58,3,9,30,67,0,18,15,82,1,10,6,1,0,68,0,1,3,11,17,68,0,30,2,71,0,2,27,71,0,14,8,3,2,0,2,71,0,14,4,6,5,71,2,7,12,7,1,73,0,1,25,1,80,2,2,15,1,84,2,12,2,70,3,24,3,82,1,12,5,79,3,12,6,90,2,6,2,91,2,6,1,81,0,1,0,3,3,12,81,0,0,0,4,4,11,90,0,1,4,2,3,90,0,1,2,4,3,90,0,3,5,0,2,93,1,6,0,93,2,4,1,93,2,4,1,92,1,2,5,95,0,1,4,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,6.037037037037037,7.900737460620523,4.357142857142857,3.0282552188231544,0,0,0,0
AL,ALB,Albania,-99,2020-12-26,2020-12-23,100,3,20735.20505020915,1,6497.78616465916,87,75,3361261.7245251117,0,13,4,83,10,15,75,13,7,80,9,19,72,9,17,74,8,18,74,11,18,71,10,10,80,10,7,83,9,6,85,11,9,80,9,20,71,12,7,81,10,22,68,96,1,2,1,85,4,4,7,93,0,4,3,81,2,11,6,83,5,6,6,82,5,5,8,82,2,10,6,90,2,6,2,93,2,3,2,94,2,2,2,91,2,6,1,80,4,10,6,93,2,3,2,78,2,11,9,23,2,28,47,76,0,7,17,28,3,16,53,87,0,5,8,95,0,4,1,95,0,1,3,1,99,1,0,0,39,2,12,47,100,37,3,20,18,14,8,51,6,12,16,15,51,10,21,8,10,51,10,16,10,13,51,12,14,9,14,51,11,12,6,20,88,5,4,3,88,4,6,2,88,4,5,3,88,5,3,4,88,3,4,5,88,5,3,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,64,4,18,14,64,4,29,3,64,4,19,13,64,5,17,14,64,5,8,23,64,4,8,24,69,0,16,15,84,0,5,7,1,3,74,1,1,3,7,14,74,1,24,1,78,0,3,19,78,0,11,5,3,2,0,1,78,0,11,2,3,6,78,2,4,10,5,1,80,0,1,18,1,85,1,1,13,0,83,2,12,3,73,2,22,3,82,0,12,6,84,2,8,6,92,1,5,2,92,1,5,2,86,0,2,0,2,2,8,86,0,1,0,1,6,6,93,0,2,3,1,1,93,0,1,2,2,2,93,0,3,3,0,1,95,0,5,0,95,3,2,0,95,3,1,1,94,0,1,5,95,0,0,5,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,6.655172413793103,7.77944113889279,4.933333333333334,3.494212902718409,0,0,0,0
AL,ALB,Albania,-99,2020-12-27,2020-12-25,100,2,13116.523042016232,2,13116.523042016232,73,73,3063699.5753660905,0,10,3,87,11,18,71,12,6,82,9,20,71,9,24,67,10,16,74,11,17,72,12,9,79,10,8,82,11,5,84,10,9,81,9,23,68,13,5,82,12,22,66,97,3,0,0,82,4,5,9,94,0,3,3,80,3,10,7,76,5,5,14,84,3,7,6,83,3,7,7,91,2,4,3,92,3,3,2,95,2,2,1,91,4,4,1,77,3,10,10,95,0,2,3,78,4,11,7,26,1,26,47,79,0,7,14,33,2,19,46,82,0,6,12,94,0,5,1,94,0,1,4,1,99,1,0,0,42,2,8,48,100,42,2,15,12,18,11,56,7,9,15,13,56,10,14,7,13,56,13,10,7,14,56,13,9,6,16,56,13,8,7,16,92,3,4,1,92,3,3,2,92,3,3,2,92,3,2,3,92,4,0,4,92,4,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,65,4,17,14,65,9,24,2,65,8,18,9,65,9,13,13,65,8,10,17,65,6,10,19,68,0,17,15,83,0,7,5,1,4,74,1,1,0,7,17,74,1,25,0,81,1,4,14,81,0,11,5,0,3,0,0,81,0,10,3,3,3,81,1,5,8,4,1,82,0,0,16,2,87,1,1,10,1,84,2,10,4,76,1,20,3,83,1,12,4,88,1,8,3,91,1,6,2,90,1,7,2,90,0,1,0,2,2,5,90,0,1,0,1,4,4,94,0,2,2,1,1,94,0,0,1,2,3,94,0,2,3,0,1,96,0,4,0,96,3,1,0,96,3,0,1,95,0,2,3,97,0,0,3,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,5.296296296296297,6.786949098282531,5.2727272727272725,3.3493554332411213,0,0,0,0
AL,ALB,Albania,2,2020-12-27,2020-12-21,100,2,31632.352515093397,1,16396.065944519098,126,100,1599090.5075966716,99,1,4,95,2,13,85,0,3,97,1,17,82,1,15,84,1,17,82,2,13,85,2,2,96,1,6,93,1,2,97,1,5,94,1,23,76,1,3,96,1,21,78,96,0,4,0,87,0,6,7,97,0,3,0,83,0,5,12,85,1,4,10,83,0,11,6,87,0,8,5,98,0,1,1,94,0,3,3,98,0,2,0,95,0,1,4,77,0,7,16,97,0,1,2,79,1,6,14,0,0,43,57,57,0,17,26,0,0,43,57,57,1,15,27,85,4,10,1,85,0,6,9,0,94,3,2,1,16,0,11,73,100,0,0,28,27,27,18,1,3,42,34,20,1,5,36,34,24,1,5,40,25,29,1,5,34,27,33,1,6,11,16,66,89,4,3,4,89,4,0,7,89,5,4,2,89,5,1,5,89,3,2,6,89,3,3,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,41,57,0,1,79,20,0,1,63,36,0,1,67,32,0,1,16,83,0,0,21,79,0,0,64,36,36,0,38,13,9,4,0,0,0,7,27,66,0,0,97,3,0,2,15,83,0,1,39,39,12,4,1,4,0,1,26,21,22,30,0,0,27,38,27,8,0,0,7,83,10,0,1,3,92,4,59,0,34,7,21,1,72,6,37,0,40,23,33,0,35,32,84,0,8,8,79,0,20,1,0,2,3,3,23,24,45,0,1,1,7,20,27,44,0,2,54,33,7,4,0,0,11,18,30,41,0,0,23,36,25,16,41,10,42,7,41,14,30,15,41,16,26,17,0,1,62,37,63,0,11,26,89,0,2,0,1,0,2,0,6,27,0,3,4,6,3,2,4,5,1,0,3,10,10,2,1,19,0,4,46,49,1,0,0,0,100,0,0,0,0,0,1,2,74,7,16,1,1,23,40,25,3,7,4.5,6.325248764264104,3.2777777777777772,2.3128351323011223,15.774193548387098,3.464506465441847,2.595744680851064,1.3142653938642062
AL,ALB,Albania,-99,2020-12-28,2020-12-25,100,2,13116.523042016232,2,13116.523042016232,73,73,3063699.5753660905,0,10,3,87,11,18,71,12,6,82,9,20,71,9,24,67,10,16,74,11,17,72,12,9,79,10,8,82,11,5,84,10,9,81,9,23,68,13,5,82,12,22,66,97,3,0,0,82,4,5,9,94,0,3,3,80,3,10,7,76,5,5,14,84,3,7,6,83,3,7,7,91,2,4,3,92,3,3,2,95,2,2,1,91,4,4,1,77,3,10,10,95,0,2,3,78,4,11,7,26,1,26,47,79,0,7,14,33,2,19,46,82,0,6,12,94,0,5,1,94,0,1,4,1,99,1,0,0,42,2,8,48,100,42,2,15,12,18,11,56,7,9,15,13,56,10,14,7,13,56,13,10,7,14,56,13,9,6,16,56,13,8,7,16,92,3,4,1,92,3,3,2,92,3,3,2,92,3,2,3,92,4,0,4,92,4,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,65,4,17,14,65,9,24,2,65,8,18,9,65,9,13,13,65,8,10,17,65,6,10,19,68,0,17,15,83,0,7,5,1,4,74,1,1,0,7,17,74,1,25,0,81,1,4,14,81,0,11,5,0,3,0,0,81,0,10,3,3,3,81,1,5,8,4,1,82,0,0,16,2,87,1,1,10,1,84,2,10,4,76,1,20,3,83,1,12,4,88,1,8,3,91,1,6,2,90,1,7,2,90,0,1,0,2,2,5,90,0,1,0,1,4,4,94,0,2,2,1,1,94,0,0,1,2,3,94,0,2,3,0,1,96,0,4,0,96,3,1,0,96,3,0,1,95,0,2,3,97,0,0,3,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,5.296296296296297,6.786949098282531,5.2727272727272725,3.3493554332411213,0,0,0,0
AL,ALB,Albania,2,2020-12-28,2020-12-21,100,2,31632.352515093397,1,16396.065944519098,126,100,1599090.5075966716,99,1,4,95,2,13,85,0,3,97,1,17,82,1,15,84,1,17,82,2,13,85,2,2,96,1,6,93,1,2,97,1,5,94,1,23,76,1,3,96,1,21,78,96,0,4,0,87,0,6,7,97,0,3,0,83,0,5,12,85,1,4,10,83,0,11,6,87,0,8,5,98,0,1,1,94,0,3,3,98,0,2,0,95,0,1,4,77,0,7,16,97,0,1,2,79,1,6,14,0,0,43,57,57,0,17,26,0,0,43,57,57,1,15,27,85,4,10,1,85,0,6,9,0,94,3,2,1,16,0,11,73,100,0,0,28,27,27,18,1,3,42,34,20,1,5,36,34,24,1,5,40,25,29,1,5,34,27,33,1,6,11,16,66,89,4,3,4,89,4,0,7,89,5,4,2,89,5,1,5,89,3,2,6,89,3,3,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,2,41,57,0,1,79,20,0,1,63,36,0,1,67,32,0,1,16,83,0,0,21,79,0,0,64,36,36,0,38,13,9,4,0,0,0,7,27,66,0,0,97,3,0,2,15,83,0,1,39,39,12,4,1,4,0,1,26,21,22,30,0,0,27,38,27,8,0,0,7,83,10,0,1,3,92,4,59,0,34,7,21,1,72,6,37,0,40,23,33,0,35,32,84,0,8,8,79,0,20,1,0,2,3,3,23,24,45,0,1,1,7,20,27,44,0,2,54,33,7,4,0,0,11,18,30,41,0,0,23,36,25,16,41,10,42,7,41,14,30,15,41,16,26,17,0,1,62,37,63,0,11,26,89,0,2,0,1,0,2,0,6,27,0,3,4,6,3,2,4,5,1,0,3,10,10,2,1,19,0,4,46,49,1,0,0,0,100,0,0,0,0,0,1,2,74,7,16,1,1,23,40,25,3,7,4.5,6.325248764264104,3.2777777777777772,2.3128351323011223,15.774193548387098,3.464506465441847,2.595744680851064,1.3142653938642062
AL,ALB,Albania,-99,2020-12-30,2020-12-25,100,2,13116.523042016232,2,13116.523042016232,72,71,3224873.009274817,0,11,4,85,12,14,74,13,8,79,12,23,65,10,26,64,12,19,69,12,15,73,12,11,77,12,10,78,11,9,80,11,11,78,10,25,65,14,5,81,14,23,63,96,4,0,0,86,3,4,7,92,1,4,3,77,5,8,10,74,6,8,12,81,5,7,7,85,4,5,6,89,4,5,2,90,4,4,2,91,4,4,1,89,5,4,2,75,3,11,11,95,2,2,1,77,6,12,5,27,2,29,42,77,0,9,14,35,1,22,42,78,0,9,13,91,1,7,1,91,0,3,5,1,97,2,0,1,45,4,8,43,100,44,3,12,14,14,13,59,7,10,13,11,59,11,14,7,9,59,12,12,8,9,59,12,11,6,12,59,13,8,5,15,92,2,5,1,92,3,2,3,92,2,3,3,92,2,2,4,92,3,0,5,92,3,2,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,69,3,14,14,69,9,19,3,69,8,16,7,69,8,12,11,69,8,5,18,69,6,6,19,71,1,14,14,86,0,6,4,0,4,77,2,1,1,6,13,77,3,20,0,85,1,4,10,85,0,9,4,0,2,0,0,85,1,6,3,2,3,85,1,6,5,1,2,85,0,0,14,1,91,1,1,6,1,87,2,8,3,81,1,17,1,85,1,12,2,89,1,7,3,96,1,3,0,94,0,4,2,95,0,1,0,2,2,0,95,0,1,0,1,3,0,97,0,2,0,0,1,97,0,0,0,0,3,97,0,1,1,0,1,98,0,2,0,98,2,0,0,98,2,0,0,97,0,1,2,98,0,0,2,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,4.76,6.417943595888016,4.909090909090909,2.773248833211526,0,0,0,0
AL,ALB,Albania,2,2020-12-30,2020-12-22,100,2,31632.352515093397,1,16396.065944519098,123,100,1631133.4895464352,99,1,5,94,3,12,85,1,3,96,1,19,80,2,15,83,2,16,82,3,10,87,3,3,94,2,6,92,2,2,96,2,6,92,2,18,80,2,1,97,2,18,80,95,0,5,0,88,0,4,8,97,0,3,0,81,0,7,12,85,1,4,10,84,0,10,6,90,0,6,4,97,0,2,1,94,0,3,3,98,0,2,0,94,0,2,4,82,0,3,15,99,0,0,1,82,1,6,11,0,0,38,62,62,0,15,23,0,0,43,57,57,1,11,31,89,5,6,0,89,0,5,6,0,95,2,2,1,12,0,10,78,100,0,0,28,28,26,18,0,4,45,32,19,0,7,40,30,23,0,6,44,26,24,0,6,35,27,32,0,7,10,18,65,90,4,2,4,90,4,0,6,90,5,3,2,90,5,1,4,90,3,2,5,90,3,3,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,37,60,0,2,78,20,0,2,58,40,0,2,60,38,0,2,15,83,0,1,17,82,0,0,54,46,46,0,30,13,7,4,0,0,1,7,24,68,0,0,97,3,0,3,16,81,0,2,40,38,10,5,1,4,0,2,26,24,21,27,0,1,30,40,22,7,0,1,8,82,9,0,1,4,91,4,63,0,31,6,22,1,71,6,42,0,38,20,40,0,32,28,85,0,8,7,83,0,16,1,0,3,2,3,20,25,47,0,2,0,8,18,25,47,0,2,57,29,8,4,0,1,12,14,30,43,0,0,24,35,25,16,41,11,41,7,41,15,29,15,41,17,28,14,0,1,60,39,61,0,12,27,88,0,1,0,1,1,2,0,7,28,1,4,4,5,5,3,6,2,1,0,3,8,10,3,2,15,0,3,45,51,1,0,0,0,100,0,0,0,0,0,1,1,77,7,14,1,1,22,42,23,6,5,4.5,6.368406690341384,3.4705882352941178,2.464724388275579,15.75,3.7727332908007805,2.5319148936170213,1.341657838690581
AL,ALB,Albania,3,2020-12-30,2020-12-21,100,0,0,0,0,133,100,1867229.432000987,93,0,1,99,0,13,87,1,5,94,0,21,79,0,13,87,0,15,85,1,6,93,1,2,97,2,5,93,1,1,98,0,7,93,2,19,79,1,5,94,1,21,78,99,0,0,1,87,0,1,12,95,0,2,3,79,2,9,10,87,1,2,10,85,2,5,8,94,0,2,4,98,0,1,1,95,1,3,1,99,1,0,0,93,0,2,5,81,1,6,12,95,0,3,2,79,2,9,10,0,0,41,59,59,0,13,28,0,1,38,61,62,0,10,28,90,2,8,0,90,0,3,7,0,97,2,1,0,11,0,6,83,100,0,0,26,33,23,18,8,1,33,31,27,8,3,32,27,30,8,3,44,17,28,8,5,29,20,38,8,4,10,11,67,94,2,2,2,94,0,4,2,94,2,3,1,94,2,1,3,94,3,0,3,94,1,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,49,51,0,1,85,14,0,2,68,30,0,2,61,37,0,2,13,85,0,3,10,87,0,0,56,44,44,0,35,13,6,2,0,0,1,11,31,57,0,0,100,0,0,0,15,85,0,0,51,29,8,7,3,2,0,0,29,24,24,23,0,1,26,47,21,5,0,0,8,90,2,0,0,5,90,5,51,1,39,9,15,2,78,5,32,1,48,19,39,3,35,23,87,0,9,4,90,0,9,1,0,2,0,4,20,30,44,0,0,1,5,19,28,47,0,2,40,38,11,9,0,0,9,15,23,53,0,0,17,35,25,23,48,12,32,8,48,16,23,13,48,14,25,13,0,0,59,41,59,0,12,29,88,0,5,1,0,1,0,0,5,29,1,2,7,4,6,2,7,4,3,0,2,7,6,4,1,15,0,3,54,43,0,0,0,0,0,100,0,0,0,0,7,2,72,14,5,7,0,10,53,23,4,3,5.39622641509434,5.988256528860689,3.5555555555555554,2.842980774212109,16.155913978494624,3.6460062237774933,3.1818181818181817,1.4506871502641374
