ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
EC,ECU,Ecuador,-99,2020-12-21,2020-12-21,283,9,58435.82028156725,4,26369.40496555999,81,197,3033824.536833117,0,7,14,262,8,44,231,7,23,253,9,65,209,7,72,204,9,57,217,8,52,223,11,29,243,9,33,241,12,11,260,9,45,229,6,79,198,9,14,260,7,86,190,270,1,7,5,241,2,19,21,261,3,9,10,220,10,30,23,215,8,30,30,230,11,25,17,234,7,26,16,256,2,12,13,251,4,16,12,272,1,6,4,239,8,23,13,206,11,34,32,270,3,6,4,200,13,48,22,84,2,37,160,251,2,13,17,99,3,62,119,221,3,14,45,269,1,12,1,269,8,6,0,275,0,4,4,0,122,6,45,110,283,0,0,0,0,113,2,71,48,29,20,234,2,21,12,14,234,3,23,13,10,234,3,25,9,12,234,4,16,13,16,234,5,8,8,28,243,12,10,18,243,9,12,19,243,5,23,12,243,13,11,16,243,12,10,18,243,9,13,18,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,283,0,0,0,152,6,60,65,152,8,91,32,152,15,50,66,152,8,54,69,152,12,24,95,152,7,49,75,171,3,58,51,225,1,38,10,6,3,184,3,4,14,36,42,184,2,95,2,199,2,12,70,199,1,69,7,2,1,0,4,199,1,21,26,25,11,210,1,31,27,11,3,283,283,227,2,51,3,196,2,81,4,236,0,46,1,231,2,37,13,261,0,20,2,237,2,43,1,225,0,0,4,10,16,28,225,1,1,4,14,15,23,238,0,20,18,3,4,238,0,11,15,12,7,238,0,18,20,3,4,255,2,22,4,255,5,12,11,255,6,13,9,256,1,13,13,270,0,8,5,281,1,1,0,0,0,0,0,0,273,0,0,1,0,4,0,0,1,0,0,0,1,0,1,0,2,283,0,0,0,0,0,283,0,0,0,0,0,0,0,0,283,0,0,0,0,283,0,0,0,0,0,0,2.5,1.58981852290751,2.571428571428571,1.8544954675472893,0,0,0,0
EC,ECU,Ecuador,1,2020-12-21,2020-12-21,208,0,0,0,0,56,208,1273454.901796526,205,0,4,204,0,30,178,0,16,192,0,46,162,1,57,150,0,39,169,0,36,172,0,17,191,0,21,187,0,7,201,0,37,171,0,67,141,0,5,203,0,72,136,204,0,4,0,178,1,11,18,192,0,10,6,162,0,16,30,151,0,26,31,169,0,22,17,172,0,19,17,191,0,10,7,187,0,10,11,201,0,3,4,171,0,13,24,141,0,33,34,203,0,2,3,136,0,43,29,0,0,21,187,187,0,11,10,0,2,64,142,144,0,11,53,197,0,11,0,197,10,1,0,198,0,6,4,0,13,0,64,131,208,0,0,0,0,0,0,75,88,29,16,118,0,40,34,16,118,2,39,34,15,118,2,51,28,9,118,2,39,29,20,118,2,5,28,55,144,10,16,38,144,6,23,35,144,5,45,14,144,5,20,39,144,7,19,38,144,9,15,40,208,0,0,0,208,0,0,0,208,0,0,0,208,0,0,0,208,0,0,0,208,0,0,0,208,0,0,0,208,0,0,0,208,0,0,0,208,0,0,0,208,0,0,0,208,0,0,0,0,1,75,132,0,1,143,64,0,1,96,111,0,0,135,73,0,1,53,154,0,1,82,125,0,0,145,63,63,1,94,32,12,6,0,2,4,45,93,64,0,1,207,0,0,1,28,179,0,0,170,22,7,2,0,7,0,0,27,88,61,32,0,0,49,106,46,7,208,208,133,0,70,5,65,1,138,4,112,0,92,4,73,0,85,50,155,0,39,14,126,1,80,1,0,0,0,14,43,66,85,0,0,9,36,45,65,53,0,1,122,62,11,12,0,0,63,60,53,32,0,0,111,62,26,9,35,5,146,22,35,16,75,82,35,15,104,54,0,0,94,114,94,0,36,78,172,0,7,0,7,14,1,1,6,78,0,11,13,8,5,1,3,8,4,0,7,3,1,3,6,57,0,3,82,122,0,1,0,0,208,0,0,0,0,0,0,1,2,145,31,29,1,0,15,52,89,37,14,2.8993055555555554,1.91203390143811,2.6666666666666665,1.4259499757471625,11.241758241758241,5.899415945135266,3.4851485148514847,1.6846622194831826
EC,ECU,Ecuador,2,2020-12-21,2020-12-21,203,2,12529.8208990416,0,0,70,203,1445587.271096195,196,0,5,198,2,25,176,1,8,194,0,39,164,0,48,155,1,31,171,1,30,172,1,15,187,0,15,188,1,3,199,0,22,181,0,63,140,1,8,194,1,50,152,198,0,4,1,178,0,15,10,195,0,7,1,164,1,12,26,155,1,25,22,172,0,11,20,173,2,18,10,188,0,14,1,188,0,13,2,200,1,1,1,181,1,13,8,140,1,32,30,195,0,6,2,153,0,27,23,0,0,32,171,171,0,11,21,0,1,91,111,112,1,29,61,174,6,23,0,174,17,12,0,186,0,9,7,1,31,2,32,138,203,0,0,0,0,0,0,72,91,25,15,133,2,29,25,14,133,3,36,21,10,133,2,29,24,15,133,2,20,28,20,133,3,5,11,51,171,8,10,14,171,8,2,22,171,4,19,9,171,6,13,13,171,8,7,17,171,7,11,14,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,203,0,0,0,0,2,85,116,0,3,144,56,0,4,101,98,0,3,120,80,0,5,47,151,0,3,69,131,0,0,128,75,75,0,80,23,15,10,0,1,3,34,84,81,0,3,196,4,0,5,35,163,0,0,163,22,4,4,1,9,0,1,32,71,67,32,0,0,67,95,40,1,203,203,118,2,80,3,59,2,141,1,102,2,97,2,83,3,76,41,156,2,32,13,134,2,64,3,0,0,3,6,26,66,102,0,0,5,11,24,72,91,0,2,126,56,15,4,0,0,63,64,47,29,0,0,103,55,37,8,45,7,139,12,45,22,85,51,45,16,95,47,0,0,107,96,107,0,49,47,154,1,14,1,9,7,0,5,12,47,1,9,14,4,23,1,7,13,2,1,16,10,3,4,5,43,0,2,85,115,0,1,0,0,0,203,0,0,0,0,0,5,2,152,29,15,5,0,48,61,55,23,11,2.8134328358208953,1.815422279208348,2.1875,1.1760376338064324,12.368421052631579,6.866917288659439,3.231958762886598,1.7403499375201648
EC,ECU,Ecuador,3,2020-12-21,2020-12-21,174,1,15880.277335231001,0,0,73,174,1484030.987689519,169,7,3,164,9,15,150,5,12,157,8,25,141,5,27,142,5,22,147,7,29,138,9,7,158,8,11,155,6,2,166,6,14,154,7,39,128,9,4,161,6,41,127,171,0,3,0,159,3,9,3,162,2,8,2,149,2,15,8,147,3,13,11,152,2,13,7,145,3,13,13,167,1,4,2,163,1,9,1,172,1,1,0,160,2,7,5,135,2,19,18,170,0,3,1,133,2,19,20,0,0,31,143,143,0,13,18,0,1,75,98,99,1,21,53,153,4,17,0,153,12,9,0,162,0,5,6,1,23,2,33,116,174,0,0,0,0,0,2,66,54,32,20,107,6,29,16,16,107,7,28,20,12,107,4,35,15,13,107,6,26,21,14,107,7,8,9,43,141,14,11,8,141,15,6,12,141,9,17,7,141,12,11,10,141,15,5,13,141,17,9,7,174,0,0,0,174,0,0,0,174,0,0,0,174,0,0,0,174,0,0,0,174,0,0,0,174,0,0,0,174,0,0,0,174,0,0,0,174,0,0,0,174,0,0,0,174,0,0,0,0,11,80,83,0,6,136,32,0,13,80,81,0,9,95,70,0,9,33,132,0,10,52,112,0,0,101,73,73,0,54,31,11,5,0,1,2,27,78,66,0,1,169,4,0,2,28,144,0,0,151,16,1,2,0,4,0,2,40,58,44,30,0,1,72,68,30,3,174,174,94,5,73,2,38,6,126,4,94,3,74,3,79,5,62,28,141,1,27,5,122,3,46,3,0,0,2,8,24,44,96,0,0,3,5,30,40,96,0,1,95,54,13,11,0,0,54,52,40,28,0,0,86,53,24,11,35,6,123,10,35,30,68,41,35,28,84,27,0,3,93,78,96,0,39,39,135,2,9,1,10,3,3,0,11,42,0,9,11,10,14,1,2,10,4,2,12,13,5,3,9,27,0,2,87,84,0,1,0,0,0,0,174,0,0,0,0,3,3,121,30,17,3,1,32,54,54,19,11,2.7160493827160495,1.5671197138479447,2.68,1.651262143533445,12.059880239520957,6.124905309130256,3.3173652694610785,1.735837079271691
EC,ECU,Ecuador,-99,2020-12-22,2020-12-22,271,7,93873.98347441168,3,35869.6527308041,70,214,2929498.14801951,0,6,10,255,8,42,221,9,20,242,7,57,207,8,49,214,5,48,218,7,46,218,11,22,238,7,25,239,9,11,251,6,31,234,8,73,190,9,11,251,9,73,189,261,2,6,2,229,6,23,13,251,2,10,8,214,5,29,23,222,3,22,24,223,4,26,18,225,6,26,14,249,1,15,6,246,2,12,11,260,1,10,0,240,1,16,14,198,7,38,28,260,2,7,2,198,8,43,22,55,2,34,180,240,0,12,19,63,8,66,134,207,1,15,48,256,2,11,2,256,9,6,0,262,0,7,2,0,91,5,50,125,271,0,0,0,0,83,4,59,61,36,28,117,8,75,38,33,117,18,66,43,27,117,19,71,31,33,117,19,52,46,37,117,21,23,26,84,226,15,12,18,226,17,17,11,226,7,24,14,226,17,21,7,226,19,12,14,226,19,9,17,271,0,0,0,271,0,0,0,271,0,0,0,271,0,0,0,271,0,0,0,271,0,0,0,271,0,0,0,271,0,0,0,271,0,0,0,271,0,0,0,271,0,0,0,271,0,0,0,132,11,53,75,132,10,96,33,132,14,49,76,132,10,61,68,132,13,26,100,132,8,55,76,147,2,66,56,205,1,35,18,7,5,156,3,1,18,46,47,156,1,111,3,167,5,16,83,167,2,81,12,1,1,0,7,167,2,33,28,23,18,178,2,31,39,14,7,271,271,220,3,47,1,181,2,87,1,225,1,42,3,213,2,47,9,246,1,22,2,219,3,47,2,190,1,1,2,8,20,49,190,0,1,3,10,19,48,206,3,34,21,5,2,206,2,21,19,10,13,206,1,30,21,5,8,224,3,40,4,224,12,23,12,224,10,28,9,216,2,22,31,240,0,23,8,261,0,2,0,0,2,3,0,3,247,0,3,1,0,2,1,1,0,2,0,3,0,1,0,2,8,271,0,0,0,0,0,271,0,0,0,0,0,0,0,0,271,0,0,0,0,271,0,0,0,0,0,0,2.961016949152542,2.039315868958383,2.2857142857142856,1.3569339855976197,0,0,0,0
EC,ECU,Ecuador,1,2020-12-22,2020-12-22,194,2,8444.17956672621,0,0,63,194,1253155.4098010883,184,0,6,188,1,26,167,1,8,185,1,41,152,1,50,143,1,38,155,0,31,163,1,17,176,1,16,177,0,3,191,1,34,159,1,51,142,0,7,187,0,55,139,188,0,0,6,168,0,13,13,186,1,4,3,153,1,23,17,144,0,20,30,156,1,17,20,163,1,14,16,177,1,11,5,178,1,8,7,191,0,2,1,160,1,22,11,143,0,26,25,187,1,3,3,139,1,35,19,0,0,26,168,168,0,7,19,0,0,61,133,133,1,11,49,183,1,10,0,183,6,5,0,188,0,4,2,0,12,2,50,130,194,0,0,0,0,0,1,69,79,30,15,0,1,88,61,44,0,3,89,69,33,0,2,106,57,29,0,1,80,68,45,0,3,20,42,129,144,7,15,28,144,5,25,20,144,5,34,11,144,7,18,25,144,8,14,28,144,8,16,26,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,194,0,0,0,0,0,55,139,0,1,131,62,0,1,74,119,0,1,105,88,0,0,33,161,0,0,77,117,0,0,117,77,77,0,80,30,6,1,0,0,7,52,71,64,0,0,188,6,0,2,33,159,0,0,159,20,4,4,2,5,0,0,39,63,63,29,0,1,50,91,48,4,194,194,139,0,54,1,63,1,127,3,120,1,65,8,89,1,67,37,161,0,26,7,117,0,75,2,0,0,2,16,37,49,90,0,0,11,24,44,54,61,0,2,108,63,16,5,0,0,70,64,43,17,0,0,116,52,21,5,26,4,146,18,26,10,70,88,26,6,94,68,0,2,78,114,80,0,40,74,154,0,8,0,11,8,3,3,7,76,1,12,13,3,3,2,3,7,4,0,11,6,0,4,3,46,0,1,88,102,1,2,0,0,194,0,0,0,0,0,0,9,5,121,30,29,9,0,21,38,70,48,8,2.6791044776119404,1.7150407008417352,2.5,1.2510864843424485,11.058064516129033,5.928402589951016,3.485549132947977,1.9096052691352543
EC,ECU,Ecuador,2,2020-12-22,2020-12-22,231,0,0,0,0,88,231,1618479.7242582112,223,1,2,228,1,23,207,0,4,227,0,43,188,1,39,191,1,30,200,1,33,197,1,9,221,2,18,211,1,6,224,1,23,207,1,48,182,1,5,225,1,49,181,229,0,2,0,208,0,16,7,227,0,4,0,188,1,28,14,192,0,15,24,201,0,19,11,198,0,22,11,222,1,8,0,213,1,13,4,225,1,2,3,208,1,16,6,183,2,26,20,226,0,4,1,182,0,31,18,0,0,40,191,191,0,14,26,0,1,117,113,114,2,32,83,199,6,26,0,199,23,9,0,208,0,13,10,0,35,3,38,155,231,0,0,0,0,0,2,92,87,36,14,0,6,98,75,52,0,8,123,69,31,0,9,135,52,35,0,9,104,63,55,0,10,25,37,159,193,12,5,21,193,12,8,18,193,6,23,9,193,10,16,12,193,11,6,21,193,11,8,19,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,231,0,0,0,0,4,95,132,0,2,166,63,0,5,104,122,0,5,122,104,0,5,42,184,0,3,73,155,0,1,148,82,83,0,96,36,7,9,0,3,2,40,85,101,0,3,227,1,0,0,35,196,0,0,198,26,1,0,0,6,0,1,40,68,88,34,0,1,65,129,34,2,231,231,136,3,90,2,65,3,161,2,127,2,100,2,109,1,87,34,189,1,38,3,158,3,67,3,0,1,4,11,38,55,122,0,1,3,10,49,61,107,0,1,125,78,21,6,0,0,67,66,66,32,0,0,103,80,39,9,48,4,161,18,48,23,89,71,48,20,94,69,0,0,136,95,136,0,57,38,174,3,16,1,8,8,3,3,15,38,1,8,17,10,20,2,5,18,8,0,11,13,5,4,8,63,0,3,117,111,0,0,0,0,0,231,0,0,0,0,0,4,3,180,22,22,4,2,43,75,74,22,11,2.8217054263565893,1.9583539500811515,2.217948717948718,1.4363462042117756,12.129032258064516,6.487304944892654,3.3228699551569507,1.661370002381758
EC,ECU,Ecuador,3,2020-12-22,2020-12-22,162,4,20982.86223038927,2,10788.04809099999,66,160,1258062.4649739938,158,5,5,152,5,15,142,4,5,153,6,18,138,5,17,140,5,20,137,5,27,130,6,8,148,4,6,152,6,4,152,6,12,144,5,32,125,6,7,149,5,25,132,157,0,4,1,147,0,10,5,157,0,3,2,144,0,10,8,145,0,8,9,142,1,8,11,135,1,11,15,154,0,8,0,156,0,4,2,158,0,4,0,150,1,7,4,130,0,13,19,155,0,5,2,137,0,18,7,0,2,27,133,135,1,10,16,0,5,66,91,96,0,17,49,145,1,15,1,145,8,9,0,154,0,7,1,0,22,2,20,118,162,0,0,0,0,0,1,57,65,18,21,0,8,85,42,27,0,16,89,37,20,0,11,85,39,27,0,18,62,48,34,0,20,17,14,111,142,14,1,5,142,12,3,5,142,6,13,1,142,12,4,4,142,15,1,4,142,12,4,4,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,162,0,0,0,0,10,76,76,0,5,124,33,0,11,58,93,0,7,65,90,0,14,23,125,0,7,45,110,0,0,86,76,76,0,58,18,5,5,0,2,1,18,55,86,0,2,160,0,0,3,24,135,0,0,141,11,2,1,1,6,0,2,41,53,44,22,0,2,66,73,15,6,162,162,86,1,70,5,38,2,120,2,104,0,54,4,97,0,50,15,139,0,22,1,117,0,44,1,0,1,1,4,20,38,98,0,0,1,4,13,45,99,0,0,69,70,12,11,0,0,46,53,33,30,0,0,78,54,20,10,30,10,111,11,30,28,77,27,30,23,74,35,0,0,95,67,95,0,36,31,126,3,5,0,11,4,1,1,11,31,1,12,7,8,15,3,3,8,7,0,9,8,9,4,4,33,0,1,79,80,0,2,0,0,0,0,162,0,0,0,0,3,4,119,22,14,3,4,23,61,52,17,2,2.7123287671232883,1.9754004661136613,2.727272727272727,1.4203225046854735,12.091503267973854,5.741537797310906,3.801324503311258,1.657386969699267
EC,ECU,Ecuador,4,2020-12-22,2020-12-21,100,0,0,0,0,57,100,1210842.2811228505,98,4,1,95,4,11,85,4,3,93,3,18,79,5,13,82,3,17,80,5,10,85,2,9,89,4,2,94,1,4,95,3,8,89,3,18,79,4,2,94,3,23,74,99,0,1,0,89,0,8,3,97,0,3,0,82,0,15,3,87,0,9,4,83,0,9,8,90,0,9,1,91,0,6,3,98,1,0,1,96,0,2,2,92,0,5,3,82,0,9,9,98,0,2,0,77,0,14,9,0,0,19,81,81,0,6,13,0,2,48,50,52,0,11,37,89,0,11,0,89,7,4,0,93,0,2,5,0,13,1,23,63,100,0,0,0,0,0,0,39,30,16,15,1,10,38,19,32,1,12,52,19,16,1,12,49,18,20,1,14,35,27,23,1,16,6,9,68,77,9,7,7,77,10,5,8,77,5,9,9,77,7,11,5,77,7,5,11,77,9,6,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,3,43,54,0,2,80,18,0,3,38,59,0,5,37,58,0,6,12,82,0,2,38,60,0,0,53,47,47,0,38,8,4,3,0,2,1,15,28,54,0,2,98,0,0,0,18,82,0,0,84,7,4,0,0,5,0,0,35,29,21,15,0,0,43,43,10,4,100,100,57,0,43,0,20,1,78,1,62,0,35,3,63,0,32,5,88,0,9,3,62,0,36,2,0,0,1,1,13,25,60,0,0,2,1,14,28,55,0,1,51,34,7,7,0,0,20,35,27,18,0,0,46,32,15,7,22,5,67,6,22,16,50,12,22,15,44,19,0,0,68,32,68,0,15,17,85,0,0,0,2,3,1,1,8,17,1,5,8,6,11,2,3,6,4,0,3,5,4,0,5,20,0,0,63,37,0,0,0,0,0,0,0,100,0,0,0,1,1,82,9,7,1,1,11,30,40,12,5,2.4352941176470586,1.6466722235359124,3.2352941176470593,2.047236300622924,12.479166666666666,6.099144317320977,3.268041237113402,1.5646848985067634
EC,ECU,Ecuador,5,2020-12-22,2020-12-21,100,0,0,0,0,18,100,1049392.9607403951,96,0,1,99,0,11,89,1,0,99,0,6,94,0,19,81,1,12,87,0,12,88,0,3,97,0,2,98,0,1,99,0,3,97,0,18,82,1,4,95,1,14,85,99,0,1,0,89,0,7,4,100,0,0,0,94,0,4,2,81,0,9,10,88,0,8,4,88,0,6,6,97,0,2,1,98,0,2,0,99,0,0,1,97,0,2,1,82,0,13,5,96,0,3,1,86,0,10,4,0,0,11,89,89,0,5,6,0,1,39,60,61,0,7,32,93,1,6,0,93,5,2,0,95,0,2,3,0,8,1,10,81,100,0,0,0,0,0,0,42,29,14,15,1,13,40,23,23,1,14,46,18,21,1,11,45,16,27,1,11,49,19,20,1,16,10,10,63,90,4,3,3,90,6,2,2,90,3,4,3,90,7,1,2,90,6,2,2,90,4,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,4,30,66,0,4,81,15,0,9,35,56,0,8,35,57,0,9,9,82,0,5,27,68,0,1,47,52,53,0,31,8,6,2,0,2,1,6,36,55,0,2,98,0,0,1,12,87,0,0,91,5,0,3,0,1,0,0,26,31,29,14,0,0,41,46,12,1,100,100,70,0,30,0,19,0,80,1,65,0,35,0,65,0,33,2,91,0,8,1,73,0,27,0,0,0,0,0,7,23,70,0,0,0,1,6,20,73,0,2,41,37,15,5,0,0,14,28,26,32,0,0,31,27,23,19,42,4,50,4,42,11,32,15,42,8,37,13,0,0,55,45,55,0,22,23,78,3,1,1,1,3,0,0,13,23,1,1,5,4,15,1,1,7,3,1,6,5,4,1,2,20,0,1,63,35,0,1,0,0,0,0,0,0,100,0,0,4,2,78,9,7,4,0,22,19,37,16,2,2.725,1.8395581966804853,1.875,0.83452296039628,14.385416666666668,6.291798825148525,2.760869565217391,1.6332369613166358
