ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1.-77,B1_1.1,B1_1.2,B1_2.-77,B1_2.1,B1_2.2,B1_3.-77,B1_3.1,B1_3.2,B1_4.-77,B1_4.1,B1_4.2,B1_5.-77,B1_5.1,B1_5.2,B1_6.-77,B1_6.1,B1_6.2,B1_7.-77,B1_7.1,B1_7.2,B1_8.-77,B1_8.1,B1_8.2,B1_9.-77,B1_9.1,B1_9.2,B1_10.-77,B1_10.1,B1_10.2,B1_11.-77,B1_11.1,B1_11.2,B1_12.-77,B1_12.1,B1_12.2,B1_13.-77,B1_13.1,B1_13.2,B1_14.-77,B1_14.1,B1_14.2,B1b_x1.-99,B1b_x1.1,B1b_x1.2,B1b_x2.-99,B1b_x2.1,B1b_x2.2,B1b_x3.-99,B1b_x3.1,B1b_x3.2,B1b_x4.-99,B1b_x4.-77,B1b_x4.1,B1b_x4.2,B1b_x5.-99,B1b_x5.1,B1b_x5.2,B1b_x6.-99,B1b_x6.-77,B1b_x6.1,B1b_x6.2,B1b_x7.-99,B1b_x7.-77,B1b_x7.1,B1b_x7.2,B1b_x8.-99,B1b_x8.1,B1b_x8.2,B1b_x9.-99,B1b_x9.1,B1b_x9.2,B1b_x10.-99,B1b_x10.1,B1b_x10.2,B1b_x11.-99,B1b_x11.-77,B1b_x11.1,B1b_x11.2,B1b_x12.-99,B1b_x12.-77,B1b_x12.1,B1b_x12.2,B1b_x13.-99,B1b_x13.-77,B1b_x13.1,B1b_x13.2,B1b_x14.-99,B1b_x14.-77,B1b_x14.1,B1b_x14.2,B3.-99,B3.-77,B3.1,B3.2,B5.-99,B5.1,B5.2,B6.-99,B6.-77,B6.1,B6.2,B7.-99,B7.-77,B7.1,B7.2,B8.-99,B8.1,B8.2,B8.3,B9.-99,B9.1,B9.2,B10.-99,B10.1,B10.2,B10.3,B11.-99,B11.-77,B11.1,B11.2,V1.-99,V2.-99,V3.-99,V3.-77,V3.1,V3.2,V3.3,V3.4,V4_1.-99,V4_1.-77,V4_1.1,V4_1.2,V4_1.3,V4_2.-99,V4_2.-77,V4_2.1,V4_2.2,V4_2.3,V4_3.-99,V4_3.-77,V4_3.1,V4_3.2,V4_3.3,V4_4.-99,V4_4.-77,V4_4.1,V4_4.2,V4_4.3,V4_5.-99,V4_5.-77,V4_5.1,V4_5.2,V4_5.3,V9.-99,B12_1.-99,B12_1.-77,B12_1.1,B12_1.2,B12_2.-99,B12_2.-77,B12_2.1,B12_2.2,B12_3.-99,B12_3.-77,B12_3.1,B12_3.2,B12_4.-99,B12_4.-77,B12_4.1,B12_4.2,B12_5.-99,B12_5.-77,B12_5.1,B12_5.2,B12_6.-99,B12_6.-77,B12_6.1,B12_6.2,B13_1.-99,B13_1.-77,B13_1.1,B13_1.2,B13_2.-99,B13_2.-77,B13_2.1,B13_2.2,B13_3.-99,B13_3.-77,B13_3.1,B13_3.2,B13_4.-99,B13_4.-77,B13_4.1,B13_4.2,B13_5.-99,B13_5.-77,B13_5.1,B13_5.2,B13_6.-99,B13_6.-77,B13_6.1,B13_6.2,B13_7.-99,B13_7.-77,B13_7.1,B13_7.2,B14_1.-99,B14_1.-77,B14_1.1,B14_1.2,B14_2.-99,B14_2.-77,B14_2.1,B14_2.2,B14_3.-99,B14_3.-77,B14_3.1,B14_3.2,B14_4.-99,B14_4.-77,B14_4.1,B14_4.2,B14_5.-99,B14_5.-77,B14_5.1,B14_5.2,C0_1.-99,C0_1.-77,C0_1.1,C0_1.2,C0_2.-99,C0_2.-77,C0_2.1,C0_2.2,C0_3.-99,C0_3.-77,C0_3.1,C0_3.2,C0_4.-99,C0_4.-77,C0_4.1,C0_4.2,C0_5.-99,C0_5.-77,C0_5.1,C0_5.2,C0_6.-99,C0_6.-77,C0_6.1,C0_6.2,C1_m.-99,C1_m.-77,C1_m.1,C1_m.2,C2.-99,C2.1,C2.2,C2.3,C2.4,C7.-99,C7.-77,C7.1,C7.2,C7.3,C7.4,C8.-99,C8.-77,C8.1,C8.2,C3.-99,C3.-77,C3.1,C3.2,C5.-99,C5.-77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6.-99,C6.-77,C6.1,C6.2,C6.3,C6.4,C14.-99,C14.1,C14.2,C14.3,C14.4,C9.-99,C12.-99,C13_1.-99,C13_1.-77,C13_1.1,C13_1.2,C13_2.-99,C13_2.-77,C13_2.1,C13_2.2,C13_3.-99,C13_3.-77,C13_3.1,C13_3.2,C13_4.-99,C13_4.-77,C13_4.1,C13_4.2,C13_5.-99,C13_5.-77,C13_5.1,C13_5.2,C13_6.-99,C13_6.-77,C13_6.1,C13_6.2,D1.-99,D1.-77,D1.1,D1.2,D1.3,D1.4,D1.5,D2.-99,D2.-77,D2.1,D2.2,D2.3,D2.4,D2.5,D3.-99,D3.-77,D3.1,D3.2,D3.3,D3.4,D4.-99,D4.-77,D4.1,D4.2,D4.3,D4.4,D5.-99,D5.-77,D5.1,D5.2,D5.3,D5.4,D6_1.-99,D6_1.-77,D6_1.1,D6_1.2,D6_2.-99,D6_2.-77,D6_2.1,D6_2.2,D6_3.-99,D6_3.-77,D6_3.1,D6_3.2,D7.-99,D7.-77,D7.1,D7.2,D8.-99,D8.1,D8.2,D9.-99,D9.-77,D9.1,D9.3,D9.4,D9.5,D9.7,D10.-99,D10.-77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3.-99,E3.-77,E3.1,E3.2,E3.4,E4.-99,E4.-77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2.-99,E2.-77,E2.1,E2.2,E2.3,E7.-99,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AGO,Angola,-99,2021-01-13,2021-01-01,100,1,8762.769027004499,0,0,16,79,10387975.340753896,0,8,3,89,9,8,83,10,7,83,7,16,77,9,4,87,7,18,75,9,6,85,6,7,87,8,4,88,8,4,88,10,8,82,7,17,76,8,5,87,8,10,82,97,0,3,92,3,5,93,2,5,84,1,3,12,96,2,2,82,1,5,12,94,1,1,4,93,4,3,96,1,3,96,2,2,92,0,6,2,83,1,7,9,95,1,2,2,90,1,7,2,19,2,10,69,90,7,3,19,3,23,55,77,0,9,14,91,1,8,0,91,4,5,96,2,1,1,32,2,19,47,100,0,25,2,32,24,8,9,35,7,36,10,12,35,17,28,10,10,35,10,35,13,7,35,12,27,13,13,35,15,17,8,25,0,81,8,8,3,81,12,2,5,81,8,5,6,81,13,0,6,81,12,2,5,81,13,1,5,84,3,2,11,84,4,1,11,84,3,1,12,84,3,5,8,84,4,5,7,84,2,11,3,84,4,5,7,90,2,3,5,90,1,4,5,90,4,1,5,90,2,3,5,90,4,1,5,42,9,21,28,42,8,29,21,42,13,17,28,42,9,16,33,42,11,8,39,42,6,19,33,45,2,20,33,80,12,3,2,3,52,1,2,8,15,22,52,2,44,2,53,2,8,37,53,1,34,7,0,1,1,3,53,1,15,7,11,13,58,14,20,6,2,100,100,79,0,19,2,71,0,28,1,83,1,13,3,84,2,9,5,92,1,4,3,81,1,16,2,60,1,2,1,3,8,25,60,1,2,1,3,3,30,66,0,22,5,3,4,66,0,10,7,10,7,66,0,17,4,8,5,82,3,13,2,82,6,6,6,82,3,12,3,73,0,11,16,84,7,9,94,1,1,0,2,1,1,83,1,0,2,0,0,2,0,1,0,0,2,0,4,0,0,5,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,3.8181818181818183,3.7624253023607195,2,1.0954451150103321,0,0,0,0
AGO,Angola,-99,2021-01-14,2021-01-01,100,1,8762.769027004499,0,0,15,78,10091272.264924062,0,8,3,89,9,8,83,9,7,84,7,16,77,9,4,87,6,19,75,9,6,85,7,6,87,8,4,88,8,4,88,9,9,82,6,18,76,8,5,87,8,10,82,97,0,3,92,3,5,93,2,5,84,1,3,12,96,2,2,81,1,6,12,94,1,1,4,94,3,3,96,1,3,96,2,2,91,1,6,2,82,2,7,9,95,1,2,2,90,1,7,2,20,2,9,69,91,6,3,20,4,21,55,79,0,8,13,92,0,8,0,92,4,4,96,2,1,1,32,2,19,47,100,0,26,3,31,23,8,9,35,7,37,9,12,35,16,29,10,10,35,9,36,13,7,35,11,28,13,13,35,14,18,8,25,0,81,9,7,3,81,12,2,5,81,8,6,5,81,14,0,5,81,13,1,5,81,14,1,4,85,2,2,11,85,3,1,11,85,3,1,11,85,2,5,8,85,3,5,7,85,1,11,3,85,3,5,7,90,2,3,5,90,1,4,5,90,4,1,5,90,2,3,5,90,4,1,5,42,8,22,28,42,8,29,21,42,13,17,28,42,9,16,33,42,11,8,39,42,6,19,33,44,2,20,34,80,12,3,2,3,51,1,2,8,16,22,51,3,44,2,52,2,8,38,52,1,35,7,0,1,1,3,52,1,16,7,11,13,57,15,20,6,2,100,100,78,0,20,2,71,0,28,1,83,1,13,3,84,2,9,5,92,1,4,3,81,1,16,2,59,1,2,1,3,9,25,59,1,2,1,3,3,31,65,0,22,5,3,5,65,0,10,7,10,8,65,0,17,4,9,5,82,3,13,2,82,6,6,6,82,3,12,3,72,0,12,16,84,7,9,94,1,1,0,2,1,1,82,1,0,2,0,0,2,0,1,0,0,2,0,4,0,0,6,100,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,3.8181818181818183,3.7624253023607195,2,1.0954451150103321,0,0,0,0
