horizon,rmse,chg.point.prior,period,fourier.order,prior.scale,signal,region
168,0.0027568107045614497,0.99,365,10,5,p_cli_smooth,Karnataka
168,0.00474532955882729,0.99,182.5,8,5,p_cli_CI_smooth,Karnataka
168,0.0018124764379337027,0.99,365,10,5,p_cli_weight_smooth,Karnataka
168,8.464702899784197e-6,0.99,365,10,5,p_cli_weight_CI_smooth,Karnataka
168,0.0013908924825476704,0.99,182.5,8,5,p_cliWHO_smooth,Karnataka
168,0.003640394138211384,0.99,182.5,8,5,p_cliWHO_CI_smooth,Karnataka
168,0.0014842311633145233,0.99,30.5,5,5,p_cliWHO_weight_smooth,Karnataka
168,5.006498714986138e-6,0.99,30.5,5,5,p_cliWHO_weight_CI_smooth,Karnataka
168,3.3657379222216217e-4,0.99,7,3,5,p_cli_local_CI_smooth,Karnataka
168,7.204041353286105e-4,0.99,7,3,5,p_cli_local_smooth,Karnataka
168,0.0027183117840451384,0.99,7,3,5,p_cli_smooth,Maharashtra
168,0.002551430317454613,0.99,30.5,5,5,p_cli_CI_smooth,Maharashtra
168,0.0026196949285625924,0.99,7,3,5,p_cli_weight_smooth,Maharashtra
168,4.102638206042252e-6,0.99,7,3,5,p_cli_weight_CI_smooth,Maharashtra
168,0.001023516610375217,0.99,0,0,0,p_cliWHO_smooth,Maharashtra
168,7.623510727718856e-4,0.99,30.5,5,5,p_cliWHO_CI_smooth,Maharashtra
168,0.001066941147666784,0.99,15,4,5,p_cliWHO_weight_smooth,Maharashtra
168,1.985612755507668e-6,0.99,30.5,5,5,p_cliWHO_weight_CI_smooth,Maharashtra
168,1.826728766015633e-4,0.99,365,10,5,p_cli_local_CI_smooth,Maharashtra
168,7.444146889651162e-4,0.99,182.5,8,5,p_cli_local_smooth,Maharashtra
168,0.0036771727269801335,0.99,182.5,8,5,p_cli_smooth,NCT of Delhi
168,0.0030560592362723106,0.99,30.5,5,5,p_cli_CI_smooth,NCT of Delhi
168,0.0041985340412582905,0.99,182.5,8,5,p_cli_weight_smooth,NCT of Delhi
168,7.774409659790152e-6,0.99,30.5,5,5,p_cli_weight_CI_smooth,NCT of Delhi
168,0.0016458562367991248,0.99,182.5,8,5,p_cliWHO_smooth,NCT of Delhi
168,0.0020728114646411215,0.99,365,10,5,p_cliWHO_CI_smooth,NCT of Delhi
168,0.003586938532869927,0.99,182.5,8,5,p_cliWHO_weight_smooth,NCT of Delhi
168,5.3508865139880745e-6,0.99,15,4,5,p_cliWHO_weight_CI_smooth,NCT of Delhi
168,2.408695388575138e-4,0.99,365,10,5,p_cli_local_CI_smooth,NCT of Delhi
168,0.0037173091283733157,0.99,365,10,5,p_cli_local_smooth,NCT of Delhi
168,0.00279916708523837,0.99,365,10,5,p_cli_smooth,Uttar Pradesh
168,0.0031178558316657806,0.99,7,3,5,p_cli_CI_smooth,Uttar Pradesh
