"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"BR",2020-06-13,204453710,0.0496894409937888,0,0.0433333333333333,322,9,0.0493117696691021,11441,0.00637378475360617,0.00612513968479546,11441,0.0493221080323214,0.00619930896591075,0.00619930896591075,"BRAC",803513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-13,204453710,0.0496894409937888,0,0.0433333333333333,322,9,0.0493117696691021,11441,0.00637378475360617,0.00612513968479546,11441,0.0493221080323214,0.00619930896591075,0.00619930896591075,"BRAL",3340932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-13,204453710,0.0496894409937888,0,0.0433333333333333,322,9,0.0493117696691021,11441,0.00637378475360617,0.00612513968479546,11441,0.0493221080323214,0.00619930896591075,0.00619930896591075,"BRAM",3938336,0.103448275862069,0.216666666666667,0.015,0.015,0.0443349753694581,0.0225,203,2,0.103448275862069,0.216666666666667,0.015,0.015,0.0443349753694581,0.0225
"BR",2020-06-13,204453710,0.0496894409937888,0,0.0433333333333333,322,9,0.0493117696691021,11441,0.00637378475360617,0.00612513968479546,11441,0.0493221080323214,0.00619930896591075,0.00619930896591075,"BRAP",766679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-13,204453710,0.0496894409937888,0,0.0433333333333333,322,9,0.0493117696691021,11441,0.00637378475360617,0.00612513968479546,11441,0.0493221080323214,0.00619930896591075,0.00619930896591075,"BRBA",15203934,0.0198123044838373,0.0394230769230769,0.0128755364806867,0.0330769230769231,0.0182403433476395,0.0539102564102564,959,14,0.0198123044838373,0.0394230769230769,0.0128755364806867,0.0330769230769231,0.0182403433476395,0.0539102564102564
"BR",2020-06-13,204453710,0.0496894409937888,0,0.0433333333333333,322,9,0.0493117696691021,11441,0.00637378475360617,0.00612513968479546,11441,0.0493221080323214,0.00619930896591075,0.00619930896591075,"BRCE",8904459,0.0825174825174825,0.126111111111111,0.0195804195804196,0.0344444444444444,0.0137404580152672,0.01625,715,9,0.0825174825174825,0.126111111111111,0.0195804195804196,0.0344444444444444,0.0137404580152672,0.01625
"BR",2020-06-13,204453710,0.0496894409937888,0,0.0433333333333333,322,9,0.0493117696691021,11441,0.00637378475360617,0.00612513968479546,11441,0.0493221080323214,0.00619930896591075,0.00619930896591075,"BRDF",2914830,0.0263157894736842,0.0283333333333333,0.00265957446808511,0.00153846153846154,0.00265957446808511,0.00153846153846154,380,14,0.0263157894736842,0.0283333333333333,0.00265957446808511,0.00153846153846154,0.00265957446808511,0.00153846153846154
"BR",2020-06-13,204453710,0.0496894409937888,0,0.0433333333333333,322,9,0.0493117696691021,11441,0.00637378475360617,0.00612513968479546,11441,0.0493221080323214,0.00619930896591075,0.00619930896591075,"BRES",3929911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-13,204453710,0.0496894409937888,0,0.0433333333333333,322,9,0.0493117696691021,11441,0.00637378475360617,0.00612513968479546,11441,0.0493221080323214,0.00619930896591075,0.00619930896591075,"BRFN",3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR",2020-06-13,204453710,0.0496894409937888,0,0.0433333333333333,322,9,0.0493117696691021,11441,0.00637378475360617,0.00612513968479546,11441,0.0493221080323214,0.00619930896591075,0.00619930896591075,"BRGO",6610681,0.012396694214876,0.0441666666666667,0,0,0,0,242,4,0.012396694214876,0.0441666666666667,0,0,0,0
