"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom","p_symptom_high","p_symptom_low"
2020-04-23,17373657,1028,3.2101,3.70573999512605,3.30701771629555,4.10446227395655,32.999828,NA,3.60892852641617,3.24348213576815,3.9743749170642,627002.863554701,627002.863554701,643822.556065016,643822.556065016,15000,3.60892852641617,3.9743749170642,3.24348213576815
2020-04-24,17373657,1050,3.1429,3.70045103506412,3.33156279623197,4.06933927389627,33.00045,NA,3.60726632278832,3.26448329141408,3.95004935416255,626714.077997755,1253716.94155246,642903.67028499,1286726.22635001,15000,3.60726632278832,3.95004935416255,3.26448329141408
2020-04-25,17373657,1089,3.0303,3.69495902453966,3.3533341950516,4.03658385402771,32.999967,3.53268374509351,3.60560426448682,3.28400425600201,3.92720427297164,626425.317689313,1880142.25924177,641949.507214066,1928675.73356407,15000,3.60560426448682,3.92720427297164,3.28400425600201
2020-04-26,17373657,1164,4.6392,3.68924110792878,3.37216471088944,4.00631750496812,54.000288,NA,3.60391815836735,3.3016773010463,3.90615901568839,626132.379395459,2506274.63863723,640956.095994546,2569631.82955862,15000,3.60391815836735,3.90615901568839,3.3016773010463
2020-04-27,17373657,1057,3.6897,3.68327461567072,3.38789854532122,3.97865068602021,39.000129,NA,3.60219743386498,3.31734712728703,3.88704774044293,625833.426622503,3132108.06525973,639919.498094698,3209551.32765332,15000,3.60219743386498,3.88704774044293,3.31734712728703
2020-04-28,17373657,1294,4.0185,3.67703707918641,3.40044402242692,3.95363013594589,51.99939,NA,3.60044467968556,3.33095199323747,3.86993736613366,625528.909123319,3757636.97438305,638835.809900664,3848387.13755398,15000,3.60044467968556,3.86993736613366,3.33095199323747
2020-04-29,17373657,1206,4.3118,3.67050624715669,3.40982177514383,3.93119071916955,52.000308,NA,3.5986624804931,3.34245780602761,3.85486715495858,625219.275948562,4382856.25033161,637701.165544576,4486088.30309856,15000,3.5986624804931,3.85486715495858,3.34245780602761
2020-04-30,17373657,1167,3.9417,3.66366010313059,3.41619392924175,3.91112627701943,45.999639,3.75635688858068,3.59685341669106,3.35189038313982,3.84181645024229,624904.975408685,5007761.2257403,636511.739963755,5122600.04306231,15000,3.59685341669106,3.84181645024229,3.35189038313982
2020-05-01,17373657,970,4.6392,3.65647688443107,3.41985798705477,3.89309578180736,45.00024,NA,3.59502006422219,3.35935782486402,3.83068230358036,624586.455039143,5632347.68077944,635263.75218534,5757863.79524765,15000,3.59502006422219,3.83068230358036,3.35935782486402
2020-05-02,17373657,832,3.726,3.64895032650506,3.42119008588091,3.87671056712921,31.00032,NA,3.59316499438677,3.3650552509344,3.82127473783914,624264.161568826,6256611.84234827,633956.11382737,6391819.90907502,15000,3.59316499438677,3.82127473783914,3.3650552509344
2020-05-03,17373657,2126,2.8222,3.64118530190782,3.42052805111157,3.86184255270408,59.999972,NA,3.59129077367919,3.3692462024452,3.81333534491319,623938.540891669,6880550.38323994,632607.04508788,7024426.9541629,15000,3.59129077367919,3.81333534491319,3.3692462024452
2020-05-04,17373657,2193,3.9672,3.63333499836951,3.41815017252161,3.84851982421741,87.000696,NA,3.58940671839628,3.37220218557326,3.8066112512193,623611.211589126,7504161.59482906,631243.160277674,7655670.11444057,15000,3.58940671839628,3.8066112512193,3.37220218557326
