"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom","p_symptom_high","p_symptom_low"
2020-04-23,6545503,435,0.9195,1.6804155703954,1.12777892261056,2.23305221818024,3.999825,NA,1.76634884740862,1.23735773121853,2.29533996359871,115616.416797597,115616.416797597,109991.651572698,109991.651572698,15000,1.76634884740862,2.29533996359871,1.23735773121853
2020-04-24,6545503,419,0.9547,1.77211741799112,1.22925545911937,2.31497937686286,4.000193,NA,1.85604149535818,1.33440139459294,2.37768159612342,121487.251759914,237103.668557511,115993.998758131,225985.650330829,15000,1.85604149535818,2.37768159612342,1.33440139459294
2020-04-25,6545503,474,2.3207,1.86861903233447,1.3361001584596,2.40113790620934,11.000118,1.35212833802817,1.95028555086206,1.43669333679134,2.46387776493277,127655.999240242,364759.667797754,122310.514820024,348296.165150853,15000,1.95028555086206,2.46387776493277,1.43669333679134
2020-04-26,6545503,447,1.1186,1.97005871246448,1.44823230015113,2.49188512477784,5.000142,NA,2.04915177515423,1.54388567859108,2.55441787171738,134127.290917273,498886.958715027,128950.252126124,477246.417276977,15000,2.04915177515423,2.55441787171738,1.54388567859108
2020-04-27,6545503,479,1.6701,2.07656413979312,1.56550719705516,2.58762108253109,7.999779,NA,2.15266095711539,1.65573544187733,2.64958647235344,140902.487527816,639789.446242843,135921.568067083,613167.98534406,15000,2.15266095711539,2.64958647235344,1.65573544187733
2020-04-28,6545503,530,2.4528,2.18825011962281,1.68775149145466,2.68874874779096,12.99984,NA,2.26086060673318,1.77207136698127,2.74964984648509,147984.698839538,787774.145082382,143231.977227415,756399.962571474,15000,2.26086060673318,2.74964984648509,1.77207136698127
2020-04-29,6545503,531,2.6365,2.30521615058043,1.81480917538716,2.79562312577369,13.999815,NA,2.37377551497842,1.8926698344201,2.85488119553673,155375.547546178,943149.69262856,150887.992292726,907287.954864201,15000,2.37377551497842,2.85488119553673,1.8926698344201
2020-04-30,6545503,503,1.7893,2.42754382741707,1.94659051305405,2.90849714178009,9.000179,2.36588412654746,2.49140466081968,2.01729563726268,2.96551368437668,163074.966816092,1106224.65944465,158894.954049899,1066182.9089141,15000,2.49140466081968,2.96551368437668,2.01729563726268
2020-05-01,6545503,393,1.7812,2.55529408601808,2.0831075774983,3.02748059453786,7.000116,NA,2.61371799590356,2.145748664406,3.08168732740112,171080.989833407,1277305.64927806,167256.851059136,1233439.75997324,15000,2.61371799590356,3.08168732740112,2.145748664406
2020-05-02,6545503,347,2.0173,2.68849057369737,2.22443270401506,3.15254844337969,7.000031,NA,2.740653135554,2.2779055017442,3.2034007693638,179389.533207281,1456695.18248534,175975.231156079,1409414.99112931,15000,2.740653135554,3.2034007693638,2.2779055017442
2020-05-03,6545503,852,3.2864,2.82702205467222,2.3703534019046,3.28369070743984,28.000128,NA,2.87211199108263,2.41373813758232,3.33048584458294,187994.176539673,1644689.35902501,185042.813399232,1594457.80452855,15000,2.87211199108263,3.33048584458294,2.41373813758232
2020-05-04,6545503,986,3.144,2.97067382645673,2.52037107333962,3.42097657957385,30.99984,NA,3.00794639036888,2.55322738163714,3.46266539910061,196885.221219987,1841574.580245,194445.54443094,1788903.34895949,15000,3.00794639036888,3.46266539910061,2.55322738163714
2020-05-05,6545503,1023,3.5191,3.11916141579383,2.67385512926232,3.56446770232534,36.000393,NA,3.14791506569193,2.69605892953155,3.59977120185231,206046.875062317,2047621.45530732,204164.804045628,1993068.15300511,15000,3.14791506569193,3.59977120185231,2.69605892953155
2020-05-06,6545503,1054,2.9412,3.27212472251615,2.83014649925474,3.71410294577757,31.000248,NA,3.29170654409217,2.84172153384798,3.74169155433637,215458.75059475,2263080.20590207,214177.021876037,2207245.17488115,15000,3.29170654409217,3.74169155433637,2.84172153384798
