"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_symptom","p_symptom_high","p_symptom_low"
2020-06-16,10230185,2910,1.512,1.68693936911465,1.50564185907349,1.86823687915581,43.9992,NA,1.69308685451131,1.65381780670059,1.73235590232203,173205.917427188,12609673.0516686,172577.018298262,12525874.8721498,15000,1.69308685451131,1.73235590232203,1.65381780670059
2020-06-17,10230185,3165,1.8641,1.63954238205086,1.45352566246758,1.82555910163414,58.998765,NA,1.62573197325153,1.58702454354938,1.66443940295368,166315.388467782,12775988.4401364,167728.21883721,12693603.090987,15000,1.62573197325153,1.66443940295368,1.58702454354938
2020-06-18,10230185,3011,1.4945,1.58941824400279,1.39377825911352,1.78505822889207,44.999395,1.56661278697779,1.55729406889891,1.51716493390034,1.59742320389748,159314.064242386,12935302.5043787,162600.426785237,12856203.5177723,15000,1.55729406889891,1.59742320389748,1.51716493390034
2020-06-19,10230185,2572,1.7107,1.53802302969087,1.33363204307701,1.74241401630472,43.999204,NA,1.49144142093963,1.44911525702705,1.53376758485222,152577.216528753,13087879.7209075,157342.601279981,13013546.1190523,15000,1.49144142093963,1.53376758485222,1.44911525702705
2020-06-20,10230185,3129,1.4382,1.48666565432781,1.27938872467271,1.69394258398291,45.001278,NA,1.43125683797768,1.38733522203503,1.47517845392034,146420.222350267,13234299.9432578,152088.646769195,13165634.7658215,15000,1.43125683797768,1.47517845392034,1.38733522203503
2020-06-21,10230185,3380,1.5089,1.43650787166816,1.2349475091999,1.63806823413642,51.00082,NA,1.37932518945302,1.33538931209624,1.4232610668098,141107.518632645,13375407.4618904,146957.412811216,13312592.1786327,15000,1.37932518945302,1.4232610668098,1.33538931209624
2020-06-22,10230185,3325,1.1729,1.38867421505445,1.19899400773004,1.57835442237885,38.998925,NA,1.33754696996733,1.29551528055331,1.37957865938135,136833.529489552,13512240.99138,142063.941247368,13454656.11988,15000,1.33754696996733,1.37957865938135,1.29551528055331
2020-06-23,10230185,3216,1.4614,1.34424037045586,1.16653214679176,1.52194859411996,46.998624,NA,1.30525580639073,1.26611151469572,1.34440009808575,133530.083717014,13645771.075097,137518.27674232,13592174.3966224,15000,1.30525580639073,1.34440009808575,1.26611151469572
2020-06-24,10230185,3247,1.7247,1.3041439709919,1.13318257594443,1.47510536603937,56.001009,NA,1.2808826023753,1.24414090569302,1.31762429905757,131036.659855807,13776807.7349528,133416.340898818,13725590.7375212,15000,1.2808826023753,1.31762429905757,1.24414090569302
2020-06-25,10230185,3106,1.159,1.26921157382936,1.09730572662093,1.44111742103779,35.99854,1.24882320341318,1.26308071252328,1.22702741947974,1.29913400556683,129215.49359045,13906023.2285432,129842.692044155,13855433.4295653,15000,1.26308071252328,1.29913400556683,1.22702741947974
2020-06-26,10230185,3007,0.8979,1.24019572993876,1.06104074680384,1.41935071307368,26.999853,NA,1.2506677349576,1.21320562675596,1.28812984315924,127945.623021472,14033968.8515647,126874.317534836,13982307.7471002,15000,1.2506677349576,1.28812984315924,1.21320562675596
2020-06-27,10230185,3186,1.2241,1.2178169160135,1.02907477511026,1.40655905691674,38.999826,NA,1.24257564462721,1.20230953951773,1.28284174973668,127117.787210306,14161086.638775,124584.923469475,14106892.6705696,15000,1.24257564462721,1.28284174973668,1.20230953951773
2020-06-28,10230185,3414,1.0838,1.20281040376634,1.0065794544646,1.39904135306808,37.000932,NA,1.23781219950826,1.19464288957845,1.28098150943808,126630.477962265,14287717.1167373,123049.729504544,14229942.4000742,15000,1.23781219950826,1.28098150943808,1.19464288957845
2020-06-29,10230185,3319,0.934,1.19597774375885,0.998017230859274,1.39393825665842,30.99946,NA,1.23543156630416,1.19056277278248,1.28030035982584,126386.934781313,14414104.0515186,122350.735745356,14352293.1358195,15000,1.23543156630416,1.28030035982584,1.19056277278248
2020-06-30,10230185,3286,1.339,1.19753221987232,1.00478252035407,1.39028191939057,43.99954,NA,1.23453919028426,1.19012765550997,1.27895072505855,126295.643063582,14540399.6945822,122509.761527545,14474802.8973471,15000,1.23453919028426,1.27895072505855,1.19012765550997
2020-07-01,10230185,3123,1.1207,1.20595602487235,1.02209475059181,1.3898172991529,34.999461,NA,1.23465352945084,1.19256141951938,1.27674563938231,126307.340171851,14666707.034754,123371.532363088,14598174.4297102,15000,1.23465352945084,1.27674563938231,1.19256141951938
2020-07-02,10230185,2758,1.3778,1.219512271104,1.04355736587186,1.39546717633614,37.999724,1.24791339366516,1.23561073445325,1.19637703635859,1.2748444325479,126405.264014426,14793112.2987684,124758.361431641,14722932.7911418,15000,1.23561073445325,1.2748444325479,1.19637703635859
2020-07-03,10230185,2563,1.7558,1.23646435113344,1.0630095543707,1.40991914789619,45.001154,NA,1.23725678304644,1.1999311230152,1.27458244307768,126573.6578307,14919685.9565991,126492.590580001,14849425.3817218,15000,1.23725678304644,1.27458244307768,1.1999311230152
2020-07-04,10230185,2868,1.1855,1.25501243690231,1.07654195923495,1.43348291456967,34.00014,NA,1.23943816803014,1.20201251232214,1.27686382373815,126796.817550095,15046482.7741492,128390.094068114,14977815.4757899,15000,1.23943816803014,1.27686382373815,1.20201251232214
2020-07-05,10230185,3078,1.1371,1.27325604842832,1.08402607297417,1.46248602388247,34.999938,NA,1.24200113123295,1.20252821877041,1.2814740436955,127059.013427224,15173541.7875765,130256.449277907,15108071.9250678,15000,1.24200113123295,1.2814740436955,1.20252821877041
2020-07-06,10230185,2980,1.3758,1.28918438858264,1.08830244289609,1.49006633426919,40.99884,NA,1.24479108988995,1.20245931457381,1.2871228652061,127344.431359259,15300886.2189357,131885.947943123,15239957.873011,15000,1.24479108988995,1.2871228652061,1.20245931457381
2020-07-07,10230185,2994,1.0354,1.30069713137036,1.09298131214055,1.50841295060018,30.999876,NA,1.24765225541454,1.20313981252199,1.29216469830708,127637.13388558,15428523.3528213,133063.722828881,15373021.5958398,15000,1.24765225541454,1.29216469830708,1.20313981252199
2020-07-08,10230185,2830,1.3781,1.30582938481389,1.10022766497368,1.51143110465411,39.00023,NA,1.25041700151684,1.20564312523435,1.29519087779932,127919.972526625,15556443.3253479,133588.761850823,15506610.3576907,15000,1.25041700151684,1.29519087779932,1.20564312523435
2020-07-09,10230185,2878,1.0424,1.30410202830638,1.10753395129749,1.50067010531527,30.000272,1.24393486394558,1.25250057570896,1.20947915750821,1.29552199390971,128133.126021092,15684576.451369,133412.050084495,15640022.4077752,15000,1.25250057570896,1.29552199390971,1.20947915750821
2020-07-10,10230185,3159,1.2346,1.29585546775742,1.10939732392149,1.48231361159334,39.001014,NA,1.25276979924943,1.21225953174865,1.2932800667502,128160.668087345,15812737.1194564,132568.411684199,15772590.8194594,15000,1.25276979924943,1.2932800667502,1.21225953174865
2020-07-11,10230185,2908,1.4787,1.28152823485668,1.10047074728244,1.46258572243092,43.000596,NA,1.25005927398134,1.21127969339009,1.28883885457259,127883.376337948,15940620.4957943,131102.709253073,15903693.5287124,15000,1.25005927398134,1.28883885457259,1.21127969339009
2020-07-12,10230185,2831,1.1657,1.26163336976704,1.0784053774641,1.44486136206999,33.000967,NA,1.24323045665877,1.20430808630321,1.28215282701433,127184.775692537,16067805.2714869,129067.427748903,16032760.9564613,15000,1.24323045665877,1.28215282701433,1.20430808630321
2020-07-13,10230185,2712,1.5487,1.23673965682592,1.0455497161294,1.42792959752245,42.000744,NA,1.23120421040774,1.19036248058984,1.27204594022565,125954.468452501,16193759.7399394,126520.754861657,16159281.711323,15000,1.23120421040774,1.27204594022565,1.19036248058984
2020-07-14,10230185,2867,1.2208,1.20745316449704,1.0074574049367,1.40744892405739,35.000336,NA,1.21300243543588,1.16967829628752,1.25632657458425,124092.393199596,16317852.133139,123524.692516402,16282806.4038394,15000,1.21300243543588,1.25632657458425,1.16967829628752
2020-07-15,10230185,2757,1.1244,1.17439973653606,0.969985496595466,1.37881397647665,30.999708,NA,1.18779665150939,1.14294499429416,1.23264830872463,121513.794873216,16439365.9280122,120143.265687151,16402949.6695266,15000,1.18779665150939,1.23264830872463,1.14294499429416
2020-07-16,10230185,2670,1.4981,1.13822167970122,0.937296608396192,1.33914675100624,39.99927,1.16322916066379,1.15496567124341,1.11067541539691,1.19925592708991,118155.124854692,16557521.0528669,116442.183543542,16519391.8530701,15000,1.15496567124341,1.19925592708991,1.11067541539691
2020-07-17,10230185,2427,1.0301,1.10008776053063,0.909420244086266,1.290755276975,25.000527,NA,1.11525498427365,1.07354585377886,1.15696411476845,114092.648112916,16671613.7009798,112541.013064641,16631932.8661347,15000,1.11525498427365,1.15696411476845,1.07354585377886
2020-07-18,10230185,2544,0.9827,1.06177545594174,0.882604336718378,1.24094657516511,24.999888,NA,1.0719187619811,1.03317189005322,1.11066563390898,109659.272400376,16781272.9733802,108621.593427434,16740554.4595622,15000,1.0719187619811,1.11066563390898,1.03317189005322
2020-07-19,10230185,2764,0.7236,1.02489457977841,0.853293025251955,1.19649613430487,20.000304,NA,1.02817981463169,0.991131981412973,1.0652276478504,105184.697169479,16886457.6705496,104848.611566304,16845403.0711285,15000,1.02817981463169,1.0652276478504,0.991131981412973
2020-07-20,10230185,2865,0.8028,0.990839180598999,0.820191510881869,1.16148685031613,23.00022,NA,0.986808028674969,0.949435972778982,1.02418008457096,100952.286928302,16987409.9574779,101364.681227762,16946767.7523562,15000,0.986808028674969,1.02418008457096,0.949435972778982
2020-07-21,10230185,2914,1.0638,0.96081749635328,0.785284274551571,1.13635071815499,30.999132,NA,0.950144313135645,0.910867558428642,0.989421067842648,97201.5210007558,17084611.4784787,98293.4073893087,17045061.1597455,15000,0.950144313135645,0.989421067842648,0.910867558428642
2020-07-22,10230185,2746,0.9104,0.935898359692089,0.752902566393126,1.11889415299105,24.999584,NA,0.920188219935849,0.878542191033965,0.961834248837732,94136.9572476442,17178748.4357263,95744.1336084661,17140805.293354,15000,0.920188219935849,0.961834248837732,0.878542191033965
2020-07-23,10230185,2651,0.6413,0.917070696729656,0.727885633005463,1.10625576045385,17.000863,0.886239073089355,0.898733355620659,0.855355626672774,0.942111084568544,91942.0849367013,17270690.520663,93818.0288562327,17234623.3222102,15000,0.898733355620659,0.942111084568544,0.855355626672774
2020-07-24,10230185,2665,1.0131,0.905314736789651,0.714414164734438,1.09621530884486,26.999115,NA,0.887542269049554,0.843891407894299,0.931193130204809,90797.2160769671,17361487.73674,92615.3724058444,17327238.6946161,15000,0.887542269049554,0.931193130204809,0.843891407894299
2020-07-25,10230185,2607,0.9973,0.901193106262636,0.714407524872387,1.08797868765289,25.999611,NA,0.887721686654707,0.845573177447497,0.929870195861916,90815.5708298968,17452303.3075699,92193.7219779143,17419432.416594,15000,0.887721686654707,0.929870195861916,0.845573177447497
2020-07-26,10230185,2734,0.7681,0.903455407982157,0.724109823052634,1.08280099291168,20.999854,NA,0.897376404357216,0.857749420338402,0.93700338837603,91803.2663120913,17544106.573882,92425.1596290794,17511857.5762231,15000,0.897376404357216,0.93700338837603,0.857749420338402
2020-07-27,10230185,2651,1.1694,0.910495543584423,0.738018493560376,1.08297259360847,31.000794,NA,0.914011445932535,0.87668344857662,0.951339443288451,93505.0618400733,17637611.6357221,93145.3785254421,17605002.9547485,15000,0.914011445932535,0.951339443288451,0.87668344857662
2020-07-28,10230185,2836,1.2341,0.920752316995515,0.750846318644147,1.09065831534688,34.999076,NA,0.935140646843947,0.89854250804136,0.971738785646534,95666.6181823324,17733278.2539044,94194.6654204276,17699197.620169,15000,0.935140646843947,0.971738785646534,0.89854250804136
2020-07-29,10230185,2845,0.8436,0.932638546761989,0.759017294292535,1.10625979923144,24.00042,NA,0.958119515543989,0.919916304683743,0.996322726404234,98017.3989612538,17831295.6528656,95410.648715063,17794608.268884,15000,0.958119515543989,0.996322726404234,0.919916304683743
2020-07-30,10230185,2680,0.8209,0.94449812201733,0.761957798085932,1.12703844594873,22.00012,0.992987285483,0.980051797269813,0.938427567565264,1.02167602697436,100261.111956527,17931556.7648222,96623.9052038986,17891232.1740879,15000,0.980051797269813,1.02167602697436,0.938427567565264
2020-07-31,10230185,2457,1.0989,0.954591767135181,0.761747773873469,1.14743576039689,26.999973,NA,0.997778413527706,0.952486068282605,1.04307075877281,102074.577593949,18033631.3424161,97656.5037726983,17988888.6778606,15000,0.997778413527706,1.04307075877281,0.952486068282605
2020-08-01,10230185,2305,0.8677,0.961113705074028,0.761486071834224,1.16074133831383,20.000485,NA,1.00796174463931,0.96057272651908,1.05535076275954,103116.351205829,18136747.693622,98323.7100894274,18087212.38795,15000,1.00796174463931,1.05535076275954,0.96057272651908
2020-08-02,10230185,2756,0.9071,0.962354880419313,0.763523832082019,1.16118592875661,24.999676,NA,1.00772450270615,0.96109079131208,1.05435821410022,103092.080917169,18239839.7745391,98450.6846234245,18185663.0725735,15000,1.00772450270615,1.05435821410022,0.96109079131208
2020-08-03,10230185,2683,0.7082,0.95823540388704,0.76698909070673,1.14948171706735,19.001006,NA,0.997733202494005,0.954072362566579,1.04139404242143,102069.952421561,18341909.7269607,98029.2545531414,18283692.3271266,15000,0.997733202494005,1.04139404242143,0.954072362566579
2020-08-04,10230185,2621,0.8012,0.949899918062767,0.768371256610816,1.13142857951472,20.999452,NA,0.98035621265128,0.940139201415482,1.02057322388708,100292.254213219,18442201.9811739,97176.5189326695,18380868.8460593,15000,0.98035621265128,1.02057322388708,0.940139201415482
2020-08-05,10230185,2590,1.0425,0.938547420582566,0.763956458398291,1.11313838276684,27.00075,NA,0.9580214282699,0.919949136417198,0.996093720122602,98007.3644516531,18540209.3456256,96015.1374383246,18476883.9834976,15000,0.9580214282699,0.996093720122602,0.919949136417198
2020-08-06,10230185,2488,1.2862,0.925361396916909,0.751780409787939,1.09894238404588,32.000656,0.91983940495117,0.933068098908676,0.894906582044727,0.971229615772626,95454.5926943406,18635663.9383199,94666.1828231841,18571550.1663208,15000,0.933068098908676,0.971229615772626,0.894906582044727
2020-08-07,10230185,2259,1.2395,0.911480492106691,0.733143416845115,1.08981756736827,28.000305,NA,0.907660055363822,0.867637777931556,0.947682332796087,92855.3028348214,18728519.2411547,93246.1405814249,18664796.3069022,15000,0.907660055363822,0.947682332796087,0.867637777931556
2020-08-08,10230185,2367,0.7605,0.897983331037579,0.712231080975494,1.08373558109966,18.001035,NA,0.883750824487313,0.841446448240073,0.926055200734554,90409.3442840775,18818928.5854388,91865.3560343068,18756661.6629365,15000,0.883750824487313,0.926055200734554,0.841446448240073
2020-08-09,10230185,2604,0.6528,0.885886582082852,0.694269346135425,1.07750381803028,16.998912,NA,0.863094065872696,0.819448271068918,0.906739860676475,88296.1196627987,18907224.7051016,90627.8362372526,18847289.4991738,15000,0.863094065872696,0.906739860676475,0.819448271068918
2020-08-10,10230185,2535,0.8284,0.876153528075006,0.68394316770156,1.06836388844845,20.99994,NA,0.847233457201457,0.804114073697007,0.890352840705907,86673.5500536049,18993898.2551552,89632.1268061,18936921.6259799,15000,0.847233457201457,0.890352840705907,0.804114073697007
2020-08-11,10230185,2512,0.7962,0.86951009010348,0.68306893263875,1.05595124756821,20.000544,NA,0.836791862161333,0.795881326679521,0.877702397643145,85605.3555640494,19079503.6107192,88952.4908112527,19025874.1167911,15000,0.836791862161333,0.877702397643145,0.795881326679521
2020-08-12,10230185,2384,0.9648,0.866273410776341,0.689042926374104,1.04350389517858,23.000832,NA,0.831795725529886,0.79377742867941,0.869814022380361,85094.2415437996,19164597.852263,88621.3725282296,19114495.4893193,15000,0.831795725529886,0.869814022380361,0.79377742867941
2020-08-13,10230185,2400,0.875,0.866742980889394,0.698255990869724,1.03522997090906,21,0.845798790874978,0.832353519301633,0.796771410419449,0.867935628183817,85151.3048785677,19249749.1571416,88669.4104194997,19203164.8997388,15000,0.832353519301633,0.867935628183817,0.796771410419449
2020-08-14,10230185,2183,1.0078,0.871263893762823,0.707410959946931,1.03511682757871,22.000274,NA,0.838683056521355,0.804068516448486,0.873297596594223,85798.8282457891,19335547.9853874,89131.9081701403,19292296.807909,15000,0.838683056521355,0.873297596594223,0.804068516448486
2020-08-15,10230185,2259,0.4427,0.880242186495848,0.714853838177071,1.04563053481462,10.000593,NA,0.851125976366755,0.815579677091443,0.886672275642067,87071.7619653753,19422619.7473528,90050.4041265702,19382347.2120356,15000,0.851125976366755,0.886672275642067,0.815579677091443
