ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.2,B13_2..99,B13_2..77,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BF,BFA,Burkina Faso,2020-12-23,2020-12-21,100,2,198034.71589166098,2,198034.71589166098,27,82,4374214.848339141,30,7,8,85,3,12,85,5,3,92,5,35,60,5,27,68,6,17,77,6,7,87,6,7,87,6,7,87,5,8,87,5,7,88,6,19,75,6,2,92,6,13,81,92,1,5,2,88,2,5,5,97,1,2,0,65,2,14,19,73,2,8,17,83,3,6,8,93,1,5,1,93,1,3,3,93,0,4,3,92,1,4,3,93,2,3,2,81,2,9,8,98,1,1,0,87,2,8,3,18,0,13,69,88,0,7,5,19,1,16,64,85,1,4,10,96,0,3,1,96,0,1,3,0,99,0,1,27,2,19,52,100,24,0,14,25,14,23,34,0,31,12,23,34,10,26,11,19,34,6,28,14,18,34,7,27,15,17,34,8,17,13,28,81,7,2,10,81,4,7,8,81,6,4,9,81,6,5,8,81,6,2,11,81,8,1,10,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,31,0,56,13,31,1,37,31,31,2,32,35,31,1,39,29,31,1,28,40,31,1,12,56,31,0,41,28,59,0,16,10,4,11,33,0,1,15,17,34,33,1,62,4,38,3,15,44,38,20,19,15,5,1,2,38,1,23,13,12,13,41,0,24,20,13,2,42,0,3,49,6,46,1,2,48,3,44,2,46,8,63,2,28,7,68,2,17,13,61,1,23,15,72,1,22,5,88,2,8,2,49,1,0,2,3,18,27,49,1,0,1,8,7,34,54,1,19,10,8,8,54,1,11,11,8,15,54,17,8,11,10,77,4,15,4,77,8,1,14,77,4,11,8,57,0,29,14,86,0,5,9,95,0,1,0,1,1,0,0,2,67,0,1,4,3,3,2,0,3,0,1,4,3,3,0,1,5,69,1,23,7,0,0,69,1,0,12,11,5,2,0,0,70,0,23,6,1,70,0,4,12,7,5,2,4.72093023255814,4.355213522704707,2.4,1.7763883459298973,9.210526315789474,6.860344560252067,4.068965517241379,2.2824021569196193
BF,BFA,Burkina Faso,2020-12-24,2020-12-22,100,1,85941.436035214,1,85941.436035214,23,86,5033538.461507054,37,10,8,82,6,10,84,8,2,90,5,31,64,7,26,67,7,17,76,7,9,84,9,3,88,8,9,83,9,4,87,8,5,87,7,23,70,9,3,88,8,10,82,92,1,3,4,90,1,4,5,98,1,1,0,69,2,9,20,74,1,11,14,83,3,5,9,91,1,5,3,97,0,2,1,91,0,6,3,96,1,1,2,95,1,3,1,77,1,10,12,97,1,2,0,90,2,4,4,13,1,13,73,89,0,7,4,15,2,19,64,81,1,6,12,94,0,5,1,94,0,0,6,0,100,0,0,25,1,15,59,100,17,0,19,25,15,24,23,1,29,18,29,23,13,32,11,21,23,9,34,14,20,23,12,33,13,19,23,13,14,14,36,85,4,4,7,85,2,6,7,85,5,3,7,85,6,2,7,85,4,1,10,85,6,1,8,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,24,0,56,20,24,0,38,38,24,1,35,40,24,0,44,32,24,0,32,44,24,0,16,60,24,0,44,32,56,0,16,12,6,10,26,0,3,15,22,34,26,2,70,2,32,2,16,50,32,23,17,16,7,1,4,32,1,24,15,15,13,33,1,24,19,19,4,35,0,4,55,6,37,2,2,55,4,44,3,42,11,62,2,25,11,65,3,17,15,56,2,20,22,68,2,24,6,84,3,8,5,39,0,1,2,4,18,36,39,1,3,0,9,9,39,43,1,25,13,7,11,43,1,13,11,12,20,43,20,12,16,9,69,6,19,6,69,7,4,20,69,1,19,11,46,0,35,19,81,0,11,8,89,1,3,0,0,1,1,0,5,55,1,5,7,2,3,2,0,7,0,1,2,2,7,0,1,5,61,1,30,7,0,1,61,1,2,19,8,4,5,0,0,63,0,27,6,4,63,0,3,17,11,4,2,4.9787234042553195,4.381231520842392,2.111111111111111,1.1666666666666667,11.125,7.176728696461132,3.297297297297298,2.234388617159623
BF,BFA,Burkina Faso,2020-12-25,2020-12-23,100,2,76532.6111535579,1,55768.5561069708,30,88,4939569.932857895,38,4,7,89,3,16,81,4,2,94,1,32,67,3,23,74,2,15,83,2,14,84,4,6,90,3,7,90,4,3,93,4,5,91,2,24,74,4,2,94,3,8,89,93,0,1,6,84,1,2,13,98,0,1,1,68,2,7,23,77,1,8,14,85,1,4,10,86,0,9,5,94,0,4,2,93,1,4,2,97,0,0,3,95,0,2,3,76,1,9,14,98,0,2,0,92,0,2,6,11,1,17,71,84,0,8,8,12,1,16,71,84,1,9,6,91,2,5,2,91,1,1,7,0,99,1,0,23,1,19,57,100,15,0,19,26,19,21,20,4,19,22,35,20,12,34,14,20,20,8,32,20,20,20,14,28,16,22,20,14,9,12,45,82,10,3,5,82,7,5,6,82,9,5,4,82,10,4,4,82,11,0,7,82,12,1,5,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,0,50,28,22,1,38,39,22,1,36,41,22,1,42,35,22,1,36,41,22,1,16,61,24,0,46,30,54,0,18,14,4,10,27,0,3,14,28,28,27,1,71,1,30,1,15,54,30,21,23,14,7,2,3,30,0,24,15,16,15,32,2,19,24,20,3,33,0,2,61,4,37,3,1,57,2,50,2,39,9,62,1,25,12,64,2,19,15,58,3,19,20,64,2,25,9,84,2,10,4,37,1,1,1,7,16,37,37,0,3,0,7,12,41,40,0,26,15,9,10,40,1,10,15,14,20,40,20,14,17,9,67,4,22,7,67,8,8,17,67,4,18,11,43,0,33,24,76,0,12,12,88,1,2,1,0,0,2,0,6,55,1,4,6,2,4,4,0,8,0,0,2,2,5,0,0,7,60,1,35,3,0,1,60,1,5,19,6,3,6,0,0,62,0,29,5,4,62,0,7,17,8,3,3,4.901960784313726,4.468802532942283,1.8000000000000003,1.2649110640673518,11.0625,7.799658801470411,3.289473684210526,2.3585141306963093
BF,BFA,Burkina Faso,2020-12-26,2020-12-24,100,3,97047.958542693,1,55768.5561069708,24,93,3968763.6210097335,38,1,6,93,1,20,79,1,2,97,1,32,67,1,15,84,1,16,83,1,11,88,1,5,94,1,6,93,1,6,93,1,6,93,1,22,77,1,6,93,1,10,89,94,2,1,3,80,1,4,15,98,0,1,1,68,2,11,19,85,1,3,11,84,0,7,9,89,1,6,4,95,0,4,1,94,1,1,4,94,1,2,3,94,0,2,4,78,1,10,11,94,1,2,3,90,0,3,7,6,1,13,80,87,0,4,9,7,0,19,74,81,0,12,7,88,2,9,1,88,1,4,7,0,96,3,1,19,1,22,58,100,11,0,22,23,19,25,17,8,21,23,31,17,15,29,18,21,17,9,33,17,24,17,13,30,18,22,17,15,13,14,41,79,15,1,5,79,11,5,5,79,10,10,1,79,14,2,5,79,16,0,5,79,14,3,4,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,3,40,36,21,4,39,36,21,5,32,42,21,4,38,37,21,3,39,37,21,2,12,65,25,0,42,33,58,1,14,13,5,9,28,1,3,8,24,36,28,1,67,4,31,1,17,51,31,22,26,10,3,5,3,31,0,18,19,20,12,33,1,24,23,15,4,34,0,1,62,3,38,3,2,56,1,60,2,36,2,61,2,28,9,68,3,23,6,62,3,20,15,61,2,27,10,89,1,8,2,40,1,1,0,7,15,36,40,0,2,0,8,13,37,44,0,27,15,11,3,44,1,15,14,15,11,44,25,12,13,6,64,6,21,9,64,10,10,16,64,9,15,12,48,1,29,22,78,0,9,13,91,0,0,1,0,1,1,0,6,62,0,2,5,1,6,3,0,7,0,0,2,1,3,0,0,8,60,1,31,8,0,0,60,0,6,20,8,3,3,0,0,62,0,33,5,0,62,0,16,13,3,3,3,4.8979591836734695,4.551762012118602,1.8333333333333333,1.3371158468430429,8.5,7.3247194588950055,3.5135135135135136,2.3168659581140787
BF,BFA,Burkina Faso,2020-12-27,2020-12-26,100,3,61992.420395313,0,0,16,88,3402714.6444839006,35,5,5,90,2,18,80,4,4,92,4,30,66,5,13,82,5,16,79,3,9,88,5,2,93,3,3,94,5,6,89,5,5,90,4,21,75,5,9,86,5,12,83,95,2,1,2,82,1,6,11,96,0,1,3,70,1,14,15,87,0,4,9,84,0,7,9,91,1,3,5,98,0,1,1,97,0,1,2,94,1,3,2,95,0,2,3,79,0,11,10,91,1,2,6,88,0,5,7,10,2,8,80,93,0,2,5,14,0,16,70,84,0,8,8,92,0,8,0,92,0,3,5,0,97,2,1,22,2,22,54,100,17,0,23,20,16,24,22,12,25,19,22,22,18,27,11,22,22,11,32,10,25,22,14,30,9,25,22,16,17,10,35,78,13,2,7,78,10,7,5,78,8,11,3,78,14,1,7,78,13,2,7,78,10,4,8,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,26,4,35,35,26,6,34,34,26,6,28,40,26,5,34,35,26,5,32,37,26,5,6,63,33,1,33,33,67,1,9,12,4,7,34,1,5,8,20,32,34,2,56,8,35,2,14,49,35,24,18,10,2,8,3,35,0,20,18,20,7,36,1,28,17,13,5,37,1,0,54,8,42,3,2,51,2,67,3,25,5,67,2,27,4,73,4,18,5,67,3,15,15,69,2,21,8,95,1,1,3,44,1,1,2,3,15,34,44,0,2,1,6,11,36,49,2,22,14,7,6,49,0,19,5,10,17,49,23,9,6,13,68,7,19,6,68,10,9,13,68,9,15,8,52,1,21,26,74,1,10,15,91,0,3,1,0,1,0,0,4,70,0,4,4,0,4,2,0,6,1,0,1,0,3,0,0,5,64,1,26,8,0,1,64,0,6,17,11,1,1,0,0,65,1,28,6,0,65,1,13,13,5,2,1,4.255813953488372,3.729502860115566,2.3333333333333335,1.2110601416389966,6.103448275862069,5.440226016747879,3.3235294117647056,2.3448278121870065
BF,BFA,Burkina Faso,2020-12-28,2020-12-26,100,3,61992.420395313,0,0,16,87,3451010.8491647057,32,5,5,90,2,18,80,4,4,92,5,31,64,5,13,82,5,17,78,3,8,89,5,2,93,3,3,94,5,6,89,5,5,90,4,21,75,5,9,86,5,11,84,95,2,1,2,82,1,6,11,96,0,1,3,69,1,14,16,87,0,4,9,83,0,7,10,92,1,3,4,98,0,1,1,97,0,1,2,94,1,3,2,95,0,2,3,79,0,11,10,91,1,2,6,89,0,4,7,11,2,8,79,93,0,2,5,15,0,15,70,85,0,7,8,93,0,7,0,93,0,3,4,0,97,2,1,22,2,23,53,100,18,0,24,20,15,23,23,12,24,19,22,23,18,26,11,22,23,11,32,10,24,23,14,29,10,24,23,16,16,10,35,77,13,2,8,77,10,7,6,77,8,11,4,77,14,1,8,77,13,3,7,77,10,4,9,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,28,4,34,34,28,6,34,32,28,6,28,38,28,5,33,34,28,5,30,37,28,5,6,61,35,1,32,32,68,1,9,12,3,7,36,1,5,8,18,32,36,2,54,8,37,2,13,48,37,24,17,9,2,8,3,37,0,20,16,20,7,38,1,29,14,13,5,39,1,0,52,8,44,3,1,50,2,68,3,24,5,67,2,27,4,73,4,18,5,68,3,15,14,71,2,20,7,95,1,1,3,46,1,1,2,3,14,33,46,0,2,1,6,11,34,51,2,23,13,5,6,51,0,20,4,8,17,51,24,8,4,13,68,7,19,6,68,10,9,13,68,9,15,8,54,1,20,25,75,1,9,15,92,0,3,1,0,0,0,0,4,73,0,3,4,0,4,2,0,5,1,0,1,0,2,0,0,5,67,0,24,8,0,1,67,0,6,16,9,1,1,0,0,68,1,27,4,0,68,1,13,10,5,2,1,4.2682926829268295,3.7618106693712168,2.3333333333333335,1.2110601416389966,5.846153846153846,5.430965348387395,3.483870967741935,2.378668643617482
BF,BFA,Burkina Faso,2020-12-30,2020-12-27,100,4,86205.98924968601,2,44666.32216595531,19,87,3605595.2927877423,34,3,4,93,1,15,84,1,7,92,4,36,60,2,16,82,2,18,80,3,8,89,2,3,95,2,0,98,1,7,92,3,5,92,0,15,85,1,4,95,3,9,88,96,0,3,1,85,0,5,10,93,0,2,5,64,0,16,20,84,0,8,8,82,0,5,13,92,0,3,5,97,0,2,1,100,0,0,0,93,0,6,1,95,0,3,2,85,0,8,7,96,0,2,2,91,0,3,6,13,0,11,76,91,0,7,2,17,1,18,64,82,0,6,12,94,0,5,1,94,0,0,6,0,100,0,0,24,1,26,49,100,19,1,23,22,15,20,24,7,27,19,23,24,13,29,16,18,24,11,30,19,16,24,12,28,19,17,24,12,12,14,38,74,11,4,11,74,11,8,7,74,8,9,9,74,12,2,12,74,12,4,10,74,10,3,13,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,29,2,42,27,29,5,41,25,29,3,37,31,29,4,39,28,29,5,29,37,29,6,13,52,36,1,33,30,67,0,12,9,4,8,37,0,3,9,20,31,37,1,57,5,37,0,15,48,37,23,18,13,7,2,0,37,0,19,16,19,9,37,1,18,20,21,3,38,0,1,55,6,43,1,1,53,2,62,2,29,7,62,1,32,5,66,2,22,10,63,2,20,15,74,1,20,5,89,1,9,1,45,1,1,1,8,15,29,45,0,1,0,8,15,31,49,2,16,12,13,8,49,0,12,10,9,20,49,18,11,6,16,71,3,17,9,71,9,6,14,71,8,15,6,50,0,29,21,79,1,8,12,93,0,3,1,0,0,0,0,3,66,0,3,3,4,5,1,1,4,2,0,2,1,2,0,0,6,64,0,31,5,0,0,64,1,3,12,10,4,6,0,0,66,1,23,8,2,66,1,9,10,9,3,2,3.86046511627907,3.3422361729325645,1.8888888888888888,0.7817359599705717,8.8,7.199537022151725,3.3636363636363638,2.5349825174222334
BF,BFA,Burkina Faso,2020-12-31,2020-12-27,100,4,103345.36434168741,2,44666.32216595531,25,90,4417206.900021293,38,5,4,91,5,15,80,4,4,92,5,32,63,4,14,82,3,15,82,6,8,86,3,6,91,5,0,95,4,7,89,4,3,93,4,13,83,3,2,95,5,6,89,96,0,4,0,85,0,3,12,96,0,1,3,68,0,14,18,86,0,7,7,85,0,5,10,92,0,3,5,94,0,3,3,100,0,0,0,93,0,7,0,97,0,3,0,87,0,6,7,98,0,2,0,94,0,2,4,10,0,12,78,89,0,7,4,11,1,18,70,82,0,5,13,95,0,4,1,95,0,0,5,0,100,0,0,17,1,24,58,100,13,1,23,25,18,20,18,11,25,19,27,18,19,28,17,18,18,14,29,21,18,18,16,26,25,15,18,15,10,13,44,76,10,4,10,76,7,10,7,76,6,9,9,76,10,2,12,76,11,3,10,76,10,1,13,99,0,1,99,0,1,99,0,0,1,99,0,0,1,99,0,1,0,99,0,1,0,99,0,1,0,99,0,0,1,99,0,1,0,99,0,0,1,99,0,0,1,99,0,1,0,22,2,51,25,22,4,50,24,22,3,42,33,22,4,43,31,22,4,34,40,22,4,14,60,25,2,43,30,57,0,20,9,6,8,27,0,3,7,31,32,27,0,71,2,28,0,17,55,28,23,25,16,8,0,0,28,0,26,13,19,14,28,0,19,30,21,2,30,1,3,63,3,34,1,2,60,3,51,1,40,8,52,2,40,6,60,1,27,12,58,1,26,15,68,2,27,3,88,0,11,1,39,0,1,0,10,18,32,39,0,0,1,8,17,35,43,1,25,10,12,9,43,0,12,12,12,21,43,21,13,7,16,66,4,19,11,66,10,10,14,66,7,22,5,43,0,37,20,80,0,10,10,92,0,3,0,0,0,1,0,4,57,0,2,4,4,10,0,1,6,1,0,2,2,2,0,0,9,60,0,34,6,0,0,60,1,2,15,7,7,7,1,0,62,0,28,7,3,62,0,7,11,15,2,3,4.488372093023256,3.954335131781417,2.1818181818181817,1.2504544628399563,9,6.638272867747051,3.3888888888888884,2.3576959428073327
BF,BFA,Burkina Faso,2021-01-01,2020-12-30,100,3,83423.03375572711,2,44666.32216595531,27,91,5344063.484491683,35,4,4,92,5,20,75,3,3,94,3,31,66,3,17,80,2,14,84,5,8,87,2,5,93,4,2,94,4,8,88,3,5,92,4,16,80,3,2,95,4,7,89,96,1,3,0,80,0,4,16,97,0,0,3,69,1,14,16,83,0,5,12,86,1,6,7,92,0,3,5,95,0,3,2,98,0,0,2,92,0,7,1,95,0,3,2,84,1,5,10,98,0,2,0,93,0,1,6,9,0,12,79,90,0,6,4,13,0,18,69,82,0,5,13,95,0,4,1,95,0,0,5,0,100,0,0,18,1,18,63,100,15,2,19,25,15,24,22,12,20,17,29,22,19,23,15,21,22,14,25,18,21,22,16,24,22,16,22,15,9,9,45,82,8,3,7,82,5,9,4,82,5,5,8,82,6,3,9,82,7,3,8,82,8,1,9,76,4,20,76,4,20,76,4,0,20,76,3,2,19,76,4,3,17,76,4,8,12,76,4,1,19,91,1,0,8,91,1,3,5,91,1,1,7,91,1,2,6,91,1,1,7,27,3,53,17,27,3,46,24,27,4,38,31,27,5,41,27,27,4,32,37,27,4,17,52,31,1,38,30,62,0,18,10,4,6,33,1,1,8,30,27,33,0,67,0,34,0,12,54,34,24,24,11,7,0,0,34,1,24,11,14,16,34,1,18,26,19,2,35,1,2,62,0,40,1,1,57,1,49,1,41,9,56,2,37,5,64,1,24,11,60,1,25,14,70,2,26,2,85,0,15,0,45,0,2,0,11,13,29,45,0,1,2,10,12,30,50,0,23,11,10,6,50,0,9,13,12,16,50,18,14,7,11,69,4,19,8,69,13,8,10,69,9,19,3,51,0,36,13,87,0,9,4,94,0,0,0,0,0,1,0,5,59,0,0,4,3,7,0,3,7,2,0,2,4,2,0,0,7,63,0,31,6,0,0,63,1,2,12,8,10,3,1,0,65,1,25,6,3,65,0,5,9,15,4,2,4.739130434782608,4.296948698313959,2.5,1.509230856356236,10.1,5.926852976656039,3.925,2.4781626909024044
BF,BFA,Burkina Faso,2021-01-02,2020-12-30,100,3,83423.03375572711,2,44666.32216595531,32,91,5224846.30452607,34,4,4,92,5,22,73,3,2,95,3,32,65,3,18,79,2,15,83,5,9,86,2,6,92,4,2,94,4,6,90,3,6,91,4,18,78,3,2,95,4,7,89,96,1,3,0,78,0,5,17,98,0,0,2,68,2,13,17,82,0,5,13,85,1,7,7,91,0,4,5,94,1,3,2,98,0,0,2,94,0,5,1,94,1,2,3,82,2,6,10,98,0,2,0,93,0,1,6,9,0,13,78,89,0,6,5,13,0,19,68,81,0,5,14,95,0,4,1,95,0,0,5,0,100,0,0,18,1,18,63,100,15,2,19,25,15,24,22,13,21,15,29,22,21,24,12,21,22,16,27,15,20,22,16,25,20,17,22,16,9,10,43,82,8,3,7,82,4,10,4,82,6,5,7,82,6,3,9,82,7,3,8,82,8,1,9,74,4,22,74,4,22,74,4,0,22,74,3,2,21,74,4,3,19,74,4,8,14,74,4,1,21,91,1,0,8,91,1,3,5,91,1,1,7,91,1,2,6,91,1,1,7,27,4,52,17,27,3,45,25,27,4,38,31,27,5,42,26,27,4,32,37,27,4,16,53,32,1,39,28,61,0,18,11,4,6,34,1,1,9,28,27,34,0,66,0,35,0,12,53,35,22,26,10,7,0,0,35,1,26,9,14,15,35,1,18,27,17,2,36,1,2,61,0,41,1,1,56,1,50,1,40,9,57,2,37,4,64,1,25,10,59,1,27,13,70,2,26,2,86,0,14,0,46,0,2,0,11,11,30,46,0,1,2,9,11,31,50,0,23,12,9,6,50,0,9,12,12,17,50,18,15,6,11,69,4,19,8,69,12,9,10,69,8,20,3,52,0,35,13,87,0,9,4,94,0,0,0,0,0,1,0,5,60,0,0,3,3,7,0,3,8,2,0,2,4,2,0,0,6,64,0,30,6,0,0,64,1,2,12,9,9,2,1,0,66,1,24,6,3,66,0,5,9,15,4,1,4.708333333333333,4.257450707268693,2.727272727272727,1.618079669911781,9.838709677419354,6.00609009918848,4.083870967741936,2.445008080994628
