ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AL,ALB,Albania,2020-12-22,2020-12-21,100,4,173672.4686482156,3,118026.73037199909,128,92,2680101.8953053644,54,3,5,92,4,18,78,4,5,91,3,22,75,3,13,84,4,23,73,4,10,86,5,10,85,4,8,88,6,6,88,2,11,87,4,26,70,4,12,84,4,24,72,95,1,4,0,82,2,5,11,95,1,1,3,78,3,7,12,87,1,3,9,77,3,11,9,90,1,2,7,90,2,3,5,92,2,4,2,94,1,4,1,89,2,4,5,74,2,9,15,88,3,4,5,76,3,10,11,8,0,41,51,59,0,12,29,8,4,28,60,72,2,12,14,88,2,9,1,88,0,6,6,0,94,2,4,0,27,2,5,66,100,10,1,23,23,20,23,22,5,22,24,27,22,8,20,29,21,22,6,28,18,26,22,11,20,22,25,22,9,8,17,44,95,2,1,2,95,2,1,2,95,2,2,1,95,1,1,3,95,1,1,3,95,2,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,18,5,34,43,18,4,63,15,18,3,49,30,18,3,39,40,18,2,10,70,18,4,16,62,22,1,37,40,63,0,24,7,4,2,22,1,2,3,30,42,22,2,71,5,23,1,16,60,23,2,40,21,5,3,4,2,23,1,29,11,20,16,24,2,21,30,21,2,25,1,9,62,3,34,3,8,54,1,67,1,25,7,38,1,54,7,52,1,38,9,62,2,23,13,91,0,5,4,84,1,14,1,35,1,1,2,17,15,29,35,0,1,4,15,12,33,37,1,27,23,7,5,37,0,6,10,18,29,37,0,15,16,17,15,69,6,20,5,69,6,15,10,69,5,16,10,37,1,34,28,72,0,10,18,93,0,3,1,0,0,0,0,3,60,1,1,1,3,1,0,2,4,2,0,1,4,3,2,1,14,43,5,28,23,1,43,0,6,21,12,12,5,0,1,46,1,39,6,8,46,0,8,27,16,1,2,4.283018867924528,5.062597989519147,3.6875,2.5957471421165916,15.35185185185185,3.9675923377748994,2.68,1.4205489022464062
AL,ALB,Albania,2020-12-23,2020-12-22,100,6,163996.28246403107,2,36616.850643276994,112,88,3071301.491896397,57,4,7,89,3,12,85,4,9,87,3,20,77,4,17,79,2,25,73,4,16,80,4,8,88,5,6,89,5,8,87,4,10,86,4,18,78,4,7,89,2,26,72,93,0,7,0,88,1,6,5,91,0,6,3,80,0,11,9,83,1,7,9,75,2,13,10,84,1,10,5,92,2,3,3,94,0,4,2,92,1,6,1,90,1,3,6,82,0,5,13,93,2,1,4,74,1,11,14,11,1,37,51,63,0,14,23,11,2,27,60,74,4,6,16,94,3,3,0,94,0,6,0,0,94,5,1,0,25,1,6,68,100,14,3,24,23,19,17,18,6,31,22,23,18,12,28,19,23,18,10,29,16,27,18,13,25,17,27,18,14,7,10,51,95,4,0,1,95,4,1,0,95,3,2,0,95,4,1,0,95,3,1,1,95,2,2,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,19,3,36,42,19,2,66,13,19,2,50,29,19,1,45,35,19,0,13,68,19,2,15,64,24,1,38,37,62,1,22,6,5,4,24,0,2,5,29,40,24,0,71,5,26,1,15,58,26,0,33,23,9,2,1,6,26,0,31,10,15,18,26,2,25,30,13,4,27,0,8,63,2,32,1,4,61,2,65,2,24,9,36,3,58,3,51,1,38,10,56,3,25,16,87,1,9,3,85,1,12,2,32,0,2,1,14,18,33,32,0,2,4,14,19,29,37,1,31,17,9,5,37,0,5,8,9,41,37,0,11,25,14,13,64,9,22,5,64,7,21,8,64,9,16,11,38,3,37,22,78,0,12,10,89,0,3,1,2,1,1,0,3,53,0,5,4,2,2,1,2,4,0,1,1,5,4,3,1,12,41,2,32,25,0,41,0,10,15,11,13,5,2,3,43,1,45,6,5,43,0,7,26,19,3,2,4.682926829268292,6.2146561626136805,3.2424242424242427,2.264264547130909,16.482758620689655,2.86075305574896,2.963636363636364,1.527084323796997
AL,ALB,Albania,2020-12-24,2020-12-23,100,4,37637.301745583594,2,23399.88286003361,132,87,2676649.6778816297,52,6,5,89,5,12,83,5,6,89,3,19,78,4,13,83,2,20,78,4,12,84,4,4,92,4,6,90,2,4,94,5,6,89,5,14,81,5,4,91,3,16,81,95,0,4,1,88,1,5,6,94,0,4,2,81,1,10,8,87,3,4,6,80,3,7,10,88,1,8,3,96,1,3,0,94,0,4,2,96,1,2,1,94,0,3,3,86,1,5,8,96,2,2,0,84,1,10,5,11,2,36,51,65,0,13,22,12,2,32,54,70,0,7,23,93,1,6,0,93,0,1,6,0,99,0,1,0,23,1,12,64,100,16,3,26,25,15,15,22,5,38,15,20,22,8,36,12,22,22,5,39,20,14,22,8,27,16,27,22,8,12,9,49,88,5,2,5,88,4,6,2,88,4,6,2,88,5,2,5,88,2,5,5,88,4,2,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,29,2,31,38,29,0,57,14,29,0,44,27,29,0,46,25,29,1,6,64,29,2,15,54,32,0,35,33,65,1,19,8,4,3,32,0,1,9,23,35,32,0,67,1,33,1,12,54,33,0,30,20,4,7,2,4,33,0,22,15,15,15,33,1,19,29,7,11,34,0,8,55,3,36,1,4,56,3,70,1,25,4,45,1,48,6,57,0,30,13,55,1,25,19,94,0,5,1,85,0,14,1,36,0,2,2,12,16,32,36,0,2,3,12,16,31,41,0,26,18,6,9,41,0,6,8,12,33,41,0,15,13,13,18,72,4,18,6,72,9,14,5,72,10,13,5,41,1,34,24,76,0,8,16,92,0,3,0,1,0,0,0,4,58,0,2,7,4,1,0,6,2,1,0,1,7,5,1,0,5,45,2,25,26,2,45,1,7,19,13,9,4,1,1,48,2,43,4,3,48,0,9,26,14,1,2,5.305555555555555,7.633832381274614,4.310344827586207,3.3177385615146915,15.8921568627451,2.865857158844795,2.8,1.52529689314733
AL,ALB,Albania,2020-12-25,2020-12-24,100,2,37043.77737525874,1,31104.358863486406,88,90,3152771.03999321,55,5,2,93,5,15,80,6,7,87,2,23,75,3,15,82,4,14,82,5,15,80,5,8,87,4,4,92,4,4,92,3,9,88,3,18,79,4,6,90,3,22,75,98,0,1,1,85,2,3,10,93,1,4,2,77,2,15,6,85,4,3,8,86,3,8,3,85,1,9,5,92,2,5,1,96,2,1,1,96,1,2,1,91,2,5,2,82,2,7,9,94,0,4,2,78,4,10,8,10,0,36,54,66,0,13,21,12,1,29,58,72,0,11,17,89,4,6,1,89,0,4,6,1,96,1,2,1,25,1,12,62,100,16,1,33,21,21,8,22,4,38,14,22,22,7,30,18,23,22,10,31,13,24,22,10,26,15,27,22,11,10,8,49,88,5,5,2,88,4,4,4,88,7,3,2,88,6,2,4,88,6,2,4,88,7,3,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,27,7,29,37,27,2,59,12,27,5,38,30,27,5,43,25,27,6,15,52,27,4,19,50,29,0,45,26,55,1,21,13,5,5,30,1,0,6,20,43,30,2,67,1,31,2,12,55,31,1,34,21,2,5,2,4,31,1,23,15,20,10,31,1,19,31,15,3,32,0,8,54,6,34,0,4,57,5,71,0,24,5,41,2,52,5,62,0,26,12,57,2,23,18,85,1,8,6,81,1,17,1,35,1,0,5,6,25,28,35,1,1,7,6,19,31,37,0,29,21,10,3,37,0,6,11,17,29,37,0,17,17,18,11,67,7,21,5,67,11,17,5,67,9,15,9,38,0,33,29,71,0,6,23,94,0,1,0,0,1,0,0,4,62,0,3,3,3,1,3,4,2,0,0,1,3,4,1,1,9,42,2,37,19,0,42,0,6,20,15,11,3,2,1,45,1,43,4,7,45,1,9,27,12,5,1,7.0227272727272725,8.937739780783861,3.260869565217391,2.7669706326980483,16.192307692307693,3.0935635998967816,2.450980392156863,1.2216992345122604
AL,ALB,Albania,2020-12-26,2020-12-25,100,1,6497.78616465916,1,6497.78616465916,114,93,2896001.5299341297,59,5,3,92,6,11,83,6,6,88,7,11,82,5,17,78,6,15,79,6,9,85,6,8,86,6,6,88,6,6,88,6,8,86,5,20,75,6,3,91,6,19,75,97,1,1,1,89,3,3,5,94,1,2,3,89,2,4,5,83,3,7,7,85,3,8,4,91,2,4,3,92,2,3,3,94,2,2,2,94,1,4,1,92,3,4,1,80,2,8,10,97,0,2,1,81,2,7,10,7,0,37,56,65,0,15,20,10,1,27,62,74,1,10,15,90,3,6,1,90,0,1,8,1,99,1,0,0,23,3,9,65,100,15,0,27,25,15,18,21,3,29,21,26,21,6,30,21,22,21,5,33,17,24,21,7,28,19,25,21,8,14,17,40,91,2,3,4,91,2,4,3,91,3,3,3,91,3,2,4,91,3,0,6,91,3,2,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,26,2,32,40,26,7,56,11,26,7,43,24,26,7,35,32,26,7,14,53,26,5,12,57,27,0,42,31,58,0,22,8,4,8,31,1,2,5,18,43,31,1,66,2,33,2,8,57,33,1,30,17,4,9,1,5,33,0,31,7,13,16,33,1,23,24,16,3,33,0,6,57,4,35,2,3,57,3,68,3,21,8,44,2,47,7,57,1,28,14,65,2,18,15,86,0,8,6,88,2,8,2,35,2,2,2,6,20,33,35,1,1,2,6,21,34,38,2,21,28,6,5,38,1,8,6,15,32,38,1,12,19,18,12,70,9,19,2,70,9,17,4,70,11,10,9,39,1,34,26,74,0,6,20,94,0,2,0,0,0,3,0,1,61,0,1,4,0,4,3,4,3,2,0,1,6,3,1,0,7,41,2,39,18,0,41,1,3,15,19,7,13,1,0,41,1,38,11,9,41,2,8,27,19,2,1,6.2682926829268295,7.348552205175869,4.208333333333333,3.230010992936828,15.38181818181818,4.205335716069347,2.6491228070175437,1.4819295827469507
AL,ALB,Albania,2020-12-27,2020-12-27,103,1,6618.7368773570715,1,6618.7368773570715,85,88,2340908.149511118,58,4,3,96,5,18,80,4,4,95,3,18,82,4,25,74,4,15,84,4,10,89,5,5,93,5,10,88,6,2,95,4,7,92,4,23,76,7,4,92,6,22,75,100,2,1,0,85,1,5,12,99,0,4,0,85,2,7,9,78,3,3,19,88,1,7,7,93,2,4,4,98,1,2,2,93,1,8,1,101,1,1,0,96,2,1,4,80,0,9,14,99,0,1,3,81,3,12,7,14,1,34,54,71,0,9,23,17,1,30,55,73,0,8,22,95,3,5,0,95,0,3,5,0,100,3,0,0,26,1,5,71,103,21,2,18,22,24,16,26,8,26,31,12,26,10,26,22,19,26,11,29,14,23,26,12,22,16,27,26,12,9,11,45,98,1,3,1,98,3,0,2,98,2,2,1,98,2,2,1,98,3,0,2,98,3,0,2,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,103,0,0,0,29,4,22,48,29,5,55,14,29,4,41,29,29,5,39,30,29,5,9,60,29,3,15,56,30,0,36,37,67,0,23,9,1,3,32,0,0,3,21,47,32,0,70,1,36,1,6,60,36,0,38,22,3,3,1,0,36,0,18,16,16,17,36,2,18,31,6,10,36,0,7,56,4,38,2,4,56,3,82,1,18,2,48,1,53,1,63,1,32,7,65,1,24,13,95,1,4,3,88,0,13,2,40,1,1,1,14,16,30,40,0,1,3,9,17,33,40,1,29,24,3,6,40,0,4,8,20,31,40,0,9,24,14,16,70,5,22,6,70,11,14,8,70,11,15,7,40,0,38,25,78,0,8,17,95,2,1,0,1,0,0,0,4,58,0,1,3,3,3,1,3,0,2,0,2,3,6,3,2,13,42,2,33,26,0,42,0,7,25,16,2,8,2,1,45,2,46,6,4,45,1,9,29,15,1,3,3.6363636363636362,4.254086457234229,3.1739130434782608,2.3287174369566115,16.017543859649123,3.4094994818582944,2.980769230769231,1.0934813018365075
AL,ALB,Albania,2020-12-28,2020-12-27,100,1,6618.7368773570715,1,6618.7368773570715,76,85,2311722.085355322,55,4,3,93,5,16,79,4,4,92,3,18,79,4,25,71,4,15,81,4,9,87,5,5,90,5,9,86,6,2,92,4,7,89,4,23,73,7,4,89,6,22,72,97,2,1,0,84,1,5,10,96,0,4,0,82,2,7,9,75,3,3,19,85,1,7,7,91,2,4,3,95,1,2,2,91,1,7,1,98,1,1,0,93,2,1,4,77,0,9,14,96,0,1,3,78,3,12,7,14,1,31,54,71,0,9,20,17,1,29,53,71,0,8,21,92,3,5,0,92,0,3,5,0,97,3,0,0,26,1,5,68,100,21,2,17,22,23,15,26,8,23,32,11,26,10,24,24,16,26,11,27,14,22,26,12,19,18,25,26,12,9,11,42,95,1,3,1,95,3,0,2,95,2,2,1,95,2,2,1,95,3,0,2,95,3,0,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,29,4,21,46,29,5,54,12,29,4,40,27,29,5,39,27,29,5,8,58,29,3,15,53,30,0,35,35,65,0,23,9,1,2,32,0,0,3,20,45,32,0,67,1,36,1,6,57,36,0,36,22,3,3,0,0,36,0,17,16,15,16,36,2,17,29,7,9,36,0,7,53,4,38,2,4,53,3,80,1,17,2,46,1,52,1,61,1,32,6,62,1,25,12,93,1,4,2,85,0,13,2,40,1,1,1,12,17,28,40,0,1,3,8,17,31,40,1,26,25,2,6,40,0,4,7,19,30,40,0,9,22,14,15,69,5,21,5,69,10,13,8,69,11,12,8,40,0,37,23,77,0,8,15,92,2,1,0,1,0,0,0,4,56,0,1,3,3,2,1,2,0,2,0,2,4,5,3,3,13,42,2,32,24,0,42,0,7,22,15,3,7,3,1,45,2,43,6,4,45,1,8,27,16,0,3,3.2857142857142856,3.5011197810492507,3.0952380952380953,2.343176517139968,15.74074074074074,3.2977132453410127,3,1.118033988749895
AL,ALB,Albania,2020-12-30,2020-12-27,100,0,0,0,0,93,87,2573404.867775599,64,7,3,90,6,7,87,7,4,89,6,24,70,6,20,74,7,14,79,7,10,83,7,8,85,10,8,82,8,5,87,6,11,83,6,22,72,9,3,88,9,20,71,97,1,2,0,93,0,0,7,96,1,1,2,76,3,8,13,80,2,6,12,86,3,2,9,90,1,5,4,92,2,3,3,92,2,4,2,95,2,3,0,89,1,5,5,78,1,6,15,97,2,1,0,80,3,8,9,12,1,32,55,70,0,12,18,14,1,30,55,70,0,9,21,91,3,6,0,91,0,3,6,0,97,2,0,1,24,4,6,66,100,17,2,21,25,17,18,24,4,25,28,19,24,12,28,18,18,24,10,26,19,21,24,12,23,17,24,24,13,6,13,44,94,0,4,2,94,1,0,5,94,0,4,2,94,1,0,5,94,2,0,4,94,1,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,27,2,27,44,27,4,58,11,27,5,43,25,27,6,34,33,27,5,8,60,27,4,9,60,28,1,32,39,68,0,21,8,2,1,28,2,1,5,19,45,28,2,69,1,30,3,11,56,30,1,33,24,4,6,1,1,30,2,19,17,19,13,30,3,18,30,12,7,30,1,6,61,2,32,2,5,59,2,73,0,20,7,42,0,54,4,57,0,32,11,66,0,24,10,92,0,5,3,91,0,7,2,34,3,0,2,7,24,30,34,1,1,3,14,16,31,34,2,26,23,11,4,34,1,9,6,14,36,34,0,17,20,13,16,63,8,25,4,63,12,12,13,63,13,14,10,34,0,34,32,68,0,12,20,88,0,0,1,0,1,0,0,10,55,1,2,3,4,6,1,4,1,1,0,1,6,2,2,3,8,35,1,39,24,1,35,0,6,17,19,12,6,4,1,36,2,50,8,4,36,1,12,31,12,6,2,4.341463414634147,4.257991052700563,4,3.3717089216940983,15.35593220338983,3.7081583488508087,2.7796610169491527,1.415039863093537
AL,ALB,Albania,2020-12-31,2020-12-30,100,2,49884.84888280743,1,41997.60780516431,109,90,3618344.544684124,56,4,5,91,5,11,84,7,8,85,5,22,73,5,11,84,4,19,77,5,9,86,3,7,90,7,7,86,5,9,86,5,11,84,3,22,75,6,6,88,5,23,72,95,2,2,1,89,2,5,4,92,2,4,2,78,4,10,8,89,2,9,0,81,5,5,9,91,2,5,2,93,5,1,1,93,3,3,1,91,4,4,1,89,1,8,2,78,3,7,12,94,3,3,0,77,2,11,10,10,0,38,52,66,0,8,26,14,1,32,53,71,0,5,24,95,2,3,0,95,0,3,2,0,97,2,1,0,24,1,8,67,100,18,0,29,32,13,8,24,2,39,19,16,24,9,38,18,11,24,5,42,20,9,24,8,36,19,13,24,9,13,18,36,92,3,3,2,92,3,1,4,92,3,2,3,92,4,0,4,92,4,0,4,92,3,2,3,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,28,2,27,43,28,3,54,15,28,4,41,27,28,3,36,33,28,3,15,54,28,1,11,60,31,0,37,32,63,0,21,12,1,3,31,0,0,8,16,45,31,1,66,2,33,2,18,47,33,1,37,16,1,4,3,5,33,1,17,18,20,11,33,3,15,30,16,3,33,0,8,53,6,36,1,9,47,7,75,2,22,1,47,1,45,7,60,0,34,6,65,1,23,11,85,0,11,4,90,1,8,1,38,2,1,3,13,14,29,38,0,2,4,11,13,32,38,1,28,25,3,5,38,0,7,15,12,28,38,0,17,20,13,12,64,3,29,4,64,6,21,9,64,7,21,8,39,2,27,32,68,0,13,19,87,0,3,2,0,0,1,0,7,60,1,3,5,4,1,0,3,1,2,0,1,5,1,2,2,9,40,1,34,23,2,40,0,6,19,19,10,3,2,1,43,3,38,9,7,43,1,5,31,13,5,2,6.586956521739131,8.261224248678674,3.7307692307692304,3.040495910968371,15.19298245614035,4.642346222128988,2.9615384615384617,1.494585501743248
AL,ALB,Albania,2021-01-01,2020-12-31,100,2,34733.924352128415,1,26846.683274485298,87,92,3184621.254442499,50,6,3,91,4,13,83,7,1,92,8,8,84,5,11,84,4,11,85,5,10,85,4,3,93,6,3,91,5,3,92,7,7,86,5,13,82,6,3,91,6,15,79,97,0,2,1,87,1,9,3,99,0,1,0,92,0,4,4,89,0,5,6,89,1,5,5,90,1,6,3,97,1,1,1,97,1,2,0,97,1,2,0,93,0,6,1,87,1,6,6,97,0,3,0,85,0,10,5,8,0,31,61,72,0,7,21,12,1,28,59,73,1,3,23,97,1,2,0,97,0,1,1,1,99,0,1,0,20,1,10,69,100,15,1,25,31,16,12,20,7,30,15,28,20,7,30,18,25,20,10,30,18,22,20,8,29,14,29,20,9,11,12,48,90,6,2,2,90,7,0,3,90,3,5,2,90,7,0,3,90,7,0,3,90,6,1,3,44,5,2,49,44,5,3,48,44,6,3,47,44,5,3,48,44,5,8,43,44,5,15,36,44,5,6,45,83,2,2,13,83,2,4,11,83,2,2,13,83,1,5,11,83,2,1,14,24,4,26,46,24,2,57,17,24,4,40,32,24,5,35,36,24,4,16,56,24,3,12,61,26,1,40,33,60,0,24,6,5,5,29,0,2,5,26,38,29,0,68,3,31,2,11,56,31,0,37,16,5,3,3,5,31,1,25,8,22,13,33,1,20,31,9,6,34,0,9,49,8,37,0,6,49,8,74,1,24,1,43,1,52,4,60,1,33,6,65,1,21,13,84,0,13,3,88,1,10,1,38,3,2,3,9,11,34,38,2,2,2,7,17,32,38,0,24,22,10,6,38,1,6,11,12,32,38,0,12,17,16,17,71,4,22,3,71,6,14,9,71,6,12,11,39,0,27,34,66,1,17,16,83,0,6,2,1,1,0,1,6,57,1,3,4,3,3,2,7,2,2,0,1,1,7,1,0,6,43,0,33,20,4,43,0,4,17,14,9,8,3,2,49,2,36,6,7,49,1,11,28,7,3,1,6.371428571428571,8.795338719644475,3.8,3.205258836744127,14.830188679245285,5.048746413549695,2.979591836734694,1.5477106200014608
