ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1.1,B14_1.2,B14_2..99,B14_2.2,B14_3..99,B14_3.2,B14_4..99,B14_4.1,B14_4.2,B14_5..99,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.7,D10..99,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AD,AND,Andorra,2020-12-25,2020-12-21,100,11,451893.76659629296,6,357607.3067900058,113,86,2957777.8910850566,41,8,15,77,6,29,65,8,13,79,7,21,72,8,23,69,9,24,67,10,14,76,8,16,76,9,15,76,8,14,78,7,19,74,7,26,67,8,14,78,7,21,72,85,4,5,6,72,7,14,7,87,6,6,1,79,6,11,4,77,5,13,5,77,5,12,6,86,6,5,3,85,3,8,4,86,1,7,6,86,6,5,3,81,6,8,5,74,6,9,11,86,4,8,2,79,6,9,6,14,17,69,85,0,9,6,17,3,26,54,74,1,10,15,90,3,7,0,90,3,7,0,97,3,0,33,4,4,59,100,21,2,21,22,17,17,38,9,16,20,17,38,8,22,23,9,38,10,19,19,14,38,10,17,24,11,38,11,5,14,32,96,2,0,2,96,2,0,2,96,0,3,1,96,1,1,2,96,2,0,2,96,2,1,1,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,35,7,23,35,35,3,48,14,35,5,22,38,35,4,27,34,35,6,14,45,35,5,15,45,36,0,24,40,76,11,6,4,3,36,1,4,13,25,21,36,1,60,3,37,5,16,42,37,2,42,9,2,2,3,3,37,2,19,17,13,12,37,2,18,23,14,6,39,1,9,46,5,44,3,9,38,6,77,2,15,6,52,2,45,1,79,1,19,1,74,2,19,5,86,2,11,1,86,2,9,3,45,2,5,17,9,22,45,1,1,4,17,8,24,48,1,22,14,8,7,48,4,5,10,16,17,48,1,14,15,12,10,71,0,27,2,71,14,7,8,71,12,12,5,48,0,18,34,66,12,22,89,1,2,0,2,0,3,3,71,4,2,1,1,0,0,3,1,0,3,0,1,1,2,10,54,2,17,25,0,2,54,8,4,6,17,6,4,1,57,2,13,20,8,57,2,9,11,13,5,3,5.8,7.90166840840361,9.727272727272727,18.94249671553837,10.764705882352942,6.320044224669835,3.0256410256410255,1.884663581415715
AD,AND,Andorra,2020-12-26,2020-12-22,100,10,469147.59108815773,5,374861.13128187053,124,85,3049942.2604228393,41,9,15,76,10,27,63,11,13,76,10,18,72,10,21,69,12,21,67,12,14,74,11,17,72,12,15,73,11,14,75,11,16,73,10,26,64,10,12,78,9,20,71,85,4,5,6,73,7,12,8,87,6,6,1,82,5,8,5,79,5,11,5,79,5,11,5,86,5,5,4,83,5,8,4,85,2,7,6,86,7,4,3,84,5,6,5,74,6,10,10,88,5,5,2,80,5,9,6,15,16,69,87,0,6,7,19,4,25,52,75,1,11,13,89,3,8,0,89,4,7,0,96,3,1,35,6,5,54,100,21,2,21,20,17,19,29,11,18,22,20,29,9,26,24,12,29,12,21,22,16,29,13,17,26,15,29,14,7,14,36,95,2,1,2,95,3,0,2,95,1,3,1,95,2,1,2,95,3,0,2,95,3,1,1,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,36,6,20,38,36,3,44,17,36,4,21,39,36,2,28,34,36,5,14,45,36,4,15,45,38,0,25,37,75,13,5,4,3,39,2,4,12,26,17,39,2,57,2,40,6,15,39,40,3,39,8,2,1,3,4,40,3,14,17,14,12,40,3,18,25,10,4,41,1,9,44,5,44,3,13,35,5,80,1,15,4,56,1,40,3,80,0,19,1,73,1,20,6,86,1,12,1,86,1,9,4,45,2,4,16,10,23,45,1,0,3,15,10,26,48,2,21,15,6,8,48,4,5,9,15,19,48,1,17,13,9,12,70,0,27,3,70,12,9,9,70,10,16,4,49,0,16,35,65,11,24,90,1,2,0,1,0,2,4,74,4,1,1,1,0,0,3,1,0,1,0,1,1,1,11,55,2,21,18,0,4,55,8,4,3,19,6,2,3,57,2,14,20,7,57,2,11,9,13,4,4,5.441860465116279,7.974072048062113,14.499999999999998,22.05836414087474,9.971428571428572,6.653109464469866,2.736842105263158,1.8842764835043027
AD,AND,Andorra,2020-12-27,2020-12-23,100,10,320433.9795931495,4,188498.55829226872,139,85,2762375.250644404,38,7,15,78,8,24,68,7,12,81,8,21,71,7,25,68,9,23,68,10,15,75,8,20,72,8,15,77,9,13,78,9,18,73,8,28,64,8,18,74,9,22,69,85,5,6,4,76,8,10,6,88,6,5,1,79,6,7,8,75,7,10,8,77,4,12,7,85,5,6,4,80,6,8,6,85,3,6,6,87,7,3,3,82,4,7,7,72,5,11,12,82,5,9,4,78,6,9,7,15,18,67,85,1,8,6,20,3,28,49,72,2,12,14,88,3,9,0,88,5,7,0,95,4,1,37,4,6,53,100,23,0,23,23,16,15,31,6,21,21,21,31,6,31,20,12,31,8,25,20,16,31,10,21,23,15,31,11,13,12,33,94,3,1,2,94,4,0,2,94,2,4,0,94,4,1,1,94,4,1,1,94,3,2,1,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,37,6,21,36,37,3,40,20,37,3,21,39,37,1,25,37,37,4,14,45,37,3,16,44,40,1,25,34,75,12,5,5,3,41,2,5,6,25,21,41,3,55,1,42,7,14,37,42,3,37,3,3,2,5,5,42,2,19,13,13,11,42,1,22,18,12,5,43,1,9,42,5,45,2,10,35,8,79,0,16,5,61,0,35,4,80,0,17,3,77,1,15,7,86,1,11,2,85,1,9,5,46,2,3,14,10,25,46,1,0,4,14,5,30,50,2,18,13,8,9,50,4,6,6,13,21,50,1,16,13,8,12,71,1,24,4,71,10,9,10,71,8,16,5,51,0,16,33,67,9,24,93,0,2,0,0,0,2,3,77,3,0,1,1,0,1,2,2,0,0,0,1,0,1,11,58,1,20,17,0,4,58,7,5,3,15,8,2,2,61,0,17,17,5,61,0,11,7,13,3,5,5.318181818181818,7.935122769152485,12,19.01052340152685,9.382352941176471,6.751047980969675,2.9714285714285715,2.2292931389029267
AD,AND,Andorra,2020-12-30,2020-12-24,100,7,289081.9917606099,4,188498.55829226872,69,83,2673298.948134734,35,11,11,78,11,19,70,10,12,78,14,18,68,10,24,66,13,20,67,13,13,74,11,16,73,14,11,75,14,8,78,13,16,71,13,24,63,13,15,72,15,17,68,89,5,4,2,81,9,7,3,88,6,4,2,82,7,4,7,76,8,8,8,80,4,8,8,87,5,4,4,84,7,5,4,89,3,4,4,92,6,1,1,84,4,6,6,76,4,9,11,85,6,6,3,83,5,7,5,17,16,67,87,1,7,5,21,3,26,50,74,2,11,13,89,1,10,0,89,4,7,0,96,2,2,37,4,6,53,100,25,1,19,20,15,20,32,8,16,19,25,32,11,26,17,14,32,12,21,17,18,32,14,17,20,17,32,15,13,10,30,94,3,1,2,94,4,0,2,94,2,4,0,94,4,1,1,94,4,1,1,94,3,2,1,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,37,7,17,39,37,4,37,22,37,4,21,38,37,2,23,38,37,5,12,46,37,4,15,44,41,1,21,37,79,11,4,3,3,43,1,6,7,22,21,43,3,54,0,44,6,8,42,44,3,38,2,3,1,5,4,44,2,22,12,12,8,44,1,26,14,9,6,46,1,8,38,7,47,2,10,32,9,83,0,13,4,64,0,32,4,80,0,17,3,79,1,15,5,88,1,9,2,86,1,9,4,48,2,3,11,8,28,48,1,1,4,9,8,29,54,2,16,11,8,9,54,3,6,4,11,22,54,1,14,13,6,12,73,2,21,4,73,12,6,9,73,9,14,4,55,0,15,30,70,8,22,93,0,1,0,0,1,2,3,78,2,0,1,1,1,1,0,1,0,0,0,3,0,1,11,62,2,17,15,0,4,62,6,6,2,10,10,2,2,65,0,19,11,5,65,0,11,7,10,2,5,4.756756756756757,7.921158043161665,6.888888888888889,7.06124005477162,8.727272727272727,5.375132133682432,3.09375,2.427787722558637
AD,AND,Andorra,2020-12-31,2020-12-25,100,5,114066.15577827244,4,76417.19428367885,56,80,2213115.0138353715,34,11,9,80,13,16,71,13,11,76,16,15,69,12,24,64,15,17,68,18,11,71,12,17,71,16,7,77,17,8,75,17,11,72,15,17,68,16,12,72,17,17,66,91,4,4,1,84,7,7,2,89,4,5,2,85,6,4,5,76,7,11,6,83,3,6,8,89,2,5,4,83,7,6,4,93,2,4,1,92,4,3,1,89,2,5,4,83,3,8,6,88,4,6,2,83,3,8,6,20,12,68,90,1,6,3,23,3,25,49,76,1,11,12,89,2,9,0,89,5,6,0,95,3,2,39,3,8,50,100,27,1,23,17,9,23,34,8,21,11,26,34,12,23,11,20,34,14,19,13,20,34,14,17,13,22,34,14,14,6,32,92,3,3,2,92,5,0,3,92,3,4,1,92,5,2,1,92,5,2,1,92,4,2,2,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,39,7,16,38,39,5,31,25,39,6,16,39,39,7,16,38,39,7,9,45,39,7,13,41,42,1,21,36,79,13,0,2,6,44,1,5,6,22,22,44,2,52,2,45,3,8,44,45,3,34,3,4,2,5,4,45,4,23,8,10,10,47,2,28,10,4,9,50,1,12,32,5,50,3,13,28,6,84,0,13,3,70,1,22,7,84,0,13,3,85,0,8,7,91,0,6,3,87,0,8,5,52,4,1,6,9,28,52,1,4,1,9,7,26,57,1,18,8,6,10,57,1,6,5,9,22,57,1,15,8,4,15,77,3,18,2,77,8,5,10,77,5,10,8,58,0,16,26,74,7,19,94,0,0,0,0,2,1,3,78,0,0,1,1,1,1,0,2,0,0,1,4,0,2,9,64,2,18,13,1,2,64,4,5,4,7,13,1,2,66,0,22,8,4,66,0,10,7,9,2,6,5.321428571428571,8.322453214841614,8.333333333333334,8.04155872120988,10.25,6.872516386410547,3.5000000000000004,2.8857557427641987
AD,AND,Andorra,2021-01-01,2020-12-26,100,4,51975.617844727756,3,14326.656350134159,35,80,2289065.7772007296,32,10,8,82,12,15,73,11,8,81,15,14,71,11,23,66,14,16,70,17,9,74,11,13,76,13,6,81,15,7,78,13,15,72,12,19,69,15,13,72,16,19,65,92,3,4,1,85,3,11,1,92,2,4,2,86,4,6,4,77,5,13,5,84,1,7,8,91,1,4,4,87,4,6,3,94,2,3,1,93,1,5,1,85,1,9,5,81,1,11,7,87,3,8,2,81,2,11,6,20,10,70,91,1,7,1,22,3,23,52,78,1,11,10,89,2,9,0,89,4,7,0,96,3,1,39,2,7,52,100,27,1,26,18,8,20,33,8,21,12,26,33,11,29,9,18,33,16,23,10,18,33,15,19,13,20,33,15,14,8,30,93,3,2,2,93,4,0,3,93,3,3,1,93,4,2,1,93,4,2,1,93,2,3,2,88,2,1,9,88,3,9,88,2,1,9,88,1,2,9,88,2,3,7,88,1,2,9,88,1,2,9,96,1,3,96,4,96,4,96,1,3,96,1,3,37,7,19,37,37,5,35,23,37,6,18,39,37,7,16,40,37,8,8,47,37,7,14,42,39,2,21,38,79,13,1,1,6,41,0,4,6,23,26,41,1,56,2,43,2,10,45,43,2,37,4,3,2,7,2,43,3,28,8,10,8,45,2,27,11,5,10,48,0,13,32,7,48,3,12,30,7,81,0,16,3,66,1,27,6,82,0,15,3,85,0,6,9,92,0,5,3,86,0,10,4,50,6,3,8,7,26,50,1,6,2,12,5,24,56,0,21,5,9,9,56,1,9,4,10,20,56,1,14,12,5,12,74,3,20,3,74,10,5,11,74,8,9,9,57,0,16,27,73,7,20,94,1,0,0,0,2,0,3,78,0,0,0,2,1,1,1,2,0,0,1,4,0,2,8,64,1,15,18,1,1,64,2,6,6,6,13,3,0,67,0,21,7,5,67,0,8,10,8,3,4,6.821428571428571,9.584144203100248,5.166666666666667,3.5449494589721118,10.892857142857142,6.81685974034795,3.733333333333334,2.740920224698435
AD,AND,Andorra,2021-01-02,2020-12-27,100,4,51975.617844727756,3,14326.656350134159,36,78,2509971.738173235,30,11,8,81,12,15,73,11,8,81,15,14,71,11,22,67,15,16,69,17,9,74,11,13,76,13,6,81,16,7,77,13,15,72,12,18,70,15,12,73,16,18,66,92,3,4,1,85,3,11,1,92,2,4,2,86,4,6,4,78,5,12,5,84,1,7,8,91,1,4,4,87,4,6,3,94,2,3,1,93,1,5,1,85,1,9,5,82,1,11,6,88,3,7,2,82,2,11,5,22,11,67,90,1,7,2,24,3,23,50,78,1,11,10,89,2,9,0,89,4,7,0,96,3,1,41,1,7,51,100,29,1,26,16,7,21,35,7,20,12,26,35,12,26,9,18,35,17,21,9,18,35,16,18,12,19,35,16,13,8,28,93,3,2,2,93,4,0,3,93,3,3,1,93,4,2,1,93,4,2,1,93,2,3,2,87,2,1,10,87,3,10,87,2,1,10,87,1,2,10,87,2,4,7,87,1,2,10,87,1,2,10,95,1,4,95,5,95,5,95,1,4,95,1,4,39,7,18,36,39,5,33,23,39,6,17,38,39,7,14,40,39,8,7,46,39,7,13,41,41,2,20,37,80,13,1,1,5,42,0,4,6,23,25,42,1,55,2,44,2,10,44,44,2,36,4,3,2,6,3,44,3,26,9,10,8,47,2,26,11,5,9,50,0,13,30,7,50,3,12,28,7,82,0,15,3,68,1,26,5,83,0,14,3,87,0,5,8,93,0,4,3,87,0,9,4,52,6,3,8,6,25,52,1,6,2,12,5,22,58,0,20,5,9,8,58,1,8,4,10,19,58,1,13,12,5,11,75,3,19,3,75,9,5,11,75,7,9,9,59,0,15,26,74,7,19,94,1,0,0,0,2,0,3,79,0,0,0,2,1,0,1,2,0,0,1,4,0,2,8,66,1,14,17,1,1,66,2,5,6,6,12,3,0,69,0,19,7,5,69,0,8,10,7,3,3,7.115384615384615,9.896774921465772,5.166666666666667,3.5449494589721118,11.26923076923077,6.726411776319926,3.8214285714285716,2.789578109991909
AD,AND,Andorra,2021-01-03,2020-12-30,100,6,47077.804277225885,5,43008.171523753095,33,83,2618008.6443201723,37,10,11,79,12,16,72,11,9,80,14,17,69,10,19,71,14,13,73,15,9,76,12,15,73,12,8,80,13,7,80,12,14,74,9,20,71,13,6,81,13,18,69,89,2,5,4,84,1,10,5,91,3,4,2,83,1,10,6,81,3,10,6,87,3,7,3,91,1,3,5,85,3,8,4,92,1,3,4,93,0,7,0,86,2,7,5,80,1,12,7,94,2,4,0,82,3,11,4,17,13,70,88,0,8,4,18,5,26,51,75,0,13,12,87,2,11,0,87,3,8,2,97,2,1,38,1,7,54,100,25,2,28,17,4,24,31,9,19,16,25,31,14,27,10,18,31,19,22,7,21,31,16,21,13,19,31,17,12,10,30,93,2,3,2,93,3,1,3,93,3,2,2,93,4,2,1,93,3,2,2,93,2,3,2,87,2,1,10,87,3,10,87,2,1,10,87,1,2,10,87,2,4,7,87,1,2,10,87,1,2,10,95,1,4,95,5,95,5,95,1,4,95,1,4,36,8,22,34,36,6,38,20,36,7,22,35,36,9,20,35,36,10,11,43,36,9,16,39,37,2,29,32,71,16,5,1,7,38,2,3,9,21,27,38,2,58,2,40,2,14,44,40,2,36,5,4,2,8,3,40,3,24,11,12,10,43,5,21,15,6,10,45,0,18,30,7,46,3,18,29,4,78,0,18,4,62,1,32,5,78,0,20,2,80,0,10,10,89,0,8,3,84,0,14,2,50,5,4,8,12,21,50,0,8,1,13,5,23,53,0,20,10,8,9,53,0,9,7,8,23,53,0,14,14,3,16,72,4,21,3,72,10,4,14,72,8,8,12,54,0,16,30,70,10,20,90,2,1,1,1,1,1,3,74,0,2,1,3,0,0,2,2,1,0,2,1,1,2,9,59,0,15,22,1,3,59,5,5,6,9,13,2,1,62,0,22,9,7,62,0,6,14,11,2,5,8.307692307692308,11.643948576902014,5,4.183300132670378,11.612903225806452,6.375355777548621,3.6176470588235294,2.52280154376707
AD,AND,Andorra,2021-01-04,2020-12-30,100,6,47077.804277225885,5,43008.171523753095,34,84,2771141.6297462923,38,12,12,76,13,15,72,13,8,79,15,18,67,13,18,69,15,14,71,16,10,74,13,15,72,13,8,79,14,8,78,13,15,72,11,20,69,15,6,79,15,18,67,88,2,6,4,85,1,9,5,92,3,4,1,82,2,10,6,82,3,10,5,86,4,7,3,90,2,3,5,85,3,8,4,92,1,3,4,92,1,7,0,85,3,7,5,80,2,12,6,94,2,4,0,82,3,11,4,16,14,70,88,0,8,4,18,5,25,52,76,0,13,11,87,2,11,0,87,3,8,2,97,2,1,38,0,7,55,100,24,2,28,17,5,24,30,9,19,16,26,30,15,27,10,18,30,20,22,7,21,30,17,21,13,19,30,18,12,10,30,93,2,3,2,93,3,1,3,93,3,2,2,93,4,2,1,93,3,2,2,93,2,3,2,87,2,1,10,87,3,10,87,2,1,10,87,1,2,10,87,2,4,7,87,1,2,10,87,1,2,10,95,1,4,95,5,95,5,95,1,4,95,1,4,35,8,22,35,35,6,39,20,35,7,22,36,35,9,20,36,35,10,11,44,35,9,16,40,36,2,30,32,70,17,5,1,7,37,2,3,9,21,28,37,2,59,2,39,2,14,45,39,2,36,5,4,2,8,4,39,3,24,12,12,10,42,5,21,16,6,10,44,0,18,31,7,45,3,18,29,5,78,0,18,4,61,1,33,5,78,0,20,2,80,0,10,10,89,0,8,3,84,0,14,2,49,5,4,8,12,22,49,0,8,1,13,5,24,52,0,20,10,9,9,52,0,9,7,9,23,52,0,14,14,3,17,72,4,21,3,72,10,4,14,72,8,8,12,53,0,16,31,69,10,21,90,2,1,1,1,1,1,3,74,0,2,1,3,0,0,2,2,1,0,2,1,1,2,9,58,0,16,22,1,3,58,5,5,6,9,13,3,1,61,0,22,9,8,61,1,6,14,11,2,5,8.307692307692308,11.643948576902014,5,4.183300132670378,11.612903225806452,6.375355777548621,3.6176470588235294,2.52280154376707
AD,AND,Andorra,2021-01-13,2020-12-31,100,8,91036.44474453086,6,82364.52559873754,123,83,2640129.2426828276,36,17,14,69,13,20,67,15,11,74,14,23,63,15,18,67,15,16,69,17,14,69,14,16,70,14,10,76,14,11,75,14,19,67,14,22,64,19,7,74,17,20,63,86,1,9,4,80,2,12,6,89,3,5,3,77,5,11,7,82,3,9,6,84,4,9,3,86,3,5,6,84,3,9,4,90,3,3,4,89,3,8,0,81,4,8,7,78,2,14,6,93,2,5,0,80,3,12,5,17,18,65,84,0,9,7,21,4,25,50,76,0,14,10,86,1,13,0,86,2,10,2,98,1,1,41,0,5,54,100,28,1,27,18,8,18,32,11,19,18,20,32,11,29,14,14,32,19,23,10,16,32,18,20,14,16,32,20,10,12,26,95,2,2,1,95,3,1,1,95,3,1,1,95,4,1,0,95,3,1,1,95,2,2,1,87,2,1,10,87,3,10,87,2,1,10,87,1,2,10,87,2,4,7,87,1,2,10,87,1,2,10,95,1,4,95,5,95,5,95,1,4,95,1,4,38,9,22,31,38,6,40,16,38,9,20,33,38,10,19,33,38,11,7,44,38,10,15,37,39,3,27,31,73,16,5,1,5,40,2,3,8,21,26,40,3,56,1,42,3,15,40,42,3,36,2,4,1,7,5,42,4,24,10,12,8,44,5,18,18,7,8,45,1,15,33,6,46,2,15,32,5,78,0,17,5,60,2,34,4,80,0,18,2,81,0,10,9,93,0,6,1,85,0,15,0,49,4,5,12,10,20,49,1,7,1,15,5,22,51,0,18,10,10,11,51,1,8,8,10,22,51,0,14,18,4,13,69,5,21,5,69,13,5,13,69,10,12,9,54,1,13,32,68,10,22,90,2,1,1,1,1,1,3,77,0,3,1,3,0,0,2,2,1,1,1,0,1,1,7,59,0,18,20,0,3,59,8,4,5,10,10,3,1,63,0,22,6,9,63,1,8,15,8,1,4,7.6875,9.90743448449275,12.555555555555555,12.660086009888627,10.787878787878787,6.75813202629606,3.5454545454545454,2.3991002101166634
