ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BY,BLR,Belarus,2020-12-21,2020-12-21,238,17,354737.8981644218,13,267225.9232775054,355,217,5668626.139851327,179,10,31,197,7,66,165,10,23,205,9,106,123,8,87,143,11,60,167,10,35,193,10,31,197,12,19,207,10,36,192,13,36,189,10,63,165,11,28,199,7,85,146,208,2,23,5,173,8,31,26,216,3,18,1,135,8,43,52,153,8,32,45,180,5,33,20,204,2,21,11,209,1,25,3,220,2,8,8,204,1,28,5,204,3,22,9,175,4,30,29,211,3,20,4,156,8,43,31,20,1,116,101,125,0,49,64,23,2,98,115,140,3,41,54,197,29,7,5,197,10,31,0,228,0,2,7,1,69,3,74,92,238,26,0,35,68,51,58,182,3,12,11,30,182,5,11,13,27,182,3,17,13,23,182,4,5,12,35,182,4,1,5,46,164,24,18,32,164,29,18,27,164,32,16,26,164,31,16,27,164,34,7,33,164,28,23,23,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,238,0,0,0,34,12,100,92,34,6,158,40,34,13,66,125,34,8,111,85,34,13,38,153,34,9,69,126,35,0,118,85,120,1,63,22,16,16,38,1,1,20,80,98,38,1,199,0,42,2,56,138,42,0,126,44,8,11,1,6,42,0,55,50,42,49,42,1,34,81,60,20,42,0,19,174,3,46,2,33,155,2,138,1,89,10,80,3,147,8,172,0,58,8,127,5,80,26,200,1,30,7,169,3,62,4,52,3,2,16,40,43,82,52,1,3,17,43,48,74,53,1,60,103,16,5,53,1,6,31,62,85,53,0,31,80,44,30,127,15,79,17,127,48,31,32,127,44,41,26,54,3,118,63,175,30,33,209,0,2,0,4,1,9,1,12,92,1,6,19,5,16,2,9,10,17,2,6,11,2,0,5,35,57,2,62,115,0,2,57,0,6,33,56,44,33,8,1,57,5,108,54,14,57,5,46,73,47,7,3,9.598591549295774,9.223051493581798,3.715909090909091,2.6864875313331273,12.269461077844312,5.303087445517115,2.2280701754385963,1.1933769759850177
BY,BLR,Belarus,2020-12-22,2020-12-22,250,19,372792.4548183148,14,279115.3470828433,387,238,5786282.646125831,193,8,30,212,8,63,179,10,27,213,5,121,124,7,78,165,9,64,177,10,32,208,8,31,211,10,17,223,7,36,207,9,35,206,8,70,172,8,33,209,7,87,156,220,2,22,6,187,5,32,26,223,2,19,6,129,13,43,65,172,7,24,47,186,5,35,24,218,3,19,10,219,3,21,7,233,3,11,3,214,3,28,5,215,2,23,10,180,3,33,34,217,3,23,7,163,5,43,39,11,1,127,111,128,0,52,70,16,2,112,120,141,4,44,61,206,26,15,3,206,16,28,0,234,0,1,13,2,69,1,75,105,250,24,1,32,78,46,69,32,8,39,68,103,32,11,40,69,98,32,12,80,65,61,32,10,22,48,138,32,13,3,17,185,179,30,12,29,179,30,12,29,179,24,24,23,179,32,14,25,179,33,9,29,179,24,25,22,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,250,0,0,0,34,8,105,103,34,3,163,50,34,13,61,142,34,6,111,99,34,10,46,160,34,6,76,134,40,0,117,93,133,0,70,23,11,13,41,1,2,21,84,101,41,0,209,0,43,1,50,156,43,0,147,42,6,3,4,5,43,1,75,34,55,42,43,3,34,86,63,21,44,0,27,176,3,45,1,29,172,3,146,2,96,6,88,5,151,6,189,3,47,11,140,5,73,32,204,1,34,11,174,3,67,6,47,2,10,11,49,53,78,47,0,8,18,49,54,74,48,3,68,101,21,9,48,0,10,26,54,112,48,1,37,75,55,34,139,11,81,19,139,42,28,41,139,36,34,41,50,0,130,70,180,35,35,217,1,1,0,2,0,9,2,18,89,0,2,20,7,17,2,12,9,17,0,12,17,4,2,5,35,57,6,68,117,0,2,57,0,11,33,67,52,25,5,0,57,4,112,60,17,57,4,49,81,49,9,1,7.766081871345029,7.975198052069192,3.9545454545454546,2.7033784351117727,13.224719101123595,5.735709944263032,2.33879781420765,1.0350838356424965
BY,BLR,Belarus,2020-12-23,2020-12-23,245,19,426612.3254556379,15,345243.3467034958,385,233,5897326.37119913,181,11,29,205,8,59,178,11,30,204,9,114,122,10,85,150,8,67,170,12,45,188,7,36,202,10,17,218,10,33,202,10,38,197,11,74,160,12,35,198,10,81,154,216,5,18,6,186,7,30,22,215,2,20,8,131,11,55,48,160,10,41,34,178,8,35,24,200,3,27,15,209,4,23,9,228,2,12,3,212,2,28,3,207,5,26,7,171,10,26,38,210,5,24,6,164,6,39,36,11,1,133,100,117,1,53,74,16,3,121,105,125,4,38,78,207,25,12,1,207,13,25,0,232,0,2,11,0,62,2,70,111,245,20,1,37,75,51,61,20,12,46,74,93,20,16,58,65,86,20,18,82,57,68,20,22,33,54,116,20,24,8,18,175,177,28,10,30,177,33,14,21,177,30,16,22,177,29,22,17,177,36,12,20,177,30,26,12,245,0,0,0,245,0,0,0,245,0,0,0,245,0,0,0,245,0,0,0,245,0,0,0,245,0,0,0,245,0,0,0,245,0,0,0,245,0,0,0,245,0,0,0,245,0,0,0,24,5,115,101,24,9,160,52,24,17,49,155,24,8,109,104,24,14,33,174,24,9,72,140,31,1,112,101,133,0,63,20,17,12,31,1,3,21,74,115,31,1,211,2,32,2,62,149,32,0,149,41,9,5,1,8,32,0,68,36,60,49,34,3,48,100,49,11,36,1,28,175,5,40,2,34,167,2,130,3,103,9,85,2,156,2,196,5,39,5,136,5,80,24,212,1,24,8,173,3,66,3,46,4,0,13,41,62,79,46,4,1,14,47,55,78,51,2,80,94,12,6,51,0,13,30,52,99,51,0,41,73,51,29,131,15,73,26,131,38,40,36,131,36,43,35,53,2,134,56,189,31,25,216,3,1,0,3,1,9,1,11,83,0,7,21,7,22,5,7,11,21,1,5,18,4,3,6,24,58,1,75,109,1,1,58,0,5,26,61,53,32,9,1,62,6,108,53,16,62,4,47,75,47,6,4,9.21732484076433,8.892419443935323,3.5714285714285716,2.584649371023857,12.450581395348838,5.262317736900376,2.310344827586207,1.0944985372473894
BY,BLR,Belarus,2020-12-24,2020-12-24,217,17,416752.47249704757,13,347850.9954093838,351,201,5563644.415621542,151,7,26,184,10,52,155,11,20,186,4,104,109,5,73,139,12,38,167,10,31,176,11,30,176,11,18,188,8,32,177,13,33,171,10,57,150,11,25,181,5,73,139,191,3,22,1,165,4,31,17,197,3,13,4,113,9,54,41,144,5,40,28,179,6,28,4,186,3,14,14,187,5,17,8,199,3,10,5,185,2,28,2,184,3,17,13,160,7,27,23,192,2,18,5,144,8,40,25,15,1,106,95,113,0,46,58,18,3,92,104,125,3,30,59,187,24,6,0,187,10,20,0,207,0,3,6,1,54,0,63,100,217,22,3,47,51,45,49,31,12,44,55,75,31,16,46,54,70,31,15,66,49,56,31,19,35,41,91,31,22,8,25,131,156,25,14,22,156,31,8,22,156,30,11,20,156,27,15,19,156,27,13,21,156,28,17,16,217,0,0,0,217,0,0,0,217,0,0,0,217,0,0,0,217,0,0,0,217,0,0,0,217,0,0,0,217,0,0,0,217,0,0,0,217,0,0,0,217,0,0,0,217,0,0,0,36,6,91,84,36,3,144,34,36,7,53,121,36,5,92,84,36,6,35,140,36,4,63,114,40,2,96,79,121,0,48,20,15,13,43,0,2,21,61,90,43,0,174,0,45,0,44,128,45,0,110,34,10,5,4,9,45,1,65,18,41,47,46,1,37,75,38,20,46,0,21,146,4,52,3,16,146,0,128,5,74,10,75,6,128,8,164,3,43,7,126,2,64,25,183,2,22,10,155,3,56,3,54,2,4,11,36,34,76,54,1,0,11,43,41,67,55,2,56,79,13,12,55,1,8,20,46,87,55,0,28,59,45,30,133,13,58,13,133,36,24,24,133,39,23,22,59,2,93,63,154,21,42,196,2,0,0,1,1,4,2,11,104,0,4,16,6,11,3,5,11,12,2,5,11,2,1,4,20,62,3,57,93,2,0,62,2,5,25,49,44,20,9,1,66,5,86,44,16,66,3,32,72,38,5,1,8.936,8.573913925390201,3.9878048780487805,2.899527004589935,12.433566433566433,5.72314234645082,2.191780821917808,1.1585667036481233
BY,BLR,Belarus,2020-12-25,2020-12-25,242,20,559077.4017301983,16,409369.3577040794,380,228,6402441.87012421,178,9,31,202,13,64,165,10,32,200,5,115,122,9,85,148,11,66,165,9,47,186,9,28,205,11,16,215,9,31,202,10,40,192,9,62,171,12,34,196,7,92,143,211,3,18,10,178,5,28,31,210,3,23,6,127,9,55,51,157,5,39,41,176,5,42,19,195,3,26,18,214,3,21,4,226,2,12,2,211,3,24,4,202,5,20,15,180,4,32,26,208,4,21,9,150,11,48,33,12,2,131,97,113,0,57,72,16,4,104,118,139,3,42,58,200,31,9,2,200,13,29,0,229,0,4,8,1,66,3,76,97,242,21,0,39,70,54,58,27,6,47,68,94,27,15,50,67,83,27,13,82,59,61,27,16,22,46,131,27,17,10,18,170,167,30,16,29,167,28,17,30,167,29,24,22,167,33,13,29,167,30,13,32,167,31,23,21,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,242,0,0,0,31,11,98,102,31,4,165,42,31,15,53,143,31,7,107,97,31,13,30,168,31,10,69,132,34,1,107,100,135,0,60,28,9,10,36,0,1,19,78,108,36,0,206,0,37,0,59,146,37,0,148,30,9,6,2,10,37,0,75,30,52,48,39,3,42,98,40,20,40,0,37,164,1,42,1,26,172,1,145,6,84,7,78,5,151,8,190,2,43,7,136,8,77,21,212,2,24,4,174,5,57,6,43,2,1,20,47,57,72,43,1,3,21,50,55,69,47,2,71,99,13,10,47,0,9,35,50,101,47,0,50,74,32,39,121,14,86,21,121,44,35,42,121,39,48,34,51,1,126,64,178,26,38,218,4,0,0,2,0,5,1,12,95,0,2,25,7,21,8,2,14,18,0,6,13,0,2,8,21,60,8,74,98,0,2,60,2,8,28,68,44,23,9,0,61,3,115,48,15,61,4,45,82,44,4,2,8.738255033557047,8.976994601182154,3.515151515151515,2.5926254771108006,13.173913043478262,5.282713811800835,2.269662921348315,1.132609056809347
BY,BLR,Belarus,2020-12-26,2020-12-26,237,10,184400.1355655652,4,68623.67009029089,337,225,5699773.771513438,183,8,14,215,10,49,178,9,30,198,6,85,146,6,76,155,8,47,182,9,34,194,9,39,189,9,14,214,9,28,200,8,32,197,7,67,163,9,23,205,7,80,150,223,3,8,3,188,5,21,23,207,6,19,5,152,10,40,35,161,11,31,34,190,5,26,16,203,6,16,12,198,7,24,8,223,1,11,2,209,3,23,2,205,2,20,10,170,11,27,29,214,4,15,4,157,10,37,33,10,2,124,101,115,0,54,68,13,5,107,112,130,3,40,64,197,21,15,4,197,16,24,0,222,0,3,12,0,61,0,59,117,237,19,2,31,65,48,72,25,13,47,53,99,25,23,43,55,91,25,18,78,48,68,25,25,22,44,121,25,25,8,15,164,181,34,3,19,181,29,11,16,181,25,14,17,181,26,17,13,181,31,7,18,181,30,11,15,237,0,0,0,237,0,0,0,237,0,0,0,237,0,0,0,237,0,0,0,237,0,0,0,237,0,0,0,237,0,0,0,237,0,0,0,237,0,0,0,237,0,0,0,237,0,0,0,28,10,92,107,28,5,166,38,28,10,84,115,28,5,122,82,28,11,48,150,28,10,65,134,30,2,125,80,112,0,76,30,4,15,31,3,3,14,96,90,31,4,202,0,32,3,55,147,32,1,141,36,10,6,4,7,32,1,65,29,47,63,33,1,34,90,60,19,36,0,35,165,1,37,2,36,160,2,145,9,70,13,72,10,147,8,154,11,58,14,115,13,80,29,189,7,33,8,172,5,53,7,38,6,3,11,47,47,85,38,6,4,8,55,49,77,38,2,59,115,13,10,38,2,7,29,61,100,38,1,37,85,44,32,117,18,83,19,117,51,33,36,117,45,47,28,41,1,130,65,172,33,32,206,3,1,1,0,1,10,3,12,77,0,2,26,8,20,2,6,11,21,1,6,9,8,2,7,31,46,3,74,111,0,3,46,0,5,31,66,43,34,12,0,50,9,117,53,8,50,6,53,69,52,3,4,7.725352112676056,7.672502588753432,3.4172413793103447,2.4851749691128493,12.994505494505495,5.5279273415394865,2.3085714285714287,1.1176153360655297
BY,BLR,Belarus,2020-12-27,2020-12-27,259,15,323143.55338014336,9,217230.49195619873,373,237,5932082.903288831,184,5,22,232,8,59,192,7,25,227,5,108,146,6,81,172,6,55,198,8,37,214,5,30,224,8,14,237,6,26,227,5,36,218,5,77,177,6,25,228,6,84,169,237,3,14,5,200,5,31,23,234,0,18,7,151,10,45,53,178,8,34,39,204,5,28,22,222,3,19,15,229,6,18,6,245,2,10,2,233,1,22,3,223,4,22,10,182,10,30,37,234,3,13,9,175,4,47,33,22,0,132,105,130,3,50,76,29,2,108,120,151,4,39,65,220,28,10,1,220,15,24,0,244,0,2,12,1,75,2,82,100,259,32,0,41,59,60,67,37,12,52,57,101,37,18,46,65,93,37,16,70,57,79,37,19,29,40,134,37,19,12,21,170,179,36,16,28,179,35,13,32,179,33,20,27,179,36,14,30,179,39,10,31,179,35,17,28,259,0,0,0,259,0,0,0,259,0,0,0,259,0,0,0,259,0,0,0,259,0,0,0,259,0,0,0,259,0,0,0,259,0,0,0,259,0,0,0,259,0,0,0,259,0,0,0,41,10,66,142,41,7,155,56,41,14,69,135,41,7,112,99,41,10,37,171,41,9,64,145,43,0,120,96,139,0,82,24,8,6,45,2,0,19,79,114,45,2,211,1,48,2,48,161,48,0,154,33,9,4,1,10,48,1,60,41,61,48,49,2,46,88,55,19,49,1,24,184,1,52,2,25,178,2,193,4,52,10,105,3,145,6,191,2,61,5,148,3,78,30,222,3,25,9,195,3,55,6,58,5,2,15,51,43,85,58,3,2,17,50,41,88,61,1,68,108,15,6,61,1,6,30,50,111,61,1,39,81,40,37,141,14,82,22,141,42,33,43,141,39,38,41,63,0,130,66,193,33,33,229,3,1,1,1,0,7,4,13,101,1,2,25,13,25,1,3,11,17,0,6,8,4,2,6,34,69,0,76,113,1,0,69,0,12,33,66,53,17,7,2,72,6,123,45,13,72,6,53,82,37,8,1,8.125827814569536,8.29482138506638,3.6195652173913038,2.444290909577869,13.232941176470588,5.650802702267287,2.2329545454545454,1.1400472763038347
BY,BLR,Belarus,2020-12-28,2020-12-27,100,6,130823.5254202023,3,49725.9439567327,156,85,2132360.384620346,54,3,6,91,3,18,79,3,15,82,2,47,51,2,32,66,1,28,71,3,10,87,3,11,86,3,6,91,3,10,87,2,17,81,2,26,72,2,9,89,0,40,60,94,1,4,1,82,1,12,5,85,0,13,2,53,3,24,20,68,3,16,13,72,3,16,9,90,1,6,3,89,1,9,1,94,1,3,2,90,0,9,1,83,0,14,3,74,5,8,13,91,2,4,3,60,1,28,11,15,0,51,34,51,2,19,28,18,1,37,44,63,1,11,25,89,8,3,0,89,3,8,0,97,0,1,2,0,32,1,31,36,100,20,0,13,18,23,26,22,7,15,19,37,22,8,16,18,36,22,4,25,17,32,22,7,9,12,50,22,6,6,5,61,70,10,8,12,70,11,4,15,70,9,9,12,70,10,5,15,70,13,1,16,70,12,6,12,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,25,5,28,42,25,2,59,14,25,5,32,38,25,3,41,31,25,4,19,52,25,4,24,47,26,0,46,28,54,0,30,10,3,3,27,0,0,9,25,39,27,0,72,1,28,1,16,55,28,0,51,12,4,2,1,2,28,0,18,18,19,17,28,1,19,28,17,7,29,0,5,66,0,33,0,6,61,0,72,1,21,6,41,1,55,3,68,1,29,2,59,1,30,10,81,1,12,6,76,1,21,2,36,3,0,3,17,13,28,36,2,0,5,12,14,31,37,1,18,38,5,1,37,1,2,8,16,36,37,1,12,29,12,9,61,6,26,7,61,17,12,10,61,16,11,12,39,0,42,19,81,9,10,93,0,0,0,0,0,2,0,5,53,0,0,10,2,11,0,1,3,4,0,2,5,0,0,1,8,44,0,20,36,0,0,44,0,4,12,20,14,3,2,1,45,1,42,11,1,45,1,16,27,9,2,0,8.442307692307692,9.212977763786153,3.916666666666666,2.370955202324281,13.920408163265305,5.82183317320229,2.188679245283019,1.0201169573516276
BY,BLR,Belarus,2020-12-30,2020-12-30,244,14,336353.8368299293,11,280002.2380257317,428,229,5878190.489377305,177,4,23,217,5,68,171,7,30,207,4,122,118,3,88,153,5,72,167,5,44,195,4,39,201,6,15,223,3,32,209,5,30,209,2,82,160,6,28,210,4,97,143,221,1,16,6,176,6,31,31,214,0,21,9,122,8,53,61,156,8,29,51,172,2,44,26,200,3,17,24,205,2,29,8,229,0,8,7,212,1,26,5,214,2,17,11,162,4,36,42,216,1,17,10,147,3,48,46,15,0,129,100,118,1,47,78,19,1,110,114,134,2,45,63,199,31,10,4,199,14,30,1,230,0,4,10,0,67,5,63,109,244,22,0,32,71,50,69,29,17,35,62,101,29,21,39,65,90,29,14,80,54,67,29,18,25,39,133,29,21,8,25,161,183,22,14,25,183,27,11,23,183,26,19,16,183,28,18,15,183,31,12,18,183,31,17,13,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,244,0,0,0,31,7,105,101,31,4,162,47,31,8,87,118,31,9,106,98,31,7,41,165,31,6,78,129,36,1,118,89,126,0,60,31,12,15,37,2,4,16,88,97,37,1,206,0,37,1,58,148,37,1,146,33,13,4,2,8,37,1,70,35,55,46,41,2,44,87,59,11,42,2,36,159,5,44,5,33,158,4,140,5,90,9,83,3,154,4,158,2,77,7,139,2,80,23,204,1,36,3,167,3,70,4,45,2,5,25,52,35,80,45,2,4,26,57,42,68,48,4,68,94,19,11,48,2,6,30,66,92,48,2,38,95,27,34,112,19,95,18,112,53,32,47,112,50,39,43,50,4,110,80,164,36,44,210,2,0,2,3,1,5,2,19,102,0,2,16,17,16,1,9,14,18,0,5,10,1,3,8,22,59,3,64,116,0,2,59,2,6,39,54,45,27,11,1,65,4,103,61,11,65,5,44,78,38,8,6,7.5,7.753984618030099,4.02020202020202,2.6533759704203326,12.119186046511627,5.943597806813722,2.313953488372093,1.1623894316477905
BY,BLR,Belarus,2020-12-31,2020-12-31,189,14,382044.1328482119,10,266470.4470482342,280,172,6538939.692764712,129,10,22,157,10,44,135,10,27,152,7,85,97,6,69,114,9,43,137,12,32,145,13,21,155,11,10,168,9,25,155,12,31,146,11,44,134,12,23,154,10,60,119,167,6,12,4,145,7,18,19,162,6,17,4,104,11,43,31,120,7,27,35,146,6,27,10,157,4,13,15,168,3,9,9,179,1,6,3,164,3,21,1,158,3,20,8,145,6,19,19,166,6,11,6,129,10,29,21,17,0,84,88,108,0,35,46,22,2,79,86,110,1,34,44,155,21,9,4,155,9,25,0,180,0,0,9,0,59,3,57,70,189,23,0,29,46,34,57,32,14,36,41,66,32,19,32,51,55,32,17,50,34,56,32,19,19,29,90,32,23,7,14,113,132,27,9,21,132,31,9,17,132,27,11,19,132,28,15,14,132,31,8,18,132,25,17,15,185,0,0,4,185,0,0,4,185,0,0,4,185,0,0,4,185,0,1,3,185,0,1,3,185,0,1,3,187,0,0,2,187,0,0,2,187,0,0,2,187,0,0,2,187,0,0,2,35,5,76,73,35,3,123,28,35,8,49,97,35,3,79,72,35,6,31,117,35,6,48,100,39,1,83,66,106,0,48,12,9,14,39,1,0,16,52,81,39,1,149,0,43,1,41,104,43,0,99,18,9,9,2,9,43,0,50,15,36,45,43,3,28,60,38,17,45,0,24,116,4,46,3,22,115,3,113,3,64,9,66,5,112,6,140,3,43,3,110,4,59,16,158,2,26,3,141,2,43,3,47,2,2,10,40,29,59,47,3,2,12,33,37,55,48,2,59,64,10,6,48,2,8,15,40,76,48,1,28,50,39,23,111,9,47,22,111,31,22,25,111,30,26,22,49,3,83,54,135,27,27,164,3,1,1,0,2,8,1,9,82,2,5,12,9,11,0,6,7,18,0,4,7,1,2,3,20,55,3,57,72,0,2,55,2,5,27,32,39,20,7,2,58,4,79,35,13,58,2,38,48,35,8,0,6.766990291262136,7.029634586624931,4.8431372549019605,3.2703060958852634,12.14655172413793,5.09433497873493,1.967741935483871,1.1184737268155704
