ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
ET,ETH,Ethiopia,2020-12-22,2020-12-21,100,0,0,0,0,57,92,16329634.098142752,63,7,0,93,5,9,86,6,2,92,5,10,85,5,13,82,5,5,90,5,8,87,4,4,92,4,4,92,5,4,91,5,8,87,6,12,82,5,2,93,6,9,85,100,0,0,0,91,1,2,6,98,1,1,0,90,1,4,5,87,1,5,7,95,0,3,2,92,2,3,3,96,1,2,1,96,1,2,1,96,1,2,1,92,1,5,2,88,1,5,6,98,1,1,0,91,0,3,6,8,0,24,68,77,0,14,9,11,1,31,57,70,0,7,23,93,1,6,0,93,0,2,5,0,98,2,0,0,20,2,30,48,100,16,1,40,19,14,10,26,7,31,15,21,26,10,35,19,10,26,9,45,9,11,26,5,45,14,10,26,7,12,11,44,73,5,12,10,73,12,3,12,73,11,6,10,73,10,8,9,73,12,1,14,73,11,3,13,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,3,44,32,21,3,52,24,21,2,58,19,21,3,48,28,21,6,30,43,21,5,41,33,25,0,41,34,59,0,23,8,4,6,26,0,0,6,44,24,26,3,67,4,27,1,17,55,27,0,33,22,6,7,2,3,27,0,18,16,16,23,27,0,18,32,18,5,27,0,2,62,9,29,2,2,62,5,57,4,34,5,49,3,43,5,43,4,43,10,53,4,32,11,71,2,23,4,60,3,36,1,30,1,3,4,11,13,38,30,0,2,2,11,15,40,32,0,24,22,10,12,32,0,8,19,10,31,32,0,18,14,13,23,69,1,23,7,69,6,16,9,69,5,18,8,33,1,46,20,80,0,8,12,92,0,2,1,0,2,0,1,2,46,0,1,5,10,1,4,8,3,1,1,9,1,2,1,7,36,1,63,0,0,36,0,0,32,21,8,3,0,0,37,2,38,21,2,37,0,25,16,10,7,5,2.6333333333333333,2.092405534197477,2.736842105263158,1.9102677317636774,15.4,5.012526681107399,3.210526315789474,1.8296842243683074
ET,ETH,Ethiopia,2020-12-23,2020-12-23,101,0,0,0,0,35,94,12330621.22537281,65,8,0,93,10,12,79,10,0,91,9,10,82,9,8,84,9,6,86,11,4,86,11,1,89,9,4,88,9,2,90,9,7,85,8,7,86,10,0,91,9,13,79,101,0,0,0,89,1,3,8,101,0,0,0,91,0,6,4,93,1,3,4,95,1,4,1,97,0,2,2,100,0,1,0,97,1,2,1,99,1,1,0,94,1,3,3,94,1,3,3,101,0,0,0,88,2,7,4,7,0,20,74,81,1,10,9,7,2,30,62,71,1,9,20,92,0,9,0,92,0,3,6,0,98,1,2,0,20,1,28,52,101,9,1,47,23,8,13,14,4,42,15,26,14,11,46,7,23,14,11,58,8,10,14,14,44,14,15,14,14,15,9,49,74,5,13,9,74,10,1,16,74,10,3,14,74,7,7,13,74,8,7,12,74,9,2,16,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,15,11,43,32,15,12,52,22,15,12,59,15,15,12,47,27,15,12,40,34,15,12,46,28,16,1,42,42,59,1,21,8,3,9,16,0,2,9,42,32,16,3,76,6,20,2,23,56,20,2,30,24,10,6,7,2,20,1,11,17,31,21,20,1,17,34,20,9,20,1,3,70,7,26,2,1,68,4,58,3,30,10,49,2,38,12,42,3,37,19,54,3,27,17,61,1,27,12,55,3,33,10,28,4,0,5,15,13,36,28,3,1,1,12,18,38,32,1,22,27,7,12,32,1,3,12,16,37,32,1,8,19,18,23,75,1,21,4,75,6,11,9,75,7,9,10,33,2,51,15,86,0,4,11,97,0,0,0,0,1,0,0,3,47,2,0,3,5,1,8,9,3,0,1,9,6,1,4,2,36,4,61,0,0,36,3,2,33,20,7,0,0,0,36,6,43,13,3,36,5,21,23,9,3,4,2.8,2.591764144228858,1.875,1.3601470508735443,15.033898305084746,5.192720706364576,2.810344827586207,1.648570848923438
ET,ETH,Ethiopia,2020-12-24,2020-12-23,100,1,97475.2080201792,0,0,51,93,13406882.50387821,68,5,3,92,4,9,87,6,0,94,6,8,86,6,6,88,5,8,87,7,11,82,6,5,89,6,7,87,6,7,87,7,5,88,4,8,88,7,5,88,7,7,86,97,1,1,1,91,1,5,3,100,0,0,0,92,1,4,3,94,1,2,3,92,2,4,2,89,2,6,3,95,1,3,1,93,2,2,3,93,3,3,1,95,1,0,4,92,3,3,2,95,1,2,2,93,3,3,1,6,1,21,72,80,0,13,7,7,0,38,55,62,0,11,27,89,1,10,0,89,0,3,8,0,97,0,3,0,20,0,32,48,100,9,1,48,22,11,9,15,6,37,16,26,15,12,46,7,20,15,9,56,8,12,15,9,48,16,12,15,11,14,9,51,68,6,15,11,68,15,2,15,68,13,5,14,68,14,6,12,68,12,8,12,68,15,4,13,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,7,42,34,17,8,43,32,17,8,53,22,17,8,47,28,17,8,30,45,17,6,41,36,18,0,35,47,65,0,14,9,3,9,18,2,0,11,39,30,18,1,75,6,20,2,17,61,20,0,43,22,5,1,6,3,20,0,13,17,33,17,20,0,20,33,22,5,21,1,5,68,5,25,2,2,64,7,58,0,35,7,57,1,34,8,47,1,40,12,53,1,30,16,70,0,25,5,59,2,37,2,26,4,1,2,19,9,39,26,1,2,4,14,15,38,28,2,25,26,15,4,28,0,6,16,21,29,28,0,18,21,17,16,61,5,29,5,61,9,21,9,61,12,17,10,29,2,48,21,79,0,8,13,93,0,1,1,0,2,0,0,3,45,0,2,7,13,1,5,5,1,0,1,7,4,0,4,5,32,2,64,2,0,32,0,5,40,18,3,2,0,0,32,3,50,14,1,32,2,30,19,13,2,2,2.78125,2.732532501356158,2.764705882352941,1.640480560868746,13.953125,6.267653639349987,2.828125,1.7325519071909827
ET,ETH,Ethiopia,2020-12-25,2020-12-24,100,1,97475.2080201792,0,0,45,93,17393709.81746834,58,9,4,87,11,11,78,10,1,89,9,9,82,10,5,85,9,12,79,10,10,80,9,4,87,9,6,85,11,5,84,9,6,85,8,14,78,11,6,83,9,15,76,96,1,1,2,89,2,7,2,99,0,1,0,91,3,4,2,95,2,3,0,88,3,3,6,90,2,5,3,96,2,1,1,94,1,3,2,95,2,2,1,94,2,3,1,86,3,6,5,94,1,2,3,85,3,7,5,6,1,20,73,81,0,10,9,8,0,37,55,63,1,10,26,90,2,8,0,90,0,5,5,0,95,0,5,0,20,1,30,49,100,13,0,44,26,9,8,18,6,39,12,25,18,14,47,7,14,18,12,52,8,10,18,13,44,12,13,18,15,17,8,42,71,11,12,6,71,12,5,12,71,14,5,10,71,10,11,8,71,13,4,12,71,13,6,10,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20,11,34,35,20,10,52,18,20,12,45,23,20,13,37,30,20,14,21,45,20,11,38,31,23,0,34,43,66,0,21,5,3,5,24,2,4,6,39,25,24,3,66,7,27,2,24,47,27,0,35,19,9,0,7,3,27,0,14,19,25,15,27,1,15,34,19,4,28,1,3,62,6,32,1,3,59,5,67,0,27,6,49,2,37,12,56,1,31,12,64,1,23,12,80,0,16,4,63,2,30,5,34,2,1,6,14,12,31,34,1,1,7,7,18,32,36,3,30,14,9,8,36,1,7,18,16,22,36,1,15,19,13,16,67,2,25,6,67,7,14,12,67,4,16,13,38,0,44,18,82,0,8,10,92,0,2,1,0,3,0,0,2,48,0,2,3,8,1,3,11,1,0,3,6,1,1,4,8,40,4,54,2,0,40,2,4,32,14,7,1,0,0,42,1,43,12,2,42,1,29,14,10,2,2,3.1714285714285717,2.7810885964874625,2.388888888888889,1.3779306261410682,14.357142857142858,5.642141989862204,2.5535714285714284,1.4637392074862474
ET,ETH,Ethiopia,2020-12-26,2020-12-25,100,0,0,0,0,41,93,16971924.732970845,57,10,4,86,12,7,81,12,1,87,10,6,84,12,5,83,12,9,79,12,6,82,12,2,86,11,4,85,13,5,82,10,9,81,12,15,73,13,3,84,11,17,72,96,1,1,2,93,2,1,4,99,0,0,1,94,2,2,2,95,1,2,2,91,2,3,4,94,2,2,2,98,1,1,0,96,1,0,3,95,2,1,2,91,3,4,2,85,3,5,7,97,1,0,2,83,3,9,5,6,1,19,74,81,0,8,11,7,1,33,59,67,2,8,23,92,5,3,0,92,0,3,4,1,97,1,1,1,18,1,34,47,100,10,0,47,23,8,12,15,3,41,14,27,15,10,43,15,17,15,12,44,14,15,15,13,39,17,16,15,13,16,7,49,66,13,11,10,66,16,5,13,66,17,5,12,66,14,10,10,66,17,5,12,66,17,4,13,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,12,38,33,17,11,52,20,17,14,47,22,17,14,40,29,17,14,23,46,17,13,38,32,20,0,40,40,60,1,22,8,5,4,22,2,2,8,36,30,22,1,72,5,24,2,19,55,24,1,37,20,10,2,4,2,24,1,17,14,24,20,24,2,16,32,23,3,25,1,5,66,3,27,2,3,64,4,63,3,29,5,49,4,41,6,54,3,31,12,61,3,24,12,78,2,16,4,63,2,30,5,30,2,0,5,11,16,36,30,0,1,4,9,23,33,34,3,22,21,8,12,34,2,8,16,15,25,34,1,16,19,15,15,66,2,29,3,66,12,12,10,66,10,14,10,36,0,43,21,79,0,9,12,92,0,4,0,0,2,0,1,1,50,0,5,2,6,0,4,10,2,0,3,5,1,2,2,8,41,3,55,1,0,41,3,5,28,18,4,1,0,0,43,1,40,12,4,43,1,24,23,6,1,2,2.9411764705882355,2.3217179698556847,2.375,1.3601470508735443,14.622641509433961,5.661021975873328,2.462962962962963,1.4236938795799183
ET,ETH,Ethiopia,2020-12-27,2020-12-26,100,1,155204.675402267,0,0,35,95,15256923.963847257,57,4,3,93,5,6,89,6,2,92,4,5,91,6,12,82,7,5,88,6,7,87,6,2,92,6,5,89,6,5,89,5,7,88,6,14,80,7,3,90,7,9,84,97,1,1,1,94,1,1,4,98,0,1,1,95,1,1,3,88,1,3,8,95,1,3,1,93,2,2,3,98,0,1,1,95,2,0,3,95,2,1,2,93,1,2,4,86,1,6,7,97,0,1,2,91,1,6,2,3,2,17,78,83,1,7,9,5,2,31,62,69,2,8,21,92,3,5,0,92,0,1,6,1,99,1,0,0,17,2,27,54,100,9,0,39,28,10,14,15,5,41,16,23,15,10,40,17,18,15,11,44,16,14,15,9,41,19,16,15,11,18,9,47,74,6,11,9,74,7,6,13,74,7,7,12,74,10,3,13,74,9,3,14,74,10,4,12,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,19,5,37,39,19,6,53,22,19,6,54,21,19,7,50,24,19,7,33,41,19,6,36,39,23,0,46,31,54,1,25,9,6,5,24,0,1,12,34,29,24,0,73,3,25,2,14,59,25,1,39,19,8,3,5,0,25,1,9,8,33,24,25,2,13,34,20,6,26,1,3,63,7,29,2,2,61,6,64,4,25,7,48,4,42,6,47,4,35,14,50,4,28,18,68,3,20,9,64,4,26,6,31,2,1,7,7,11,41,31,0,2,5,9,17,36,37,1,18,22,12,10,37,1,5,12,16,29,37,0,8,19,16,20,73,3,22,2,73,11,7,9,73,11,9,7,38,0,44,18,82,1,9,8,92,0,4,2,0,1,0,1,0,48,0,6,6,7,0,4,3,3,0,1,7,5,2,3,5,40,2,57,1,0,40,1,1,22,24,7,3,2,0,43,1,43,9,4,43,0,20,16,10,4,7,2.5588235294117645,1.8779611199155426,2.5,1.381698559415515,13.857142857142858,6.493153237144413,2.9814814814814814,1.523287665206854
ET,ETH,Ethiopia,2020-12-28,2020-12-26,100,1,155204.675402267,0,0,32,95,15314104.242347855,56,4,3,93,5,6,89,6,2,92,4,5,91,6,13,81,7,5,88,6,7,87,6,3,91,6,5,89,6,5,89,5,7,88,6,13,81,7,3,90,7,9,84,97,1,1,1,94,1,1,4,98,0,1,1,95,1,1,3,87,1,3,9,95,1,3,1,93,2,2,3,97,0,2,1,95,2,0,3,95,2,1,2,93,1,2,4,87,1,6,6,97,0,1,2,91,1,6,2,3,2,16,79,84,1,7,8,5,2,30,63,70,2,8,20,92,3,5,0,92,0,1,6,1,99,1,0,0,17,2,25,56,100,9,0,38,30,10,13,15,7,41,15,22,15,12,39,17,17,15,13,43,15,14,15,9,42,19,15,15,13,17,9,46,76,5,10,9,76,6,6,12,76,6,7,11,76,9,3,12,76,9,2,13,76,9,4,11,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,19,5,37,39,19,6,54,21,19,6,55,20,19,7,50,24,19,7,33,41,19,6,36,39,23,0,46,31,54,1,25,9,6,5,24,0,1,12,35,28,24,0,73,3,25,2,14,59,25,1,38,20,8,3,5,0,25,1,8,8,33,25,25,2,12,36,19,6,26,1,3,63,7,29,2,2,61,6,64,4,25,7,47,4,43,6,46,4,36,14,50,4,27,19,68,3,20,9,64,4,26,6,31,2,1,7,7,12,40,31,0,2,5,9,17,36,37,1,19,21,12,10,37,1,5,11,16,30,37,0,8,18,16,21,74,4,20,2,74,11,6,9,74,11,8,7,38,0,45,17,83,1,8,8,93,0,3,2,0,1,0,1,0,49,0,6,6,7,0,3,3,3,0,1,7,5,1,3,6,41,2,56,1,0,41,1,1,21,24,7,3,2,0,44,1,42,9,4,44,0,20,16,9,4,7,2.823529411764706,2.2491828581535485,2.4545454545454546,1.4396969378057567,13.781818181818181,6.528260244366933,2.9622641509433962,1.5059148018466715
ET,ETH,Ethiopia,2020-12-30,2020-12-27,100,1,221754.427356948,0,0,35,97,15942435.394606037,65,6,2,92,6,9,85,5,0,95,6,7,87,5,4,91,5,6,89,4,3,93,5,4,91,7,1,92,6,1,93,5,6,89,5,10,85,7,1,92,5,9,86,98,1,0,1,91,1,5,3,100,0,0,0,93,1,1,5,96,1,1,2,94,2,2,2,97,1,1,1,96,0,4,0,99,1,0,0,99,1,0,0,94,0,1,5,90,1,6,3,99,0,0,1,91,1,5,3,3,0,22,75,81,0,9,10,7,2,30,61,70,0,7,23,93,1,6,0,93,0,3,4,0,97,1,2,0,16,0,28,56,100,11,0,50,21,11,7,15,5,41,17,22,15,9,39,16,21,15,7,56,10,12,15,6,43,21,15,15,9,10,12,54,72,10,13,5,72,15,5,8,72,13,8,7,72,16,5,7,72,15,4,9,72,15,4,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,18,3,49,30,18,6,55,21,18,4,58,20,18,4,47,31,18,5,37,40,18,4,46,32,19,0,41,40,59,0,25,7,3,6,19,1,0,8,38,34,19,1,74,6,20,3,20,57,20,0,31,29,11,6,2,1,20,1,9,16,36,18,20,0,15,38,21,6,20,0,2,73,5,21,3,2,70,4,51,2,39,8,45,3,42,10,42,3,39,16,53,3,34,10,63,3,23,11,54,3,35,8,23,3,0,4,10,22,38,23,0,1,2,16,17,41,26,1,23,27,10,13,26,1,11,16,13,33,26,0,16,19,20,19,66,1,29,4,66,12,16,6,66,12,20,2,27,1,54,18,82,0,7,11,94,1,1,1,0,1,0,0,2,41,4,1,4,8,2,5,7,1,1,4,5,6,1,1,9,32,1,66,1,0,32,1,2,34,18,10,3,0,0,35,3,40,18,4,35,2,22,20,12,5,4,3.4545454545454546,3.173039838732224,1.9285714285714284,1.1411388181101378,13.661538461538461,6.454835694744975,3.2622950819672125,1.8248437316134065
ET,ETH,Ethiopia,2020-12-31,2020-12-30,100,2,275673.219486885,2,275673.219486885,41,89,14550212.014140816,57,6,3,91,6,8,86,5,4,91,6,15,79,6,12,82,6,13,81,3,9,88,7,6,87,5,3,92,7,6,87,6,13,81,8,11,81,6,4,90,8,16,76,97,0,1,2,92,1,3,4,96,1,0,3,85,1,6,8,88,1,8,3,87,1,3,9,91,0,5,4,94,1,4,1,97,1,2,0,94,1,1,4,87,2,10,1,89,1,5,5,96,0,1,3,84,1,11,4,11,0,16,73,85,0,4,11,13,2,28,57,72,0,8,20,92,1,7,0,92,1,3,4,0,97,2,1,0,23,0,30,47,100,14,1,46,25,4,10,17,6,43,17,17,17,11,47,11,14,17,10,49,12,12,17,9,50,10,14,17,14,20,7,42,71,7,13,9,71,10,5,14,71,13,4,12,71,10,7,12,71,12,5,12,71,11,3,15,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,7,33,39,21,7,52,20,21,6,52,21,21,6,39,34,21,7,32,40,21,5,36,38,24,2,35,39,65,0,17,12,3,3,26,0,0,13,32,29,26,4,66,4,29,2,19,50,29,0,36,21,7,5,2,0,29,0,24,9,26,12,29,2,15,28,19,7,30,0,5,57,8,33,2,5,53,7,68,2,24,6,51,2,39,8,51,2,37,10,64,2,27,7,71,0,22,7,66,2,25,7,33,2,2,2,13,13,35,33,1,2,8,8,19,29,35,0,24,18,12,11,35,0,6,16,17,26,35,0,14,18,15,18,68,4,22,6,68,8,14,10,68,5,15,12,37,0,40,23,77,1,8,14,93,0,1,0,0,0,1,1,4,53,3,3,3,4,1,5,10,2,0,0,4,4,2,2,4,41,3,55,1,0,41,1,4,29,13,5,6,0,1,42,1,39,16,2,42,1,28,8,9,6,6,2.40625,1.8466949553362935,3.5000000000000004,1.509230856356236,15.166666666666668,5.500428799751168,2.7735849056603774,2.0157219496322694
ET,ETH,Ethiopia,2021-01-01,2020-12-31,100,1,244568.590625447,1,244568.590625447,37,98,14721299.989722218,62,1,4,95,3,10,87,4,0,96,3,7,90,3,7,90,4,8,88,3,4,93,4,4,92,3,5,92,4,2,94,3,3,94,3,13,84,4,1,95,4,14,82,96,0,3,1,90,0,6,4,100,0,0,0,93,1,3,3,93,0,4,3,92,0,7,1,96,0,3,1,96,0,3,1,95,0,2,3,98,0,2,0,97,0,2,1,87,0,2,11,99,1,0,0,86,2,7,5,2,0,17,81,84,1,5,10,3,3,33,61,68,0,7,25,93,2,5,0,93,0,4,3,0,96,3,1,0,15,1,30,54,100,7,1,53,20,4,15,9,12,38,20,21,9,11,52,16,12,9,12,64,8,7,9,12,54,17,8,9,17,20,10,44,71,8,11,10,71,11,5,13,71,14,6,9,71,12,1,16,71,10,6,13,71,13,1,15,31,7,5,57,31,8,4,57,31,8,4,57,31,7,7,55,31,8,7,54,31,8,20,41,31,8,9,52,74,3,0,23,74,2,7,17,74,2,10,14,74,4,4,18,74,4,8,14,19,7,37,37,19,9,48,24,19,9,53,19,19,8,47,26,19,8,29,44,19,8,41,32,21,1,42,36,58,1,14,18,4,5,22,0,0,6,42,30,22,3,68,7,23,4,20,53,23,0,40,18,9,6,2,2,23,1,14,14,23,25,24,1,17,33,20,5,26,1,2,61,10,27,1,2,63,7,63,3,30,4,52,2,37,9,48,4,34,14,54,3,28,15,72,1,21,6,60,2,34,4,28,2,0,2,9,16,43,28,0,2,4,7,14,45,30,1,21,25,11,12,30,1,7,14,17,31,30,1,13,8,21,27,81,0,16,3,81,2,9,8,81,2,8,9,33,2,41,24,76,0,6,18,95,0,1,1,0,0,1,0,2,54,2,2,1,6,2,2,7,2,0,0,6,4,2,3,7,36,4,57,2,1,36,0,1,31,21,6,5,0,0,36,3,39,22,0,36,1,29,14,12,3,5,3.166666666666666,2.3501039350946007,2.8,2.1499353995462798,16.091666666666665,4.979186907506787,2.5,1.8281425718903586
