ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AO,AGO,Angola,2020-12-22,2020-12-21,100,2,245982.02998439962,1,55047.0642033116,29,86,11434691.443552487,35,11,6,83,10,12,78,10,3,87,9,22,69,13,11,76,11,14,75,10,12,78,6,7,87,10,3,87,9,5,86,9,13,78,7,22,71,11,6,83,11,22,67,94,1,1,4,89,1,5,5,98,0,1,1,79,1,6,14,89,1,4,6,86,0,8,6,88,1,3,8,95,1,2,2,97,1,1,1,95,0,2,3,88,1,7,4,78,2,5,15,94,2,1,3,78,1,13,8,14,0,10,76,92,7,1,16,2,32,50,68,0,13,19,87,2,11,0,87,7,6,0,93,3,4,0,33,2,20,45,100,0,21,1,33,25,11,9,34,3,33,19,11,34,9,35,15,7,34,9,35,10,12,34,9,25,21,11,34,9,11,13,33,0,80,8,6,6,80,11,2,7,80,5,13,2,80,11,0,9,80,9,5,6,80,11,1,8,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,26,3,32,39,26,6,40,28,26,7,25,42,26,4,44,26,26,7,16,51,26,5,30,39,30,1,39,30,61,0,20,8,5,6,32,2,1,8,26,31,32,5,58,5,37,0,12,51,37,0,40,14,2,1,0,6,37,1,14,19,14,15,38,0,21,31,6,4,100,100,70,0,30,0,62,0,37,1,76,0,22,2,58,0,34,8,86,0,13,1,71,0,28,1,41,2,0,3,8,14,32,41,0,2,4,9,13,31,45,0,35,8,7,5,45,0,24,11,10,10,45,0,31,10,6,8,60,8,27,5,60,15,12,13,60,7,25,8,47,1,24,28,72,1,16,11,85,0,5,0,2,1,1,0,6,62,0,0,9,1,4,2,0,3,1,0,3,4,3,1,1,6,64,1,22,12,1,64,0,11,7,12,5,0,1,0,65,2,26,5,2,65,2,4,14,11,3,1,3.571428571428572,4.126906696912037,4.8,3.5637059362410928,10.481481481481481,4.6522977810835195,3.34375,2.308600679367091
AO,AGO,Angola,2020-12-23,2020-12-22,100,1,17474.0119264918,0,0,49,85,10252363.356879937,38,8,5,87,8,11,81,11,4,85,7,20,73,10,7,83,10,17,73,10,10,80,9,5,86,12,1,87,8,5,87,9,9,82,6,19,75,10,7,83,9,21,70,95,0,2,3,89,2,3,6,96,0,0,4,80,2,7,11,93,0,2,5,83,1,7,9,90,2,1,7,95,1,3,1,99,0,0,1,95,0,3,2,91,1,4,4,81,2,1,16,93,1,4,2,79,1,11,9,15,0,10,75,92,5,3,19,2,27,52,73,1,9,17,91,0,9,0,91,5,4,0,95,3,2,0,33,1,20,46,100,0,25,0,31,24,14,6,31,5,36,16,12,31,11,35,12,11,31,12,37,12,8,31,14,30,16,9,31,15,15,16,23,0,81,8,6,5,81,9,5,5,81,4,12,3,81,9,1,9,81,8,7,4,81,10,2,7,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,33,5,26,36,33,11,36,20,33,10,32,25,33,8,27,32,33,11,11,45,33,10,20,37,36,1,32,31,68,1,22,4,4,1,36,2,0,7,25,30,36,2,58,4,39,2,13,46,39,2,38,15,0,0,0,6,39,2,20,15,15,9,41,1,22,23,10,3,100,100,75,1,23,1,65,0,34,1,69,0,31,0,73,0,22,5,89,0,10,1,81,0,19,0,45,1,0,3,16,7,28,45,1,2,4,14,9,25,48,1,30,13,6,2,48,0,20,10,13,9,48,0,26,12,9,5,62,5,26,7,62,11,11,16,62,7,23,8,48,1,26,25,75,0,12,13,89,2,5,1,0,0,1,0,2,65,1,2,3,4,7,0,1,0,2,0,2,4,3,1,1,4,61,0,26,10,3,61,0,2,9,17,4,5,2,0,61,3,23,12,1,61,2,7,13,7,7,3,2.46875,2.6516504294495533,8.8,12.029131306956458,10.727272727272727,5.251623125715082,3,2.3664319132398464
AO,AGO,Angola,2020-12-24,2020-12-23,100,1,17474.0119264918,0,0,46,82,9775466.619372847,42,9,4,87,9,11,80,11,6,83,9,21,70,9,13,78,12,16,72,10,10,80,9,8,83,11,3,86,10,8,82,8,12,80,8,20,72,11,7,82,10,19,71,96,0,1,3,89,2,6,3,94,0,2,4,79,2,6,13,87,0,10,3,84,1,3,12,90,2,5,3,92,2,2,4,97,0,2,1,92,0,5,3,88,1,6,5,80,1,7,12,93,1,4,2,81,1,9,9,18,0,6,76,94,4,2,20,1,30,49,70,1,7,22,93,0,7,0,93,3,4,0,97,1,2,0,29,1,22,48,100,0,23,0,27,20,16,14,29,6,31,16,18,29,9,34,13,15,29,9,36,12,14,29,11,29,14,17,29,12,16,13,30,0,80,10,5,5,80,11,6,3,80,7,9,4,80,11,2,7,80,11,4,5,80,13,2,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,31,4,26,39,31,6,40,23,31,7,28,34,31,5,37,27,31,9,9,51,31,5,23,41,34,2,29,35,71,1,19,4,2,3,34,2,1,7,29,27,34,1,62,3,35,2,11,52,35,2,47,11,2,0,0,3,35,3,18,11,22,11,37,1,21,25,11,5,100,100,75,1,21,3,61,0,38,1,73,1,22,4,63,0,27,10,91,0,8,1,78,0,21,1,41,1,1,2,6,13,36,41,1,1,3,10,8,36,44,1,27,18,5,5,44,0,12,15,11,18,44,0,24,11,15,6,67,2,22,9,67,6,12,15,67,1,26,6,47,0,25,28,72,1,13,14,88,2,3,0,1,0,1,2,3,64,1,4,2,5,4,0,0,1,1,0,3,3,7,0,2,3,56,0,38,3,3,56,1,4,15,10,3,7,4,0,57,0,24,15,4,57,0,12,7,10,10,4,2.6129032258064515,2.6792712859387557,11,12.806248474865697,11.176470588235293,5.680752128154596,3.116279069767442,2.227632763673041
AO,AGO,Angola,2020-12-25,2020-12-24,100,2,259793.8071520544,0,0,33,87,9897627.992984023,37,8,5,87,8,7,85,6,4,90,10,19,71,7,14,79,7,15,78,6,10,84,7,7,86,7,5,88,8,11,81,8,11,81,8,18,74,8,7,85,7,16,77,95,2,1,2,93,0,5,2,96,0,3,1,81,2,6,11,86,2,6,6,85,2,7,6,90,1,7,2,93,2,2,3,95,2,2,1,89,1,5,5,89,2,5,4,82,2,8,8,93,2,3,2,84,3,7,6,12,1,8,79,92,7,1,12,3,27,58,73,1,6,20,94,0,6,0,94,2,4,0,98,1,1,0,23,1,19,57,100,0,15,1,26,25,19,14,23,7,37,16,17,23,12,40,12,13,23,11,47,9,10,23,12,32,15,18,23,12,20,11,34,0,81,6,10,3,81,8,5,6,81,6,10,3,81,10,0,9,81,9,4,6,81,10,4,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,27,5,26,42,27,5,43,25,27,7,25,41,27,6,39,28,27,6,16,51,27,5,23,45,31,1,28,40,72,1,17,3,4,3,31,0,4,13,26,26,31,2,64,3,32,0,10,58,32,1,47,10,4,1,3,2,32,2,17,11,25,13,34,0,24,25,6,11,100,100,75,0,22,3,58,1,38,3,76,1,15,8,61,0,27,12,85,1,9,5,78,0,20,2,36,0,4,4,3,16,37,36,2,3,5,7,15,32,37,4,26,14,8,11,37,4,16,18,7,18,37,2,29,11,12,9,62,3,21,14,62,7,12,19,62,3,30,5,42,1,27,30,70,1,11,18,90,0,3,0,1,1,1,1,3,63,0,3,2,3,9,0,0,3,1,0,2,4,4,0,2,4,57,0,39,2,2,57,1,9,11,8,5,6,3,0,60,1,20,14,5,60,1,12,6,9,10,2,4.064516129032258,4.2342687985134475,6,5.522680508593631,10.5625,5.369793051818183,3.216216216216216,2.1099649172325003
AO,AGO,Angola,2020-12-26,2020-12-25,100,1,45624.9468854685,0,0,44,89,8936523.138789253,36,9,3,88,8,8,84,7,1,92,9,11,80,7,13,80,7,8,85,6,7,87,10,6,84,6,5,89,9,5,86,9,10,81,9,16,75,7,5,88,7,16,77,97,2,0,1,92,1,4,3,99,0,1,0,89,1,3,7,87,2,4,7,92,1,5,2,93,1,5,1,94,1,2,3,95,1,3,1,95,1,2,2,90,2,5,3,84,2,7,7,95,1,2,2,84,1,9,6,10,1,13,76,87,8,5,12,2,28,58,72,1,7,20,93,0,7,0,93,1,6,0,99,1,0,0,23,0,21,56,100,0,16,2,31,25,14,12,22,8,40,18,12,22,13,34,20,11,22,12,41,16,9,22,15,27,19,17,22,16,15,12,35,0,79,4,13,4,79,8,3,10,79,6,9,6,79,9,0,12,79,9,3,9,79,9,3,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,25,5,28,42,25,8,36,31,25,11,23,41,25,10,34,31,25,8,15,52,25,8,15,52,30,0,30,40,70,2,17,5,4,2,32,1,3,13,21,30,32,2,64,2,34,0,9,57,34,1,45,10,3,1,3,3,34,2,20,12,21,11,37,0,26,23,6,8,100,100,73,1,24,2,65,3,30,2,78,1,16,5,66,1,25,8,86,2,8,4,86,2,12,0,39,1,3,3,3,10,41,39,2,2,3,6,11,37,39,2,29,10,10,10,39,3,16,13,9,20,39,1,29,7,9,15,64,4,21,11,64,11,9,16,64,7,19,10,41,1,29,29,71,0,11,18,89,0,4,0,0,2,0,0,5,60,0,1,4,0,13,0,0,3,0,1,3,2,3,0,1,9,58,1,34,4,3,58,1,6,8,8,10,5,2,2,61,3,20,13,3,61,2,9,6,11,6,5,3.8,4.483958335326186,4.1,4.748099034818508,9.823529411764707,6.156891129287297,2.870967741935484,2.012327598973735
AO,AGO,Angola,2020-12-27,2020-12-26,100,3,164888.35278433896,2,119263.40589887046,37,87,9834195.82948873,49,9,5,86,5,12,83,5,7,88,6,13,81,7,18,75,6,8,86,5,8,87,8,7,85,5,5,90,7,7,86,7,10,83,6,20,74,5,9,86,5,19,76,95,2,2,1,88,4,4,4,93,2,4,1,87,1,5,7,82,3,6,9,92,0,4,4,92,3,3,2,93,2,3,2,95,1,3,1,93,3,4,0,90,2,4,4,80,1,10,9,91,1,4,4,81,1,13,5,13,0,15,72,85,10,5,15,0,30,55,71,0,9,20,91,1,7,1,91,4,5,0,96,3,1,0,25,1,13,61,100,0,18,1,36,23,13,9,24,6,38,22,10,24,10,34,26,6,24,12,37,21,6,24,13,31,26,6,24,15,14,15,32,0,87,3,6,4,87,7,3,3,87,5,7,1,87,7,2,4,87,7,4,2,87,8,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,25,5,24,46,25,4,46,25,25,8,25,42,25,6,38,31,25,6,13,56,25,5,28,42,28,0,33,39,67,1,16,10,3,3,30,1,1,5,26,37,30,0,69,1,31,1,13,55,31,0,48,11,2,0,1,7,31,0,16,13,24,16,33,2,27,27,8,3,100,100,76,2,21,1,54,2,40,4,75,1,23,1,62,2,29,7,87,1,12,0,72,2,26,0,37,2,0,3,5,17,36,37,1,1,4,4,15,38,39,0,32,11,11,7,39,0,20,10,15,16,39,0,25,14,10,12,61,5,28,6,61,7,16,16,61,7,18,14,39,0,33,28,72,0,15,13,85,0,6,0,0,1,0,0,8,52,1,4,4,1,8,2,0,2,1,2,1,3,3,0,4,12,51,2,40,5,2,51,0,6,10,15,8,6,2,2,51,2,21,17,9,51,1,8,14,13,11,2,3.076923076923077,3.608357370740842,2.6923076923076925,2.52931530209974,9.512195121951219,5.133819003527063,3.372093023255814,2.4787021931989357
AO,AGO,Angola,2020-12-28,2020-12-26,100,3,164888.35278433896,2,119263.40589887046,37,87,9793750.78757909,48,9,5,86,5,12,83,5,7,88,6,14,80,7,18,75,6,8,86,5,8,87,8,7,85,5,5,90,7,7,86,7,10,83,6,19,75,5,9,86,5,19,76,95,2,2,1,88,4,4,4,93,2,4,1,86,1,5,8,82,3,6,9,92,0,4,4,92,3,3,2,93,2,3,2,95,1,3,1,93,3,4,0,90,2,4,4,81,1,10,8,91,1,4,4,81,1,13,5,13,0,15,72,85,10,5,15,0,32,53,69,0,10,21,90,1,8,1,90,4,6,0,96,3,1,0,26,1,14,59,100,0,18,1,37,22,13,9,24,6,40,20,10,24,10,36,24,6,24,12,38,20,6,24,13,33,24,6,24,15,15,14,32,0,86,4,6,4,86,8,3,3,86,5,8,1,86,8,2,4,86,8,4,2,86,9,1,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,25,5,26,44,25,5,46,24,25,8,27,40,25,6,39,30,25,6,13,56,25,5,28,42,28,0,34,38,66,1,16,10,3,4,30,1,1,5,25,38,30,0,69,1,31,2,12,55,31,0,47,12,2,0,1,7,31,0,15,13,24,17,34,2,27,26,8,3,100,100,74,2,23,1,54,2,40,4,73,1,25,1,61,2,30,7,87,1,12,0,72,2,26,0,37,2,0,3,5,17,36,37,1,1,4,4,15,38,39,0,33,10,11,7,39,0,21,10,15,15,39,0,25,15,10,11,60,5,29,6,60,7,17,16,60,7,18,15,39,0,33,28,72,0,15,13,85,0,6,0,0,1,0,0,8,52,1,4,4,2,8,2,0,2,1,1,1,3,3,0,4,12,52,2,39,5,2,52,0,6,10,15,8,5,2,2,52,2,21,16,9,52,1,8,14,13,10,2,3.1315789473684212,3.640396864551542,2.6923076923076925,2.52931530209974,9.35,5.091722795443702,3.3333333333333335,2.4955244491735127
AO,AGO,Angola,2020-12-30,2020-12-27,100,1,78653.9331627645,1,78653.9331627645,29,87,8558229.077495981,58,5,2,93,4,9,87,5,2,93,3,20,77,4,17,79,5,9,86,5,5,90,5,4,91,5,4,91,5,5,90,4,8,88,7,12,81,7,6,87,4,13,83,98,0,1,1,91,1,6,2,98,0,2,0,80,2,6,12,83,1,5,11,91,0,3,6,95,1,2,2,96,1,1,2,96,2,0,2,95,1,4,0,92,0,3,5,88,1,6,5,94,0,2,4,87,2,8,3,13,0,14,73,86,9,5,13,0,33,54,67,0,12,21,88,1,11,0,88,4,7,1,96,2,2,0,25,3,11,61,100,0,15,1,37,20,12,15,21,7,39,21,12,21,11,39,16,13,21,9,42,15,13,21,11,37,17,14,21,18,18,13,30,0,89,7,2,2,89,7,3,1,89,2,8,1,89,6,0,5,89,5,2,4,89,7,0,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,23,4,31,42,23,3,41,33,23,4,22,51,23,3,43,31,23,5,11,61,23,4,22,51,24,0,41,35,59,1,15,15,4,6,25,1,3,13,24,34,25,0,71,4,26,4,12,58,26,0,49,16,4,0,1,4,26,1,12,13,28,20,28,1,30,24,14,3,100,100,70,0,28,2,60,1,36,3,79,1,19,1,58,0,32,10,90,0,9,1,78,0,20,2,28,1,1,2,4,20,44,28,2,1,4,8,14,43,31,0,36,14,11,8,31,2,24,11,13,19,31,1,27,18,14,9,56,5,33,6,56,7,15,22,56,6,21,17,32,1,36,31,69,0,19,12,82,1,5,1,0,1,1,0,9,46,1,5,7,2,5,1,0,2,3,2,4,2,4,0,5,11,41,3,49,5,2,41,0,9,19,14,8,6,2,1,42,3,29,13,13,42,1,9,14,21,9,4,2.3870967741935485,2.124106390223721,2.3636363636363638,1.1200649331826502,11.232558139534884,5.1999872220645456,2.9859649122807017,2.313889628532999
AO,AGO,Angola,2020-12-31,2020-12-30,100,5,470737.73276789614,2,336249.94863943255,28,85,9418816.205158383,39,9,6,85,10,12,78,10,3,87,9,20,71,8,15,77,11,17,72,10,7,83,9,9,82,11,4,85,11,5,84,9,14,77,9,17,74,11,8,81,13,11,76,94,2,3,1,88,2,6,4,97,2,0,1,80,3,7,10,85,2,6,7,83,3,6,8,93,1,4,2,91,4,5,0,96,1,0,3,95,2,3,0,86,1,5,8,83,2,6,9,92,1,3,4,89,1,5,5,13,2,13,72,90,6,4,17,0,25,58,76,0,12,12,88,1,11,0,88,5,6,1,95,1,4,0,30,2,18,50,100,0,19,3,33,22,14,9,26,9,31,21,13,26,14,36,13,11,26,9,43,14,8,26,9,32,21,12,26,14,16,18,26,0,82,9,7,2,82,8,6,4,82,5,11,2,82,10,2,6,82,9,4,5,82,9,3,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,28,9,32,31,28,6,43,23,28,7,23,42,28,6,34,32,28,7,17,48,28,6,25,41,30,0,30,40,70,0,14,6,4,6,31,3,4,8,30,24,31,2,63,4,35,1,13,51,35,0,48,13,3,0,1,0,35,1,12,13,19,20,35,1,20,31,12,1,100,100,69,1,26,4,58,3,36,3,78,3,16,3,67,2,19,12,83,1,9,7,76,3,20,1,37,1,1,0,2,16,43,37,2,2,3,1,13,42,41,0,34,8,8,9,41,1,12,12,19,15,41,1,17,16,12,13,67,5,26,2,67,9,11,13,67,6,20,7,42,1,33,24,76,0,12,12,90,1,0,1,0,3,0,0,5,57,0,1,5,1,4,1,0,6,1,1,3,6,5,0,2,7,58,1,36,4,1,58,0,7,11,15,6,2,1,0,61,0,26,7,6,61,0,3,7,19,5,5,3.34375,2.754578300376162,2.5,1.2692955176439846,11.444444444444445,5.546913913903295,3.6894736842105265,2.6343663758087
AO,AGO,Angola,2021-01-01,2020-12-31,100,4,387822.68965084216,1,257596.01547666802,26,89,11780671.230191289,32,8,5,87,9,11,80,11,4,85,9,16,75,9,7,84,9,17,74,10,4,86,8,7,85,11,1,88,10,3,87,10,9,81,6,12,82,12,2,86,13,11,76,95,1,2,2,89,1,3,7,96,1,1,2,84,1,4,11,93,1,5,1,83,2,6,9,96,1,2,1,93,1,5,1,99,0,0,1,97,0,3,0,91,0,4,5,88,1,6,5,98,0,0,2,89,0,5,6,10,1,15,74,88,8,4,14,1,27,58,74,0,11,15,89,1,10,0,89,5,6,0,95,4,1,0,28,0,17,55,100,0,17,3,33,28,10,9,24,10,30,22,14,24,16,35,15,10,24,12,41,15,8,24,13,27,21,15,24,16,15,14,31,0,83,9,7,1,83,6,8,3,83,6,7,4,83,10,1,6,83,8,5,4,83,9,3,5,63,5,3,29,63,7,2,28,63,6,5,26,63,8,5,24,63,7,9,21,63,5,21,11,63,8,6,23,79,5,5,11,79,3,9,9,79,7,2,12,79,6,3,12,79,6,3,12,27,14,23,36,27,9,45,19,27,11,24,38,27,10,31,32,27,9,18,46,27,8,25,40,29,1,31,39,69,0,17,5,4,5,31,2,2,12,30,23,31,2,64,3,32,0,12,56,32,0,56,6,2,2,2,0,32,1,15,12,26,14,32,1,24,29,9,5,100,100,78,0,17,5,56,2,39,3,77,1,17,5,70,1,18,11,82,0,12,6,76,2,21,1,35,1,1,0,3,16,44,35,1,1,1,4,10,48,40,1,32,8,9,10,40,1,13,9,20,17,40,0,18,14,13,15,69,7,18,6,69,12,6,13,69,8,17,6,45,1,29,25,75,0,12,13,89,1,0,0,1,2,0,0,7,60,0,0,3,1,5,2,1,5,0,1,0,5,3,1,2,11,61,1,30,5,3,61,0,7,9,9,8,4,2,0,67,0,25,5,3,67,0,7,6,11,5,4,3.3666666666666663,3.3164515034465136,2.1,1.1972189997378648,12.40625,4.911207557965694,3.5000000000000004,2.2288431832418967
