ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x11..99,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B9..99,B9.1,B9.2,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1.1,V1.2,V1.3,V2..99,V2..77,V2.1,V2.2,V2.3,V2a..99,V2a..77,V2a.1,V2a.2,V3..99,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V4_6..99,V4_6..77,V4_6.1,V4_6.2,V4_6.3,V5a_1..99,V5a_1.0,V5a_1.1,V5a_2..99,V5a_2.0,V5a_2.1,V5a_3..99,V5a_3.0,V5a_3.1,V5a_4..99,V5a_4.0,V5a_4.1,V5a_5..99,V5a_5.0,V5a_5.1,V5a_6..99,V5a_6.0,V5a_6.1,V5a_7..99,V5a_7.0,V5a_7.1,V5a_8..99,V5a_8.0,V5a_8.1,V5a_9..99,V5a_9.0,V5a_9.1,V5a_10..99,V5a_10.0,V5a_10.1,V5b_1..99,V5b_1.0,V5b_1.1,V5b_2..99,V5b_2.0,V5b_2.1,V5b_3..99,V5b_3.0,V5b_3.1,V5b_4..99,V5b_4.0,V5b_4.1,V5b_5..99,V5b_5.0,V5b_5.1,V5b_6..99,V5b_6.0,V5b_6.1,V5b_7..99,V5b_7.0,V5b_8..99,V5b_8.0,V5b_9..99,V5b_9.0,V5b_9.1,V5b_10..99,V5b_10.0,V5c_1..99,V5c_1.0,V5c_1.1,V5c_2..99,V5c_2.0,V5c_2.1,V5c_3..99,V5c_3.0,V5c_3.1,V5c_4..99,V5c_4.0,V5c_4.1,V5c_5..99,V5c_5.0,V5c_5.1,V5c_6..99,V5c_6.0,V5c_6.1,V5c_7..99,V5c_7.0,V5c_7.1,V5c_8..99,V5c_8.0,V5c_9..99,V5c_9.0,V5c_9.1,V5c_10..99,V5c_10.0,V5c_10.1,V5d_1..99,V5d_2..99,V5d_3..99,V5d_4..99,V5d_5..99,V5d_6..99,V5d_7..99,V5d_8..99,V5d_9..99,V5d_10..99,V6_1..99,V6_1.0,V6_1.1,V6_2..99,V6_2.0,V6_2.1,V6_3..99,V6_3.0,V6_3.1,V6_4..99,V6_4.0,V6_4.1,V6_5..99,V6_5.0,V6_5.1,V6_6..99,V6_6.0,V6_6.1,V6_7..99,V6_7.0,V6_7.1,V9..99,V9..77,V9.1,V9.2,V9.3,V9.4,V10_1..99,V10_1..77,V10_1.0,V10_1.1,V10_2..99,V10_2..77,V10_2.0,V10_2.1,V10_3..99,V10_3..77,V10_3.0,V10_3.1,V10_4..99,V10_4..77,V10_4.0,V10_4.1,V10_5..99,V10_5..77,V10_5.0,V10_5.1,V10_6..99,V10_6..77,V10_6.0,V10_6.1,V10_7..99,V10_7..77,V10_7.0,V10_7.1,V10_8..99,V10_8..77,V10_8.0,V10_8.1,V10_9..99,V10_9..77,V10_9.0,V10_9.1,V10_10..99,V10_10..77,V10_10.0,V10_10.1,V11..99,V11..77,V11.1,V11.2,V12..99,V12..77,V12.1,V12.2,V13..99,V13.1,V13.2,V13.3,V13.4,V15..99,V15.1,V15.2,V16..99,V16..77,V16.1,V16.2,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1.2,B13_2..99,B13_2.2,B13_3..99,B13_3.2,B13_4..99,B13_4.1,B13_4.2,B13_5..99,B13_5.1,B13_5.2,B13_6..99,B13_6.1,B13_6.2,B13_7..99,B13_7.2,B14_1..99,B14_1.2,B14_2..99,B14_2.2,B14_3..99,B14_3.2,B14_4..99,B14_4.2,B14_5..99,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14.1,C14.2,C14.3,C14.4,C9a..99,C9a..77,C9a.1,C9a.2,C9a.3,C12..99,C12.1,C12.2,C12.3,C13_1..99,C13_1.1,C13_1.2,C13_2..99,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4.1,C13_4.2,C13_5..99,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3.1,D3.2,D3.3,D3.4,D4..99,D4.1,D4.2,D4.3,D4.4,D5..99,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9.1,D9.2,D9.3,D9.4,D9.5,D9.7,D10..99,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.10,D10.11,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
EE,EST,Estonia,2021-04-21,2021-03-02,100,3,33876.33209790895,2,19677.19637570065,45,95,2267452.3024723264,69,2,6,92,2,15,83,5,5,90,4,21,75,5,21,74,5,12,83,4,4,92,2,6,92,3,7,90,3,5,92,4,7,89,1,15,84,1,12,87,2,20,78,94,0,4,2,85,0,6,9,95,0,4,1,79,0,4,17,79,0,5,16,88,0,5,7,96,0,1,3,94,0,4,2,93,0,4,3,95,0,5,93,3,4,85,8,7,88,8,4,80,0,9,11,5,16,79,84,1,5,10,5,2,55,38,46,1,24,29,76,4,20,76,10,14,91,3,6,34,2,10,54,10,14,75,1,86,1,7,5,1,91,0,1,8,24,27,23,6,20,29,8,16,32,15,29,7,22,25,17,29,5,21,24,21,29,7,3,22,39,29,3,38,20,10,80,14,6,80,18,2,80,11,9,80,18,2,80,12,8,80,14,6,80,20,0,80,19,1,80,16,4,80,17,3,94,4,2,94,5,1,94,5,1,94,5,1,94,2,4,94,3,3,94,6,94,6,94,6,0,94,6,79,11,10,79,18,3,79,20,1,79,20,1,79,15,6,79,11,10,79,17,4,79,21,79,19,2,79,20,1,100,100,100,100,100,100,100,100,100,100,90,9,1,90,7,3,90,4,6,90,7,3,90,5,5,90,7,3,90,8,2,30,2,19,21,15,13,16,1,82,1,16,1,81,2,16,1,81,2,16,1,80,3,16,1,74,9,16,1,78,5,16,1,81,2,16,1,77,6,16,1,75,8,16,1,23,60,71,1,2,26,31,1,15,53,47,17,11,17,8,52,3,45,52,1,11,36,91,3,3,3,91,4,3,2,91,4,4,1,91,4,1,4,91,5,1,3,91,2,4,3,98,2,98,2,98,2,98,1,1,98,1,1,98,1,1,98,2,99,1,99,1,99,1,99,1,99,1,16,6,32,46,16,3,59,22,16,8,22,54,16,9,33,42,16,10,7,67,16,7,24,53,18,1,35,46,65,23,6,2,4,18,2,9,29,42,18,2,80,21,3,16,60,21,1,49,18,3,3,1,4,21,1,33,17,15,13,21,20,28,17,14,23,0,16,58,3,23,12,56,9,68,25,7,41,57,2,78,1,18,3,67,15,18,93,4,3,76,1,21,2,24,1,1,8,20,46,24,3,0,12,14,47,25,14,27,16,18,25,5,6,12,52,25,12,18,15,30,70,2,24,4,70,8,8,14,70,8,10,12,25,1,41,33,67,13,20,87,2,1,0,1,0,9,48,1,3,4,1,1,1,2,4,1,12,2,1,19,29,2,40,23,1,5,29,1,9,16,8,16,13,3,5,31,1,39,18,11,31,24,18,14,11,2,9.625,23.370853825023985,2.75,2.569046515733026,10.985666666666667,6.67645403871497,2.196969696969697,1.551373554873199
EE,EST,Estonia,2021-04-22,2021-03-02,100,3,33876.33209790895,2,19677.19637570065,45,95,2281161.9583985126,67,2,6,92,2,15,83,5,5,90,4,21,75,5,21,74,5,11,84,4,4,92,2,6,92,3,6,91,3,5,92,4,6,90,1,15,84,1,12,87,2,20,78,94,0,4,2,85,0,6,9,95,0,4,1,79,0,4,17,79,0,5,16,89,0,5,6,96,0,1,3,94,0,4,2,94,0,4,2,95,0,5,94,3,3,85,8,7,88,8,4,80,0,9,11,5,16,79,84,1,5,10,5,2,55,38,46,1,23,30,77,4,19,77,10,13,91,3,6,33,2,10,55,10,13,76,1,87,1,7,4,1,91,0,1,8,23,29,22,6,20,28,8,18,31,15,28,7,24,24,17,28,5,23,23,21,28,7,4,23,38,28,3,40,19,10,80,14,6,80,18,2,80,11,9,80,18,2,80,12,8,80,14,6,80,20,0,80,19,1,80,16,4,80,17,3,94,4,2,94,5,1,94,5,1,94,5,1,94,2,4,94,3,3,94,6,94,6,94,6,0,94,6,80,10,10,80,17,3,80,19,1,80,19,1,80,14,6,80,11,9,80,17,3,80,20,80,18,2,80,19,1,100,100,100,100,100,100,100,100,100,100,90,9,1,90,7,3,90,4,6,90,7,3,90,5,5,90,7,3,90,8,2,29,2,19,21,16,13,16,1,82,1,16,1,81,2,16,1,82,1,16,1,80,3,16,1,73,10,16,1,78,5,16,1,81,2,16,1,77,6,16,1,77,6,16,1,22,61,71,1,2,26,33,1,15,51,46,17,11,18,8,51,3,46,51,1,11,37,91,3,3,3,91,4,3,2,91,4,4,1,91,4,1,4,91,5,1,3,91,2,4,3,98,2,98,2,98,2,98,1,1,98,1,1,98,1,1,98,2,99,1,99,1,99,1,99,1,99,1,17,6,31,46,17,2,59,22,17,7,21,55,17,8,32,43,17,9,7,67,17,6,23,54,19,1,35,45,65,23,6,2,4,19,2,9,28,42,19,2,79,22,3,15,60,22,1,49,17,3,3,1,4,22,1,32,18,14,13,22,21,27,16,14,24,0,17,56,3,25,11,55,9,69,24,7,41,57,2,79,1,17,3,68,15,17,93,4,3,77,1,20,2,26,1,1,8,20,44,26,3,0,12,13,46,27,14,27,15,17,27,5,6,12,50,27,12,18,15,28,70,2,24,4,70,8,8,14,70,8,10,12,27,1,40,32,68,13,19,87,2,1,0,1,0,9,49,1,3,4,1,1,1,2,4,1,12,2,1,18,31,2,38,23,1,5,31,1,9,16,8,15,12,3,5,33,1,37,18,11,33,23,18,14,11,1,8.553191489361701,22.399348312179995,2.75,2.569046515733026,11.002413793103448,6.7861304143974355,2.21875,1.568223643752828
EE,EST,Estonia,2021-04-23,2021-03-03,100,3,33876.33209790895,2,19677.19637570065,50,96,2272181.7223121845,68,2,6,92,2,15,83,5,5,90,4,21,75,5,21,74,5,11,84,4,4,92,2,6,92,3,6,91,3,5,92,4,6,90,1,15,84,1,12,87,2,19,79,94,0,4,2,85,0,6,9,95,0,4,1,79,0,4,17,79,0,5,16,89,0,5,6,96,0,1,3,94,0,4,2,94,0,4,2,95,0,5,94,3,3,85,8,7,88,8,4,81,0,9,10,4,17,79,83,1,5,11,4,2,55,39,46,1,23,30,77,4,19,77,10,13,91,3,6,32,2,11,55,9,13,77,1,87,1,7,4,1,91,0,1,8,22,30,22,6,20,27,9,18,31,15,27,7,24,24,18,27,5,23,23,22,27,8,4,23,38,27,4,40,19,10,80,14,6,80,18,2,80,11,9,80,18,2,80,12,8,80,14,6,80,20,0,80,19,1,80,16,4,80,17,3,94,4,2,94,5,1,94,5,1,94,5,1,94,2,4,94,3,3,94,6,94,6,94,6,0,94,6,80,10,10,80,17,3,80,19,1,80,19,1,80,14,6,80,11,9,80,17,3,80,20,80,18,2,80,19,1,100,100,100,100,100,100,100,100,100,100,90,9,1,90,7,3,90,4,6,90,7,3,90,5,5,90,7,3,90,8,2,28,2,19,21,17,13,15,1,83,1,15,1,82,2,15,1,83,1,15,1,81,3,15,1,74,10,15,1,79,5,15,1,82,2,15,1,78,6,15,1,78,6,15,1,22,62,70,1,2,27,32,1,15,52,45,18,11,18,8,50,3,47,50,1,12,37,90,4,3,3,90,5,3,2,90,4,5,1,90,5,1,4,90,6,1,3,90,3,4,3,98,2,98,2,98,2,98,1,1,98,1,1,98,1,1,98,2,99,1,99,1,99,1,99,1,99,1,16,6,31,47,16,2,60,22,16,7,21,56,16,8,33,43,16,9,7,68,16,6,24,54,18,1,36,45,64,24,6,2,4,18,2,9,28,43,18,2,80,21,3,15,61,21,1,49,18,3,3,1,4,21,1,32,18,15,13,21,21,28,16,14,23,0,17,57,3,24,11,56,9,69,24,7,40,58,2,79,1,17,3,67,16,17,93,4,3,76,1,21,2,25,1,1,8,20,45,25,3,1,12,13,46,26,14,28,15,17,26,6,6,12,50,26,13,18,15,28,69,2,25,4,69,9,8,14,69,9,10,12,26,1,40,33,67,13,20,87,2,1,0,1,0,9,49,1,3,4,1,1,1,2,4,1,12,2,1,18,30,2,38,24,1,5,30,1,9,16,8,15,13,3,5,32,1,38,18,11,32,23,19,14,11,1,8.553191489361701,22.399348312179995,2.8823529411764706,2.5466240628814965,11.002413793103448,6.7861304143974355,2.2153846153846155,1.556160215204275
EE,EST,Estonia,2021-04-25,2021-03-05,100,3,33876.33209790895,2,19677.19637570065,50,96,2292619.89998253,67,2,6,92,2,15,83,5,5,90,4,20,76,5,21,74,5,11,84,4,4,92,2,6,92,3,6,91,3,5,92,4,6,90,1,15,84,1,12,87,2,19,79,94,0,4,2,85,0,6,9,95,0,4,1,80,0,4,16,79,0,5,16,89,0,5,6,96,0,1,3,94,0,4,2,94,0,4,2,95,0,5,94,3,3,85,8,7,88,8,4,81,0,9,10,4,17,79,83,1,5,11,4,2,55,39,46,1,23,30,77,4,19,77,9,14,92,3,5,32,2,11,55,9,13,77,1,87,1,7,4,1,91,0,1,8,22,29,22,6,21,28,9,18,30,15,28,7,23,24,18,28,5,22,23,22,28,8,4,22,38,28,4,39,19,10,79,15,6,79,18,3,79,11,10,79,19,2,79,13,8,79,15,6,79,21,0,79,20,1,79,17,4,79,17,4,94,4,2,94,5,1,94,5,1,94,5,1,94,2,4,94,3,3,94,6,94,6,94,6,0,94,6,80,10,10,80,17,3,80,19,1,80,19,1,80,14,6,80,11,9,80,17,3,80,20,80,18,2,80,19,1,100,100,100,100,100,100,100,100,100,100,90,9,1,90,7,3,90,4,6,90,7,3,90,5,5,90,7,3,90,8,2,29,2,19,21,18,11,16,1,81,2,16,1,81,2,16,1,82,1,16,1,80,3,16,1,73,10,16,1,78,5,16,1,81,2,16,1,77,6,16,1,77,6,16,1,23,60,70,1,2,27,33,1,15,51,46,16,11,19,8,51,3,46,51,1,12,36,90,4,3,3,90,5,3,2,90,4,5,1,90,5,1,4,90,6,1,3,90,3,4,3,98,2,98,2,98,2,98,1,1,98,1,1,98,1,1,98,2,99,1,99,1,99,1,99,1,99,1,17,6,31,46,17,2,59,22,17,7,19,57,17,8,33,42,17,9,7,67,17,6,23,54,19,1,36,44,64,24,6,2,4,19,2,9,27,43,19,2,79,22,3,16,59,22,1,49,17,3,3,1,4,22,1,31,19,14,13,22,21,29,15,13,24,0,15,58,3,25,10,55,10,69,24,7,41,57,2,81,1,15,3,67,16,17,93,4,3,77,1,20,2,26,1,1,8,19,45,26,3,1,12,13,45,27,14,29,14,16,27,6,6,12,49,27,13,17,14,29,70,2,25,3,70,9,8,13,70,9,10,11,27,1,40,32,68,13,19,87,2,1,0,1,0,9,49,1,3,5,1,1,1,2,4,1,11,2,1,18,31,2,37,24,1,5,31,1,9,15,9,14,13,3,5,33,1,37,18,11,33,22,18,14,12,1,8.717391304347826,22.618245381872338,2.8823529411764706,2.5466240628814965,10.914736842105263,6.818469168699913,2.265625,1.5760326672547014
EE,EST,Estonia,2021-04-26,2021-03-06,100,3,33876.33209790895,2,19677.19637570065,47,96,2241317.474977679,69,2,6,92,2,14,84,5,4,91,4,19,77,5,20,75,5,10,85,4,3,93,2,6,92,3,6,91,3,5,92,4,6,90,1,15,84,1,11,88,2,18,80,94,0,4,2,86,0,6,8,96,0,3,1,81,0,4,15,80,0,5,15,90,0,5,5,97,0,1,2,94,0,4,2,94,0,4,2,95,0,5,94,2,4,85,8,7,89,8,3,82,0,9,9,4,16,80,84,1,4,11,4,2,57,37,44,1,23,32,77,4,19,77,9,14,92,3,5,32,1,11,56,9,13,77,1,87,1,7,4,1,91,0,1,8,22,28,22,7,21,28,9,17,32,14,28,7,22,25,18,28,5,21,24,22,28,8,2,23,39,28,4,38,20,10,79,15,6,79,18,3,79,11,10,79,19,2,79,13,8,79,15,6,79,21,0,79,20,1,79,17,4,79,17,4,93,4,3,93,6,1,93,6,1,93,5,2,93,2,5,93,3,4,93,7,93,7,93,7,0,93,7,80,10,10,80,17,3,80,19,1,80,19,1,80,14,6,80,11,9,80,17,3,80,20,80,18,2,80,19,1,100,100,100,100,100,100,100,100,100,100,90,9,1,90,7,3,90,4,6,90,7,3,90,5,5,90,7,3,90,8,2,29,1,20,21,17,12,16,1,81,2,16,1,81,2,16,1,82,1,16,1,80,3,16,1,73,10,16,1,80,3,16,1,80,3,16,1,77,6,16,1,77,6,16,1,22,61,69,1,2,28,31,1,15,53,46,15,10,21,8,52,3,45,52,0,12,36,90,4,3,3,90,5,3,2,90,4,5,1,90,5,1,4,90,6,1,3,90,3,4,3,98,2,98,2,98,2,98,1,1,98,1,1,98,1,1,98,2,99,1,99,1,99,1,99,1,99,1,17,5,30,48,17,1,59,23,17,6,18,59,17,7,33,43,17,8,6,69,17,5,23,55,18,0,37,45,63,24,6,3,4,18,3,9,26,44,18,2,80,21,2,16,61,21,0,50,17,3,4,1,4,21,0,31,20,14,14,21,21,29,15,14,22,0,15,60,3,23,11,56,10,70,23,7,41,57,2,82,1,14,3,67,15,18,94,3,3,77,1,20,2,24,1,1,9,19,46,24,3,1,13,14,45,25,14,29,15,17,25,6,7,12,50,25,14,18,14,29,68,2,26,4,68,9,9,14,68,9,11,12,25,1,42,32,68,13,19,87,2,1,0,1,0,9,47,1,3,5,1,1,1,2,4,1,13,2,1,18,29,2,38,25,1,5,29,1,9,16,9,15,13,3,5,31,1,38,19,11,31,22,18,15,12,2,8.553191489361701,22.399348312179995,2.875,2.6299556396765835,11.137966101694916,6.837796272257609,2.287878787878788,1.5958132868916861
EE,EST,Estonia,2021-04-27,2021-03-07,100,3,33876.33209790895,2,19677.19637570065,48,96,2242311.357924262,69,2,6,92,2,14,84,5,4,91,4,19,77,5,19,76,5,10,85,4,3,93,2,6,92,3,6,91,3,5,92,4,6,90,1,15,84,1,11,88,2,18,80,94,0,4,2,86,0,6,8,96,0,3,1,81,0,4,15,81,0,4,15,90,0,5,5,97,0,1,2,94,0,4,2,94,0,4,2,95,0,5,94,2,4,85,8,7,89,8,3,82,0,9,9,4,17,79,83,1,4,12,4,2,57,37,44,1,21,34,79,4,17,79,8,13,93,3,4,30,1,11,58,9,12,78,1,88,1,7,3,1,91,0,1,8,21,30,22,6,21,27,9,17,34,13,27,7,24,25,17,27,5,23,24,21,27,8,2,25,38,27,4,38,22,9,79,15,6,79,18,3,79,11,10,79,19,2,79,13,8,79,15,6,79,21,0,79,20,1,79,17,4,79,17,4,94,4,2,94,5,1,94,5,1,94,4,2,94,2,4,94,2,4,94,6,94,6,94,6,0,94,6,80,10,10,80,17,3,80,19,1,80,19,1,80,14,6,80,11,9,80,17,3,80,20,80,18,2,80,19,1,100,100,100,100,100,100,100,100,100,100,90,9,1,90,7,3,90,4,6,90,7,3,90,5,5,90,7,3,90,8,2,28,1,20,21,18,12,16,1,81,2,16,1,81,2,16,1,82,1,16,1,80,3,16,1,72,11,16,1,80,3,16,1,80,3,16,1,77,6,16,1,76,7,16,1,23,60,69,2,2,27,31,2,15,52,45,16,11,20,8,50,2,48,50,0,11,39,90,4,3,3,90,5,3,2,90,4,5,1,90,5,1,4,90,6,1,3,90,3,4,3,98,2,98,2,98,2,98,1,1,98,1,1,98,1,1,98,2,99,1,99,1,99,1,99,1,99,1,17,5,30,48,17,1,59,23,17,6,17,60,17,7,33,43,17,8,6,69,17,5,25,53,18,0,37,45,63,24,6,3,4,18,3,8,28,43,18,2,80,21,3,15,61,21,0,50,17,3,4,1,4,21,0,32,20,14,13,21,21,30,14,14,22,0,15,60,3,23,11,56,10,70,23,7,41,57,2,83,1,13,3,67,16,17,94,3,3,75,1,22,2,24,1,1,8,20,46,24,3,1,14,13,45,25,13,30,16,16,25,7,7,12,49,25,15,17,15,28,68,2,26,4,68,8,8,16,68,8,12,12,25,1,44,30,70,13,17,87,2,1,0,1,0,9,45,1,3,5,3,1,1,2,4,2,13,2,1,17,29,4,38,24,1,4,29,2,10,16,8,15,13,3,4,31,1,39,18,11,31,23,18,15,11,2,8.717391304347826,22.618245381872338,2.875,2.6299556396765835,11.43344827586207,6.873599009207836,2.1515151515151514,1.4805656324778689
EE,EST,Estonia,2021-04-28,2021-03-07,100,3,33876.33209790895,2,19677.19637570065,48,96,2338897.178490219,69,2,6,92,2,13,85,5,4,91,4,19,77,5,19,76,5,10,85,4,3,93,2,6,92,3,6,91,3,5,92,4,6,90,1,15,84,1,11,88,2,18,80,94,0,4,2,87,0,6,7,96,0,3,1,81,0,4,15,81,0,4,15,90,0,5,5,97,0,1,2,94,0,4,2,94,0,4,2,95,0,5,94,2,4,85,8,7,89,8,3,82,0,9,9,4,17,79,83,1,4,12,4,2,57,37,44,1,21,34,79,4,17,79,8,13,93,3,4,30,1,11,58,9,12,78,1,88,1,7,3,1,91,0,1,8,21,29,22,6,22,27,9,17,33,14,27,7,23,25,18,27,5,22,24,22,27,8,2,24,39,27,4,38,21,10,78,15,7,78,19,3,78,11,11,78,19,3,78,14,8,78,16,6,78,22,0,78,21,1,78,18,4,78,17,5,94,4,2,94,5,1,94,5,1,94,4,2,94,2,4,94,2,4,94,6,94,6,94,6,0,94,6,80,10,10,80,17,3,80,19,1,80,19,1,80,14,6,80,11,9,80,17,3,80,20,80,18,2,80,19,1,100,100,100,100,100,100,100,100,100,100,89,10,1,89,8,3,89,5,6,89,8,3,89,5,6,89,7,4,89,9,2,28,1,21,21,18,11,16,1,81,2,16,1,81,2,16,1,82,1,16,1,80,3,16,1,72,11,16,1,80,3,16,1,80,3,16,1,77,6,16,1,76,7,16,1,23,60,69,2,2,27,31,2,14,53,46,16,10,20,8,51,2,47,51,0,11,38,90,4,3,3,90,5,3,2,90,4,5,1,90,5,1,4,90,6,1,3,90,3,4,3,98,2,98,2,98,2,98,1,1,98,1,1,98,1,1,98,2,99,1,99,1,99,1,99,1,99,1,17,5,30,48,17,1,59,23,17,6,17,60,17,7,34,42,17,8,7,68,17,5,26,52,18,0,38,44,62,24,6,3,5,18,3,8,28,43,18,2,80,21,3,15,61,21,0,50,16,3,4,2,4,21,0,32,20,14,13,21,21,30,13,15,22,0,14,61,3,23,11,56,10,70,22,8,41,56,3,83,1,12,4,66,16,18,93,3,4,74,1,22,3,24,1,1,8,19,47,24,3,1,14,12,46,25,13,30,16,16,25,7,7,12,49,25,15,17,14,29,68,2,26,4,68,8,8,16,68,8,12,12,25,1,44,30,70,13,17,87,2,1,0,1,0,9,45,1,3,5,3,1,2,2,4,2,12,2,1,17,29,4,38,24,1,4,29,2,10,17,7,15,13,3,4,31,1,39,18,11,31,22,19,15,11,2,8.717391304347826,22.618245381872338,2.875,2.6299556396765835,11.36448275862069,6.938621171591327,2.1666666666666665,1.473701079525584
