ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BE,BEL,Belgium,2020-12-21,2020-12-21,700,3,45420.572767133795,1,12683.486289685901,101,669,6785453.852483838,540,3,6,691,3,75,622,4,23,673,4,169,527,3,153,544,3,96,601,5,33,662,2,23,675,5,30,665,3,8,689,6,40,654,5,108,587,4,26,670,3,112,585,694,1,2,3,626,3,19,52,678,0,8,14,531,4,40,125,548,2,37,113,605,4,31,60,667,1,12,20,677,1,9,13,671,0,10,19,692,1,3,4,660,1,19,20,592,1,33,74,674,0,9,17,589,2,43,66,31,0,65,604,636,0,22,42,36,5,281,378,422,4,41,233,659,3,38,0,659,0,4,33,4,696,0,0,4,0,91,9,31,569,700,0,0,0,0,0,47,2,218,212,128,93,606,0,13,66,15,606,0,44,38,12,606,0,34,47,13,606,0,27,50,17,606,0,7,43,44,0,670,9,4,17,670,8,5,17,670,12,2,16,670,9,4,17,670,11,2,17,670,11,1,18,700,0,0,0,700,0,0,0,700,0,0,0,700,0,0,0,700,0,0,0,700,0,0,0,700,0,0,0,700,0,0,0,700,0,0,0,700,0,0,0,700,0,0,0,700,0,0,0,63,3,173,461,63,1,359,277,63,3,86,548,63,1,267,369,63,2,9,626,63,2,72,563,69,2,214,415,486,2,191,15,4,2,69,2,12,62,246,309,69,3,625,3,70,5,76,549,70,1,458,126,17,12,1,15,70,1,200,191,170,68,72,10,196,332,66,24,76,2,154,460,8,83,4,142,459,12,528,2,152,18,343,1,352,4,614,2,82,2,433,3,133,131,691,1,6,2,628,1,66,5,86,6,4,35,116,146,307,86,3,8,34,147,139,283,92,5,219,262,88,34,92,0,24,59,115,410,92,0,76,127,149,256,500,16,134,50,500,48,50,102,500,38,81,81,98,2,301,299,401,2,68,229,636,2,20,1,7,3,8,1,22,337,1,0,36,14,53,6,17,37,23,17,24,47,5,14,69,143,10,235,308,0,4,143,1,57,115,92,107,107,68,10,155,18,163,135,229,155,8,156,162,138,64,17,10.909090909090908,15.458865186321189,1.6363636363636365,1.0249414863810766,8.651826484018265,6.300294849591665,2.6068702290076335,1.377929881894547
BE,BEL,Belgium,2020-12-22,2020-12-22,695,0,0,0,0,126,653,7322595.079125766,519,1,3,691,2,65,628,3,19,673,3,172,520,3,161,531,4,97,594,2,54,639,2,14,679,2,24,669,3,5,687,2,25,668,2,112,581,3,20,672,3,115,577,692,0,3,0,630,0,15,50,676,0,6,13,523,1,48,123,534,1,53,107,598,0,35,62,641,0,19,35,681,0,7,7,671,1,7,16,690,0,4,1,670,0,12,13,583,0,46,66,675,1,10,9,580,1,48,66,41,1,61,592,639,0,19,37,46,8,318,323,378,4,50,263,645,4,44,2,645,0,8,39,3,687,0,1,7,0,109,12,39,535,695,0,0,0,0,0,54,2,267,185,109,78,65,23,142,371,94,65,31,283,248,68,65,32,241,264,93,65,33,224,264,109,65,41,71,276,242,0,657,9,1,28,657,8,11,19,657,10,1,27,657,7,7,24,657,8,4,26,657,9,3,26,695,0,0,0,695,0,0,0,695,0,0,0,695,0,0,0,695,0,0,0,695,0,0,0,695,0,0,0,695,0,0,0,695,0,0,0,695,0,0,0,695,0,0,0,695,0,0,0,71,7,187,430,71,5,377,242,71,5,83,536,71,5,252,367,71,6,10,608,71,6,72,546,76,3,195,421,500,1,169,12,8,5,80,3,10,70,239,293,80,6,608,1,87,4,103,501,87,1,455,102,18,9,1,22,87,1,234,177,143,53,89,6,208,312,52,28,92,1,164,433,5,101,4,142,436,12,509,1,174,11,320,1,370,4,612,0,78,5,444,1,133,117,686,0,4,5,625,0,66,4,109,7,6,33,120,133,287,109,3,11,45,123,135,269,113,7,216,247,80,32,113,2,29,53,114,384,113,3,62,122,158,237,514,15,111,55,514,29,45,107,514,22,76,83,118,3,275,299,396,2,86,211,615,3,20,1,10,2,9,1,34,344,0,3,19,9,37,4,12,55,26,14,31,40,9,17,75,162,10,232,285,2,4,162,3,53,91,104,98,100,69,15,170,10,152,146,217,170,7,147,155,141,56,19,9.238095238095237,13.42603503430902,2.306122448979592,1.6980881606561375,8.133004926108374,6.2898738400251295,2.615234375,1.3499301800275152
BE,BEL,Belgium,2020-12-23,2020-12-23,728,1,7472.568616089059,0,0,73,692,7221565.92964361,527,6,4,718,4,66,658,4,19,705,5,187,536,5,147,576,5,99,624,5,56,667,7,15,706,5,31,692,4,6,718,6,24,698,6,108,614,7,23,698,7,117,604,724,0,1,3,662,0,19,47,709,1,5,13,541,3,48,136,581,0,40,107,629,3,30,66,672,2,23,31,713,1,5,9,697,1,15,15,722,0,4,2,704,1,10,13,620,3,25,80,705,2,9,12,611,2,47,68,33,3,44,648,688,0,19,21,41,10,312,365,417,0,57,254,671,6,50,1,671,0,5,45,7,724,0,2,2,0,111,9,40,568,728,0,0,0,0,0,51,3,251,187,137,99,65,29,112,405,117,65,26,260,302,75,65,27,210,310,116,65,32,185,317,129,65,36,58,284,285,0,692,4,9,23,692,4,12,20,692,5,4,27,692,4,9,23,692,4,5,27,692,5,8,23,728,0,0,0,728,0,0,0,728,0,0,0,728,0,0,0,728,0,0,0,728,0,0,0,728,0,0,0,728,0,0,0,728,0,0,0,728,0,0,0,728,0,0,0,728,0,0,0,73,4,187,464,73,4,405,246,73,4,90,561,73,4,247,404,73,5,13,637,73,5,65,585,77,4,201,446,527,1,173,15,8,4,83,4,6,73,247,315,83,5,639,1,95,5,116,512,95,0,484,112,15,5,3,14,95,2,251,189,151,40,98,8,218,322,61,21,101,1,162,457,7,114,7,143,452,12,541,0,165,22,324,1,396,7,638,0,87,3,482,3,129,114,715,0,8,5,663,0,62,3,122,9,5,32,131,138,291,122,2,6,43,126,162,267,129,8,192,270,91,38,129,1,19,57,100,422,129,0,61,113,149,276,554,9,113,52,554,29,38,107,554,22,65,87,134,5,296,293,435,1,90,202,644,4,19,2,11,4,10,4,30,352,1,5,28,13,41,6,16,55,26,23,22,43,7,7,83,185,8,246,284,1,4,185,0,58,85,103,102,110,71,14,194,15,145,151,223,194,8,153,153,144,51,25,11.580357142857144,16.354271007005348,1.8055555555555554,1.237957867837061,7.910926365795723,6.011281009726499,2.55078125,1.382501552640299
BE,BEL,Belgium,2020-12-24,2020-12-24,596,2,44344.07887914209,2,44344.07887914209,61,562,7287561.134407632,439,4,5,587,2,63,531,3,23,570,2,158,436,2,142,452,2,76,518,2,46,548,3,16,577,2,19,575,3,8,585,2,25,569,2,98,496,3,16,577,2,97,497,591,0,3,2,533,1,28,34,573,0,8,15,438,1,52,105,454,1,43,98,520,1,20,55,550,1,25,20,580,0,10,6,577,1,5,13,588,0,3,5,571,1,11,13,498,2,30,66,580,2,7,7,499,4,38,55,32,2,37,525,562,0,12,22,37,6,242,311,355,3,43,195,553,2,39,2,553,0,8,31,4,588,0,1,7,0,91,5,46,454,596,0,0,0,0,0,47,1,211,166,103,68,57,25,109,339,66,57,16,222,244,57,57,28,171,253,87,57,27,162,257,93,57,33,52,241,213,0,554,11,4,27,554,6,14,22,554,11,2,29,554,10,7,25,554,11,3,28,554,10,3,29,596,0,0,0,596,0,0,0,596,0,0,0,596,0,0,0,596,0,0,0,596,0,0,0,596,0,0,0,596,0,0,0,596,0,0,0,596,0,0,0,596,0,0,0,596,0,0,0,64,7,146,379,64,2,350,180,64,4,84,444,64,4,217,311,64,4,11,517,64,3,63,466,68,4,180,344,416,0,156,10,3,11,70,3,6,71,185,261,70,3,521,2,77,6,83,430,77,0,390,79,21,9,3,17,77,2,202,151,110,54,80,5,190,255,42,24,80,0,140,372,4,96,4,137,350,9,450,3,126,17,248,3,340,5,513,1,77,5,379,1,115,101,586,1,5,4,534,0,61,1,101,1,6,22,108,108,250,101,0,13,30,109,114,229,105,2,164,193,94,38,105,1,21,47,98,324,105,1,59,88,121,222,450,10,98,38,450,27,36,83,450,15,68,63,113,2,230,251,345,1,61,189,537,1,14,2,6,1,1,1,33,307,0,2,21,11,29,5,14,46,24,13,23,28,5,12,56,149,5,208,228,0,6,149,1,33,64,93,101,76,64,15,155,11,114,132,184,155,7,128,119,126,42,19,10.741603053435114,13.955841211972274,1.9230769230769231,1.0926326710501355,8.867897727272727,6.245592689768564,2.6220657276995305,1.4456039504484128
BE,BEL,Belgium,2020-12-25,2020-12-25,585,0,0,0,0,74,559,7173359.631424971,438,3,2,580,3,56,526,4,17,564,3,148,434,3,130,452,3,77,505,3,33,549,2,21,562,3,18,564,3,3,579,6,26,553,5,79,501,4,18,563,3,89,493,583,0,2,0,529,2,13,41,568,0,6,11,437,1,35,112,455,2,42,86,508,1,27,49,552,0,14,19,564,0,9,12,567,0,6,12,582,0,1,2,559,0,9,17,506,0,19,60,567,0,7,11,496,1,38,50,26,0,41,518,547,0,15,23,31,6,271,277,315,3,48,219,537,1,45,2,537,0,3,39,6,582,0,1,1,1,90,9,35,451,585,0,0,0,0,0,43,1,248,140,97,56,50,17,134,322,62,50,16,235,242,42,50,20,191,253,71,50,21,174,255,85,50,23,60,243,209,0,551,6,6,22,551,6,6,22,551,8,0,26,551,7,3,24,551,8,1,25,551,6,3,25,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,60,3,137,385,60,0,327,198,60,4,61,460,60,4,267,254,60,4,10,511,60,3,49,473,64,1,216,304,369,0,185,20,5,6,67,0,9,67,183,259,67,0,516,2,73,1,73,438,73,0,382,88,18,10,1,13,73,3,162,166,126,55,76,1,161,278,39,30,79,1,145,355,5,83,3,127,360,12,448,1,123,13,258,0,323,4,524,2,55,4,318,0,124,143,575,1,7,2,536,1,45,3,88,1,6,26,90,121,253,88,1,8,35,111,109,233,95,4,181,199,83,23,95,2,29,49,81,329,95,1,57,93,138,201,439,6,95,45,439,17,32,97,439,12,68,66,103,5,240,237,348,0,70,167,518,2,10,1,5,2,5,1,41,279,2,1,31,15,29,3,17,40,28,5,22,31,5,10,67,138,6,205,227,2,7,138,3,40,77,71,94,94,54,14,146,15,125,127,172,146,9,124,129,116,40,21,8.12890625,11.512439324104013,2.066666666666667,1.436790804568276,8.387605633802817,6.217258979853344,2.577830188679245,1.4418857528554179
BE,BEL,Belgium,2020-12-26,2020-12-26,745,2,13892.5200934996,2,13892.5200934996,140,707,7536621.111594652,535,5,4,736,4,86,655,4,15,726,4,179,562,6,173,566,5,90,650,7,54,684,7,12,726,5,30,710,4,8,733,10,30,705,5,94,646,8,17,720,4,114,627,741,0,2,2,659,0,28,58,730,0,6,9,566,3,54,122,572,1,49,123,655,3,27,60,691,0,27,27,733,1,4,7,715,0,12,18,737,1,4,3,715,0,12,18,651,1,28,65,728,0,6,11,631,2,44,68,36,2,66,641,681,1,15,48,40,11,303,391,442,4,55,244,690,7,47,1,690,0,13,36,6,732,0,5,8,0,113,5,40,587,745,0,0,0,0,0,49,4,253,225,143,71,62,33,145,408,97,62,29,273,318,63,62,37,196,351,99,62,33,196,332,122,62,46,61,296,280,0,706,6,8,25,706,5,9,25,706,8,4,27,706,9,9,21,706,8,1,30,706,8,3,28,745,0,0,0,745,0,0,0,745,0,0,0,745,0,0,0,745,0,0,0,745,0,0,0,745,0,0,0,745,0,0,0,745,0,0,0,745,0,0,0,745,0,0,0,745,0,0,0,70,7,126,542,70,4,346,325,70,9,68,598,70,4,360,311,70,6,15,654,70,7,57,611,81,1,282,381,463,0,238,34,5,5,87,7,10,75,271,295,87,3,652,3,97,4,83,561,97,1,467,122,24,13,3,18,97,3,206,229,156,54,100,7,209,336,58,35,103,1,169,466,6,113,6,174,440,12,620,0,111,14,402,2,331,10,678,0,62,5,388,3,163,191,730,1,10,4,688,1,51,5,117,6,11,31,110,154,316,117,4,10,40,135,141,298,123,6,226,238,120,32,123,0,21,51,128,422,123,0,59,126,163,274,562,16,110,57,562,36,36,111,562,29,70,84,132,4,266,343,402,2,103,238,648,4,20,2,8,1,4,0,58,385,1,1,34,16,34,4,23,47,23,16,16,44,4,19,78,191,8,239,301,0,6,191,1,51,100,90,108,117,67,20,204,17,138,172,214,204,9,151,169,143,49,20,8.91044776119403,12.326315920426797,2.260344827586207,1.514136851583652,8.242857142857142,6.094508794643659,2.6070038910505837,1.3512068001416226
BE,BEL,Belgium,2020-12-27,2020-12-27,812,1,10301.3412869572,0,0,125,775,7358963.614721341,631,2,4,806,2,64,746,1,14,797,1,215,596,1,188,623,2,107,703,1,66,745,2,19,791,1,32,779,1,11,800,2,36,774,1,129,682,1,25,786,1,134,677,808,1,2,1,748,2,20,42,798,0,7,7,597,5,66,144,624,4,56,128,705,6,40,61,746,2,29,35,793,2,8,9,780,2,15,15,801,0,6,5,776,2,14,20,683,5,30,94,787,1,12,12,678,6,51,77,36,1,61,714,754,0,17,41,40,9,362,401,452,4,59,297,753,3,54,2,753,1,10,46,2,802,0,0,10,0,115,6,47,644,812,0,0,0,0,0,48,3,300,218,143,100,60,30,151,471,100,60,22,300,350,80,60,24,226,383,119,60,23,225,378,126,60,33,71,345,303,0,766,9,3,34,766,8,7,31,766,7,8,31,766,9,4,33,766,8,4,34,766,8,5,33,812,0,0,0,812,0,0,0,812,0,0,0,812,0,0,0,812,0,0,0,812,0,0,0,812,0,0,0,812,0,0,0,812,0,0,0,812,0,0,0,812,0,0,0,812,0,0,0,66,8,129,609,66,5,401,340,66,3,72,671,66,2,373,371,66,2,13,731,66,4,58,684,76,0,285,451,527,0,245,27,6,7,78,2,9,99,309,315,78,5,728,1,84,4,108,616,84,0,530,116,35,22,3,22,84,2,212,263,196,55,89,8,204,410,60,41,92,1,186,523,10,102,11,183,496,20,683,0,106,23,412,1,393,6,740,2,66,4,440,2,171,199,799,1,7,5,754,0,54,4,107,2,8,43,138,154,360,107,3,11,53,171,149,318,110,3,225,295,129,50,110,2,33,57,116,494,110,0,73,128,182,319,613,12,123,64,613,36,55,108,613,30,79,90,115,3,332,362,450,1,126,235,695,3,22,1,10,2,8,1,70,367,2,6,35,19,49,8,20,69,30,21,34,53,4,12,83,160,8,266,372,1,5,160,1,66,126,122,140,103,73,21,176,19,174,187,256,176,13,170,171,173,79,30,8.708222811671087,13.084413387496737,2.188679245283019,1.532426479270262,8.282738095238095,6.209874747255178,2.686786296900489,1.4796346092212707
BE,BEL,Belgium,2020-12-28,2020-12-27,100,0,0,0,0,4,90,1259331.9063877978,68,1,1,98,1,9,90,1,2,97,1,23,76,1,28,71,0,15,85,1,7,92,1,3,96,1,2,97,1,2,97,1,8,91,1,15,84,1,6,93,1,20,79,99,0,0,1,91,2,5,2,98,0,1,1,77,1,7,15,72,1,10,17,85,1,5,9,93,0,4,3,97,0,2,1,98,0,0,2,98,0,1,1,92,0,2,6,85,0,5,10,94,0,3,3,80,2,5,13,10,0,2,88,98,0,1,1,10,1,37,52,63,0,9,28,91,1,8,0,91,0,2,7,0,98,0,0,2,0,21,1,6,72,100,0,0,0,0,0,11,0,43,19,12,15,14,4,14,58,10,14,3,31,45,7,14,4,23,50,9,14,3,19,48,16,14,3,7,46,30,0,94,0,3,3,94,0,0,6,94,0,0,6,94,0,0,6,94,0,0,6,94,0,0,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,15,2,12,71,15,0,46,39,15,0,10,75,15,0,42,43,15,0,1,84,15,0,8,77,16,0,33,51,67,0,28,3,1,1,16,0,0,9,40,35,16,0,84,0,16,0,14,70,16,0,62,13,5,1,0,3,16,1,28,26,21,8,17,3,23,44,8,5,17,0,25,58,0,18,1,19,60,2,88,0,8,4,54,0,46,0,90,0,10,0,58,0,20,22,99,0,0,1,92,0,8,0,19,0,0,2,18,19,42,19,0,2,2,27,11,39,20,0,22,32,19,7,20,0,5,7,13,55,20,0,8,17,17,38,75,3,10,12,75,3,6,16,75,5,8,12,20,0,33,47,53,0,13,34,87,0,2,1,3,1,1,0,5,54,0,2,2,3,5,0,2,5,3,6,6,6,1,1,4,26,1,32,40,0,1,26,0,1,13,16,18,11,14,1,31,3,15,21,30,31,1,21,17,15,14,1,8.333333333333334,12.00378728114211,2,1.4142135623730951,7.807017543859648,6.200341570346946,2.626865671641791,1.5357933582543761
BE,BEL,Belgium,2020-12-30,2020-12-30,742,1,3829.3390678007695,0,0,136,697,7634178.777406641,560,3,3,736,4,85,653,3,24,715,2,188,552,4,189,549,3,94,645,3,48,691,5,29,708,5,22,715,3,7,732,4,35,703,3,117,622,5,37,700,6,152,584,739,0,2,1,657,1,17,67,718,1,8,15,554,1,51,136,553,3,51,135,648,1,26,67,694,1,16,31,713,0,17,12,720,1,10,11,735,0,6,1,707,1,19,15,625,1,43,73,705,0,20,17,590,3,70,79,43,2,65,632,680,0,17,45,55,4,293,390,449,2,45,246,697,2,41,2,697,0,12,27,6,730,0,0,12,0,106,13,44,579,742,0,0,0,0,0,62,3,301,173,132,71,82,26,141,408,85,82,26,280,302,52,82,35,203,321,101,82,30,195,322,113,82,34,62,281,283,0,699,9,2,32,699,7,10,26,699,7,4,32,699,7,8,28,699,8,5,30,699,8,3,32,742,0,0,0,742,0,0,0,742,0,0,0,742,0,0,0,742,0,0,0,742,0,0,0,742,0,0,0,742,0,0,0,742,0,0,0,742,0,0,0,742,0,0,0,742,0,0,0,87,4,157,494,87,3,415,237,87,5,78,572,87,3,294,358,87,5,12,638,87,3,61,591,90,1,240,411,502,1,207,20,6,6,98,1,15,83,243,302,98,2,642,0,102,4,85,551,102,0,463,127,18,8,4,20,102,0,199,229,162,50,103,6,199,338,71,25,107,0,188,440,7,118,3,173,439,9,586,0,145,11,329,3,407,3,665,1,73,3,450,3,135,154,730,0,10,2,682,0,58,2,124,10,6,39,98,135,330,124,4,4,44,144,138,284,128,6,217,254,106,31,128,2,31,45,112,424,128,1,69,100,163,281,574,18,96,54,574,32,46,90,574,21,65,82,133,2,269,338,404,1,127,210,622,3,18,2,13,2,5,1,76,353,0,2,35,15,48,8,22,58,21,21,20,31,6,20,82,174,11,233,321,1,2,174,2,58,85,119,91,128,66,19,180,17,140,176,229,180,7,165,159,148,58,25,9.29585798816568,13.940996286190698,2.2241379310344827,1.3642439387810772,8.22960372960373,6.479052160515274,2.55452865064695,1.3510225241466902
BE,BEL,Belgium,2020-12-31,2020-12-31,677,2,23373.45703534079,2,23373.45703534079,73,647,8151809.648504171,512,6,2,669,7,57,613,6,17,654,5,164,508,5,165,507,7,99,571,7,46,624,5,12,660,6,26,645,8,9,660,6,29,642,6,109,562,8,18,651,7,116,554,675,1,0,1,620,2,18,37,660,1,6,10,513,4,41,119,512,2,42,121,578,3,20,76,631,2,16,28,665,1,5,6,651,2,14,10,668,0,7,2,648,0,15,14,568,3,29,77,659,2,8,8,561,2,52,62,29,1,42,605,636,0,16,25,32,7,303,335,375,7,46,249,631,3,41,2,631,0,16,25,5,662,0,3,12,0,94,6,34,543,677,0,0,0,0,0,45,2,283,168,109,70,56,25,121,385,90,56,31,262,263,65,56,33,215,275,98,56,33,184,306,98,56,40,50,291,240,0,646,13,2,16,646,8,11,12,646,13,2,16,646,9,10,12,646,13,3,15,646,12,3,16,672,0,0,5,672,0,0,5,672,0,0,5,672,0,0,5,672,0,0,5,672,0,0,5,672,0,0,5,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,677,0,0,0,64,7,123,483,64,4,407,202,64,11,63,539,64,7,270,336,64,11,6,596,64,9,63,541,69,0,198,410,479,0,173,14,5,6,69,0,12,75,260,261,69,0,605,3,77,9,75,516,77,0,443,102,16,11,8,20,77,0,233,171,152,44,77,4,179,334,49,34,80,3,168,417,9,89,1,151,420,16,555,2,110,10,271,3,399,4,614,4,55,4,409,4,136,128,671,1,4,1,614,3,57,3,96,5,19,37,99,133,288,96,0,13,46,128,113,281,99,4,194,238,106,36,99,0,30,50,95,403,99,0,68,114,144,252,497,18,107,55,497,36,43,101,497,29,74,77,106,0,221,350,327,0,114,236,575,2,14,1,11,0,4,2,68,354,0,4,29,12,33,3,17,37,16,15,27,35,8,19,68,152,12,225,285,0,3,152,2,50,83,96,98,116,63,17,163,12,144,152,206,163,5,124,172,147,46,20,10.606349206349208,15.060724991387419,1.909090909090909,1.3547056037114753,8.180348258706468,6.031954549637061,2.5544354838709675,1.3352488073941284
