ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GT,GTM,Guatemala,2020-12-21,2020-12-21,415,1,43683.6279810247,0,0,132,381,8092723.461292813,283,13,5,397,13,28,374,11,9,395,13,52,350,13,92,310,10,63,342,12,62,341,14,13,388,13,30,372,11,7,397,13,48,354,10,81,324,14,29,372,12,79,324,410,1,3,1,387,1,16,11,408,0,4,3,364,0,25,26,326,2,42,45,352,3,36,24,354,1,42,18,402,0,8,5,385,0,19,11,409,0,6,0,368,1,29,17,334,2,42,37,386,2,14,13,336,1,44,34,31,3,60,321,356,0,16,43,32,5,106,272,309,1,34,71,381,4,29,1,381,19,15,0,396,0,11,8,74,5,50,286,415,0,0,0,0,40,2,169,134,39,31,262,8,85,38,22,262,9,83,41,20,262,6,90,36,21,262,10,69,48,26,262,9,14,31,99,366,20,10,19,366,18,12,19,366,15,16,18,366,19,13,17,366,21,9,19,366,21,12,16,415,0,0,0,415,0,0,0,415,0,0,0,415,0,0,0,415,0,0,0,415,0,0,0,415,0,0,0,415,0,0,0,415,0,0,0,415,0,0,0,415,0,0,0,415,0,0,0,55,13,140,207,55,6,252,102,55,10,159,191,55,12,164,184,55,10,82,268,55,8,71,281,59,1,202,153,213,0,118,52,18,14,62,4,3,20,104,222,62,6,346,1,68,1,40,306,68,1,288,32,5,1,2,18,68,1,93,91,101,61,71,5,125,158,47,9,75,3,50,254,33,84,8,71,217,35,276,4,134,1,164,5,244,2,257,1,155,2,252,3,118,42,334,1,68,12,345,3,67,0,90,4,5,12,33,96,175,90,0,4,12,46,77,186,99,5,138,97,38,38,99,3,40,81,92,100,99,2,86,105,67,56,226,11,146,32,226,44,96,49,226,32,120,37,104,4,179,128,287,0,59,69,362,4,12,3,8,7,0,3,16,183,2,15,26,12,23,3,14,14,9,1,10,19,10,8,7,59,123,6,159,124,1,2,123,2,70,97,57,42,12,10,2,126,6,164,92,27,126,5,48,75,86,44,31,2.5544554455445545,1.7618129938697265,2.411764705882353,1.614638914286848,13.684824902723733,5.819374569434196,2.925,1.7032806211989766
GT,GTM,Guatemala,2020-12-22,2020-12-22,403,4,147565.46116466814,0,0,139,383,8161340.049435557,270,3,8,392,2,43,358,2,10,391,5,43,355,2,85,316,3,44,356,3,58,342,5,14,384,3,20,380,5,10,388,4,45,354,3,76,324,4,19,380,5,63,335,395,0,6,2,360,1,24,18,393,1,4,5,360,2,22,19,318,3,30,52,359,3,15,26,345,0,32,26,389,1,8,5,383,1,16,3,393,2,6,2,358,3,24,18,327,3,30,43,384,0,12,7,340,1,38,24,18,2,56,327,348,0,11,44,24,7,96,276,307,1,24,71,379,4,20,0,379,12,12,0,391,0,10,2,56,13,39,295,403,0,0,0,0,28,2,170,145,27,31,40,20,191,94,58,40,31,190,103,39,40,28,227,56,52,40,32,166,90,75,40,34,34,75,220,365,16,9,13,365,16,7,15,365,9,18,11,365,15,11,12,365,13,11,14,365,14,13,11,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,47,13,143,200,47,9,244,103,47,13,151,192,47,12,157,187,47,11,56,289,47,11,54,291,53,1,185,164,218,0,116,44,13,12,55,1,1,24,121,201,55,2,342,4,57,4,38,304,57,1,301,20,4,3,1,16,57,1,91,93,102,59,59,7,116,168,41,12,63,4,48,250,38,81,6,59,216,41,263,2,134,4,162,4,232,5,254,2,141,6,247,4,118,34,348,1,47,7,351,0,52,0,91,0,3,8,39,72,190,91,1,2,14,36,80,179,101,3,118,117,35,29,101,1,42,82,87,90,101,3,92,94,71,42,219,17,146,21,219,59,65,60,219,50,93,41,105,3,165,130,273,0,49,81,356,1,10,2,9,7,2,3,13,195,0,8,13,5,29,5,6,17,8,0,19,24,6,2,3,63,120,4,139,138,1,1,120,2,58,94,64,41,16,7,1,130,9,165,62,37,130,6,48,90,83,32,14,2.4183673469387754,1.591151618991923,2.765957446808511,2.00231133787981,13.100829875518672,5.867154276856632,2.9115384615384614,1.5434071828606124
GT,GTM,Guatemala,2020-12-23,2020-12-23,374,2,20322.625448150182,0,0,166,354,8042015.000167023,251,2,6,366,3,30,341,3,4,367,4,27,343,2,73,299,5,39,330,2,52,320,3,18,353,2,15,357,2,3,369,2,37,335,3,72,299,3,15,356,3,71,300,368,1,2,3,344,0,13,17,370,0,3,1,347,1,8,18,301,3,33,37,335,3,19,17,322,2,27,23,356,0,12,6,359,0,12,3,371,0,2,1,337,3,20,14,302,1,38,33,359,0,9,6,303,3,42,26,20,0,55,299,320,0,13,41,26,5,80,263,294,1,21,58,353,2,19,0,353,10,11,0,364,0,6,4,54,8,42,270,374,0,0,0,0,31,1,172,104,37,29,44,16,189,84,41,44,16,194,81,39,44,9,206,63,52,44,14,158,83,75,44,15,31,72,212,332,17,13,12,332,17,12,13,332,11,18,13,332,17,11,14,332,19,8,15,332,19,6,17,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,374,0,0,0,50,6,116,202,50,4,243,77,50,6,149,169,50,5,152,167,50,7,57,260,50,4,65,255,56,0,171,147,203,0,112,32,13,14,56,2,3,12,103,198,56,3,312,3,59,5,30,280,59,0,278,22,3,3,2,7,59,0,78,84,95,58,61,4,119,135,45,10,64,2,47,223,38,75,7,64,195,33,259,2,112,1,134,3,236,1,227,2,144,1,224,2,118,30,318,2,50,4,310,3,61,0,82,4,3,18,34,68,165,82,0,6,16,43,60,167,90,2,120,104,41,17,90,3,43,79,76,83,90,2,86,107,50,39,184,15,150,25,184,54,79,57,184,52,88,50,99,3,149,123,251,1,54,68,323,5,9,0,6,9,2,0,20,176,2,13,22,11,23,4,7,16,10,1,14,14,4,6,5,46,112,3,143,113,1,2,112,1,68,72,54,44,15,6,2,121,5,142,76,30,121,2,41,58,89,43,20,2.633720930232558,1.7503958092146155,3.270833333333333,2.7033437398685587,13.012987012987013,5.191532000982168,2.8333333333333335,1.5961262630566067
GT,GTM,Guatemala,2020-12-24,2020-12-24,294,2,70681.30428438158,2,70681.30428438158,117,271,7248439.272894775,191,5,4,285,5,33,256,6,9,279,5,41,248,6,61,227,7,46,241,3,37,254,6,23,265,3,15,276,6,6,282,7,23,264,4,53,237,6,15,273,6,58,230,290,1,1,2,261,0,14,19,285,0,4,5,253,1,22,18,233,0,27,34,248,1,25,20,257,0,23,14,271,1,13,9,279,0,7,8,288,0,5,1,271,0,12,11,241,1,24,28,279,0,9,6,236,2,32,24,22,1,45,226,250,1,12,31,26,4,63,201,231,1,21,41,273,1,20,0,273,8,13,0,286,0,3,5,53,4,27,210,294,0,0,0,0,30,1,127,76,33,27,38,8,142,67,39,38,15,133,66,42,38,11,144,57,44,38,16,113,72,55,38,19,22,48,167,267,9,9,9,267,8,9,10,267,8,13,6,267,10,7,10,267,11,6,10,267,9,7,11,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,294,0,0,0,42,5,80,167,42,3,188,61,42,4,110,138,42,5,122,125,42,3,48,201,42,3,33,216,44,0,130,120,164,0,76,32,11,11,50,3,2,15,84,140,50,3,241,0,52,1,20,221,52,0,209,17,8,2,0,6,52,0,67,59,62,54,53,2,81,115,39,4,55,0,36,170,33,65,5,53,133,38,214,0,73,7,106,0,188,0,184,1,106,3,172,0,84,38,246,0,44,4,261,0,32,1,76,2,4,4,35,47,126,76,3,4,10,31,54,116,77,5,84,65,35,28,77,1,17,63,61,75,77,0,50,72,40,55,172,3,100,19,172,29,49,44,172,21,65,36,81,0,112,101,193,0,39,62,257,2,5,2,5,6,0,2,15,147,1,5,17,4,15,2,2,12,8,0,13,8,4,2,3,51,92,4,118,77,0,3,92,1,53,64,46,21,14,3,0,100,3,103,62,26,100,1,24,49,61,40,19,2.7246376811594204,1.9133343690826317,2.8947368421052633,1.969901543488508,13.012571428571428,5.9725484764693775,2.9535135135135135,1.7451177489490006
GT,GTM,Guatemala,2020-12-25,2020-12-25,309,3,127457.6169497351,0,0,97,294,7747750.969091246,220,4,6,299,4,38,267,3,5,301,3,37,269,4,70,235,4,43,262,4,50,255,3,9,297,4,20,285,5,6,298,4,24,281,3,65,241,4,11,294,4,45,260,303,0,4,2,271,1,24,13,304,0,3,2,272,0,20,17,239,3,33,34,266,2,29,12,259,2,23,25,300,0,5,4,289,0,12,8,303,0,4,2,285,1,12,11,244,2,30,33,298,2,7,2,264,3,23,19,15,0,40,254,271,0,12,26,21,5,85,198,224,1,14,70,295,3,11,0,295,3,11,0,306,0,1,2,42,4,22,241,309,0,0,0,0,24,1,122,98,42,22,26,12,167,62,42,26,23,151,72,37,26,16,167,61,39,26,18,131,90,44,26,18,25,50,190,288,5,6,10,288,9,2,10,288,6,8,7,288,7,5,9,288,8,3,10,288,8,4,9,309,0,0,0,309,0,0,0,309,0,0,0,309,0,0,0,309,0,0,0,309,0,0,0,309,0,0,0,309,0,0,0,309,0,0,0,309,0,0,0,309,0,0,0,309,0,0,0,35,6,75,193,35,5,189,80,35,9,100,165,35,5,156,113,35,7,52,215,35,4,44,226,39,0,174,96,135,0,93,49,22,10,41,2,2,18,90,156,41,2,264,2,44,2,28,235,44,0,225,26,2,1,1,10,44,0,68,72,78,47,44,5,82,134,42,2,49,5,40,191,24,63,6,47,168,25,235,2,71,1,121,6,181,1,210,6,90,3,155,2,102,50,258,2,36,13,266,1,42,0,69,3,3,8,28,46,152,69,3,6,11,24,58,138,70,4,103,80,25,27,70,2,39,51,64,83,70,1,63,88,50,37,159,10,121,19,159,45,58,47,159,42,79,29,72,0,136,101,208,0,47,54,265,7,10,0,5,5,0,2,15,130,2,7,18,9,13,1,5,21,6,0,16,9,10,4,7,51,84,3,104,116,0,2,84,0,46,78,51,20,24,5,1,88,5,124,69,23,88,2,33,61,65,38,22,2.657142857142857,1.761994571935835,2.676470588235294,1.8864844365675972,13.068527918781724,5.574323823319449,3.1728971962616823,1.6048676012527598
GT,GTM,Guatemala,2020-12-26,2020-12-26,355,1,6228.4916085225295,0,0,131,337,7296194.684187343,242,4,5,346,4,36,315,2,12,341,3,35,317,1,70,284,2,39,314,2,49,304,1,16,338,4,20,331,1,7,347,3,39,313,2,69,284,3,19,333,3,57,295,350,1,1,3,319,2,16,18,343,0,8,4,320,0,16,19,285,2,35,33,316,1,22,16,306,3,29,17,339,2,5,9,335,2,15,3,348,1,2,4,316,2,20,17,286,2,31,36,336,2,12,5,298,3,30,24,18,0,47,290,309,0,15,31,22,5,84,244,272,1,18,64,337,0,18,0,337,8,10,0,347,0,4,4,48,4,41,262,355,0,0,0,0,28,1,158,106,33,29,37,13,169,85,51,37,19,185,71,43,37,16,193,65,44,37,18,150,93,57,37,21,35,73,189,314,14,14,13,314,18,10,13,314,9,18,14,314,18,6,17,314,18,7,16,314,16,11,14,355,0,0,0,355,0,0,0,355,0,0,0,355,0,0,0,355,0,0,0,355,0,0,0,355,0,0,0,355,0,0,0,355,0,0,0,355,0,0,0,355,0,0,0,355,0,0,0,41,15,75,224,41,5,212,97,41,11,118,185,41,10,174,130,41,12,68,234,41,9,51,254,50,4,186,115,169,0,102,51,16,17,53,4,4,33,96,165,53,1,297,4,57,3,27,268,57,2,259,23,2,2,0,10,57,2,63,91,100,42,61,5,100,136,44,9,66,2,54,206,27,78,8,62,179,28,281,2,69,3,146,2,205,2,238,4,111,2,183,2,117,53,287,1,56,11,304,1,48,2,81,2,4,14,27,77,150,81,3,3,16,33,70,149,85,2,125,89,23,31,85,1,38,63,81,87,85,2,69,88,67,44,199,10,124,22,199,37,69,50,199,36,77,43,87,2,135,131,224,1,53,77,306,1,12,1,6,5,2,2,20,175,0,12,16,7,23,4,7,17,6,0,10,12,11,4,4,47,105,4,122,119,0,5,105,2,70,78,57,24,14,5,0,108,7,139,77,24,108,2,42,53,76,53,21,2.442176870748299,1.6432895996228105,3.048780487804878,1.883497007061534,13.737327188940093,6.090379347855526,3.159663865546218,1.7012439890167386
GT,GTM,Guatemala,2020-12-27,2020-12-27,427,4,38527.19006112046,0,0,122,395,8603827.182153868,285,7,7,413,7,39,381,5,12,410,7,41,379,7,102,318,5,47,375,6,53,368,5,17,405,6,21,400,6,9,412,4,38,385,7,75,345,8,16,403,5,75,347,420,2,4,1,388,4,18,17,415,1,7,4,386,1,23,17,325,6,54,42,380,2,22,23,374,2,36,15,410,0,11,6,406,1,12,8,418,0,8,1,389,5,18,15,352,2,32,41,411,1,8,7,352,3,45,27,31,1,50,345,377,0,14,36,37,3,89,298,338,4,15,70,412,1,14,0,412,6,9,0,421,0,3,3,59,6,30,332,427,0,0,0,0,42,0,161,130,62,32,57,13,193,105,59,57,21,197,87,65,57,17,215,77,61,57,23,160,114,73,57,25,41,61,243,399,9,10,9,399,13,8,7,399,8,11,9,399,11,5,12,399,13,5,10,399,12,11,5,427,0,0,0,427,0,0,0,427,0,0,0,427,0,0,0,427,0,0,0,427,0,0,0,427,0,0,0,427,0,0,0,427,0,0,0,427,0,0,0,427,0,0,0,427,0,0,0,61,10,110,246,61,0,259,107,61,6,150,210,61,4,190,172,61,9,63,294,61,3,53,310,66,0,206,155,221,0,124,50,19,13,71,3,3,25,126,199,71,3,349,4,75,6,37,309,75,0,311,24,4,3,0,10,75,1,80,124,98,49,75,3,111,171,57,10,79,2,52,262,32,91,11,76,215,34,319,4,100,4,170,3,249,5,278,3,142,4,239,2,134,52,366,2,50,9,374,3,48,2,99,2,1,11,43,76,195,99,2,6,21,53,70,176,108,1,130,109,44,35,108,3,49,73,101,93,108,0,95,102,72,50,231,19,148,29,231,49,79,68,231,38,110,48,112,1,164,150,277,0,63,87,367,4,14,1,9,9,2,0,21,203,1,11,29,6,31,5,7,14,11,0,17,14,6,2,5,65,127,4,144,150,1,1,127,1,67,94,59,53,22,4,0,138,9,166,78,36,138,6,46,73,92,57,15,2.4329896907216493,1.6408465936627405,2.6,1.863525495593573,13.683397683397683,5.452415228305258,3.0654545454545454,1.6707245447150183
GT,GTM,Guatemala,2020-12-28,2020-12-27,100,0,0,0,0,27,89,1723593.0258239994,46,1,0,99,2,13,85,1,4,95,2,13,85,3,18,79,1,12,87,1,15,84,0,7,93,2,3,95,2,5,93,1,17,82,1,19,80,2,4,94,1,21,78,100,0,0,0,87,3,2,8,96,1,1,2,87,1,3,9,82,2,8,8,88,0,3,9,85,1,8,6,93,0,4,3,97,0,1,2,95,0,4,1,83,2,8,7,81,0,6,13,96,0,2,2,79,2,9,10,11,0,13,76,88,0,4,8,13,0,19,68,81,1,4,14,96,1,3,0,96,2,2,0,98,0,1,1,18,1,4,77,100,0,0,0,0,16,0,36,25,18,5,21,3,34,24,18,21,3,45,15,16,21,2,45,15,17,21,5,38,17,19,21,5,10,10,54,97,0,2,1,97,0,1,2,97,0,1,2,97,0,0,3,97,0,1,2,97,0,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,23,1,19,57,23,0,57,20,23,1,33,43,23,1,32,44,23,2,10,65,23,0,7,70,25,0,42,33,58,0,28,8,2,4,29,0,1,2,25,43,29,0,71,0,30,1,8,61,30,0,64,4,0,0,0,2,30,0,20,23,22,5,30,2,26,34,6,2,32,0,6,55,7,38,4,11,42,5,81,1,17,1,44,1,55,0,67,1,32,0,68,1,20,11,90,1,8,1,93,0,7,0,41,0,0,1,6,18,34,41,0,0,3,10,14,32,45,0,19,18,9,9,45,1,11,14,11,18,45,0,19,13,11,12,69,2,27,2,69,9,17,5,69,8,15,8,46,0,30,24,76,0,12,12,89,1,1,0,1,1,1,0,6,59,1,2,5,1,3,0,0,3,3,0,5,2,1,0,0,15,49,2,22,26,1,0,49,1,11,16,4,12,7,0,0,53,2,26,14,5,53,1,5,10,18,9,4,2.2244897959183674,1.31125426790613,2.272727272727273,1.8488325554743508,13.555555555555554,5.194208118645034,3.046511627906977,1.7855703153480258
GT,GTM,Guatemala,2020-12-30,2020-12-30,361,2,47526.153889593385,0,0,149,341,8675555.447958693,244,2,7,352,2,28,331,4,11,346,2,32,327,2,81,278,2,29,330,2,36,323,2,15,344,2,16,343,2,7,352,1,26,334,2,62,297,3,14,344,3,66,292,354,1,5,1,333,3,16,9,350,1,5,5,329,2,17,13,280,4,33,44,332,2,14,13,325,3,17,16,346,1,13,1,345,0,11,5,354,2,5,0,335,1,19,6,299,1,32,29,347,2,7,5,295,2,33,31,20,0,65,276,297,0,24,40,23,1,83,254,278,0,19,64,342,3,16,0,342,8,11,0,353,0,3,5,45,6,43,267,361,0,0,0,0,29,2,156,103,41,30,38,13,175,88,47,38,23,170,84,46,38,24,173,73,53,38,26,156,79,62,38,28,33,57,205,319,17,13,12,319,18,10,14,319,17,11,14,319,23,8,11,319,20,3,19,319,16,10,16,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,361,0,0,0,44,4,106,207,44,6,216,95,44,9,123,185,44,9,150,158,44,8,48,261,44,9,54,254,52,1,179,129,182,0,129,29,11,10,56,3,2,21,104,175,56,2,300,3,60,5,26,270,60,1,244,36,3,4,2,11,60,2,82,81,83,53,64,3,108,134,39,13,69,2,46,224,20,81,5,51,192,32,256,3,95,7,148,5,199,9,239,2,110,10,214,2,103,42,314,2,33,12,309,2,48,2,83,3,5,7,30,65,168,83,2,7,15,30,61,163,86,2,106,112,34,21,86,2,40,56,78,99,86,0,66,89,74,46,207,12,120,22,207,37,64,53,207,31,75,48,95,2,143,121,240,0,46,75,317,2,9,0,10,5,0,1,17,179,0,13,18,6,23,2,3,13,12,0,9,21,6,6,7,43,109,4,134,110,0,4,109,2,64,75,53,33,17,5,3,115,4,145,70,27,115,1,24,67,79,51,24,2.8260869565217392,1.902515497280194,2.5660377358490565,2.1168684596525353,12.986486486486486,5.27821419283335,2.983050847457627,1.652763261148896
GT,GTM,Guatemala,2020-12-31,2020-12-31,328,5,218400.92452725422,0,0,145,303,8838155.954342356,209,10,7,311,8,38,282,9,14,305,10,42,276,10,67,251,9,38,281,8,37,283,8,12,308,12,21,295,11,12,305,9,31,288,7,71,250,11,19,298,8,67,253,321,0,6,1,290,3,16,19,314,1,6,7,286,2,22,18,261,4,32,31,290,3,16,19,291,4,16,17,316,1,8,3,307,0,10,11,316,2,5,5,297,2,18,11,257,1,32,38,309,1,8,10,261,3,39,25,25,0,42,261,286,0,17,25,31,4,81,212,247,0,20,61,308,5,15,0,308,8,11,1,320,0,6,2,55,7,26,240,328,0,0,0,0,36,2,151,82,32,25,42,14,159,72,41,42,31,151,68,36,42,25,162,48,51,42,28,125,78,55,42,33,26,62,165,303,10,4,11,303,10,11,4,303,10,7,8,303,10,6,9,303,14,4,7,303,10,8,7,326,0,0,2,326,0,0,2,326,0,0,2,326,0,0,2,326,0,0,2,326,0,1,1,326,0,0,2,327,0,0,1,327,0,0,1,327,0,0,1,327,0,0,1,327,0,0,1,51,5,93,179,51,4,202,71,51,7,110,160,51,7,134,136,51,6,44,227,51,7,49,221,58,2,147,121,181,0,90,33,7,17,60,2,0,15,94,157,60,1,266,1,64,1,25,238,64,2,219,25,3,1,1,13,64,1,75,73,61,54,68,8,97,111,35,9,72,4,37,177,38,79,6,54,157,32,238,2,86,2,130,4,191,3,221,2,97,8,198,2,94,34,286,2,29,11,279,3,43,3,84,4,4,4,31,50,151,84,3,4,11,28,51,147,91,5,100,69,31,32,91,1,32,65,66,73,91,0,60,77,52,48,192,12,105,19,192,35,68,33,192,32,77,27,96,2,127,103,225,0,38,65,295,1,5,1,1,7,3,1,14,170,0,6,14,12,18,4,7,12,9,2,4,9,7,3,12,39,113,3,130,82,0,0,113,2,59,48,61,26,16,3,0,118,5,129,55,21,118,3,33,52,59,35,28,2.6280487804878048,1.624790643634642,3.575,2.5808714489291087,12.926701570680628,5.792451449942838,3.054726368159204,1.6917417207574101
