ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B9..99,B9.1,B9.2,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V2.2,V2.3,V2a..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V4_6..99,V5a_1..99,V5a_2..99,V5a_3..99,V5a_4..99,V5a_5..99,V5a_6..99,V5a_7..99,V5a_8..99,V5a_9..99,V5b_1..99,V5b_2..99,V5b_3..99,V5b_4..99,V5b_5..99,V5b_6..99,V5b_7..99,V5b_8..99,V5b_9..99,V5c_1..99,V5c_2..99,V5c_3..99,V5c_4..99,V5c_5..99,V5c_6..99,V5c_7..99,V5c_8..99,V5c_9..99,V5d_1..99,V5d_2..99,V5d_3..99,V5d_4..99,V5d_5..99,V5d_6..99,V5d_7..99,V5d_8..99,V5d_9..99,V6_1..99,V6_2..99,V6_3..99,V6_4..99,V6_5..99,V6_6..99,V6_7..99,V9..99,V9..77,V9.1,V9.2,V9.3,V9.4,V10_1..99,V10_2..99,V10_3..99,V10_4..99,V10_5..99,V10_6..99,V10_7..99,V10_8..99,V10_9..99,V10_10..99,V11..99,V12..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1.1,B13_2..99,B13_2.2,B13_3..99,B13_3.2,B13_4..99,B13_4..77,B13_5..99,B13_5.2,B13_6..99,B13_6.1,B13_7..99,B13_7.1,B14_1..99,B14_1.2,B14_2..99,B14_2.2,B14_3..99,B14_3.2,B14_4..99,B14_4.2,B14_5..99,B14_5.1,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C9a..99,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9.1,D9.3,D9.4,D9.7,D10..99,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.12,D10.14,D10.15,E3..99,E3.1,E3.2,E3.3,E3.4,E4..99,E4.1,E4.2,E4.3,E4.4,E4.5,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BH,BHR,Bahrain,2021-01-29,2021-01-14,100,6,371254.7065617615,3,122077.4216247459,46,82,5387770.6443737205,41,13,10,77,11,13,76,10,11,79,11,20,69,15,14,71,13,22,65,13,13,74,14,10,76,15,12,73,14,7,79,14,17,69,13,17,70,15,11,74,14,29,57,90,5,3,2,87,4,7,2,89,5,5,1,80,3,12,5,86,4,6,4,78,5,9,8,87,4,6,3,90,4,5,1,88,4,6,2,93,3,4,0,83,4,6,7,83,3,5,9,89,3,5,3,71,4,17,8,18,0,12,70,91,1,5,3,23,1,35,41,65,1,16,18,84,1,15,84,10,6,90,4,6,41,0,13,46,86,1,0,13,0,100,0,0,0,24,1,34,16,9,16,31,11,23,19,16,31,9,24,23,13,31,3,28,20,18,31,8,28,19,14,31,12,14,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,19,12,12,22,0,0,0,0,0,0,0,0,0,0,0,0,87,5,3,5,87,6,3,4,87,6,4,3,87,6,2,5,87,6,2,5,87,6,2,5,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,35,3,26,36,35,3,47,15,35,3,26,36,35,3,26,36,35,2,12,51,35,1,15,49,40,27,33,73,11,11,1,4,43,1,2,8,21,25,43,1,52,4,44,1,11,44,44,37,6,3,3,4,3,44,1,25,13,11,6,44,23,14,13,6,46,0,5,45,4,0,46,1,9,40,4,75,1,21,3,54,2,39,5,74,1,22,3,74,1,19,6,88,1,8,3,85,1,11,3,48,2,3,4,12,31,48,1,1,4,6,6,34,50,1,16,13,10,10,50,8,5,12,25,50,1,12,10,11,16,79,4,15,2,79,5,9,7,79,7,10,4,52,23,25,75,14,11,87,2,2,1,8,65,4,2,3,3,2,2,1,2,1,3,1,1,10,59,22,14,2,3,59,3,13,10,11,4,59,1,27,5,8,59,13,13,7,2,6,6.5,10.956141521404195,12.333333333333334,9.291573243177568,11.96774193548387,6.193996399567041,3.1818181818181817,2.3110406943429385
BH,BHR,Bahrain,2021-01-30,2021-01-15,100,5,346518.9494036293,2,97341.6644666137,46,82,6158156.317014148,41,14,9,77,12,13,75,11,10,79,12,19,69,15,13,72,14,22,64,12,13,75,15,9,76,15,11,74,15,6,79,15,16,69,14,16,70,16,10,74,15,28,57,91,5,2,2,87,4,6,3,90,5,4,1,81,3,11,5,87,4,5,4,78,6,8,8,87,4,6,3,91,4,4,1,89,4,5,2,94,3,3,0,84,4,5,7,84,3,4,9,90,3,4,3,72,5,16,7,18,0,12,70,91,1,5,3,22,1,37,40,63,1,16,20,84,1,15,84,10,6,90,4,6,40,1,13,46,84,1,0,15,0,100,0,0,0,23,1,35,16,8,17,31,11,24,19,15,31,9,25,22,13,31,3,28,20,18,31,8,28,19,14,31,12,14,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,18,12,12,23,0,0,0,0,0,0,0,0,0,0,0,0,87,5,3,5,87,6,3,4,87,6,4,3,87,6,2,5,87,6,2,5,87,6,2,5,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,35,3,25,37,35,3,46,16,35,2,26,37,35,2,27,36,35,2,11,52,35,1,14,50,40,27,33,73,11,12,1,3,44,1,2,8,21,24,44,1,51,4,45,1,11,43,45,37,5,3,3,4,3,45,1,25,13,11,5,45,22,14,13,6,47,0,5,44,4,0,47,1,9,39,4,76,1,20,3,55,2,38,5,74,1,22,3,73,1,20,6,89,1,7,3,86,1,10,3,48,2,3,4,12,31,48,1,1,4,6,6,34,50,1,16,13,10,10,50,8,5,12,25,50,1,12,10,11,16,79,4,15,2,79,5,9,7,79,7,10,4,52,23,25,75,14,11,87,2,2,1,8,65,4,2,3,3,2,2,1,2,1,3,1,1,10,59,22,14,2,3,59,3,13,10,11,4,59,1,27,5,8,59,13,13,7,2,6,6.310344827586207,10.807085798136141,12.333333333333334,9.291573243177568,11.96774193548387,6.193996399567041,3.1818181818181817,2.3110406943429385
BH,BHR,Bahrain,2021-01-31,2021-01-15,100,5,346518.9494036293,2,97341.6644666137,46,81,6718471.883176441,41,13,9,78,11,12,77,10,11,79,12,18,70,14,15,71,13,22,65,11,13,76,14,9,77,14,11,75,14,6,80,14,16,70,13,16,71,15,10,75,14,28,58,91,5,2,2,88,4,6,2,89,5,4,2,82,3,10,5,85,4,5,6,78,6,8,8,87,4,6,3,91,4,4,1,89,4,5,2,94,3,3,0,84,4,5,7,84,3,4,9,90,3,4,3,72,5,16,7,18,1,12,69,90,1,5,4,21,1,38,40,62,1,16,21,84,1,15,84,9,7,91,4,5,39,1,13,47,81,1,1,16,1,99,1,0,0,23,1,35,16,8,17,31,11,25,18,15,31,9,26,21,13,31,3,29,19,18,31,8,29,18,14,31,12,15,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,17,12,11,25,0,0,0,0,0,0,0,0,0,0,0,0,87,5,3,5,87,6,3,4,87,6,4,3,87,6,2,5,87,6,2,5,87,6,2,5,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,35,3,26,36,35,3,46,16,35,2,26,37,35,2,27,36,35,2,10,53,35,1,14,50,40,28,32,72,12,12,1,3,44,1,2,8,23,22,44,1,51,4,45,1,10,44,45,37,4,3,3,4,4,45,1,25,15,10,4,45,24,14,12,5,47,0,6,43,4,0,47,1,10,38,4,75,1,21,3,55,2,38,5,74,1,22,3,73,1,20,6,90,1,6,3,86,1,10,3,48,2,3,4,11,32,48,1,1,4,6,5,35,50,1,16,12,12,9,50,7,5,11,27,50,1,11,10,11,17,80,4,15,1,80,5,9,6,80,7,10,3,52,23,25,75,13,12,88,2,2,1,7,66,4,2,2,3,2,2,1,2,1,4,1,1,9,59,22,14,2,3,59,3,11,11,11,5,59,1,27,5,8,59,14,12,7,2,6,6.607142857142858,10.925130004190596,12.333333333333334,9.291573243177568,12.096774193548388,6.150093976028211,3.121212121212121,2.3151346580379477
BH,BHR,Bahrain,2021-02-01,2021-01-15,100,5,346518.9494036293,2,97341.6644666137,46,81,6951934.4466074575,39,13,9,78,11,12,77,10,12,78,12,18,70,14,16,70,13,22,65,11,13,76,14,9,77,14,11,75,14,6,80,14,16,70,13,16,71,15,10,75,14,29,57,91,5,2,2,88,4,6,2,88,5,5,2,82,3,10,5,84,4,6,6,78,6,8,8,87,4,6,3,91,4,4,1,89,4,5,2,94,3,3,0,84,4,5,7,84,3,4,9,90,3,4,3,71,5,17,7,18,1,12,69,90,1,5,4,21,1,38,40,62,1,17,20,83,1,16,83,9,8,91,4,5,40,1,13,46,79,1,1,17,2,99,1,0,0,23,1,35,16,8,17,31,10,24,19,16,31,9,25,21,14,31,3,29,19,18,31,8,28,19,14,31,11,16,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,16,13,11,25,0,0,0,0,0,0,0,0,0,0,0,0,87,5,3,5,87,6,3,4,87,6,4,3,87,6,2,5,87,6,2,5,87,6,2,5,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,36,3,26,35,36,3,44,17,36,2,26,36,36,2,27,35,36,2,10,52,36,1,14,49,41,28,31,72,12,12,1,3,45,1,2,8,23,21,45,1,51,3,46,1,11,42,46,36,4,3,3,4,4,46,1,25,14,10,4,46,23,14,12,5,48,0,6,42,4,0,48,1,10,37,4,75,1,21,3,57,2,36,5,74,1,22,3,73,1,20,6,90,1,6,3,86,1,10,3,49,2,3,5,11,30,49,1,1,4,6,6,33,52,1,15,11,12,9,52,7,5,10,26,52,1,11,9,10,17,81,4,14,1,81,5,9,5,81,7,10,2,54,22,24,76,13,11,88,2,2,1,7,67,4,2,2,3,2,2,1,2,1,3,1,1,9,61,22,12,2,3,61,3,11,10,10,5,61,1,25,5,8,61,14,10,7,2,6,6.689655172413793,10.737462616851145,12.333333333333334,9.291573243177568,12,6.231178556813836,3.129032258064516,2.376859769862622
BH,BHR,Bahrain,2021-02-02,2021-01-16,100,5,346518.9494036293,2,97341.6644666137,45,81,6824011.826978612,38,13,9,78,11,11,78,9,12,79,11,18,71,13,16,71,12,22,66,10,14,76,14,8,78,13,11,76,13,6,81,13,16,71,12,16,72,15,9,76,14,28,58,91,5,2,2,89,3,6,2,88,5,5,2,82,3,10,5,84,4,6,6,78,6,8,8,86,4,7,3,92,3,4,1,89,4,5,2,94,3,3,0,84,4,5,7,84,3,4,9,91,2,4,3,72,4,17,7,18,1,11,70,91,1,4,4,21,1,39,39,61,0,18,21,82,1,17,82,9,9,91,3,6,40,1,13,46,76,1,1,20,2,99,1,0,0,23,1,33,16,8,19,30,10,24,20,16,30,9,26,21,14,30,3,29,20,18,30,8,29,20,13,30,11,16,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,17,14,10,25,0,0,0,0,0,0,0,0,0,0,0,0,87,5,3,5,87,6,3,4,87,6,4,3,87,6,2,5,87,6,2,5,87,6,2,5,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,35,3,27,35,35,3,44,18,35,1,27,37,35,2,27,36,35,2,10,53,35,1,14,50,41,27,32,73,12,11,1,3,45,1,2,8,22,22,45,0,52,3,47,1,11,41,47,35,4,3,3,4,4,47,1,25,14,9,4,47,23,14,11,5,49,0,5,42,4,0,49,1,10,37,3,75,1,21,3,58,2,35,5,74,1,22,3,74,1,19,6,90,1,6,3,86,1,10,3,50,2,3,5,11,29,50,1,1,4,6,5,33,52,1,14,11,12,10,52,7,5,9,27,52,1,11,8,10,18,82,4,13,1,82,5,8,5,82,6,10,2,54,21,25,75,13,12,88,2,2,1,7,68,4,2,1,3,2,2,1,2,1,3,1,1,9,62,21,12,2,3,62,3,11,10,9,5,62,1,24,5,8,62,14,9,7,2,6,6.551724137931035,10.785526700486006,12.333333333333334,9.291573243177568,12,6.231178556813836,3.1333333333333333,2.4173700918393815
BH,BHR,Bahrain,2021-02-03,2021-01-17,100,5,346518.9494036293,2,97341.6644666137,43,82,8053823.453646165,38,14,8,78,10,12,78,9,11,80,10,19,71,13,16,71,12,23,65,9,14,77,14,7,79,12,9,79,14,5,81,13,14,73,11,17,72,15,9,76,13,28,59,92,4,2,2,88,2,7,3,89,4,5,2,81,2,11,6,84,3,7,6,77,6,9,8,86,3,8,3,93,2,4,1,91,3,4,2,95,3,2,0,86,3,5,6,83,3,5,9,91,2,4,3,72,3,18,7,17,1,9,73,93,0,4,3,20,0,40,40,60,1,17,22,83,1,16,83,8,9,92,3,5,38,1,12,49,70,1,2,25,2,98,1,1,0,23,1,33,16,8,19,30,10,24,18,18,30,8,25,21,16,30,3,29,19,19,30,7,32,17,14,30,10,16,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,18,11,11,27,0,0,0,0,0,0,0,0,0,0,0,0,88,5,2,5,88,5,3,4,88,5,4,3,88,5,2,5,88,5,2,5,88,5,2,5,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,35,3,30,32,35,3,45,17,35,1,28,36,35,2,28,35,35,2,11,52,35,1,14,50,41,26,33,74,9,11,2,4,44,1,3,8,19,25,44,0,52,4,46,2,10,42,46,35,4,3,3,5,4,46,1,25,14,10,4,47,23,13,10,7,49,0,6,42,3,0,49,1,8,40,2,72,1,23,4,57,2,34,7,73,1,23,3,73,1,18,8,89,1,6,4,86,1,10,3,50,2,2,6,10,30,50,1,1,4,6,4,34,52,1,12,12,12,11,52,6,5,9,28,52,1,11,8,9,19,82,3,13,2,82,5,9,4,82,6,10,2,54,21,25,75,13,12,88,1,2,1,8,68,4,2,1,3,1,2,1,3,1,3,1,1,9,62,23,10,2,3,62,3,12,10,8,5,62,1,23,6,8,62,13,10,7,2,6,6.5,10.601723997734423,12.333333333333334,9.291573243177568,12.566666666666668,6.095127128505498,3.129032258064516,2.4185661797005675
BH,BHR,Bahrain,2021-02-04,2021-01-18,100,6,369225.4596339608,2,97341.6644666137,48,81,8164035.030793872,39,12,9,79,10,12,78,8,11,81,10,18,72,12,16,72,11,23,66,7,15,78,13,7,80,11,9,80,12,6,82,12,15,73,10,18,72,13,10,77,11,28,61,91,4,3,2,88,2,7,3,89,4,6,1,82,2,10,6,84,4,6,6,77,6,9,8,85,3,9,3,93,2,4,1,91,3,4,2,94,3,3,0,85,3,6,6,82,3,6,9,90,2,4,4,72,3,18,7,18,1,9,72,93,0,5,2,21,0,41,38,59,1,16,24,84,1,15,84,7,9,93,2,5,38,2,13,47,67,1,2,28,2,98,1,1,0,24,0,33,16,8,19,31,10,22,21,16,31,9,25,22,13,31,4,27,20,18,31,8,31,18,12,31,11,15,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,17,12,10,27,0,0,0,0,0,0,0,0,0,0,0,0,87,5,3,5,87,5,4,4,87,5,5,3,87,5,3,5,87,5,2,6,87,5,1,7,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,36,3,30,31,36,4,42,18,36,2,27,35,36,3,26,35,36,3,10,51,36,2,12,50,41,25,34,75,7,11,2,5,44,0,5,8,19,24,44,0,51,5,46,1,10,43,46,34,4,3,3,5,5,46,0,26,13,10,5,47,21,13,10,9,48,1,6,42,3,0,49,1,8,39,3,72,1,23,4,60,1,32,7,74,1,22,3,75,0,18,7,90,0,6,4,88,0,10,2,51,1,2,6,10,30,51,0,1,4,6,5,33,53,1,13,12,11,10,53,5,5,10,27,53,1,11,8,9,18,81,3,14,2,81,5,10,4,81,6,11,2,54,21,25,75,13,12,88,1,2,1,8,68,4,3,1,3,1,2,1,3,1,3,1,1,8,61,23,11,2,3,61,3,12,10,8,6,61,1,24,6,8,61,13,11,7,2,6,5.966666666666667,9.7467353803575,10.75,8.220908303425682,12.67741935483871,6.024323457308677,3.1875,2.4021160026781763
BH,BHR,Bahrain,2021-02-05,2021-01-18,100,6,369225.4596339608,2,97341.6644666137,49,81,8199642.522304897,39,12,9,79,10,13,77,8,11,81,10,19,71,12,17,71,11,24,65,7,16,77,13,8,79,11,9,80,12,7,81,12,15,73,10,18,72,13,11,76,11,29,60,91,4,3,2,87,2,7,4,89,4,6,1,81,2,9,8,83,4,6,7,76,6,10,8,84,3,10,3,92,2,4,2,91,3,4,2,93,3,4,0,85,3,6,6,82,3,7,8,89,2,4,5,71,3,18,8,18,1,10,71,92,0,5,3,21,0,40,39,60,1,16,23,84,1,15,84,7,9,93,2,5,38,2,13,47,65,1,2,30,2,98,1,1,0,24,0,32,16,10,18,31,9,21,22,17,31,8,24,23,14,31,4,25,20,20,31,7,30,19,13,31,10,15,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,18,12,11,25,0,0,0,0,0,0,0,0,0,0,0,0,87,6,3,4,87,6,4,3,87,6,5,2,87,5,4,4,87,6,2,5,87,6,1,6,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,36,2,29,33,36,3,42,19,36,1,26,37,36,2,26,36,36,2,10,52,36,2,12,50,41,25,34,75,8,10,2,5,44,0,5,8,20,23,44,0,51,5,46,1,10,43,46,34,3,3,3,5,6,46,0,27,14,9,4,47,21,14,9,9,48,1,6,42,3,0,49,1,8,39,3,73,1,22,4,60,1,32,7,75,1,21,3,75,0,18,7,90,0,6,4,88,0,10,2,51,1,2,7,10,29,51,0,1,4,5,7,32,53,1,13,12,11,10,53,5,4,10,28,53,1,11,8,9,18,81,3,14,2,81,5,10,4,81,6,11,2,54,20,26,74,13,13,88,1,2,1,8,69,5,3,1,3,1,2,1,3,1,2,1,1,7,61,23,11,2,3,61,4,12,10,8,5,61,1,23,6,9,61,13,10,8,2,6,5.935483870967742,9.598386961258882,8.8,8.34865258589672,12.548387096774194,5.766794081506173,2.96875,2.429448032359508
BH,BHR,Bahrain,2021-02-10,2021-01-18,100,5,347952.9324530909,2,97341.6644666137,54,82,8207538.801879303,40,12,8,80,10,12,78,8,11,81,10,20,70,12,18,70,11,23,66,7,15,78,13,8,79,11,8,81,12,7,81,12,14,74,10,17,73,13,10,77,11,28,61,92,4,2,2,88,2,6,4,89,4,6,1,80,2,10,8,82,4,7,7,77,6,9,8,85,3,9,3,92,2,4,2,92,3,3,2,93,3,4,0,86,3,6,5,83,3,7,7,90,2,4,4,72,3,18,7,17,1,11,71,91,0,5,4,20,0,40,40,60,1,16,23,84,1,15,84,7,9,93,2,5,37,2,13,48,64,1,2,31,2,98,1,1,1,23,0,32,16,11,18,30,9,21,23,17,30,8,24,24,14,30,4,25,21,20,30,7,30,20,13,30,10,15,17,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,1,18,13,11,25,1,1,1,1,1,1,1,1,1,1,1,1,87,6,3,4,87,6,4,3,87,6,5,2,87,5,4,4,87,6,2,5,87,6,1,6,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,35,2,29,34,35,3,43,19,35,1,26,38,35,2,27,36,35,2,11,52,35,2,12,51,40,25,35,75,8,10,2,5,43,0,5,8,21,23,43,0,52,5,45,1,10,44,45,35,3,3,3,5,6,45,0,27,15,9,4,46,21,15,9,9,47,1,6,43,3,1,48,1,8,40,3,73,1,22,4,59,1,33,7,75,1,21,3,74,0,19,7,89,0,7,4,88,0,10,2,50,1,2,7,11,29,50,0,1,4,5,8,32,52,1,13,13,11,10,52,5,4,11,28,52,1,11,8,10,18,81,3,14,2,81,5,10,4,81,6,11,2,53,20,27,73,13,14,88,1,2,1,8,69,5,3,1,3,1,2,1,3,1,2,1,1,7,60,23,11,3,3,60,4,12,10,9,5,60,1,24,6,9,60,13,10,9,2,6,5.78125,9.48252850110104,8.166666666666666,7.626707459098367,12.4375,5.707592566330029,3.0303030303030303,2.417189076241871
BH,BHR,Bahrain,2021-02-15,2021-01-19,100,5,347952.9324530909,2,97341.6644666137,54,82,8207480.103584173,40,12,8,80,10,12,78,8,11,81,10,20,70,12,18,70,11,23,66,7,15,78,13,8,79,11,8,81,12,7,81,12,14,74,10,17,73,13,10,77,11,28,61,92,4,2,2,88,2,6,4,89,4,6,1,80,2,10,8,82,4,7,7,77,6,9,8,85,3,9,3,92,2,4,2,92,3,3,2,93,3,4,0,86,3,6,5,83,3,7,7,90,2,4,4,72,3,18,7,17,1,11,71,91,0,5,4,20,0,41,39,59,1,16,24,84,1,15,84,7,9,93,2,5,37,2,13,48,63,1,2,32,2,98,1,1,2,23,0,32,16,11,18,30,8,22,23,17,30,7,25,24,14,30,3,26,21,20,30,6,31,20,13,30,10,14,17,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,1,19,13,11,24,2,2,2,2,2,2,2,2,2,2,2,2,87,6,3,4,87,6,4,3,87,6,5,2,87,5,4,4,87,6,2,5,87,6,1,6,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,99,1,34,2,29,35,34,3,43,20,34,1,26,39,34,2,27,37,34,2,11,53,34,2,12,52,39,25,36,75,8,10,2,5,42,0,5,8,22,23,42,0,53,5,44,1,10,45,44,36,3,3,3,5,6,44,0,28,15,9,4,45,22,15,9,9,46,1,6,43,4,2,47,1,8,41,3,73,1,22,4,59,1,33,7,75,1,21,3,74,0,19,7,89,0,7,4,88,0,10,2,49,2,2,7,11,29,49,0,2,4,5,8,32,51,1,14,13,11,10,51,5,5,11,28,51,1,12,8,10,18,80,3,15,2,80,5,10,5,80,6,11,3,52,20,28,72,14,14,88,1,2,1,8,69,5,3,1,3,1,2,1,3,1,2,1,1,7,60,23,11,3,3,60,4,12,10,9,5,60,1,24,6,9,60,13,10,9,2,6,5.78125,9.48252850110104,8.166666666666666,7.626707459098367,12.4375,5.707592566330029,3.0303030303030303,2.417189076241871
