ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
PT,PRT,Portugal,2020-12-21,2020-12-21,1088,1,1638.4762048350901,0,0,129,1044,6545447.0595548,686,9,1,1078,12,74,1002,12,15,1061,9,110,969,10,119,959,11,71,1006,9,44,1035,10,13,1065,10,32,1046,11,9,1068,9,45,1034,10,130,948,9,30,1049,9,161,918,1087,0,0,1,1015,4,11,58,1074,2,3,9,979,3,21,85,970,2,15,101,1018,1,14,55,1045,0,13,30,1075,1,5,7,1056,1,15,16,1079,1,6,2,1043,1,18,26,959,3,23,103,1059,0,12,17,929,5,49,105,40,4,74,970,1018,0,23,47,52,20,362,654,728,2,81,277,1007,7,72,2,1007,11,68,2,1077,0,0,10,1,159,15,70,844,1088,0,0,0,0,0,69,4,373,361,206,75,890,14,59,101,24,890,13,96,75,14,890,15,91,76,16,890,15,70,89,24,890,15,38,78,67,0,1019,20,11,38,1019,24,4,41,1019,17,22,30,1019,27,3,39,1019,26,3,40,1019,26,6,37,1088,0,0,0,1088,0,0,0,1088,0,0,0,1088,0,0,0,1088,0,0,0,1088,0,0,0,1088,0,0,0,1088,0,0,0,1088,0,0,0,1088,0,0,0,1088,0,0,0,1088,0,0,0,105,19,269,695,105,12,660,311,105,18,396,569,105,15,384,584,105,19,34,930,105,17,78,888,108,4,382,594,706,0,279,61,16,26,120,3,3,46,316,600,120,3,962,3,132,6,175,775,132,0,785,129,12,3,2,25,132,3,187,227,290,249,134,8,354,478,96,18,141,4,224,700,19,158,21,202,688,19,820,6,251,11,429,8,646,5,692,4,387,5,705,5,276,102,1054,1,27,6,1010,1,75,2,166,8,6,24,156,223,505,166,5,5,33,144,244,491,175,6,448,373,60,26,175,3,90,167,300,353,175,3,145,254,291,220,693,39,291,65,693,118,74,203,693,85,165,145,187,9,433,459,629,1,171,287,936,14,22,6,9,7,8,2,84,509,4,10,63,24,59,10,25,56,15,0,19,61,35,38,20,140,369,19,313,380,1,6,369,9,70,114,147,169,114,78,18,388,22,398,176,104,388,16,49,229,273,109,24,2.664723032069971,2.1780692860598645,1.981818181818182,1.394312642167367,10.08728652751423,3.7324964937077407,2.666165413533835,1.3587560320104808
PT,PRT,Portugal,2020-12-22,2020-12-22,1044,0,0,0,0,151,1007,6618094.624900316,680,6,5,1033,6,82,956,5,21,1018,6,100,938,5,130,909,4,64,976,5,34,1005,4,25,1015,6,25,1013,4,13,1027,5,56,983,6,110,928,6,26,1012,6,149,889,1039,0,1,4,962,5,14,63,1023,2,4,15,944,3,23,74,914,5,19,106,980,4,17,43,1010,2,4,28,1019,1,9,15,1019,1,9,15,1031,1,6,6,988,2,15,39,934,5,24,81,1018,2,12,12,895,7,43,99,32,5,79,928,966,0,27,51,37,16,359,632,687,5,83,269,961,12,66,5,961,10,72,1,1034,0,2,7,1,144,13,72,815,1044,0,0,0,0,0,53,7,369,351,189,75,76,53,356,435,124,76,68,529,305,66,76,61,527,304,76,76,71,439,348,110,76,76,194,378,320,0,975,14,15,40,975,18,11,40,975,12,28,29,975,18,5,46,975,17,10,42,975,15,9,45,1044,0,0,0,1044,0,0,0,1044,0,0,0,1044,0,0,0,1044,0,0,0,1044,0,0,0,1044,0,0,0,1044,0,0,0,1044,0,0,0,1044,0,0,0,1044,0,0,0,1044,0,0,0,88,15,267,674,88,12,692,252,88,19,445,492,88,17,393,546,88,20,25,911,88,21,92,843,95,5,389,555,655,0,275,53,21,40,104,6,3,48,276,607,104,2,938,0,119,3,185,737,119,0,765,120,17,4,3,16,119,4,182,231,254,254,123,14,313,461,112,21,129,4,195,701,15,149,15,162,697,21,779,2,248,15,355,3,680,6,602,3,432,7,652,3,297,92,1019,1,19,5,953,2,86,3,163,7,7,24,169,224,450,163,2,3,35,149,249,443,172,11,442,335,53,31,172,1,109,157,275,330,172,1,163,247,281,180,640,35,289,80,640,101,89,214,640,75,162,167,188,11,407,438,606,2,165,271,899,9,28,7,18,9,11,3,60,498,5,10,56,21,47,10,32,54,19,0,13,47,38,36,13,145,345,13,290,395,0,1,345,7,86,130,160,148,99,54,15,357,16,408,132,131,357,7,52,215,293,93,27,2.5069252077562325,2.07647717633376,2.1639344262295084,1.1716132449014118,10.395793499043977,3.466608848351258,2.5776772247360484,1.278304687666722
PT,PRT,Portugal,2020-12-23,2020-12-23,1032,2,11773.70917480161,0,0,157,996,6386003.945050757,670,4,8,1020,1,70,961,3,16,1013,4,105,923,5,118,909,3,68,961,3,34,995,2,15,1015,4,27,1001,1,12,1019,3,29,1000,3,122,907,3,32,997,3,159,870,1024,1,3,4,962,1,14,55,1016,0,6,10,927,1,29,75,914,1,21,96,964,1,17,50,998,0,13,21,1017,0,9,6,1005,1,10,16,1020,0,8,4,1003,0,15,14,910,1,26,95,1000,1,12,19,873,1,38,120,34,2,84,912,950,0,28,54,41,23,363,605,671,3,95,263,937,17,73,5,937,16,78,1,1016,0,0,16,0,165,10,72,785,1032,0,0,0,0,0,48,2,390,347,184,61,76,50,387,413,106,76,55,552,290,59,76,54,533,292,77,76,62,431,355,108,76,66,196,356,338,0,960,12,10,50,960,13,11,48,960,9,21,42,960,14,7,51,960,15,8,49,960,16,3,53,1032,0,0,0,1032,0,0,0,1032,0,0,0,1032,0,0,0,1032,0,0,0,1032,0,0,0,1032,0,0,0,1032,0,0,0,1032,0,0,0,1032,0,0,0,1032,0,0,0,1032,0,0,0,88,13,299,632,88,4,694,246,88,4,453,487,88,9,419,516,88,8,34,902,88,8,81,855,104,5,387,536,645,1,272,65,22,27,113,5,10,36,282,586,113,7,909,3,125,10,173,724,125,1,746,113,12,9,1,25,125,1,161,227,276,242,131,8,320,449,97,27,134,1,204,680,13,143,15,166,687,21,738,7,265,22,344,10,672,6,582,7,434,9,616,7,322,87,998,5,24,5,951,1,75,5,147,12,6,37,142,227,461,147,6,13,40,140,217,469,156,10,446,324,57,39,156,2,79,153,289,353,156,3,143,216,291,223,675,28,270,59,675,103,75,179,675,83,154,120,163,13,416,440,592,1,173,266,875,8,24,4,25,19,15,4,58,463,2,10,58,33,60,7,23,49,22,4,15,59,28,25,24,150,342,10,290,383,2,5,342,2,60,123,171,149,111,57,17,356,20,397,144,115,356,16,59,215,279,75,32,2.729106628242075,2.097711402985657,2.0606060606060606,1.390946416916171,10.157996146435453,3.555148617302069,2.650621118012422,1.3479953156445617
PT,PRT,Portugal,2020-12-24,2020-12-24,791,0,0,0,0,106,764,6194706.419294927,513,2,1,788,1,58,732,1,11,779,0,82,709,0,99,692,1,48,742,2,34,755,3,16,772,1,13,777,2,11,778,2,27,762,4,104,683,2,20,769,2,103,686,790,0,0,1,733,2,12,44,780,1,4,6,709,2,21,59,692,4,17,78,743,3,15,30,757,4,6,24,775,1,9,6,778,0,7,6,780,0,7,4,764,1,10,16,687,5,17,82,771,1,9,10,688,5,29,69,27,0,53,711,740,0,22,29,32,11,285,463,506,3,85,197,706,17,67,1,706,23,62,0,768,0,2,20,1,132,7,62,590,791,0,0,0,0,0,36,3,319,274,118,41,61,37,286,335,72,61,46,401,243,40,61,39,413,226,52,61,45,349,267,69,61,60,148,276,246,0,729,13,8,41,729,17,7,38,729,11,21,30,729,13,10,39,729,16,3,43,729,16,4,42,791,0,0,0,791,0,0,0,791,0,0,0,791,0,0,0,791,0,0,0,791,0,0,0,791,0,0,0,791,0,0,0,791,0,0,0,791,0,0,0,791,0,0,0,791,0,0,0,66,9,217,499,66,3,527,195,66,9,331,385,66,10,330,385,66,11,22,692,66,10,65,650,74,2,329,386,462,0,215,58,27,29,81,1,2,34,222,451,81,3,706,1,98,4,132,557,98,0,557,98,9,9,5,15,98,3,135,132,228,195,101,6,231,348,91,14,107,1,138,535,10,123,6,131,521,10,575,2,209,5,267,2,516,6,462,3,321,5,464,2,231,94,770,1,14,6,726,0,60,5,131,4,8,23,83,197,345,131,6,11,35,75,177,356,136,4,321,266,50,14,136,5,70,109,199,272,136,3,103,188,205,156,507,22,209,53,507,85,60,139,507,64,118,102,150,4,331,306,485,2,123,181,678,7,9,2,13,10,9,4,59,350,3,10,51,17,36,10,18,46,15,0,13,43,32,22,13,112,260,9,274,244,1,3,260,1,50,67,128,128,100,43,14,273,13,300,118,87,273,10,52,153,209,73,21,2.704119850187266,2.396445886690866,2.325,1.2887580982858793,10.51392405063291,3.5181449230810276,2.5608870967741937,1.291151869790488
PT,PRT,Portugal,2020-12-25,2020-12-25,1080,1,4888.80360397616,0,0,146,1041,6734156.151266825,685,11,3,1066,8,59,1013,9,16,1055,9,85,986,4,137,939,8,65,1007,9,50,1021,9,20,1051,10,19,1051,10,11,1059,7,28,1045,12,126,942,10,31,1039,11,123,946,1077,0,0,3,1021,3,10,46,1064,0,6,10,995,5,16,64,943,3,18,116,1015,2,16,47,1030,1,12,37,1060,0,9,11,1061,1,7,11,1069,0,7,4,1052,2,6,20,954,3,21,102,1049,0,10,21,957,3,35,85,32,7,79,962,1008,0,24,48,42,21,398,619,682,8,110,280,970,14,96,0,970,40,70,0,1040,0,1,39,0,181,10,71,818,1080,0,0,0,0,0,58,6,394,365,180,77,91,63,395,419,112,91,70,546,310,63,91,66,541,289,93,91,81,431,345,132,91,96,203,347,343,0,1013,11,9,47,1013,12,9,46,1013,10,28,29,1013,12,11,44,1013,13,8,46,1013,13,8,46,1080,0,0,0,1080,0,0,0,1080,0,0,0,1080,0,0,0,1080,0,0,0,1080,0,0,0,1080,0,0,0,1080,0,0,0,1080,0,0,0,1080,0,0,0,1080,0,0,0,1080,0,0,0,101,16,207,756,101,13,650,316,101,17,391,571,101,14,564,401,101,20,28,931,101,21,78,880,114,5,518,443,562,0,331,133,31,23,119,9,5,46,283,618,119,9,950,2,131,10,150,789,131,2,765,139,13,7,4,19,131,3,168,210,301,267,139,14,295,516,88,28,143,2,210,704,21,165,20,177,687,31,874,4,187,15,434,5,640,1,690,2,379,9,518,6,406,150,1052,1,20,7,1002,0,75,3,176,9,9,22,141,234,489,176,5,10,32,136,236,485,180,14,440,340,77,29,180,4,90,146,302,358,180,3,145,244,278,230,696,34,290,60,696,111,76,197,696,87,167,130,196,6,480,398,682,2,161,235,936,18,16,11,19,14,13,2,51,457,5,15,58,35,48,11,25,49,21,1,19,67,56,26,20,167,361,13,333,369,1,3,361,5,55,113,160,179,121,70,16,387,19,367,166,141,387,11,46,204,302,101,29,2.7626461538461538,2.3113395482106274,2.240740740740741,1.2579585916511222,10.328358208955224,3.468471869940421,2.860182370820669,1.4072744137766715
PT,PRT,Portugal,2020-12-26,2020-12-26,1303,2,6690.04037900823,0,0,172,1252,6622264.98046319,795,9,8,1286,8,85,1210,8,24,1271,7,116,1180,9,166,1128,6,78,1219,8,65,1230,8,21,1274,9,27,1267,9,12,1282,10,53,1240,8,146,1149,9,41,1253,7,165,1131,1295,2,2,4,1218,2,18,65,1279,3,8,13,1187,7,33,76,1137,4,38,124,1225,5,16,57,1238,3,18,44,1282,2,7,12,1276,2,9,16,1291,1,7,4,1250,2,15,36,1157,9,35,102,1262,2,12,27,1138,6,55,104,48,3,109,1143,1196,0,43,64,62,17,447,777,856,6,115,326,1188,8,105,2,1188,28,87,0,1275,0,5,23,0,205,10,101,987,1303,0,0,0,0,0,90,1,505,441,189,77,125,81,405,565,127,125,74,677,358,69,125,70,638,367,103,125,87,525,420,146,125,104,258,432,384,0,1209,25,14,55,1209,29,8,57,1209,20,23,51,1209,31,11,52,1209,31,3,60,1209,26,8,60,1303,0,0,0,1303,0,0,0,1303,0,0,0,1303,0,0,0,1303,0,0,0,1303,0,0,0,1303,0,0,0,1303,0,0,0,1303,0,0,0,1303,0,0,0,1303,0,0,0,1303,0,0,0,135,21,218,929,135,19,613,536,135,19,402,747,135,20,678,470,135,30,43,1095,135,32,69,1067,153,2,620,528,683,0,388,181,33,18,167,8,10,75,375,668,167,11,1121,4,183,17,167,936,183,1,909,166,16,4,2,22,183,3,152,274,449,242,189,9,385,577,123,20,196,3,218,865,21,229,13,203,828,30,1085,1,204,13,693,7,597,6,901,3,390,9,628,6,463,206,1260,0,30,13,1234,1,61,7,238,20,11,32,138,284,580,238,8,11,36,152,257,601,256,7,528,415,68,29,256,4,102,186,370,385,256,0,177,300,317,253,829,32,358,84,829,129,101,244,829,112,178,184,266,5,509,523,780,0,204,319,1124,24,17,4,26,12,10,3,83,619,6,15,72,21,49,18,36,66,21,0,22,76,44,30,25,183,480,14,342,459,0,8,480,5,93,131,186,174,148,70,16,499,26,462,180,136,499,16,55,231,360,105,37,2.607843137254902,2.0576786746620996,1.8630136986301369,0.9619867822658406,10.135860979462874,3.5458827871400906,2.8701822916666666,1.4628592559473306
PT,PRT,Portugal,2020-12-27,2020-12-27,1575,1,2283.32193092015,1,2283.32193092015,199,1522,6751972.239371138,1022,8,4,1563,9,105,1461,5,23,1547,9,127,1439,7,226,1342,8,90,1477,8,71,1496,7,21,1547,8,27,1540,7,18,1550,6,55,1514,8,182,1385,10,51,1514,9,199,1367,1571,0,0,4,1470,2,15,88,1552,1,5,17,1448,2,24,101,1349,6,39,181,1485,3,20,67,1504,2,17,52,1554,1,11,9,1548,3,10,14,1557,0,11,7,1520,0,17,38,1393,3,34,145,1524,3,10,38,1376,6,45,148,48,5,112,1410,1465,2,30,78,60,20,542,953,1034,6,117,418,1458,15,101,1,1458,27,90,0,1548,0,2,23,2,208,30,98,1239,1575,0,0,0,0,0,81,7,720,492,216,59,122,100,599,613,141,122,87,879,424,63,122,90,863,407,93,122,95,704,516,138,122,117,335,573,428,0,1480,24,8,63,1480,25,16,54,1480,17,35,43,1480,29,10,56,1480,28,7,60,1480,24,13,58,1575,0,0,0,1575,0,0,0,1575,0,0,0,1575,0,0,0,1575,0,0,0,1575,0,0,0,1575,0,0,0,1575,0,0,0,1575,0,0,0,1575,0,0,0,1575,0,0,0,1575,0,0,0,138,30,229,1178,138,20,777,640,138,31,497,909,138,27,683,727,138,32,53,1352,138,36,85,1316,148,6,619,802,956,1,443,122,32,21,158,12,8,77,479,841,158,10,1405,2,178,10,186,1201,178,0,1152,183,16,4,2,40,178,3,199,351,564,280,188,20,491,712,141,23,195,7,297,1050,26,222,24,256,1042,31,1348,5,216,6,802,9,761,3,1080,6,484,5,895,4,461,215,1523,1,36,15,1491,4,77,3,230,9,12,46,210,331,737,230,4,16,45,214,330,736,236,13,646,543,100,37,236,2,149,223,430,535,236,2,232,390,400,315,958,54,442,121,958,181,114,322,958,125,268,224,249,11,623,692,883,0,274,418,1335,19,33,3,28,15,16,8,118,717,3,23,85,35,91,18,44,62,32,0,39,65,57,51,25,228,515,11,421,623,2,3,515,4,95,180,264,230,176,84,27,541,37,568,229,200,541,28,88,327,408,136,47,2.6219123505976096,2.0655326378759042,1.9885057471264367,1.2894405932695145,9.84375,3.791130236713165,2.6670081967213113,1.3035563441972302
PT,PRT,Portugal,2020-12-28,2020-12-27,100,0,0,0,0,8,93,431565.0932505778,29,0,0,100,0,11,89,0,2,98,0,14,86,0,15,85,0,5,95,0,6,94,0,1,99,0,3,97,0,0,100,0,2,98,0,9,91,0,2,98,0,11,89,100,0,0,0,89,0,0,11,98,0,1,1,86,1,2,11,85,1,5,9,95,1,1,3,94,0,2,4,99,0,0,1,97,0,1,2,100,0,0,0,98,0,1,1,91,0,1,8,98,0,1,1,89,0,5,6,7,0,4,89,96,0,0,4,10,1,42,47,58,2,6,34,94,2,4,0,94,1,5,0,99,0,1,0,0,19,4,4,73,100,0,0,0,0,0,11,1,44,30,12,2,14,6,34,34,12,14,5,51,27,3,14,7,51,22,6,14,5,47,26,8,14,7,25,32,22,0,96,2,1,1,96,2,0,2,96,0,4,0,96,2,0,2,96,2,0,2,96,2,1,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,17,4,15,64,17,4,43,36,17,4,29,50,17,3,39,41,17,5,5,73,17,5,4,74,18,0,36,46,64,1,20,9,3,3,19,0,1,6,28,46,19,0,81,0,22,2,9,67,22,0,62,11,0,0,0,5,22,2,13,14,27,22,24,2,35,29,9,1,24,0,16,59,1,31,1,11,55,2,85,0,14,1,57,0,41,2,71,1,25,3,61,2,26,11,95,0,2,3,96,0,3,1,31,0,0,1,9,20,39,31,0,1,2,10,14,42,32,1,42,22,2,1,32,0,10,15,22,21,32,0,16,23,18,11,62,4,25,9,62,10,9,19,62,6,20,12,34,0,33,33,67,0,20,13,85,3,2,0,1,0,2,0,7,52,0,0,8,3,8,0,0,4,1,0,0,3,5,2,2,12,62,0,19,19,0,0,62,0,2,6,9,13,5,2,1,67,3,19,4,7,67,3,4,8,14,3,1,2.7333333333333334,1.9464084224865132,2,2,10.821428571428571,2.24521831700289,2.3,1.235955584516107
PT,PRT,Portugal,2020-12-30,2020-12-30,1383,1,2898.8773753584496,0,0,216,1335,7231124.574345272,909,16,7,1360,18,93,1272,14,15,1354,15,123,1245,14,165,1204,16,88,1279,16,60,1307,17,17,1349,18,37,1328,14,24,1345,16,41,1326,13,190,1180,15,68,1300,13,212,1158,1376,2,1,4,1290,3,21,69,1368,1,1,13,1260,8,23,92,1218,7,35,123,1295,5,17,66,1323,1,15,44,1366,2,6,9,1346,3,13,21,1359,2,13,9,1342,2,15,24,1193,5,36,149,1315,2,14,52,1171,5,52,155,43,5,120,1215,1265,2,43,73,55,21,505,802,878,8,122,375,1261,18,102,2,1261,35,86,1,1348,0,4,29,2,209,12,101,1061,1383,0,0,0,0,0,73,7,684,412,160,47,114,77,558,517,117,114,82,758,372,57,114,79,753,363,74,114,96,625,428,120,114,113,265,503,388,0,1285,22,17,59,1285,24,6,68,1285,17,29,52,1285,28,7,63,1285,28,3,67,1285,28,5,65,1383,0,0,0,1383,0,0,0,1383,0,0,0,1383,0,0,0,1383,0,0,0,1383,0,0,0,1383,0,0,0,1383,0,0,0,1383,0,0,0,1383,0,0,0,1383,0,0,0,1383,0,0,0,127,23,354,879,127,7,914,335,127,25,594,637,127,24,535,697,127,28,44,1184,127,24,105,1127,139,3,531,710,852,1,377,89,35,29,147,3,2,62,385,784,147,6,1225,5,157,4,203,1019,157,1,1043,135,15,5,2,25,157,1,229,294,444,258,162,18,417,623,131,32,174,1,258,934,16,186,14,227,921,35,1033,5,335,10,473,4,900,6,793,6,567,17,851,4,412,116,1341,2,33,7,1279,4,95,5,198,15,5,39,179,303,644,198,3,8,40,174,307,653,213,13,575,465,89,28,213,3,116,207,380,464,213,1,198,322,387,262,866,53,379,85,866,168,100,249,866,131,211,175,229,6,558,590,793,1,270,319,1141,28,33,1,28,19,11,6,116,586,8,17,69,32,75,18,36,77,30,1,36,64,59,45,24,206,441,12,401,520,3,6,441,6,87,160,200,257,141,71,20,468,30,517,187,181,468,22,76,275,356,125,61,2.7375,2.257898593959893,2,1.3360188009751732,10.001383125864454,3.7819733187895705,2.704728950403691,1.2941557259756091
PT,PRT,Portugal,2020-12-31,2020-12-31,1205,0,0,0,0,141,1157,7229757.74793163,761,4,3,1198,4,72,1129,3,26,1176,5,100,1100,5,160,1040,6,69,1130,3,51,1151,4,21,1180,5,33,1167,3,18,1184,5,38,1162,4,145,1056,5,42,1158,5,188,1012,1202,1,0,2,1133,2,21,49,1179,1,8,17,1105,5,23,72,1045,3,29,128,1136,4,17,48,1154,1,12,38,1184,2,7,12,1172,2,16,15,1187,0,13,5,1167,2,10,26,1060,5,25,115,1163,3,14,25,1017,4,64,120,41,7,81,1076,1125,0,41,39,50,24,443,688,763,2,117,323,1088,27,89,1,1088,30,87,0,1175,0,3,27,0,197,13,85,910,1205,0,0,0,0,0,70,4,607,331,137,56,105,59,475,444,122,105,67,692,278,63,105,80,648,298,74,105,89,544,365,102,105,103,255,403,339,0,1125,20,16,44,1125,27,7,46,1125,20,18,42,1125,27,8,45,1125,28,7,45,1125,26,9,45,1200,0,0,5,1200,0,1,4,1200,0,1,4,1200,0,1,4,1200,0,1,4,1200,0,1,4,1200,0,1,4,1204,0,0,1,1204,0,0,1,1204,0,0,1,1204,0,0,1,1204,0,0,1,113,32,285,775,113,14,800,278,113,18,502,572,113,20,489,583,113,24,30,1038,113,26,90,976,121,6,492,586,713,0,344,82,30,36,133,5,9,69,345,644,133,6,1065,1,143,13,142,907,143,1,892,117,15,9,2,26,143,1,202,246,371,242,149,19,388,523,99,27,157,1,240,790,17,186,20,225,757,17,924,8,263,10,409,13,781,2,708,10,479,8,718,9,351,127,1175,2,21,7,1115,3,85,2,193,8,6,23,145,267,563,193,3,4,26,163,248,568,207,9,474,380,90,45,207,3,112,154,303,426,207,2,177,244,315,260,788,30,316,71,788,114,88,215,788,82,187,148,223,11,453,518,687,5,211,302,1018,12,18,7,21,13,23,4,89,568,1,12,55,22,73,14,26,62,23,1,25,69,43,37,23,151,415,13,372,399,0,6,415,4,57,116,188,203,121,80,21,435,32,419,176,143,435,23,63,229,319,107,29,2.849264705882353,2.24701810564692,1.8676470588235292,1.1184265568760197,10.045810810810812,3.6656756107526784,2.6284122562674095,1.3343965722211564
