ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AE,ARE,United Arab Emirates,2020-12-21,2020-12-21,286,2,30350.3709333499,1,19369.4260707311,38,274,5657143.568584277,197,0,7,279,2,17,267,1,3,282,1,27,258,0,33,253,2,34,250,0,18,268,0,7,279,1,10,275,3,5,278,1,16,269,2,38,246,2,6,278,2,42,242,281,2,2,1,270,0,2,14,284,1,0,1,260,3,6,17,255,3,6,22,254,2,8,22,270,0,4,12,281,1,2,2,277,3,1,5,283,2,1,0,272,0,4,10,249,3,13,21,281,1,2,2,246,3,15,22,12,0,23,251,265,0,9,12,15,2,191,78,96,1,88,101,198,0,9,75,4,198,31,56,1,255,0,6,23,2,107,0,12,167,286,19,2,93,91,50,31,219,5,30,21,11,219,7,35,18,7,219,3,38,18,8,219,4,40,20,3,219,6,12,18,31,275,3,2,6,275,3,1,7,275,2,5,4,275,4,0,7,275,2,3,6,275,3,3,5,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,39,4,128,115,39,1,187,59,39,3,147,97,39,4,102,141,39,4,29,214,39,5,51,191,45,2,84,155,202,50,24,5,5,47,1,0,16,86,136,47,3,234,2,51,4,54,177,51,1,199,27,2,0,0,6,51,2,93,51,46,43,51,2,72,119,36,6,54,2,29,191,10,59,4,30,176,17,161,4,114,7,101,6,177,2,142,6,130,8,187,3,82,14,259,2,23,2,237,4,43,2,64,3,1,5,31,38,144,64,2,1,10,31,42,136,73,4,52,86,47,24,73,1,5,35,50,122,73,1,47,59,50,56,182,5,85,14,182,25,30,49,182,23,45,36,76,0,116,94,192,1,40,53,250,0,13,1,9,0,1,4,8,138,0,1,11,14,12,4,9,9,6,0,4,16,4,7,11,40,86,0,127,71,0,2,86,0,4,75,63,48,9,1,0,88,5,166,17,10,88,3,71,65,34,12,13,2.3823529411764706,1.9038476811475926,1.736842105263158,1.407997208928653,14.502645502645503,4.8197558190823395,2.9206349206349205,1.6041991503178294
AE,ARE,United Arab Emirates,2020-12-22,2020-12-22,337,3,72526.9526962139,1,11567.333996020401,47,330,6571967.876582464,215,5,5,327,3,20,314,5,5,327,5,30,302,5,26,306,4,26,307,5,16,316,5,6,326,6,6,325,4,5,328,5,11,321,5,36,296,4,14,319,4,39,294,332,1,4,0,317,2,6,12,332,1,2,2,307,2,12,16,311,0,9,17,311,1,10,15,321,2,6,8,331,2,2,2,331,2,2,2,332,3,1,1,326,1,5,5,301,2,13,21,323,2,9,3,298,1,16,22,7,0,26,304,311,0,18,8,11,6,237,83,100,2,96,139,241,0,5,90,1,241,40,55,1,297,1,17,22,0,117,4,19,197,337,18,4,100,106,62,47,40,4,124,101,68,40,8,151,83,55,40,8,168,68,53,40,7,160,82,48,40,10,65,85,137,319,3,5,10,319,3,3,12,319,1,9,8,319,2,7,9,319,2,4,12,319,3,3,12,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,50,2,142,143,50,1,195,91,50,1,160,126,50,2,110,175,50,2,29,256,50,1,68,218,59,1,110,167,227,74,21,5,10,63,1,5,17,96,155,63,2,271,1,72,1,56,208,72,0,221,31,5,0,0,8,72,1,116,50,60,38,73,3,78,121,40,22,74,1,24,216,22,88,2,35,198,14,198,1,133,5,148,2,184,3,182,2,149,4,231,2,87,17,310,1,21,5,273,1,63,0,94,1,2,9,32,52,147,94,0,7,12,36,58,130,100,4,70,87,38,38,100,3,13,23,68,130,100,3,36,69,66,63,234,4,81,18,234,28,34,41,234,24,38,41,102,4,132,99,238,0,37,62,308,1,8,0,6,2,1,2,9,177,0,3,14,17,17,6,10,7,13,0,6,21,2,13,10,21,115,3,152,66,0,1,115,0,10,100,64,33,13,2,0,118,4,175,22,18,118,3,85,60,35,14,22,2.757281553398059,2.298618593755464,1.8333333333333333,1.307725096316589,14.697115384615383,4.646913821442868,2.9665071770334928,1.6994987245101727
AE,ARE,United Arab Emirates,2020-12-23,2020-12-23,285,1,7641.438506684522,0,0,42,275,5816019.236121546,189,4,3,278,3,19,263,3,5,277,3,16,266,3,27,255,3,24,258,2,8,275,3,2,280,3,6,276,3,4,278,3,10,272,2,19,264,2,12,271,2,27,256,282,0,2,1,266,0,6,13,280,0,0,5,269,0,5,11,258,0,6,21,261,0,3,21,277,0,5,3,283,1,1,0,279,0,4,2,281,0,3,1,275,0,2,8,266,0,6,13,273,1,3,8,258,0,11,16,9,1,24,251,262,0,6,17,14,5,188,78,97,2,83,103,202,0,4,77,2,202,29,54,0,256,0,8,20,1,105,3,19,158,285,24,2,86,88,62,23,38,9,101,77,60,38,22,109,75,41,38,19,132,58,38,38,20,126,67,34,38,23,46,54,124,267,1,3,14,267,1,1,16,267,2,6,10,267,1,5,12,267,1,2,15,267,1,4,13,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,285,0,0,0,42,3,112,128,42,8,161,74,42,5,140,98,42,6,103,134,42,7,26,210,42,7,35,201,43,0,79,163,206,47,23,5,4,46,1,2,16,83,137,46,0,238,1,51,4,55,175,51,0,190,27,3,1,0,13,51,1,97,41,54,41,52,3,63,107,47,13,52,1,31,192,9,67,4,29,174,11,174,0,108,3,125,2,154,4,146,1,130,8,182,1,85,17,259,0,21,5,251,0,31,3,72,3,3,4,33,35,135,72,1,3,7,35,51,116,78,2,68,67,45,25,78,1,12,20,63,111,78,2,37,48,65,55,200,3,74,8,200,9,33,43,200,11,34,40,79,2,129,75,210,0,27,48,261,3,7,2,3,0,0,0,9,135,0,2,17,14,8,5,10,9,6,0,2,16,4,7,11,39,89,3,137,52,0,4,89,2,11,88,52,28,11,4,0,94,5,148,28,10,94,0,66,59,40,17,9,2.675324675324675,1.8809401235717378,1.7619047619047619,1.3001831372834332,15.03225806451613,4.699514898262231,2.9836065573770494,1.7272076487599244
AE,ARE,United Arab Emirates,2020-12-24,2020-12-24,281,1,28127.4467255152,0,0,49,272,5641269.198000385,182,3,2,276,2,19,260,3,5,273,2,28,251,2,34,245,2,35,244,2,19,260,2,2,277,2,9,270,2,1,278,2,14,265,1,41,239,2,2,277,2,33,246,279,0,0,2,262,2,7,10,276,0,4,1,253,3,6,19,247,0,12,22,246,2,12,21,262,1,10,8,279,0,1,1,272,0,1,8,280,0,0,1,267,1,8,5,240,1,17,23,279,1,1,0,248,1,12,20,9,0,25,247,257,0,10,14,10,3,194,74,87,4,94,96,187,0,4,88,2,187,36,58,0,245,0,7,29,0,111,3,15,152,281,16,1,90,89,57,28,35,7,103,86,50,35,13,118,78,37,35,12,133,59,42,35,7,145,62,32,35,12,44,73,117,268,3,3,7,268,4,1,8,268,3,2,8,268,5,0,8,268,5,0,8,268,5,0,8,281,0,0,0,281,0,0,0,281,0,0,0,281,0,0,0,281,0,0,0,281,0,0,0,281,0,0,0,281,0,0,0,281,0,0,0,281,0,0,0,281,0,0,0,281,0,0,0,46,1,124,110,46,1,172,62,46,1,141,93,46,3,102,130,46,2,23,210,46,4,50,181,53,0,91,137,190,54,23,5,9,57,0,1,14,71,138,57,1,223,0,64,4,58,155,64,0,193,17,1,1,0,5,64,1,94,39,43,40,66,1,78,98,31,7,67,0,22,172,20,71,2,26,165,17,160,2,113,6,115,3,159,4,145,3,127,6,184,2,81,14,261,0,19,1,235,3,42,1,74,3,2,5,22,37,138,74,1,4,7,28,49,118,79,2,53,82,36,29,79,0,8,28,54,112,79,0,41,43,61,57,197,4,70,10,197,19,27,38,197,17,35,32,82,0,119,80,201,0,36,44,250,1,7,1,7,1,2,2,10,131,0,4,15,13,14,12,9,11,6,0,4,13,2,5,5,37,98,1,139,43,0,0,98,0,4,77,49,29,13,9,2,98,11,135,25,12,98,2,65,46,38,12,20,2.5299999999999994,1.731788355744116,2.263157894736842,1.2841817655680772,13.997175141242938,4.96250062260737,3.0697674418604652,1.7855213511207413
AE,ARE,United Arab Emirates,2020-12-25,2020-12-25,297,2,31451.664480624997,0,0,52,281,6422828.733957551,174,4,4,289,5,15,277,6,7,284,6,22,269,5,23,269,5,29,263,4,10,283,6,8,283,6,5,286,6,5,286,4,7,286,4,31,262,6,8,283,6,35,256,293,2,1,1,282,3,4,8,290,2,2,3,275,2,4,16,274,1,8,14,268,1,8,20,287,3,4,3,289,2,2,4,292,2,1,2,292,1,2,2,290,0,1,6,266,3,5,23,289,1,4,3,262,2,12,21,14,2,22,259,277,0,6,14,16,6,204,71,97,3,105,92,192,0,3,101,1,192,43,61,1,256,0,13,28,0,134,0,16,147,297,30,4,83,99,45,36,51,6,119,85,36,51,9,127,78,32,51,10,132,69,35,51,10,130,68,38,51,8,59,66,113,283,6,2,6,283,6,2,6,283,4,5,5,283,4,2,8,283,4,2,8,283,3,3,8,297,0,0,0,297,0,0,0,297,0,0,0,297,0,0,0,297,0,0,0,297,0,0,0,297,0,0,0,297,0,0,0,297,0,0,0,297,0,0,0,297,0,0,0,297,0,0,0,62,3,113,119,62,3,160,72,62,3,138,94,62,2,105,128,62,3,35,197,62,3,37,195,67,1,86,143,211,49,24,9,4,71,0,1,19,72,134,71,1,225,0,77,2,40,178,77,0,174,32,4,0,2,8,77,0,95,39,49,37,77,1,80,102,29,8,78,1,31,174,13,87,4,29,161,16,186,0,104,7,139,1,152,5,162,1,128,6,195,0,81,21,263,1,29,4,261,0,32,4,92,3,1,4,22,35,140,92,2,3,11,23,43,123,99,2,60,69,38,29,99,1,15,22,51,109,99,1,37,44,54,62,221,4,67,5,221,15,31,30,221,18,27,31,108,0,113,76,221,0,30,46,272,0,6,3,5,0,0,1,10,160,0,1,10,12,8,4,13,12,10,0,6,15,5,3,9,29,120,0,123,53,0,1,120,0,9,53,57,38,14,3,3,122,4,140,21,10,122,1,68,56,26,11,13,2.6794871794871793,2.4784452067154206,3.0000000000000004,1.7728105208558367,15.108433734939759,4.6306280696925715,3.096385542168674,1.6449331409924108
AE,ARE,United Arab Emirates,2020-12-26,2020-12-26,269,0,0,0,0,30,258,5805607.52489274,180,3,1,265,3,11,255,2,3,264,3,18,248,2,23,244,3,25,241,3,17,249,3,5,261,3,5,261,2,3,264,3,4,262,3,34,232,4,10,255,3,19,247,268,0,0,1,258,0,4,7,266,0,2,1,251,1,8,9,246,0,10,13,244,1,8,16,252,0,8,9,264,0,3,2,264,0,3,2,266,0,2,1,265,0,3,1,235,0,13,21,259,0,6,4,250,0,12,7,10,1,18,240,255,0,4,10,15,7,194,53,76,2,93,98,176,0,4,87,2,176,34,59,0,235,0,10,24,0,119,2,12,136,269,25,2,88,73,49,32,39,9,102,69,50,39,11,113,63,43,39,11,121,48,50,39,10,116,65,39,39,14,50,56,110,257,4,0,8,257,4,1,7,257,3,4,5,257,4,0,8,257,1,6,5,257,4,1,7,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,269,0,0,0,46,3,105,115,46,2,161,60,46,4,138,81,46,4,107,112,46,4,48,171,46,4,42,177,50,1,83,135,186,55,21,2,5,53,2,3,12,66,133,53,2,214,0,57,1,56,155,57,1,182,23,1,0,0,5,57,1,92,52,37,30,57,3,74,89,36,10,59,1,21,172,16,66,2,30,154,17,165,1,100,3,109,1,154,5,131,1,132,5,162,1,90,16,221,0,44,4,227,1,40,1,72,0,1,7,23,46,120,72,0,1,10,34,39,113,76,2,59,62,39,31,76,0,19,21,36,117,76,1,31,55,38,68,184,4,68,13,184,25,31,29,184,19,37,29,79,0,100,90,179,0,43,47,230,0,8,3,6,0,2,2,18,131,0,2,15,22,8,3,4,12,4,1,1,20,3,4,7,32,88,4,137,37,0,3,88,0,8,59,69,27,14,4,0,89,2,136,27,15,89,1,63,63,33,13,7,2.2467532467532467,1.829263902544899,2,1.2792042981336627,14.919075144508671,4.700857821286279,2.7586206896551726,1.5203096523758033
AE,ARE,United Arab Emirates,2020-12-27,2020-12-27,320,1,12823.3033930925,1,12823.3033930925,43,303,6315459.720162855,204,5,6,309,6,28,286,6,3,311,4,28,288,5,36,279,5,24,291,4,22,294,6,8,306,3,10,307,5,2,313,5,15,300,3,33,284,6,6,308,4,40,276,314,0,2,4,292,2,7,19,317,0,3,0,292,0,6,22,284,0,6,30,296,0,5,19,298,1,4,17,312,0,5,3,310,0,2,8,318,0,1,1,305,0,6,9,287,1,9,23,314,0,2,4,280,0,14,26,16,1,21,282,301,0,13,6,20,5,219,76,101,2,101,116,219,0,2,93,6,219,35,66,0,286,0,9,23,2,129,5,20,166,320,33,3,102,97,61,24,44,4,134,89,49,44,10,149,72,45,44,7,153,69,47,44,5,157,70,44,44,11,55,81,129,303,4,2,11,303,4,2,11,303,3,4,10,303,4,6,7,303,5,2,10,303,5,3,9,320,0,0,0,320,0,0,0,320,0,0,0,320,0,0,0,320,0,0,0,320,0,0,0,320,0,0,0,320,0,0,0,320,0,0,0,320,0,0,0,320,0,0,0,320,0,0,0,55,5,142,118,55,3,175,87,55,7,144,114,55,6,133,126,55,8,39,218,55,8,46,211,62,1,99,158,221,58,23,8,10,63,2,3,22,88,142,63,0,255,2,68,1,53,198,68,0,209,32,0,0,1,10,68,0,96,54,61,41,71,3,78,118,40,10,76,0,34,197,13,82,2,34,186,16,181,2,132,5,149,2,164,5,179,3,133,5,190,2,97,31,282,1,32,5,275,1,43,1,88,0,2,5,24,58,143,88,0,3,7,28,60,134,92,0,61,74,68,25,92,0,17,26,58,127,92,0,38,57,66,67,225,3,83,9,225,26,33,36,225,24,37,34,97,0,126,97,223,0,45,52,277,0,8,6,5,1,1,4,18,152,0,1,20,15,18,5,15,8,8,2,7,19,2,4,4,40,111,2,126,80,0,1,111,0,13,79,65,33,15,4,0,115,3,169,21,12,115,2,63,71,38,13,18,2.850467289719626,2.5432253267453886,2.2941176470588234,1.3585242858683526,14.64,4.816262234300344,3.045918367346939,1.586136629892441
AE,ARE,United Arab Emirates,2020-12-28,2020-12-27,100,0,0,0,0,8,97,1971191.6955370829,50,2,2,96,2,6,92,3,0,97,3,7,90,2,13,85,3,5,92,2,5,93,2,0,98,2,2,96,3,1,96,2,4,94,3,11,86,3,2,95,2,14,84,98,0,1,1,94,0,2,4,100,0,0,0,93,0,3,4,87,0,4,9,95,0,1,4,95,0,1,4,100,0,0,0,98,0,0,2,99,0,1,0,96,0,2,2,89,0,3,8,98,0,0,2,86,0,5,9,2,1,6,91,96,0,3,1,4,4,66,26,34,2,27,37,73,0,0,25,2,73,10,17,0,90,0,5,4,1,38,4,5,53,100,12,1,33,35,14,5,18,1,47,26,8,18,3,47,19,13,18,2,46,22,12,18,2,47,22,11,18,3,22,24,33,95,1,1,3,95,2,0,3,95,1,1,3,95,2,0,3,95,2,0,3,95,2,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,24,1,43,32,24,1,48,27,24,3,33,40,24,3,30,43,24,3,6,67,24,3,12,61,26,0,24,50,76,16,3,1,4,26,1,1,5,27,40,26,0,74,0,28,0,10,62,28,0,62,7,0,0,0,3,28,0,34,9,16,13,29,1,24,32,10,4,33,0,10,52,5,36,1,8,50,5,58,0,41,1,53,0,45,2,68,1,31,0,72,0,22,6,94,0,6,0,88,0,12,0,37,0,1,1,6,15,40,37,0,1,3,5,18,36,39,0,20,12,23,6,39,0,5,11,15,30,39,0,12,18,17,14,70,1,22,7,70,7,13,10,70,7,11,12,40,0,37,23,77,0,13,10,88,0,2,3,0,0,0,0,7,52,0,0,6,5,2,2,2,2,2,1,3,3,0,3,2,15,46,1,35,18,0,0,46,0,6,20,13,9,5,1,0,49,2,41,5,3,49,1,23,13,8,4,2,3.066666666666667,2.6772777390390456,1.5,1,14.686274509803921,4.370309810887239,3.2400000000000007,1.5327712664001896
AE,ARE,United Arab Emirates,2020-12-30,2020-12-30,286,1,44572.8465621066,0,0,47,272,6178950.013597708,184,6,4,276,4,19,263,4,5,277,5,39,242,3,38,245,6,34,246,4,9,273,5,6,275,6,6,274,5,3,278,4,7,275,5,31,250,5,9,272,5,33,248,282,0,0,4,267,1,5,13,281,0,3,2,247,4,8,27,248,2,11,25,252,1,11,22,277,1,4,4,280,1,3,2,280,0,3,3,283,0,1,2,279,0,4,3,255,0,10,21,277,1,1,7,253,0,20,13,13,1,26,246,260,0,11,15,14,2,205,65,81,1,105,99,181,0,3,100,2,181,39,66,0,247,1,6,30,2,124,1,22,139,286,24,1,98,81,58,24,37,6,115,75,53,37,14,121,78,36,37,11,123,71,44,37,10,127,73,39,37,12,54,60,123,268,6,1,11,268,4,3,11,268,5,2,11,268,3,10,5,268,6,2,10,268,6,1,11,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,286,0,0,0,46,1,107,132,46,5,152,83,46,5,126,109,46,4,109,127,46,5,25,210,46,4,47,189,52,0,90,144,196,54,22,3,11,53,0,1,11,84,137,53,2,229,2,59,4,60,163,59,1,197,21,1,1,0,6,59,0,90,44,53,40,59,3,75,101,38,10,65,1,25,180,15,74,1,32,158,21,180,2,101,3,136,2,148,0,162,2,116,6,177,1,91,17,261,1,21,3,239,0,45,2,79,3,4,4,31,39,126,79,1,4,10,33,48,111,85,2,64,64,50,21,85,1,12,21,40,127,85,1,39,43,54,64,205,5,63,13,205,18,28,35,205,17,31,33,86,1,123,76,210,0,35,41,256,1,11,1,2,0,0,1,14,134,1,1,8,15,8,1,14,19,3,0,3,20,4,4,7,44,97,6,120,61,0,2,97,0,9,79,52,37,7,4,1,102,5,143,19,17,102,2,58,59,40,6,19,2.447619047619048,2.0754098408087995,1.9545454545454546,1.2140947137789433,15.117486338797814,4.434334101250789,3.1468926553672323,1.665459244200673
AE,ARE,United Arab Emirates,2020-12-31,2020-12-31,225,1,47429.2879093639,0,0,35,214,5360780.845774426,152,2,3,220,3,21,201,3,7,215,2,28,195,4,22,199,4,24,197,4,14,207,4,8,213,3,10,212,4,3,218,3,8,214,3,35,187,5,6,214,4,25,196,222,0,2,1,204,0,3,18,218,1,3,3,197,0,6,22,203,1,5,16,201,1,10,13,211,0,6,8,217,0,1,7,215,0,3,7,222,0,3,0,217,0,3,5,190,1,12,22,219,1,1,4,200,0,11,14,9,2,19,195,207,0,8,10,10,5,152,58,73,1,65,86,160,0,4,59,2,160,20,43,2,205,0,7,11,2,83,5,16,121,225,17,2,85,58,40,23,34,3,88,68,32,34,6,93,63,29,34,9,99,56,27,34,9,104,58,20,34,10,31,58,92,211,1,5,8,211,3,1,10,211,2,6,6,211,2,5,7,211,1,6,7,211,3,1,10,224,0,0,1,224,0,0,1,224,0,0,1,224,0,0,1,224,0,0,1,224,0,0,1,224,0,0,1,225,0,0,0,225,0,0,0,225,0,0,0,225,0,0,0,225,0,0,0,40,0,85,100,40,1,119,65,40,1,96,88,40,0,90,95,40,2,24,159,40,1,38,146,44,1,79,101,146,53,15,5,6,46,1,1,8,65,104,46,2,177,0,47,1,41,136,47,0,149,20,0,1,0,8,47,0,71,34,36,37,48,0,55,74,39,9,48,1,18,146,12,52,5,23,137,8,141,2,79,3,107,3,113,2,129,3,91,2,136,2,77,10,202,0,22,1,188,1,34,2,57,1,1,5,23,32,106,57,1,3,9,26,38,91,63,2,43,55,35,27,63,2,9,18,39,94,63,0,34,43,44,41,150,6,55,14,150,20,15,40,150,22,22,31,66,2,82,75,150,0,37,38,191,4,6,2,4,1,0,1,16,111,1,0,8,19,8,8,7,6,5,0,4,13,1,3,7,24,72,2,95,55,0,1,72,0,8,60,43,24,14,3,1,73,4,125,17,6,73,1,49,44,36,10,12,2.9430379746835444,2.581973184248911,2.066666666666667,1.162919151265879,14.779310344827584,4.8854502884660285,3.0839160839160837,1.6971247578221011
