ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AZ,AZE,Azerbaijan,2020-12-21,2020-12-21,124,5,92776.3190755456,3,72048.4419142998,118,112,1967270.6897510893,77,10,7,107,9,18,97,9,9,106,7,33,84,10,25,89,6,32,86,10,13,101,9,11,104,8,9,107,9,9,106,9,16,99,9,23,92,10,11,103,8,33,83,118,0,3,3,107,2,8,7,116,2,2,4,92,3,13,16,100,2,6,16,94,4,16,10,113,0,6,5,114,2,3,5,115,3,1,5,116,1,5,2,108,2,9,5,102,3,9,10,114,2,4,4,92,2,19,11,11,1,36,76,90,1,10,23,13,1,40,70,84,0,21,19,103,4,16,1,103,8,13,0,117,4,3,0,35,2,13,74,124,15,0,13,32,30,34,99,6,7,5,7,99,5,5,5,10,99,7,4,6,8,99,5,6,4,10,99,7,2,2,14,111,7,4,2,111,8,2,3,111,6,7,0,111,9,2,2,111,8,4,1,111,10,2,1,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,124,0,0,0,22,10,35,57,22,6,73,23,22,16,7,79,22,17,31,54,22,15,19,68,22,11,20,71,23,2,45,54,79,0,33,7,2,3,24,2,0,14,35,49,24,3,97,0,28,4,13,79,28,2,69,8,3,3,1,10,28,2,50,22,12,10,30,1,34,34,17,8,30,2,5,80,7,35,3,4,79,3,89,2,33,0,51,1,71,1,117,0,7,0,93,1,20,10,105,1,15,3,104,1,19,0,36,2,1,9,18,22,36,36,2,2,13,21,21,29,38,4,44,26,5,7,38,3,15,14,19,35,38,3,28,25,12,18,73,2,49,0,73,17,21,13,73,19,14,18,42,1,27,54,70,0,9,45,115,0,2,0,3,0,1,1,2,88,0,0,4,5,5,0,2,2,3,0,3,1,2,2,3,4,46,0,52,26,0,0,46,18,20,15,17,6,2,0,46,1,53,14,10,46,1,7,37,18,8,7,5.406779661016949,4.969280264501631,4.28,2.541653005427767,13.364864864864865,4.67747245973991,2.676056338028169,1.34986399195648
AZ,AZE,Azerbaijan,2020-12-22,2020-12-22,111,2,55868.02024338899,2,55868.02024338899,112,101,2171852.231041125,68,6,5,100,8,18,85,8,5,98,3,34,74,8,23,80,10,25,76,7,14,90,7,11,93,10,8,93,7,12,92,9,19,83,7,32,72,7,12,92,7,21,83,106,1,3,1,93,3,9,6,106,3,0,2,77,4,13,17,88,0,9,14,86,2,13,10,97,1,8,5,100,4,4,3,103,2,4,2,99,2,9,1,92,2,10,7,79,5,10,17,99,3,2,7,90,3,9,9,10,0,35,66,77,0,14,20,11,1,33,66,78,0,16,17,95,10,5,1,95,7,8,1,104,3,4,0,28,1,13,69,111,16,0,10,30,28,27,21,3,28,24,35,21,9,18,27,36,21,10,17,28,35,21,10,17,25,38,21,8,7,18,57,99,6,2,4,99,7,1,4,99,4,6,2,99,4,5,3,99,6,4,2,99,7,2,3,111,0,0,0,111,0,0,0,111,0,0,0,111,0,0,0,111,0,0,0,111,0,0,0,111,0,0,0,111,0,0,0,111,0,0,0,111,0,0,0,111,0,0,0,111,0,0,0,25,6,23,57,25,2,48,36,25,6,6,74,25,4,19,63,25,5,8,73,25,5,22,59,27,1,22,61,89,0,17,2,1,2,29,0,2,13,30,37,29,0,80,2,30,0,11,70,30,0,58,8,1,1,1,12,30,0,51,13,8,9,30,0,33,31,11,6,31,0,2,75,3,34,0,1,73,3,88,0,23,0,63,0,46,2,105,0,4,2,92,0,10,9,103,0,6,2,89,0,19,3,35,2,2,3,19,15,35,35,1,3,8,13,24,27,36,1,39,22,7,6,36,1,10,18,23,23,36,0,29,17,19,10,66,5,40,0,66,12,21,12,66,12,24,9,38,0,22,51,60,1,22,28,90,0,4,1,0,0,1,2,13,68,0,0,5,3,7,1,3,3,0,0,2,1,5,1,3,9,39,1,39,30,1,1,39,11,26,13,15,2,5,0,39,2,41,16,13,39,1,12,25,21,9,4,4.649122807017544,4.696089665387939,3.961538461538462,2.749265636212976,12.205882352941176,4.89153647237547,2.7058823529411766,1.6486885202180728
AZ,AZE,Azerbaijan,2020-12-23,2020-12-23,115,2,32123.382359479998,1,21774.4549797129,110,104,1884896.5731959657,68,6,8,101,7,16,92,8,6,101,9,22,84,7,19,89,6,23,86,9,9,97,10,8,97,8,6,101,7,13,95,10,14,91,6,29,80,9,11,95,7,27,81,107,1,5,2,99,1,9,6,109,0,5,1,93,3,8,11,96,2,7,10,92,2,11,10,106,2,4,3,107,3,4,1,109,1,4,1,102,1,11,1,101,2,9,3,86,4,11,14,104,1,6,4,88,1,11,15,9,2,35,69,81,0,11,23,10,2,38,65,77,2,16,20,99,5,11,0,99,6,10,0,109,2,1,3,31,2,19,63,115,14,1,13,24,32,31,19,18,22,25,31,19,21,12,26,37,19,19,15,24,38,19,19,14,28,35,19,25,4,16,51,97,8,7,3,97,9,3,6,97,7,7,4,97,8,3,7,97,9,5,4,97,10,3,5,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,115,0,0,0,22,5,33,55,22,5,56,32,22,7,5,81,22,8,19,66,22,7,9,77,22,6,18,69,25,0,35,55,80,1,22,9,2,1,27,2,1,9,29,47,27,2,84,2,28,3,13,71,28,0,60,4,5,0,2,16,28,1,47,18,8,13,30,1,28,39,10,7,30,1,7,75,2,31,1,6,74,3,83,0,29,3,60,0,48,7,110,0,3,2,96,0,12,7,106,0,6,3,97,0,16,2,33,2,2,7,18,16,37,33,0,3,8,21,18,32,37,1,39,17,13,8,37,1,14,16,15,32,37,2,24,28,12,12,63,10,41,1,63,15,22,15,63,17,21,14,38,0,28,49,66,0,18,31,98,0,4,0,1,2,0,0,10,70,0,0,6,5,3,0,1,4,3,0,3,4,0,2,2,12,46,4,38,27,0,0,46,14,19,12,13,8,3,0,47,2,39,16,11,47,2,15,19,19,8,5,4.5,4.705476536331072,3.846153846153846,3.3189432980068543,11.523076923076923,5.365129577616498,2.59375,1.6399646724805164
AZ,AZE,Azerbaijan,2020-12-24,2020-12-24,114,4,94146.699597794,3,83941.7962809799,79,101,1589214.168528926,58,8,6,100,6,18,90,7,7,100,5,24,85,7,21,86,6,20,88,7,7,100,7,13,94,8,8,98,4,16,94,9,16,89,8,29,77,7,7,100,8,29,77,108,1,5,0,96,3,8,7,107,2,4,1,90,4,8,12,93,3,8,10,94,5,9,6,107,1,3,3,101,0,10,3,106,2,5,1,98,2,13,1,98,1,3,12,85,3,9,17,107,1,3,3,85,3,16,10,11,2,27,74,87,0,15,12,12,3,33,66,81,0,19,14,95,8,11,0,95,12,7,0,102,6,5,1,34,1,19,60,114,17,1,18,26,21,31,23,9,25,31,26,23,21,13,30,27,23,15,26,27,23,23,17,17,29,28,23,19,6,19,47,97,6,5,6,97,4,9,4,97,3,10,4,97,6,1,10,97,6,5,6,97,6,3,8,114,0,0,0,114,0,0,0,114,0,0,0,114,0,0,0,114,0,0,0,114,0,0,0,114,0,0,0,114,0,0,0,114,0,0,0,114,0,0,0,114,0,0,0,114,0,0,0,25,6,30,53,25,8,51,30,25,9,11,69,25,7,35,47,25,7,9,73,25,7,14,68,28,0,33,53,81,1,21,7,2,2,31,0,2,4,39,38,31,0,82,1,34,2,10,68,34,1,53,9,2,3,2,10,34,1,42,12,9,16,35,1,29,29,13,7,37,0,2,71,4,42,0,2,69,1,85,0,26,3,64,1,45,4,103,0,9,2,80,0,26,8,106,0,7,1,101,0,11,2,43,1,2,5,13,15,35,43,0,2,5,14,18,32,48,3,25,21,9,8,48,1,8,14,8,35,48,0,20,17,12,17,79,2,31,2,79,13,16,6,79,14,11,10,50,0,29,35,79,0,17,18,98,0,5,1,0,3,1,3,3,69,0,0,3,7,3,2,2,3,2,2,2,1,4,5,1,8,54,1,39,19,0,1,54,5,22,20,3,8,2,0,56,3,36,11,8,56,1,8,21,14,10,4,4.078181818181818,3.647814714120248,3.6,2.21002500581233,13.3,4.492177758832474,2.8,1.3797476956689232
AZ,AZE,Azerbaijan,2020-12-25,2020-12-24,100,4,106532.51572000141,2,74527.0788064621,95,94,1968387.4061325442,64,4,6,90,3,15,82,3,6,91,3,25,72,3,21,76,3,17,80,3,7,90,4,9,87,4,9,87,2,7,91,5,13,82,6,26,68,3,16,81,2,26,72,94,1,3,2,85,2,8,5,94,1,5,0,75,2,13,10,79,2,6,13,83,2,7,8,93,0,4,3,91,1,4,4,91,1,2,6,93,1,4,2,87,1,5,7,74,1,5,20,84,1,11,4,74,1,16,9,5,1,34,60,68,0,11,21,7,1,35,57,66,0,21,13,79,8,11,2,79,8,12,1,92,4,4,0,31,1,10,58,100,12,1,11,22,33,21,19,6,17,21,37,19,9,14,21,37,19,9,16,20,36,19,8,17,18,38,19,9,5,12,55,90,2,2,6,90,2,0,8,90,0,4,6,90,2,3,5,90,2,3,5,90,2,3,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20,4,31,45,20,3,55,22,20,6,5,69,20,4,24,52,20,6,6,68,20,5,22,53,21,0,25,54,75,0,17,5,1,2,22,0,1,5,23,49,22,1,77,0,24,4,13,59,24,0,46,10,4,1,1,14,24,0,43,8,12,13,24,0,22,40,8,6,24,0,4,69,3,26,2,2,66,4,69,0,29,2,45,0,55,0,95,0,3,2,76,0,19,5,94,0,5,1,78,0,22,0,27,2,2,2,14,16,37,27,1,2,5,18,18,29,30,4,21,31,7,7,30,1,7,18,14,30,30,0,17,25,12,16,58,3,37,2,58,13,19,10,58,17,18,7,33,0,28,39,61,0,22,17,79,1,3,3,3,1,2,2,6,51,1,0,6,4,1,1,2,5,2,0,4,3,3,3,2,12,36,1,36,27,0,0,36,11,14,21,12,5,1,0,36,0,41,15,8,36,0,10,25,23,5,1,4.352941176470588,4.279362239454682,3.652173913043478,3.311257597570802,12.704918032786885,4.3868905551847766,2.403225806451613,1.3962441120043143
AZ,AZE,Azerbaijan,2020-12-26,2020-12-26,101,3,33887.616309672696,2,23285.696297964598,60,92,1525993.7148266004,68,4,4,93,5,15,81,4,5,92,4,19,78,5,12,84,2,19,80,5,3,93,4,8,89,5,6,90,4,4,93,4,9,88,5,17,79,5,14,82,4,22,75,97,1,2,1,86,2,6,7,96,1,3,1,82,3,6,10,89,1,3,8,82,1,9,9,98,0,2,1,93,3,2,3,95,1,4,1,97,2,2,0,92,0,4,5,84,0,6,11,87,1,7,6,79,0,10,12,7,2,23,69,78,0,5,18,9,1,33,58,68,0,12,21,89,4,8,0,89,5,7,0,96,2,3,0,22,1,14,64,101,9,2,20,25,21,24,19,9,27,16,30,19,13,18,17,34,19,10,30,17,25,19,11,22,18,31,19,12,10,10,50,87,6,0,8,87,6,0,8,87,4,7,3,87,3,6,5,87,6,1,7,87,6,3,5,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,20,3,30,48,20,1,57,23,20,4,9,68,20,3,32,46,20,3,6,72,20,4,14,63,23,1,43,34,58,0,28,10,1,4,23,2,3,12,25,36,23,3,73,2,24,2,10,65,24,1,55,6,5,1,0,9,24,2,36,16,11,12,24,1,26,32,15,3,24,2,8,65,2,27,2,5,65,2,72,1,27,1,46,1,52,2,92,0,7,2,71,1,26,3,95,0,5,1,89,0,12,0,29,1,1,7,17,16,30,29,2,1,8,16,17,28,30,3,33,16,10,9,30,2,8,11,21,29,30,2,23,16,13,17,62,4,33,2,62,10,18,11,62,11,21,7,30,1,34,36,65,0,16,20,86,0,4,2,3,0,1,1,4,52,0,4,8,1,3,2,4,3,4,2,3,3,0,1,2,9,32,2,51,15,0,1,32,8,23,20,10,7,1,0,33,1,50,11,6,33,0,14,19,30,3,2,4.333333333333333,5.660870475947542,3.3125,2.358495283014151,12.647540983606557,5.194022415475218,2.5245901639344264,1.4900397911582672
AZ,AZE,Azerbaijan,2020-12-27,2020-12-27,102,3,93002.0764702985,1,40419.868242196004,51,93,2118987.52274282,64,7,4,91,7,9,86,7,5,90,7,23,72,6,16,80,5,13,84,6,12,84,7,0,95,4,9,89,6,4,92,6,13,83,5,24,73,8,11,83,6,24,72,98,0,3,1,93,1,5,3,97,2,3,0,79,4,6,13,86,3,5,8,89,2,6,5,90,4,1,7,102,0,0,0,93,2,5,2,98,1,2,1,89,2,6,5,78,2,7,15,91,1,6,4,78,4,7,13,8,1,28,65,75,1,10,16,10,1,33,58,69,1,15,17,87,4,11,0,87,7,8,0,95,6,0,1,27,1,9,65,102,12,0,17,31,23,19,17,7,23,30,25,17,7,22,22,34,17,13,22,16,34,17,14,21,19,31,17,15,7,11,52,93,2,3,4,93,3,2,4,93,3,3,3,93,4,3,2,93,4,0,5,93,4,2,3,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,22,3,24,53,22,1,54,25,22,6,9,65,22,6,28,46,22,5,8,67,22,5,10,65,23,2,33,44,69,0,26,5,2,0,24,1,1,3,23,50,24,0,78,0,26,1,11,64,26,0,57,9,1,2,0,7,26,0,37,14,14,11,26,1,31,25,13,6,26,0,5,68,3,30,2,7,63,0,78,2,20,2,48,1,53,0,93,0,7,2,74,1,18,9,94,1,6,1,92,0,10,0,32,2,0,5,16,15,32,32,2,1,4,19,17,27,32,1,29,24,7,9,32,1,5,10,22,32,32,1,14,22,12,21,66,2,30,4,66,9,15,12,66,10,18,8,33,3,30,36,66,0,13,23,90,0,3,1,0,0,1,0,7,60,0,2,6,1,4,2,1,3,4,0,1,7,2,0,2,7,37,0,45,20,0,0,37,16,18,14,8,8,1,0,38,3,41,13,7,38,1,11,21,18,10,3,4.256410256410256,4.755705430643275,2.3529411764705883,1.1147408034263075,12,5.036533199202271,3.175438596491228,1.7333164641554295
AZ,AZE,Azerbaijan,2020-12-28,2020-12-27,100,3,93002.0764702985,1,40419.868242196004,58,91,2078747.046899474,60,7,4,89,6,9,85,6,6,88,6,25,69,6,17,77,5,14,81,6,13,81,7,0,93,4,9,87,6,4,90,5,14,81,5,22,73,7,11,82,6,23,71,96,0,3,1,91,1,5,3,94,2,4,0,75,4,7,14,83,3,6,8,86,2,6,6,87,4,2,7,100,0,0,0,91,2,5,2,96,1,2,1,86,2,7,5,78,2,6,14,89,1,7,3,77,4,7,12,8,1,29,62,72,1,10,17,10,1,30,59,70,1,15,14,85,4,11,0,85,7,8,0,93,6,0,1,27,1,12,60,100,12,0,15,32,22,19,18,7,22,29,24,18,7,20,22,33,18,13,23,14,32,18,14,19,17,32,18,15,6,10,51,88,2,4,6,88,3,4,5,88,3,3,6,88,4,6,2,88,4,0,8,88,4,3,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,22,3,23,52,22,1,54,23,22,6,9,63,22,6,27,45,22,5,8,65,22,5,10,63,23,2,30,45,70,0,24,4,2,0,24,1,1,2,26,46,24,0,76,0,26,1,10,63,26,0,56,8,1,2,0,7,26,0,36,14,14,10,27,1,30,25,11,6,28,0,5,64,3,31,2,7,60,0,77,2,19,2,46,1,53,0,91,0,7,2,73,1,17,9,92,1,6,1,90,0,10,0,33,2,0,5,14,14,32,33,2,0,4,18,17,26,33,1,30,20,7,9,33,1,5,10,20,31,33,1,14,20,11,21,67,2,27,4,67,8,14,11,67,9,16,8,35,3,28,34,66,0,13,21,88,0,3,1,0,0,1,0,7,60,0,2,6,1,4,2,1,2,4,0,1,6,2,0,2,7,39,0,42,19,0,0,39,16,17,14,6,7,1,0,40,3,37,13,7,40,1,11,20,18,7,3,4.3,4.6805653833369645,2.526315789473684,1.2187617145935723,11.947368421052632,4.936818859460798,3.1296296296296293,1.6940104953484802
AZ,AZE,Azerbaijan,2020-12-30,2020-12-27,100,3,45513.9563637789,1,12162.447660830401,85,91,1990232.8901014174,58,6,6,88,6,8,86,6,5,89,5,35,60,7,16,77,6,17,77,5,9,86,7,6,87,6,8,86,4,9,87,6,10,84,6,21,73,6,8,86,5,24,71,94,1,4,1,92,3,3,2,95,1,3,1,65,7,10,18,84,1,5,10,83,1,6,10,91,3,3,3,94,1,1,4,92,2,3,3,91,2,6,1,90,1,3,6,79,3,6,12,92,1,5,2,76,5,11,8,8,1,31,60,70,0,7,23,9,1,38,52,62,2,14,22,86,2,12,0,86,8,6,0,92,4,3,1,26,4,15,55,100,10,0,17,29,23,21,16,7,18,29,30,16,10,21,21,32,16,8,21,26,29,16,10,22,19,33,16,13,5,14,52,86,7,3,4,86,7,3,4,86,3,7,4,86,7,3,4,86,6,2,6,86,7,2,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,18,5,28,49,18,5,51,26,18,8,6,68,18,8,28,46,18,9,4,69,18,8,10,64,21,1,31,47,69,0,25,5,1,0,23,3,2,4,28,40,23,2,75,0,24,1,14,61,24,2,54,9,0,1,0,10,24,2,42,16,5,11,26,5,30,25,11,3,27,2,1,67,3,30,3,1,64,2,72,0,25,3,49,2,48,1,94,0,5,1,72,1,19,8,96,1,3,0,90,1,9,0,32,4,0,6,11,12,35,32,3,0,6,18,21,20,36,1,31,22,6,4,36,0,2,18,20,24,36,0,10,30,12,12,61,5,31,3,61,6,21,12,61,11,19,9,39,1,25,35,65,0,15,20,87,1,3,0,2,1,0,0,6,63,0,1,1,0,7,2,1,6,3,0,2,3,1,1,0,9,42,2,32,23,1,0,42,13,24,8,8,3,2,0,42,2,40,8,8,42,1,10,27,15,3,2,4.12156862745098,5.114853418251209,3.7000000000000006,2.341839133312916,12.375,4.371654565077579,2.9245283018867925,1.7303740880978662
AZ,AZE,Azerbaijan,2020-12-31,2020-12-30,100,4,108303.09268491041,2,37747.57245890242,92,88,2235609.199003546,47,6,6,88,6,15,79,6,7,87,7,21,72,5,13,82,5,18,77,5,7,88,7,8,85,6,8,86,5,6,89,6,8,86,4,19,77,6,9,85,4,26,70,94,1,5,0,85,1,9,5,93,3,1,3,79,3,7,11,87,2,3,8,82,3,8,7,93,3,2,2,92,2,1,5,92,1,4,3,94,0,5,1,92,1,4,3,81,4,7,8,91,1,3,5,74,5,11,10,11,1,33,55,70,0,8,22,14,0,37,49,64,1,17,18,83,4,12,1,83,10,6,1,90,6,4,0,33,4,13,50,100,18,1,14,19,26,22,26,9,15,22,28,26,10,14,13,37,26,9,23,14,28,26,9,19,13,33,26,12,6,11,45,88,6,3,3,88,7,2,3,88,3,9,0,88,5,2,5,88,7,2,3,88,7,2,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,29,4,18,49,29,4,45,22,29,7,5,59,29,5,24,42,29,5,6,60,29,6,11,54,31,1,27,41,73,1,19,3,1,3,31,3,2,1,27,36,31,1,67,1,33,3,7,57,33,2,50,6,0,2,0,7,33,3,38,9,9,8,33,2,29,24,7,5,35,2,1,60,2,38,2,2,56,2,82,0,15,3,55,0,44,1,95,0,3,2,76,0,15,9,94,0,5,1,89,0,9,2,38,3,1,3,14,8,33,38,4,1,6,16,13,22,44,2,28,16,5,5,44,1,4,12,13,26,44,1,11,19,12,13,70,5,24,1,70,12,12,6,70,12,12,6,44,1,18,37,63,0,15,22,90,2,2,1,1,0,1,0,3,73,0,0,1,2,4,0,2,3,1,0,0,3,1,1,0,9,50,2,29,19,0,0,50,8,16,11,6,6,3,0,52,1,31,10,6,52,0,7,14,14,8,5,5.419512195121952,6.245447122192099,4.105263157894737,2.5797230006793206,12.088888888888889,5.346291077263591,2.5681818181818183,1.7171870897071995
