ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.2,B13_2..99,B13_2..77,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1.2,B14_2..99,B14_2.2,B14_3..99,B14_3.2,B14_4..99,B14_4.1,B14_4.2,B14_5..99,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3.1,C13_3.2,C13_4..99,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.4,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AX,ALA,Aland Islands,2020-12-26,2020-12-21,100,8,462607.11799719476,6,320769.6007626479,119,82,2785234.615474085,49,13,11,76,14,14,72,14,5,81,15,24,61,16,23,61,14,14,72,14,11,75,16,6,78,17,6,77,16,8,76,16,10,74,15,20,65,15,10,75,15,19,66,89,3,8,0,86,4,6,4,95,3,2,0,76,6,6,12,77,3,6,14,86,2,6,6,89,6,2,3,94,1,3,2,94,2,2,2,92,3,4,1,90,5,4,1,80,5,5,10,90,4,5,1,81,4,8,7,17,1,8,74,92,5,3,18,3,21,58,79,1,9,11,91,0,8,1,91,1,6,2,99,1,33,1,5,61,100,22,3,32,20,12,11,27,5,30,27,11,27,12,30,19,12,27,12,28,23,10,27,12,23,27,11,27,12,9,27,25,95,1,3,1,95,2,0,3,95,2,1,2,95,1,2,2,95,2,0,3,95,2,1,2,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,100,0,100,0,0,100,0,0,31,5,15,49,31,4,36,29,31,6,20,43,31,5,35,29,31,7,11,51,31,8,7,54,32,2,25,41,75,0,18,3,2,2,34,0,0,6,31,29,34,2,61,3,36,1,9,54,36,0,30,17,4,6,5,2,36,1,18,11,25,9,37,0,13,29,9,12,40,1,16,40,3,40,2,17,39,2,85,1,8,6,64,1,31,4,80,16,4,65,11,24,89,0,9,2,93,0,6,1,41,1,3,2,7,9,37,41,2,3,4,6,8,36,44,5,9,19,15,8,44,1,3,4,5,43,44,2,7,7,11,29,87,2,10,1,87,5,2,6,87,3,3,7,46,0,34,20,80,0,5,15,96,0,0,1,0,0,3,62,0,0,3,0,4,0,4,5,2,0,0,4,3,2,1,10,50,1,20,27,0,2,50,4,10,14,11,6,5,0,51,3,19,7,20,51,2,19,10,12,4,2,17.710526315789473,39.40428560499263,19.5,39.581561363847186,11.569767441860465,5.295529780759875,2.6818181818181817,1.5367245031987682
AX,ALA,Aland Islands,2020-12-27,2020-12-23,100,7,370513.8567238646,5,228676.33948931785,122,80,2669843.0771931713,51,14,9,77,14,14,72,15,4,81,16,22,62,17,23,60,15,12,73,15,11,74,15,6,79,16,5,79,16,7,77,14,8,78,15,18,67,17,7,76,17,16,67,91,2,7,0,86,3,6,5,96,1,3,0,78,4,8,10,77,2,7,14,88,1,6,5,89,5,3,3,94,1,4,1,95,1,3,1,93,2,4,1,92,4,4,0,82,4,7,7,93,2,4,1,84,3,9,4,19,1,11,69,90,5,5,22,1,22,55,78,1,8,13,92,0,7,1,92,0,6,2,100,0,33,1,4,62,100,24,3,32,20,12,9,30,6,27,26,11,30,12,30,17,11,30,12,31,19,8,30,12,27,22,9,30,12,11,25,22,96,1,2,1,96,1,0,3,96,1,1,2,96,0,2,2,96,1,0,3,96,1,1,2,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,100,0,100,0,0,100,0,0,34,6,11,49,34,6,30,30,34,7,18,41,34,6,32,28,34,8,9,49,34,8,8,50,35,2,23,40,77,0,17,3,2,1,36,0,1,5,28,30,36,2,59,3,38,1,8,53,38,0,28,20,4,2,4,4,38,1,19,12,21,9,39,0,16,29,9,7,40,1,18,38,3,40,3,17,37,3,89,1,8,2,70,1,27,2,82,15,3,68,12,20,91,0,7,2,92,1,6,1,40,0,4,2,7,6,41,40,2,3,3,5,8,39,44,3,8,21,14,10,44,0,3,3,5,45,44,1,6,5,13,31,90,2,8,0,90,5,0,5,90,3,2,5,45,0,35,20,80,0,6,14,95,0,0,1,1,0,3,60,0,1,4,0,3,1,4,4,2,0,2,5,2,2,1,9,48,1,25,24,0,2,48,5,11,12,12,4,8,0,49,3,21,8,19,49,2,16,13,13,5,2,17.78125,40.57786968366521,14.875,34.53130050093269,11.13953488372093,5.469967334057756,2.782608695652174,1.7753002059527956
AX,ALA,Aland Islands,2020-12-28,2020-12-23,100,8,381022.17920714425,6,239184.66197259745,122,81,2634541.737881801,51,13,10,77,14,14,72,14,4,82,15,23,62,16,24,60,15,13,72,15,10,75,14,6,80,15,6,79,16,6,78,13,8,79,14,19,67,16,8,76,16,17,67,90,2,8,0,86,2,7,5,96,1,3,0,77,4,9,10,76,2,8,14,87,1,7,5,90,4,3,3,94,1,4,1,94,1,4,1,94,2,3,1,92,4,4,0,81,4,8,7,92,2,5,1,83,3,10,4,18,1,11,70,90,5,5,21,1,22,56,78,1,8,13,92,0,7,1,92,0,6,2,100,0,32,1,4,63,100,23,3,32,21,12,9,29,6,28,26,11,29,12,31,17,11,29,12,32,19,8,29,12,28,22,9,29,12,12,25,22,96,1,2,1,96,1,0,3,96,1,1,2,96,0,2,2,96,1,0,3,96,1,1,2,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,100,0,100,0,0,100,0,0,33,6,12,49,33,6,31,30,33,7,18,42,33,6,32,29,33,8,9,50,33,8,8,51,34,2,24,40,76,1,17,3,2,1,35,0,1,6,28,30,35,2,60,3,37,1,9,53,37,0,29,20,4,2,4,4,37,1,19,12,21,10,38,0,17,29,9,7,39,1,18,39,3,40,3,17,37,3,88,1,9,2,69,1,28,2,82,15,3,68,12,20,91,0,7,2,92,1,6,1,40,0,4,2,7,6,41,40,2,3,3,5,8,39,44,3,8,21,14,10,44,0,3,3,5,45,44,1,6,5,13,31,90,2,8,0,90,5,0,5,90,3,2,5,45,0,35,20,80,0,6,14,95,0,0,1,1,0,3,60,0,1,4,0,3,1,4,4,2,0,2,5,2,2,1,9,48,1,25,24,0,2,48,5,11,12,12,4,8,0,49,3,21,8,19,49,2,16,13,13,5,2,17.303030303030305,40.0331775285238,14.875,34.53130050093269,11.13953488372093,5.469967334057756,2.782608695652174,1.7753002059527956
AX,ALA,Aland Islands,2020-12-30,2020-12-23,100,8,384941.8653101327,6,243104.34807558588,124,79,2888482.7978502726,47,13,11,76,14,15,71,13,5,82,14,27,59,15,26,59,15,13,72,15,12,73,13,9,78,14,10,76,16,7,77,15,10,75,14,22,64,17,9,74,17,21,62,89,3,8,0,85,2,7,6,95,1,4,0,73,5,9,13,74,4,9,13,87,1,6,6,88,5,2,5,91,3,5,1,90,2,5,3,93,2,4,1,90,4,5,1,78,5,7,10,91,2,6,1,79,3,13,5,20,1,13,66,89,5,6,24,1,19,56,81,1,8,10,92,0,7,1,92,0,7,1,100,0,35,1,4,60,100,26,2,33,20,11,8,32,5,25,28,10,32,9,29,19,11,32,9,30,22,7,32,9,27,23,9,32,9,10,27,22,96,2,1,1,96,2,0,2,96,1,2,1,96,1,2,1,96,2,0,2,96,2,1,1,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,100,0,100,0,0,100,0,0,36,5,11,48,36,6,29,29,36,7,18,39,36,6,31,27,36,8,7,49,36,8,7,49,36,1,24,39,76,1,17,3,2,1,37,1,1,6,23,32,37,3,58,2,38,1,8,53,38,0,31,18,4,2,3,4,38,1,16,13,22,10,39,0,18,26,11,6,40,1,14,42,3,41,3,15,37,4,89,1,8,2,71,1,26,2,82,16,2,69,11,20,93,0,6,1,93,1,6,0,42,0,3,2,7,4,42,42,2,2,3,4,9,38,46,3,6,23,11,11,46,0,2,3,6,43,46,1,5,5,12,31,91,0,9,0,91,3,0,6,91,1,2,6,47,0,34,19,81,0,8,11,95,0,0,1,1,0,3,61,0,1,3,0,4,1,2,4,2,0,2,6,2,2,1,9,52,1,26,20,0,1,52,5,9,13,10,5,6,0,53,2,17,9,19,53,1,15,12,11,6,2,18.6,40.89743268226014,13.222222222222221,32.67941927948605,11.615384615384615,5.152237044110495,2.7674418604651163,1.7435214680738953
AX,ALA,Aland Islands,2020-12-31,2020-12-24,100,8,384941.8653101327,6,243104.34807558588,141,75,3033227.7968746326,44,15,11,74,14,16,70,14,7,79,16,30,54,17,25,58,16,15,69,18,12,70,13,10,77,15,9,76,18,7,75,18,11,71,15,25,60,20,8,72,20,21,59,89,3,8,0,84,2,8,6,93,1,5,1,70,5,11,14,75,3,11,11,85,1,7,7,88,5,2,5,90,4,5,1,91,1,5,3,93,2,4,1,89,3,6,2,75,4,8,13,92,1,6,1,79,2,14,5,24,1,17,58,87,5,8,29,2,18,51,82,1,6,11,94,0,5,1,94,0,5,1,100,0,38,1,3,58,100,29,3,29,22,9,8,37,4,22,26,11,37,10,28,14,11,37,10,27,19,7,37,9,24,20,10,37,9,10,20,24,97,1,1,1,97,2,0,1,97,1,1,1,97,2,1,0,97,2,0,1,97,2,1,0,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,100,0,100,0,0,100,0,0,39,4,12,45,39,7,30,24,39,7,16,38,39,8,29,24,39,8,6,47,39,8,10,43,39,1,24,36,76,1,19,1,2,1,39,1,2,6,22,30,39,5,53,3,40,2,8,50,40,0,31,16,3,4,2,4,40,2,14,14,17,13,41,1,16,23,12,7,43,1,13,40,3,45,4,13,35,3,88,0,9,3,70,0,28,2,84,14,2,71,12,17,94,1,4,1,90,2,8,0,46,0,3,2,7,3,39,46,2,2,4,4,10,32,50,3,5,20,11,11,50,0,1,4,6,39,50,1,3,7,12,27,91,0,8,1,91,1,0,8,91,0,2,7,51,0,31,18,82,0,7,11,96,0,0,1,1,0,2,65,0,1,3,0,4,1,4,2,2,0,3,4,1,2,2,6,56,0,26,17,0,1,56,6,9,10,8,5,5,1,56,2,17,7,18,56,0,17,8,10,7,2,23.147058823529413,44.15615016221353,12.181818181818182,29.34218186099385,10.716216216216216,4.894073145341409,2.8,1.771570359444281
AX,ALA,Aland Islands,2021-01-01,2020-12-25,100,7,378263.56370497274,5,236426.04647042596,138,71,2844628.444183841,43,19,10,71,17,14,69,17,8,75,19,25,56,21,22,57,20,13,67,21,11,68,15,11,74,18,9,73,19,9,72,20,13,67,18,22,60,23,8,69,23,17,60,90,3,7,0,86,2,8,4,92,1,6,1,75,4,11,10,78,3,9,10,87,1,6,6,89,5,2,4,89,4,7,0,91,1,6,2,91,3,4,2,87,3,8,2,78,4,6,12,92,1,5,2,83,2,12,3,28,1,14,57,90,4,6,33,2,16,49,84,1,6,9,94,0,5,1,94,0,5,1,100,0,42,1,3,54,100,33,2,31,22,6,6,38,4,23,27,8,38,9,28,16,9,38,9,28,20,5,38,8,24,22,8,38,8,10,20,24,97,1,1,1,97,2,0,1,97,1,1,1,97,2,1,0,97,2,0,1,97,2,1,0,93,1,6,93,1,6,93,1,1,5,93,1,0,6,93,1,0,6,93,1,1,5,93,1,1,5,98,2,98,2,98,2,98,0,2,98,0,2,40,3,12,45,40,7,28,25,40,7,15,38,40,8,31,21,40,8,5,47,40,7,9,44,40,2,25,33,75,1,21,0,2,1,40,2,2,8,21,27,40,6,51,3,41,4,8,47,41,0,30,14,5,4,2,4,41,3,11,14,20,11,42,2,16,23,12,5,45,0,13,39,3,47,3,12,35,3,88,0,10,2,72,0,25,3,85,12,3,69,11,20,95,1,3,1,91,2,7,0,48,0,3,2,6,4,37,48,1,2,4,5,9,31,52,1,7,21,9,10,52,0,1,6,6,35,52,1,4,7,10,26,90,1,7,2,90,3,0,7,90,1,4,5,53,0,30,17,83,0,6,11,97,0,0,1,1,0,1,67,0,3,3,0,3,1,4,2,1,0,3,5,2,2,2,2,57,0,27,15,1,0,57,5,10,10,7,4,6,1,57,1,15,5,22,57,0,17,8,10,6,2,21.580645161290324,41.113480509072595,14.666666666666666,32.218007387174026,10.783783783783784,4.4652058253862235,2.925,1.7303845726400733
AX,ALA,Aland Islands,2021-01-02,2020-12-25,100,7,378263.56370497274,5,236426.04647042596,138,71,2844953.604003253,42,19,10,71,17,14,69,17,8,75,19,25,56,21,22,57,20,13,67,21,11,68,15,11,74,18,9,73,19,9,72,20,13,67,18,22,60,23,8,69,23,17,60,90,3,7,0,86,2,8,4,92,1,6,1,75,4,11,10,78,3,9,10,87,1,6,6,89,5,2,4,89,4,7,0,91,1,6,2,91,3,4,2,87,3,8,2,78,4,6,12,92,1,5,2,83,2,12,3,28,1,14,57,90,4,6,33,2,16,49,84,1,6,9,94,0,5,1,94,0,5,1,100,0,42,1,2,55,100,33,2,31,22,6,6,38,4,22,27,9,38,9,27,16,10,38,9,27,20,6,38,8,23,22,9,38,9,10,20,23,98,1,1,0,98,2,0,0,98,1,1,0,98,2,0,0,98,2,0,0,98,2,0,0,92,1,7,92,1,7,92,1,1,6,92,1,0,7,92,1,0,7,92,1,1,6,92,1,1,6,98,2,98,2,98,2,98,0,2,98,0,2,40,3,11,46,40,7,27,26,40,7,14,39,40,8,30,22,40,8,5,47,40,7,9,44,40,2,24,34,76,1,21,0,1,1,40,2,2,8,21,27,40,6,52,2,41,4,8,47,41,0,31,14,5,3,2,4,41,3,12,14,20,10,42,2,16,24,12,4,45,0,13,39,3,47,3,11,36,3,89,0,9,2,73,0,24,3,86,11,3,70,10,20,95,1,3,1,91,2,7,0,48,0,4,2,6,4,36,48,1,3,4,4,9,31,52,1,8,21,9,9,52,0,2,6,6,34,52,1,4,7,10,26,90,1,7,2,90,3,1,6,90,1,5,4,53,0,29,18,82,0,6,12,97,0,0,1,1,0,1,68,0,3,3,0,3,1,4,2,1,0,3,5,2,2,2,1,57,0,27,15,1,0,57,5,10,9,8,4,6,1,58,1,14,5,22,58,0,17,8,9,6,2,21.580645161290324,41.113480509072595,14.666666666666666,32.218007387174026,10.75,4.523746866734004,2.8974358974358974,1.7440858228954308
AX,ALA,Aland Islands,2021-01-03,2020-12-26,100,6,257055.65557751976,5,236426.04647042596,138,75,2641735.1236576186,44,21,7,72,18,13,69,19,7,74,20,27,53,22,21,57,22,12,66,23,9,68,17,10,73,19,8,73,20,8,72,21,13,66,20,20,60,26,7,67,26,15,59,93,2,5,0,87,2,7,4,93,0,6,1,73,4,11,12,79,3,9,9,88,1,5,6,91,3,2,4,90,3,7,0,92,1,5,2,92,2,4,2,87,3,7,3,80,3,6,11,93,1,4,2,85,2,9,4,23,2,15,60,89,5,6,28,4,17,51,83,1,6,10,94,0,5,1,94,0,5,1,100,0,39,1,2,58,100,28,4,29,28,5,6,34,5,21,30,10,34,12,25,20,9,34,13,25,20,8,34,12,24,19,11,34,13,12,20,21,98,1,1,0,98,2,0,0,98,1,1,0,98,2,0,0,98,2,0,0,98,2,0,0,92,1,7,92,1,7,92,1,1,6,92,1,0,7,92,1,0,7,92,1,1,6,92,1,1,6,98,2,98,2,98,2,98,0,2,98,0,2,37,4,13,46,37,8,32,23,37,9,14,40,37,10,26,27,37,10,8,45,37,8,11,44,37,3,21,39,79,1,18,0,1,1,37,3,2,9,17,32,37,7,54,2,38,5,7,50,38,1,32,13,6,4,1,5,38,4,15,15,19,9,40,2,17,27,9,5,42,0,13,41,4,44,3,9,38,6,87,0,12,1,68,0,30,2,86,11,3,74,10,16,92,1,4,3,89,2,9,0,45,1,4,2,7,3,38,45,2,3,3,4,9,34,49,1,7,24,8,11,49,0,2,5,7,37,49,2,4,10,5,30,87,1,10,2,87,3,1,9,87,1,6,6,50,0,30,20,80,0,8,12,95,0,0,1,2,0,2,65,0,5,3,0,4,1,3,2,1,0,3,5,1,1,2,4,54,1,30,14,1,0,54,6,12,9,6,6,6,1,56,1,16,8,19,56,0,16,10,7,7,4,20.566666666666666,41.90027843980674,14.444444444444446,32.32302241093456,9.85135135135135,4.984510542204254,2.6666666666666665,1.6625966565214856
AX,ALA,Aland Islands,2021-01-13,2020-12-27,100,4,125252.5978984695,4,125252.5978984695,41,76,2335582.9592598323,46,19,8,73,17,11,72,16,9,75,18,24,58,20,20,60,21,12,67,22,9,69,14,12,74,18,9,73,20,7,73,19,13,68,19,17,64,25,8,67,26,12,62,92,2,4,2,89,1,8,2,91,1,7,1,76,3,10,11,80,2,11,7,88,2,4,6,91,3,2,4,88,4,8,0,91,1,5,3,93,2,4,1,87,3,7,3,83,3,6,8,92,1,4,3,88,0,8,4,23,1,16,60,89,4,7,29,3,18,50,82,0,7,11,93,0,7,0,93,0,7,0,100,0,39,0,3,58,100,29,3,30,29,4,5,35,5,22,31,7,35,10,28,22,5,35,11,28,21,5,35,10,24,22,9,35,11,15,22,17,97,1,1,1,97,2,0,1,97,1,1,1,97,2,0,1,97,2,0,1,97,2,0,1,92,1,7,92,1,7,92,1,1,6,92,1,0,7,92,1,0,7,92,1,1,6,92,1,1,6,98,2,98,2,98,2,98,0,2,98,0,2,39,3,15,43,39,7,33,21,39,8,13,40,39,9,30,22,39,8,8,45,39,6,10,45,39,2,22,37,78,1,20,0,1,0,39,3,2,10,16,30,39,7,53,1,39,5,8,48,39,1,30,16,6,3,1,4,39,3,13,15,19,11,40,2,17,26,12,3,42,1,13,41,3,44,2,10,38,6,85,0,11,4,67,0,32,1,87,11,2,70,10,20,92,1,5,2,90,2,8,0,45,1,3,2,5,8,36,45,3,1,3,4,13,31,47,1,8,25,9,10,47,1,2,3,9,38,47,2,3,11,5,32,86,1,10,3,86,2,2,10,86,1,7,6,47,0,29,24,76,1,8,15,95,0,1,0,2,0,2,66,1,5,2,0,5,1,4,2,0,0,2,4,2,0,1,5,52,1,28,17,1,1,52,5,11,8,8,9,6,1,54,0,19,9,18,54,0,16,13,6,8,3,16.77777777777778,26.25662309609247,3.875,4.120939559996343,11.524390243902438,5.735799006581598,2.577777777777778,1.5592668569918144
AX,ALA,Aland Islands,2021-01-14,2020-12-27,100,4,125252.5978984695,4,125252.5978984695,41,76,2415022.6659594937,45,20,8,72,18,11,71,17,9,74,19,24,57,21,20,59,22,12,66,23,9,68,15,12,73,19,9,72,21,7,72,20,13,67,20,17,63,25,9,66,26,13,61,92,2,4,2,89,1,8,2,91,1,7,1,76,3,10,11,80,2,11,7,88,2,4,6,91,3,2,4,88,4,8,0,91,1,5,3,93,2,4,1,87,3,7,3,83,3,6,8,91,1,5,3,87,0,9,4,23,1,16,60,89,4,7,29,3,18,50,82,0,8,10,92,0,8,0,92,0,8,0,100,0,40,0,3,57,100,29,3,30,29,4,5,36,5,21,31,7,36,10,27,22,5,36,11,27,21,5,36,10,23,22,9,36,11,14,22,17,97,1,1,1,97,2,0,1,97,1,1,1,97,2,0,1,97,2,0,1,97,2,0,1,92,1,7,92,1,7,92,1,1,6,92,1,0,7,92,1,0,7,92,1,1,6,92,1,1,6,98,2,98,2,98,2,98,0,2,98,0,2,40,3,15,42,40,7,32,21,40,8,13,39,40,9,29,22,40,8,8,44,40,6,10,44,40,2,22,36,78,1,20,0,1,0,40,3,2,10,15,30,40,7,52,1,40,5,8,47,40,1,30,15,6,3,1,4,40,3,13,14,19,11,41,2,17,25,12,3,43,1,12,41,3,45,2,10,37,6,85,0,11,4,68,0,31,1,87,11,2,71,10,19,92,1,5,2,90,2,8,0,46,1,3,2,5,8,35,46,3,1,3,4,13,30,48,1,8,24,9,10,48,1,2,3,9,37,48,2,3,11,5,31,86,1,10,3,86,2,2,10,86,1,7,6,48,0,29,23,77,1,7,15,96,0,1,0,2,0,1,67,1,5,2,0,4,1,4,2,0,0,2,4,2,0,1,5,53,1,27,17,1,1,53,5,11,8,8,9,5,1,55,0,18,9,18,55,0,15,13,6,8,3,16.392857142857142,25.84618216052677,3.875,4.120939559996343,11.524390243902438,5.735799006581598,2.6136363636363638,1.5584116704070488
